Weber State,252,BYU,2692
15:29,252,TJ Haws made Three Point Jumper. Assisted by Zac Seljaas.,41,46
14:55,2692,Jordan Dallas missed Layup.,41,46
14:55,252,Elijah Bryant Defensive Rebound.,41,46
14:29,252,Elijah Bryant missed Three Point Jumper.,41,46
14:29,2692,Michal Kozak Defensive Rebound.,41,46
14:07,2692,Jerrick Harding missed Layup.,41,46
14:07,252,Elijah Bryant Defensive Rebound.,41,46
14:03,2692,Foul on Ryan Richardson.,41,46
14:03,252,Official TV Timeout,41,46
14:01,2692,Foul on Ricky Nelson.,41,46
14:01,252,Elijah Bryant missed Free Throw.,41,46
14:01,252,BYU Deadball Team Rebound.,41,46
14:01,252,Elijah Bryant made Free Throw.,41,47
13:40,2692,Ryan Richardson made Three Point Jumper. Assisted by Jerrick Harding.,44,47
13:18,252,Zac Seljaas made Three Point Jumper. Assisted by Elijah Bryant.,44,50
12:59,2692,Michal Kozak Turnover.,44,50
12:58,252,TJ Haws Steal.,44,50
12:55,252,TJ Haws made Layup.,44,52
12:53,2692,Weber State  Timeout,44,52
12:35,2692,Jerrick Harding made Layup. Assisted by Michal Kozak.,46,52
12:04,252,McKay Cannon missed Three Point Jumper.,46,52
12:04,2692,Jerrick Harding Defensive Rebound.,46,52
11:57,252,Foul on Elijah Bryant.,46,52
11:57,252,Official TV Timeout,46,52
11:57,2692,Michal Kozak missed Free Throw.,46,52
11:57,2692,Weber State Deadball Team Rebound.,46,52
11:57,2692,Michal Kozak made Free Throw.,47,52
11:40,252,McKay Cannon missed Three Point Jumper.,47,52
11:40,2692,Michal Kozak Defensive Rebound.,47,52
11:18,2692,Ryan Richardson made Jumper.,49,52
10:58,2692,Foul on Ryan Richardson.,49,52
10:54,252,Zac Seljaas made Layup. Assisted by Yoeli Childs.,49,54
10:32,252,Foul on Jahshire Hardnett.,49,54
10:20,2692,Ryan Richardson missed Three Point Jumper.,49,54
10:20,252,Yoeli Childs Defensive Rebound.,49,54
10:04,252,TJ Haws missed Layup.,49,54
10:04,2692,Ryan Richardson Defensive Rebound.,49,54
9:57,2692,Jerrick Harding missed Three Point Jumper.,49,54
9:57,252,Zac Seljaas Defensive Rebound.,49,54
9:49,252,Elijah Bryant missed Layup.,49,54
9:49,2692,Jerrick Harding Defensive Rebound.,49,54
9:41,2692,Ryan Richardson missed Three Point Jumper.,49,54
9:41,252,Elijah Bryant Defensive Rebound.,49,54
9:35,252,Foul on Elijah Bryant.,49,54
9:35,252,Elijah Bryant Turnover.,49,54
9:16,2692,Michal Kozak missed Jumper.,49,54
9:16,252,Yoeli Childs Defensive Rebound.,49,54
9:08,252,Zac Seljaas missed Three Point Jumper.,49,54
9:08,2692,Ricky Nelson Defensive Rebound.,49,54
8:49,2692,Jerrick Harding missed Jumper.,49,54
8:49,2692,Michal Kozak Offensive Rebound.,49,54
8:39,252,Foul on Zac Seljaas.,49,54
8:39,2692,Michal Kozak made Free Throw.,50,54
8:39,2692,Michal Kozak made Free Throw.,51,54
8:21,252,Zac Seljaas made Layup. Assisted by TJ Haws.,51,56
8:05,2692,Ricky Nelson Turnover.,51,56
8:04,252,Jahshire Hardnett Steal.,51,56
8:02,252,Jahshire Hardnett made Layup.,51,58
7:36,2692,Dusty Baker made Layup.,53,58
7:20,2692,Foul on Jordan Dallas.,53,58
7:20,252,Official TV Timeout,53,58
7:20,252,Yoeli Childs made Free Throw.,53,59
7:20,252,Yoeli Childs missed Free Throw.,53,59
7:20,2692,Dusty Baker Defensive Rebound.,53,59
7:05,2692,Jerrick Harding Turnover.,53,59
7:04,252,TJ Haws Steal.,53,59
7:02,252,TJ Haws made Layup.,53,61
6:43,2692,Ryan Richardson made Jumper.,55,61
6:18,252,TJ Haws missed Layup.,55,61
6:18,2692,Dusty Baker Defensive Rebound.,55,61
6:13,2692,Ryan Richardson missed Jumper.,55,61
6:13,2692,Jerrick Harding Offensive Rebound.,55,61
6:08,2692,Jerrick Harding made Jumper.,57,61
5:40,2692,Foul on Dusty Baker.,57,61
5:40,252,Zac Seljaas missed Free Throw.,57,61
5:40,252,BYU Deadball Team Rebound.,57,61
5:40,252,Zac Seljaas made Free Throw.,57,62
5:20,2692,Trevon Ary-Turner made Three Point Jumper. Assisted by Ryan Richardson.,60,62
4:54,252,Yoeli Childs missed Jumper.,60,62
4:54,2692,Michal Kozak Defensive Rebound.,60,62
4:41,2692,Trevon Ary-Turner Turnover.,60,62
4:30,252,Foul on Elijah Bryant.,60,62
4:30,252,Elijah Bryant Turnover.,60,62
4:17,2692,Ryan Richardson missed Three Point Jumper.,60,62
4:17,252,Yoeli Childs Defensive Rebound.,60,62
3:59,2692,Foul on Jerrick Harding.,60,62
3:59,252,Official TV Timeout,60,62
3:52,252,TJ Haws missed Jumper.,60,62
3:52,2692,Ryan Richardson Block.,60,62
3:51,252,TJ Haws Offensive Rebound.,60,62
3:51,2692,Foul on Trevon Ary-Turner.,60,62
3:51,252,TJ Haws made Free Throw.,60,63
3:51,252,TJ Haws made Free Throw.,60,64
3:25,2692,Dusty Baker made Layup.,62,64
3:00,252,TJ Haws made Three Point Jumper. Assisted by Zac Seljaas.,62,67
2:43,252,Foul on McKay Cannon.,62,67
2:43,2692,Jerrick Harding made Free Throw.,63,67
2:43,2692,Jerrick Harding made Free Throw.,64,67
2:21,2692,Foul on Michal Kozak.,64,67
2:21,252,Yoeli Childs made Free Throw.,64,68
2:21,252,Yoeli Childs missed Free Throw.,64,68
2:21,2692,Dusty Baker Defensive Rebound.,64,68
2:06,2692,Ryan Richardson missed Three Point Jumper.,64,68
2:06,252,Yoeli Childs Defensive Rebound.,64,68
1:41,252,McKay Cannon missed Three Point Jumper.,64,68
1:41,2692,Ryan Richardson Defensive Rebound.,64,68
1:24,2692,Dusty Baker made Layup.,66,68
1:04,252,Yoeli Childs missed Jumper.,66,68
1:04,2692,Michal Kozak Defensive Rebound.,66,68
0:53,2692,Weber State  Timeout,66,68
0:36,2692,Dusty Baker missed Jumper.,66,68
0:36,252,Yoeli Childs Block.,66,68
0:35,252,Elijah Bryant Defensive Rebound.,66,68
0:25,2692,Foul on Dusty Baker.,66,68
0:25,252,Elijah Bryant made Free Throw.,66,69
0:25,252,Elijah Bryant made Free Throw.,66,70
0:19,252,Foul on McKay Cannon.,66,70
0:19,2692,Jerrick Harding made Free Throw.,67,70
0:19,2692,Jerrick Harding made Free Throw.,68,70
0:19,2692,Weber State  Timeout,68,70
0:19,2692,Foul on Ryan Richardson.,68,70
0:19,252,TJ Haws made Free Throw.,68,71
0:19,252,TJ Haws made Free Throw.,68,72
0:12,2692,Jerrick Harding Turnover.,68,72
0:10,2692,Foul on Trevon Ary-Turner.,68,72
0:10,252,TJ Haws made Free Throw.,68,73
0:10,252,TJ Haws made Free Throw.,68,74
0:05,2692,Dusty Baker Turnover.,68,74
0:04,252,TJ Haws Steal.,68,74
0:00,252,End of Game,68,74
