Washington State,2638,UTEP,265
5:33,265,Viont'e Daniels missed Three Point Jumper.,32,29
5:33,265,Robert Franks Offensive Rebound.,32,29
5:26,265,Robert Franks made Layup.,34,29
5:17,2638,UTEP  Timeout,34,29
4:56,2638,Kobe Magee missed Three Point Jumper.,34,29
4:56,265,Robert Franks Defensive Rebound.,34,29
4:40,265,Drick Bernstine made Dunk. Assisted by Kwinton Hinson.,36,29
4:25,2638,Tirus Smith made Dunk. Assisted by Trey Touchet.,36,31
4:17,265,Washington State  Timeout,36,31
4:17,2638,Official TV Timeout,36,31
4:05,265,Malachi Flynn missed Jumper.,36,31
4:05,2638,Tirus Smith Defensive Rebound.,36,31
3:44,2638,Kobe Magee missed Three Point Jumper.,36,31
3:44,265,Robert Franks Defensive Rebound.,36,31
3:28,265,Drick Bernstine missed Layup.,36,31
3:28,265,Robert Franks Offensive Rebound.,36,31
3:23,265,Viont'e Daniels made Three Point Jumper. Assisted by Robert Franks.,39,31
3:08,265,Foul on Carter Skaggs.,39,31
3:08,2638,Omega Harris made Free Throw.,39,32
3:08,2638,Omega Harris made Free Throw.,39,33
2:57,265,Drick Bernstine Turnover.,39,33
2:33,2638,Omega Harris made Layup.,39,35
2:17,265,Viont'e Daniels missed Three Point Jumper.,39,35
2:17,2638,Tirus Smith Defensive Rebound.,39,35
2:01,2638,Keith Frazier missed Three Point Jumper.,39,35
2:01,2638,Tirus Smith Offensive Rebound.,39,35
1:56,2638,Tirus Smith missed Jumper.,39,35
1:56,265,Robert Franks Defensive Rebound.,39,35
1:42,265,Robert Franks missed Three Point Jumper.,39,35
1:42,2638,Keith Frazier Defensive Rebound.,39,35
1:33,265,Foul on KJ Langston.,39,35
1:33,2638,Omega Harris made Free Throw.,39,36
1:33,2638,Omega Harris made Free Throw.,39,37
1:11,265,Malachi Flynn Turnover.,39,37
1:03,2638,Kobe Magee missed Three Point Jumper.,39,37
1:03,265,Drick Bernstine Defensive Rebound.,39,37
0:56,265,Viont'e Daniels made Three Point Jumper. Assisted by Robert Franks.,42,37
0:34,2638,Omega Harris made Jumper.,42,39
0:19,2638,Foul on Keith Frazier.,42,39
0:01,265,Viont'e Daniels missed Three Point Jumper.,42,39
0:01,265,Washington State Offensive Rebound.,42,39
0:00,2638,End of 1st half,42,39
19:48,265,Kwinton Hinson Turnover.,42,39
19:34,2638,Paul Thomas Turnover.,42,39
19:30,265,Robert Franks Steal.,42,39
19:26,265,Malachi Flynn missed Three Point Jumper.,42,39
19:26,2638,Paul Thomas Defensive Rebound.,42,39
18:58,2638,Omega Harris missed Jumper.,42,39
18:58,2638,Paul Thomas Offensive Rebound.,42,39
18:43,2638,Keith Frazier made Three Point Jumper.,42,42
18:17,265,Viont'e Daniels made Three Point Jumper. Assisted by Kwinton Hinson.,45,42
18:00,265,Foul on Kwinton Hinson.,45,42
18:00,2638,Matt Willms made Free Throw.,45,43
18:00,2638,Matt Willms made Free Throw.,45,44
17:41,265,Drick Bernstine missed Jumper.,45,44
17:41,2638,Paul Thomas Defensive Rebound.,45,44
17:34,2638,Omega Harris made Three Point Jumper. Assisted by Kobe Magee.,45,47
17:24,265,Foul on Kwinton Hinson.,45,47
17:24,265,Kwinton Hinson Turnover.,45,47
17:10,2638,Keith Frazier missed Three Point Jumper.,45,47
17:10,2638,Matt Willms Offensive Rebound.,45,47
17:01,2638,Paul Thomas made Jumper. Assisted by Omega Harris.,45,49
16:52,265,Washington State  Timeout,45,49
16:52,2638,Official TV Timeout,45,49
16:33,265,Viont'e Daniels made Three Point Jumper. Assisted by Malachi Flynn.,48,49
16:22,2638,Paul Thomas made Jumper. Assisted by Kobe Magee.,48,51
16:10,265,Robert Franks missed Jumper.,48,51
16:10,2638,Matt Willms Defensive Rebound.,48,51
15:59,2638,Keith Frazier missed Three Point Jumper.,48,51
15:59,265,Malachi Flynn Defensive Rebound.,48,51
15:31,265,Robert Franks missed Three Point Jumper.,48,51
15:31,2638,Keith Frazier Defensive Rebound.,48,51
15:00,2638,Matt Willms Turnover.,48,51
14:57,265,Malachi Flynn Steal.,48,51
14:54,265,Drick Bernstine missed Layup.,48,51
14:54,2638,Matt Willms Block.,48,51
14:54,265,Washington State Offensive Rebound.,48,51
14:54,2638,Official TV Timeout,48,51
14:48,2638,Foul on Paul Thomas.,48,51
14:40,265,Malachi Flynn missed Three Point Jumper.,48,51
14:40,2638,Matt Willms Defensive Rebound.,48,51
14:10,2638,Matt Willms missed Jumper.,48,51
14:10,265,Viont'e Daniels Defensive Rebound.,48,51
13:56,265,Jeff Pollard made Layup.,50,51
13:26,2638,Matt Willms made Layup.,50,53
13:13,265,Robert Franks made Three Point Jumper. Assisted by Milan Acquaah.,53,53
12:45,265,Foul on Viont'e Daniels.,53,53
12:45,2638,Evan Gilyard made Free Throw.,53,54
12:45,2638,Evan Gilyard made Free Throw.,53,55
12:35,265,Milan Acquaah Turnover.,53,55
12:19,2638,Isiah Osborne missed Three Point Jumper.,53,55
12:19,265,Washington State Defensive Rebound.,53,55
11:50,265,Jeff Pollard missed Three Point Jumper.,53,55
11:50,265,Viont'e Daniels Offensive Rebound.,53,55
11:30,265,Milan Acquaah made Jumper.,55,55
11:17,2638,Official TV Timeout,55,55
10:56,2638,Evan Gilyard missed Layup.,55,55
10:56,2638,Matt Willms Offensive Rebound.,55,55
10:53,2638,Matt Willms made Two Point Tip Shot.,55,57
10:25,265,Drick Bernstine missed Jumper.,55,57
10:25,2638,Matt Willms Defensive Rebound.,55,57
10:00,2638,Isiah Osborne missed Three Point Jumper.,55,57
10:00,265,Arinze Chidom Defensive Rebound.,55,57
9:32,265,Carter Skaggs missed Three Point Jumper.,55,57
9:32,2638,Omega Harris Defensive Rebound.,55,57
9:10,2638,Evan Gilyard made Jumper.,55,59
8:48,2638,Foul on Evan Gilyard.,55,59
8:48,265,Milan Acquaah made Free Throw.,56,59
8:48,265,Milan Acquaah missed Free Throw.,56,59
8:48,2638,Keith Frazier Defensive Rebound.,56,59
8:31,2638,Matt Willms Turnover.,56,59
8:26,265,Kwinton Hinson Steal.,56,59
8:15,265,Arinze Chidom missed Layup.,56,59
8:15,2638,Keith Frazier Defensive Rebound.,56,59
8:05,2638,Evan Gilyard missed Jumper.,56,59
7:56,265,Drick Bernstine Defensive Rebound.,56,59
7:55,265,Malachi Flynn missed Three Point Jumper.,56,59
7:55,265,Arinze Chidom Offensive Rebound.,56,59
7:52,2638,Foul on Omega Harris.,56,59
7:52,2638,Official TV Timeout,56,59
7:52,265,Arinze Chidom made Free Throw.,57,59
7:52,265,Arinze Chidom made Free Throw.,58,59
7:26,2638,Evan Gilyard missed Jumper.,58,59
7:26,2638,UTEP Offensive Rebound.,58,59
7:19,2638,Keith Frazier missed Jumper.,58,59
7:19,2638,Keith Frazier Offensive Rebound.,58,59
7:14,2638,Keith Frazier missed Jumper.,58,59
7:14,2638,Keith Frazier Offensive Rebound.,58,59
7:11,2638,Keith Frazier made Layup.,58,61
6:49,265,Kwinton Hinson missed Three Point Jumper.,58,61
6:49,2638,Omega Harris Defensive Rebound.,58,61
6:34,2638,Keith Frazier made Three Point Jumper. Assisted by Evan Gilyard.,58,64
6:19,265,Washington State  Timeout,58,64
6:06,2638,Foul on Omega Harris.,58,64
6:06,265,Drick Bernstine missed Free Throw.,58,64
6:06,265,Washington State Deadball Team Rebound.,58,64
6:06,265,Drick Bernstine made Free Throw.,59,64
5:50,2638,Keith Frazier missed Three Point Jumper.,59,64
5:50,265,Robert Franks Defensive Rebound.,59,64
5:40,265,Malachi Flynn missed Layup.,59,64
5:40,2638,Keith Frazier Defensive Rebound.,59,64
5:30,2638,UTEP  Timeout,59,64
5:16,2638,Omega Harris missed Three Point Jumper.,59,64
5:16,265,Robert Franks Defensive Rebound.,59,64
5:04,2638,Foul on Evan Gilyard.,59,64
4:55,265,Malachi Flynn made Three Point Jumper.,62,64
4:27,2638,Evan Gilyard missed Three Point Jumper.,62,64
4:27,2638,Paul Thomas Offensive Rebound.,62,64
4:02,265,Foul on Malachi Flynn.,62,64
4:02,2638,Evan Gilyard made Free Throw.,62,65
4:02,2638,Evan Gilyard made Free Throw.,62,66
3:43,265,Kwinton Hinson made Three Point Jumper. Assisted by Drick Bernstine.,65,66
3:10,265,Foul on Viont'e Daniels.,65,66
3:10,2638,Official TV Timeout,65,66
3:10,2638,Evan Gilyard made Free Throw.,65,67
3:10,2638,Evan Gilyard made Free Throw.,65,68
2:56,265,Viont'e Daniels missed Three Point Jumper.,65,68
2:56,2638,Matt Willms Defensive Rebound.,65,68
2:42,2638,Keith Frazier made Dunk. Assisted by Paul Thomas.,65,70
2:27,265,Malachi Flynn Turnover.,65,70
2:11,2638,Matt Willms Turnover.,65,70
2:00,265,Malachi Flynn Turnover.,65,70
2:00,2638,Paul Thomas Steal.,65,70
1:34,2638,UTEP  Turnover.,65,70
1:18,265,Drick Bernstine made Layup. Assisted by Kwinton Hinson.,67,70
0:48,2638,Evan Gilyard missed Three Point Jumper.,67,70
0:48,265,Drick Bernstine Defensive Rebound.,67,70
0:39,265,Washington State  Timeout,67,70
0:31,265,Robert Franks missed Three Point Jumper.,67,70
0:31,2638,Omega Harris Defensive Rebound.,67,70
0:25,265,Foul on Drick Bernstine.,67,70
0:22,265,Foul on Milan Acquaah.,67,70
0:22,2638,Omega Harris made Free Throw.,67,71
0:22,2638,Omega Harris made Free Throw.,67,72
0:16,265,Malachi Flynn missed Three Point Jumper.,67,72
0:16,265,Malachi Flynn Offensive Rebound.,67,72
0:13,2638,Foul on Jake Flaggert.,67,72
0:12,265,Robert Franks made Layup. Assisted by Viont'e Daniels.,69,72
0:10,265,Foul on Malachi Flynn.,69,72
0:10,2638,Omega Harris made Free Throw.,69,73
0:10,2638,Omega Harris made Free Throw.,69,74
0:05,265,Malachi Flynn missed Three Point Jumper.,69,74
0:05,2638,Evan Gilyard Defensive Rebound.,69,74
0:03,265,Foul on Kwinton Hinson.,69,74
0:03,2638,Evan Gilyard made Free Throw.,69,75
0:03,2638,Evan Gilyard made Free Throw.,69,76
0:00,2638,End of Game,69,76
