Johnson &amp; Wales (NC),Error,Wofford,2747
7:27,-1,Christian Creswell Turnover.,6,31
7:26,2747,Fletcher Magee Steal.,6,31
7:21,2747,Tray Hollowell missed Layup.,6,31
7:21,-1,Christian Creswell Defensive Rebound.,6,31
6:59,-1,Kajuan Madden-McAfee Turnover.,6,31
6:58,2747,Trevor Stumpe Steal.,6,31
6:54,2747,Fletcher Magee made Jumper. Assisted by Trevor Stumpe.,6,33
6:35,-1,Robert Hobson missed Three Point Jumper.,6,33
6:35,2747,Trevor Stumpe Defensive Rebound.,6,33
6:30,2747,Tray Hollowell missed Three Point Jumper.,6,33
6:30,-1,Kajuan Madden-McAfee Defensive Rebound.,6,33
6:20,-1,Majerle Poole missed Jumper.,6,33
6:20,2747,Tray Hollowell Defensive Rebound.,6,33
5:59,2747,Fletcher Magee made Three Point Jumper. Assisted by Tray Hollowell.,6,36
5:43,-1,Majerle Poole missed Three Point Jumper.,6,36
5:43,2747,Wofford Defensive Rebound.,6,36
5:42,2747,Official TV Timeout,6,36
5:16,2747,Tray Hollowell missed Three Point Jumper.,6,36
5:16,-1,Majerle Poole Defensive Rebound.,6,36
5:16,2747,Foul on  .,6,36
4:59,-1,Robert Hobson missed Three Point Jumper.,6,36
4:59,2747,Tray Hollowell Defensive Rebound.,6,36
4:51,2747,Nathan Hoover made Layup. Assisted by Bobby Perez.,6,38
4:47,-1,Foul on Christian Creswell.,6,38
4:41,2747,Nathan Hoover made Free Throw.,6,39
4:31,-1,Majerle Poole Turnover.,6,39
4:16,2747,made Jumper.,6,41
3:57,2747,Foul on  .,6,41
3:57,2747,Official TV Timeout,6,41
3:57,-1,Christian Creswell made Free Throw.,7,41
3:57,-1,Christian Creswell made Free Throw.,8,41
3:31,-1,Foul on Alcyone Moore.,8,41
3:31,2747,Derrick Brooks made Free Throw.,8,42
3:31,2747,Derrick Brooks made Free Throw.,8,43
3:16,-1,Alcyone Moore Turnover.,8,43
2:53,2747,Derrick Brooks made Jumper. Assisted by Bobby Perez.,8,45
2:39,-1,Majerle Poole Turnover.,8,45
2:39,-1,Foul on Majerle Poole.,8,45
2:07,2747,Tray Hollowell missed Three Point Jumper.,8,45
2:07,-1,Johnson & Wales (NC) Defensive Rebound.,8,45
1:48,-1,Kajuan Madden-McAfee Turnover.,8,45
1:47,2747,Bobby Perez Steal.,8,45
1:42,2747,Tray Hollowell made Layup.,8,47
1:34,-1,Kajuan Madden-McAfee made Jumper.,10,47
1:03,-1,Foul on Christian Creswell.,10,47
1:03,2747,Dishon Lowery missed Free Throw.,10,47
1:03,2747,Wofford Deadball Team Rebound.,10,47
1:03,2747,Dishon Lowery made Free Throw.,10,48
0:48,-1,Christian Creswell Turnover.,10,48
0:48,-1,Foul on Christian Creswell.,10,48
0:21,2747,Bobby Perez Turnover.,10,48
0:20,-1,Alcyone Moore Steal.,10,48
0:17,-1,Kajuan Madden-McAfee missed Jumper.,10,48
0:17,2747,Derrick Brooks Defensive Rebound.,10,48
0:01,2747,Derrick Brooks made Jumper.,10,50
0:00,2747,End of 1st half,10,50
19:43,-1,Robert Hobson missed Jumper.,10,50
19:43,2747,Storm Murphy Defensive Rebound.,10,50
19:40,-1,Foul on Alcyone Moore.,10,50
19:18,-1,Foul on James Veal.,10,50
19:18,2747,Keve Aluma made Free Throw.,10,51
19:18,2747,Keve Aluma missed Free Throw.,10,51
19:18,-1,Alcyone Moore Defensive Rebound.,10,51
19:04,-1,James Veal missed Jumper.,10,51
19:04,2747,Storm Murphy Defensive Rebound.,10,51
18:52,2747,Trevor Stumpe Turnover.,10,51
18:51,-1,Robert Hobson Steal.,10,51
18:41,-1,Majerle Poole missed Three Point Jumper.,10,51
18:41,2747,Keve Aluma Defensive Rebound.,10,51
18:20,2747,Fletcher Magee made Jumper.,10,53
17:57,-1,Alcyone Moore missed Jumper.,10,53
17:57,2747,Storm Murphy Defensive Rebound.,10,53
17:40,2747,Fletcher Magee made Three Point Jumper.,10,56
17:15,-1,Kajuan Madden-McAfee missed Jumper.,10,56
17:15,2747,Trevor Stumpe Defensive Rebound.,10,56
17:07,2747,Trevor Stumpe missed Layup.,10,56
17:07,-1,Robert Hobson Defensive Rebound.,10,56
16:52,-1,Robert Hobson made Three Point Jumper. Assisted by Kajuan Madden-McAfee.,13,56
16:28,2747,Storm Murphy missed Three Point Jumper.,13,56
16:28,-1,Robert Hobson Defensive Rebound.,13,56
16:19,-1,Majerle Poole made Three Point Jumper. Assisted by Robert Hobson.,16,56
16:19,2747,Foul on Storm Murphy.,16,56
15:57,-1,Malik Bullock made Jumper.,18,56
15:57,2747,Foul on Nathan Hoover.,18,56
15:57,2747,Official TV Timeout,18,56
15:57,-1,Malik Bullock missed Free Throw.,18,56
15:57,2747,Matthew Pegram Defensive Rebound.,18,56
15:34,2747,Nathan Hoover made Three Point Jumper. Assisted by Donovan Theme-Love.,18,59
15:22,-1,Malik Bullock Turnover.,18,59
15:21,2747,Donovan Theme-Love Steal.,18,59
15:19,2747,Donovan Theme-Love Turnover.,18,59
14:57,-1,Majerle Poole missed Jumper.,18,59
14:57,2747,Matthew Pegram Defensive Rebound.,18,59
14:47,2747,Nathan Hoover Turnover.,18,59
14:47,2747,Foul on Nathan Hoover.,18,59
14:25,-1,Malik Bullock made Jumper. Assisted by Robert Hobson.,20,59
14:10,-1,Foul on James Veal.,20,59
14:01,2747,Nathan Hoover made Three Point Jumper. Assisted by Donovan Theme-Love.,20,62
13:46,-1,Robert Hobson missed Three Point Jumper.,20,62
13:46,-1,Majerle Poole Offensive Rebound.,20,62
13:39,-1,James Veal made Jumper. Assisted by Majerle Poole.,22,62
13:17,2747,Donovan Theme-Love made Three Point Jumper. Assisted by Keve Aluma.,22,65
12:57,-1,Majerle Poole made Layup.,24,65
12:37,2747,Keve Aluma missed Jumper.,24,65
12:37,-1,Chris Greer Defensive Rebound.,24,65
12:16,-1,James Veal Turnover.,24,65
12:00,2747,Keve Aluma Turnover.,24,65
12:00,2747,Foul on Keve Aluma.,24,65
11:38,-1,Robert Hobson missed Three Point Jumper.,24,65
11:38,2747,Keve Aluma Defensive Rebound.,24,65
11:27,2747,Tray Hollowell made Layup.,24,67
11:12,-1,Majerle Poole made Three Point Jumper. Assisted by Robert Hobson.,27,67
10:51,2747,Donovan Theme-Love missed Three Point Jumper.,27,67
10:51,2747,Keve Aluma Offensive Rebound.,27,67
10:46,2747,Donovan Theme-Love made Three Point Jumper. Assisted by Keve Aluma.,27,70
10:32,-1,Malik Bullock Turnover.,27,70
10:32,2747,Official TV Timeout,27,70
10:15,2747,Trevor Stumpe made Three Point Jumper. Assisted by Derrick Brooks.,27,73
10:01,-1,Majerle Poole missed Three Point Jumper.,27,73
10:01,2747,Donovan Theme-Love Defensive Rebound.,27,73
9:56,2747,Derrick Brooks Turnover.,27,73
9:43,-1,Kevin Cummings Turnover.,27,73
9:42,2747,Matthew Pegram Steal.,27,73
9:36,2747,Trevor Stumpe Turnover.,27,73
9:35,-1,Chris Greer Steal.,27,73
9:23,2747,Foul on Donovan Theme-Love.,27,73
9:23,-1,Alcyone Moore missed Free Throw.,27,73
9:23,-1,Johnson & Wales (NC) Deadball Team Rebound.,27,73
9:23,-1,Alcyone Moore missed Free Throw.,27,73
9:23,2747,Trevor Stumpe Defensive Rebound.,27,73
9:16,-1,Foul on Kajuan Madden-McAfee.,27,73
9:07,2747,Bobby Perez made Three Point Jumper. Assisted by Storm Murphy.,27,76
8:51,-1,Kevin Cummings missed Jumper.,27,76
8:51,2747,Trevor Stumpe Defensive Rebound.,27,76
8:39,2747,Bobby Perez missed Three Point Jumper.,27,76
8:39,-1,Alcyone Moore Defensive Rebound.,27,76
8:28,-1,Chris Greer missed Three Point Jumper.,27,76
8:28,2747,Matthew Pegram Defensive Rebound.,27,76
8:18,2747,Trevor Stumpe missed Three Point Jumper.,27,76
8:18,2747,Derrick Brooks Offensive Rebound.,27,76
8:14,2747,Storm Murphy made Three Point Jumper. Assisted by Derrick Brooks.,27,79
7:54,-1,Majerle Poole made Three Point Jumper. Assisted by Alcyone Moore.,30,79
7:27,-1,Foul on Kevin Cummings.,30,79
7:27,2747,Official TV Timeout,30,79
7:27,2747,Matthew Pegram made Free Throw.,30,80
7:27,2747,Matthew Pegram missed Free Throw.,30,80
7:27,-1,Malik Bullock Defensive Rebound.,30,80
7:19,-1,Caleb Coleman missed Layup.,30,80
7:19,2747,Matthew Pegram Defensive Rebound.,30,80
6:58,2747,Keve Aluma made Layup. Assisted by Tray Hollowell.,30,82
6:58,-1,Foul on James Veal.,30,82
6:58,2747,Keve Aluma made Free Throw.,30,83
6:40,-1,Majerle Poole made Jumper. Assisted by Robert Hobson.,32,83
6:17,2747,Storm Murphy made Three Point Jumper. Assisted by Matthew Pegram.,32,86
5:53,-1,Malik Bullock made Three Point Jumper. Assisted by Caleb Coleman.,35,86
5:31,2747,Matthew Pegram made Layup.,35,88
5:22,-1,Malik Bullock missed Layup.,35,88
5:22,2747,Keve Aluma Defensive Rebound.,35,88
5:14,2747,Matthew Pegram made Layup. Assisted by Keve Aluma.,35,90
5:05,-1,Robert Hobson missed Three Point Jumper.,35,90
5:05,2747,Keve Aluma Defensive Rebound.,35,90
4:47,2747,Tray Hollowell missed Three Point Jumper.,35,90
4:47,-1,Majerle Poole Defensive Rebound.,35,90
4:27,-1,Malik Bullock Turnover.,35,90
4:26,2747,Tray Hollowell Steal.,35,90
4:25,2747,Tray Hollowell Turnover.,35,90
4:24,-1,Malik Bullock Steal.,35,90
4:20,-1,Malik Bullock missed Layup.,35,90
4:20,2747,Keve Aluma Defensive Rebound.,35,90
4:07,2747,Matthew Pegram Turnover.,35,90
4:06,-1,Caleb Coleman Steal.,35,90
4:05,2747,Foul on Storm Murphy.,35,90
4:04,-1,Majerle Poole made Three Point Jumper.,38,90
4:01,2747,Donovan Theme-Love made Three Point Jumper.,38,93
3:53,2747,Foul on Dishon Lowery.,38,93
3:33,2747,Official TV Timeout,38,93
3:33,-1,Majerle Poole made Free Throw.,39,93
3:33,-1,Majerle Poole made Free Throw.,40,93
3:33,-1,Majerle Poole made Free Throw.,41,93
3:03,2747,Tray Hollowell made Three Point Jumper. Assisted by Dishon Lowery.,41,96
2:42,-1,Kevin Cummings made Jumper.,43,96
2:26,-1,Foul on Miles Myrick.,43,96
2:26,2747,Dishon Lowery made Free Throw.,43,97
2:26,2747,Dishon Lowery made Free Throw.,43,98
2:01,-1,Kevin Cummings missed Jumper.,43,98
2:01,-1,Chris Greer Offensive Rebound.,43,98
2:00,2747,Foul on Dishon Lowery.,43,98
2:00,-1,Chris Greer missed Free Throw.,43,98
2:00,2747,Defensive Rebound.,43,98
1:39,2747,Donovan Theme-Love made Three Point Jumper. Assisted by Bobby Perez.,43,101
1:15,-1,Kevin Cummings Turnover.,43,101
0:49,2747,Bobby Perez Turnover.,43,101
0:48,-1,Destin Ingram Steal.,43,101
0:45,2747,Foul on Donovan Theme-Love.,43,101
0:45,-1,Miles Myrick missed Free Throw.,43,101
0:45,-1,Johnson & Wales (NC) Deadball Team Rebound.,43,101
0:45,-1,Miles Myrick missed Free Throw.,43,101
0:45,2747,Dishon Lowery Defensive Rebound.,43,101
0:23,2747,Donovan Theme-Love missed Three Point Jumper.,43,101
0:23,2747,Offensive Rebound.,43,101
0:17,2747,Bobby Perez made Three Point Jumper.,43,104
0:06,-1,Colby Cashaw made Layup. Assisted by Destin Ingram.,45,104
0:00,2747,End of Game,45,104
