Milwaukee,2710,Western Illinois,270
1:09,2710,Kobe Webster made Three Point Jumper.,22,50
0:49,270,August Haas Turnover.,22,50
0:48,2710,Isaac Johnson Steal.,22,50
0:45,2710,Isaac Johnson made Layup.,22,52
0:24,270,Brett Prahl Turnover.,22,52
0:23,2710,Kobe Webster Steal.,22,52
0:17,270,Foul on Vance Johnson.,22,52
0:17,2710,Isaac Johnson missed Free Throw.,22,52
0:17,2710,Western Illinois Deadball Team Rebound.,22,52
0:17,2710,Isaac Johnson made Free Throw.,22,53
0:01,270,Jeremiah Bell made Three Point Jumper. Assisted by August Haas.,25,53
0:00,2710,End of 1st half,25,53
19:48,270,Jeremy Johnson missed Jumper.,25,53
19:48,2710,Brandon Gilbeck Defensive Rebound.,25,53
19:25,2710,Brandon Gilbeck made Dunk. Assisted by Kobe Webster.,25,55
19:08,270,Vance Johnson missed Jumper.,25,55
19:08,2710,Brandon Gilbeck Defensive Rebound.,25,55
18:52,2710,Isaac Johnson missed Jumper.,25,55
18:52,270,Jeremy Johnson Defensive Rebound.,25,55
18:43,270,August Haas made Layup. Assisted by Jeremy Johnson.,27,55
18:15,2710,Kobe Webster missed Jumper.,27,55
18:15,2710,Western Illinois Offensive Rebound.,27,55
18:06,2710,Dalan Ancrum made Jumper.,27,57
18:06,270,Foul on Bryce Barnes.,27,57
18:06,2710,Dalan Ancrum missed Free Throw.,27,57
18:06,270,Brett Prahl Defensive Rebound.,27,57
17:54,270,Bryce Nze made Dunk. Assisted by Bryce Barnes.,29,57
17:22,2710,Brandon Gilbeck made Dunk. Assisted by Kobe Webster.,29,59
17:05,270,August Haas missed Three Point Jumper.,29,59
17:05,2710,Brandon Gilbeck Defensive Rebound.,29,59
16:32,2710,Kobe Webster made Three Point Jumper. Assisted by Dalan Ancrum.,29,62
16:16,270,Bryce Nze made Three Point Jumper. Assisted by August Haas.,32,62
16:13,270,Milwaukee  Timeout,32,62
15:50,2710,Kobe Webster made Three Point Jumper. Assisted by Jeremiah Usiosefe.,32,65
15:34,270,Jeremiah Bell made Jumper.,34,65
15:21,2710,Jeremiah Usiosefe made Three Point Jumper. Assisted by Isaac Johnson.,34,68
14:46,270,Vance Johnson made Jumper. Assisted by August Haas.,36,68
14:27,2710,Jeremiah Usiosefe made Three Point Jumper. Assisted by Kobe Webster.,36,71
14:14,270,Jeremiah Bell Turnover.,36,71
14:14,2710,Official TV Timeout,36,71
14:01,270,Foul on Bryce Barnes.,36,71
13:48,2710,Kobe Webster missed Three Point Jumper.,36,71
13:48,270,Bryce Nze Defensive Rebound.,36,71
13:26,270,Jeremy Johnson made Jumper. Assisted by Jeremiah Bell.,38,71
13:25,2710,Foul on Kobe Webster.,38,71
13:25,270,Jeremy Johnson made Free Throw.,39,71
13:21,270,Foul on Vance Johnson.,39,71
13:14,2710,Isaac Johnson missed Jumper.,39,71
13:14,270,Bryce Nze Block.,39,71
13:11,270,Bryce Barnes Defensive Rebound.,39,71
13:09,2710,Foul on Kobe Webster.,39,71
13:09,270,Bryce Barnes made Free Throw.,40,71
13:09,270,Bryce Barnes made Free Throw.,41,71
12:54,2710,C.J. Duff made Three Point Jumper. Assisted by Jeremiah Usiosefe.,41,74
12:38,270,Jeremiah Bell missed Three Point Jumper.,41,74
12:38,270,Bryce Nze Offensive Rebound.,41,74
12:34,2710,Foul on C.J. Duff.,41,74
12:22,270,Bryce Nze Turnover.,41,74
12:22,2710,Brandon Gilbeck Steal.,41,74
12:22,270,Foul on Bryce Nze.,41,74
12:14,2710,Jeremiah Usiosefe Turnover.,41,74
12:14,2710,Foul on Jeremiah Usiosefe.,41,74
12:05,270,August Haas missed Jumper.,41,74
12:05,270,Brett Prahl Offensive Rebound.,41,74
12:00,270,Brett Prahl made Jumper.,43,74
11:51,2710,Delo Bruster Turnover.,43,74
11:50,270,Jeremy Johnson Steal.,43,74
11:48,270,August Haas made Layup. Assisted by Jeremy Johnson.,45,74
11:40,2710,Kobe Webster Turnover.,45,74
11:39,2710,Official TV Timeout,45,74
11:33,270,Bryce Barnes missed Jumper.,45,74
11:33,2710,Brandon Gilbeck Defensive Rebound.,45,74
11:28,270,Foul on Jeremiah Bell.,45,74
11:09,2710,Dalan Ancrum made Layup.,45,76
10:58,270,Bryce Barnes missed Jumper.,45,76
10:58,270,Jeremy Johnson Offensive Rebound.,45,76
10:40,270,Brett Prahl made Layup. Assisted by Jeremiah Bell.,47,76
10:27,2710,Brandon Gilbeck made Dunk. Assisted by Isaac Johnson.,47,78
10:02,270,Brett Prahl made Layup. Assisted by Bryce Barnes.,49,78
10:01,2710,Foul on Isaac Johnson.,49,78
10:01,270,Brett Prahl made Free Throw.,50,78
9:42,2710,Dalan Ancrum missed Three Point Jumper.,50,78
9:42,270,Bryce Barnes Defensive Rebound.,50,78
9:32,270,Bryce Nze Turnover.,50,78
9:32,270,Foul on Bryce Nze.,50,78
9:14,2710,Kobe Webster Turnover.,50,78
9:14,2710,Foul on Kobe Webster.,50,78
8:54,270,Vance Johnson missed Jumper.,50,78
8:54,2710,Brandon Gilbeck Defensive Rebound.,50,78
8:25,2710,Kobe Webster missed Three Point Jumper.,50,78
8:25,270,Milwaukee Defensive Rebound.,50,78
8:09,270,Carson Warren-Newsome missed Three Point Jumper.,50,78
8:09,2710,Jeremiah Usiosefe Defensive Rebound.,50,78
8:08,270,Foul on Vance Johnson.,50,78
8:08,2710,Jeremiah Usiosefe missed Free Throw.,50,78
8:08,270,August Haas Defensive Rebound.,50,78
7:56,270,Carson Warren-Newsome missed Jumper.,50,78
7:56,2710,Brandon Gilbeck Defensive Rebound.,50,78
7:43,2710,Kobe Webster Turnover.,50,78
7:42,270,Jeremiah Bell Steal.,50,78
7:40,2710,Foul on Dalan Ancrum.,50,78
7:40,2710,Official TV Timeout,50,78
7:40,270,Jeremiah Bell made Free Throw.,51,78
7:40,270,Jeremiah Bell made Free Throw.,52,78
7:32,270,Foul on Bryce Barnes.,52,78
7:32,2710,Delo Bruster made Free Throw.,52,79
7:32,2710,Delo Bruster missed Free Throw.,52,79
7:32,270,Vance Johnson Defensive Rebound.,52,79
7:15,270,Bryce Barnes missed Jumper.,52,79
7:15,2710,Brandon Gilbeck Block.,52,79
7:13,2710,Delo Bruster Defensive Rebound.,52,79
6:49,2710,Dalan Ancrum Turnover.,52,79
6:47,270,Vance Johnson Steal.,52,79
6:37,270,Bryce Barnes missed Jumper.,52,79
6:37,270,Brett Prahl Offensive Rebound.,52,79
6:30,270,Jeremiah Bell missed Three Point Jumper.,52,79
6:30,2710,Delo Bruster Defensive Rebound.,52,79
6:15,2710,Jeremiah Usiosefe Turnover.,52,79
5:56,270,Bryce Barnes missed Three Point Jumper.,52,79
5:56,2710,Brandon Gilbeck Defensive Rebound.,52,79
5:36,2710,Jeremiah Usiosefe missed Three Point Jumper.,52,79
5:36,270,Jeremiah Bell Defensive Rebound.,52,79
5:21,270,Bryce Barnes made Jumper.,54,79
4:49,2710,Brandon Gilbeck made Jumper. Assisted by Kobe Webster.,54,81
4:48,270,Foul on Bryce Nze.,54,81
4:48,2710,Brandon Gilbeck missed Free Throw.,54,81
4:48,270,Vance Johnson Defensive Rebound.,54,81
4:37,270,August Haas missed Three Point Jumper.,54,81
4:37,270,Jeremiah Bell Offensive Rebound.,54,81
4:25,270,Jeremiah Bell missed Three Point Jumper.,54,81
4:25,2710,Brandon Gilbeck Defensive Rebound.,54,81
4:10,2710,Brandon Gilbeck Turnover.,54,81
4:10,2710,Foul on Brandon Gilbeck.,54,81
4:03,270,Brett Prahl Turnover.,54,81
4:03,270,Foul on Brett Prahl.,54,81
3:44,2710,Official TV Timeout,54,81
3:43,2710,Kobe Webster missed Jumper.,54,81
3:43,270,Jeremy Johnson Defensive Rebound.,54,81
3:21,270,Jeremy Johnson made Three Point Jumper. Assisted by Jeremiah Bell.,57,81
3:19,270,Milwaukee  Timeout,57,81
2:54,2710,C.J. Duff made Three Point Jumper. Assisted by Jeremiah Usiosefe.,57,84
2:26,270,Jeremiah Bell missed Jumper.,57,84
2:26,270,Vance Johnson Offensive Rebound.,57,84
2:21,270,Vance Johnson missed Jumper.,57,84
2:21,2710,Delo Bruster Defensive Rebound.,57,84
2:02,2710,Kobe Webster missed Jumper.,57,84
2:02,270,Vance Johnson Defensive Rebound.,57,84
1:51,270,Brett Prahl made Jumper. Assisted by August Haas.,59,84
1:50,2710,Foul on Charles Gavin.,59,84
1:50,270,Brett Prahl missed Free Throw.,59,84
1:50,2710,Jeremiah Usiosefe Defensive Rebound.,59,84
1:35,2710,Kobe Webster Turnover.,59,84
1:33,270,Carson Warren-Newsome Steal.,59,84
1:31,270,Carson Warren-Newsome made Dunk.,61,84
1:24,270,Foul on Jeremy Johnson.,61,84
1:24,2710,C.J. Duff made Free Throw.,61,85
1:24,2710,C.J. Duff made Free Throw.,61,86
1:19,270,Jeremiah Bell made Three Point Jumper. Assisted by Bryce Barnes.,64,86
1:09,270,Foul on August Haas.,64,86
1:09,2710,Jeremiah Usiosefe made Free Throw.,64,87
1:09,2710,Jeremiah Usiosefe made Free Throw.,64,88
1:04,270,Jeremiah Bell missed Three Point Jumper.,64,88
1:04,2710,Charles Gavin Defensive Rebound.,64,88
0:43,2710,Delo Bruster Turnover.,64,88
0:42,270,Jeremiah Bell Steal.,64,88
0:38,270,Jeremy Johnson Turnover.,64,88
0:37,2710,Kobe Webster Turnover.,64,88
0:36,270,Bryce Barnes Steal.,64,88
0:34,270,Bryce Barnes made Layup.,66,88
0:28,2710,Jeremiah Usiosefe Turnover.,66,88
0:26,270,Jeremiah Bell Steal.,66,88
0:24,270,Jeremiah Bell missed Three Point Jumper.,66,88
0:24,2710,Charles Gavin Defensive Rebound.,66,88
0:19,2710,Delo Bruster Turnover.,66,88
0:18,270,Jeremy Johnson Steal.,66,88
0:16,270,Jeremy Johnson missed Three Point Jumper.,66,88
0:16,2710,Jeremiah Usiosefe Defensive Rebound.,66,88
0:12,270,Foul on Jeremy Johnson.,66,88
0:12,2710,Jeremiah Usiosefe made Free Throw.,66,89
0:12,2710,Jeremiah Usiosefe made Free Throw.,66,90
0:03,270,Jeremiah Bell made Three Point Jumper. Assisted by August Haas.,69,90
0:00,2710,End of Game,69,90
