Southern,2116,UCF,2582
7:58,2582,Emanual Shepherd Defensive Rebound.,18,17
7:48,2582,Torrey Mayo Turnover.,18,17
7:19,2116,Nathan Laing missed Three Point Jumper.,18,17
7:19,2582,Aaron Ray Defensive Rebound.,18,17
7:15,2582,Aaron Ray Turnover.,18,17
7:15,2116,Ceasar DeJesus Steal.,18,17
6:57,2116,A.J. Davis made Layup. Assisted by Ceasar DeJesus.,18,19
6:41,2582,Aaron Ray missed Three Point Jumper.,18,19
6:41,2116,Ceasar DeJesus Defensive Rebound.,18,19
6:27,2116,Tacko Fall made Layup. Assisted by A.J. Davis.,18,21
6:27,2582,Foul on Shaquille Benson.,18,21
6:27,2116,Tacko Fall made Free Throw.,18,22
6:09,2582,Eddie Reese missed Three Point Jumper.,18,22
6:09,2582,Jared Sam Offensive Rebound.,18,22
6:06,2582,Jared Sam made Layup.,20,22
6:06,2116,Foul on Djordjije Mumin.,20,22
6:06,2582,Jared Sam missed Free Throw.,20,22
6:06,2116,Chad Brown Defensive Rebound.,20,22
5:50,2116,Chad Brown made Layup.,20,24
5:39,2582,Jared Sam made Layup. Assisted by Eddie Reese.,22,24
5:39,2116,Foul on Chad Brown.,22,24
5:39,2582,Jared Sam missed Free Throw.,22,24
5:39,2116,A.J. Davis Defensive Rebound.,22,24
5:25,2116,A.J. Davis missed Three Point Jumper.,22,24
5:25,2582,Eddie Reese Defensive Rebound.,22,24
5:07,2582,Eddie Reese made Three Point Jumper. Assisted by Jared Sam.,25,24
4:48,2116,Terrell Allen missed Jumper.,25,24
4:48,2582,Jared Sam Defensive Rebound.,25,24
4:20,2582,Jared Sam missed Jumper.,25,24
4:20,2116,Terrell Allen Defensive Rebound.,25,24
4:13,2582,Foul on Richard Lee.,25,24
4:05,2116,Djordjije Mumin made Three Point Jumper. Assisted by Terrell Allen.,25,27
3:32,2582,Emanual Shepherd missed Jumper.,25,27
3:32,2116,Rokas Ulvydas Defensive Rebound.,25,27
3:20,2116,A.J. Davis Turnover.,25,27
3:19,2582,Emanual Shepherd Steal.,25,27
3:10,2116,Foul on Rokas Ulvydas.,25,27
3:10,2116,Official TV Timeout,25,27
3:06,2582,Richard Lee made Jumper.,27,27
2:51,2116,Terrell Allen missed Jumper.,27,27
2:51,2116,Terrell Allen Offensive Rebound.,27,27
2:49,2116,Terrell Allen missed Layup.,27,27
2:49,2116,Tacko Fall Offensive Rebound.,27,27
2:46,2116,Tacko Fall made Dunk.,27,29
2:16,2582,Jamar Sandifer Turnover.,27,29
2:16,2116,Djordjije Mumin Steal.,27,29
2:14,2582,Foul on Torrey Mayo.,27,29
2:14,2116,Dayon Griffin made Free Throw.,27,30
2:14,2116,Dayon Griffin missed Free Throw.,27,30
2:14,2582,Jared Sam Defensive Rebound.,27,30
1:51,2582,Jamar Sandifer missed Layup.,27,30
1:51,2582,Jared Sam Offensive Rebound.,27,30
1:48,2582,Jared Sam made Two Point Tip Shot.,29,30
1:34,2116,Djordjije Mumin made Three Point Jumper. Assisted by Terrell Allen.,29,33
1:13,2582,Jamar Sandifer missed Jumper.,29,33
1:13,2116,Tacko Fall Defensive Rebound.,29,33
0:54,2116,Terrell Allen Turnover.,29,33
0:29,2582,Aaron Ray made Three Point Jumper.,32,33
0:03,2582,Foul on Emanual Shepherd.,32,33
0:03,2116,Tacko Fall missed Free Throw.,32,33
0:03,2116,UCF Deadball Team Rebound.,32,33
0:03,2116,Tacko Fall made Free Throw.,32,34
0:03,2582,Southern  Timeout,32,34
0:00,2116,End of 1st half,32,34
19:51,2582,Jared Sam missed Jumper.,32,34
19:51,2116,A.J. Davis Defensive Rebound.,32,34
19:36,2116,Tacko Fall missed Layup.,32,34
19:36,2582,Emanual Shepherd Defensive Rebound.,32,34
19:29,2582,Chris Thomas Turnover.,32,34
19:11,2116,A.J. Davis made Jumper. Assisted by Ceasar DeJesus.,32,36
18:53,2582,Eddie Reese missed Layup.,32,36
18:53,2116,A.J. Davis Defensive Rebound.,32,36
18:48,2582,Foul on Chris Thomas.,32,36
18:48,2116,Terrell Allen made Free Throw.,32,37
18:48,2116,A.J. Davis made Free Throw.,32,38
18:23,2116,Foul on Tacko Fall.,32,38
18:23,2582,Emanual Shepherd made Free Throw.,33,38
18:23,2582,Emanual Shepherd made Free Throw.,34,38
18:01,2116,A.J. Davis made Three Point Jumper. Assisted by Ceasar DeJesus.,34,41
17:33,2582,Jared Sam missed Jumper.,34,41
17:33,2116,Djordjije Mumin Defensive Rebound.,34,41
17:18,2116,Ceasar DeJesus made Three Point Jumper. Assisted by A.J. Davis.,34,44
17:13,2582,Southern  Timeout,34,44
16:45,2582,Aaron Ray made Three Point Jumper. Assisted by Emanual Shepherd.,37,44
16:18,2116,Ceasar DeJesus missed Three Point Jumper.,37,44
16:18,2116,A.J. Davis Offensive Rebound.,37,44
15:57,2116,Tacko Fall made Layup.,37,46
15:40,2116,Foul on Tacko Fall.,37,46
15:40,2582,Jared Sam made Free Throw.,38,46
15:40,2582,Jared Sam missed Free Throw.,38,46
15:40,2116,Tacko Fall Defensive Rebound.,38,46
15:17,2116,Ceasar DeJesus Turnover.,38,46
15:15,2582,Jared Sam Steal.,38,46
15:03,2582,Emanual Shepherd made Jumper.,40,46
14:38,2116,Terrell Allen missed Three Point Jumper.,40,46
14:38,2116,A.J. Davis Offensive Rebound.,40,46
14:31,2116,A.J. Davis made Two Point Tip Shot.,40,48
14:03,2582,Eddie Reese Turnover.,40,48
14:03,2116,Terrell Allen Steal.,40,48
14:01,2116,Dayon Griffin made Layup. Assisted by Terrell Allen.,40,50
14:01,2582,Foul on Aaron Ray.,40,50
13:58,2116,Dayon Griffin missed Free Throw.,40,50
13:58,2582,Jared Sam Defensive Rebound.,40,50
13:38,2582,Jared Sam made Layup. Assisted by Eddie Reese.,42,50
13:14,2116,Djordjije Mumin missed Three Point Jumper.,42,50
13:14,2582,Emanual Shepherd Defensive Rebound.,42,50
12:58,2582,Aaron Ray missed Layup.,42,50
12:58,2116,Dayon Griffin Defensive Rebound.,42,50
12:43,2116,A.J. Davis made Jumper. Assisted by Terrell Allen.,42,52
12:17,2582,Eddie Reese missed Three Point Jumper.,42,52
12:17,2116,Terrell Allen Defensive Rebound.,42,52
11:54,2116,Dayon Griffin missed Three Point Jumper.,42,52
11:54,2116,Chad Brown Offensive Rebound.,42,52
11:49,2582,Foul on Emanual Shepherd.,42,52
11:49,2116,Official TV Timeout,42,52
11:49,2116,Chad Brown made Free Throw.,42,53
11:49,2116,Chad Brown made Free Throw.,42,54
11:26,2582,Jamar Sandifer missed Three Point Jumper.,42,54
11:26,2116,Dayon Griffin Defensive Rebound.,42,54
11:23,2116,Myles Douglas Turnover.,42,54
11:17,2582,Richard Lee made Jumper.,44,54
10:51,2582,Foul on Richard Lee.,44,54
10:33,2116,Terrell Allen missed Three Point Jumper.,44,54
10:33,2116,Chance McSpadden Offensive Rebound.,44,54
10:28,2116,Chance McSpadden made Layup.,44,56
10:14,2582,Shaquille Benson Turnover.,44,56
10:13,2116,Chad Brown Steal.,44,56
10:11,2116,Myles Douglas Turnover.,44,56
10:10,2582,Jamar Sandifer Steal.,44,56
10:08,2582,Richard Lee made Three Point Jumper.,47,56
9:41,2116,Chance McSpadden made Three Point Jumper. Assisted by Terrell Allen.,47,59
9:17,2582,Jared Sam missed Jumper.,47,59
9:17,2582,Shaquille Benson Offensive Rebound.,47,59
9:06,2582,Jared Sam missed Layup.,47,59
9:06,2116,Chad Brown Block.,47,59
9:06,2582,Southern Offensive Rebound.,47,59
8:53,2582,Jared Sam missed Jumper.,47,59
8:53,2116,Chad Brown Block.,47,59
8:51,2582,Shaquille Benson Offensive Rebound.,47,59
8:50,2582,Shaquille Benson made Layup.,49,59
8:38,2116,Terrell Allen made Layup.,49,61
8:25,2582,Richard Lee made Three Point Jumper. Assisted by Jared Sam.,52,61
8:02,2582,Foul on Shaquille Benson.,52,61
8:02,2116,Dayon Griffin made Free Throw.,52,62
8:02,2116,Dayon Griffin made Free Throw.,52,63
7:40,2582,Richard Lee missed Jumper.,52,63
7:40,2116,Tacko Fall Defensive Rebound.,52,63
7:20,2116,Tacko Fall made Layup. Assisted by Dayon Griffin.,52,65
7:07,2582,Eddie Reese Turnover.,52,65
7:06,2116,Terrell Allen Steal.,52,65
6:59,2116,A.J. Davis missed Layup.,52,65
6:59,2582,Aaron Ray Defensive Rebound.,52,65
6:52,2116,Foul on Tacko Fall.,52,65
6:52,2116,Official TV Timeout,52,65
6:52,2582,Aaron Ray made Free Throw.,53,65
6:52,2582,Aaron Ray made Free Throw.,54,65
6:45,2116,Terrell Allen Turnover.,54,65
6:45,2582,Aaron Ray Steal.,54,65
6:42,2582,Emanual Shepherd made Layup. Assisted by Eddie Reese.,56,65
6:20,2116,Dayon Griffin missed Three Point Jumper.,56,65
6:20,2582,Eddie Reese Defensive Rebound.,56,65
6:12,2582,Richard Lee Turnover.,56,65
6:11,2116,Tacko Fall Steal.,56,65
5:45,2116,Chance McSpadden missed Three Point Jumper.,56,65
5:45,2582,Jared Sam Defensive Rebound.,56,65
5:30,2582,Jared Sam Turnover.,56,65
4:59,2116,Terrell Allen missed Jumper.,56,65
4:59,2116,Tacko Fall Offensive Rebound.,56,65
4:56,2116,Tacko Fall made Two Point Tip Shot.,56,67
4:48,2582,Eddie Reese missed Layup.,56,67
4:48,2116,Tacko Fall Defensive Rebound.,56,67
4:27,2116,Djordjije Mumin made Three Point Jumper. Assisted by A.J. Davis.,56,70
3:57,2582,Richard Lee missed Three Point Jumper.,56,70
3:57,2116,UCF Defensive Rebound.,56,70
3:53,2116,Official TV Timeout,56,70
3:30,2116,Tacko Fall missed Layup.,56,70
3:30,2116,Tacko Fall Offensive Rebound.,56,70
3:28,2116,Tacko Fall made Dunk.,56,72
3:04,2582,Torrey Mayo Turnover.,56,72
2:43,2582,Foul on Torrey Mayo.,56,72
2:43,2116,Ceasar DeJesus made Free Throw.,56,73
2:43,2116,Ceasar DeJesus made Free Throw.,56,74
2:15,2582,Jared Sam made Jumper.,58,74
1:41,2116,Tacko Fall made Layup.,58,76
1:38,2116,UCF  Timeout,58,76
1:28,2582,Eddie Reese Turnover.,58,76
1:09,2116,Dayon Griffin missed Layup.,58,76
1:09,2582,Aaron Ray Defensive Rebound.,58,76
0:45,2582,Eddie Reese missed Layup.,58,76
0:45,2116,Nathan Laing Defensive Rebound.,58,76
0:38,2116,Chance McSpadden Turnover.,58,76
0:28,2582,Jared Sam made Jumper.,60,76
0:00,2116,End of Game,60,76
