North Carolina Central,2244,George Mason,2428
6:01,2244,Justin Kier missed Jumper.,18,24
6:01,2244,Goanar Mar Offensive Rebound.,18,24
6:00,2428,Foul on Brandon Goldsmith.,18,24
6:00,2244,Goanar Mar made Free Throw.,18,25
6:00,2244,Goanar Mar made Free Throw.,18,26
5:44,2428,Pablo Rivas missed Jumper.,18,26
5:44,2428,Raasean Davis Offensive Rebound.,18,26
5:38,2428,Raasean Davis made Jumper.,20,26
5:24,2244,Justin Kier Turnover.,20,26
5:21,2428,Raasean Davis Steal.,20,26
4:56,2428,C.J. Wiggins missed Three Point Jumper.,20,26
4:56,2244,Javon Greene Defensive Rebound.,20,26
4:40,2244,Jaire Grayer missed Three Point Jumper.,20,26
4:40,2428,Jordan Perkins Defensive Rebound.,20,26
4:32,2428,Larry McKnight Jr. missed Layup.,20,26
4:32,2428,Larry McKnight Jr. Offensive Rebound.,20,26
4:29,2428,Larry McKnight Jr. missed Jumper.,20,26
4:29,2428,Larry McKnight Jr. Offensive Rebound.,20,26
4:25,2428,Larry McKnight Jr. missed Jumper.,20,26
4:18,2244,Official TV Timeout,20,28
4:18,2244,Justin Kier Defensive Rebound.,20,26
4:18,2244,Otis Livingston II made Jumper.,20,28
4:18,2244,Official TV Timeout,20,28
4:01,2428,Reginald Gardner Jr missed Layup.,20,28
4:01,2244,Greg Calixte Defensive Rebound.,20,28
3:48,2244,Jaire Grayer missed Three Point Jumper.,20,28
3:48,2244,Otis Livingston II Offensive Rebound.,20,28
3:40,2244,Otis Livingston II made Layup.,20,30
3:32,2428,Jordan Perkins made Layup.,22,30
3:16,2244,Javon Greene missed Three Point Jumper.,22,30
3:16,2428,Raasean Davis Defensive Rebound.,22,30
3:04,2428,Reginald Gardner Jr missed Three Point Jumper.,22,30
3:04,2244,Javon Greene Defensive Rebound.,22,30
3:01,2428,Foul on Pablo Rivas.,22,30
3:01,2244,Javon Greene made Free Throw.,22,31
3:01,2244,Javon Greene missed Free Throw.,22,31
3:01,2428,Pablo Rivas Defensive Rebound.,22,31
2:46,2428,Pablo Rivas Turnover.,22,31
2:25,2244,Ian Boyd missed Three Point Jumper.,22,31
2:25,2244,Greg Calixte Offensive Rebound.,22,31
2:17,2244,Greg Calixte made Two Point Tip Shot.,22,33
2:15,2244,Foul on Greg Calixte.,22,33
2:15,2428,Raasean Davis made Free Throw.,23,33
2:15,2428,Raasean Davis missed Free Throw.,23,33
2:15,2244,Ian Boyd Defensive Rebound.,23,33
2:04,2244,Justin Kier made Jumper. Assisted by Jaire Grayer.,23,35
1:41,2244,Foul on Goanar Mar.,23,35
1:41,2428,Raasean Davis made Free Throw.,24,35
1:41,2428,Raasean Davis made Free Throw.,25,35
1:16,2244,AJ Wilson missed Jumper.,25,35
1:16,2244,Ian Boyd Offensive Rebound.,25,35
1:13,2244,Ian Boyd made Jumper.,25,37
0:56,2244,Foul on AJ Wilson.,25,37
0:56,2428,Reginald Gardner Jr made Free Throw.,26,37
0:56,2428,Reginald Gardner Jr missed Free Throw.,26,37
0:56,2244,Jaire Grayer Defensive Rebound.,26,37
0:33,2244,AJ Wilson made Jumper. Assisted by Justin Kier.,26,39
0:02,2428,Jordan Perkins missed Jumper.,26,39
0:02,2244,AJ Wilson Block.,26,39
0:00,2244,Ian Boyd Defensive Rebound.,26,39
0:00,2244,End of 1st half,26,39
19:51,2244,Goanar Mar made Layup. Assisted by Ian Boyd.,26,41
19:51,2428,Foul on Brandon Goldsmith.,26,41
19:51,2244,Goanar Mar made Free Throw.,26,42
19:40,2428,Brandon Goldsmith made Jumper. Assisted by Jordan Perkins.,28,42
19:11,2428,Foul on Zacarry Douglas.,28,42
19:09,2244,Justin Kier missed Three Point Jumper.,28,42
19:09,2428,Brandon Goldsmith Defensive Rebound.,28,42
18:49,2428,Raasean Davis made Layup. Assisted by Jordan Perkins.,30,42
18:25,2244,Ian Boyd made Layup.,30,44
18:06,2428,Reginald Gardner Jr missed Three Point Jumper.,30,44
18:06,2244,Ian Boyd Defensive Rebound.,30,44
17:50,2244,Goanar Mar missed Three Point Jumper.,30,44
17:50,2428,Brandon Goldsmith Defensive Rebound.,30,44
17:44,2244,Foul on Otis Livingston II.,30,44
17:41,2428,Raasean Davis missed Jumper.,30,44
17:41,2428,Jordan Perkins Offensive Rebound.,30,44
17:20,2428,Raasean Davis made Jumper. Assisted by Pablo Rivas.,32,44
16:51,2244,Goanar Mar Turnover.,32,44
16:50,2428,Pablo Rivas Steal.,32,44
16:47,2244,Foul on Otis Livingston II.,32,44
16:43,2428,Pablo Rivas made Jumper. Assisted by Raasean Davis.,34,44
16:30,2428,Foul on Raasean Davis.,34,44
16:21,2244,Justin Kier missed Layup.,34,44
16:21,2428,Raasean Davis Defensive Rebound.,34,44
16:15,2244,Foul on Javon Greene.,34,44
16:15,2428,Brandon Goldsmith missed Free Throw.,34,44
16:15,2428,North Carolina Central Deadball Team Rebound.,34,44
16:15,2428,Brandon Goldsmith made Free Throw.,35,44
15:58,2428,Foul on Pablo Rivas.,35,44
15:58,2244,Official TV Timeout,35,44
15:54,2244,Otis Livingston II made Three Point Jumper. Assisted by Justin Kier.,35,47
15:31,2428,Raasean Davis missed Jumper.,35,47
15:31,2244,Otis Livingston II Defensive Rebound.,35,47
15:23,2244,Otis Livingston II made Layup.,35,49
15:06,2428,Jordan Perkins made Three Point Jumper. Assisted by Pablo Rivas.,38,49
14:52,2244,Jaire Grayer made Three Point Jumper. Assisted by Otis Livingston II.,38,52
14:28,2428,Brandon Goldsmith missed Three Point Jumper.,38,52
14:28,2428,Brandon Goldsmith Offensive Rebound.,38,52
14:19,2428,Reginald Gardner Jr made Layup.,40,52
13:58,2244,Otis Livingston II made Three Point Jumper. Assisted by Javon Greene.,40,55
13:36,2244,Foul on Goanar Mar.,40,55
13:32,2428,Jordan Perkins Turnover.,40,55
13:30,2244,Otis Livingston II Steal.,40,55
13:27,2244,Ian Boyd Turnover.,40,55
13:16,2428,Jordan Perkins made Layup.,42,55
12:47,2244,Otis Livingston II missed Layup.,42,55
12:47,2428,Raasean Davis Block.,42,55
12:45,2244,Jaire Grayer Offensive Rebound.,42,55
12:41,2428,Foul on Brandon Goldsmith.,42,55
12:41,2244,Greg Calixte missed Free Throw.,42,55
12:41,2244,George Mason Deadball Team Rebound.,42,55
12:41,2244,Greg Calixte missed Free Throw.,42,55
12:41,2244,Ian Boyd Offensive Rebound.,42,55
12:35,2244,Otis Livingston II missed Layup.,42,55
12:35,2244,Jaire Grayer Offensive Rebound.,42,55
12:25,2244,Otis Livingston II missed Layup.,42,55
12:25,2428,Raasean Davis Defensive Rebound.,42,55
12:16,2244,Foul on Jaire Grayer.,42,55
12:16,2428,Jordan Perkins missed Free Throw.,42,55
12:16,2428,North Carolina Central Deadball Team Rebound.,42,55
12:16,2428,Jordan Perkins missed Free Throw.,42,55
12:16,2428,Jordan Perkins Offensive Rebound.,42,55
11:57,2428,Reginald Gardner Jr Turnover.,42,55
11:57,2244,Official TV Timeout,42,55
11:47,2428,Foul on Pablo Rivas.,42,55
11:47,2244,Justin Kier made Free Throw.,42,56
11:47,2244,Justin Kier made Free Throw.,42,57
11:36,2428,Reginald Gardner Jr missed Three Point Jumper.,42,57
11:36,2428,Raasean Davis Offensive Rebound.,42,57
11:33,2244,Foul on Greg Calixte.,42,57
11:09,2428,Reginald Gardner Jr made Layup.,44,57
10:45,2244,Justin Kier Turnover.,44,57
10:36,2428,Reginald Gardner Jr missed Three Point Jumper.,44,57
10:36,2244,AJ Wilson Defensive Rebound.,44,57
10:30,2244,Justin Kier made Jumper.,44,59
9:58,2428,Jordan Perkins missed Layup.,44,59
9:58,2244,Jaire Grayer Block.,44,59
9:58,2244,George Mason Defensive Rebound.,44,59
9:47,2244,Jaire Grayer Turnover.,44,59
9:37,2428,Raasean Davis made Dunk. Assisted by Reginald Gardner Jr.,46,59
9:20,2244,Goanar Mar missed Three Point Jumper.,46,59
9:20,2428,Reginald Gardner Jr Defensive Rebound.,46,59
9:12,2428,Reginald Gardner Jr missed Jumper.,46,59
9:12,2244,AJ Wilson Defensive Rebound.,46,59
8:49,2244,Goanar Mar made Jumper. Assisted by Justin Kier.,46,61
8:17,2428,Reginald Gardner Jr Turnover.,46,61
8:16,2244,Jaire Grayer Steal.,46,61
8:15,2244,Foul on Goanar Mar.,46,61
8:15,2244,Goanar Mar Turnover.,46,61
8:01,2428,Raasean Davis missed Jumper.,46,61
8:01,2244,AJ Wilson Defensive Rebound.,46,61
7:41,2244,Justin Kier made Layup.,46,63
7:32,2428,North Carolina Central  Timeout,46,63
7:15,2428,Jordan Perkins missed Three Point Jumper.,46,63
7:15,2244,Jaire Grayer Defensive Rebound.,46,63
6:48,2244,Otis Livingston II made Three Point Jumper. Assisted by AJ Wilson.,46,66
6:32,2428,Zacarry Douglas Turnover.,46,66
6:32,2244,Official TV Timeout,46,66
6:17,2244,Justin Kier missed Layup.,46,66
6:17,2428,Reginald Gardner Jr Defensive Rebound.,46,66
6:04,2428,Larry McKnight Jr. missed Jumper.,46,66
6:04,2244,Greg Calixte Defensive Rebound.,46,66
5:38,2244,Jaire Grayer Turnover.,46,66
5:25,2428,Pablo Rivas made Three Point Jumper. Assisted by Jordan Perkins.,49,66
4:58,2244,Jaire Grayer Turnover.,49,66
4:56,2428,Jordan Perkins Steal.,49,66
4:53,2428,Reginald Gardner Jr made Layup. Assisted by Jordan Perkins.,51,66
4:31,2244,AJ Wilson missed Three Point Jumper.,51,66
4:31,2428,Reginald Gardner Jr Defensive Rebound.,51,66
4:23,2428,Reginald Gardner Jr missed Three Point Jumper.,51,66
4:23,2244,AJ Wilson Defensive Rebound.,51,66
4:08,2244,Justin Kier made Layup. Assisted by Otis Livingston II.,51,68
3:45,2428,Larry McKnight Jr. made Three Point Jumper. Assisted by Pablo Rivas.,54,68
3:45,2428,North Carolina Central  Timeout,54,68
3:34,2244,Jaire Grayer missed Three Point Jumper.,54,68
3:34,2244,Goanar Mar Offensive Rebound.,54,68
3:07,2244,AJ Wilson missed Three Point Jumper.,54,68
3:07,2428,Jordan Perkins Defensive Rebound.,54,68
3:00,2428,Larry McKnight Jr. missed Layup.,54,68
3:00,2244,AJ Wilson Block.,54,68
2:58,2428,Pablo Rivas Offensive Rebound.,54,68
2:52,2428,Pablo Rivas made Jumper.,56,68
2:40,2244,AJ Wilson made Dunk. Assisted by Otis Livingston II.,56,70
2:40,2428,Foul on Larry McKnight Jr..,56,70
2:40,2244,AJ Wilson missed Free Throw.,56,70
2:40,2244,Jaire Grayer Offensive Rebound.,56,70
2:29,2428,Foul on Raasean Davis.,56,70
2:29,2244,Goanar Mar made Free Throw.,56,71
2:29,2244,Goanar Mar made Free Throw.,56,72
2:15,2244,Foul on AJ Wilson.,56,72
2:15,2428,Pablo Rivas made Free Throw.,57,72
2:15,2428,Pablo Rivas made Free Throw.,58,72
2:00,2244,Goanar Mar made Layup. Assisted by Jaire Grayer.,58,74
1:57,2428,Pablo Rivas Turnover.,58,74
1:56,2244,Goanar Mar Steal.,58,74
1:49,2244,Jaire Grayer missed Jumper.,58,74
1:49,2428,Larry McKnight Jr. Defensive Rebound.,58,74
1:36,2244,Foul on AJ Wilson.,58,74
1:36,2428,Pablo Rivas made Free Throw.,59,74
1:36,2428,Pablo Rivas made Free Throw.,60,74
1:24,2428,Foul on Jordan Perkins.,60,74
1:24,2244,Justin Kier made Free Throw.,60,75
1:24,2244,Justin Kier made Free Throw.,60,76
1:08,2428,Reginald Gardner Jr missed Jumper.,60,76
1:08,2244,Greg Calixte Defensive Rebound.,60,76
0:51,2244,George Mason  Timeout,60,76
0:42,2244,Goanar Mar Turnover.,60,76
0:38,2244,Foul on Jack Tempchin.,60,76
0:38,2428,Jordan Perkins made Free Throw.,61,76
0:38,2428,Jordan Perkins made Free Throw.,62,76
0:20,2244,Jack Tempchin Turnover.,62,76
0:19,2428,Dominique Reid Steal.,62,76
0:13,2428,C.J. Wiggins made Layup.,64,76
0:13,2244,Foul on Goanar Mar.,64,76
0:13,2428,C.J. Wiggins made Free Throw.,65,76
0:13,2428,Foul on Larry McKnight Jr..,65,76
0:13,2244,Jack Tempchin missed Free Throw.,65,76
0:13,2244,George Mason Deadball Team Rebound.,65,76
0:13,2244,Jack Tempchin made Free Throw.,65,77
0:07,2428,C.J. Wiggins missed Jumper.,65,77
0:05,2244,George Mason Defensive Rebound.,65,77
0:00,2244,End of Game,65,77
