Mt. St. Mary's,2329,Lehigh,116
14:34,116,Jonah Antonio missed Three Point Jumper.,6,14
14:34,2329,Kahron Ross Defensive Rebound.,6,14
14:24,2329,Kahron Ross made Layup.,6,16
14:05,116,Jonah Antonio made Three Point Jumper. Assisted by Bobby Planutis.,9,16
13:47,2329,Lance Tejada missed Three Point Jumper.,9,16
13:47,116,Bobby Planutis Defensive Rebound.,9,16
13:24,116,Jonah Antonio missed Three Point Jumper.,9,16
13:24,116,Chris Wray Offensive Rebound.,9,16
13:19,116,Greg Alexander made Three Point Jumper. Assisted by Chris Wray.,12,16
13:04,2329,Ed Porter missed Layup.,12,16
13:04,116,Chris Wray Block.,12,16
13:03,116,Bobby Planutis Defensive Rebound.,12,16
12:47,116,Jonah Antonio made Three Point Jumper. Assisted by Greg Alexander.,15,16
12:31,2329,Ed Porter Turnover.,15,16
12:30,116,Greg Alexander Steal.,15,16
12:12,116,Bobby Planutis Turnover.,15,16
12:04,116,Foul on Omar Habwe.,15,16
11:59,2329,Jordan Cohen Turnover.,15,16
11:59,2329,Foul on Jordan Cohen.,15,16
11:59,2329,Official TV Timeout,15,16
11:41,2329,Foul on Jordan Cohen.,15,16
11:34,116,Donald Carey missed Three Point Jumper.,15,16
11:34,2329,Lance Tejada Defensive Rebound.,15,16
11:18,2329,James Karnik missed Layup.,15,16
11:18,2329,James Karnik Offensive Rebound.,15,16
11:17,116,Foul on Omar Habwe.,15,16
11:10,2329,Kyle Leufroy missed Jumper.,15,16
11:10,116,Bobby Planutis Defensive Rebound.,15,16
11:00,2329,Foul on Pat Andree.,15,16
10:43,116,Junior Robinson missed Three Point Jumper.,15,16
10:43,2329,Pat Andree Defensive Rebound.,15,16
10:33,2329,Lance Tejada missed Three Point Jumper.,15,16
10:33,2329,Lehigh Offensive Rebound.,15,16
10:32,116,Foul on Bobby Planutis.,15,16
10:21,2329,Kahron Ross missed Jumper.,15,16
10:21,116,Mt. St. Mary's Defensive Rebound.,15,16
10:21,2329,Foul on James Karnik.,15,16
10:12,2329,Foul on Kahron Ross.,15,16
10:12,116,Donald Carey made Free Throw.,16,16
10:12,116,Donald Carey made Free Throw.,17,16
9:53,116,Foul on Junior Robinson.,17,16
9:53,2329,Pat Andree Turnover.,17,16
9:53,2329,Foul on Pat Andree.,17,16
9:37,116,Greg Alexander made Layup. Assisted by Chris Wray.,19,16
9:37,2329,Foul on Ed Porter.,19,16
9:37,116,Greg Alexander missed Free Throw.,19,16
9:37,2329,James Karnik Defensive Rebound.,19,16
9:15,2329,Kahron Ross made Layup.,19,18
8:51,116,Greg Alexander made Jumper. Assisted by Chris Wray.,21,18
8:33,2329,Lehigh  Timeout,21,18
8:33,2329,Lance Tejada missed Layup.,21,18
8:33,116,Jonah Antonio Defensive Rebound.,21,18
8:15,116,Greg Alexander missed Three Point Jumper.,21,18
8:15,2329,Ed Porter Defensive Rebound.,21,18
7:56,2329,Kahron Ross Turnover.,21,18
7:55,116,Chris Wray Steal.,21,18
7:54,116,Greg Alexander Turnover.,21,18
7:53,2329,Ed Porter Steal.,21,18
7:50,2329,Ed Porter missed Layup.,21,18
7:50,116,Chris Wray Block.,21,18
7:47,116,Greg Alexander Defensive Rebound.,21,18
7:35,116,Greg Alexander made Three Point Jumper. Assisted by Chris Wray.,24,18
7:08,2329,Ed Porter missed Jumper.,24,18
7:08,2329,Ed Porter Offensive Rebound.,24,18
6:59,2329,Kahron Ross made Layup.,24,20
6:30,116,Junior Robinson made Three Point Jumper.,27,20
5:56,2329,Caleb Bennett made Three Point Jumper. Assisted by James Karnik.,27,23
5:24,116,Junior Robinson missed Three Point Jumper.,27,23
5:24,2329,Lance Tejada Defensive Rebound.,27,23
5:12,2329,James Karnik made Dunk.,27,25
5:12,116,Foul on Greg Alexander.,27,25
5:10,2329,Official TV Timeout,27,25
5:10,2329,James Karnik made Free Throw.,27,26
4:53,116,Donald Carey missed Three Point Jumper.,27,26
4:53,2329,James Karnik Defensive Rebound.,27,26
4:37,2329,James Karnik missed Jumper.,27,26
4:37,116,Donald Carey Defensive Rebound.,27,26
4:07,116,Donald Carey missed Jumper.,27,26
4:07,2329,Lance Tejada Defensive Rebound.,27,26
3:54,2329,Caleb Bennett missed Three Point Jumper.,27,26
3:54,2329,James Karnik Offensive Rebound.,27,26
3:50,2329,James Karnik missed Layup.,27,26
3:50,2329,James Karnik Offensive Rebound.,27,26
3:49,2329,James Karnik missed Layup.,27,26
3:49,116,Mt. St. Mary's Defensive Rebound.,27,26
3:49,2329,Foul on James Karnik.,27,26
3:48,2329,Official TV Timeout,27,26
3:48,116,Jonah Antonio made Free Throw.,28,26
3:48,116,Jonah Antonio made Free Throw.,29,26
3:29,2329,Kyle Leufroy missed Jumper.,29,26
3:29,116,Jonah Antonio Defensive Rebound.,29,26
3:13,116,Jonah Antonio missed Three Point Jumper.,29,26
3:13,2329,Caleb Bennett Defensive Rebound.,29,26
2:59,2329,Kyle Leufroy Turnover.,29,26
2:58,116,Jonah Antonio Steal.,29,26
2:26,116,Junior Robinson missed Three Point Jumper.,29,26
2:26,2329,Lehigh Defensive Rebound.,29,26
2:05,2329,Lance Tejada missed Three Point Jumper.,29,26
2:05,2329,Caleb Bennett Offensive Rebound.,29,26
1:58,2329,Ed Porter made Layup. Assisted by Kyle Leufroy.,29,28
1:34,116,Donald Carey missed Three Point Jumper.,29,28
1:34,2329,Lehigh Deadball Team Rebound.,29,28
1:09,2329,Lance Tejada made Layup.,29,30
0:50,116,Junior Robinson made Jumper.,31,30
0:29,2329,Lance Tejada made Three Point Jumper.,31,33
0:03,116,Greg Alexander made Three Point Jumper. Assisted by Junior Robinson.,34,33
0:00,2329,Jordan Cohen missed Three Point Jumper.,34,33
0:00,116,Mt. St. Mary's Deadball Team Rebound.,34,33
0:00,2329,End of 1st half,34,33
19:47,116,Donald Carey Turnover.,34,33
19:46,2329,Kahron Ross Steal.,34,33
19:44,2329,Kahron Ross made Layup.,34,35
19:23,116,Chris Wray missed Jumper.,34,35
19:23,2329,Kahron Ross Defensive Rebound.,34,35
19:16,116,Foul on Ryan Gomes.,34,35
19:16,2329,Caleb Bennett made Free Throw.,34,36
19:16,2329,Caleb Bennett made Free Throw.,34,37
18:56,116,Jonah Antonio made Jumper.,36,37
18:32,2329,Caleb Bennett missed Layup.,36,37
18:32,116,Chris Wray Block.,36,37
18:32,116,Mt. St. Mary's Defensive Rebound.,36,37
18:14,116,Junior Robinson missed Three Point Jumper.,36,37
18:14,116,Chris Wray Offensive Rebound.,36,37
18:10,116,Greg Alexander missed Three Point Jumper.,36,37
18:10,116,Chris Wray Offensive Rebound.,36,37
17:54,2329,Foul on Lance Tejada.,36,37
17:54,116,Junior Robinson made Free Throw.,37,37
17:54,116,Junior Robinson made Free Throw.,38,37
17:42,2329,James Karnik made Dunk. Assisted by Caleb Bennett.,38,39
17:28,2329,Foul on Caleb Bennett.,38,39
17:27,116,Greg Alexander made Jumper. Assisted by Junior Robinson.,40,39
17:09,2329,Kahron Ross missed Jumper.,40,39
17:09,2329,James Karnik Offensive Rebound.,40,39
16:57,2329,James Karnik Turnover.,40,39
16:57,2329,Foul on James Karnik.,40,39
16:42,116,Ryan Gomes missed Jumper.,40,39
16:42,2329,Kyle Leufroy Defensive Rebound.,40,39
16:29,2329,Kyle Leufroy missed Jumper.,40,39
16:29,2329,Ed Porter Offensive Rebound.,40,39
16:26,116,Foul on Junior Robinson.,40,39
16:17,2329,Caleb Bennett made Three Point Jumper. Assisted by Kahron Ross.,40,42
15:47,116,Junior Robinson missed Layup.,40,42
15:47,2329,Kahron Ross Defensive Rebound.,40,42
15:40,2329,Kyle Leufroy missed Jumper.,40,42
15:40,116,Jonah Antonio Defensive Rebound.,40,42
15:27,116,Junior Robinson missed Jumper.,40,42
15:27,116,Ryan Gomes Offensive Rebound.,40,42
15:20,116,Jonah Antonio missed Three Point Jumper.,40,42
15:20,2329,Lance Tejada Defensive Rebound.,40,42
14:57,116,Foul on Bobby Planutis.,40,42
14:57,2329,Official TV Timeout,40,42
14:57,2329,Kahron Ross missed Free Throw.,40,42
14:57,2329,Lehigh Deadball Team Rebound.,40,42
14:57,2329,Kahron Ross made Free Throw.,40,43
14:43,116,Jonah Antonio missed Three Point Jumper.,40,43
14:43,2329,Ed Porter Defensive Rebound.,40,43
14:31,2329,Lance Tejada made Three Point Jumper. Assisted by Kahron Ross.,40,46
14:11,116,Chris Wray made Layup. Assisted by Donald Carey.,42,46
13:41,2329,Kyle Leufroy Turnover.,42,46
13:39,116,Jonah Antonio Steal.,42,46
13:34,116,Donald Carey missed Three Point Jumper.,42,46
13:34,2329,Lance Tejada Defensive Rebound.,42,46
13:28,116,Foul on Chris Wray.,42,46
13:28,2329,Kahron Ross made Free Throw.,42,47
13:28,2329,Kahron Ross made Free Throw.,42,48
13:07,116,Donald Carey Turnover.,42,48
13:06,2329,Jordan Cohen Steal.,42,48
12:59,2329,Jordan Cohen missed Three Point Jumper.,42,48
12:59,116,Chris Wray Defensive Rebound.,42,48
12:33,116,Donald Carey missed Three Point Jumper.,42,48
12:33,2329,Kyle Leufroy Defensive Rebound.,42,48
12:21,2329,Ed Porter Turnover.,42,48
12:21,2329,Foul on Ed Porter.,42,48
11:58,116,Chris Wray made Dunk. Assisted by Junior Robinson.,44,48
11:32,2329,Jordan Cohen missed Layup.,44,48
11:32,116,Chris Wray Defensive Rebound.,44,48
11:12,116,Junior Robinson made Layup.,46,48
10:47,2329,Kyle Leufroy made Layup.,46,50
10:19,116,Junior Robinson missed Jumper.,46,50
10:19,2329,Lance Tejada Defensive Rebound.,46,50
10:10,2329,Jordan Cohen Turnover.,46,50
10:10,2329,Foul on Jordan Cohen.,46,50
10:10,2329,Official TV Timeout,46,50
9:48,116,Bobby Planutis made Three Point Jumper.,49,50
9:33,2329,Jordan Cohen made Layup.,49,52
9:19,116,Bobby Planutis Turnover.,49,52
9:02,2329,Pat Andree Turnover.,49,52
9:01,116,Bobby Planutis Steal.,49,52
8:47,116,Bobby Planutis missed Three Point Jumper.,49,52
8:47,2329,Pat Andree Defensive Rebound.,49,52
8:35,2329,Caleb Bennett missed Layup.,49,52
8:35,2329,Pat Andree Offensive Rebound.,49,52
8:31,2329,Pat Andree missed Three Point Jumper.,49,52
8:31,2329,Lehigh Offensive Rebound.,49,52
8:31,116,Foul on Jonah Antonio.,49,52
8:28,2329,Lance Tejada made Three Point Jumper. Assisted by Jordan Cohen.,49,55
8:09,116,Bobby Planutis Turnover.,49,55
7:49,2329,Pat Andree missed Three Point Jumper.,49,55
7:49,116,Junior Robinson Defensive Rebound.,49,55
7:31,116,Jonah Antonio missed Three Point Jumper.,49,55
7:31,2329,Pat Andree Defensive Rebound.,49,55
7:20,116,Foul on Ryan Gomes.,49,55
7:20,2329,Official TV Timeout,49,55
7:20,2329,Jordan Cohen made Free Throw.,49,56
7:20,2329,Jordan Cohen made Free Throw.,49,57
6:59,116,Greg Alexander made Jumper. Assisted by Donald Carey.,51,57
6:38,2329,Jordan Cohen made Layup.,51,59
6:20,116,Donald Carey missed Layup.,51,59
6:20,116,Chris Wray Offensive Rebound.,51,59
6:17,116,Chris Wray missed Layup.,51,59
6:17,2329,James Karnik Defensive Rebound.,51,59
6:14,2329,Lance Tejada made Three Point Jumper. Assisted by Kahron Ross.,51,62
5:55,2329,Foul on James Karnik.,51,62
5:39,116,Jonah Antonio missed Three Point Jumper.,51,62
5:39,2329,Lehigh Defensive Rebound.,51,62
5:13,2329,Kyle Leufroy made Three Point Jumper. Assisted by Jordan Cohen.,51,65
5:03,116,Mt. St. Mary's  Timeout,51,65
4:56,116,Jonah Antonio missed Three Point Jumper.,51,65
4:56,2329,Kahron Ross Defensive Rebound.,51,65
4:32,2329,Kyle Leufroy missed Jumper.,51,65
4:32,116,Greg Alexander Defensive Rebound.,51,65
4:22,116,Jonah Antonio missed Three Point Jumper.,51,65
4:22,2329,Kyle Leufroy Defensive Rebound.,51,65
4:05,2329,Jordan Cohen made Layup. Assisted by Kahron Ross.,51,67
3:48,2329,Foul on Ed Porter.,51,67
3:48,2329,Official TV Timeout,51,67
3:48,116,Junior Robinson made Free Throw.,52,67
3:48,116,Junior Robinson made Free Throw.,53,67
3:43,2329,Ed Porter made Layup. Assisted by Lance Tejada.,53,69
3:43,116,Foul on Omar Habwe.,53,69
3:43,2329,Ed Porter made Free Throw.,53,70
3:32,116,Junior Robinson missed Three Point Jumper.,53,70
3:32,2329,Jordan Cohen Defensive Rebound.,53,70
3:15,2329,Kahron Ross made Layup.,53,72
2:59,116,Junior Robinson Turnover.,53,72
2:52,2329,Lance Tejada Turnover.,53,72
2:52,2329,Foul on Lance Tejada.,53,72
2:40,116,Donald Carey made Three Point Jumper. Assisted by Junior Robinson.,56,72
2:22,116,Foul on Junior Robinson.,56,72
2:22,2329,Lance Tejada made Free Throw.,56,73
2:22,2329,Lance Tejada made Free Throw.,56,74
2:10,116,Junior Robinson made Jumper.,58,74
1:44,116,Foul on Ross Young.,58,74
1:44,2329,Kahron Ross made Free Throw.,58,75
1:44,2329,Kahron Ross missed Free Throw.,58,75
1:44,116,Greg Alexander Defensive Rebound.,58,75
1:22,116,Donald Carey missed Jumper.,58,75
1:22,2329,Kyle Leufroy Defensive Rebound.,58,75
0:56,2329,Lance Tejada missed Three Point Jumper.,58,75
0:56,116,Greg Alexander Defensive Rebound.,58,75
0:50,2329,Foul on Caleb Bennett.,58,75
0:50,116,Junior Robinson made Free Throw.,59,75
0:50,116,Junior Robinson made Free Throw.,60,75
0:24,2329,Caleb Sedore missed Three Point Jumper.,60,75
0:24,116,Brandon Leftwich Defensive Rebound.,60,75
0:13,116,Brandon Leftwich missed Layup.,60,75
0:13,2329,Kahron Ross Defensive Rebound.,60,75
0:00,2329,End of Game,60,75
