UCLA,130,Michigan,26
11:05,130,Eli Brooks missed Jumper.,16,10
11:04,130,Moritz Wagner Offensive Rebound.,16,10
11:03,130,Moritz Wagner made Jumper.,16,12
10:50,26,Thomas Welsh missed Jumper.,16,12
10:49,130,Moritz Wagner Defensive Rebound.,16,12
10:30,130,Foul on Charles Matthews.,16,12
10:30,130,Charles Matthews Turnover.,16,12
10:17,26,Alex Olesinski Turnover.,16,12
10:17,130,Duncan Robinson Steal.,16,12
10:13,130,Moritz Wagner made Layup. Assisted by Duncan Robinson.,16,14
9:55,26,Aaron Holiday made Jumper.,18,14
9:41,130,Moritz Wagner made Jumper.,18,16
9:41,26,Foul on Gyorgy Goloman.,18,16
9:41,130,Moritz Wagner missed Free Throw.,18,16
9:40,26,Jaylen Hands Defensive Rebound.,18,16
9:22,26,Foul on Jaylen Hands.,18,16
9:22,26,Jaylen Hands Turnover.,18,16
9:09,130,Jordan Poole missed Three Point Jumper.,18,16
9:06,26,Jaylen Hands Defensive Rebound.,18,16
8:57,26,Aaron Holiday missed Jumper.,18,16
8:53,130,Jordan Poole Defensive Rebound.,18,16
8:51,130,Jordan Poole Turnover.,18,16
8:30,26,Prince Ali Turnover.,18,16
8:30,130,Duncan Robinson Steal.,18,16
8:26,130,Muhammad-Ali Abdur-Rahkman missed Three Point Jumper.,18,16
8:23,130,Michigan Offensive Rebound.,18,16
8:16,130,Moritz Wagner made Layup. Assisted by Eli Brooks.,18,18
7:58,26,Foul on Alex Olesinski.,18,18
7:58,26,Alex Olesinski Turnover.,18,18
7:58,130,Official TV Timeout,18,18
7:48,130,Muhammad-Ali Abdur-Rahkman missed Jumper.,18,18
7:45,26,UCLA Defensive Rebound.,18,18
7:37,26,Prince Ali Turnover.,18,18
7:15,26,Foul on Kris Wilkes.,18,18
7:15,130,Jordan Poole made Free Throw.,18,19
7:15,130,Jordan Poole missed Free Throw.,18,19
7:14,26,Thomas Welsh Defensive Rebound.,18,19
6:56,26,Aaron Holiday missed Jumper.,18,19
6:53,130,Isaiah Livers Defensive Rebound.,18,19
6:40,130,Jordan Poole missed Three Point Jumper.,18,19
6:37,26,Chris Smith Defensive Rebound.,18,19
6:23,26,Thomas Welsh made Three Point Jumper. Assisted by Aaron Holiday.,21,19
6:00,130,Muhammad-Ali Abdur-Rahkman missed Three Point Jumper.,21,19
5:58,26,Thomas Welsh Defensive Rebound.,21,19
5:46,130,Foul on Jon Teske.,21,19
5:27,26,Aaron Holiday missed Three Point Jumper.,21,19
5:24,130,Moritz Wagner Defensive Rebound.,21,19
5:10,130,Moritz Wagner missed Jumper.,21,19
5:08,26,Prince Ali Defensive Rebound.,21,19
5:03,26,Jaylen Hands Turnover.,21,19
4:40,130,Moritz Wagner missed Three Point Jumper.,21,19
4:39,26,Chris Smith Defensive Rebound.,21,19
4:29,26,Thomas Welsh made Jumper. Assisted by Jaylen Hands.,23,19
4:15,130,Duncan Robinson made Layup. Assisted by Muhammad-Ali Abdur-Rahkman.,23,21
3:58,26,Thomas Welsh made Jumper. Assisted by Aaron Holiday.,25,21
3:31,130,Zavier Simpson missed Jumper.,25,21
3:30,26,Thomas Welsh Defensive Rebound.,25,21
3:30,26,Thomas Welsh Turnover.,25,21
3:30,130,Official TV Timeout,25,21
3:24,130,Moritz Wagner made Three Point Jumper. Assisted by Jaaron Simmons.,25,24
3:03,26,Aaron Holiday missed Jumper.,25,24
3:01,26,Chris Smith Offensive Rebound.,25,24
2:59,26,Chris Smith missed Jumper.,25,24
2:58,26,Chris Smith Offensive Rebound.,25,24
2:47,26,Thomas Welsh made Jumper. Assisted by Aaron Holiday.,27,24
2:20,130,Moritz Wagner missed Jumper.,27,24
2:19,26,Chris Smith Defensive Rebound.,27,24
2:19,130,Foul on Moritz Wagner.,27,24
1:56,26,Chris Smith missed Three Point Jumper.,27,24
1:55,130,Michigan Deadball Team Rebound.,27,24
1:55,26,Foul on Jaylen Hands.,27,24
1:55,130,Jaaron Simmons missed Free Throw.,27,24
1:54,26,Chris Smith Defensive Rebound.,27,24
1:38,26,Chris Smith missed Jumper.,27,24
1:36,26,Thomas Welsh Offensive Rebound.,27,24
1:31,26,Jaylen Hands missed Three Point Jumper.,27,24
1:27,26,UCLA Deadball Team Rebound.,27,24
1:27,26,Thomas Welsh made Free Throw.,28,24
1:27,26,Thomas Welsh made Free Throw.,29,24
1:27,130,Foul on Duncan Robinson.,27,24
1:27,26,Thomas Welsh made Free Throw.,28,24
1:27,26,Thomas Welsh made Free Throw.,29,24
1:12,130,Eli Brooks made Three Point Jumper. Assisted by Muhammad-Ali Abdur-Rahkman.,29,27
0:59,26,UCLA  Timeout,29,27
0:43,26,Prince Ali missed Three Point Jumper.,29,27
0:40,130,Isaiah Livers Defensive Rebound.,29,27
0:25,130,Muhammad-Ali Abdur-Rahkman missed Three Point Jumper.,29,27
0:23,26,Prince Ali Defensive Rebound.,29,27
0:05,130,Foul on Moritz Wagner.,29,27
0:05,26,Aaron Holiday made Free Throw.,30,27
0:05,26,Aaron Holiday missed Free Throw.,30,27
0:04,130,Isaiah Livers Defensive Rebound.,30,27
0:01,130,Muhammad-Ali Abdur-Rahkman missed Jumper.,30,27
0:01,130,Michigan Deadball Team Rebound.,30,27
0:00,130,End of 1st half,30,27
19:42,130,Eli Brooks missed Three Point Jumper.,30,27
19:38,130,Charles Matthews Offensive Rebound.,30,27
19:37,130,Charles Matthews Turnover.,30,27
19:15,26,Thomas Welsh made Three Point Jumper. Assisted by Gyorgy Goloman.,33,27
18:44,130,Moritz Wagner missed Three Point Jumper.,33,27
18:40,26,Aaron Holiday Defensive Rebound.,33,27
18:31,26,Gyorgy Goloman made Jumper.,35,27
18:31,130,Foul on Duncan Robinson.,35,27
18:31,130,Duncan Robinson Turnover.,35,27
18:31,26,Gyorgy Goloman missed Free Throw.,35,27
18:31,130,Isaiah Livers Defensive Rebound.,35,27
18:07,130,Moritz Wagner made Layup.,35,29
17:53,26,Thomas Welsh missed Jumper.,35,29
17:51,130,Isaiah Livers Defensive Rebound.,35,29
17:47,130,Eli Brooks Turnover.,35,29
17:44,26,Prince Ali made Layup. Assisted by Kris Wilkes.,37,29
17:21,26,Foul on Prince Ali.,37,29
17:21,130,Muhammad-Ali Abdur-Rahkman made Free Throw.,37,30
17:21,130,Muhammad-Ali Abdur-Rahkman made Free Throw.,37,31
17:04,26,Thomas Welsh missed Jumper.,37,31
17:02,26,Thomas Welsh Offensive Rebound.,37,31
17:01,26,Kris Wilkes missed Three Point Jumper.,37,31
17:00,130,Michigan Defensive Rebound.,37,31
16:40,130,Charles Matthews Turnover.,37,31
16:38,130,Foul on Isaiah Livers.,37,31
16:38,26,Aaron Holiday made Free Throw.,38,31
16:38,26,Aaron Holiday made Free Throw.,39,31
16:23,130,Muhammad-Ali Abdur-Rahkman missed Three Point Jumper.,39,31
16:19,26,Gyorgy Goloman Defensive Rebound.,39,31
16:05,26,Kris Wilkes made Jumper. Assisted by Gyorgy Goloman.,41,31
16:05,130,Foul on Eli Brooks.,41,31
16:05,26,Kris Wilkes missed Free Throw.,41,31
16:04,130,Muhammad-Ali Abdur-Rahkman Defensive Rebound.,41,31
15:59,130,Michigan  Timeout,41,31
15:36,130,Moritz Wagner missed Jumper.,41,31
15:34,26,Gyorgy Goloman Defensive Rebound.,41,31
15:25,26,Kris Wilkes made Dunk. Assisted by Thomas Welsh.,43,31
15:02,130,Isaiah Livers missed Three Point Jumper.,43,31
15:00,130,Official TV Timeout,43,31
15:00,26,Aaron Holiday Defensive Rebound.,43,31
15:00,130,Foul on Isaiah Livers.,43,31
15:00,130,Official TV Timeout,43,31
14:48,26,Aaron Holiday made Three Point Jumper. Assisted by Gyorgy Goloman.,46,31
14:15,130,Charles Matthews missed Jumper.,46,31
14:13,130,Isaiah Livers Offensive Rebound.,46,31
14:11,130,Charles Matthews made Three Point Jumper. Assisted by Isaiah Livers.,46,34
13:47,26,Aaron Holiday missed Jumper.,46,34
13:45,130,Isaiah Livers Defensive Rebound.,46,34
13:39,26,Foul on Aaron Holiday.,46,34
13:39,130,Charles Matthews missed Free Throw.,46,34
13:39,130,Michigan Deadball Team Rebound.,46,34
13:39,130,Michigan Deadball Team Rebound.,46,34
13:39,130,Charles Matthews missed Free Throw.,46,34
13:39,130,Charles Matthews made Free Throw.,46,35
13:23,26,Aaron Holiday missed Jumper.,46,35
13:22,130,Charles Matthews Defensive Rebound.,46,35
13:14,130,Charles Matthews made Layup. Assisted by Duncan Robinson.,46,37
12:50,26,Gyorgy Goloman missed Jumper.,46,37
12:48,130,Zavier Simpson Defensive Rebound.,46,37
12:41,130,Duncan Robinson missed Three Point Jumper.,46,37
12:37,130,Jon Teske Offensive Rebound.,46,37
12:31,130,Charles Matthews made Layup.,46,39
12:28,26,UCLA  Timeout,46,39
12:14,130,Foul on Jon Teske.,46,39
12:14,26,UCLA Deadball Team Rebound.,46,39
12:14,26,Jaylen Hands missed Free Throw.,46,39
12:14,26,Jaylen Hands made Free Throw.,47,39
11:57,130,Charles Matthews missed Jumper.,47,39
11:55,130,Jon Teske Offensive Rebound.,47,39
11:55,130,Jon Teske made Two Point Tip Shot.,47,41
11:41,26,Alex Olesinski missed Three Point Jumper.,47,41
11:38,130,Charles Matthews Defensive Rebound.,47,41
11:38,26,Foul on Alex Olesinski.,47,41
11:28,130,Duncan Robinson missed Three Point Jumper.,47,41
11:23,26,UCLA Defensive Rebound.,47,41
11:14,26,Thomas Welsh made Jumper. Assisted by Aaron Holiday.,49,41
10:53,130,Charles Matthews made Layup.,49,43
10:21,26,Aaron Holiday made Three Point Jumper.,52,43
9:59,130,Charles Matthews missed Free Throw.,52,43
9:59,130,Charles Matthews missed Free Throw.,52,43
9:59,130,Charles Matthews missed Free Throw.,52,43
9:59,130,Charles Matthews missed Free Throw.,52,43
9:59,26,Foul on Kris Wilkes.,52,43
9:59,130,Michigan Deadball Team Rebound.,52,43
9:59,130,Charles Matthews missed Free Throw.,52,43
9:59,130,Charles Matthews missed Free Throw.,52,43
9:59,26,Alex Olesinski Defensive Rebound.,52,43
9:36,26,Aaron Holiday Turnover.,52,43
9:36,130,Zavier Simpson Steal.,52,43
9:29,130,Charles Matthews Turnover.,52,43
9:16,26,Thomas Welsh missed Jumper.,52,43
9:14,130,Duncan Robinson Defensive Rebound.,52,43
9:08,130,Zavier Simpson made Layup.,52,45
8:52,26,Jaylen Hands missed Jumper.,52,45
8:50,130,Duncan Robinson Defensive Rebound.,52,45
8:27,130,Charles Matthews missed Three Point Jumper.,52,45
8:24,26,Thomas Welsh Defensive Rebound.,52,45
8:04,26,Chris Smith missed Jumper.,52,45
8:02,130,Charles Matthews Defensive Rebound.,52,45
8:01,26,Foul on Chris Smith.,52,45
7:35,130,Zavier Simpson missed Jumper.,52,45
7:35,26,Jaylen Hands Block.,52,45
7:33,26,Jaylen Hands Defensive Rebound.,52,45
7:15,130,Official TV Timeout,52,45
7:09,26,Alex Olesinski missed Three Point Jumper.,52,45
7:08,26,UCLA Deadball Team Rebound.,52,45
7:07,130,Foul on Moritz Wagner.,52,45
7:05,26,Aaron Holiday made Free Throw.,53,45
7:05,26,Aaron Holiday made Free Throw.,54,45
7:05,130,Foul on Charles Matthews.,52,45
7:05,26,Aaron Holiday made Free Throw.,53,45
7:05,26,Aaron Holiday made Free Throw.,54,45
6:55,130,Moritz Wagner missed Free Throw.,54,45
6:55,130,Moritz Wagner missed Free Throw.,54,45
6:55,26,Foul on Gyorgy Goloman.,54,45
6:55,130,Michigan Deadball Team Rebound.,54,45
6:55,130,Moritz Wagner missed Free Throw.,54,45
6:55,130,Moritz Wagner missed Free Throw.,54,45
6:52,26,Alex Olesinski Defensive Rebound.,54,45
6:25,26,Aaron Holiday Turnover.,54,45
6:25,130,Eli Brooks Steal.,54,45
6:17,130,Muhammad-Ali Abdur-Rahkman made Three Point Jumper.,54,48
5:46,26,Jaylen Hands Turnover.,54,48
5:46,130,Moritz Wagner Steal.,54,48
5:42,130,Moritz Wagner made Dunk. Assisted by Eli Brooks.,54,50
5:37,26,UCLA  Timeout,54,50
5:27,26,Aaron Holiday made Layup.,56,50
5:12,130,Moritz Wagner made Three Point Jumper. Assisted by Eli Brooks.,56,53
4:52,26,Aaron Holiday made Jumper.,58,53
4:37,130,Eli Brooks made Layup.,58,55
4:23,26,Aaron Holiday made Free Throw.,59,55
4:23,26,Aaron Holiday made Free Throw.,60,55
4:23,130,Foul on Muhammad-Ali Abdur-Rahkman.,58,55
4:23,26,Aaron Holiday made Free Throw.,59,55
4:23,26,Aaron Holiday made Free Throw.,60,55
4:06,130,Moritz Wagner made Three Point Jumper. Assisted by Charles Matthews.,60,58
3:32,26,Prince Ali missed Jumper.,60,58
3:30,130,Muhammad-Ali Abdur-Rahkman Defensive Rebound.,60,58
3:19,130,Duncan Robinson missed Three Point Jumper.,60,58
3:15,26,Aaron Holiday Defensive Rebound.,60,58
3:05,130,Official TV Timeout,60,58
3:05,26,Thomas Welsh made Free Throw.,61,58
3:05,26,Thomas Welsh made Free Throw.,62,58
3:05,130,Foul on Moritz Wagner.,60,58
3:05,26,Thomas Welsh made Free Throw.,61,58
3:05,26,Thomas Welsh made Free Throw.,62,58
2:35,130,Zavier Simpson made Jumper.,62,60
2:07,26,Gyorgy Goloman missed Three Point Jumper.,62,60
2:03,130,Charles Matthews Defensive Rebound.,62,60
2:00,130,Zavier Simpson Turnover.,62,60
1:49,26,Thomas Welsh made Layup.,64,60
1:22,26,Foul on Aaron Holiday.,64,60
1:22,130,Charles Matthews missed Free Throw.,64,60
1:17,26,Aaron Holiday Defensive Rebound.,64,60
0:53,26,Prince Ali Turnover.,64,60
0:53,130,Moritz Wagner Steal.,64,60
0:53,130,Michigan  Timeout,64,60
0:43,26,Foul on Prince Ali.,64,60
0:43,130,Charles Matthews made Free Throw.,64,61
0:43,130,Charles Matthews missed Free Throw.,64,61
0:41,26,Kris Wilkes Defensive Rebound.,64,61
0:20,26,Aaron Holiday Turnover.,64,61
0:20,130,Zavier Simpson Steal.,64,61
0:18,130,Zavier Simpson made Layup.,64,63
0:18,130,Michigan  Timeout,64,63
0:16,130,Foul on Zavier Simpson.,64,63
0:16,26,UCLA Deadball Team Rebound.,64,63
0:16,26,Gyorgy Goloman missed Free Throw.,64,63
0:16,26,Gyorgy Goloman made Free Throw.,65,63
0:11,130,Eli Brooks made Free Throw.,65,64
0:11,130,Eli Brooks made Free Throw.,65,65
0:11,26,Foul on Thomas Welsh.,65,63
0:11,130,Eli Brooks made Free Throw.,65,64
0:11,130,Eli Brooks made Free Throw.,65,65
0:01,26,Prince Ali missed Jumper.,65,65
0:01,26,UCLA Deadball Team Rebound.,65,65
0:00,130,End of 2nd half,65,65
4:48,130,Zavier Simpson made Three Point Jumper. Assisted by Charles Matthews.,65,68
4:14,26,Prince Ali missed Jumper.,65,68
4:10,130,Zavier Simpson Defensive Rebound.,65,68
4:01,130,Charles Matthews made Three Point Jumper. Assisted by Moritz Wagner.,65,71
3:45,26,Aaron Holiday Turnover.,65,71
3:45,130,Duncan Robinson Steal.,65,71
3:44,130,Charles Matthews missed Free Throw.,65,71
3:44,130,Charles Matthews missed Free Throw.,65,71
3:44,26,Foul on Gyorgy Goloman.,65,71
3:44,130,Michigan Deadball Team Rebound.,65,71
3:44,130,Charles Matthews missed Free Throw.,65,71
3:44,130,Charles Matthews missed Free Throw.,65,71
3:43,26,Gyorgy Goloman Defensive Rebound.,65,71
3:31,26,Gyorgy Goloman made Dunk. Assisted by Aaron Holiday.,67,71
3:00,130,Moritz Wagner made Layup.,67,73
2:44,26,Thomas Welsh Turnover.,67,73
2:44,130,Duncan Robinson Steal.,67,73
2:21,130,Charles Matthews made Jumper.,67,75
2:11,26,UCLA  Timeout,67,75
1:49,26,Aaron Holiday made Jumper.,69,75
1:17,130,Zavier Simpson made Layup. Assisted by Charles Matthews.,69,77
1:01,26,Aaron Holiday Turnover.,69,77
1:01,130,Charles Matthews Steal.,69,77
0:52,26,Foul on Aaron Holiday.,69,77
0:52,130,Zavier Simpson made Free Throw.,69,78
0:52,130,Zavier Simpson missed Free Throw.,69,78
0:52,26,Gyorgy Goloman Defensive Rebound.,69,78
0:40,26,Jaylen Hands missed Three Point Jumper.,69,78
0:37,130,Charles Matthews Defensive Rebound.,69,78
0:26,130,Muhammad-Ali Abdur-Rahkman Turnover.,69,78
0:26,26,Aaron Holiday Steal.,69,78
0:22,26,Jaylen Hands missed Three Point Jumper.,69,78
0:16,130,Charles Matthews Defensive Rebound.,69,78
0:00,130,End of Game,69,78
