Iona,2885,NJIT,314
10:36,314,Rickey McGill Offensive Rebound.,12,12
10:26,314,Rickey McGill made Three Point Jumper. Assisted by E.J. Crawford.,15,12
9:58,2885,Donovan Greer missed Three Point Jumper.,15,12
9:58,314,Jan Svandrlik Defensive Rebound.,15,12
9:47,314,Rickey McGill missed Three Point Jumper.,15,12
9:47,314,C.J. Seaforth Offensive Rebound.,15,12
9:42,314,C.J. Seaforth made Layup. Assisted by Jan Svandrlik.,17,12
9:29,2885,Shawndale Jones made Layup. Assisted by Zach Cooks.,17,14
9:06,314,C.J. Seaforth made Three Point Jumper. Assisted by Rickey McGill.,20,14
8:46,2885,Shawndale Jones made Jumper.,20,16
8:37,314,Roland Griffin made Layup. Assisted by C.J. Seaforth.,22,16
8:32,2885,NJIT  Timeout,22,16
8:15,314,Foul on Roland Griffin.,22,16
8:15,2885,Abdul Lewis made Free Throw.,22,17
8:15,2885,Abdul Lewis made Free Throw.,22,18
8:00,314,E.J. Crawford made Three Point Jumper. Assisted by Roland Griffin.,25,18
7:31,2885,Donovan Greer made Three Point Jumper. Assisted by Shyquan Gibbs.,25,21
7:14,314,E.J. Crawford made Three Point Jumper. Assisted by C.J. Seaforth.,28,21
6:48,2885,Taj Price made Jumper.,28,23
6:29,314,Jan Svandrlik made Three Point Jumper. Assisted by Roland Griffin.,31,23
6:08,2885,Shawndale Jones made Three Point Jumper. Assisted by Shyquan Gibbs.,31,26
5:48,314,Roland Griffin missed Layup.,31,26
5:48,314,Roland Griffin Offensive Rebound.,31,26
5:44,314,Roland Griffin missed Layup.,31,26
5:44,2885,Taj Price Block.,31,26
5:42,2885,NJIT Defensive Rebound.,31,26
5:42,2885,Official TV Timeout,31,26
5:15,2885,Donovan Greer missed Three Point Jumper.,31,26
5:15,2885,David Kachelries Offensive Rebound.,31,26
5:02,2885,Abdul Lewis missed Jumper.,31,26
5:02,314,Tyrell Williams Block.,31,26
4:58,2885,Anthony Tarke Offensive Rebound.,31,26
4:56,2885,Anthony Tarke missed Layup.,31,26
4:55,314,Deyshonee Much Block.,31,26
4:54,314,Tyrell Williams Defensive Rebound.,31,26
4:48,314,Deyshonee Much made Three Point Jumper. Assisted by Schadrac Casimir.,34,26
4:24,2885,Donovan Greer missed Jumper.,34,26
4:24,2885,Abdul Lewis Offensive Rebound.,34,26
4:20,314,Foul on Tyrell Williams.,34,26
4:20,2885,Abdul Lewis made Free Throw.,34,27
4:20,2885,Abdul Lewis made Free Throw.,34,28
3:59,314,Schadrac Casimir missed Three Point Jumper.,34,28
3:59,2885,Abdul Lewis Defensive Rebound.,34,28
3:50,2885,Abdul Lewis missed Layup.,34,28
3:50,314,Deyshonee Much Defensive Rebound.,34,28
3:40,314,C.J. Seaforth missed Three Point Jumper.,34,28
3:40,2885,Shyquan Gibbs Defensive Rebound.,34,28
3:26,2885,Donovan Greer missed Three Point Jumper.,34,28
3:26,314,Tyrell Williams Defensive Rebound.,34,28
3:16,2885,Foul on Donovan Greer.,34,28
3:16,2885,Official TV Timeout,34,28
3:16,314,Deyshonee Much made Dunk. Assisted by Rickey McGill.,36,28
2:46,2885,Shyquan Gibbs missed Three Point Jumper.,36,28
2:46,314,Tyrell Williams Defensive Rebound.,36,28
2:33,314,Foul on Tyrell Williams.,36,28
2:33,314,Tyrell Williams Turnover.,36,28
2:25,2885,David Kachelries made Three Point Jumper.,36,31
2:10,314,Schadrac Casimir missed Layup.,36,31
2:10,314,Schadrac Casimir Offensive Rebound.,36,31
2:06,314,Tyrell Williams missed Layup.,36,31
2:06,314,Deyshonee Much Offensive Rebound.,36,31
2:03,314,Deyshonee Much made Two Point Tip Shot.,38,31
1:51,2885,Zach Cooks Turnover.,38,31
1:49,314,Deyshonee Much Steal.,38,31
1:24,314,Tyrell Williams Turnover.,38,31
0:52,2885,Anthony Tarke Turnover.,38,31
0:51,314,Iona  Timeout,38,31
0:38,314,E.J. Crawford made Jumper.,40,31
0:08,2885,Anthony Tarke missed Three Point Jumper.,40,31
0:08,314,E.J. Crawford Defensive Rebound.,40,31
0:01,314,Rickey McGill missed Three Point Jumper.,40,31
0:00,2885,NJIT Deadball Team Rebound.,40,31
0:00,2885,End of 1st half,40,31
19:46,314,TK Edogi missed Jumper.,40,31
19:46,2885,Anthony Tarke Defensive Rebound.,40,31
19:27,2885,Shyquan Gibbs missed Three Point Jumper.,40,31
19:27,2885,Abdul Lewis Offensive Rebound.,40,31
19:12,2885,Anthony Tarke made Dunk. Assisted by Abdul Lewis.,40,33
18:52,314,Rickey McGill made Jumper.,42,33
18:52,2885,Foul on Shyquan Gibbs.,42,33
18:52,314,Rickey McGill made Free Throw.,43,33
18:37,2885,Reilly Walsh missed Three Point Jumper.,43,33
18:37,314,E.J. Crawford Defensive Rebound.,43,33
18:27,314,Deyshonee Much made Jumper.,45,33
17:55,2885,Shyquan Gibbs missed Layup.,45,33
17:55,2885,Abdul Lewis Offensive Rebound.,45,33
17:52,314,Foul on E.J. Crawford.,45,33
17:37,2885,Reilly Walsh made Three Point Jumper. Assisted by Abdul Lewis.,45,36
17:14,314,Deyshonee Much made Three Point Jumper. Assisted by Schadrac Casimir.,48,36
16:49,2885,Anthony Tarke made Three Point Jumper. Assisted by Diandre Wilson.,48,39
16:36,314,Deyshonee Much missed Jumper.,48,39
16:36,2885,Shyquan Gibbs Defensive Rebound.,48,39
16:29,2885,Diandre Wilson made Three Point Jumper. Assisted by Shyquan Gibbs.,48,42
16:16,314,E.J. Crawford missed Jumper.,48,42
16:16,2885,Abdul Lewis Defensive Rebound.,48,42
15:47,2885,Abdul Lewis missed Jumper.,48,42
15:47,2885,NJIT Offensive Rebound.,48,42
15:44,2885,Official TV Timeout,48,42
15:33,2885,Anthony Tarke missed Jumper.,48,42
15:33,314,C.J. Seaforth Defensive Rebound.,48,42
15:22,314,Deyshonee Much missed Dunk.,48,42
15:22,2885,Anthony Tarke Defensive Rebound.,48,42
15:16,2885,Anthony Tarke made Layup.,48,44
14:59,314,Jan Svandrlik Turnover.,48,44
14:58,2885,Anthony Tarke Steal.,48,44
14:56,2885,Anthony Tarke made Dunk. Assisted by Diandre Wilson.,48,46
14:39,314,Roland Griffin missed Jumper.,48,46
14:39,2885,Abdul Lewis Block.,48,46
14:37,2885,Shyquan Gibbs Defensive Rebound.,48,46
14:30,314,Foul on Jan Svandrlik.,48,46
14:30,2885,Abdul Lewis made Free Throw.,48,47
14:30,2885,Abdul Lewis made Free Throw.,48,48
14:14,314,Jan Svandrlik missed Three Point Jumper.,48,48
14:14,314,Deyshonee Much Offensive Rebound.,48,48
13:55,314,Roland Griffin made Three Point Jumper.,51,48
13:40,2885,San Antonio Brinson missed Jumper.,51,48
13:40,2885,San Antonio Brinson Offensive Rebound.,51,48
13:39,314,Foul on Jan Svandrlik.,51,48
13:39,2885,San Antonio Brinson made Free Throw.,51,49
13:39,2885,San Antonio Brinson made Free Throw.,51,50
13:24,2885,Foul on Zach Cooks.,51,50
13:11,314,Rickey McGill made Three Point Jumper. Assisted by E.J. Crawford.,54,50
12:49,2885,Reilly Walsh made Layup. Assisted by Abdul Lewis.,54,52
12:25,2885,Foul on Abdul Lewis.,54,52
12:25,314,E.J. Crawford missed Free Throw.,54,52
12:25,314,Iona Deadball Team Rebound.,54,52
12:25,314,E.J. Crawford made Free Throw.,55,52
12:10,2885,Anthony Tarke missed Three Point Jumper.,55,52
12:10,314,Deyshonee Much Defensive Rebound.,55,52
12:04,314,Rickey McGill made Layup. Assisted by Deyshonee Much.,57,52
11:57,314,Foul on Roland Griffin.,57,52
11:57,2885,Official TV Timeout,57,52
11:57,2885,Shyquan Gibbs made Free Throw.,57,53
11:57,2885,Shyquan Gibbs missed Free Throw.,57,53
11:57,314,Roland Griffin Defensive Rebound.,57,53
11:44,314,Rickey McGill missed Layup.,57,53
11:44,2885,Reilly Walsh Defensive Rebound.,57,53
11:42,314,Foul on Rickey McGill.,57,53
11:33,2885,Diandre Wilson made Layup.,57,55
11:15,314,E.J. Crawford made Jumper.,59,55
11:01,2885,Anthony Tarke missed Layup.,59,55
11:01,2885,Reilly Walsh Offensive Rebound.,59,55
11:00,314,Foul on E.J. Crawford.,59,55
11:00,2885,Reilly Walsh missed Free Throw.,59,55
11:00,2885,NJIT Deadball Team Rebound.,59,55
11:00,2885,Reilly Walsh made Free Throw.,59,56
10:49,314,Rickey McGill Turnover.,59,56
10:39,2885,Anthony Tarke made Layup.,59,58
10:23,2885,Foul on Shawndale Jones.,59,58
10:10,314,Rickey McGill made Layup.,61,58
9:48,2885,Diandre Wilson missed Three Point Jumper.,61,58
9:48,314,Rickey McGill Defensive Rebound.,61,58
9:40,314,Rickey McGill Turnover.,61,58
9:39,2885,Anthony Tarke Steal.,61,58
9:36,2885,Zach Cooks missed Layup.,61,58
9:36,314,TK Edogi Block.,61,58
9:31,314,Rickey McGill Defensive Rebound.,61,58
9:25,314,Schadrac Casimir missed Three Point Jumper.,61,58
9:25,2885,Abdul Lewis Defensive Rebound.,61,58
9:14,2885,Diandre Wilson missed Jumper.,61,58
9:14,2885,Anthony Tarke Offensive Rebound.,61,58
9:07,2885,Anthony Tarke missed Layup.,61,58
9:07,314,Roland Griffin Defensive Rebound.,61,58
8:57,314,Foul on Schadrac Casimir.,61,58
8:57,314,Schadrac Casimir Turnover.,61,58
8:37,2885,Anthony Tarke made Layup.,61,60
8:28,314,Rickey McGill missed Layup.,61,60
8:28,2885,Shawndale Jones Defensive Rebound.,61,60
8:09,2885,Diandre Wilson made Layup.,61,62
8:05,314,Iona  Timeout,61,62
8:05,2885,Official TV Timeout,61,62
7:41,314,Deyshonee Much missed Jumper.,61,62
7:41,314,TK Edogi Offensive Rebound.,61,62
7:38,314,TK Edogi missed Two Point Tip Shot.,61,62
7:38,2885,NJIT Defensive Rebound.,61,62
7:38,2885,Official TV Timeout,61,62
7:18,2885,Anthony Tarke missed Layup.,61,62
7:18,314,TK Edogi Block.,61,62
7:16,314,Deyshonee Much Defensive Rebound.,61,62
7:01,2885,Foul on Shawndale Jones.,61,62
6:55,314,Rickey McGill Turnover.,61,62
6:53,2885,Anthony Tarke Steal.,61,62
6:34,2885,Abdul Lewis Turnover.,61,62
6:17,314,TK Edogi missed Jumper.,61,62
6:17,2885,Reilly Walsh Defensive Rebound.,61,62
5:49,2885,Zach Cooks missed Layup.,61,62
5:49,314,TK Edogi Block.,61,62
5:47,314,Schadrac Casimir Defensive Rebound.,61,62
5:39,314,TK Edogi made Three Point Jumper. Assisted by Rickey McGill.,64,62
5:15,2885,Foul on Abdul Lewis.,64,62
5:15,2885,Abdul Lewis Turnover.,64,62
4:48,314,Schadrac Casimir Turnover.,64,62
4:26,2885,Diandre Wilson missed Three Point Jumper.,64,62
4:26,314,Roland Griffin Defensive Rebound.,64,62
4:17,314,Roland Griffin made Layup.,66,62
3:51,314,Foul on Schadrac Casimir.,66,62
3:51,2885,Official TV Timeout,66,62
3:51,2885,Diandre Wilson made Free Throw.,66,63
3:51,2885,Diandre Wilson made Free Throw.,66,64
3:27,314,Roland Griffin Turnover.,66,64
3:01,2885,Shyquan Gibbs made Layup.,66,66
2:35,314,E.J. Crawford missed Jumper.,66,66
2:35,314,Rickey McGill Offensive Rebound.,66,66
2:30,314,Rickey McGill made Layup.,68,66
2:11,2885,Abdul Lewis missed Jumper.,68,66
2:11,314,Schadrac Casimir Defensive Rebound.,68,66
2:01,314,Rickey McGill missed Jumper.,68,66
2:01,2885,Shyquan Gibbs Defensive Rebound.,68,66
1:39,2885,Abdul Lewis missed Layup.,68,66
1:39,314,Schadrac Casimir Defensive Rebound.,68,66
1:30,314,E.J. Crawford Turnover.,68,66
1:30,2885,NJIT  Timeout,68,66
1:30,2885,NJIT  Timeout,68,66
1:14,2885,Anthony Tarke made Layup.,68,68
1:04,314,Iona  Timeout,68,68
0:41,314,Rickey McGill made Jumper.,70,68
0:30,314,Foul on E.J. Crawford.,70,68
0:30,2885,Anthony Tarke missed Free Throw.,70,68
0:30,2885,NJIT Deadball Team Rebound.,70,68
0:30,2885,Anthony Tarke missed Free Throw.,70,68
0:30,314,Deyshonee Much Defensive Rebound.,70,68
0:23,314,Rickey McGill Turnover.,70,68
0:23,2885,NJIT  Timeout,70,68
0:23,2885,NJIT  Timeout,70,68
0:18,2885,Foul on Diandre Wilson.,70,68
0:18,2885,Diandre Wilson Turnover.,70,68
0:13,2885,Foul on Shyquan Gibbs.,70,68
0:13,314,Schadrac Casimir made Free Throw.,71,68
0:13,314,Schadrac Casimir made Free Throw.,72,68
0:09,2885,Shyquan Gibbs made Layup.,72,70
0:06,2885,Foul on Diandre Wilson.,72,70
0:06,314,Schadrac Casimir made Free Throw.,73,70
0:06,314,Schadrac Casimir made Free Throw.,74,70
0:02,2885,Anthony Tarke missed Three Point Jumper.,74,70
0:02,314,TK Edogi Defensive Rebound.,74,70
0:00,2885,End of Game,74,70
