St. Francis (BKN),2230,Fordham,2597
10:40,2597,Yaradyah Evans missed Jumper.,6,18
10:40,2230,Will Tavares Defensive Rebound.,6,18
10:32,2230,Will Tavares missed Jumper.,6,18
10:32,2597,Rasheem Dunn Defensive Rebound.,6,18
10:21,2230,Foul on Tre Evans.,6,18
10:21,2597,Jalen Jordan made Free Throw.,7,18
10:21,2597,Jalen Jordan made Free Throw.,8,18
10:21,2597,Jalen Jordan missed Free Throw.,8,18
10:21,2230,Tre Evans Defensive Rebound.,8,18
10:05,2230,Prokop Slanina missed Three Point Jumper.,8,18
10:05,2597,Milija Cosic Defensive Rebound.,8,18
9:54,2597,Rasheem Dunn made Layup.,10,18
9:54,2230,Foul on Prokop Slanina.,10,18
9:54,2597,Rasheem Dunn missed Free Throw.,10,18
9:54,2230,Tre Evans Defensive Rebound.,10,18
9:32,2230,Joseph Chartouny made Three Point Jumper.,10,21
9:06,2597,Josh Nicholas made Three Point Jumper.,13,21
8:45,2230,Joseph Chartouny missed Layup.,13,21
8:45,2597,Josh Nicholas Defensive Rebound.,13,21
8:25,2597,Milija Cosic missed Three Point Jumper.,13,21
8:25,2230,Prokop Slanina Defensive Rebound.,13,21
8:03,2230,Joseph Chartouny missed Three Point Jumper.,13,21
7:59,2230,Perris Hicks Offensive Rebound.,13,21
7:42,2230,Prokop Slanina missed Three Point Jumper.,13,21
7:42,2597,St. Francis (BKN) Defensive Rebound.,13,21
7:39,2230,Official TV Timeout,13,21
7:28,2597,Josh Nicholas made Jumper.,15,21
6:57,2230,Joseph Chartouny missed Jumper.,15,21
6:57,2597,D.J. Porter Defensive Rebound.,15,21
6:48,2597,D.J. Porter missed Layup.,15,21
6:48,2230,Perris Hicks Defensive Rebound.,15,21
6:24,2597,Foul on Milija Cosic.,15,21
6:11,2230,Tre Evans made Layup.,15,23
5:54,2597,Milija Cosic missed Three Point Jumper.,15,23
5:54,2230,Will Tavares Defensive Rebound.,15,23
5:46,2230,Joseph Chartouny missed Three Point Jumper.,15,23
5:46,2597,Milija Cosic Defensive Rebound.,15,23
5:19,2597,Josh Nicholas missed Layup.,15,23
5:19,2230,Tre Evans Defensive Rebound.,15,23
5:13,2230,Tre Evans Turnover.,15,23
4:57,2597,Rasheem Dunn made Layup.,17,23
4:28,2230,Tre Evans made Jumper.,17,25
4:00,2597,D.J. Porter missed Jumper.,17,25
4:00,2597,Rasheem Dunn Offensive Rebound.,17,25
3:44,2597,Rasheem Dunn missed Jumper.,17,25
3:44,2230,Tre Evans Defensive Rebound.,17,25
3:23,2597,Foul on D.J. Porter.,17,25
3:23,2230,Official TV Timeout,17,25
3:23,2230,Joseph Chartouny missed Free Throw.,17,25
3:23,2230,Fordham Deadball Team Rebound.,17,25
3:23,2230,Joseph Chartouny made Free Throw.,17,26
2:58,2230,Foul on Prokop Slanina.,17,26
2:58,2597,Rasheem Dunn made Free Throw.,18,26
2:58,2597,Rasheem Dunn made Free Throw.,19,26
2:40,2230,Prokop Slanina missed Layup.,19,26
2:40,2230,Will Tavares Offensive Rebound.,19,26
2:37,2230,Will Tavares made Layup.,19,28
2:37,2230,Fordham  Timeout,19,28
2:24,2597,D.J. Porter missed Jumper.,19,28
2:24,2597,D.J. Porter Offensive Rebound.,19,28
2:20,2597,D.J. Porter missed Jumper.,19,28
2:20,2230,Will Tavares Defensive Rebound.,19,28
2:12,2230,David Pekarek made Three Point Jumper. Assisted by Will Tavares.,19,31
2:05,2230,Foul on Tre Evans.,19,31
2:00,2597,Josh Nicholas made Three Point Jumper. Assisted by D.J. Porter.,22,31
1:44,2230,Will Tavares made Jumper.,22,33
1:22,2597,D.J. Porter missed Jumper.,22,33
1:22,2230,Joseph Chartouny Defensive Rebound.,22,33
1:02,2230,Joseph Chartouny Turnover.,22,33
1:00,2597,Yaradyah Evans Steal.,22,33
0:59,2597,Yaradyah Evans Turnover.,22,33
0:58,2230,Will Tavares Steal.,22,33
0:55,2597,Foul on Yaradyah Evans.,22,33
0:55,2230,Joseph Chartouny made Free Throw.,22,34
0:55,2230,Joseph Chartouny made Free Throw.,22,35
0:38,2230,Foul on Perris Hicks.,22,35
0:38,2597,Rasheem Dunn made Free Throw.,23,35
0:38,2597,Rasheem Dunn made Free Throw.,24,35
0:27,2230,Perris Hicks missed Layup.,24,35
0:27,2230,David Pekarek Offensive Rebound.,24,35
0:07,2230,Foul on David Pekarek.,24,35
0:07,2230,David Pekarek Turnover.,24,35
0:07,2597,St. Francis (BKN)  Timeout,24,35
0:01,2230,Foul on Perris Hicks.,24,35
0:01,2597,Rasheem Dunn missed Free Throw.,24,35
0:01,2597,St. Francis (BKN) Deadball Team Rebound.,24,35
0:01,2597,Rasheem Dunn made Free Throw.,25,35
0:00,2230,End of 1st half,25,35
19:32,2230,Will Tavares made Jumper.,25,37
19:32,2597,Foul on Josh Nicholas.,25,37
19:32,2230,Will Tavares missed Free Throw.,25,37
19:32,2597,Milija Cosic Defensive Rebound.,25,37
19:16,2597,Milija Cosic Turnover.,25,37
19:15,2230,Ivan Raut Steal.,25,37
19:13,2230,Ivan Raut made Layup.,25,39
18:51,2597,Jalen Jordan Turnover.,25,39
18:50,2230,Will Tavares Steal.,25,39
18:39,2230,Joseph Chartouny made Layup.,25,41
18:08,2597,Jalen Jordan Turnover.,25,41
17:52,2230,Ivan Raut missed Three Point Jumper.,25,41
17:52,2597,Rasheem Dunn Defensive Rebound.,25,41
17:42,2597,Josh Nicholas Turnover.,25,41
17:23,2230,Will Tavares made Three Point Jumper. Assisted by Prokop Slanina.,25,44
17:21,2597,St. Francis (BKN)  Timeout,25,44
17:21,2230,Official TV Timeout,25,44
17:01,2597,Rasheem Dunn Turnover.,25,44
17:00,2230,Tre Evans Steal.,25,44
16:56,2230,Ivan Raut missed Layup.,25,44
16:56,2230,Prokop Slanina Offensive Rebound.,25,44
16:54,2597,Foul on Joshua Nurse.,25,44
16:54,2230,Prokop Slanina made Free Throw.,25,45
16:54,2230,Prokop Slanina made Free Throw.,25,46
16:40,2597,Chauncey Hawkins Turnover.,25,46
16:21,2230,Cavit Havsa missed Three Point Jumper.,25,46
16:21,2597,St. Francis (BKN) Defensive Rebound.,25,46
16:05,2597,Chauncey Hawkins made Jumper. Assisted by Joshua Nurse.,27,46
15:41,2230,David Pekarek missed Three Point Jumper.,27,46
15:41,2597,Keon Williams Defensive Rebound.,27,46
15:33,2597,Rasheem Dunn made Jumper.,29,46
15:05,2230,Tre Evans missed Three Point Jumper.,29,46
15:05,2597,St. Francis (BKN) Defensive Rebound.,29,46
15:03,2230,Foul on David Pekarek.,29,46
15:03,2230,Official TV Timeout,29,46
14:50,2597,Yaradyah Evans made Layup. Assisted by Josh Nicholas.,31,46
14:26,2230,Will Tavares missed Layup.,31,46
14:26,2230,David Pekarek Offensive Rebound.,31,46
14:25,2597,Foul on Yaradyah Evans.,31,46
14:25,2230,David Pekarek missed Free Throw.,31,46
14:25,2230,Fordham Deadball Team Rebound.,31,46
14:25,2230,David Pekarek made Free Throw.,31,47
14:02,2597,Rasheem Dunn missed Jumper.,31,47
14:02,2230,David Pekarek Block.,31,47
14:00,2230,Joseph Chartouny Defensive Rebound.,31,47
13:55,2230,David Pekarek missed Three Point Jumper.,31,47
13:55,2597,Yaradyah Evans Defensive Rebound.,31,47
13:32,2597,Yaradyah Evans Turnover.,31,47
13:32,2230,Joseph Chartouny Steal.,31,47
13:10,2230,Joseph Chartouny made Layup.,31,49
12:57,2597,Jalen Jordan made Jumper. Assisted by Rasheem Dunn.,33,49
12:31,2230,Will Tavares missed Three Point Jumper.,33,49
12:31,2597,Josh Nicholas Defensive Rebound.,33,49
12:22,2597,Rasheem Dunn Turnover.,33,49
12:21,2230,Joseph Chartouny Steal.,33,49
12:16,2230,Will Tavares made Layup. Assisted by Joseph Chartouny.,33,51
11:50,2597,Yaradyah Evans Turnover.,33,51
11:48,2230,Perris Hicks Steal.,33,51
11:44,2230,Will Tavares Turnover.,33,51
11:42,2597,Jalen Jordan Steal.,33,51
11:39,2597,Rasheem Dunn made Three Point Jumper. Assisted by Jalen Jordan.,36,51
11:14,2230,Official TV Timeout,36,51
11:11,2230,Will Tavares made Layup. Assisted by Joseph Chartouny.,36,53
11:11,2597,Foul on D.J. Porter.,36,53
11:11,2230,Will Tavares made Free Throw.,36,54
10:55,2597,Josh Nicholas made Three Point Jumper. Assisted by Jalen Jordan.,39,54
10:35,2230,Joseph Chartouny missed Layup.,39,54
10:35,2597,Chauncey Hawkins Defensive Rebound.,39,54
10:30,2597,Jalen Jordan made Layup. Assisted by Chauncey Hawkins.,41,54
10:05,2230,Ivan Raut missed Three Point Jumper.,41,54
10:05,2597,D.J. Porter Defensive Rebound.,41,54
9:45,2597,Jagos Lasic missed Three Point Jumper.,41,54
9:45,2230,Ivan Raut Defensive Rebound.,41,54
9:34,2230,Tre Evans missed Layup.,41,54
9:34,2597,D.J. Porter Defensive Rebound.,41,54
9:25,2597,Jalen Jordan missed Jumper.,41,54
9:25,2597,Josh Nicholas Offensive Rebound.,41,54
8:55,2597,Rasheem Dunn made Layup.,43,54
8:31,2230,Cavit Havsa missed Three Point Jumper.,43,54
8:31,2597,Chauncey Hawkins Defensive Rebound.,43,54
8:20,2597,Jagos Lasic made Three Point Jumper. Assisted by Rasheem Dunn.,46,54
8:01,2597,Foul on Jagos Lasic.,46,54
8:01,2230,Joseph Chartouny made Free Throw.,46,55
8:01,2230,Joseph Chartouny made Free Throw.,46,56
7:50,2230,Official TV Timeout,46,56
7:43,2597,Jalen Jordan missed Three Point Jumper.,46,56
7:43,2230,Prokop Slanina Defensive Rebound.,46,56
7:22,2230,Will Tavares made Layup.,46,58
6:59,2597,Chauncey Hawkins missed Three Point Jumper.,46,58
6:59,2230,Perris Hicks Defensive Rebound.,46,58
6:48,2230,Joseph Chartouny missed Layup.,46,58
6:48,2597,D.J. Porter Defensive Rebound.,46,58
6:42,2597,Rasheem Dunn missed Jumper.,46,58
6:42,2230,David Pekarek Defensive Rebound.,46,58
6:37,2597,Foul on Chauncey Hawkins.,46,58
6:24,2230,Joseph Chartouny made Layup. Assisted by David Pekarek.,46,60
6:07,2597,D.J. Porter missed Three Point Jumper.,46,60
6:07,2230,David Pekarek Defensive Rebound.,46,60
5:48,2230,Joseph Chartouny missed Three Point Jumper.,46,60
5:48,2597,St. Francis (BKN) Defensive Rebound.,46,60
5:40,2230,Foul on Will Tavares.,46,60
5:27,2597,Jagos Lasic Turnover.,46,60
5:27,2230,Perris Hicks Steal.,46,60
5:24,2230,Perris Hicks made Layup.,46,62
4:59,2597,Rasheem Dunn made Layup.,48,62
4:58,2597,St. Francis (BKN)  Timeout,48,62
4:50,2230,Prokop Slanina made Layup. Assisted by David Pekarek.,48,64
4:29,2597,Rasheem Dunn made Layup.,50,64
4:22,2230,Will Tavares Turnover.,50,64
4:20,2597,D.J. Porter Steal.,50,64
4:18,2597,D.J. Porter missed Three Point Jumper.,50,64
4:18,2230,Will Tavares Defensive Rebound.,50,64
4:12,2230,Will Tavares Turnover.,50,64
4:12,2597,Chauncey Hawkins Steal.,50,64
4:12,2230,Foul on Will Tavares.,50,64
3:59,2597,Jagos Lasic made Layup. Assisted by D.J. Porter.,52,64
3:47,2230,Joseph Chartouny missed Layup.,52,64
3:47,2230,Prokop Slanina Offensive Rebound.,52,64
3:45,2230,Prokop Slanina made Layup.,52,66
3:31,2597,Josh Nicholas missed Jumper.,52,66
3:31,2230,David Pekarek Defensive Rebound.,52,66
3:10,2230,Joseph Chartouny made Layup.,52,68
3:10,2597,Foul on Jagos Lasic.,52,68
3:10,2230,Official TV Timeout,52,68
3:10,2230,Joseph Chartouny made Free Throw.,52,69
3:01,2597,Chauncey Hawkins made Jumper.,54,69
2:34,2230,David Pekarek made Three Point Jumper. Assisted by Joseph Chartouny.,54,72
2:15,2597,Chauncey Hawkins made Three Point Jumper. Assisted by Rasheem Dunn.,57,72
2:00,2230,Joseph Chartouny Turnover.,57,72
1:58,2597,Rasheem Dunn Steal.,57,72
1:56,2597,Rasheem Dunn made Layup.,59,72
1:45,2230,Will Tavares Turnover.,59,72
1:32,2597,Jalen Jordan made Three Point Jumper. Assisted by Chauncey Hawkins.,62,72
1:24,2230,Fordham  Timeout,62,72
1:21,2230,Will Tavares missed Dunk.,62,72
1:21,2597,Jalen Jordan Defensive Rebound.,62,72
1:16,2230,Foul on Prokop Slanina.,62,72
1:16,2597,Jalen Jordan made Free Throw.,63,72
1:16,2597,Jalen Jordan made Free Throw.,64,72
1:08,2597,Foul on Chauncey Hawkins.,64,72
1:08,2230,Will Tavares missed Free Throw.,64,72
1:08,2230,Prokop Slanina Offensive Rebound.,64,72
0:39,2230,Prokop Slanina made Jumper. Assisted by Joseph Chartouny.,64,74
0:29,2230,Foul on Prokop Slanina.,64,74
0:29,2597,Jalen Jordan made Free Throw.,65,74
0:29,2597,Jalen Jordan missed Free Throw.,65,74
0:29,2230,David Pekarek Defensive Rebound.,65,74
0:27,2597,Foul on D.J. Porter.,65,74
0:27,2230,David Pekarek missed Free Throw.,65,74
0:27,2597,Rasheem Dunn Defensive Rebound.,65,74
0:18,2230,Prokop Slanina made Free Throw.,65,75
0:18,2230,Prokop Slanina made Free Throw.,65,76
0:17,2230,Prokop Slanina Defensive Rebound.,65,76
0:17,2597,Foul on Jagos Lasic.,65,76
0:17,2597,Jalen Jordan missed Three Point Jumper.,65,76
0:15,2597,Rasheem Dunn missed Three Point Jumper.,65,76
0:15,2230,Prokop Slanina Defensive Rebound.,65,76
0:06,2230,David Pekarek Turnover.,65,76
0:06,2597,Jagos Lasic Steal.,65,76
0:01,2597,Jalen Jordan made Three Point Jumper. Assisted by Rasheem Dunn.,68,76
0:00,2230,End of Game,68,76
