Howard Payne,Error,Lamar,2320
15:25,2320,Josh Nzeakor missed Layup.,5,10
15:25,-1,Thomas Bingham Block.,5,10
15:25,2320,Colton Weisbrod Offensive Rebound.,5,10
15:19,2320,Colton Weisbrod made Layup.,5,12
15:15,-1,Thomas Bingham made Layup. Assisted by Joshua Taylor.,7,12
15:04,2320,T.J. Atwood Turnover.,7,12
15:04,-1,Darren Farmer Steal.,7,12
15:04,2320,Foul on Zjori Bosha.,7,12
14:56,-1,Timothy Aguero made Jumper. Assisted by Joshua Taylor.,9,12
14:48,2320,Nick Garth Turnover.,9,12
14:47,-1,Darren Farmer Steal.,9,12
14:41,-1,Drake Cooper Turnover.,9,12
14:40,2320,Colton Weisbrod Steal.,9,12
14:37,2320,Colton Weisbrod made Layup.,9,14
14:22,-1,Darren Farmer Turnover.,9,14
14:17,-1,Foul on Darren Farmer.,9,14
14:08,2320,Zjori Bosha missed Three Point Jumper.,9,14
14:08,-1,Thomas Bingham Defensive Rebound.,9,14
14:00,-1,Joshua Taylor missed Layup.,9,14
14:00,2320,Avery Sullivan Defensive Rebound.,9,14
13:53,2320,Nick Garth made Three Point Jumper. Assisted by Torey Noel.,9,17
13:17,-1,Timothy Aguero Turnover.,9,17
13:16,2320,Torey Noel Steal.,9,17
13:14,2320,Torey Noel Turnover.,9,17
13:14,2320,Foul on Torey Noel.,9,17
12:59,-1,Drake Cooper Turnover.,9,17
12:59,-1,Foul on Drake Cooper.,9,17
12:50,2320,Zjori Bosha missed Three Point Jumper.,9,17
12:50,-1,Joshua Taylor Defensive Rebound.,9,17
12:40,2320,Foul on Nick Garth.,9,17
12:40,-1,Darren Farmer made Free Throw.,10,17
12:40,-1,Darren Farmer missed Free Throw.,10,17
12:40,2320,Colton Weisbrod Defensive Rebound.,10,17
12:25,2320,Colton Weisbrod made Layup.,10,19
12:25,-1,Foul on Darren Farmer.,10,19
12:25,2320,Colton Weisbrod missed Free Throw.,10,19
12:25,-1,Joshua Taylor Defensive Rebound.,10,19
12:16,-1,Joshua Taylor missed Layup.,10,19
12:16,2320,Avery Sullivan Defensive Rebound.,10,19
12:13,2320,Avery Sullivan Turnover.,10,19
12:13,-1,Darren Farmer Steal.,10,19
12:04,-1,Thomas Bingham Turnover.,10,19
11:55,2320,Nick Garth missed Three Point Jumper.,10,19
11:55,2320,Colton Weisbrod Offensive Rebound.,10,19
11:48,2320,James Harrison missed Three Point Jumper.,10,19
11:48,2320,Avery Sullivan Offensive Rebound.,10,19
11:39,-1,Foul on Joshua Taylor.,10,19
11:39,2320,Official TV Timeout,10,19
11:28,-1,Foul on Talen Davis.,10,19
11:28,2320,Avery Sullivan made Free Throw.,10,20
11:28,2320,Avery Sullivan made Free Throw.,10,21
11:18,-1,Javaris Jones Turnover.,10,21
11:17,2320,Nick Garth Steal.,10,21
11:16,2320,Nick Garth made Layup. Assisted by Torey Noel.,10,23
11:06,-1,Khyce Randall Turnover.,10,23
10:55,2320,T.J. Atwood missed Jumper.,10,23
10:55,-1,Talen Davis Defensive Rebound.,10,23
10:51,-1,Talen Davis Turnover.,10,23
10:49,2320,James Harrison Steal.,10,23
10:48,2320,James Harrison missed Three Point Jumper.,10,23
10:48,2320,Avery Sullivan Offensive Rebound.,10,23
10:45,2320,T.J. Atwood missed Layup.,10,23
10:45,2320,T.J. Atwood Offensive Rebound.,10,23
10:42,2320,T.J. Atwood made Two Point Tip Shot.,10,25
10:20,-1,Cole Bene' Turnover.,10,25
10:19,2320,Torey Noel Steal.,10,25
10:17,2320,T.J. Atwood missed Layup.,10,25
10:17,-1,Cole Bene' Defensive Rebound.,10,25
10:07,-1,De'Marcus Hurd made Three Point Jumper. Assisted by Khyce Randall.,13,25
9:45,2320,T.J. Atwood made Jumper.,13,27
9:33,-1,Khyce Randall missed Three Point Jumper.,13,27
9:33,-1,Talen Davis Offensive Rebound.,13,27
9:28,2320,Foul on Avery Sullivan.,13,27
9:28,-1,Talen Davis made Free Throw.,14,27
9:28,-1,Talen Davis made Free Throw.,15,27
9:13,2320,James Harrison missed Three Point Jumper.,15,27
9:13,-1,Thomas Bingham Defensive Rebound.,15,27
9:01,-1,Javaris Jones Turnover.,15,27
9:00,2320,James Harrison Steal.,15,27
8:55,2320,James Harrison made Three Point Jumper. Assisted by Joey Frenchwood.,15,30
8:34,-1,Khyce Randall Turnover.,15,30
8:26,-1,Foul on Thomas Bingham.,15,30
8:26,2320,Josh Nzeakor made Free Throw.,15,31
8:26,2320,Josh Nzeakor missed Free Throw.,15,31
8:26,-1,Khyce Randall Defensive Rebound.,15,31
8:09,-1,Darren Farmer missed Layup.,15,31
8:09,-1,Khyce Randall Offensive Rebound.,15,31
8:05,-1,De'Marcus Hurd made Three Point Jumper. Assisted by Cole Bene'.,18,31
7:57,2320,Official TV Timeout,18,31
7:49,2320,Josh Nzeakor made Layup.,18,33
7:35,-1,Drake Cooper made Layup.,20,33
7:22,2320,Joey Frenchwood made Jumper. Assisted by Nick Garth.,20,35
7:12,-1,Cody Hastings missed Three Point Jumper.,20,35
7:12,2320,James Harrison Defensive Rebound.,20,35
6:55,2320,T.J. Atwood missed Three Point Jumper.,20,35
6:55,2320,Josh Nzeakor Offensive Rebound.,20,35
6:53,-1,Foul on Thomas Bingham.,20,35
6:53,2320,Josh Nzeakor made Free Throw.,20,36
6:53,2320,Josh Nzeakor missed Free Throw.,20,36
6:53,-1,Howard Payne Defensive Rebound.,20,36
6:39,-1,Timothy Aguero Turnover.,20,36
6:14,2320,Zjori Bosha made Layup.,20,38
5:54,-1,Cody Hastings missed Layup.,20,38
5:54,2320,Joey Frenchwood Block.,20,38
5:54,-1,Howard Payne Offensive Rebound.,20,38
5:52,-1,Cody Hastings made Layup. Assisted by Timothy Aguero.,22,38
5:45,2320,Zjori Bosha made Jumper. Assisted by Joey Frenchwood.,22,40
5:31,-1,Timothy Aguero made Layup. Assisted by Cody Hastings.,24,40
5:31,2320,Foul on Josh Nzeakor.,24,40
5:31,-1,Timothy Aguero missed Free Throw.,24,40
5:31,2320,T.J. Atwood Defensive Rebound.,24,40
5:12,2320,Colton Weisbrod made Layup. Assisted by Torey Noel.,24,42
5:12,-1,Foul on Cole Bene'.,24,42
5:12,2320,Colton Weisbrod made Free Throw.,24,43
5:01,2320,Foul on Josh Nzeakor.,24,43
5:01,-1,Cole Bene' made Free Throw.,25,43
5:01,-1,Cole Bene' missed Free Throw.,25,43
5:01,2320,T.J. Atwood Defensive Rebound.,25,43
4:35,-1,Foul on Joshua Taylor.,25,43
4:35,2320,T.J. Atwood made Free Throw.,25,44
4:35,2320,T.J. Atwood made Free Throw.,25,45
4:16,-1,Khyce Randall missed Layup.,25,45
4:16,2320,Joey Frenchwood Defensive Rebound.,25,45
4:09,2320,Torey Noel made Layup. Assisted by Joey Frenchwood.,25,47
4:09,-1,Foul on Joshua Taylor.,25,47
4:09,2320,Torey Noel made Free Throw.,25,48
3:58,-1,Talen Davis missed Layup.,25,48
3:58,2320,Jordan Foster Block.,25,48
3:58,2320,Torey Noel Defensive Rebound.,25,48
3:47,2320,Joey Frenchwood missed Three Point Jumper.,25,48
3:47,2320,Colton Weisbrod Offensive Rebound.,25,48
3:40,2320,Official TV Timeout,25,48
3:31,-1,Foul on Talen Davis.,25,48
3:31,2320,Zjori Bosha made Free Throw.,25,49
3:31,2320,Zjori Bosha made Free Throw.,25,50
3:10,-1,De'Marcus Hurd missed Three Point Jumper.,25,50
3:10,-1,Cole Bene' Offensive Rebound.,25,50
2:59,-1,Cole Bene' Turnover.,25,50
2:59,2320,Joey Frenchwood Steal.,25,50
2:59,2320,Lamar  Timeout,25,50
2:43,2320,Colton Weisbrod Turnover.,25,50
2:31,-1,Cole Bene' made Layup. Assisted by Darren Farmer.,27,50
2:25,2320,Nick Garth missed Three Point Jumper.,27,50
2:25,-1,Cole Bene' Defensive Rebound.,27,50
2:18,-1,De'Marcus Hurd Turnover.,27,50
2:18,-1,Foul on De'Marcus Hurd.,27,50
1:58,2320,Colton Weisbrod missed Three Point Jumper.,27,50
1:58,2320,Avery Sullivan Offensive Rebound.,27,50
1:52,-1,Foul on Darren Farmer.,27,50
1:51,2320,Avery Sullivan missed Free Throw.,27,50
1:51,2320,Lamar Deadball Team Rebound.,27,50
1:51,2320,Avery Sullivan made Free Throw.,27,51
1:40,-1,Jaze Randolph Turnover.,27,51
1:38,2320,Torey Noel Steal.,27,51
1:36,2320,Colton Weisbrod made Dunk.,27,53
1:22,-1,Howard Payne  Timeout,27,53
1:20,-1,Joshua Carroll Turnover.,27,53
1:19,2320,Zjori Bosha Steal.,27,53
1:17,2320,Zjori Bosha missed Layup.,27,53
1:17,-1,Cole Bene' Defensive Rebound.,27,53
1:12,-1,Darren Farmer Turnover.,27,53
1:11,2320,Torey Noel Steal.,27,53
1:04,-1,Foul on Darren Farmer.,27,53
1:04,2320,Colton Weisbrod missed Free Throw.,27,53
1:04,2320,Lamar Deadball Team Rebound.,27,53
1:04,2320,Colton Weisbrod made Free Throw.,27,54
0:46,-1,Khyce Randall missed Three Point Jumper.,27,54
0:46,2320,Avery Sullivan Defensive Rebound.,27,54
0:18,2320,Torey Noel missed Three Point Jumper.,27,54
0:18,-1,Howard Payne Defensive Rebound.,27,54
0:11,2320,Foul on Torey Noel.,27,54
0:11,-1,Jaze Randolph missed Free Throw.,27,54
0:11,2320,Joey Frenchwood Defensive Rebound.,27,54
0:02,2320,Nick Garth made Layup.,27,56
0:02,-1,Foul on Cole Bene'.,27,56
0:02,2320,Nick Garth made Free Throw.,27,57
0:00,2320,End of 1st half,27,57
19:43,-1,Foul on De'Marcus Hurd.,27,57
19:43,2320,Colton Weisbrod made Free Throw.,27,58
19:43,2320,Colton Weisbrod missed Free Throw.,27,58
19:43,2320,Josh Nzeakor Offensive Rebound.,27,58
19:39,2320,Josh Nzeakor made Layup.,27,60
19:27,-1,Khyce Randall made Three Point Jumper. Assisted by Talen Davis.,30,60
18:54,2320,Zjori Bosha made Three Point Jumper. Assisted by Josh Nzeakor.,30,63
18:37,-1,De'Marcus Hurd Turnover.,30,63
18:35,2320,Zjori Bosha Steal.,30,63
18:26,-1,Foul on Talen Davis.,30,63
18:11,2320,Josh Nzeakor missed Free Throw.,30,63
18:11,2320,Lamar Deadball Team Rebound.,30,63
17:52,2320,Josh Nzeakor made Free Throw.,30,64
17:39,-1,Cody Hastings Turnover.,30,64
17:38,2320,Colton Weisbrod missed Layup.,30,64
17:38,2320,Josh Nzeakor Offensive Rebound.,30,64
17:36,-1,Foul on Khyce Randall.,30,64
17:36,2320,Josh Nzeakor made Free Throw.,30,65
17:36,2320,Josh Nzeakor made Free Throw.,30,66
17:36,-1,Talen Davis Turnover.,30,66
17:35,2320,T.J. Atwood Steal.,30,66
17:34,2320,T.J. Atwood missed Three Point Jumper.,30,66
17:34,-1,Thomas Bingham Defensive Rebound.,30,66
17:29,-1,Thomas Bingham Turnover.,30,66
17:27,2320,Josh Nzeakor Steal.,30,66
17:26,2320,Josh Nzeakor Turnover.,30,66
17:26,-1,Talen Davis Turnover.,30,66
17:26,2320,Joey Frenchwood Steal.,30,66
17:25,2320,Joey Frenchwood made Three Point Jumper. Assisted by T.J. Atwood.,30,69
17:01,-1,Thomas Bingham Turnover.,30,69
16:59,2320,Zjori Bosha Steal.,30,69
16:57,-1,Foul on Timothy Aguero.,30,69
16:57,2320,Joey Frenchwood made Free Throw.,30,70
16:57,2320,Joey Frenchwood made Free Throw.,30,71
16:41,-1,Shadd Cole missed Layup.,30,71
16:41,2320,T.J. Atwood Defensive Rebound.,30,71
16:29,2320,Josh Nzeakor missed Layup.,30,71
16:29,-1,Shadd Cole Defensive Rebound.,30,71
16:22,-1,Shadd Cole Turnover.,30,71
16:21,2320,Zjori Bosha Steal.,30,71
16:18,2320,Joey Frenchwood made Three Point Jumper. Assisted by Zjori Bosha.,30,74
16:00,-1,Timothy Aguero Turnover.,30,74
15:59,2320,Zjori Bosha Steal.,30,74
15:57,-1,Foul on Cody Hastings.,30,74
15:57,2320,Official TV Timeout,30,74
15:57,2320,Zjori Bosha missed Free Throw.,30,74
15:57,2320,Lamar Deadball Team Rebound.,30,74
15:57,2320,Zjori Bosha made Free Throw.,30,75
15:43,-1,Khyce Randall missed Jumper.,30,75
15:43,2320,Avery Sullivan Defensive Rebound.,30,75
15:36,2320,Nick Garth made Three Point Jumper. Assisted by James Harrison.,30,78
15:26,-1,Timothy Aguero Turnover.,30,78
15:25,2320,Nick Garth Steal.,30,78
15:22,2320,Colton Weisbrod made Layup. Assisted by Nick Garth.,30,80
15:08,-1,Thomas Bingham made Layup. Assisted by Cody Hastings.,32,80
14:53,2320,James Harrison missed Three Point Jumper.,32,80
14:53,-1,Timothy Aguero Defensive Rebound.,32,80
14:25,-1,Drake Cooper missed Jumper.,32,80
14:25,2320,Colton Weisbrod Defensive Rebound.,32,80
14:19,2320,Nick Garth made Layup. Assisted by Colton Weisbrod.,32,82
13:55,-1,Cody Hastings made Layup. Assisted by Thomas Bingham.,34,82
13:20,2320,Lamar  Turnover.,34,82
13:08,-1,De'Marcus Hurd missed Three Point Jumper.,34,82
13:08,2320,James Harrison Defensive Rebound.,34,82
12:48,-1,Foul on Drake Cooper.,34,82
12:44,2320,Torey Noel missed Three Point Jumper.,34,82
12:44,-1,Thomas Bingham Defensive Rebound.,34,82
12:33,2320,Foul on Nick Garth.,34,82
12:26,-1,Drake Cooper made Layup.,36,82
12:09,-1,Foul on Jaze Randolph.,36,82
12:09,2320,T.J. Atwood missed Free Throw.,36,82
12:09,2320,Lamar Deadball Team Rebound.,36,82
12:09,2320,T.J. Atwood made Free Throw.,36,83
12:03,-1,Joshua Carroll Turnover.,36,83
11:52,2320,Nick Garth made Three Point Jumper. Assisted by T.J. Atwood.,36,86
11:36,-1,Joshua Carroll Turnover.,36,86
11:36,-1,Foul on Joshua Carroll.,36,86
11:36,2320,Official TV Timeout,36,86
11:24,2320,T.J. Atwood made Jumper. Assisted by Nick Garth.,36,88
10:57,-1,Drake Cooper made Three Point Jumper. Assisted by Javaris Jones.,39,88
10:36,2320,James Harrison missed Three Point Jumper.,39,88
10:36,-1,Timothy Aguero Defensive Rebound.,39,88
10:32,-1,Timothy Aguero Turnover.,39,88
10:31,2320,Nick Garth Steal.,39,88
10:24,2320,Jordan Foster Turnover.,39,88
10:24,2320,Foul on Jordan Foster.,39,88
10:08,-1,Joshua Carroll Turnover.,39,88
10:07,2320,Torey Noel Steal.,39,88
9:51,2320,Nick Garth missed Three Point Jumper.,39,88
9:51,2320,Jordan Foster Offensive Rebound.,39,88
9:47,2320,Jordan Foster made Layup.,39,90
9:40,-1,Timothy Aguero Turnover.,39,90
9:39,2320,Nick Garth Steal.,39,90
9:36,2320,T.J. Atwood missed Dunk.,39,90
9:36,2320,James Harrison Offensive Rebound.,39,90
9:33,2320,James Harrison missed Three Point Jumper.,39,90
9:33,-1,Javaris Jones Defensive Rebound.,39,90
9:25,-1,Javaris Jones missed Jumper.,39,90
9:25,-1,Joshua Carroll Offensive Rebound.,39,90
9:20,-1,Joshua Carroll missed Two Point Tip Shot.,39,90
9:20,-1,Thomas Bingham Offensive Rebound.,39,90
9:20,-1,Thomas Bingham made Two Point Tip Shot.,41,90
9:20,2320,Foul on Jordan Foster.,41,90
9:20,-1,Thomas Bingham made Free Throw.,42,90
9:13,2320,Torey Noel Turnover.,42,90
9:06,-1,Timothy Aguero Turnover.,42,90
9:06,2320,Zjori Bosha Steal.,42,90
9:06,2320,Zjori Bosha missed Layup.,42,90
9:06,2320,Jordan Foster Offensive Rebound.,42,90
9:06,2320,Jordan Foster made Layup.,42,92
8:25,2320,Foul on Colton Weisbrod.,42,92
8:25,-1,Drake Cooper missed Free Throw.,42,92
8:25,-1,Howard Payne Deadball Team Rebound.,42,92
8:25,-1,Drake Cooper made Free Throw.,43,92
8:03,2320,Nick Garth made Layup.,43,94
7:42,-1,Drake Cooper made Jumper.,45,94
7:35,2320,Official TV Timeout,45,94
7:15,2320,Zjori Bosha missed Jumper.,45,94
7:15,2320,Nick Garth Offensive Rebound.,45,94
7:04,2320,Colton Weisbrod missed Layup.,45,94
7:04,-1,Thomas Bingham Defensive Rebound.,45,94
6:58,-1,Darren Farmer missed Layup.,45,94
6:58,2320,Zjori Bosha Defensive Rebound.,45,94
6:57,-1,Foul on Darren Farmer.,45,94
6:57,2320,Zjori Bosha missed Free Throw.,45,94
6:57,-1,Drake Cooper Defensive Rebound.,45,94
6:34,-1,Joshua Taylor Turnover.,45,94
6:33,2320,Zjori Bosha Steal.,45,94
6:21,2320,Colton Weisbrod made Layup.,45,96
6:06,-1,Drake Cooper made Layup. Assisted by De'Marcus Hurd.,47,96
5:47,2320,Joey Frenchwood missed Three Point Jumper.,47,96
5:47,-1,Timothy Aguero Defensive Rebound.,47,96
5:46,2320,Foul on Colton Weisbrod.,47,96
5:31,-1,Khyce Randall missed Layup.,47,96
5:31,-1,Thomas Bingham Offensive Rebound.,47,96
5:28,-1,Thomas Bingham missed Two Point Tip Shot.,47,96
5:28,2320,Zjori Bosha Defensive Rebound.,47,96
5:17,2320,Joey Frenchwood missed Layup.,47,96
5:17,2320,Josh Nzeakor Offensive Rebound.,47,96
5:15,2320,Josh Nzeakor made Two Point Tip Shot.,47,98
5:08,-1,Timothy Aguero made Layup. Assisted by Khyce Randall.,49,98
5:00,-1,Foul on Thomas Bingham.,49,98
5:00,2320,Josh Nzeakor made Free Throw.,49,99
5:00,2320,Josh Nzeakor missed Free Throw.,49,99
5:00,-1,Joshua Taylor Defensive Rebound.,49,99
4:52,-1,Khyce Randall missed Three Point Jumper.,49,99
4:52,2320,Nick Garth Defensive Rebound.,49,99
4:43,2320,Josh Nzeakor Turnover.,49,99
4:29,-1,Joshua Taylor missed Jumper.,49,99
4:29,-1,Khyce Randall Offensive Rebound.,49,99
4:24,-1,Khyce Randall missed Layup.,49,99
4:24,2320,Joey Frenchwood Defensive Rebound.,49,99
4:01,2320,Avery Sullivan missed Layup.,49,99
4:01,2320,T.J. Atwood Offensive Rebound.,49,99
3:56,2320,James Harrison missed Three Point Jumper.,49,99
3:56,-1,Khyce Randall Defensive Rebound.,49,99
3:34,2320,Official TV Timeout,49,99
3:31,-1,Khyce Randall made Three Point Jumper. Assisted by De'Marcus Hurd.,52,99
3:08,-1,Foul on Cole Bene'.,52,99
3:08,2320,Jordan Foster made Free Throw.,52,100
3:08,2320,Jordan Foster made Free Throw.,52,101
2:50,-1,Khyce Randall made Three Point Jumper. Assisted by De'Marcus Hurd.,55,101
2:33,2320,Torey Noel made Three Point Jumper. Assisted by James Harrison.,55,104
1:59,-1,Khyce Randall Turnover.,55,104
1:59,-1,Foul on Khyce Randall.,55,104
1:39,2320,James Harrison Turnover.,55,104
1:26,-1,Alex Mata missed Layup.,55,104
1:26,2320,Jordan Foster Block.,55,104
1:26,-1,Devren Clark Offensive Rebound.,55,104
1:22,-1,Devren Clark missed Three Point Jumper.,55,104
1:22,2320,Jordan Foster Defensive Rebound.,55,104
1:16,2320,James Harrison made Three Point Jumper. Assisted by Avery Sullivan.,55,107
0:53,-1,Joshua Carroll missed Jumper.,55,107
0:53,2320,Jordan Foster Defensive Rebound.,55,107
0:51,-1,Foul on Mason Green.,55,107
0:51,2320,Jordan Foster made Free Throw.,55,108
0:51,2320,Jordan Foster made Free Throw.,55,109
0:40,-1,Alex Mata missed Jumper.,55,109
0:40,-1,Devren Clark Offensive Rebound.,55,109
0:36,-1,Devren Clark missed Layup.,55,109
0:36,2320,James Harrison Defensive Rebound.,55,109
0:29,2320,Cannon Broussard made Three Point Jumper. Assisted by James Harrison.,55,112
0:19,-1,Devren Clark missed Jumper.,55,112
0:19,2320,James Harrison Defensive Rebound.,55,112
0:16,2320,James Harrison Turnover.,55,112
0:15,-1,Joshua Carroll Steal.,55,112
0:14,2320,Foul on Jordan Foster.,55,112
0:14,-1,Joshua Carroll missed Free Throw.,55,112
0:14,-1,Howard Payne Deadball Team Rebound.,55,112
0:14,-1,Joshua Carroll made Free Throw.,56,112
0:00,2320,End of 2nd half,56,112
