Vermont,111,Northeastern,261
7:39,261,Ernie Duncan Turnover.,18,25
7:38,111,Shawn Occeus Steal.,18,25
7:36,111,Shawn Occeus made Layup.,18,27
7:08,261,Anthony Lamb missed Three Point Jumper.,18,27
7:08,111,Maxime Boursiquot Defensive Rebound.,18,27
6:54,111,Donnell Gresham Jr. missed Three Point Jumper.,18,27
6:54,261,Anthony Lamb Block.,18,27
6:52,261,Stef Smith Defensive Rebound.,18,27
6:50,111,Foul on Jeremy Miller.,18,27
6:50,261,Anthony Lamb made Free Throw.,19,27
6:50,261,Anthony Lamb made Free Throw.,20,27
6:44,261,Ernie Duncan Turnover.,20,27
6:43,111,Donnell Gresham Jr. Steal.,20,27
6:41,111,Donnell Gresham Jr. missed Layup.,20,27
6:41,111,Maxime Boursiquot Offensive Rebound.,20,27
6:27,111,Shawn Occeus made Layup. Assisted by Donnell Gresham Jr..,20,29
6:07,261,Anthony Lamb Turnover.,20,29
6:06,111,Donnell Gresham Jr. Steal.,20,29
6:04,111,Donnell Gresham Jr. made Layup.,20,31
6:00,261,Vermont  Timeout,20,31
6:00,111,Official TV Timeout,20,31
5:46,261,Ernie Duncan made Layup. Assisted by Anthony Lamb.,22,31
5:18,261,Foul on Payton Henson.,22,31
5:05,111,Devon Begley missed Jumper.,22,31
5:05,111,Jeremy Miller Offensive Rebound.,22,31
5:02,261,Foul on Ernie Duncan.,22,31
5:02,111,Jeremy Miller missed Free Throw.,22,31
5:02,111,Northeastern Deadball Team Rebound.,22,31
5:02,111,Jeremy Miller made Free Throw.,22,32
4:48,261,Payton Henson Turnover.,22,32
4:24,111,Shawn Occeus Turnover.,22,32
4:24,111,Foul on Shawn Occeus.,22,32
4:14,261,Anthony Lamb made Layup. Assisted by Cam Ward.,24,32
3:53,111,Maxime Boursiquot Turnover.,24,32
3:53,111,Official TV Timeout,24,32
3:36,261,Anthony Lamb missed Three Point Jumper.,24,32
3:36,111,Tomas Murphy Defensive Rebound.,24,32
3:08,111,Donnell Gresham Jr. missed Jumper.,24,32
3:08,261,Anthony Lamb Block.,24,32
3:06,261,Samuel Dingba Defensive Rebound.,24,32
3:00,261,Anthony Lamb missed Jumper.,24,32
3:00,111,Donnell Gresham Jr. Defensive Rebound.,24,32
2:54,261,Foul on Anthony Lamb.,24,32
2:54,111,Donnell Gresham Jr. made Free Throw.,24,33
2:54,111,Donnell Gresham Jr. made Free Throw.,24,34
2:34,261,Anthony Lamb made Layup.,26,34
2:12,111,Donnell Gresham Jr. missed Layup.,26,34
2:12,261,Samuel Dingba Block.,26,34
2:09,261,Ernie Duncan Defensive Rebound.,26,34
1:50,111,Foul on Tomas Murphy.,26,34
1:50,261,Samuel Dingba made Free Throw.,27,34
1:50,261,Samuel Dingba made Free Throw.,28,34
1:34,111,Devon Begley missed Three Point Jumper.,28,34
1:34,111,Jeremy Miller Offensive Rebound.,28,34
1:26,111,Donnell Gresham Jr. missed Three Point Jumper.,28,34
1:26,261,Payton Henson Defensive Rebound.,28,34
1:03,261,Payton Henson missed Jumper.,28,34
1:03,111,Jeremy Miller Defensive Rebound.,28,34
1:00,261,Foul on Samuel Dingba.,28,34
1:00,111,Jeremy Miller made Free Throw.,28,35
1:00,111,Jeremy Miller made Free Throw.,28,36
0:49,111,Foul on Devon Begley.,28,36
0:49,261,Ernie Duncan made Free Throw.,29,36
0:49,261,Ernie Duncan made Free Throw.,30,36
0:25,111,Shawn Occeus missed Three Point Jumper.,30,36
0:25,261,Payton Henson Defensive Rebound.,30,36
0:01,261,Cam Ward made Layup.,32,36
0:00,111,End of 1st half,32,36
19:46,261,Payton Henson missed Layup.,32,36
19:46,261,Payton Henson Offensive Rebound.,32,36
19:34,261,Ernie Duncan made Layup.,34,36
19:16,111,Vasa Pusica made Layup. Assisted by Shawn Occeus.,34,38
18:51,261,Payton Henson Turnover.,34,38
18:51,111,Maxime Boursiquot Steal.,34,38
18:37,111,Vasa Pusica missed Three Point Jumper.,34,38
18:37,261,Stef Smith Defensive Rebound.,34,38
18:29,261,Ernie Duncan made Three Point Jumper. Assisted by Everett Duncan.,37,38
18:03,111,Vasa Pusica made Three Point Jumper. Assisted by Donnell Gresham Jr..,37,41
17:39,261,Anthony Lamb made Layup.,39,41
17:15,111,Anthony Green Turnover.,39,41
16:55,261,Everett Duncan missed Three Point Jumper.,39,41
16:55,111,Maxime Boursiquot Defensive Rebound.,39,41
16:45,111,Vasa Pusica missed Three Point Jumper.,39,41
16:45,261,Drew Urquhart Defensive Rebound.,39,41
16:35,261,Anthony Lamb made Layup. Assisted by Everett Duncan.,41,41
16:18,111,Vasa Pusica made Three Point Jumper. Assisted by Anthony Green.,41,44
16:01,261,Stef Smith Turnover.,41,44
16:00,111,Shawn Occeus Steal.,41,44
15:57,111,Shawn Occeus made Dunk.,41,46
15:44,261,Ernie Duncan made Layup.,43,46
15:18,111,Donnell Gresham Jr. made Three Point Jumper. Assisted by Maxime Boursiquot.,43,49
14:59,261,Ernie Duncan Turnover.,43,49
14:58,111,Maxime Boursiquot Steal.,43,49
14:42,111,Anthony Green made Layup. Assisted by Maxime Boursiquot.,43,51
14:30,261,Vermont  Timeout,43,51
14:30,111,Official TV Timeout,43,51
14:10,261,Cam Ward missed Three Point Jumper.,43,51
14:10,261,Vermont Offensive Rebound.,43,51
14:06,111,Official TV Timeout,43,51
13:41,111,Foul on Shawn Occeus.,43,51
13:41,261,Anthony Lamb made Free Throw.,44,51
13:41,261,Anthony Lamb made Free Throw.,45,51
13:19,111,Shawn Occeus made Three Point Jumper. Assisted by Maxime Boursiquot.,45,54
12:53,261,Payton Henson made Three Point Jumper. Assisted by Cam Ward.,48,54
12:19,111,Donnell Gresham Jr. missed Three Point Jumper.,48,54
12:19,261,Payton Henson Defensive Rebound.,48,54
12:00,261,Ernie Duncan missed Three Point Jumper.,48,54
12:00,111,Shawn Occeus Defensive Rebound.,48,54
11:46,261,Foul on Drew Urquhart.,48,54
11:46,111,Official TV Timeout,48,54
11:46,111,Jeremy Miller missed Free Throw.,48,54
11:46,111,Northeastern Deadball Team Rebound.,48,54
11:46,111,Jeremy Miller made Free Throw.,48,55
11:28,261,Cam Ward made Layup.,50,55
11:28,111,Foul on Donnell Gresham Jr..,50,55
11:28,261,Cam Ward missed Free Throw.,50,55
11:28,111,Northeastern Defensive Rebound.,50,55
11:19,261,Foul on Samuel Dingba.,50,55
11:12,111,Vasa Pusica Turnover.,50,55
11:12,111,Foul on Vasa Pusica.,50,55
10:51,261,Payton Henson missed Layup.,50,55
10:51,111,Jeremy Miller Block.,50,55
10:51,261,Vermont Offensive Rebound.,50,55
10:48,261,Cam Ward missed Three Point Jumper.,50,55
10:48,111,Devon Begley Defensive Rebound.,50,55
10:31,261,Foul on Samuel Dingba.,50,55
10:28,261,Foul on Samuel Dingba.,50,55
10:28,111,Bolden Brace made Free Throw.,50,56
10:28,111,Bolden Brace made Free Throw.,50,57
10:08,261,Drew Urquhart missed Layup.,50,57
10:08,261,Payton Henson Offensive Rebound.,50,57
9:53,261,Everett Duncan missed Three Point Jumper.,50,57
9:53,111,Donnell Gresham Jr. Defensive Rebound.,50,57
9:44,111,Devon Begley made Layup.,50,59
9:28,261,Payton Henson made Layup.,52,59
9:08,111,Bolden Brace missed Three Point Jumper.,52,59
9:08,261,Payton Henson Defensive Rebound.,52,59
8:51,261,Payton Henson Turnover.,52,59
8:49,111,Vasa Pusica Steal.,52,59
8:44,111,Devon Begley missed Jumper.,52,59
8:44,111,Devon Begley Offensive Rebound.,52,59
8:38,111,Devon Begley made Three Point Jumper. Assisted by Bolden Brace.,52,62
8:11,261,Drew Urquhart made Jumper.,54,62
7:51,261,Foul on Everett Duncan.,54,62
7:51,111,Official TV Timeout,54,62
7:32,111,Vasa Pusica missed Jumper.,54,62
7:32,261,Ben Shungu Defensive Rebound.,54,62
7:14,111,Foul on Jeremy Miller.,54,62
7:14,261,Anthony Lamb made Free Throw.,55,62
7:14,261,Anthony Lamb made Free Throw.,56,62
6:55,111,Tomas Murphy Turnover.,56,62
6:39,111,Foul on Devon Begley.,56,62
6:37,261,Anthony Lamb made Layup. Assisted by Ben Shungu.,58,62
6:37,111,Foul on Tomas Murphy.,58,62
6:37,261,Anthony Lamb made Free Throw.,59,62
6:09,261,Foul on Ben Shungu.,59,62
5:57,111,Devon Begley missed Three Point Jumper.,59,62
5:57,261,Everett Duncan Defensive Rebound.,59,62
5:40,261,Ernie Duncan Turnover.,59,62
5:20,261,Foul on Anthony Lamb.,59,62
5:20,111,Vasa Pusica missed Free Throw.,59,62
5:20,111,Bolden Brace Offensive Rebound.,59,62
4:56,111,Devon Begley Turnover.,59,62
4:56,111,Foul on Devon Begley.,59,62
4:30,261,Anthony Lamb missed Layup.,59,62
4:30,111,Vasa Pusica Defensive Rebound.,59,62
4:23,261,Foul on Drew Urquhart.,59,62
4:23,111,Shawn Occeus made Free Throw.,59,63
4:23,111,Shawn Occeus made Free Throw.,59,64
4:07,111,Foul on Bolden Brace.,59,64
4:07,261,Anthony Lamb made Free Throw.,60,64
4:07,261,Anthony Lamb made Free Throw.,61,64
3:51,111,Vasa Pusica missed Jumper.,61,64
3:51,111,Anthony Green Offensive Rebound.,61,64
3:49,261,Foul on Drew Urquhart.,61,64
3:49,111,Official TV Timeout,61,64
3:49,111,Anthony Green made Free Throw.,61,65
3:49,111,Anthony Green missed Free Throw.,61,65
3:49,261,Everett Duncan Defensive Rebound.,61,65
3:32,261,Anthony Lamb missed Layup.,61,65
3:32,111,Donnell Gresham Jr. Defensive Rebound.,61,65
3:09,261,Foul on Everett Duncan.,61,65
3:09,111,Anthony Green missed Free Throw.,61,65
3:09,111,Northeastern Deadball Team Rebound.,61,65
3:09,111,Anthony Green missed Free Throw.,61,65
3:09,261,Everett Duncan Defensive Rebound.,61,65
2:49,111,Foul on Anthony Green.,61,65
2:49,261,Anthony Lamb made Free Throw.,62,65
2:49,261,Anthony Lamb made Free Throw.,63,65
2:30,261,Foul on Drew Urquhart.,63,65
2:30,111,Donnell Gresham Jr. missed Free Throw.,63,65
2:30,111,Northeastern Deadball Team Rebound.,63,65
2:30,111,Donnell Gresham Jr. made Free Throw.,63,66
2:12,111,Foul on Maxime Boursiquot.,63,66
2:12,261,Payton Henson missed Free Throw.,63,66
2:12,261,Vermont Deadball Team Rebound.,63,66
2:12,261,Payton Henson missed Free Throw.,63,66
2:12,261,Anthony Lamb Offensive Rebound.,63,66
2:12,261,Anthony Lamb made Layup.,65,66
1:45,111,Shawn Occeus made Three Point Jumper. Assisted by Donnell Gresham Jr..,65,69
1:40,111,Northeastern  Timeout,65,69
1:27,111,Foul on Anthony Green.,65,69
1:27,261,Anthony Lamb made Free Throw.,66,69
1:27,261,Anthony Lamb made Free Throw.,67,69
1:02,111,Vasa Pusica missed Layup.,67,69
1:02,261,Anthony Lamb Defensive Rebound.,67,69
0:47,261,Anthony Lamb missed Layup.,67,69
0:47,111,Donnell Gresham Jr. Defensive Rebound.,67,69
0:17,261,Foul on Anthony Lamb.,67,69
0:17,111,Vasa Pusica made Free Throw.,67,70
0:17,111,Vasa Pusica made Free Throw.,67,71
0:17,111,Northeastern  Timeout,67,71
0:01,261,Anthony Lamb missed Jumper.,67,71
0:01,111,Anthony Green Defensive Rebound.,67,71
0:00,111,End of Game,67,71
