UMKC,152,NC State,140
13:37,140,Jordan Giles Turnover.,10,16
13:35,152,Abdul-Malik Abu Steal.,10,16
13:30,152,Lennard Freeman made Layup. Assisted by Markell Johnson.,10,18
13:16,140,Xavier Bishop made Jumper.,12,18
12:48,152,Abdul-Malik Abu Turnover.,12,18
12:48,152,Foul on Abdul-Malik Abu.,12,18
12:26,140,Jordan Giles missed Jumper.,12,18
12:26,152,Lennard Freeman Defensive Rebound.,12,18
12:14,152,Sam Hunt missed Three Point Jumper.,12,18
12:14,140,Mo Ahmed Defensive Rebound.,12,18
11:53,140,Marco Smith made Three Point Jumper. Assisted by Isaiah Ross.,15,18
11:32,152,Torin Dorn missed Three Point Jumper.,15,18
11:32,140,Mo Ahmed Defensive Rebound.,15,18
11:22,140,Marco Smith missed Layup.,15,18
11:22,152,Lennard Freeman Block.,15,18
11:20,152,Allerik Freeman Defensive Rebound.,15,18
11:15,152,Allerik Freeman missed Jumper.,15,18
11:15,152,Torin Dorn Offensive Rebound.,15,18
11:14,152,Torin Dorn made Layup.,15,20
11:14,140,Foul on Jordan Giles.,15,20
11:14,152,Official TV Timeout,15,20
11:14,152,Torin Dorn made Free Throw.,15,21
11:00,140,Jordan Giles missed Three Point Jumper.,15,21
11:00,140,UMKC Offensive Rebound.,15,21
10:38,140,Jordan Giles Turnover.,15,21
10:36,152,Braxton Beverly Steal.,15,21
10:31,152,Allerik Freeman Turnover.,15,21
10:29,140,Marco Smith Steal.,15,21
10:27,140,Broderick Robinson missed Three Point Jumper.,15,21
10:27,152,Torin Dorn Defensive Rebound.,15,21
10:05,152,Allerik Freeman missed Layup.,15,21
10:05,140,Jordan Giles Defensive Rebound.,15,21
10:01,140,Jordan Giles Turnover.,15,21
10:00,152,Markell Johnson Steal.,15,21
9:57,152,Allerik Freeman missed Three Point Jumper.,15,21
9:57,152,Torin Dorn Offensive Rebound.,15,21
9:55,152,Torin Dorn made Dunk.,15,23
9:34,140,Aleer Leek made Three Point Jumper. Assisted by Broderick Robinson.,18,23
9:17,152,Braxton Beverly missed Three Point Jumper.,18,23
9:17,140,UMKC Defensive Rebound.,18,23
8:55,140,Aleer Leek Turnover.,18,23
8:53,152,Torin Dorn Steal.,18,23
8:49,152,Allerik Freeman made Layup.,18,25
8:21,140,Brandon McKissic missed Layup.,18,25
8:21,152,Omer Yurtseven Block.,18,25
8:19,140,Brandon McKissic Offensive Rebound.,18,25
8:17,140,Brandon McKissic made Layup.,20,25
8:04,152,Braxton Beverly made Jumper.,20,27
7:35,140,Xavier Bishop missed Layup.,20,27
7:35,152,Omer Yurtseven Block.,20,27
7:35,140,UMKC Offensive Rebound.,20,27
7:35,152,Official TV Timeout,20,27
7:32,140,Aleer Leek missed Layup.,20,27
7:32,152,Markell Johnson Defensive Rebound.,20,27
7:03,152,Omer Yurtseven missed Jumper.,20,27
7:03,152,Omer Yurtseven Offensive Rebound.,20,27
6:57,152,Omer Yurtseven made Jumper.,20,29
6:38,140,Aleer Leek missed Three Point Jumper.,20,29
6:38,152,Torin Dorn Defensive Rebound.,20,29
6:24,152,Torin Dorn made Layup.,20,31
6:04,140,Aleer Leek made Layup. Assisted by Marvin Nesbitt Jr..,22,31
6:03,152,Foul on Omer Yurtseven.,22,31
6:03,140,Aleer Leek missed Free Throw.,22,31
6:03,152,NC State Defensive Rebound.,22,31
5:55,152,Markell Johnson made Dunk. Assisted by Braxton Beverly.,22,33
5:51,140,Foul on Mo Ahmed.,22,33
5:51,152,Markell Johnson made Free Throw.,22,34
5:49,152,Foul on Allerik Freeman.,22,34
5:24,140,Tony Jackson missed Three Point Jumper.,22,34
5:24,140,Steve Dulley Offensive Rebound.,22,34
5:18,140,Steve Dulley missed Layup.,22,34
5:18,140,Mo Ahmed Offensive Rebound.,22,34
5:15,140,Mo Ahmed missed Jumper.,22,34
5:15,152,Abdul-Malik Abu Defensive Rebound.,22,34
5:10,152,Allerik Freeman missed Three Point Jumper.,22,34
5:10,152,Abdul-Malik Abu Offensive Rebound.,22,34
5:03,152,Abdul-Malik Abu made Dunk.,22,36
5:03,140,Foul on Steve Dulley.,22,36
5:02,152,Abdul-Malik Abu made Free Throw.,22,37
4:52,140,Broderick Robinson missed Layup.,22,37
4:52,152,Allerik Freeman Defensive Rebound.,22,37
4:47,152,Braxton Beverly made Three Point Jumper. Assisted by Allerik Freeman.,22,40
4:25,140,Broderick Robinson Turnover.,22,40
4:23,152,Markell Johnson Steal.,22,40
4:20,152,Markell Johnson made Layup. Assisted by Braxton Beverly.,22,42
4:08,152,Foul on Braxton Beverly.,22,42
4:06,152,Foul on Lavar Batts Jr..,22,42
3:55,140,Aleer Leek missed Three Point Jumper.,22,42
3:55,140,Steve Dulley Offensive Rebound.,22,42
3:50,140,Steve Dulley Turnover.,22,42
3:49,152,Abdul-Malik Abu Steal.,22,42
3:44,152,Braxton Beverly Turnover.,22,42
3:42,140,Aleer Leek Steal.,22,42
3:24,140,Xavier Bishop missed Jumper.,22,42
3:24,152,Braxton Beverly Defensive Rebound.,22,42
3:13,152,Abdul-Malik Abu made Layup. Assisted by Braxton Beverly.,22,44
3:13,140,Foul on Aleer Leek.,22,44
3:13,152,Official TV Timeout,22,44
3:13,152,Abdul-Malik Abu missed Free Throw.,22,44
3:13,140,Broderick Robinson Defensive Rebound.,22,44
2:58,140,Jordan Giles missed Layup.,22,44
2:58,152,Lennard Freeman Block.,22,44
2:54,152,Braxton Beverly Defensive Rebound.,22,44
2:44,152,Lennard Freeman missed Layup.,22,44
2:44,140,Isaiah Ross Defensive Rebound.,22,44
2:15,140,Broderick Robinson missed Jumper.,22,44
2:15,152,Lennard Freeman Defensive Rebound.,22,44
1:59,152,Abdul-Malik Abu missed Layup.,22,44
1:59,140,Aleer Leek Block.,22,44
1:59,152,NC State Offensive Rebound.,22,44
1:46,152,Markell Johnson missed Jumper.,22,44
1:46,140,Marvin Nesbitt Jr. Defensive Rebound.,22,44
1:40,140,Isaiah Ross missed Three Point Jumper.,22,44
1:40,140,Jordan Giles Offensive Rebound.,22,44
1:39,152,Foul on Lennard Freeman.,22,44
1:35,140,Marvin Nesbitt Jr. missed Layup.,22,44
1:35,152,Allerik Freeman Defensive Rebound.,22,44
1:31,152,Markell Johnson Turnover.,22,44
1:30,140,Xavier Bishop Turnover.,22,44
1:30,140,Foul on Xavier Bishop.,22,44
1:14,152,Lennard Freeman missed Layup.,22,44
1:14,140,Marvin Nesbitt Jr. Defensive Rebound.,22,44
0:44,140,Marvin Nesbitt Jr. missed Three Point Jumper.,22,44
0:44,152,NC State Defensive Rebound.,22,44
0:37,152,Lavar Batts Jr. made Three Point Jumper. Assisted by Torin Dorn.,22,47
0:17,140,Xavier Bishop made Layup.,24,47
0:02,152,Markell Johnson Turnover.,24,47
0:00,140,Broderick Robinson Steal.,24,47
0:00,152,End of 1st half,24,47
19:43,152,Foul on Allerik Freeman.,24,47
19:43,140,Brandon McKissic missed Free Throw.,24,47
19:43,140,UMKC Deadball Team Rebound.,24,47
19:43,140,Brandon McKissic missed Free Throw.,24,47
19:43,152,Torin Dorn Defensive Rebound.,24,47
19:36,152,Braxton Beverly missed Layup.,24,47
19:36,140,Marvin Nesbitt Jr. Block.,24,47
19:35,140,Brandon McKissic Defensive Rebound.,24,47
19:31,140,Broderick Robinson made Three Point Jumper. Assisted by Brandon McKissic.,27,47
19:13,152,Torin Dorn made Jumper.,27,49
19:03,140,Broderick Robinson missed Three Point Jumper.,27,49
19:03,152,Torin Dorn Defensive Rebound.,27,49
18:56,152,Allerik Freeman missed Three Point Jumper.,27,49
18:56,152,Allerik Freeman Offensive Rebound.,27,49
18:42,152,Torin Dorn made Jumper. Assisted by Braxton Beverly.,27,51
18:30,140,Brandon McKissic missed Jumper.,27,51
18:30,152,Braxton Beverly Defensive Rebound.,27,51
18:23,152,Markell Johnson missed Three Point Jumper.,27,51
18:23,140,Marvin Nesbitt Jr. Defensive Rebound.,27,51
18:09,140,Aleer Leek made Layup.,29,51
17:46,152,Omer Yurtseven made Layup. Assisted by Braxton Beverly.,29,53
17:24,152,Foul on Torin Dorn.,29,53
17:20,140,Xavier Bishop made Layup.,31,53
17:01,152,Braxton Beverly made Layup.,31,55
16:44,140,Jordan Giles made Three Point Jumper. Assisted by Marco Smith.,34,55
16:41,140,UMKC  Timeout,34,55
16:17,152,Braxton Beverly missed Three Point Jumper.,34,55
16:17,152,Torin Dorn Offensive Rebound.,34,55
16:14,152,Torin Dorn Turnover.,34,55
16:01,140,Marco Smith made Jumper.,36,55
15:42,152,Sam Hunt missed Three Point Jumper.,36,55
15:42,140,Marco Smith Block.,36,55
15:39,152,Sam Hunt Offensive Rebound.,36,55
15:35,152,Torin Dorn missed Layup.,36,55
15:35,140,Xavier Bishop Defensive Rebound.,36,55
15:29,140,Xavier Bishop made Layup.,38,55
15:29,152,Foul on Braxton Beverly.,38,55
15:29,152,Official TV Timeout,38,55
15:29,140,Xavier Bishop missed Free Throw.,38,55
15:29,152,Torin Dorn Defensive Rebound.,38,55
15:27,140,Foul on Aleer Leek.,38,55
15:08,152,Torin Dorn made Three Point Jumper. Assisted by Braxton Beverly.,38,58
14:43,140,Jordan Giles missed Three Point Jumper.,38,58
14:43,152,Omer Yurtseven Defensive Rebound.,38,58
14:28,152,Torin Dorn missed Three Point Jumper.,38,58
14:28,140,Xavier Bishop Defensive Rebound.,38,58
14:20,152,Foul on Markell Johnson.,38,58
14:20,140,Marco Smith made Free Throw.,39,58
14:20,140,Marco Smith missed Free Throw.,39,58
14:20,152,Torin Dorn Defensive Rebound.,39,58
14:04,152,Torin Dorn Turnover.,39,58
13:41,140,Xavier Bishop missed Three Point Jumper.,39,58
13:41,152,Lennard Freeman Defensive Rebound.,39,58
13:25,152,Markell Johnson missed Layup.,39,58
13:25,152,Abdul-Malik Abu Offensive Rebound.,39,58
13:22,140,Foul on Isaiah Ross.,39,58
13:21,152,Abdul-Malik Abu made Free Throw.,39,59
13:21,152,Abdul-Malik Abu missed Free Throw.,39,59
13:21,140,Aleer Leek Defensive Rebound.,39,59
13:16,152,Foul on Abdul-Malik Abu.,39,59
13:04,152,Foul on Lennard Freeman.,39,59
13:04,140,Aleer Leek made Free Throw.,40,59
13:04,140,Aleer Leek made Free Throw.,41,59
12:54,152,Sam Hunt missed Three Point Jumper.,41,59
12:54,152,NC State Offensive Rebound.,41,59
12:44,152,Allerik Freeman missed Three Point Jumper.,41,59
12:44,152,Abdul-Malik Abu Offensive Rebound.,41,59
12:37,152,Abdul-Malik Abu missed Layup.,41,59
12:37,140,Aleer Leek Block.,41,59
12:35,140,Isaiah Ross Defensive Rebound.,41,59
12:32,140,Isaiah Ross missed Three Point Jumper.,41,59
12:32,152,Markell Johnson Defensive Rebound.,41,59
12:16,140,Foul on Brandon McKissic.,41,59
12:16,152,Allerik Freeman missed Free Throw.,41,59
12:16,152,NC State Deadball Team Rebound.,41,59
12:16,152,Allerik Freeman missed Free Throw.,41,59
12:16,140,Aleer Leek Defensive Rebound.,41,59
12:06,140,Aleer Leek missed Three Point Jumper.,41,59
12:06,152,Abdul-Malik Abu Defensive Rebound.,41,59
11:42,152,Markell Johnson missed Jumper.,41,59
11:42,152,Markell Johnson Offensive Rebound.,41,59
11:38,152,Markell Johnson Turnover.,41,59
11:37,140,Isaiah Ross Steal.,41,59
11:35,152,Foul on Sam Hunt.,41,59
11:35,152,Official TV Timeout,41,59
11:35,140,Xavier Bishop missed Free Throw.,41,59
11:35,140,UMKC Deadball Team Rebound.,41,59
11:35,140,Xavier Bishop missed Free Throw.,41,59
11:35,152,Lennard Freeman Defensive Rebound.,41,59
11:27,152,Sam Hunt made Three Point Jumper. Assisted by Torin Dorn.,41,62
11:12,140,Aleer Leek made Jumper. Assisted by Xavier Bishop.,43,62
10:57,152,Lennard Freeman missed Layup.,43,62
10:57,140,Aleer Leek Block.,43,62
10:55,140,Brandon McKissic Defensive Rebound.,43,62
10:48,140,Brandon McKissic missed Layup.,43,62
10:48,140,Isaiah Ross Offensive Rebound.,43,62
10:45,140,Isaiah Ross missed Layup.,43,62
10:45,140,Isaiah Ross Offensive Rebound.,43,62
10:43,140,Isaiah Ross made Layup.,45,62
10:31,152,Torin Dorn made Jumper. Assisted by Allerik Freeman.,45,64
10:05,140,Jordan Giles made Jumper.,47,64
9:40,152,Allerik Freeman missed Three Point Jumper.,47,64
9:40,140,Brandon McKissic Defensive Rebound.,47,64
9:34,152,Foul on Sam Hunt.,47,64
9:34,140,Brandon McKissic made Free Throw.,48,64
9:34,140,Brandon McKissic missed Free Throw.,48,64
9:34,152,Torin Dorn Defensive Rebound.,48,64
9:15,140,Foul on Marvin Nesbitt Jr..,48,64
9:15,152,Allerik Freeman made Free Throw.,48,65
9:15,152,Allerik Freeman made Free Throw.,48,66
9:04,152,Foul on Lennard Freeman.,48,66
9:04,140,Jordan Giles made Free Throw.,49,66
9:04,140,Jordan Giles made Free Throw.,50,66
8:52,152,Torin Dorn missed Three Point Jumper.,50,66
8:52,140,Marco Smith Defensive Rebound.,50,66
8:40,140,Aleer Leek missed Three Point Jumper.,50,66
8:40,152,Torin Dorn Defensive Rebound.,50,66
8:34,152,Torin Dorn Turnover.,50,66
8:33,140,Marco Smith Steal.,50,66
8:30,140,Marvin Nesbitt Jr. made Layup. Assisted by Xavier Bishop.,52,66
8:03,152,Allerik Freeman Turnover.,52,66
7:45,140,Marco Smith made Jumper.,54,66
7:28,152,Omer Yurtseven made Jumper. Assisted by Markell Johnson.,54,68
7:01,140,Jordan Giles missed Three Point Jumper.,54,68
7:01,140,Aleer Leek Offensive Rebound.,54,68
6:55,140,Aleer Leek made Jumper.,56,68
6:39,152,Allerik Freeman made Layup.,56,70
6:21,140,Xavier Bishop made Jumper.,58,70
6:18,140,UMKC  Timeout,58,70
6:18,152,Official TV Timeout,58,70
5:54,152,Braxton Beverly made Three Point Jumper. Assisted by Torin Dorn.,58,73
5:40,140,Marco Smith Turnover.,58,73
5:39,152,Markell Johnson Steal.,58,73
5:37,152,Allerik Freeman missed Three Point Jumper.,58,73
5:37,140,Broderick Robinson Defensive Rebound.,58,73
5:27,140,Jordan Giles missed Three Point Jumper.,58,73
5:27,140,Jordan Giles Offensive Rebound.,58,73
5:18,140,Broderick Robinson missed Three Point Jumper.,58,73
5:18,152,Omer Yurtseven Defensive Rebound.,58,73
5:08,152,Markell Johnson Turnover.,58,73
5:07,140,Jordan Giles Steal.,58,73
5:05,140,Marco Smith made Layup. Assisted by Jordan Giles.,60,73
4:47,140,Foul on Jordan Giles.,60,73
4:47,152,Omer Yurtseven made Free Throw.,60,74
4:47,152,Omer Yurtseven missed Free Throw.,60,74
4:47,140,Isaiah Ross Defensive Rebound.,60,74
4:38,140,Jordan Giles missed Three Point Jumper.,60,74
4:38,152,Omer Yurtseven Defensive Rebound.,60,74
4:23,152,Allerik Freeman made Layup.,60,76
4:01,140,Broderick Robinson made Three Point Jumper. Assisted by Jordan Giles.,63,76
3:36,152,Omer Yurtseven Turnover.,63,76
3:35,140,Marco Smith Steal.,63,76
3:22,140,Marco Smith made Jumper. Assisted by Isaiah Ross.,65,76
3:17,152,NC State  Timeout,65,76
3:17,152,Official TV Timeout,65,76
3:00,140,Foul on Xavier Bishop.,65,76
2:43,140,Foul on Aleer Leek.,65,76
2:43,152,Torin Dorn made Free Throw.,65,77
2:43,152,Torin Dorn missed Free Throw.,65,77
2:43,140,Broderick Robinson Defensive Rebound.,65,77
2:38,140,Isaiah Ross missed Three Point Jumper.,65,77
2:38,152,Allerik Freeman Defensive Rebound.,65,77
2:09,152,Markell Johnson made Three Point Jumper.,65,80
1:48,152,Foul on Lennard Freeman.,65,80
1:48,140,Brandon McKissic made Free Throw.,66,80
1:48,140,Brandon McKissic made Free Throw.,67,80
1:33,152,Torin Dorn missed Jumper.,67,80
1:33,152,Lennard Freeman Offensive Rebound.,67,80
1:31,152,Lennard Freeman missed Layup.,67,80
1:31,152,Torin Dorn Offensive Rebound.,67,80
1:28,152,Torin Dorn made Dunk.,67,82
1:14,140,Broderick Robinson missed Three Point Jumper.,67,82
1:14,140,Marvin Nesbitt Jr. Offensive Rebound.,67,82
1:09,140,Marvin Nesbitt Jr. made Layup.,69,82
1:08,140,UMKC  Timeout,69,82
1:07,140,Foul on Broderick Robinson.,69,82
1:07,152,Braxton Beverly made Free Throw.,69,83
1:07,152,Braxton Beverly made Free Throw.,69,84
1:03,140,Xavier Bishop missed Layup.,69,84
1:03,152,Torin Dorn Defensive Rebound.,69,84
0:57,140,Foul on Brandon McKissic.,69,84
0:57,152,Markell Johnson made Free Throw.,69,85
0:57,152,Markell Johnson made Free Throw.,69,86
0:45,140,Isaiah Ross missed Three Point Jumper.,69,86
0:45,152,Spencer Newman Defensive Rebound.,69,86
0:36,152,Spencer Newman missed Three Point Jumper.,69,86
0:36,152,Torin Dorn Offensive Rebound.,69,86
0:02,152,Markell Johnson missed Jumper.,69,86
0:02,152,Markell Johnson Offensive Rebound.,69,86
0:00,152,Markell Johnson made Two Point Tip Shot.,69,88
0:00,152,End of Game,69,88
