Erskine,Error,Radford,2515
13:10,-1,Zezmon Steeple Defensive Rebound.,26,48
13:00,-1,Zezmon Steeple missed Layup.,26,48
13:00,2515,Leroy Butts IV Defensive Rebound.,26,48
12:51,2515,Caleb Tanner made Three Point Jumper. Assisted by Carlik Jones.,26,51
12:23,2515,Foul on Carlik Jones.,26,51
12:23,-1,Jordan Watson made Free Throw.,27,51
12:23,-1,Jordan Watson made Free Throw.,28,51
12:11,2515,Caleb Tanner Turnover.,28,51
12:11,-1,Justin Shelton Steal.,28,51
11:46,-1,Miles Perdue missed Layup.,28,51
11:46,-1,Justin Shelton Offensive Rebound.,28,51
11:40,-1,Parker Helgerson missed Three Point Jumper.,28,51
11:40,2515,Carlik Jones Defensive Rebound.,28,51
11:26,2515,Travis Fields Jr missed Three Point Jumper.,28,51
11:26,2515,Randy Phillips Offensive Rebound.,28,51
11:23,2515,Randy Phillips missed Layup.,28,51
11:23,-1,Miles Perdue Defensive Rebound.,28,51
11:13,-1,Zezmon Steeple made Layup.,30,51
11:02,2515,Caleb Tanner missed Three Point Jumper.,30,51
11:02,2515,Randy Phillips Offensive Rebound.,30,51
10:57,2515,Randy Phillips made Layup.,30,53
10:31,-1,Zezmon Steeple missed Jumper.,30,53
10:31,-1,Miles Perdue Offensive Rebound.,30,53
10:04,-1,Zezmon Steeple missed Three Point Jumper.,30,53
10:04,2515,Randy Phillips Defensive Rebound.,30,53
10:02,2515,Randy Phillips Turnover.,30,53
10:02,2515,Official TV Timeout,30,53
9:46,-1,Trent Smoot made Layup.,32,53
9:31,2515,Carlik Jones made Layup. Assisted by Donald Hicks.,32,55
9:11,-1,Blake Maness Turnover.,32,55
8:53,2515,Donald Hicks made Three Point Jumper. Assisted by Tristan Owens.,32,58
8:26,-1,Austin Venable missed Layup.,32,58
8:26,2515,Darius Bolstad Defensive Rebound.,32,58
8:12,2515,Caleb Tanner missed Three Point Jumper.,32,58
8:12,-1,Trent Smoot Defensive Rebound.,32,58
7:50,2515,Foul on Caleb Tanner.,32,58
7:50,2515,Official TV Timeout,32,58
7:50,-1,Jordan Watson missed Free Throw.,32,58
7:50,-1,Erskine Deadball Team Rebound.,32,58
7:50,-1,Jordan Watson missed Free Throw.,32,58
7:50,2515,Tristan Owens Defensive Rebound.,32,58
7:27,2515,Tristan Owens missed Jumper.,32,58
7:27,2515,Darius Bolstad Offensive Rebound.,32,58
7:12,2515,Carlik Jones Turnover.,32,58
7:11,-1,Austin Venable Steal.,32,58
7:06,-1,Trent Smoot missed Three Point Jumper.,32,58
7:06,2515,Darius Bolstad Defensive Rebound.,32,58
6:54,2515,Darius Bolstad made Jumper. Assisted by Tristan Owens.,32,60
6:33,-1,Jordan Watson made Three Point Jumper.,35,60
6:14,2515,Leroy Butts IV missed Jumper.,35,60
6:14,2515,Darius Bolstad Offensive Rebound.,35,60
6:11,2515,Darius Bolstad Turnover.,35,60
6:09,-1,Jordan Watson Steal.,35,60
6:02,-1,Zezmon Steeple missed Layup.,35,60
6:02,2515,Tristan Owens Defensive Rebound.,35,60
5:35,2515,Justin Cousin missed Three Point Jumper.,35,60
5:35,2515,Carlik Jones Offensive Rebound.,35,60
5:30,2515,Carlik Jones missed Layup.,35,60
5:30,-1,Austin Venable Block.,35,60
5:28,-1,Jaywaun Washington Defensive Rebound.,35,60
5:17,-1,Jaywaun Washington missed Three Point Jumper.,35,60
5:17,2515,Tristan Owens Defensive Rebound.,35,60
5:03,2515,Justin Cousin made Three Point Jumper. Assisted by Leroy Butts IV.,35,63
4:40,-1,Austin Venable made Layup.,37,63
4:38,-1,Erskine  Timeout,37,63
4:38,2515,Official TV Timeout,37,63
4:25,2515,Leroy Butts IV Turnover.,37,63
4:05,-1,Monta Houston missed Layup.,37,63
4:05,2515,Randy Phillips Defensive Rebound.,37,63
3:53,2515,Caleb Tanner made Three Point Jumper. Assisted by Justin Cousin.,37,66
3:34,-1,Jt Thompson made Three Point Jumper. Assisted by Monta Houston.,40,66
3:08,-1,Foul on Caleb Shackleford.,40,66
3:08,2515,Randy Phillips made Free Throw.,40,67
3:08,2515,Randy Phillips made Free Throw.,40,68
2:55,-1,Jordan Smith Turnover.,40,68
2:31,2515,Tristan Owens made Three Point Jumper. Assisted by Christian Bradford.,40,71
2:10,-1,Jordan Smith made Three Point Jumper. Assisted by Andrew Weir.,43,71
2:07,-1,Erskine  Timeout,43,71
1:52,2515,Anias Saunders Turnover.,43,71
1:33,-1,Andy Zagorac made Three Point Jumper. Assisted by Fineto Lungwana.,46,71
1:07,2515,Anias Saunders made Three Point Jumper. Assisted by Tristan Owens.,46,74
0:54,-1,Fineto Lungwana made Three Point Jumper.,49,74
0:24,2515,Caleb Tanner missed Three Point Jumper.,49,74
0:24,2515,Anias Saunders Offensive Rebound.,49,74
0:19,2515,Darius Bolstad made Layup. Assisted by Anias Saunders.,49,76
0:07,-1,Fineto Lungwana missed Three Point Jumper.,49,76
0:07,2515,Tristan Owens Defensive Rebound.,49,76
0:00,2515,End of Game,49,76
