Texas State,2000,Abilene Christian,326
11:59,2000,Official TV Timeout,18,13
11:32,326,Tre'Larenz Nottingham missed Three Point Jumper.,18,13
11:32,2000,Jaylen Franklin Defensive Rebound.,18,13
11:19,2000,Jaylen Franklin missed Jumper.,18,13
11:19,326,Nijal Pearson Block.,18,13
11:16,326,Nedeljko Prijovic Defensive Rebound.,18,13
11:10,326,Nijal Pearson missed Layup.,18,13
11:10,2000,B.J. Maxwell Defensive Rebound.,18,13
11:02,2000,Drake Green missed Three Point Jumper.,18,13
11:02,2000,B.J. Maxwell Offensive Rebound.,18,13
10:59,326,Foul on Nedeljko Prijovic.,18,13
10:37,2000,B.J. Maxwell missed Three Point Jumper.,18,13
10:37,326,Nedeljko Prijovic Defensive Rebound.,18,13
10:19,326,Nedeljko Prijovic made Jumper.,20,13
10:06,2000,Jaylen Franklin Turnover.,20,13
10:06,326,Nijal Pearson Steal.,20,13
10:00,326,Nijal Pearson missed Layup.,20,13
10:00,326,Nedeljko Prijovic Offensive Rebound.,20,13
9:56,326,Nedeljko Prijovic made Layup.,22,13
9:32,2000,Jaylen Franklin made Three Point Jumper. Assisted by Jaren Lewis.,22,16
9:12,2000,Jalone Friday missed Jumper.,22,16
9:12,2000,Abilene Christian Offensive Rebound.,22,16
9:12,2000,Foul on B.J. Maxwell.,22,16
8:56,326,Tre'Larenz Nottingham missed Jumper.,22,16
8:56,2000,Jalone Friday Defensive Rebound.,22,16
8:41,2000,Jaren Lewis missed Layup.,22,16
8:41,326,Eric Terry Block.,22,16
8:37,326,Nedeljko Prijovic Defensive Rebound.,22,16
8:27,326,Eric Terry made Layup. Assisted by Isaiah Gurley.,24,16
8:11,2000,Jalone Friday made Jumper. Assisted by B.J. Maxwell.,24,18
7:44,326,Nedeljko Prijovic missed Jumper.,24,18
7:44,2000,Payten Ricks Defensive Rebound.,24,18
7:34,2000,Jalone Friday missed Three Point Jumper.,24,18
7:34,2000,Payten Ricks Offensive Rebound.,24,18
7:21,2000,Payten Ricks missed Jumper.,24,18
7:21,326,Tre'Larenz Nottingham Defensive Rebound.,24,18
7:13,326,Foul on Isaiah Gurley.,24,18
7:13,326,Isaiah Gurley Turnover.,24,18
7:13,2000,Official TV Timeout,24,18
7:00,326,Foul on Shelby Adams.,24,18
7:00,2000,Payten Ricks made Free Throw.,24,19
7:00,2000,Payten Ricks missed Free Throw.,24,19
7:00,326,Immanuel King Defensive Rebound.,24,19
7:00,2000,Foul on Kolton Kohl.,24,19
6:30,326,Alex Peacock missed Three Point Jumper.,24,19
6:30,326,Shelby Adams Offensive Rebound.,24,19
6:20,326,Tyler Blount made Three Point Jumper.,27,19
6:06,326,Foul on Marlin Davis.,27,19
6:06,2000,Jaylen Franklin missed Free Throw.,27,19
6:06,2000,Abilene Christian Deadball Team Rebound.,27,19
6:06,2000,Jaylen Franklin missed Free Throw.,27,19
6:06,326,Alex Peacock Defensive Rebound.,27,19
5:45,326,Reggie Miller made Jumper.,29,19
5:23,2000,Jaylen Franklin missed Jumper.,29,19
5:23,326,Immanuel King Block.,29,19
5:21,326,Immanuel King Defensive Rebound.,29,19
5:00,326,Alex Peacock missed Three Point Jumper.,29,19
5:00,2000,Abilene Christian Defensive Rebound.,29,19
4:41,2000,Jalone Friday missed Jumper.,29,19
4:41,326,Reggie Miller Defensive Rebound.,29,19
4:32,326,Tyler Blount made Three Point Jumper. Assisted by Immanuel King.,32,19
4:08,2000,Jalone Friday made Three Point Jumper. Assisted by Jaylen Franklin.,32,22
3:43,326,Reggie Miller missed Jumper.,32,22
3:43,2000,Jalone Friday Defensive Rebound.,32,22
3:33,2000,Jaylen Franklin missed Three Point Jumper.,32,22
3:33,326,Immanuel King Defensive Rebound.,32,22
3:14,2000,Official TV Timeout,32,22
3:04,326,Immanuel King made Dunk. Assisted by Alex Peacock.,34,22
2:38,2000,Drake Green made Three Point Jumper. Assisted by Jaylen Franklin.,34,25
2:14,326,Alex Peacock Turnover.,34,25
1:55,2000,Drake Green missed Three Point Jumper.,34,25
1:55,326,Immanuel King Defensive Rebound.,34,25
1:40,326,Immanuel King missed Jumper.,34,25
1:40,2000,Jaren Lewis Defensive Rebound.,34,25
1:27,326,Foul on Tyler Blount.,34,25
1:27,2000,Jaylen Franklin made Free Throw.,34,26
1:27,2000,Jaylen Franklin made Free Throw.,34,27
1:20,326,Reggie Miller Turnover.,34,27
1:20,2000,Jaren Lewis Steal.,34,27
1:20,2000,Jaren Lewis Turnover.,34,27
0:59,326,Nijal Pearson Turnover.,34,27
0:57,2000,Tevin Foster Steal.,34,27
0:54,2000,Foul on Jaren Lewis.,34,27
0:54,2000,Jaren Lewis Turnover.,34,27
0:54,326,Texas State  Timeout,34,27
0:33,2000,Foul on Jalone Friday.,34,27
0:33,326,Reggie Miller missed Free Throw.,34,27
0:33,326,Texas State Deadball Team Rebound.,34,27
0:33,326,Reggie Miller made Free Throw.,35,27
0:01,2000,Trey Lenox missed Three Point Jumper.,35,27
0:01,326,Eric Terry Defensive Rebound.,35,27
0:00,2000,End of 1st half,35,27
19:48,2000,Tevin Foster missed Jumper.,35,27
19:48,326,Tyler Blount Defensive Rebound.,35,27
19:30,326,Nijal Pearson made Three Point Jumper. Assisted by Marlin Davis.,38,27
19:12,2000,Jaylen Franklin missed Jumper.,38,27
19:12,326,Immanuel King Defensive Rebound.,38,27
19:10,2000,Foul on Jalone Friday.,38,27
18:41,326,Nijal Pearson missed Jumper.,38,27
18:41,2000,Tevin Foster Block.,38,27
18:41,326,Texas State Offensive Rebound.,38,27
18:37,326,Tyler Blount Turnover.,38,27
18:29,2000,Jalone Friday made Jumper. Assisted by Jaylen Franklin.,38,29
18:03,326,Marlin Davis missed Layup.,38,29
18:03,2000,Jalone Friday Block.,38,29
18:03,326,Texas State Offensive Rebound.,38,29
18:00,326,Alex Peacock missed Layup.,38,29
18:00,326,Alex Peacock Offensive Rebound.,38,29
17:56,326,Alex Peacock missed Layup.,38,29
17:56,2000,Jalone Friday Block.,38,29
17:55,326,Alex Peacock Offensive Rebound.,38,29
17:40,326,Nijal Pearson missed Jumper.,38,29
17:40,2000,Jaren Lewis Block.,38,29
17:37,326,Immanuel King Offensive Rebound.,38,29
17:36,326,Immanuel King made Layup.,40,29
17:21,2000,Isaiah Tripp missed Three Point Jumper.,40,29
17:21,2000,Jaren Lewis Offensive Rebound.,40,29
17:19,326,Foul on Nijal Pearson.,40,29
17:18,2000,Foul on Jaylen Franklin.,40,29
17:18,2000,Jaylen Franklin Turnover.,40,29
16:53,326,Immanuel King missed Layup.,40,29
16:53,2000,Jaylen Franklin Defensive Rebound.,40,29
16:46,2000,Jalone Friday missed Three Point Jumper.,40,29
16:46,2000,Jaren Lewis Offensive Rebound.,40,29
16:41,2000,Jaren Lewis made Layup.,40,31
16:34,2000,Foul on Jaylen Franklin.,40,31
16:34,326,Nijal Pearson missed Free Throw.,40,31
16:34,326,Texas State Deadball Team Rebound.,40,31
16:34,326,Nijal Pearson made Free Throw.,41,31
16:34,2000,Jalone Friday made Layup. Assisted by Isaiah Tripp.,41,33
16:03,326,Nijal Pearson missed Layup.,41,33
16:03,2000,Jalone Friday Block.,41,33
16:03,326,Immanuel King Offensive Rebound.,41,33
16:03,326,Nijal Pearson made Layup.,43,33
16:03,2000,Foul on Jaren Lewis.,43,33
16:03,326,Nijal Pearson made Free Throw.,44,33
15:56,2000,Isaiah Tripp made Three Point Jumper. Assisted by Jalone Friday.,44,36
15:30,326,Nedeljko Prijovic missed Three Point Jumper.,44,36
15:30,2000,Jaren Lewis Defensive Rebound.,44,36
15:19,2000,Jaren Lewis made Jumper.,44,38
15:19,326,Foul on Immanuel King.,44,38
15:19,2000,Official TV Timeout,44,38
15:19,2000,Jaren Lewis made Free Throw.,44,39
14:58,326,Nijal Pearson missed Jumper.,44,39
14:58,2000,Jalone Friday Defensive Rebound.,44,39
14:43,2000,Isaiah Tripp missed Three Point Jumper.,44,39
14:43,326,Marlin Davis Defensive Rebound.,44,39
14:24,326,Tyler Blount made Three Point Jumper. Assisted by Nijal Pearson.,47,39
14:07,326,Foul on Immanuel King.,47,39
13:51,2000,Tevin Foster made Three Point Jumper. Assisted by Jaylen Franklin.,47,42
13:23,326,Marlin Davis missed Layup.,47,42
13:23,2000,Jalone Friday Block.,47,42
13:21,2000,Jaren Lewis Defensive Rebound.,47,42
13:15,2000,Tevin Foster made Three Point Jumper.,47,45
12:58,326,Nijal Pearson Turnover.,47,45
12:58,326,Texas State  Timeout,47,45
12:30,2000,Jalone Friday made Jumper.,47,47
12:09,2000,Foul on Jaren Lewis.,47,47
12:09,326,Eric Terry made Free Throw.,48,47
12:09,326,Eric Terry missed Free Throw.,48,47
12:09,2000,Tevin Foster Defensive Rebound.,48,47
11:49,2000,Jalone Friday made Three Point Jumper. Assisted by Jaylen Franklin.,48,50
11:29,2000,Foul on Hayden Farquhar.,48,50
11:29,2000,Official TV Timeout,48,50
11:29,326,Nedeljko Prijovic missed Free Throw.,48,50
11:29,326,Texas State Deadball Team Rebound.,48,50
11:29,326,Nedeljko Prijovic made Free Throw.,49,50
11:17,2000,Hayden Farquhar missed Three Point Jumper.,49,50
11:17,326,Nijal Pearson Defensive Rebound.,49,50
11:02,326,Eric Terry made Layup. Assisted by Reggie Miller.,51,50
10:53,2000,Payten Ricks made Layup.,51,52
10:35,326,Nedeljko Prijovic missed Three Point Jumper.,51,52
10:35,2000,Abilene Christian Defensive Rebound.,51,52
10:20,2000,Jalone Friday Turnover.,51,52
9:59,326,Reggie Miller Turnover.,51,52
9:55,2000,Hayden Howell Turnover.,51,52
9:24,2000,Foul on Payten Ricks.,51,52
9:24,326,Tre'Larenz Nottingham missed Free Throw.,51,52
9:24,326,Texas State Deadball Team Rebound.,51,52
9:24,326,Tre'Larenz Nottingham made Free Throw.,52,52
9:24,326,Tre'Larenz Nottingham made Free Throw.,53,52
9:09,2000,Tevin Foster Turnover.,53,52
9:09,326,Nijal Pearson Steal.,53,52
9:07,326,Reggie Miller Turnover.,53,52
9:07,2000,Jaylen Franklin Steal.,53,52
9:05,2000,Payten Ricks missed Three Point Jumper.,53,52
9:05,2000,Abilene Christian Offensive Rebound.,53,52
8:54,2000,Hayden Farquhar made Layup. Assisted by Hayden Howell.,53,54
8:37,2000,Foul on Hayden Howell.,53,54
8:37,326,Immanuel King made Free Throw.,54,54
8:37,326,Immanuel King missed Free Throw.,54,54
8:37,2000,Hayden Farquhar Defensive Rebound.,54,54
8:32,326,Foul on Tre'Larenz Nottingham.,54,54
8:16,2000,Hayden Farquhar missed Three Point Jumper.,54,54
8:16,2000,Jaylen Franklin Offensive Rebound.,54,54
8:14,326,Foul on Nijal Pearson.,54,54
8:12,2000,Tevin Foster missed Three Point Jumper.,54,54
8:12,2000,Abilene Christian Offensive Rebound.,54,54
8:07,2000,Tevin Foster missed Jumper.,54,54
8:07,326,Alex Peacock Defensive Rebound.,54,54
7:51,326,Reggie Miller missed Layup.,54,54
7:51,2000,Jalone Friday Block.,54,54
7:50,326,Texas State Offensive Rebound.,54,54
7:49,2000,Official TV Timeout,54,54
7:32,326,Reggie Miller Turnover.,54,54
7:22,326,Foul on Shelby Adams.,54,54
7:22,2000,Jaylen Franklin missed Free Throw.,54,54
7:22,2000,Abilene Christian Deadball Team Rebound.,54,54
7:22,2000,Jaylen Franklin missed Free Throw.,54,54
7:22,326,Nijal Pearson Defensive Rebound.,54,54
6:55,326,Nijal Pearson missed Three Point Jumper.,54,54
6:55,2000,Payten Ricks Defensive Rebound.,54,54
6:35,2000,Jaylen Franklin missed Three Point Jumper.,54,54
6:35,326,Immanuel King Defensive Rebound.,54,54
6:08,326,Alex Peacock missed Jumper.,54,54
6:08,2000,Jaren Lewis Defensive Rebound.,54,54
6:02,2000,Jaren Lewis made Layup.,54,56
5:48,326,Nijal Pearson made Three Point Jumper. Assisted by Marlin Davis.,57,56
5:29,2000,Payten Ricks made Three Point Jumper. Assisted by Jaylen Franklin.,57,59
5:14,2000,Foul on Jaylen Franklin.,57,59
5:14,326,Nijal Pearson made Free Throw.,58,59
5:14,326,Nijal Pearson missed Free Throw.,58,59
5:14,2000,Jalone Friday Defensive Rebound.,58,59
4:53,2000,Jalone Friday Turnover.,58,59
4:49,326,Alex Peacock Steal.,58,59
4:36,326,Nijal Pearson missed Three Point Jumper.,58,59
4:36,2000,Jalone Friday Defensive Rebound.,58,59
4:33,326,Foul on Alex Peacock.,58,59
4:33,2000,Jalone Friday made Free Throw.,58,60
4:33,2000,Jalone Friday made Free Throw.,58,61
4:18,326,Tyler Blount missed Layup.,58,61
4:18,2000,Jalone Friday Defensive Rebound.,58,61
3:49,2000,Jalone Friday missed Three Point Jumper.,58,61
3:49,2000,Abilene Christian Offensive Rebound.,58,61
3:49,2000,Official TV Timeout,58,61
3:25,2000,Jaren Lewis made Jumper.,58,63
3:05,326,Marlin Davis Turnover.,58,63
3:03,2000,Jaylen Franklin Steal.,58,63
3:02,2000,Jaylen Franklin made Layup.,58,65
2:48,326,Immanuel King made Layup.,60,65
2:29,2000,Jalone Friday made Layup. Assisted by Jaylen Franklin.,60,67
2:29,326,Foul on Nijal Pearson.,60,67
2:29,2000,Jalone Friday missed Free Throw.,60,67
2:29,326,Nijal Pearson Defensive Rebound.,60,67
2:11,326,Marlin Davis made Layup. Assisted by Immanuel King.,62,67
1:44,2000,Jalone Friday missed Three Point Jumper.,62,67
1:44,326,Nijal Pearson Defensive Rebound.,62,67
1:34,326,Nijal Pearson missed Three Point Jumper.,62,67
1:34,326,Nedeljko Prijovic Offensive Rebound.,62,67
1:29,326,Nedeljko Prijovic made Layup.,64,67
1:27,2000,Foul on Jaylen Franklin.,64,67
1:27,326,Nedeljko Prijovic made Free Throw.,65,67
1:11,326,Foul on Tyler Blount.,65,67
1:11,2000,Jaren Lewis made Free Throw.,65,68
1:11,2000,Jaren Lewis made Free Throw.,65,69
0:59,326,Nedeljko Prijovic made Three Point Jumper. Assisted by Marlin Davis.,68,69
0:46,2000,Abilene Christian  Timeout,68,69
0:32,2000,Tevin Foster made Layup.,68,71
0:30,2000,Abilene Christian  Timeout,68,71
0:12,326,Nijal Pearson missed Three Point Jumper.,68,71
0:12,2000,Abilene Christian Defensive Rebound.,68,71
0:09,326,Texas State  Timeout,68,71
0:07,326,Foul on Reggie Miller.,68,71
0:07,2000,Tevin Foster missed Free Throw.,68,71
0:07,2000,Abilene Christian Deadball Team Rebound.,68,71
0:07,2000,Tevin Foster made Free Throw.,68,72
0:04,326,Marlin Davis Turnover.,68,72
0:00,2000,End of Game,68,72
