North Georgia,344,Mississippi State,2455
9:02,344,E.J. Datcher Offensive Rebound.,11,27
9:00,344,E.J. Datcher made Two Point Tip Shot.,11,29
8:47,-1,Shaquan Cantrell missed Three Point Jumper.,11,29
8:47,344,E.J. Datcher Defensive Rebound.,11,29
8:38,344,Nick Weatherspoon missed Three Point Jumper.,11,29
8:38,344,KeyShawn Feazell Offensive Rebound.,11,29
8:33,344,KeyShawn Feazell made Jumper.,11,31
8:23,-1,Bennett Fuzak missed Jumper.,11,31
8:23,-1,Carrod Watson Offensive Rebound.,11,31
8:13,-1,Tyler Dean made Layup.,13,31
7:53,-1,Foul on Carrod Watson.,13,31
7:53,344,Official TV Timeout,13,31
7:53,344,E.J. Datcher made Free Throw.,13,32
7:53,344,E.J. Datcher made Free Throw.,13,33
7:34,-1,Carrod Watson made Jumper.,15,33
7:13,344,KeyShawn Feazell made Dunk. Assisted by Nick Weatherspoon.,15,35
6:51,-1,Tyler Dominy missed Jumper.,15,35
6:51,344,KeyShawn Feazell Block.,15,35
6:50,344,Tyson Carter Defensive Rebound.,15,35
6:41,344,KeyShawn Feazell made Jumper.,15,37
6:30,-1,Quincy Poitier made Three Point Jumper. Assisted by Colin Cotter.,18,37
6:10,344,Nick Weatherspoon missed Layup.,18,37
6:10,-1,Carrod Watson Defensive Rebound.,18,37
6:05,-1,Quincy Poitier missed Three Point Jumper.,18,37
6:05,344,KeyShawn Feazell Defensive Rebound.,18,37
5:56,344,KeyShawn Feazell made Three Point Jumper. Assisted by Tyson Carter.,18,40
5:39,-1,Carrod Watson missed Three Point Jumper.,18,40
5:39,344,Mississippi State Defensive Rebound.,18,40
5:19,344,Abdul Ado Turnover.,18,40
5:15,-1,Carrod Watson missed Three Point Jumper.,18,40
5:15,344,Nick Weatherspoon Defensive Rebound.,18,40
5:07,344,KeyShawn Feazell made Layup. Assisted by Nick Weatherspoon.,18,42
4:56,-1,Tyler Dominy made Layup.,20,42
4:27,-1,Foul on Tyler Dominy.,20,42
4:27,344,Abdul Ado made Free Throw.,20,43
4:27,344,Abdul Ado made Free Throw.,20,44
4:17,-1,Shaquan Cantrell missed Layup.,20,44
4:17,344,Aric Holman Block.,20,44
4:16,-1,North Georgia Offensive Rebound.,20,44
4:06,-1,Shaquan Cantrell missed Jumper.,20,44
4:06,344,Abdul Ado Block.,20,44
4:05,344,Lamar Peters Defensive Rebound.,20,44
3:58,344,Xavian Stapleton made Layup. Assisted by Lamar Peters.,20,46
3:45,344,Foul on Xavian Stapleton.,20,46
3:45,344,Official TV Timeout,20,46
3:45,-1,Shaquan Cantrell missed Free Throw.,20,46
3:45,-1,North Georgia Deadball Team Rebound.,20,46
3:45,-1,Shaquan Cantrell missed Free Throw.,20,46
3:45,344,Aric Holman Defensive Rebound.,20,46
3:34,344,Lamar Peters Turnover.,20,46
3:28,-1,Ephraim Tshimanga Turnover.,20,46
3:26,344,Abdul Ado Steal.,20,46
3:23,344,Aric Holman made Dunk. Assisted by Lamar Peters.,20,48
3:12,-1,Ephraim Tshimanga Turnover.,20,48
2:56,344,Aric Holman made Three Point Jumper. Assisted by Lamar Peters.,20,51
2:36,-1,Tyler Dean missed Three Point Jumper.,20,51
2:36,-1,Lanre Olatunji Offensive Rebound.,20,51
2:33,-1,Lanre Olatunji made Two Point Tip Shot.,22,51
2:22,344,Lamar Peters missed Three Point Jumper.,22,51
2:22,-1,Shaquan Cantrell Defensive Rebound.,22,51
2:04,-1,Shaquan Cantrell missed Jumper.,22,51
2:04,344,Mississippi State Deadball Team Rebound.,22,51
1:38,344,Schnider Herard missed Jumper.,22,51
1:38,-1,Lanre Olatunji Defensive Rebound.,22,51
1:31,-1,Tyler Dean made Layup.,24,51
1:18,344,Quinndary Weatherspoon made Layup.,24,53
0:56,-1,Shaquan Cantrell made Layup.,26,53
0:38,344,Tyson Carter missed Three Point Jumper.,26,53
0:38,344,Schnider Herard Offensive Rebound.,26,53
0:19,344,Tyson Carter missed Jumper.,26,53
0:19,-1,Ephraim Tshimanga Defensive Rebound.,26,53
0:13,-1,Shaquan Cantrell missed Layup.,26,53
0:13,344,Lamar Peters Defensive Rebound.,26,53
0:05,344,Lamar Peters missed Layup.,26,53
0:05,344,Schnider Herard Offensive Rebound.,26,53
0:02,344,Schnider Herard Turnover.,26,53
0:00,344,End of 1st half,26,53
19:42,-1,Lanre Olatunji Turnover.,26,53
19:41,344,Nick Weatherspoon Steal.,26,53
19:28,344,Nick Weatherspoon missed Jumper.,26,53
19:28,-1,Bennett Fuzak Defensive Rebound.,26,53
19:14,-1,Bennett Fuzak made Three Point Jumper. Assisted by Shaquan Cantrell.,29,53
18:54,344,Abdul Ado missed Jumper.,29,53
18:54,-1,Lanre Olatunji Block.,29,53
18:52,-1,Ephraim Tshimanga Defensive Rebound.,29,53
18:44,-1,Lanre Olatunji Turnover.,29,53
18:43,344,Quinndary Weatherspoon Steal.,29,53
18:39,344,Tyson Carter missed Three Point Jumper.,29,53
18:39,344,Aric Holman Offensive Rebound.,29,53
18:36,344,Aric Holman made Jumper.,29,55
18:36,-1,Foul on Lanre Olatunji.,29,55
18:36,344,Aric Holman made Free Throw.,29,56
18:25,344,Foul on Abdul Ado.,29,56
18:21,-1,Bennett Fuzak missed Three Point Jumper.,29,56
18:21,344,Quinndary Weatherspoon Defensive Rebound.,29,56
18:14,344,Tyson Carter Turnover.,29,56
18:13,-1,Ephraim Tshimanga Steal.,29,56
18:10,-1,Shaquan Cantrell missed Layup.,29,56
18:10,-1,Ephraim Tshimanga Offensive Rebound.,29,56
18:05,-1,Ephraim Tshimanga missed Three Point Jumper.,29,56
18:05,344,Abdul Ado Defensive Rebound.,29,56
17:58,344,Aric Holman made Layup. Assisted by Quinndary Weatherspoon.,29,58
17:32,-1,Lanre Olatunji missed Jumper.,29,58
17:32,344,Abdul Ado Block.,29,58
17:30,-1,Lanre Olatunji Offensive Rebound.,29,58
17:27,-1,Ebo Smith made Three Point Jumper. Assisted by Lanre Olatunji.,32,58
17:11,344,Tyson Carter missed Layup.,32,58
17:11,-1,Shaquan Cantrell Defensive Rebound.,32,58
17:05,-1,Shaquan Cantrell Turnover.,32,58
16:47,344,Quinndary Weatherspoon made Three Point Jumper.,32,61
16:22,-1,Carrod Watson missed Three Point Jumper.,32,61
16:22,344,Xavian Stapleton Defensive Rebound.,32,61
15:59,344,Quinndary Weatherspoon missed Layup.,32,61
15:59,-1,Ebo Smith Defensive Rebound.,32,61
15:48,-1,Ebo Smith missed Three Point Jumper.,32,61
15:48,344,Abdul Ado Defensive Rebound.,32,61
15:37,344,Xavian Stapleton missed Three Point Jumper.,32,61
15:37,-1,Carrod Watson Defensive Rebound.,32,61
15:26,-1,Ephraim Tshimanga made Layup.,34,61
15:04,344,Quinndary Weatherspoon made Three Point Jumper. Assisted by Nick Weatherspoon.,34,64
14:49,-1,Lanre Olatunji made Jumper. Assisted by Ephraim Tshimanga.,36,64
14:19,344,Xavian Stapleton missed Three Point Jumper.,36,64
14:19,-1,Lanre Olatunji Defensive Rebound.,36,64
14:06,-1,Ebo Smith missed Layup.,36,64
14:06,-1,Lanre Olatunji Offensive Rebound.,36,64
14:03,-1,Lanre Olatunji made Two Point Tip Shot.,38,64
13:33,344,Abdul Ado Turnover.,38,64
13:32,-1,Lanre Olatunji Steal.,38,64
13:26,-1,Shaquan Cantrell Turnover.,38,64
13:26,344,Official TV Timeout,38,64
13:11,344,Schnider Herard missed Jumper.,38,64
13:11,-1,Carrod Watson Block.,38,64
13:09,-1,North Georgia Defensive Rebound.,38,64
12:50,-1,Shaquan Cantrell missed Jumper.,38,64
12:50,-1,Shaquan Cantrell Offensive Rebound.,38,64
12:47,-1,Shaquan Cantrell missed Jumper.,38,64
12:47,344,Tyson Carter Defensive Rebound.,38,64
12:39,344,Tyson Carter Turnover.,38,64
12:39,344,Foul on Tyson Carter.,38,64
12:17,-1,Carrod Watson missed Three Point Jumper.,38,64
12:17,344,Lamar Peters Defensive Rebound.,38,64
12:08,344,Lamar Peters Turnover.,38,64
12:06,-1,Carrod Watson Steal.,38,64
11:50,-1,Ephraim Tshimanga Turnover.,38,64
11:48,344,Xavian Stapleton Steal.,38,64
11:45,344,Nick Weatherspoon missed Three Point Jumper.,38,64
11:45,-1,Lanre Olatunji Defensive Rebound.,38,64
11:20,-1,Ephraim Tshimanga missed Layup.,38,64
11:20,344,Schnider Herard Block.,38,64
11:19,344,Nick Weatherspoon Defensive Rebound.,38,64
11:14,344,Tyson Carter made Dunk. Assisted by Nick Weatherspoon.,38,66
10:53,-1,Ebo Smith made Jumper.,40,66
10:34,344,Lamar Peters missed Layup.,40,66
10:34,344,Schnider Herard Offensive Rebound.,40,66
10:22,344,Nick Weatherspoon made Layup.,40,68
10:03,-1,Shaquan Cantrell made Three Point Jumper. Assisted by Ephraim Tshimanga.,43,68
9:39,344,Official TV Timeout,43,68
9:38,344,Nick Weatherspoon made Jumper. Assisted by Lamar Peters.,43,70
9:12,344,Foul on KeyShawn Feazell.,43,70
9:01,-1,Lanre Olatunji Turnover.,43,70
9:01,-1,Foul on Lanre Olatunji.,43,70
8:34,344,Nick Weatherspoon made Jumper.,43,72
8:14,-1,Quincy Poitier missed Three Point Jumper.,43,72
8:14,344,Nick Weatherspoon Defensive Rebound.,43,72
8:09,-1,Foul on Tyler Dominy.,43,72
8:09,344,Quinndary Weatherspoon made Free Throw.,43,73
8:09,344,Quinndary Weatherspoon made Free Throw.,43,74
7:58,-1,Tyler Dean missed Jumper.,43,74
7:58,-1,Tyler Dean Offensive Rebound.,43,74
7:55,-1,Tyler Dean missed Jumper.,43,74
7:55,-1,Ephraim Tshimanga Offensive Rebound.,43,74
7:48,-1,Tyler Dean missed Jumper.,43,74
7:48,344,Tyson Carter Defensive Rebound.,43,74
7:38,344,Official TV Timeout,43,74
7:20,344,Lamar Peters missed Three Point Jumper.,43,74
7:20,344,E.J. Datcher Offensive Rebound.,43,74
7:17,344,E.J. Datcher made Dunk.,43,76
6:59,-1,Tyler Dominy made Layup.,45,76
6:59,344,Foul on KeyShawn Feazell.,45,76
6:59,-1,Tyler Dominy missed Free Throw.,45,76
6:59,344,KeyShawn Feazell Defensive Rebound.,45,76
6:40,344,Lamar Peters missed Jumper.,45,76
6:40,-1,Tyler Dean Defensive Rebound.,45,76
6:32,-1,Tyler Dean Turnover.,45,76
6:31,344,Tyson Carter Steal.,45,76
6:28,344,Tyson Carter missed Jumper.,45,76
6:28,-1,Tyler Dean Defensive Rebound.,45,76
6:08,-1,Tyler Dominy missed Three Point Jumper.,45,76
6:08,344,Lamar Peters Defensive Rebound.,45,76
6:00,344,Lamar Peters made Three Point Jumper.,45,79
5:43,-1,Bennett Fuzak made Layup. Assisted by Tyler Dominy.,47,79
5:18,344,Quinndary Weatherspoon made Layup. Assisted by Tyson Carter.,47,81
5:00,-1,Tyler Dominy missed Layup.,47,81
5:00,344,KeyShawn Feazell Defensive Rebound.,47,81
4:50,344,Lamar Peters missed Three Point Jumper.,47,81
4:50,-1,Tyler Dominy Defensive Rebound.,47,81
4:35,-1,Bennett Fuzak made Three Point Jumper. Assisted by Tyler Dominy.,50,81
4:34,-1,North Georgia  Timeout,50,81
4:17,344,E.J. Datcher made Layup. Assisted by Lamar Peters.,50,83
3:59,-1,Quincy Poitier missed Three Point Jumper.,50,83
3:59,344,Lamar Peters Defensive Rebound.,50,83
3:50,344,Lamar Peters made Three Point Jumper.,50,86
3:49,344,Mississippi State  Timeout,50,86
3:49,344,Official TV Timeout,50,86
3:37,-1,Tyler Dean Turnover.,50,86
3:37,-1,Foul on Tyler Dean.,50,86
3:29,344,Drew Davis Turnover.,50,86
3:28,-1,Tyler Dean Steal.,50,86
3:26,-1,Tyler Dean made Layup.,52,86
3:08,344,Nick Singleton made Three Point Jumper.,52,89
2:51,-1,Bennett Fuzak missed Three Point Jumper.,52,89
2:51,344,Drew Davis Defensive Rebound.,52,89
2:41,344,Nick Singleton missed Three Point Jumper.,52,89
2:41,-1,Colin Cotter Defensive Rebound.,52,89
2:32,-1,Bennett Fuzak missed Layup.,52,89
2:32,344,Drew Davis Defensive Rebound.,52,89
2:25,344,Drew Davis missed Three Point Jumper.,52,89
2:25,-1,Colin Cotter Defensive Rebound.,52,89
2:18,-1,Lanre Olatunji made Dunk. Assisted by Colin Cotter.,54,89
1:55,344,T.J. Gray missed Three Point Jumper.,54,89
1:55,344,Nick Singleton Offensive Rebound.,54,89
1:52,344,Nick Singleton missed Jumper.,54,89
1:52,-1,Lanre Olatunji Block.,54,89
1:50,344,Nick Singleton Offensive Rebound.,54,89
1:46,344,Drew Davis missed Three Point Jumper.,54,89
1:46,-1,Colin Cotter Defensive Rebound.,54,89
1:39,344,Foul on T.J. Gray.,54,89
1:39,-1,Colin Cotter missed Free Throw.,54,89
1:39,-1,North Georgia Deadball Team Rebound.,54,89
1:39,-1,Colin Cotter missed Free Throw.,54,89
1:39,344,Mississippi State Defensive Rebound.,54,89
1:27,344,Nick Singleton made Three Point Jumper.,54,92
1:16,-1,Colin Cotter missed Three Point Jumper.,54,92
1:16,344,Nick Singleton Defensive Rebound.,54,92
1:07,344,T.J. Gray missed Three Point Jumper.,54,92
1:07,-1,Tyler Dean Defensive Rebound.,54,92
0:48,-1,Jack Howard made Three Point Jumper. Assisted by Tyler Dean.,57,92
0:38,344,Nick Singleton made Three Point Jumper.,57,95
0:27,-1,Colin Cotter made Three Point Jumper. Assisted by Bennett Fuzak.,60,95
0:11,344,Drew Davis missed Jumper.,60,95
0:11,-1,Lanre Olatunji Defensive Rebound.,60,95
0:08,-1,Colin Cotter made Layup.,62,95
0:00,344,End of Game,62,95
