Chicago State,2473,Oakland,2130
14:11,2473,Martez Walker Turnover.,5,15
14:11,2130,Anthony Harris Steal.,5,15
14:11,2473,Foul on Stan Scott.,5,15
13:49,2130,Nathan Townsen Jr. missed Jumper.,5,15
13:49,2473,Isaiah Brock Block.,5,15
13:47,2473,Jalen Hayes Defensive Rebound.,5,15
13:26,2473,Martez Walker missed Three Point Jumper.,5,15
13:26,2130,Chicago State Defensive Rebound.,5,15
13:03,2130,Alex Dubovitskiy Turnover.,5,15
13:01,2473,Stan Scott Steal.,5,15
13:01,2130,Foul on Nathan Townsen Jr..,5,15
13:01,2473,Stan Scott made Free Throw.,5,16
13:01,2473,Stan Scott made Free Throw.,5,17
12:39,2473,Stan Scott Turnover.,5,17
12:29,2130,Glen Burns missed Layup.,5,17
12:29,2473,Isaiah Brock Defensive Rebound.,5,17
12:16,2473,Jalen Hayes Turnover.,5,17
12:13,2130,Fred Sims Jr. Steal.,5,17
12:11,2130,Fred Sims Jr. missed Layup.,5,17
12:11,2473,Stan Scott Block.,5,17
12:08,2473,Jalen Hayes Defensive Rebound.,5,17
12:04,2473,Martez Walker made Three Point Jumper. Assisted by Jalen Hayes.,5,20
11:37,2130,Foul on Alex Dubovitskiy.,5,20
11:37,2130,Alex Dubovitskiy Turnover.,5,20
11:37,2473,Official TV Timeout,5,20
11:35,2473,Official TV Timeout,5,20
11:21,2473,Martez Walker missed Three Point Jumper.,5,20
11:21,2130,Glen Burns Defensive Rebound.,5,20
11:01,2130,Fred Sims Jr. missed Three Point Jumper.,5,20
11:01,2473,Martez Walker Defensive Rebound.,5,20
10:49,2473,Stan Scott made Layup.,5,22
10:32,2473,Foul on Stan Scott.,5,22
10:20,2130,Jelani Pruitt missed Jumper.,5,22
10:20,2473,Isaiah Brock Block.,5,22
10:18,2130,Jelani Pruitt Offensive Rebound.,5,22
10:15,2130,Fred Sims Jr. made Three Point Jumper. Assisted by Jelani Pruitt.,8,22
10:09,2130,Foul on Patrick Szpir.,8,22
10:09,2473,Chris Palombizio missed Free Throw.,8,22
10:09,2473,Oakland Deadball Team Rebound.,8,22
10:09,2473,Chris Palombizio made Free Throw.,8,23
9:48,2130,Anthony Harris missed Jumper.,8,23
9:48,2473,Jalen Hayes Defensive Rebound.,8,23
9:27,2473,Jalen Hayes Turnover.,8,23
9:07,2130,Rob Shaw made Jumper.,10,23
8:59,2130,Foul on Rob Shaw.,10,23
8:59,2473,Brailen Neely made Free Throw.,10,24
8:59,2473,Brailen Neely made Free Throw.,10,25
8:45,2130,Anthony Harris made Three Point Jumper. Assisted by Rob Shaw.,13,25
8:30,2473,Nick Daniels missed Three Point Jumper.,13,25
8:30,2130,Anthony Harris Defensive Rebound.,13,25
8:19,2473,Oakland  Timeout,13,25
8:19,2473,Oakland  Timeout,13,25
8:18,2130,Rob Shaw missed Layup.,13,25
8:18,2473,Julius Palmer Block.,13,25
8:18,2130,Chicago State Offensive Rebound.,13,25
8:07,2130,Rob Shaw missed Jumper.,13,25
8:07,2473,Brailen Neely Defensive Rebound.,13,25
7:52,2473,Nick Daniels Turnover.,13,25
7:50,2130,Anthony Harris Steal.,13,25
7:47,2130,Anthony Harris missed Layup.,13,25
7:47,2473,Jalen Hayes Defensive Rebound.,13,25
7:20,2473,Brailen Neely missed Jumper.,13,25
7:20,2473,Brailen Neely Offensive Rebound.,13,25
7:17,2473,Oakland  Turnover.,13,25
7:06,2473,Foul on Martez Walker.,13,25
7:06,2130,Glen Burns made Free Throw.,14,25
7:06,2130,Glen Burns made Free Throw.,15,25
6:57,2473,Martez Walker missed Three Point Jumper.,15,25
6:57,2130,Glen Burns Defensive Rebound.,15,25
6:30,2130,Fred Sims Jr. missed Three Point Jumper.,15,25
6:30,2473,Isaiah Brock Defensive Rebound.,15,25
6:21,2473,Nick Daniels missed Three Point Jumper.,15,25
6:21,2130,Fred Sims Jr. Defensive Rebound.,15,25
6:13,2473,Foul on Brailen Neely.,15,25
6:13,2130,Fred Sims Jr. made Free Throw.,16,25
6:13,2130,Fred Sims Jr. made Free Throw.,17,25
5:58,2473,Chris Palombizio missed Three Point Jumper.,17,25
5:58,2473,Martez Walker Offensive Rebound.,17,25
5:53,2473,Martez Walker missed Jumper.,17,25
5:53,2130,Anthony Harris Block.,17,25
5:51,2130,Glen Burns Defensive Rebound.,17,25
5:48,2473,Foul on Brailen Neely.,17,25
5:48,2130,Foul on Anthony Harris.,17,25
5:48,2473,Martez Walker missed Free Throw.,17,25
5:48,2473,Oakland Deadball Team Rebound.,17,25
5:48,2473,Martez Walker missed Free Throw.,17,25
5:48,2473,Oakland Deadball Team Rebound.,17,25
5:48,2473,Chris Palombizio missed Three Point Jumper.,17,25
5:48,2473,Jaevin Cumberland Offensive Rebound.,17,25
5:48,2473,Martez Walker missed Layup.,17,25
5:48,2130,Anthony Harris Block.,17,25
5:48,2473,Jaevin Cumberland Offensive Rebound.,17,25
5:38,2473,Jalen Hayes made Jumper.,17,27
4:43,2130,Fred Sims Jr. missed Three Point Jumper.,17,27
4:43,2130,Chicago State Offensive Rebound.,17,27
4:36,2130,Patrick Szpir missed Jumper.,17,27
4:36,2473,Chris Palombizio Defensive Rebound.,17,27
4:11,2473,Chris Palombizio missed Layup.,17,27
4:11,2473,Stan Scott Offensive Rebound.,17,27
4:07,2473,Stan Scott made Jumper.,17,29
3:50,2130,Glen Burns missed Jumper.,17,29
3:50,2473,Jalen Hayes Block.,17,29
3:47,2473,Chris Palombizio Defensive Rebound.,17,29
3:43,2473,Chris Palombizio missed Three Point Jumper.,17,29
3:43,2130,Glen Burns Defensive Rebound.,17,29
3:37,2130,Fred Sims Jr. missed Layup.,17,29
3:37,2473,Chris Palombizio Defensive Rebound.,17,29
3:37,2473,Oakland  Timeout,17,29
3:18,2473,Jalen Hayes made Layup. Assisted by Nick Daniels.,17,31
3:05,2130,Fred Sims Jr. missed Jumper.,17,31
3:05,2473,Nick Daniels Defensive Rebound.,17,31
2:55,2473,Jalen Hayes made Layup. Assisted by Nick Daniels.,17,33
2:55,2130,Chicago State  Timeout,17,33
2:28,2473,Foul on Jalen Hayes.,17,33
2:16,2130,Foul on Patrick Szpir.,17,33
2:16,2130,Patrick Szpir Turnover.,17,33
2:02,2473,Martez Walker missed Three Point Jumper.,17,33
2:02,2473,Stan Scott Offensive Rebound.,17,33
1:55,2473,Jalen Hayes made Layup. Assisted by Stan Scott.,17,35
1:39,2130,Glen Burns made Layup.,19,35
1:28,2473,Stan Scott Turnover.,19,35
1:27,2130,Glen Burns Steal.,19,35
1:25,2130,Glen Burns made Layup. Assisted by Rob Shaw.,21,35
1:04,2473,Nick Daniels missed Three Point Jumper.,21,35
1:04,2130,Anthony Harris Defensive Rebound.,21,35
0:56,2130,Patrick Szpir made Layup. Assisted by Rob Shaw.,23,35
0:38,2473,Jalen Hayes made Jumper.,23,37
0:09,2130,Rob Shaw missed Jumper.,23,37
0:09,2473,Jalen Hayes Defensive Rebound.,23,37
0:00,2473,End of 1st half,23,37
19:37,2130,Glen Burns missed Jumper.,23,37
19:37,2473,Isaiah Brock Block.,23,37
19:36,2473,Martez Walker Defensive Rebound.,23,37
19:33,2473,Jalen Hayes made Layup. Assisted by Nick Daniels.,23,39
19:33,2130,Foul on Jelani Pruitt.,23,39
19:33,2473,Jalen Hayes made Free Throw.,23,40
19:06,2130,Jelani Pruitt missed Jumper.,23,40
19:06,2473,Isaiah Brock Defensive Rebound.,23,40
18:53,2130,Foul on Montana Byrd.,23,40
18:53,2473,Jalen Hayes made Free Throw.,23,41
18:53,2473,Jalen Hayes made Free Throw.,23,42
18:30,2130,Jelani Pruitt missed Jumper.,23,42
18:30,2473,Martez Walker Defensive Rebound.,23,42
18:23,2473,Nick Daniels Turnover.,23,42
17:59,2130,Glen Burns Turnover.,23,42
17:58,2473,Nick Daniels Steal.,23,42
17:40,2473,Jalen Hayes made Layup. Assisted by Nick Daniels.,23,44
17:26,2473,Foul on Isaiah Brock.,23,44
17:23,2130,Jelani Pruitt missed Three Point Jumper.,23,44
17:23,2473,Nick Daniels Defensive Rebound.,23,44
17:12,2473,Martez Walker missed Three Point Jumper.,23,44
17:12,2130,Montana Byrd Defensive Rebound.,23,44
17:03,2130,Glen Burns missed Layup.,23,44
17:03,2473,Nick Daniels Defensive Rebound.,23,44
16:59,2130,Foul on Montana Byrd.,23,44
16:59,2473,Martez Walker made Free Throw.,23,45
16:59,2473,Martez Walker made Free Throw.,23,46
16:46,2130,Fred Sims Jr. Turnover.,23,46
16:44,2473,Jalen Hayes Steal.,23,46
16:41,2473,Jalen Hayes made Dunk.,23,48
16:30,2130,Fred Sims Jr. made Three Point Jumper.,26,48
16:15,2473,Nick Daniels missed Three Point Jumper.,26,48
16:15,2130,Glen Burns Defensive Rebound.,26,48
16:00,2130,Fred Sims Jr. missed Three Point Jumper.,26,48
16:00,2473,Martez Walker Defensive Rebound.,26,48
15:48,2473,Nick Daniels missed Layup.,26,48
15:48,2130,Patrick Szpir Block.,26,48
15:46,2473,Jalen Hayes Offensive Rebound.,26,48
15:40,2473,Nick Daniels missed Three Point Jumper.,26,48
15:40,2130,Jelani Pruitt Defensive Rebound.,26,48
15:39,2473,Official TV Timeout,26,48
15:39,2473,Foul on Jalen Hayes.,26,48
15:30,2130,Foul on Patrick Szpir.,26,48
15:30,2130,Patrick Szpir Turnover.,26,48
15:10,2473,Isaiah Brock made Dunk. Assisted by Nick Daniels.,26,50
14:51,2130,Glen Burns missed Jumper.,26,50
14:51,2473,Brailen Neely Defensive Rebound.,26,50
14:28,2473,Brailen Neely Turnover.,26,50
14:17,2130,Fred Sims Jr. missed Three Point Jumper.,26,50
14:17,2473,Isaiah Brock Defensive Rebound.,26,50
13:54,2473,Jalen Hayes missed Layup.,26,50
13:54,2130,Patrick Szpir Block.,26,50
13:54,2473,Oakland Offensive Rebound.,26,50
13:42,2473,Stan Scott made Jumper. Assisted by Jalen Hayes.,26,52
13:10,2130,Patrick Szpir missed Layup.,26,52
13:10,2130,Fred Sims Jr. Offensive Rebound.,26,52
13:06,2130,Fred Sims Jr. made Layup.,28,52
12:50,2473,Stan Scott Turnover.,28,52
12:28,2130,Glen Burns made Layup.,30,52
12:19,2130,Foul on Alex Dubovitskiy.,30,52
12:14,2130,Foul on Anthony Harris.,30,52
12:14,2130,Foul on Alex Dubovitskiy.,30,52
12:14,2473,Jalen Hayes made Free Throw.,30,53
12:14,2473,Jalen Hayes made Free Throw.,30,54
11:58,2130,Fred Sims Jr. missed Three Point Jumper.,30,54
11:58,2473,Martez Walker Defensive Rebound.,30,54
11:41,2473,Jalen Hayes missed Jumper.,30,54
11:41,2130,Glen Burns Defensive Rebound.,30,54
11:23,2130,Alex Dubovitskiy Turnover.,30,54
11:21,2473,Jalen Hayes Steal.,30,54
11:11,2130,Foul on Glen Burns.,30,54
11:11,2473,Julius Palmer made Free Throw.,30,55
11:11,2473,Julius Palmer made Free Throw.,30,56
10:54,2130,Anthony Harris missed Layup.,30,56
10:54,2473,Nick Daniels Defensive Rebound.,30,56
10:38,2473,Stan Scott missed Dunk.,30,56
10:38,2130,Patrick Szpir Defensive Rebound.,30,56
10:29,2130,Montana Byrd Turnover.,30,56
10:28,2473,Nick Daniels Steal.,30,56
10:26,2130,Foul on Anthony Harris.,30,56
10:26,2473,Stan Scott made Free Throw.,30,57
10:26,2473,Stan Scott made Free Throw.,30,58
10:08,2130,Rob Shaw missed Jumper.,30,58
10:08,2473,Martez Walker Defensive Rebound.,30,58
10:01,2130,Foul on Montana Byrd.,30,58
10:01,2473,Nick Daniels made Free Throw.,30,59
10:01,2473,Nick Daniels made Free Throw.,30,60
9:41,2130,Rob Shaw missed Jumper.,30,60
9:41,2473,Stan Scott Defensive Rebound.,30,60
9:29,2473,Julius Palmer missed Jumper.,30,60
9:29,2473,Jalen Hayes Offensive Rebound.,30,60
9:23,2473,Martez Walker missed Three Point Jumper.,30,60
9:23,2130,Fred Sims Jr. Defensive Rebound.,30,60
9:13,2473,Foul on Julius Palmer.,30,60
9:13,2130,Jelani Pruitt made Free Throw.,31,60
9:13,2130,Jelani Pruitt made Free Throw.,32,60
9:02,2473,Jalen Hayes Turnover.,32,60
8:50,2473,Foul on Jalen Hayes.,32,60
8:50,2130,Fred Sims Jr. missed Free Throw.,32,60
8:50,2130,Chicago State Deadball Team Rebound.,32,60
8:50,2130,Fred Sims Jr. made Free Throw.,33,60
8:34,2130,Foul on Glen Burns.,33,60
8:34,2473,Martez Walker missed Free Throw.,33,60
8:34,2473,Oakland Deadball Team Rebound.,33,60
8:34,2473,Martez Walker made Free Throw.,33,61
8:25,2130,Glen Burns missed Layup.,33,61
8:25,2473,Jalen Hayes Defensive Rebound.,33,61
8:17,2473,Stan Scott missed Layup.,33,61
8:17,2130,Glen Burns Defensive Rebound.,33,61
8:14,2130,Chicago State  Timeout,33,61
8:02,2130,Jelani Pruitt missed Layup.,33,61
8:02,2130,Fred Sims Jr. Offensive Rebound.,33,61
8:00,2473,Foul on Nick Daniels.,33,61
8:00,2130,Fred Sims Jr. made Free Throw.,34,61
8:00,2130,Fred Sims Jr. made Free Throw.,35,61
7:44,2473,Jalen Hayes made Layup. Assisted by Brailen Neely.,35,63
7:44,2130,Alex Dubovitskiy Defensive Rebound.,35,63
7:44,2130,Foul on Patrick Szpir.,35,63
7:44,2473,Jalen Hayes missed Free Throw.,35,63
7:29,2130,Simeon Henton Turnover.,35,63
7:26,2473,Stan Scott Steal.,35,63
7:14,2473,Stan Scott made Jumper. Assisted by Jalen Hayes.,35,65
6:56,2130,Alex Dubovitskiy missed Three Point Jumper.,35,65
6:56,2473,Stan Scott Defensive Rebound.,35,65
6:46,2473,Oakland  Timeout,35,65
6:32,2473,Chris Palombizio missed Three Point Jumper.,35,65
6:32,2130,Alex Dubovitskiy Defensive Rebound.,35,65
6:23,2130,Fred Sims Jr. missed Layup.,35,65
6:23,2473,Oakland Defensive Rebound.,35,65
6:11,2473,Chris Palombizio missed Three Point Jumper.,35,65
6:11,2130,Chicago State Defensive Rebound.,35,65
5:55,2130,Alex Dubovitskiy made Jumper. Assisted by Simeon Henton.,37,65
5:41,2473,Chris Palombizio made Three Point Jumper. Assisted by Chris Gilbert.,37,68
5:16,2130,Simeon Henton made Layup. Assisted by Patrick Szpir.,39,68
5:08,2130,Simeon Henton made Free Throw.,40,68
5:08,2473,Foul on Stan Scott.,40,68
5:08,2130,Simeon Henton made Free Throw.,41,68
5:08,2473,Chris Palombizio Turnover.,41,68
5:07,2130,Simeon Henton Steal.,41,68
4:56,2473,Julius Palmer made Dunk. Assisted by Chris Gilbert.,41,70
4:40,2130,Alex Dubovitskiy missed Three Point Jumper.,41,70
4:40,2473,Stan Scott Block.,41,70
4:38,2130,Chicago State Offensive Rebound.,41,70
4:25,2130,Alex Dubovitskiy missed Three Point Jumper.,41,70
4:25,2473,Julius Palmer Defensive Rebound.,41,70
4:19,2130,Foul on Glen Burns.,41,70
4:19,2473,Stan Scott made Free Throw.,41,71
4:19,2473,Stan Scott missed Free Throw.,41,71
4:19,2130,Patrick Szpir Defensive Rebound.,41,71
4:04,2130,Alex Dubovitskiy made Jumper.,43,71
3:50,2473,Tom Cotter made Dunk. Assisted by Chris Gilbert.,43,73
3:38,2473,Foul on Julius Palmer.,43,73
3:38,2473,Official TV Timeout,43,73
3:38,2130,Glen Burns missed Free Throw.,43,73
3:38,2130,Chicago State Deadball Team Rebound.,43,73
3:38,2130,Glen Burns made Free Throw.,44,73
3:20,2473,Chris Palombizio missed Three Point Jumper.,44,73
3:20,2130,Chicago State Defensive Rebound.,44,73
2:51,2130,Anthony Harris missed Jumper.,44,73
2:51,2473,Julius Palmer Block.,44,73
2:49,2130,Anthony Harris Offensive Rebound.,44,73
2:49,2130,Anthony Harris made Layup.,46,73
2:49,2473,Foul on Tom Cotter.,46,73
2:49,2130,Anthony Harris made Free Throw.,47,73
2:47,2130,Foul on Anthony Harris.,47,73
2:47,2473,Stan Scott made Free Throw.,47,74
2:47,2473,Stan Scott made Free Throw.,47,75
2:27,2130,Jelani Pruitt Turnover.,47,75
2:08,2473,Chris Gilbert missed Three Point Jumper.,47,75
2:08,2473,Julius Palmer Offensive Rebound.,47,75
2:05,2473,Julius Palmer Turnover.,47,75
1:50,2130,Jelani Pruitt made Layup.,49,75
1:36,2473,Chris Palombizio made Jumper.,49,77
1:26,2130,Jelani Pruitt missed Three Point Jumper.,49,77
1:26,2473,Tom Cotter Defensive Rebound.,49,77
1:01,2473,Stan Scott missed Jumper.,49,77
1:01,2473,Julius Palmer Offensive Rebound.,49,77
0:57,2473,Julius Palmer missed Jumper.,49,77
0:57,2130,Glen Burns Defensive Rebound.,49,77
0:51,2473,Foul on Tom Cotter.,49,77
0:51,2130,Glen Burns made Free Throw.,50,77
0:51,2130,Glen Burns missed Free Throw.,50,77
0:51,2473,Oakland Defensive Rebound.,50,77
0:48,2130,Foul on Jelani Pruitt.,50,77
0:48,2473,Chris Palombizio made Free Throw.,50,78
0:48,2473,Chris Palombizio made Free Throw.,50,79
0:21,2130,Jelani Pruitt Turnover.,50,79
0:20,2473,Stan Scott Steal.,50,79
0:17,2473,Chris Gilbert made Three Point Jumper. Assisted by Stan Scott.,50,82
0:00,2130,Jelani Pruitt missed Jumper.,50,82
0:00,2473,Stan Scott Defensive Rebound.,50,82
0:00,2473,End of Game,50,82
