Murray State,2287,Illinois State,93
3:38,93,Terrell Miller Jr. made Layup. Assisted by Jonathan Stark.,30,26
3:10,2287,Official TV Timeout,30,26
3:08,2287,Keyshawn Evans missed Jumper.,30,26
3:08,93,Murray State Defensive Rebound.,30,26
2:53,93,Terrell Miller Jr. made Jumper. Assisted by Ja Morant.,32,26
2:34,2287,Jerron Martin missed Three Point Jumper.,32,26
2:34,93,Ja Morant Defensive Rebound.,32,26
2:19,93,Ja Morant missed Three Point Jumper.,32,26
2:19,2287,Milik Yarbrough Defensive Rebound.,32,26
1:52,2287,Jerron Martin missed Three Point Jumper.,32,26
1:52,93,Ja Morant Defensive Rebound.,32,26
1:38,93,Terrell Miller Jr. made Jumper.,34,26
1:23,93,Foul on Jalen Dupree.,34,26
1:23,2287,Milik Yarbrough made Free Throw.,34,27
1:13,2287,Milik Yarbrough missed Free Throw.,34,27
1:13,93,Terrell Miller Jr. Defensive Rebound.,34,27
0:58,93,Ja Morant made Jumper.,36,27
0:42,2287,Foul on Isaac Gassman.,36,27
0:42,2287,Isaac Gassman Turnover.,36,27
0:16,93,Terrell Miller Jr. missed Layup.,36,27
0:16,2287,Isaac Gassman Defensive Rebound.,36,27
0:00,2287,End of 1st half,36,27
19:51,93,Jonathan Stark missed Three Point Jumper.,36,27
19:51,2287,Taylor Bruninga Defensive Rebound.,36,27
19:41,93,Foul on Jonathan Stark.,36,27
19:40,2287,Madison Williams made Free Throw.,36,28
19:40,2287,Madison Williams made Free Throw.,36,29
19:40,2287,Madison Williams missed Free Throw.,36,29
19:40,93,Terrell Miller Jr. Defensive Rebound.,36,29
19:15,93,Shaq Buchanan missed Three Point Jumper.,36,29
19:15,2287,Milik Yarbrough Defensive Rebound.,36,29
19:06,2287,Matt Hein missed Layup.,36,29
19:06,93,Terrell Miller Jr. Block.,36,29
19:05,2287,Matt Hein Offensive Rebound.,36,29
18:48,2287,Madison Williams made Three Point Jumper. Assisted by Keyshawn Evans.,36,32
18:29,93,Shaq Buchanan made Dunk. Assisted by Terrell Miller Jr..,38,32
18:09,2287,Matt Hein made Layup.,38,34
17:48,93,Ja Morant made Layup.,40,34
17:35,2287,Milik Yarbrough Turnover.,40,34
17:33,93,Shaq Buchanan Steal.,40,34
17:30,93,Shaq Buchanan missed Three Point Jumper.,40,34
17:30,93,Ja Morant Offensive Rebound.,40,34
17:29,2287,Foul on Keyshawn Evans.,40,34
17:16,2287,Foul on William Tinsley.,40,34
17:16,93,Terrell Miller Jr. made Free Throw.,41,34
17:16,93,Terrell Miller Jr. made Free Throw.,42,34
17:16,93,Terrell Miller Jr. made Free Throw.,43,34
17:01,2287,Taylor Bruninga missed Three Point Jumper.,43,34
17:01,93,Shaq Buchanan Defensive Rebound.,43,34
16:44,2287,Foul on Taylor Bruninga.,43,34
16:37,93,Jalen Dupree missed Jumper.,43,34
16:37,2287,William Tinsley Defensive Rebound.,43,34
16:37,2287,William Tinsley Turnover.,43,34
16:37,93,Shaq Buchanan Steal.,43,34
16:37,93,Shaq Buchanan made Dunk.,45,34
15:53,2287,Foul on Matt Hein.,45,34
15:53,2287,Matt Hein Turnover.,45,34
15:53,2287,Official TV Timeout,45,34
15:37,2287,Foul on William Tinsley.,45,34
15:37,93,Jalen Dupree made Free Throw.,46,34
15:37,93,Jalen Dupree made Free Throw.,47,34
15:27,2287,Isaac Gassman made Three Point Jumper. Assisted by Milik Yarbrough.,47,37
15:01,93,Jonathan Stark missed Three Point Jumper.,47,37
15:01,93,Jalen Dupree Offensive Rebound.,47,37
14:57,2287,Foul on Madison Williams.,47,37
14:57,93,Jalen Dupree made Free Throw.,48,37
14:57,93,Jalen Dupree made Free Throw.,49,37
14:41,2287,Milik Yarbrough missed Jumper.,49,37
14:41,93,Shaq Buchanan Block.,49,37
14:40,93,Jonathan Stark Defensive Rebound.,49,37
14:31,93,Jonathan Stark Turnover.,49,37
14:26,93,Foul on Ja Morant.,49,37
14:26,2287,Milik Yarbrough missed Free Throw.,49,37
14:26,2287,Illinois State Deadball Team Rebound.,49,37
14:26,2287,Milik Yarbrough missed Free Throw.,49,37
14:26,2287,Taylor Bruninga Offensive Rebound.,49,37
14:21,93,Foul on Jalen Dupree.,49,37
14:13,2287,Foul on Milik Yarbrough.,49,37
14:13,2287,Milik Yarbrough Turnover.,49,37
14:08,93,Foul on Brion Sanchious.,49,37
14:08,93,Brion Sanchious Turnover.,49,37
14:00,2287,William Tinsley missed Three Point Jumper.,49,37
14:00,93,Ja Morant Defensive Rebound.,49,37
13:50,93,Ja Morant Turnover.,49,37
13:49,2287,Jerron Martin Steal.,49,37
13:45,2287,Milik Yarbrough made Layup. Assisted by William Tinsley.,49,39
13:28,93,Ja Morant made Layup.,51,39
12:58,93,Foul on Shaq Buchanan.,51,39
12:58,2287,Milik Yarbrough made Free Throw.,51,40
12:58,2287,Milik Yarbrough made Free Throw.,51,41
12:44,93,Ja Morant missed Layup.,51,41
12:44,2287,Taylor Bruninga Defensive Rebound.,51,41
12:28,2287,William Tinsley missed Three Point Jumper.,51,41
12:28,93,Terrell Miller Jr. Defensive Rebound.,51,41
12:12,93,Byron Hawkins missed Jumper.,51,41
12:12,2287,William Tinsley Defensive Rebound.,51,41
12:07,2287,Madison Williams missed Three Point Jumper.,51,41
12:07,2287,Keyshawn Evans Offensive Rebound.,51,41
12:01,93,Foul on Byron Hawkins.,51,41
11:56,2287,Official TV Timeout,51,41
11:56,2287,Keyshawn Evans made Free Throw.,51,42
11:56,2287,Keyshawn Evans made Free Throw.,51,43
11:42,93,Byron Hawkins missed Three Point Jumper.,51,43
11:42,2287,William Tinsley Block.,51,43
11:39,2287,Taylor Bruninga Defensive Rebound.,51,43
11:35,2287,Keyshawn Evans missed Three Point Jumper.,51,43
11:35,93,Brion Sanchious Defensive Rebound.,51,43
11:17,93,Foul on Anthony Smith.,51,43
11:17,93,Anthony Smith Turnover.,51,43
11:08,2287,Milik Yarbrough made Layup.,51,45
10:50,93,Shaq Buchanan made Layup. Assisted by Ja Morant.,53,45
10:50,2287,Foul on Taylor Bruninga.,53,45
10:44,93,Shaq Buchanan made Free Throw.,54,45
10:21,93,Foul on Shaq Buchanan.,54,45
10:21,2287,Milik Yarbrough made Free Throw.,54,46
10:21,2287,Milik Yarbrough made Free Throw.,54,47
10:01,2287,Foul on Madison Williams.,54,47
10:01,93,Terrell Miller Jr. made Free Throw.,55,47
10:01,93,Terrell Miller Jr. made Free Throw.,56,47
9:50,2287,Keyshawn Evans missed Jumper.,56,47
9:50,93,Jonathan Stark Defensive Rebound.,56,47
9:27,93,Shaq Buchanan made Three Point Jumper. Assisted by Jonathan Stark.,59,47
9:10,2287,William Tinsley made Three Point Jumper. Assisted by Milik Yarbrough.,59,50
8:48,93,Terrell Miller Jr. missed Three Point Jumper.,59,50
8:48,2287,Milik Yarbrough Defensive Rebound.,59,50
8:41,2287,Taylor Bruninga made Three Point Jumper. Assisted by Matt Hein.,59,53
7:57,93,Terrell Miller Jr. made Jumper.,61,53
7:44,93,Foul on Ja Morant.,61,53
7:44,2287,Official TV Timeout,61,53
7:44,2287,Keyshawn Evans made Free Throw.,61,54
7:44,2287,Keyshawn Evans made Free Throw.,61,55
7:27,93,Ja Morant missed Jumper.,61,55
7:27,2287,Taylor Bruninga Defensive Rebound.,61,55
7:25,93,Foul on Ja Morant.,61,55
7:25,2287,Taylor Bruninga made Free Throw.,61,56
7:25,2287,Taylor Bruninga made Free Throw.,61,57
7:08,93,Ja Morant made Layup.,63,57
6:47,2287,Milik Yarbrough made Jumper.,63,59
6:30,93,Jalen Dupree missed Layup.,63,59
6:30,93,Jalen Dupree Offensive Rebound.,63,59
6:28,93,Jalen Dupree made Layup.,65,59
6:27,93,Murray State  Timeout,65,59
6:05,2287,Taylor Bruninga made Three Point Jumper. Assisted by Keyshawn Evans.,65,62
5:36,93,Terrell Miller Jr. missed Three Point Jumper.,65,62
5:36,2287,Keyshawn Evans Defensive Rebound.,65,62
5:15,2287,Milik Yarbrough missed Three Point Jumper.,65,62
5:15,93,Ja Morant Defensive Rebound.,65,62
4:59,93,Jonathan Stark missed Jumper.,65,62
4:59,93,Jalen Dupree Offensive Rebound.,65,62
4:54,93,Jonathan Stark missed Three Point Jumper.,65,62
4:54,2287,Keyshawn Evans Defensive Rebound.,65,62
4:36,2287,Keyshawn Evans Turnover.,65,62
4:08,93,Foul on Jonathan Stark.,65,62
4:08,93,Jonathan Stark Turnover.,65,62
3:58,2287,Madison Williams missed Three Point Jumper.,65,62
3:58,93,Terrell Miller Jr. Defensive Rebound.,65,62
3:34,93,Shaq Buchanan made Three Point Jumper. Assisted by Jonathan Stark.,68,62
3:15,2287,Milik Yarbrough missed Layup.,68,62
3:15,2287,Milik Yarbrough Offensive Rebound.,68,62
3:12,2287,Milik Yarbrough made Jumper.,68,64
3:12,93,Foul on Anthony Smith.,68,64
3:05,2287,Official TV Timeout,68,64
3:05,2287,Milik Yarbrough made Free Throw.,68,65
2:49,93,Terrell Miller Jr. made Layup. Assisted by Ja Morant.,70,65
2:37,2287,William Tinsley made Three Point Jumper. Assisted by Milik Yarbrough.,70,68
2:14,93,Jonathan Stark made Three Point Jumper. Assisted by Shaq Buchanan.,73,68
1:55,93,Foul on Terrell Miller Jr..,73,68
1:49,2287,Milik Yarbrough made Free Throw.,73,69
1:49,2287,Milik Yarbrough made Free Throw.,73,70
1:26,93,Jalen Dupree made Layup. Assisted by Terrell Miller Jr..,75,70
1:20,93,Murray State  Timeout,75,70
1:06,2287,Milik Yarbrough made Jumper.,75,72
0:33,93,Murray State  Turnover.,75,72
0:26,2287,Illinois State  Timeout,75,72
0:23,2287,Keyshawn Evans Turnover.,75,72
0:20,2287,Foul on Madison Williams.,75,72
0:20,93,Ja Morant made Free Throw.,76,72
0:20,93,Ja Morant made Free Throw.,77,72
0:13,2287,Milik Yarbrough missed Layup.,77,72
0:13,93,Terrell Miller Jr. Block.,77,72
0:12,93,Ja Morant Defensive Rebound.,77,72
0:11,2287,Foul on Keyshawn Evans.,77,72
0:11,93,Ja Morant made Free Throw.,78,72
0:11,93,Ja Morant missed Free Throw.,78,72
0:11,2287,Taylor Bruninga Defensive Rebound.,78,72
0:03,2287,Milik Yarbrough missed Layup.,78,72
0:03,93,Ja Morant Defensive Rebound.,78,72
0:00,2287,End of Game,78,72
