Minnesota,8,Arkansas,135
13:58,8,Daryl Macon missed Three Point Jumper.,14,19
13:58,135,Gaston Diedhiou Defensive Rebound.,14,19
13:45,135,Jordan Murphy Turnover.,14,19
13:23,8,Anton Beard made Three Point Jumper.,14,22
13:17,8,Foul on Darious Hall.,14,22
13:05,135,Isaiah Washington missed Three Point Jumper.,14,22
13:05,8,Anton Beard Defensive Rebound.,14,22
12:44,8,C.J. Jones made Three Point Jumper. Assisted by Anton Beard.,14,25
12:42,135,Minnesota  Timeout,14,25
12:16,135,Jordan Murphy missed Jumper.,14,25
12:16,135,Jordan Murphy Offensive Rebound.,14,25
12:10,135,Jordan Murphy made Two Point Tip Shot.,16,25
11:52,8,Darious Hall made Jumper.,16,27
11:40,8,Foul on C.J. Jones.,16,27
11:40,8,Official TV Timeout,16,27
11:31,135,Isaiah Washington made Jumper.,18,27
11:05,8,C.J. Jones missed Three Point Jumper.,18,27
11:05,135,Isaiah Washington Defensive Rebound.,18,27
10:46,8,Foul on Darious Hall.,18,27
10:38,135,Isaiah Washington made Layup.,20,27
10:22,8,C.J. Jones made Three Point Jumper. Assisted by Daryl Macon.,20,30
10:04,135,Davonte Fitzgerald missed Three Point Jumper.,20,30
10:04,135,Minnesota Offensive Rebound.,20,30
9:54,135,Isaiah Washington missed Three Point Jumper.,20,30
9:54,8,Daniel Gafford Defensive Rebound.,20,30
9:45,8,C.J. Jones made Three Point Jumper. Assisted by Jaylen Barford.,20,33
9:37,135,Jordan Murphy made Layup.,22,33
9:37,8,Foul on Daryl Macon.,22,33
9:37,135,Isaiah Washington made Free Throw.,23,33
9:27,8,Daryl Macon missed Three Point Jumper.,23,33
9:27,135,Jordan Murphy Defensive Rebound.,23,33
9:11,135,Dupree McBrayer missed Three Point Jumper.,23,33
9:11,8,Daryl Macon Defensive Rebound.,23,33
9:03,8,C.J. Jones missed Three Point Jumper.,23,33
9:03,8,Daniel Gafford Offensive Rebound.,23,33
9:01,135,Foul on Gaston Diedhiou.,23,33
8:43,8,Jaylen Barford missed Three Point Jumper.,23,33
8:43,135,Amir Coffey Defensive Rebound.,23,33
8:23,135,Amir Coffey missed Jumper.,23,33
8:23,8,Daniel Gafford Defensive Rebound.,23,33
8:03,8,Daniel Gafford made Dunk. Assisted by Daryl Macon.,23,35
7:54,135,Isaiah Washington missed Jumper.,23,35
7:54,135,Minnesota Deadball Team Rebound.,23,35
7:53,8,Foul on Jaylen Barford.,23,35
7:53,8,Official TV Timeout,23,35
7:44,8,Foul on Daniel Gafford.,23,35
7:44,135,Jordan Murphy made Free Throw.,24,35
7:44,135,Jordan Murphy made Free Throw.,25,35
7:27,8,Daniel Gafford made Jumper. Assisted by Anton Beard.,25,37
7:02,135,Jordan Murphy missed Jumper.,25,37
7:02,135,Gaston Diedhiou Offensive Rebound.,25,37
7:00,135,Gaston Diedhiou made Layup.,27,37
6:43,8,Daniel Gafford made Layup.,27,39
6:17,135,Nate Mason made Three Point Jumper.,30,39
5:57,8,Anton Beard made Layup. Assisted by Jaylen Barford.,30,41
5:36,135,Nate Mason missed Three Point Jumper.,30,41
5:36,135,Dupree McBrayer Offensive Rebound.,30,41
5:32,8,Foul on Anton Beard.,30,41
5:32,135,Amir Coffey missed Free Throw.,30,41
5:32,135,Minnesota Deadball Team Rebound.,30,41
5:32,135,Amir Coffey made Free Throw.,31,41
5:24,8,Jaylen Barford made Layup. Assisted by Daryl Macon.,31,43
5:14,135,Jordan Murphy Turnover.,31,43
5:13,8,Daryl Macon Steal.,31,43
5:09,8,Daryl Macon Turnover.,31,43
5:08,135,Nate Mason Steal.,31,43
5:07,135,Amir Coffey made Layup. Assisted by Nate Mason.,33,43
5:05,8,Foul on Dustin Thomas.,33,43
5:05,135,Amir Coffey made Free Throw.,34,43
5:02,8,Daniel Gafford made Layup.,34,45
4:30,135,Jordan Murphy made Layup. Assisted by Nate Mason.,36,45
4:07,8,Adrio Bailey missed Jumper.,36,45
4:07,135,Jordan Murphy Defensive Rebound.,36,45
3:58,8,Foul on Adrio Bailey.,36,45
3:58,8,Official TV Timeout,36,45
3:58,135,Jordan Murphy missed Free Throw.,36,45
3:58,135,Minnesota Deadball Team Rebound.,36,45
3:58,135,Jordan Murphy missed Free Throw.,36,45
3:58,8,Anton Beard Defensive Rebound.,36,45
3:44,8,Trey Thompson Turnover.,36,45
3:17,135,Dupree McBrayer made Three Point Jumper. Assisted by Nate Mason.,39,45
3:03,135,Foul on Davonte Fitzgerald.,39,45
2:49,8,Adrio Bailey missed Jumper.,39,45
2:49,135,Nate Mason Defensive Rebound.,39,45
2:36,135,Jordan Murphy missed Jumper.,39,45
2:36,8,Jaylen Barford Block.,39,45
2:35,135,Minnesota Offensive Rebound.,39,45
2:30,8,Foul on Adrio Bailey.,39,45
2:30,135,Nate Mason missed Free Throw.,39,45
2:30,135,Minnesota Deadball Team Rebound.,39,45
2:30,135,Nate Mason made Free Throw.,40,45
2:17,135,Foul on Davonte Fitzgerald.,40,45
2:05,8,Anton Beard Turnover.,40,45
1:37,135,Jordan Murphy missed Jumper.,40,45
1:37,8,Daniel Gafford Block.,40,45
1:35,135,Jordan Murphy Offensive Rebound.,40,45
1:31,135,Nate Mason missed Three Point Jumper.,40,45
1:31,8,Jaylen Barford Defensive Rebound.,40,45
1:22,8,Anton Beard missed Jumper.,40,45
1:22,8,Daniel Gafford Offensive Rebound.,40,45
1:21,8,Daniel Gafford made Jumper.,40,47
1:20,135,Foul on Jordan Murphy.,40,47
1:20,8,Daniel Gafford missed Free Throw.,40,47
1:20,135,Jordan Murphy Defensive Rebound.,40,47
1:15,8,Foul on Daniel Gafford.,40,47
1:15,135,Dupree McBrayer missed Free Throw.,40,47
1:15,135,Minnesota Deadball Team Rebound.,40,47
1:15,135,Dupree McBrayer missed Free Throw.,40,47
1:15,8,Trey Thompson Defensive Rebound.,40,47
0:55,8,Anton Beard made Layup.,40,49
0:29,8,Foul on C.J. Jones.,40,49
0:29,135,Jordan Murphy made Free Throw.,41,49
0:29,135,Jordan Murphy made Free Throw.,42,49
0:04,135,Foul on Nate Mason.,42,49
0:04,8,Anton Beard made Free Throw.,42,50
0:04,8,Anton Beard missed Free Throw.,42,50
0:04,135,Jordan Murphy Defensive Rebound.,42,50
0:01,135,Isaiah Washington missed Jumper.,42,50
0:00,8,Arkansas Deadball Team Rebound.,42,50
0:00,8,End of 1st half,42,50
19:44,135,Foul on Reggie Lynch.,42,50
19:44,135,Reggie Lynch Turnover.,42,50
19:22,8,Jaylen Barford missed Jumper.,42,50
19:22,135,Nate Mason Defensive Rebound.,42,50
19:08,135,Jordan Murphy made Jumper.,44,50
19:08,8,Foul on Dustin Thomas.,44,50
19:08,135,Jordan Murphy missed Free Throw.,44,50
19:08,8,Daniel Gafford Defensive Rebound.,44,50
18:56,8,Jaylen Barford missed Three Point Jumper.,44,50
18:56,8,Arkansas Deadball Team Rebound.,44,50
18:55,135,Foul on Jordan Murphy.,44,50
18:53,8,Daryl Macon made Jumper. Assisted by Anton Beard.,44,52
18:42,8,Foul on Daniel Gafford.,44,52
18:42,135,Gaston Diedhiou missed Free Throw.,44,52
18:42,135,Minnesota Deadball Team Rebound.,44,52
18:42,135,Gaston Diedhiou made Free Throw.,45,52
18:31,8,Daryl Macon missed Three Point Jumper.,45,52
18:31,8,Adrio Bailey Offensive Rebound.,45,52
18:28,8,Adrio Bailey made Layup.,45,54
18:19,8,Foul on Trey Thompson.,45,54
18:19,135,Gaston Diedhiou missed Free Throw.,45,54
18:19,135,Minnesota Deadball Team Rebound.,45,54
18:19,135,Gaston Diedhiou made Free Throw.,46,54
17:58,8,Trey Thompson missed Jumper.,46,54
17:58,135,Amir Coffey Defensive Rebound.,46,54
17:53,135,Nate Mason Turnover.,46,54
17:52,8,Trey Thompson Steal.,46,54
17:42,8,Anton Beard missed Jumper.,46,54
17:42,135,Dupree McBrayer Block.,46,54
17:39,135,Dupree McBrayer Defensive Rebound.,46,54
17:35,135,Amir Coffey made Dunk. Assisted by Gaston Diedhiou.,48,54
17:23,135,Foul on Amir Coffey.,48,54
17:17,8,Daryl Macon missed Jumper.,48,54
17:17,8,Trey Thompson Offensive Rebound.,48,54
17:11,8,Anton Beard made Layup. Assisted by Trey Thompson.,48,56
16:36,135,Nate Mason missed Three Point Jumper.,48,56
16:36,8,Trey Thompson Defensive Rebound.,48,56
16:24,8,Jaylen Barford made Layup. Assisted by Anton Beard.,48,58
16:15,135,Minnesota  Timeout,48,58
16:01,135,Dupree McBrayer missed Three Point Jumper.,48,58
16:01,8,Jaylen Barford Defensive Rebound.,48,58
15:50,8,Daryl Macon missed Jumper.,48,58
15:50,135,Gaston Diedhiou Defensive Rebound.,48,58
15:40,135,Nate Mason missed Jumper.,48,58
15:40,8,Adrio Bailey Defensive Rebound.,48,58
15:36,8,Official TV Timeout,48,58
15:26,8,Daryl Macon Turnover.,48,58
15:00,135,Dupree McBrayer Turnover.,48,58
14:37,8,Daryl Macon made Jumper.,48,60
14:31,135,Gaston Diedhiou made Dunk. Assisted by Jordan Murphy.,50,60
14:04,8,Adrio Bailey missed Jumper.,50,60
14:04,135,Isaiah Washington Defensive Rebound.,50,60
13:58,8,Foul on Anton Beard.,50,60
13:58,135,Amir Coffey made Free Throw.,51,60
13:58,135,Amir Coffey made Free Throw.,52,60
13:51,135,Foul on Isaiah Washington.,52,60
13:36,8,C.J. Jones made Three Point Jumper. Assisted by Trey Thompson.,52,63
13:20,135,Isaiah Washington missed Jumper.,52,63
13:20,8,C.J. Jones Defensive Rebound.,52,63
13:19,135,Foul on Reggie Lynch.,52,63
13:10,8,C.J. Jones Turnover.,52,63
13:06,135,Jordan Murphy made Dunk. Assisted by Nate Mason.,54,63
12:54,135,Foul on Jordan Murphy.,54,63
12:47,8,Anton Beard missed Three Point Jumper.,54,63
12:47,8,Trey Thompson Offensive Rebound.,54,63
12:44,8,Trey Thompson made Layup.,54,65
12:22,135,Davonte Fitzgerald missed Jumper.,54,65
12:22,8,Darious Hall Defensive Rebound.,54,65
11:58,8,Trey Thompson missed Jumper.,54,65
11:56,135,Michael Hurt Defensive Rebound.,54,65
11:55,8,Foul on Adrio Bailey.,54,65
11:55,8,Official TV Timeout,54,65
11:48,135,Davonte Fitzgerald missed Jumper.,54,65
11:47,8,Daniel Gafford Block.,54,65
11:46,8,Arlando Cook Defensive Rebound.,54,65
11:34,8,Jaylen Barford made Layup.,54,67
11:12,135,Davonte Fitzgerald missed Jumper.,54,67
11:12,135,Minnesota Offensive Rebound.,54,67
11:07,135,Michael Hurt missed Three Point Jumper.,54,67
11:07,8,Darious Hall Defensive Rebound.,54,67
10:41,8,C.J. Jones made Three Point Jumper. Assisted by Daniel Gafford.,54,70
10:30,8,Foul on Arlando Cook.,54,70
10:26,135,Nate Mason missed Jumper.,54,70
10:26,8,Daniel Gafford Block.,54,70
10:26,135,Minnesota Offensive Rebound.,54,70
10:11,135,Amir Coffey missed Three Point Jumper.,54,70
10:11,8,Daniel Gafford Defensive Rebound.,54,70
10:02,8,Jaylen Barford missed Jumper.,54,70
10:02,8,Arlando Cook Offensive Rebound.,54,70
9:57,8,Arlando Cook made Layup.,54,72
9:50,135,Minnesota  Timeout,54,72
9:46,8,Foul on C.J. Jones.,54,72
9:46,135,Nate Mason made Free Throw.,55,72
9:46,135,Nate Mason made Free Throw.,56,72
9:32,135,Foul on Jordan Murphy.,56,72
9:32,8,Daniel Gafford missed Free Throw.,56,72
9:32,8,Arkansas Deadball Team Rebound.,56,72
9:32,8,Daniel Gafford missed Free Throw.,56,72
9:32,135,Michael Hurt Defensive Rebound.,56,72
9:31,8,Foul on Arlando Cook.,56,72
9:31,135,Michael Hurt missed Free Throw.,56,72
9:31,8,Daniel Gafford Defensive Rebound.,56,72
9:16,8,Daryl Macon missed Three Point Jumper.,56,72
9:16,135,Amir Coffey Defensive Rebound.,56,72
9:10,135,Nate Mason missed Three Point Jumper.,56,72
9:10,8,Jaylen Barford Defensive Rebound.,56,72
8:57,8,Darious Hall missed Jumper.,56,72
8:57,135,Nate Mason Defensive Rebound.,56,72
8:52,135,Amir Coffey made Layup. Assisted by Nate Mason.,58,72
8:44,8,Arkansas  Timeout,58,72
8:32,8,Jaylen Barford missed Three Point Jumper.,58,72
8:32,135,Michael Hurt Defensive Rebound.,58,72
8:22,135,Nate Mason Turnover.,58,72
8:22,8,Trey Thompson Steal.,58,72
8:17,135,Foul on Gaston Diedhiou.,58,72
8:17,8,Arlando Cook made Free Throw.,58,73
8:17,8,Arlando Cook made Free Throw.,58,74
8:09,135,Amir Coffey Turnover.,58,74
8:06,8,Arlando Cook Steal.,58,74
7:59,8,Jaylen Barford made Three Point Jumper. Assisted by Anton Beard.,58,77
7:28,8,Foul on Trey Thompson.,58,77
7:28,8,Official TV Timeout,58,77
7:28,135,Jordan Murphy made Free Throw.,59,77
7:28,135,Jordan Murphy missed Free Throw.,59,77
7:28,8,Trey Thompson Defensive Rebound.,59,77
7:06,8,Anton Beard Turnover.,59,77
7:06,135,Dupree McBrayer Steal.,59,77
7:04,135,Amir Coffey made Layup.,61,77
7:04,8,Foul on Daryl Macon.,61,77
7:04,135,Amir Coffey made Free Throw.,62,77
6:54,8,Jaylen Barford made Jumper.,62,79
6:47,8,Foul on Trey Thompson.,62,79
6:47,135,Nate Mason made Free Throw.,63,79
6:47,135,Nate Mason made Free Throw.,64,79
6:36,135,Foul on Dupree McBrayer.,64,79
6:36,8,Daryl Macon missed Free Throw.,64,79
6:36,135,Reggie Lynch Defensive Rebound.,64,79
6:23,135,Jordan Murphy missed Jumper.,64,79
6:23,8,Trey Thompson Block.,64,79
6:20,8,Jaylen Barford Defensive Rebound.,64,79
6:16,8,Anton Beard missed Three Point Jumper.,64,79
6:16,8,Arkansas Offensive Rebound.,64,79
6:10,135,Foul on Dupree McBrayer.,64,79
6:10,8,Daryl Macon made Free Throw.,64,80
6:10,8,Daryl Macon made Free Throw.,64,81
5:53,8,Foul on Trey Thompson.,64,81
5:53,135,Reggie Lynch missed Free Throw.,64,81
5:53,135,Minnesota Deadball Team Rebound.,64,81
5:53,135,Reggie Lynch made Free Throw.,65,81
5:28,8,Daniel Gafford Turnover.,65,81
5:27,135,Reggie Lynch Steal.,65,81
5:25,135,Nate Mason missed Three Point Jumper.,65,81
5:25,135,Jordan Murphy Offensive Rebound.,65,81
5:24,8,Foul on Daniel Gafford.,65,81
5:24,135,Jordan Murphy missed Free Throw.,65,81
5:24,135,Minnesota Deadball Team Rebound.,65,81
5:24,135,Jordan Murphy made Free Throw.,66,81
5:07,8,Anton Beard missed Jumper.,66,81
5:07,8,Arkansas Offensive Rebound.,66,81
4:54,8,Daryl Macon made Three Point Jumper.,66,84
4:31,135,Amir Coffey missed Jumper.,66,84
4:31,8,Daniel Gafford Block.,66,84
4:30,135,Nate Mason Offensive Rebound.,66,84
4:22,135,Isaiah Washington missed Jumper.,66,84
4:22,8,Daniel Gafford Block.,66,84
4:22,135,Minnesota Offensive Rebound.,66,84
4:20,135,Nate Mason missed Three Point Jumper.,66,84
4:20,8,Dustin Thomas Defensive Rebound.,66,84
4:13,8,Jaylen Barford missed Jumper.,66,84
4:13,135,Reggie Lynch Block.,66,84
4:11,135,Isaiah Washington Defensive Rebound.,66,84
4:08,135,Amir Coffey made Dunk. Assisted by Isaiah Washington.,68,84
3:37,8,Daryl Macon missed Three Point Jumper.,68,84
3:37,135,Jordan Murphy Defensive Rebound.,68,84
3:31,8,Foul on Anton Beard.,68,84
3:31,8,Official TV Timeout,68,84
3:31,135,Nate Mason made Free Throw.,69,84
3:31,135,Nate Mason made Free Throw.,70,84
3:03,8,Jaylen Barford made Jumper.,70,86
2:52,135,Isaiah Washington made Layup.,72,86
2:40,8,Daniel Gafford made Dunk. Assisted by Anton Beard.,72,88
2:19,135,Amir Coffey missed Jumper.,72,88
2:19,8,Dustin Thomas Defensive Rebound.,72,88
2:09,8,Daryl Macon made Three Point Jumper.,72,91
1:37,135,Jordan Murphy made Jumper.,74,91
1:36,135,Minnesota  Timeout,74,91
1:27,135,Foul on Nate Mason.,74,91
1:27,8,Jaylen Barford made Free Throw.,74,92
1:27,8,Jaylen Barford made Free Throw.,74,93
1:16,135,Isaiah Washington missed Jumper.,74,93
1:16,135,Reggie Lynch Offensive Rebound.,74,93
1:13,135,Reggie Lynch made Two Point Tip Shot.,76,93
0:47,8,Daniel Gafford made Dunk. Assisted by Daryl Macon.,76,95
0:36,135,Reggie Lynch missed Jumper.,76,95
0:36,8,Daniel Gafford Block.,76,95
0:35,135,Amir Coffey Offensive Rebound.,76,95
0:33,135,Amir Coffey made Three Point Jumper.,79,95
0:01,8,Arkansas  Turnover.,79,95
0:00,8,End of Game,79,95
