Southern Utah,127,Michigan State,253
4:52,253,Jacob Calloway Steal.,20,31
4:47,253,Brandon Better missed Three Point Jumper.,20,31
4:47,127,Miles Bridges Block.,20,31
4:47,127,Jaren Jackson Jr. Defensive Rebound.,20,31
4:39,127,Miles Bridges missed Jumper.,20,31
4:39,253,Jacob Calloway Defensive Rebound.,20,31
4:32,253,Brandon Better missed Three Point Jumper.,20,31
4:32,127,Miles Bridges Defensive Rebound.,20,31
4:25,253,Foul on Christian Musoko.,20,31
4:25,127,Xavier Tillman made Free Throw.,20,32
4:25,127,Xavier Tillman missed Free Throw.,20,32
4:25,253,Jadon Cohee Defensive Rebound.,20,32
3:59,253,Jacob Calloway made Three Point Jumper. Assisted by Jadon Cohee.,23,32
3:43,127,Jaren Jackson Jr. missed Three Point Jumper.,23,32
3:43,253,Dre Marin Defensive Rebound.,23,32
3:42,127,Foul on Xavier Tillman.,23,32
3:42,127,Official TV Timeout,23,32
3:24,253,Jacob Calloway missed Three Point Jumper.,23,32
3:24,127,Cassius Winston Defensive Rebound.,23,32
3:14,127,Cassius Winston made Three Point Jumper. Assisted by Lourawls Nairn Jr..,23,35
2:50,253,Jacob Calloway missed Jumper.,23,35
2:50,127,Jaren Jackson Jr. Block.,23,35
2:50,127,Nick Ward Defensive Rebound.,23,35
2:44,253,Foul on James McGee.,23,35
2:44,127,Jaren Jackson Jr. missed Free Throw.,23,35
2:44,253,Christian Musoko Defensive Rebound.,23,35
2:18,253,Dre Marin Turnover.,23,35
2:18,127,Jaren Jackson Jr. Steal.,23,35
1:45,127,Nick Ward made Three Point Jumper.,23,38
1:24,253,Christian Musoko made Jumper. Assisted by James McGee.,25,38
1:11,127,Joshua Langford made Jumper. Assisted by Cassius Winston.,25,40
1:08,127,Technical Foul on Nick Ward.,25,40
1:08,127,Foul on Nick Ward.,25,40
1:08,253,Jadon Cohee made Free Throw.,26,40
1:08,253,Jadon Cohee made Free Throw.,27,40
0:38,253,Dre Marin made Three Point Jumper. Assisted by Jadon Cohee.,30,40
0:16,127,Michigan State  Timeout,30,40
0:10,127,Kenny Goins missed Jumper.,30,40
0:10,127,Kenny Goins Offensive Rebound.,30,40
0:03,253,Foul on Christian Musoko.,30,40
0:03,127,Gavin Schilling made Free Throw.,30,41
0:03,127,Gavin Schilling made Free Throw.,30,42
0:00,127,End of 1st half,30,42
20:00,127,Jump Ball won by Michigan State,30,42
19:45,127,Cassius Winston missed Three Point Jumper.,30,42
19:45,127,Jaren Jackson Jr. Offensive Rebound.,30,42
19:40,253,Foul on James McGee.,30,42
19:40,127,Jaren Jackson Jr. made Free Throw.,30,43
19:40,127,Jaren Jackson Jr. made Free Throw.,30,44
19:27,253,Jacob Calloway made Three Point Jumper. Assisted by Dre Marin.,33,44
18:57,127,Foul on Jaren Jackson Jr..,33,44
18:57,127,Jaren Jackson Jr. Turnover.,33,44
18:33,253,Dre Marin missed Three Point Jumper.,33,44
18:33,253,Jacob Calloway Offensive Rebound.,33,44
18:21,253,Dre Marin missed Three Point Jumper.,33,44
18:21,127,Jaren Jackson Jr. Defensive Rebound.,33,44
18:14,127,Nick Ward made Layup. Assisted by Miles Bridges.,33,46
17:54,253,Jamal Aytes missed Jumper.,33,46
17:54,127,Nick Ward Block.,33,46
17:54,127,Nick Ward Defensive Rebound.,33,46
17:50,253,Foul on Jamal Aytes.,33,46
17:39,127,Joshua Langford Turnover.,33,46
17:39,253,Jacob Calloway Steal.,33,46
17:28,253,James McGee made Three Point Jumper. Assisted by Dre Marin.,36,46
17:18,127,Nick Ward made Dunk. Assisted by Joshua Langford.,36,48
16:41,253,Jacob Calloway missed Layup.,36,48
16:41,127,Miles Bridges Defensive Rebound.,36,48
16:36,127,Miles Bridges made Layup. Assisted by Cassius Winston.,36,50
16:24,253,Jadon Cohee made Three Point Jumper. Assisted by Jacob Calloway.,39,50
16:07,253,Foul on Jacob Calloway.,39,50
16:07,127,Nick Ward made Free Throw.,39,51
16:07,127,Nick Ward missed Free Throw.,39,51
16:07,253,Jadon Cohee Defensive Rebound.,39,51
15:58,253,Dre Marin missed Layup.,39,51
15:58,127,Nick Ward Block.,39,51
15:58,253,Ivan Madunic Offensive Rebound.,39,51
15:53,253,Ivan Madunic made Layup.,41,51
15:49,253,Foul on James McGee.,41,51
15:49,127,Official TV Timeout,41,51
15:49,127,Nick Ward missed Free Throw.,41,51
15:49,127,Michigan State Deadball Team Rebound.,41,51
15:49,127,Nick Ward missed Free Throw.,41,51
15:49,253,Jadon Cohee Defensive Rebound.,41,51
15:18,253,Brandon Better missed Jumper.,41,51
15:18,127,Jaren Jackson Jr. Defensive Rebound.,41,51
15:13,127,Nick Ward made Layup. Assisted by Miles Bridges.,41,53
15:13,253,Foul on Dre Marin.,41,53
15:13,127,Nick Ward made Free Throw.,41,54
14:58,253,Jamal Aytes missed Jumper.,41,54
14:58,127,Jaren Jackson Jr. Block.,41,54
14:58,127,Jaren Jackson Jr. Defensive Rebound.,41,54
14:50,253,Foul on James McGee.,41,54
14:44,127,Miles Bridges Turnover.,41,54
14:44,253,Jamal Aytes Steal.,41,54
14:33,253,Brandon Better missed Three Point Jumper.,41,54
14:33,253,Jamal Aytes Offensive Rebound.,41,54
14:32,127,Foul on Gavin Schilling.,41,54
14:32,253,Jamal Aytes missed Free Throw.,41,54
14:32,253,Southern Utah Deadball Team Rebound.,41,54
14:32,253,Jamal Aytes made Free Throw.,42,54
14:27,127,Matt McQuaid missed Three Point Jumper.,42,54
14:27,127,Miles Bridges Offensive Rebound.,42,54
14:21,127,Miles Bridges missed Jumper.,42,54
14:21,253,Jamal Aytes Defensive Rebound.,42,54
14:08,127,Foul on Gavin Schilling.,42,54
14:08,253,Christian Musoko made Free Throw.,43,54
14:08,253,Christian Musoko made Free Throw.,44,54
13:59,127,Matt McQuaid missed Three Point Jumper.,44,54
13:59,253,Southern Utah Defensive Rebound.,44,54
13:34,253,Ivan Madunic made Three Point Jumper. Assisted by Dre Marin.,47,54
13:07,253,Foul on Christian Musoko.,47,54
13:07,127,Jaren Jackson Jr. made Free Throw.,47,55
13:07,127,Jaren Jackson Jr. made Free Throw.,47,56
12:49,127,Foul on Gavin Schilling.,47,56
12:49,253,Dre Marin missed Free Throw.,47,56
12:49,253,Southern Utah Deadball Team Rebound.,47,56
12:49,253,Dre Marin made Free Throw.,48,56
12:44,253,Foul on Jamal Aytes.,48,56
12:44,127,Nick Ward missed Free Throw.,48,56
12:44,253,Ivan Madunic Defensive Rebound.,48,56
12:21,253,Jacob Calloway made Three Point Jumper. Assisted by Dre Marin.,51,56
12:06,253,Foul on Ivan Madunic.,51,56
12:06,127,Nick Ward missed Free Throw.,51,56
12:06,253,Ivan Madunic Defensive Rebound.,51,56
11:41,253,Ivan Madunic Turnover.,51,56
11:41,127,Official TV Timeout,51,56
11:32,127,Miles Bridges missed Layup.,51,56
11:32,127,Miles Bridges Offensive Rebound.,51,56
11:30,253,Foul on Jadon Cohee.,51,56
11:30,127,Miles Bridges made Free Throw.,51,57
11:30,127,Miles Bridges made Free Throw.,51,58
11:15,253,Brandon Better Turnover.,51,58
11:15,127,Miles Bridges Steal.,51,58
11:09,127,Miles Bridges missed Layup.,51,58
11:09,253,Jacob Calloway Defensive Rebound.,51,58
11:04,127,Foul on Kenny Goins.,51,58
11:04,253,Dre Marin made Free Throw.,52,58
11:04,253,Dre Marin made Free Throw.,53,58
10:46,127,Miles Bridges made Jumper.,53,60
10:17,253,Brandon Better missed Layup.,53,60
10:17,127,Jaren Jackson Jr. Block.,53,60
10:17,127,Jaren Jackson Jr. Defensive Rebound.,53,60
10:04,127,Miles Bridges made Layup.,53,62
9:46,253,Dre Marin missed Three Point Jumper.,53,62
9:46,127,Jaren Jackson Jr. Defensive Rebound.,53,62
9:34,127,Miles Bridges missed Jumper.,53,62
9:34,127,Kenny Goins Offensive Rebound.,53,62
9:30,253,Foul on Jacob Calloway.,53,62
9:30,127,Kenny Goins missed Free Throw.,53,62
9:30,127,Michigan State Deadball Team Rebound.,53,62
9:30,127,Kenny Goins made Free Throw.,53,63
9:11,253,Jadon Cohee made Jumper.,55,63
9:02,127,Miles Bridges missed Three Point Jumper.,55,63
9:02,253,Christian Musoko Defensive Rebound.,55,63
8:52,253,Brandon Better missed Three Point Jumper.,55,63
8:52,253,Jacob Calloway Offensive Rebound.,55,63
8:48,127,Foul on Jaren Jackson Jr..,55,63
8:48,253,Dre Marin missed Free Throw.,55,63
8:48,253,Southern Utah Deadball Team Rebound.,55,63
8:48,253,Dre Marin made Free Throw.,56,63
8:21,127,Jaren Jackson Jr. made Layup. Assisted by Cassius Winston.,56,65
8:21,253,Foul on Jadon Cohee.,56,65
8:21,127,Jaren Jackson Jr. made Free Throw.,56,66
8:08,253,Brandon Better made Layup.,58,66
7:54,127,Miles Bridges missed Three Point Jumper.,58,66
7:54,127,Jaren Jackson Jr. Offensive Rebound.,58,66
7:47,127,Jaren Jackson Jr. missed Layup.,58,66
7:47,127,Jaren Jackson Jr. Offensive Rebound.,58,66
7:44,127,Jaren Jackson Jr. missed Layup.,58,66
7:44,127,Jaren Jackson Jr. Offensive Rebound.,58,66
7:43,253,Foul on Jacob Calloway.,58,66
7:43,127,Official TV Timeout,58,66
7:43,127,Jaren Jackson Jr. made Free Throw.,58,67
7:43,127,Jaren Jackson Jr. made Free Throw.,58,68
7:20,253,Christian Musoko missed Jumper.,58,68
7:20,127,Jaren Jackson Jr. Defensive Rebound.,58,68
7:10,127,Miles Bridges made Layup. Assisted by Joshua Langford.,58,70
6:58,127,Foul on Cassius Winston.,58,70
6:58,253,Brandon Better missed Free Throw.,58,70
6:58,127,Miles Bridges Defensive Rebound.,58,70
6:52,127,Lourawls Nairn Jr. missed Layup.,58,70
6:52,253,Ivan Madunic Defensive Rebound.,58,70
6:38,253,Jamal Aytes missed Layup.,58,70
6:38,127,Miles Bridges Block.,58,70
6:38,253,Ivan Madunic Offensive Rebound.,58,70
6:34,253,Ivan Madunic missed Layup.,58,70
6:34,127,Nick Ward Defensive Rebound.,58,70
6:28,127,Joshua Langford missed Three Point Jumper.,58,70
6:28,127,Nick Ward Offensive Rebound.,58,70
6:25,127,Nick Ward made Layup.,58,72
6:02,253,Brandon Better missed Jumper.,58,72
6:02,127,Joshua Langford Defensive Rebound.,58,72
5:49,253,Foul on Ivan Madunic.,58,72
5:49,127,Nick Ward made Free Throw.,58,73
5:49,127,Nick Ward made Free Throw.,58,74
5:25,253,Dre Marin missed Three Point Jumper.,58,74
5:25,253,Ivan Madunic Offensive Rebound.,58,74
5:23,253,Ivan Madunic made Layup.,60,74
5:23,127,Foul on Matt McQuaid.,60,74
5:23,253,Ivan Madunic missed Free Throw.,60,74
5:23,127,Nick Ward Defensive Rebound.,60,74
5:16,127,Cassius Winston made Three Point Jumper. Assisted by Miles Bridges.,60,77
4:57,253,Brandon Better Turnover.,60,77
4:57,127,Cassius Winston Steal.,60,77
4:51,127,Cassius Winston missed Layup.,60,77
4:51,127,Nick Ward Offensive Rebound.,60,77
4:42,127,Miles Bridges made Layup. Assisted by Matt McQuaid.,60,79
4:13,253,Jadon Cohee missed Jumper.,60,79
4:13,253,Ivan Madunic Offensive Rebound.,60,79
4:12,253,Jump Ball won by Southern Utah,60,79
4:07,253,Dre Marin Turnover.,60,79
4:07,127,Matt McQuaid Steal.,60,79
4:02,127,Matt McQuaid Turnover.,60,79
4:02,253,Dre Marin Steal.,60,79
3:58,127,Foul on Lourawls Nairn Jr..,60,79
3:58,127,Official TV Timeout,60,79
3:58,253,Dre Marin missed Free Throw.,60,79
3:58,253,Southern Utah Deadball Team Rebound.,60,79
3:58,253,Dre Marin made Free Throw.,61,79
3:43,127,Cassius Winston made Three Point Jumper. Assisted by Jaren Jackson Jr..,61,82
3:22,253,Dre Marin missed Layup.,61,82
3:22,127,Kenny Goins Block.,61,82
3:22,253,Christian Musoko Offensive Rebound.,61,82
3:20,253,Christian Musoko missed Layup.,61,82
3:20,127,Jaren Jackson Jr. Block.,61,82
3:20,127,Cassius Winston Defensive Rebound.,61,82
3:15,127,Joshua Langford missed Jumper.,61,82
3:15,253,James McGee Defensive Rebound.,61,82
2:58,253,Jadon Cohee missed Layup.,61,82
2:58,127,Cassius Winston Defensive Rebound.,61,82
2:52,127,Michigan State  Timeout,61,82
2:52,127,Official TV Timeout,61,82
2:43,253,Foul on Christian Musoko.,61,82
2:43,127,Jaren Jackson Jr. made Free Throw.,61,83
2:43,127,Jaren Jackson Jr. made Free Throw.,61,84
2:26,253,Jacob Calloway missed Three Point Jumper.,61,84
2:26,127,Xavier Tillman Defensive Rebound.,61,84
2:15,127,Gavin Schilling made Layup. Assisted by Matt McQuaid.,61,86
1:57,253,Brandon Better made Layup. Assisted by James McGee.,63,86
1:51,127,Michigan State  Timeout,63,86
1:42,127,Matt McQuaid missed Three Point Jumper.,63,86
1:42,253,Dre Marin Defensive Rebound.,63,86
1:31,253,Jadon Cohee missed Jumper.,63,86
1:31,253,Jacob Calloway Offensive Rebound.,63,86
1:29,253,Jacob Calloway Turnover.,63,86
1:29,127,Conner George Steal.,63,86
1:29,127,Jump Ball won by Michigan State,63,86
1:00,127,Matt McQuaid missed Layup.,63,86
1:00,253,Southern Utah Defensive Rebound.,63,86
0:48,253,Brandon Better missed Layup.,63,86
0:48,127,Xavier Tillman Defensive Rebound.,63,86
0:24,127,Xavier Tillman made Dunk. Assisted by Gavin Schilling.,63,88
0:09,253,Joel Swallow missed Layup.,63,88
0:09,253,Dre Marin Offensive Rebound.,63,88
0:00,127,End of Game,63,88
