Rice,2617,Stephen F. Austin,242
12:52,242,Tim Harrison Turnover.,6,10
12:36,2617,Leon Gilmore III missed Layup.,6,10
12:36,2617,Leon Gilmore III Offensive Rebound.,6,10
12:35,242,Foul on Malik Osborne.,6,10
12:35,2617,Leon Gilmore III made Free Throw.,6,11
12:35,2617,Leon Gilmore III made Free Throw.,6,12
12:23,242,Bishop Mency missed Three Point Jumper.,6,12
12:23,242,Malik Osborne Offensive Rebound.,6,12
12:18,242,Malik Osborne Turnover.,6,12
12:16,2617,Nathan Bain Steal.,6,12
12:10,2617,Kevon Harris missed Three Point Jumper.,6,12
12:10,2617,Shannon Bogues Offensive Rebound.,6,12
12:05,2617,Shannon Bogues made Layup.,6,14
11:42,2617,Foul on Ty Charles.,6,14
11:42,242,Miles Lester made Free Throw.,7,14
11:42,242,Miles Lester made Free Throw.,8,14
11:31,2617,Leon Gilmore III missed Layup.,8,14
11:31,242,Malik Osborne Defensive Rebound.,8,14
11:28,2617,Foul on Leon Gilmore III.,8,14
11:28,242,Malik Osborne missed Free Throw.,8,14
11:28,2617,TJ Holyfield Defensive Rebound.,8,14
11:12,242,Foul on Ako Adams.,8,14
11:10,2617,Kevon Harris Turnover.,8,14
10:49,242,Malik Osborne Turnover.,8,14
10:49,2617,Shannon Bogues Steal.,8,14
10:49,242,Foul on Bishop Mency.,8,14
10:49,2617,Shannon Bogues made Free Throw.,8,15
10:49,2617,Shannon Bogues made Free Throw.,8,16
10:41,242,Ako Adams Turnover.,8,16
10:41,2617,Ty Charles Steal.,8,16
10:25,2617,TJ Holyfield missed Jumper.,8,16
10:25,242,Robert Martin Defensive Rebound.,8,16
10:14,242,Robert Martin Turnover.,8,16
10:12,2617,TJ Holyfield Steal.,8,16
10:10,2617,John Comeaux made Layup.,8,18
9:54,2617,Foul on Ty Charles.,8,18
9:54,242,Robert Martin made Free Throw.,9,18
9:54,242,Robert Martin missed Free Throw.,9,18
9:54,2617,Samuli Nieminen Defensive Rebound.,9,18
9:35,2617,Shannon Bogues missed Three Point Jumper.,9,18
9:35,242,Austin Meyer Defensive Rebound.,9,18
9:26,242,Robert Martin missed Three Point Jumper.,9,18
9:26,2617,John Comeaux Defensive Rebound.,9,18
9:18,242,Foul on Ako Adams.,9,18
9:18,2617,Kevon Harris missed Free Throw.,9,18
9:18,2617,Stephen F. Austin Deadball Team Rebound.,9,18
9:18,2617,Kevon Harris made Free Throw.,9,19
9:03,2617,Foul on Samuli Nieminen.,9,19
9:03,242,Connor Cashaw missed Free Throw.,9,19
9:03,242,Rice Deadball Team Rebound.,9,19
9:03,242,Connor Cashaw made Free Throw.,10,19
8:53,2617,John Comeaux missed Three Point Jumper.,10,19
8:53,242,Miles Lester Defensive Rebound.,10,19
8:45,242,Robert Martin Turnover.,10,19
8:24,2617,Shannon Bogues made Jumper.,10,21
8:17,242,Connor Cashaw made Jumper.,12,21
8:00,2617,Shannon Bogues made Layup.,12,23
7:51,242,Connor Cashaw missed Layup.,12,23
7:51,242,Rice Offensive Rebound.,12,23
7:45,2617,Official TV Timeout,12,23
7:34,242,Connor Cashaw missed Layup.,12,23
7:34,242,Austin Meyer Offensive Rebound.,12,23
7:34,242,Austin Meyer made Dunk.,14,23
7:32,2617,Foul on Leon Gilmore III.,14,23
7:29,242,Austin Meyer missed Free Throw.,14,23
7:29,2617,TJ Holyfield Defensive Rebound.,14,23
7:21,242,Foul on Austin Meyer.,14,23
7:21,2617,Shannon Bogues made Free Throw.,14,24
7:21,2617,Shannon Bogues made Free Throw.,14,25
7:05,242,Austin Meyer Turnover.,14,25
7:03,2617,Leon Gilmore III Steal.,14,25
7:00,2617,Leon Gilmore III made Layup.,14,27
6:42,242,Robert Martin made Layup. Assisted by Miles Lester.,16,27
6:34,2617,Shannon Bogues Turnover.,16,27
6:32,242,Malik Osborne Steal.,16,27
6:29,242,Robert Martin made Layup. Assisted by Connor Cashaw.,18,27
6:26,2617,Stephen F. Austin  Timeout,18,27
6:05,2617,Ty Charles made Three Point Jumper. Assisted by John Comeaux.,18,30
5:51,242,Bishop Mency missed Three Point Jumper.,18,30
5:51,2617,Leon Gilmore III Block.,18,30
5:45,2617,TJ Holyfield Defensive Rebound.,18,30
5:34,2617,John Comeaux missed Layup.,18,30
5:34,242,Austin Meyer Defensive Rebound.,18,30
5:03,2617,Foul on TJ Holyfield.,18,30
5:03,242,Austin Meyer missed Free Throw.,18,30
5:03,242,Rice Deadball Team Rebound.,18,30
5:03,242,Austin Meyer missed Free Throw.,18,30
5:03,2617,TJ Holyfield Defensive Rebound.,18,30
4:42,2617,Leon Gilmore III made Layup.,18,32
4:42,242,Foul on Austin Meyer.,18,32
4:42,2617,Leon Gilmore III made Free Throw.,18,33
4:37,2617,Foul on Leon Gilmore III.,18,33
4:37,242,Miles Lester made Free Throw.,19,33
4:37,242,Miles Lester made Free Throw.,20,33
4:31,2617,Kevon Harris made Three Point Jumper. Assisted by Ty Charles.,20,36
4:17,242,Tim Harrison made Layup. Assisted by Connor Cashaw.,22,36
4:17,2617,Foul on Nathan Bain.,22,36
4:17,242,Tim Harrison missed Free Throw.,22,36
4:17,2617,TJ Holyfield Defensive Rebound.,22,36
4:00,2617,Shannon Bogues missed Jumper.,22,36
4:00,2617,Stephen F. Austin Offensive Rebound.,22,36
3:57,242,Foul on Tim Harrison.,22,36
3:51,2617,TJ Holyfield missed Free Throw.,22,36
3:51,2617,Stephen F. Austin Deadball Team Rebound.,22,36
3:51,2617,TJ Holyfield made Free Throw.,22,37
3:38,242,Miles Lester Turnover.,22,37
3:36,2617,Ty Charles Steal.,22,37
3:33,242,Foul on Miles Lester.,22,37
3:33,2617,Shannon Bogues made Free Throw.,22,38
3:33,2617,Shannon Bogues made Free Throw.,22,39
3:15,242,Malik Osborne Turnover.,22,39
3:15,2617,TJ Holyfield Steal.,22,39
2:59,2617,Kevon Harris Turnover.,22,39
2:58,242,Tim Harrison Steal.,22,39
2:53,242,Connor Cashaw made Layup.,24,39
2:44,2617,Kevon Harris made Three Point Jumper. Assisted by Ty Charles.,24,42
2:27,2617,Foul on Samuli Nieminen.,24,42
2:27,242,Connor Cashaw made Free Throw.,25,42
2:27,242,Connor Cashaw made Free Throw.,26,42
2:14,2617,Ty Charles missed Three Point Jumper.,26,42
2:14,242,Malik Osborne Defensive Rebound.,26,42
1:52,242,Connor Cashaw made Jumper.,28,42
1:42,2617,Shannon Bogues Turnover.,28,42
1:42,242,Ako Adams Steal.,28,42
1:30,242,Malik Osborne missed Three Point Jumper.,28,42
1:30,242,Connor Cashaw Offensive Rebound.,28,42
1:25,242,Connor Cashaw missed Layup.,28,42
1:25,2617,Stephen F. Austin Defensive Rebound.,28,42
0:56,2617,Jovan Grujic made Jumper. Assisted by John Comeaux.,28,44
0:51,242,Rice  Timeout,28,44
0:30,2617,Foul on Jovan Grujic.,28,44
0:30,242,Connor Cashaw made Free Throw.,29,44
0:30,242,Connor Cashaw made Free Throw.,30,44
0:02,2617,Jovan Grujic missed Jumper.,30,44
0:02,242,Robert Martin Defensive Rebound.,30,44
0:01,242,Robert Martin Turnover.,30,44
0:00,2617,John Comeaux missed Three Point Jumper.,30,44
0:00,242,Rice Defensive Rebound.,30,44
0:00,2617,End of 1st half,30,44
19:43,242,Robert Martin missed Layup.,30,44
19:43,242,Ako Adams Offensive Rebound.,30,44
19:36,242,Rice  Timeout,30,44
19:29,242,Foul on Connor Cashaw.,30,44
19:29,242,Connor Cashaw Turnover.,30,44
18:58,2617,Jovan Grujic missed Jumper.,30,44
18:58,242,Malik Osborne Defensive Rebound.,30,44
18:42,242,Ako Adams missed Three Point Jumper.,30,44
18:42,2617,Kevon Harris Defensive Rebound.,30,44
18:24,2617,Nathan Bain missed Three Point Jumper.,30,44
18:24,2617,Samuli Nieminen Offensive Rebound.,30,44
18:19,2617,Samuli Nieminen made Layup.,30,46
18:07,2617,Foul on Kevon Harris.,30,46
17:53,2617,Foul on Samuli Nieminen.,30,46
17:53,242,Robert Martin missed Free Throw.,30,46
17:53,242,Rice Deadball Team Rebound.,30,46
17:53,242,Robert Martin made Free Throw.,31,46
17:44,2617,Kevon Harris made Three Point Jumper. Assisted by Ty Charles.,31,49
17:31,242,Robert Martin Turnover.,31,49
17:29,2617,Ivan Canete Steal.,31,49
17:27,2617,Kevon Harris made Layup. Assisted by Ivan Canete.,31,51
17:02,2617,Foul on Leon Gilmore III.,31,51
17:02,242,Bishop Mency made Free Throw.,32,51
17:02,242,Bishop Mency made Free Throw.,33,51
16:46,2617,Ty Charles missed Three Point Jumper.,33,51
16:46,2617,Stephen F. Austin Offensive Rebound.,33,51
16:34,2617,TJ Holyfield Turnover.,33,51
16:34,2617,Foul on TJ Holyfield.,33,51
16:18,242,Robert Martin made Layup.,35,51
16:18,2617,Foul on TJ Holyfield.,35,51
16:18,242,Robert Martin missed Free Throw.,35,51
16:18,2617,Kevon Harris Defensive Rebound.,35,51
16:04,2617,Ty Charles missed Jumper.,35,51
16:04,242,Malik Osborne Defensive Rebound.,35,51
15:56,2617,Foul on Jovan Grujic.,35,51
15:56,2617,Official TV Timeout,35,51
15:56,242,Ako Adams made Free Throw.,36,51
15:56,242,Ako Adams made Free Throw.,37,51
15:34,2617,Shannon Bogues missed Jumper.,37,51
15:34,242,Ako Adams Defensive Rebound.,37,51
15:29,242,Ako Adams Turnover.,37,51
15:29,2617,Shannon Bogues Steal.,37,51
15:20,2617,Shannon Bogues made Dunk.,37,53
15:09,2617,Foul on Ty Charles.,37,53
15:09,242,Ako Adams made Free Throw.,38,53
15:09,242,Ako Adams made Free Throw.,39,53
15:02,242,Foul on Ako Adams.,39,53
14:54,2617,Ty Charles made Layup. Assisted by John Comeaux.,39,55
14:43,242,Ako Adams Turnover.,39,55
14:42,2617,Ty Charles Steal.,39,55
14:37,2617,John Comeaux missed Layup.,39,55
14:37,2617,Shannon Bogues Offensive Rebound.,39,55
14:33,2617,Shannon Bogues made Two Point Tip Shot.,39,57
14:16,242,Robert Martin made Layup.,41,57
14:05,2617,Jovan Grujic made Jumper. Assisted by Shannon Bogues.,41,59
14:05,242,Foul on Dylan Jones.,41,59
14:05,2617,Jovan Grujic missed Free Throw.,41,59
14:05,242,Austin Meyer Defensive Rebound.,41,59
13:40,242,Robert Martin missed Three Point Jumper.,41,59
13:40,2617,John Comeaux Defensive Rebound.,41,59
13:26,2617,Kevon Harris missed Three Point Jumper.,41,59
13:26,242,Connor Cashaw Defensive Rebound.,41,59
13:13,242,Ako Adams missed Three Point Jumper.,41,59
13:13,2617,Stephen F. Austin Defensive Rebound.,41,59
13:10,242,Foul on Austin Meyer.,41,59
12:50,242,Foul on Bishop Mency.,41,59
12:31,2617,Kevon Harris missed Three Point Jumper.,41,59
12:31,242,Connor Cashaw Defensive Rebound.,41,59
12:24,242,Connor Cashaw Turnover.,41,59
12:23,2617,John Comeaux Steal.,41,59
12:21,2617,Foul on Nathan Bain.,41,59
12:21,2617,Nathan Bain Turnover.,41,59
12:09,242,Bishop Mency made Three Point Jumper. Assisted by Connor Cashaw.,44,59
11:45,2617,Kevon Harris missed Layup.,44,59
11:45,2617,Kevon Harris Offensive Rebound.,44,59
11:41,2617,Kevon Harris missed Two Point Tip Shot.,44,59
11:41,242,Bishop Mency Defensive Rebound.,44,59
11:30,242,Connor Cashaw Turnover.,44,59
11:17,2617,Kevon Harris made Three Point Jumper. Assisted by Ty Charles.,44,62
10:56,242,Malik Osborne made Jumper. Assisted by Miles Lester.,46,62
10:40,2617,Kevon Harris made Three Point Jumper. Assisted by Ty Charles.,46,65
10:18,242,Foul on Austin Meyer.,46,65
10:18,242,Austin Meyer Turnover.,46,65
10:15,2617,Shannon Bogues made Jumper.,46,67
9:51,2617,Foul on John Comeaux.,46,67
9:51,242,Miles Lester missed Free Throw.,46,67
9:51,2617,Kevon Harris Defensive Rebound.,46,67
9:41,2617,Kevon Harris Turnover.,46,67
9:39,242,Malik Osborne Steal.,46,67
9:27,242,Foul on Malik Osborne.,46,67
9:27,242,Malik Osborne Turnover.,46,67
8:59,2617,Nathan Bain Turnover.,46,67
8:46,242,Ako Adams made Layup.,48,67
8:26,2617,Leon Gilmore III missed Jumper.,48,67
8:26,2617,Kevon Harris Offensive Rebound.,48,67
8:21,2617,Kevon Harris missed Layup.,48,67
8:21,242,Malik Osborne Block.,48,67
8:20,242,Rice Defensive Rebound.,48,67
8:15,242,Foul on Robert Martin.,48,67
8:15,242,Robert Martin Turnover.,48,67
7:56,2617,Kevon Harris missed Jumper.,48,67
7:56,242,Miles Lester Defensive Rebound.,48,67
7:44,2617,Foul on Ty Charles.,48,67
7:44,242,Robert Martin missed Free Throw.,48,67
7:44,242,Rice Deadball Team Rebound.,48,67
7:44,242,Robert Martin made Free Throw.,49,67
7:20,2617,Shannon Bogues Turnover.,49,67
7:18,242,Robert Martin Steal.,49,67
7:07,242,Miles Lester missed Three Point Jumper.,49,67
7:07,2617,TJ Holyfield Defensive Rebound.,49,67
7:01,2617,Kevon Harris missed Layup.,49,67
7:01,2617,Stefon Fisher Offensive Rebound.,49,67
6:57,2617,Stefon Fisher missed Two Point Tip Shot.,49,67
6:57,2617,Shannon Bogues Offensive Rebound.,49,67
6:53,2617,Shannon Bogues missed Layup.,49,67
6:53,242,Miles Lester Defensive Rebound.,49,67
6:46,2617,Foul on Stefon Fisher.,49,67
6:46,242,Malik Osborne missed Free Throw.,49,67
6:46,242,Rice Deadball Team Rebound.,49,67
6:46,242,Malik Osborne missed Free Throw.,49,67
6:46,2617,Ivan Canete Defensive Rebound.,49,67
6:27,2617,Shannon Bogues missed Jumper.,49,67
6:27,242,Malik Osborne Defensive Rebound.,49,67
6:20,2617,Foul on Ivan Canete.,49,67
6:20,242,Najja Hunter made Free Throw.,50,67
6:20,242,Najja Hunter made Free Throw.,51,67
6:09,2617,Kevon Harris made Three Point Jumper. Assisted by Ivan Canete.,51,70
5:49,2617,Foul on Stefon Fisher.,51,70
5:49,242,Malik Osborne missed Free Throw.,51,70
5:49,242,Rice Deadball Team Rebound.,51,70
5:49,242,Malik Osborne made Free Throw.,52,70
5:43,2617,Kevon Harris made Dunk. Assisted by Ivan Canete.,52,72
5:36,242,Connor Cashaw missed Three Point Jumper.,52,72
5:36,242,Rice Offensive Rebound.,52,72
5:29,242,Malik Osborne made Layup.,54,72
5:29,2617,Foul on TJ Holyfield.,54,72
5:29,242,Malik Osborne made Free Throw.,55,72
5:06,2617,Ty Charles missed Three Point Jumper.,55,72
5:06,242,Najja Hunter Defensive Rebound.,55,72
4:58,242,Miles Lester missed Three Point Jumper.,55,72
4:58,2617,Ty Charles Defensive Rebound.,55,72
4:48,2617,Stephen F. Austin  Timeout,55,72
4:41,2617,Kevon Harris made Three Point Jumper. Assisted by Shannon Bogues.,55,75
4:24,242,Malik Osborne Turnover.,55,75
4:23,2617,Shannon Bogues Steal.,55,75
4:20,2617,Shannon Bogues missed Layup.,55,75
4:20,242,Najja Hunter Defensive Rebound.,55,75
4:13,242,Miles Lester missed Three Point Jumper.,55,75
4:13,242,Najja Hunter Offensive Rebound.,55,75
4:07,242,Malik Osborne made Dunk. Assisted by Najja Hunter.,57,75
4:01,2617,Stephen F. Austin  Timeout,57,75
4:01,2617,Official TV Timeout,57,75
3:37,242,Foul on Austin Meyer.,57,75
3:37,2617,Stefon Fisher made Free Throw.,57,76
3:37,2617,Stefon Fisher made Free Throw.,57,77
3:27,242,Miles Lester Turnover.,57,77
3:25,2617,Ivan Canete Steal.,57,77
3:23,2617,Leon Gilmore III made Dunk.,57,79
3:13,242,Connor Cashaw missed Three Point Jumper.,57,79
3:13,242,Malik Osborne Offensive Rebound.,57,79
3:06,2617,Foul on Stefon Fisher.,57,79
3:06,242,Tim Harrison made Free Throw.,58,79
3:06,242,Tim Harrison missed Free Throw.,58,79
3:06,2617,Stephen F. Austin Defensive Rebound.,58,79
2:45,2617,Shannon Bogues missed Jumper.,58,79
2:45,242,Connor Cashaw Defensive Rebound.,58,79
2:33,242,Tim Harrison made Jumper.,60,79
2:14,242,Foul on Tim Harrison.,60,79
2:14,2617,Stefon Fisher missed Free Throw.,60,79
2:14,2617,Stephen F. Austin Deadball Team Rebound.,60,79
2:14,2617,Stefon Fisher missed Free Throw.,60,79
2:14,242,Malik Osborne Defensive Rebound.,60,79
2:11,242,Najja Hunter Turnover.,60,79
2:09,2617,Nathan Bain Steal.,60,79
1:52,2617,Jovan Grujic missed Jumper.,60,79
1:52,242,Tim Harrison Defensive Rebound.,60,79
1:43,242,Najja Hunter missed Three Point Jumper.,60,79
1:43,242,Najja Hunter Offensive Rebound.,60,79
1:24,2617,Foul on Ty Charles.,60,79
1:24,242,Najja Hunter missed Free Throw.,60,79
1:24,242,Rice Deadball Team Rebound.,60,79
1:24,242,Najja Hunter missed Free Throw.,60,79
1:24,2617,Stefon Fisher Defensive Rebound.,60,79
1:13,2617,Jovan Grujic Turnover.,60,79
1:11,242,Malik Osborne Steal.,60,79
1:07,242,Tim Harrison Turnover.,60,79
0:45,2617,Jovan Grujic missed Jumper.,60,79
0:45,242,Tim Harrison Defensive Rebound.,60,79
0:36,242,Malik Osborne Turnover.,60,79
0:35,2617,Ivan Canete Steal.,60,79
0:31,2617,John Comeaux made Layup. Assisted by Ivan Canete.,60,81
0:27,242,Foul on Tim Harrison.,60,81
0:27,2617,John Comeaux missed Free Throw.,60,81
0:27,242,Tim Harrison Defensive Rebound.,60,81
0:15,242,Robert Martin made Layup.,62,81
0:00,2617,End of Game,62,81
