North Carolina A&amp;T,46,Georgetown,2448
16:34,46,Kaleb Johnson made Free Throw.,0,10
16:34,46,Kaleb Johnson missed Free Throw.,0,10
16:34,2448,Japhet Kadji Defensive Rebound.,0,10
16:06,46,Foul on Jessie Govan.,0,10
16:05,2448,Japhet Kadji missed Three Point Jumper.,0,10
16:05,46,Jessie Govan Defensive Rebound.,0,10
15:54,46,Foul on Marcus Derrickson.,0,10
15:54,46,Marcus Derrickson Turnover.,0,10
15:54,46,Official TV Timeout,0,10
15:53,46,Official TV Timeout,0,10
15:35,2448,Aaren Edmead missed Three Point Jumper.,0,10
15:35,46,Kaleb Johnson Defensive Rebound.,0,10
15:26,46,Jonathan Mulmore Turnover.,0,10
15:05,2448,Femi Olujobi Turnover.,0,10
14:51,46,Jamorko Pickett missed Jumper.,0,10
14:51,2448,Femi Olujobi Defensive Rebound.,0,10
14:29,2448,Femi Olujobi missed Three Point Jumper.,0,10
14:29,46,Marcus Derrickson Defensive Rebound.,0,10
14:14,46,Marcus Derrickson missed Three Point Jumper.,0,10
14:14,2448,Femi Olujobi Defensive Rebound.,0,10
14:03,2448,Aaren Edmead Turnover.,0,10
14:03,46,Marcus Derrickson Steal.,0,10
13:52,46,Marcus Derrickson missed Three Point Jumper.,0,10
13:52,2448,Milik Gantz Defensive Rebound.,0,10
13:43,2448,Milik Gantz missed Layup.,0,10
13:43,46,Kaleb Johnson Block.,0,10
13:43,2448,North Carolina A&T Offensive Rebound.,0,10
13:31,2448,Foul on Kwei Lartey.,0,10
13:31,2448,Kwei Lartey Turnover.,0,10
13:19,46,Jamorko Pickett missed Jumper.,0,10
13:19,2448,Aaren Edmead Defensive Rebound.,0,10
13:09,46,Foul on Chris Sodom.,0,10
13:09,46,Georgetown  Timeout,0,10
12:59,2448,Aaren Edmead Turnover.,0,10
12:52,2448,Foul on Kwei Lartey.,0,10
12:52,46,Jessie Govan made Free Throw.,0,11
12:52,46,Jessie Govan made Free Throw.,0,12
12:41,2448,Femi Olujobi missed Three Point Jumper.,0,12
12:41,46,Jagan Mosely Defensive Rebound.,0,12
12:30,46,Jagan Mosely Turnover.,0,12
12:27,2448,Amari Hamilton Steal.,0,12
12:25,2448,Amari Hamilton Turnover.,0,12
12:23,46,Jahvon Blair Steal.,0,12
12:20,46,Jahvon Blair missed Jumper.,0,12
12:19,2448,Milik Gantz Defensive Rebound.,0,12
12:18,2448,Amari Hamilton Turnover.,0,12
12:18,46,Trey Dickerson Steal.,0,12
12:13,46,Jahvon Blair missed Layup.,0,12
12:13,46,Jagan Mosely Offensive Rebound.,0,12
12:06,46,Jagan Mosely made Layup.,0,14
11:57,2448,Denzel Keyes missed Jumper.,0,14
11:57,46,Jessie Govan Defensive Rebound.,0,14
11:50,46,Jahvon Blair missed Jumper.,0,14
11:50,2448,Amari Hamilton Block.,0,14
11:47,2448,Denzel Keyes Defensive Rebound.,0,14
11:44,46,Foul on Jagan Mosely.,0,14
11:44,46,Official TV Timeout,0,14
11:44,2448,Milik Gantz made Free Throw.,1,14
11:44,2448,Milik Gantz made Free Throw.,2,14
11:27,46,Jessie Govan missed Jumper.,2,14
11:27,2448,Davaris McGowens Defensive Rebound.,2,14
11:07,2448,Amari Hamilton missed Three Point Jumper.,2,14
11:07,46,Jessie Govan Defensive Rebound.,2,14
10:58,46,Antwan Walker Turnover.,2,14
10:56,2448,Japhet Kadji Steal.,2,14
10:52,2448,Davaris McGowens made Jumper. Assisted by Milik Gantz.,4,14
10:34,46,Jagan Mosely missed Three Point Jumper.,4,14
10:34,46,Jessie Govan Offensive Rebound.,4,14
10:30,46,Jessie Govan made Dunk.,4,16
10:15,2448,Milik Gantz made Layup.,6,16
10:15,46,Foul on Trey Dickerson.,6,16
10:15,2448,Milik Gantz missed Free Throw.,6,16
10:15,46,Jessie Govan Defensive Rebound.,6,16
10:03,46,Trey Dickerson missed Jumper.,6,16
10:03,46,Jessie Govan Offensive Rebound.,6,16
10:00,46,Jessie Govan made Two Point Tip Shot.,6,18
9:49,2448,Kameron Langley missed Jumper.,6,18
9:49,46,Jessie Govan Defensive Rebound.,6,18
9:48,2448,Foul on Davaris McGowens.,6,18
9:42,46,Jagan Mosely made Jumper.,6,20
9:35,2448,Milik Gantz made Layup.,8,20
9:18,46,Jessie Govan missed Jumper.,8,20
9:18,46,Jahvon Blair Offensive Rebound.,8,20
9:13,46,Jahvon Blair made Layup.,8,22
9:00,2448,Milik Gantz missed Three Point Jumper.,8,22
9:00,46,Trey Dickerson Defensive Rebound.,8,22
8:53,2448,Foul on Milik Gantz.,8,22
8:53,46,Trey Dickerson made Free Throw.,8,23
8:53,46,Trey Dickerson missed Free Throw.,8,23
8:53,2448,Femi Olujobi Defensive Rebound.,8,23
8:34,2448,Femi Olujobi missed Jumper.,8,23
8:34,2448,Japhet Kadji Offensive Rebound.,8,23
8:32,2448,Japhet Kadji made Two Point Tip Shot.,10,23
8:19,46,Antwan Walker Turnover.,10,23
8:18,2448,Kameron Langley Steal.,10,23
7:54,2448,Donte Watson missed Jumper.,10,23
7:54,46,Jessie Govan Defensive Rebound.,10,23
7:45,46,Trey Dickerson missed Three Point Jumper.,10,23
7:45,2448,Donte Watson Defensive Rebound.,10,23
7:44,46,Foul on Antwan Walker.,10,23
7:44,46,Official TV Timeout,10,23
7:26,2448,Aaren Edmead made Three Point Jumper. Assisted by Japhet Kadji.,13,23
7:09,46,Jessie Govan missed Jumper.,13,23
7:09,2448,Aaren Edmead Defensive Rebound.,13,23
7:00,2448,Femi Olujobi made Jumper. Assisted by Aaren Edmead.,15,23
6:36,2448,Foul on Kameron Langley.,15,23
6:36,46,Jagan Mosely made Free Throw.,15,24
6:36,46,Jagan Mosely made Free Throw.,15,25
6:17,2448,Japhet Kadji missed Jumper.,15,25
6:17,46,Jonathan Mulmore Defensive Rebound.,15,25
6:05,46,Jamorko Pickett made Jumper.,15,27
5:54,2448,Donte Watson missed Layup.,15,27
5:54,46,Marcus Derrickson Block.,15,27
5:52,2448,North Carolina A&T Offensive Rebound.,15,27
5:31,2448,North Carolina A&T  Turnover.,15,27
5:09,46,Jamorko Pickett made Three Point Jumper. Assisted by Jonathan Mulmore.,15,30
4:53,2448,Aaren Edmead made Jumper.,17,30
4:28,46,Antwan Walker Turnover.,17,30
4:11,2448,Raymon Pratt missed Three Point Jumper.,17,30
4:11,46,Marcus Derrickson Defensive Rebound.,17,30
4:03,46,Jamorko Pickett missed Three Point Jumper.,17,30
4:03,2448,Milik Gantz Defensive Rebound.,17,30
3:57,46,Foul on Jessie Govan.,17,30
3:57,46,Official TV Timeout,17,30
3:57,2448,Milik Gantz made Free Throw.,18,30
3:57,2448,Milik Gantz missed Free Throw.,18,30
3:57,46,Marcus Derrickson Defensive Rebound.,18,30
3:45,46,Kaleb Johnson made Layup. Assisted by Jamorko Pickett.,18,32
3:28,46,Foul on Marcus Derrickson.,18,32
3:28,2448,Femi Olujobi made Free Throw.,19,32
3:28,2448,Femi Olujobi made Free Throw.,20,32
3:10,46,Jonathan Mulmore missed Jumper.,20,32
3:10,2448,Denzel Keyes Defensive Rebound.,20,32
2:48,2448,Milik Gantz made Layup. Assisted by Femi Olujobi.,22,32
2:20,46,Marcus Derrickson missed Layup.,22,32
2:20,2448,Denzel Keyes Block.,22,32
2:18,46,Marcus Derrickson Offensive Rebound.,22,32
2:18,2448,Foul on Denzel Keyes.,22,32
2:18,46,Marcus Derrickson made Free Throw.,22,33
2:18,46,Marcus Derrickson missed Free Throw.,22,33
2:18,2448,Femi Olujobi Defensive Rebound.,22,33
2:00,2448,Aaren Edmead Turnover.,22,33
1:59,46,Jonathan Mulmore Steal.,22,33
1:56,46,Jonathan Mulmore made Layup.,22,35
1:24,2448,Foul on Femi Olujobi.,22,35
1:24,2448,Femi Olujobi Turnover.,22,35
1:07,46,Jamorko Pickett Turnover.,22,35
1:05,2448,Milik Gantz Steal.,22,35
1:03,2448,Milik Gantz made Layup.,24,35
0:45,46,Foul on Chris Sodom.,24,35
0:45,46,Chris Sodom Turnover.,24,35
0:26,2448,Kwei Lartey missed Three Point Jumper.,24,35
0:26,2448,Davaris McGowens Offensive Rebound.,24,35
0:19,2448,Denzel Keyes made Jumper. Assisted by Davaris McGowens.,26,35
0:03,2448,Foul on Davaris McGowens.,26,35
0:03,46,Jonathan Mulmore made Free Throw.,26,36
0:03,46,Jonathan Mulmore made Free Throw.,26,37
0:00,46,End of 1st half,26,37
20:00,46,Georgetown  Timeout,26,37
19:43,2448,Aaren Edmead missed Jumper.,26,37
19:43,46,Jessie Govan Defensive Rebound.,26,37
19:33,46,Marcus Derrickson made Jumper. Assisted by Jamorko Pickett.,26,39
19:24,2448,Raymon Pratt missed Layup.,26,39
19:24,46,Jessie Govan Defensive Rebound.,26,39
19:18,46,Jamorko Pickett missed Three Point Jumper.,26,39
19:18,46,Kaleb Johnson Offensive Rebound.,26,39
19:02,2448,Foul on Raymon Pratt.,26,39
19:02,46,Jessie Govan made Free Throw.,26,40
19:02,46,Jessie Govan missed Free Throw.,26,40
19:02,2448,Japhet Kadji Defensive Rebound.,26,40
18:35,46,Foul on Marcus Derrickson.,26,40
18:34,2448,Femi Olujobi made Jumper. Assisted by Kameron Langley.,28,40
18:01,46,Jonathan Mulmore missed Layup.,28,40
18:01,46,Jessie Govan Offensive Rebound.,28,40
17:58,46,Jessie Govan made Jumper.,28,42
17:48,46,Foul on Jagan Mosely.,28,42
17:48,2448,Kameron Langley made Free Throw.,29,42
17:48,2448,Kameron Langley made Free Throw.,30,42
17:30,46,Jessie Govan made Jumper. Assisted by Kaleb Johnson.,30,44
17:24,2448,Femi Olujobi Turnover.,30,44
17:08,46,Jagan Mosely missed Jumper.,30,44
17:08,2448,Kameron Langley Defensive Rebound.,30,44
16:40,2448,Aaren Edmead Turnover.,30,44
16:38,46,Jonathan Mulmore Steal.,30,44
16:36,46,Jamorko Pickett Turnover.,30,44
16:27,2448,Kameron Langley missed Layup.,30,44
16:27,46,Jamorko Pickett Defensive Rebound.,30,44
16:14,2448,Foul on Raymon Pratt.,30,44
15:58,46,Jessie Govan made Jumper. Assisted by Jagan Mosely.,30,46
15:28,46,Foul on Kaleb Johnson.,30,46
15:28,46,Official TV Timeout,30,46
15:23,2448,Aaren Edmead made Three Point Jumper. Assisted by Milik Gantz.,33,46
14:59,46,Jamorko Pickett missed Jumper.,33,46
14:59,2448,Denzel Keyes Defensive Rebound.,33,46
14:49,2448,Femi Olujobi missed Layup.,33,46
14:49,46,Jessie Govan Defensive Rebound.,33,46
14:34,46,Jamorko Pickett Turnover.,33,46
14:32,2448,Aaren Edmead Steal.,33,46
14:30,2448,Milik Gantz made Layup.,35,46
14:13,46,Jonathan Mulmore Turnover.,35,46
14:12,2448,Milik Gantz Steal.,35,46
14:09,2448,Denzel Keyes missed Layup.,35,46
14:09,46,Kaleb Johnson Block.,35,46
14:09,2448,North Carolina A&T Offensive Rebound.,35,46
13:50,2448,Milik Gantz made Jumper.,37,46
13:36,2448,Foul on Denzel Keyes.,37,46
13:36,46,Jessie Govan missed Free Throw.,37,46
13:36,46,Georgetown Deadball Team Rebound.,37,46
13:36,46,Jessie Govan made Free Throw.,37,47
13:17,2448,Aaren Edmead missed Layup.,37,47
13:17,2448,North Carolina A&T Offensive Rebound.,37,47
13:08,2448,Milik Gantz made Layup.,39,47
12:48,46,Trey Dickerson missed Layup.,39,47
12:48,46,Kaleb Johnson Offensive Rebound.,39,47
12:41,46,Jessie Govan made Jumper. Assisted by Trey Dickerson.,39,49
12:26,2448,Femi Olujobi missed Jumper.,39,49
12:26,46,Jessie Govan Defensive Rebound.,39,49
12:18,46,Jahvon Blair made Layup. Assisted by Trey Dickerson.,39,51
12:14,2448,North Carolina A&T  Timeout,39,51
12:14,46,Official TV Timeout,39,51
11:54,2448,Davaris McGowens Turnover.,39,51
11:53,46,Jessie Govan Steal.,39,51
11:39,46,Jessie Govan missed Jumper.,39,51
11:39,2448,Davaris McGowens Defensive Rebound.,39,51
11:23,2448,Aaren Edmead missed Three Point Jumper.,39,51
11:23,46,Kaleb Johnson Defensive Rebound.,39,51
11:15,46,Trey Dickerson made Layup. Assisted by Jagan Mosely.,39,53
11:00,2448,Japhet Kadji missed Three Point Jumper.,39,53
11:00,46,Kaleb Johnson Defensive Rebound.,39,53
10:54,46,Jahvon Blair Turnover.,39,53
10:52,2448,Milik Gantz Steal.,39,53
10:50,2448,Milik Gantz made Layup.,41,53
10:34,46,Official TV Timeout,41,53
10:33,46,Trey Dickerson Turnover.,41,53
10:33,46,Official TV Timeout,41,53
10:14,2448,Milik Gantz missed Three Point Jumper.,41,53
10:14,46,Georgetown Defensive Rebound.,41,53
9:54,46,Marcus Derrickson made Jumper.,41,55
9:47,2448,Milik Gantz made Layup.,43,55
9:34,46,Trey Dickerson made Three Point Jumper. Assisted by Antwan Walker.,43,58
9:28,46,Foul on Trey Dickerson.,43,58
9:18,2448,Davaris McGowens made Layup. Assisted by Aaren Edmead.,45,58
8:58,46,Jagan Mosely missed Three Point Jumper.,45,58
8:58,2448,North Carolina A&T Defensive Rebound.,45,58
8:42,2448,Denzel Keyes missed Three Point Jumper.,45,58
8:42,46,Jahvon Blair Defensive Rebound.,45,58
8:35,46,Jahvon Blair made Jumper.,45,60
8:17,2448,Davaris McGowens missed Layup.,45,60
8:17,2448,Davaris McGowens Offensive Rebound.,45,60
8:12,2448,Davaris McGowens Turnover.,45,60
8:10,46,Trey Dickerson Steal.,45,60
8:08,2448,Foul on Denzel Keyes.,45,60
8:08,46,Antwan Walker made Free Throw.,45,61
8:08,46,Antwan Walker made Free Throw.,45,62
7:48,46,Foul on Trey Dickerson.,45,62
7:48,46,Official TV Timeout,45,62
7:48,2448,Aaren Edmead made Free Throw.,46,62
7:48,2448,Aaren Edmead made Free Throw.,47,62
7:28,46,Trey Dickerson made Layup. Assisted by Marcus Derrickson.,47,64
7:14,2448,Milik Gantz missed Jumper.,47,64
7:14,2448,Femi Olujobi Offensive Rebound.,47,64
7:07,2448,Femi Olujobi made Layup.,49,64
6:51,46,Jessie Govan made Jumper. Assisted by Jagan Mosely.,49,66
6:43,2448,Femi Olujobi made Three Point Jumper. Assisted by Kameron Langley.,52,66
6:25,46,Jagan Mosely missed Jumper.,52,66
6:25,46,Jagan Mosely Offensive Rebound.,52,66
6:20,46,Jagan Mosely missed Layup.,52,66
6:20,46,Jahvon Blair Offensive Rebound.,52,66
6:14,46,Jagan Mosely made Layup. Assisted by Trey Dickerson.,52,68
5:58,2448,Denzel Keyes made Layup. Assisted by Milik Gantz.,54,68
5:42,46,Jahvon Blair missed Three Point Jumper.,54,68
5:42,2448,Femi Olujobi Defensive Rebound.,54,68
5:29,2448,Denzel Keyes missed Jumper.,54,68
5:29,46,Trey Dickerson Defensive Rebound.,54,68
5:22,46,Jahvon Blair missed Jumper.,54,68
5:22,46,Marcus Derrickson Offensive Rebound.,54,68
5:20,46,Marcus Derrickson made Layup.,54,70
5:20,2448,Foul on Milik Gantz.,54,70
5:20,46,Marcus Derrickson made Free Throw.,54,71
5:11,2448,Aaren Edmead made Jumper.,56,71
5:02,46,Kaleb Johnson made Layup. Assisted by Trey Dickerson.,56,73
4:53,46,Foul on Trey Dickerson.,56,73
4:45,2448,Japhet Kadji made Jumper.,58,73
4:43,2448,North Carolina A&T  Timeout,58,73
4:26,46,Jamorko Pickett made Three Point Jumper. Assisted by Kaleb Johnson.,58,76
4:09,2448,Aaren Edmead missed Layup.,58,76
4:09,46,Jessie Govan Defensive Rebound.,58,76
4:01,46,Kaleb Johnson missed Jumper.,58,76
4:01,2448,Kameron Langley Defensive Rebound.,58,76
3:54,2448,Kwei Lartey made Three Point Jumper. Assisted by Kameron Langley.,61,76
3:31,46,Kaleb Johnson made Three Point Jumper. Assisted by Jonathan Mulmore.,61,79
3:14,2448,Femi Olujobi made Layup.,63,79
2:54,46,Official TV Timeout,63,79
2:50,46,Kaleb Johnson missed Three Point Jumper.,63,79
2:50,2448,Amari Hamilton Defensive Rebound.,63,79
2:38,46,Foul on Jonathan Mulmore.,63,79
2:38,2448,Aaren Edmead made Free Throw.,64,79
2:38,2448,Aaren Edmead made Free Throw.,65,79
2:17,46,Jessie Govan made Layup. Assisted by Marcus Derrickson.,65,81
2:07,2448,Aaren Edmead missed Three Point Jumper.,65,81
2:07,2448,Femi Olujobi Offensive Rebound.,65,81
2:01,2448,Femi Olujobi made Layup.,67,81
1:37,2448,Foul on Aaren Edmead.,67,81
1:27,46,Kaleb Johnson missed Layup.,67,81
1:27,2448,Amari Hamilton Defensive Rebound.,67,81
1:21,2448,Amari Hamilton made Jumper.,69,81
0:58,2448,Foul on Kwei Lartey.,69,81
0:58,46,Jonathan Mulmore made Free Throw.,69,82
0:58,46,Jonathan Mulmore made Free Throw.,69,83
0:50,2448,Amari Hamilton missed Layup.,69,83
0:50,46,Kaleb Johnson Block.,69,83
0:49,2448,North Carolina A&T Offensive Rebound.,69,83
0:46,2448,Femi Olujobi made Three Point Jumper. Assisted by Aaren Edmead.,72,83
0:32,46,Marcus Derrickson missed Three Point Jumper.,72,83
0:32,2448,Femi Olujobi Defensive Rebound.,72,83
0:27,2448,D'Andre Johnson made Layup. Assisted by Femi Olujobi.,74,83
0:00,46,End of Game,74,83
