Canisius,339,Evansville,2099
3:24,339,Duane Gibson missed Jumper.,19,21
3:24,2099,Jermaine Crumpton Defensive Rebound.,19,21
3:24,339,Foul on Dainius Chatkevicius.,19,21
3:24,2099,Canisius  Timeout,19,21
3:12,2099,Spencer Foley missed Three Point Jumper.,19,21
3:12,339,Evansville Defensive Rebound.,19,21
2:55,339,Dalen Traore made Layup. Assisted by Dru Smith.,19,23
2:37,339,Foul on Noah Frederking.,19,23
2:25,2099,Jonathan Sanks missed Three Point Jumper.,19,23
2:25,339,Dru Smith Defensive Rebound.,19,23
2:16,339,Dru Smith missed Layup.,19,23
2:16,2099,Jermaine Crumpton Defensive Rebound.,19,23
2:09,2099,Selvedin Planincic made Layup. Assisted by Malik Johnson.,21,23
1:49,2099,Foul on Selvedin Planincic.,21,23
1:49,339,Dalen Traore made Free Throw.,21,24
1:49,339,Dalen Traore missed Free Throw.,21,24
1:49,2099,Selvedin Planincic Defensive Rebound.,21,24
1:43,2099,Spencer Foley missed Jumper.,21,24
1:43,339,Dru Smith Defensive Rebound.,21,24
1:29,2099,Foul on Jonathan Sanks.,21,24
1:29,339,Dalen Traore made Free Throw.,21,25
1:29,339,Dalen Traore made Free Throw.,21,26
0:59,2099,Selvedin Planincic missed Three Point Jumper.,21,26
0:59,339,Blake Simmons Defensive Rebound.,21,26
0:44,339,John Hall made Layup. Assisted by Dru Smith.,21,28
0:41,2099,Canisius  Timeout,21,28
0:34,2099,Jalanni White made Layup. Assisted by Selvedin Planincic.,23,28
0:02,339,Dru Smith made Jumper.,23,30
0:02,2099,Foul on Jonathan Sanks.,23,30
0:02,339,Dru Smith made Free Throw.,23,31
0:02,2099,Canisius Offensive Rebound.,23,31
0:02,2099,Malik Johnson missed Three Point Jumper.,23,31
0:00,339,End of 1st half,23,31
19:29,339,Dru Smith made Three Point Jumper. Assisted by Duane Gibson.,23,34
19:01,339,Foul on Dru Smith.,23,34
18:41,2099,Canisius  Turnover.,23,34
18:14,339,Dainius Chatkevicius made Dunk. Assisted by Blake Simmons.,23,36
17:54,2099,Isaiah Reese Turnover.,23,36
17:36,339,Blake Simmons made Layup.,23,38
17:22,2099,Canisius  Timeout,23,38
17:16,2099,Malik Johnson Turnover.,23,38
17:14,339,Duane Gibson Steal.,23,38
16:46,339,Blake Simmons missed Jumper.,23,38
16:46,2099,Canisius Defensive Rebound.,23,38
16:28,2099,Isaiah Reese made Three Point Jumper.,26,38
15:55,339,Dru Smith missed Three Point Jumper.,26,38
15:55,2099,Jermaine Crumpton Defensive Rebound.,26,38
15:47,2099,Isaiah Reese made Three Point Jumper. Assisted by Malik Johnson.,29,38
15:28,339,Dru Smith missed Three Point Jumper.,29,38
15:28,339,Duane Gibson Offensive Rebound.,29,38
15:22,339,Duane Gibson missed Jumper.,29,38
15:22,2099,Marcale Lotts Defensive Rebound.,29,38
15:14,2099,Marcale Lotts made Layup. Assisted by Isaiah Reese.,31,38
15:14,339,Foul on Dainius Chatkevicius.,31,38
15:14,2099,Canisius  Timeout,31,38
15:14,2099,Marcale Lotts made Free Throw.,32,38
14:49,339,Duane Gibson missed Layup.,32,38
14:49,339,John Hall Offensive Rebound.,32,38
14:45,339,John Hall made Layup.,32,40
14:30,2099,Marcale Lotts made Layup. Assisted by Isaiah Reese.,34,40
14:00,339,Duane Gibson made Layup. Assisted by Blake Simmons.,34,42
13:32,2099,Takal Molson made Layup.,36,42
13:15,2099,Foul on Marcale Lotts.,36,42
13:15,339,Blake Simmons made Free Throw.,36,43
13:15,339,Blake Simmons made Free Throw.,36,44
13:07,2099,Jermaine Crumpton missed Three Point Jumper.,36,44
13:07,339,John Hall Defensive Rebound.,36,44
13:04,2099,Foul on Marcale Lotts.,36,44
12:52,339,K.J. Riley made Layup. Assisted by Marty Hill.,36,46
12:31,2099,Jermaine Crumpton made Layup. Assisted by Selvedin Planincic.,38,46
12:31,339,Foul on Marty Hill.,38,46
12:31,2099,Jermaine Crumpton made Free Throw.,39,46
12:07,339,K.J. Riley Turnover.,39,46
12:05,2099,Isaiah Reese Steal.,39,46
11:57,2099,Isaiah Reese missed Three Point Jumper.,39,46
11:57,339,John Hall Defensive Rebound.,39,46
11:23,339,Evansville  Timeout,39,46
11:20,339,Dru Smith missed Jumper.,39,46
11:20,2099,Malik Johnson Defensive Rebound.,39,46
11:03,2099,Jalanni White missed Three Point Jumper.,39,46
11:03,2099,Selvedin Planincic Offensive Rebound.,39,46
10:52,2099,Takal Molson missed Three Point Jumper.,39,46
10:52,2099,Jalanni White Offensive Rebound.,39,46
10:30,2099,Takal Molson missed Three Point Jumper.,39,46
10:30,339,Blake Simmons Defensive Rebound.,39,46
10:10,339,Dru Smith Turnover.,39,46
9:56,2099,Jalanni White missed Three Point Jumper.,39,46
9:56,339,Evansville Defensive Rebound.,39,46
9:33,339,Blake Simmons Turnover.,39,46
9:32,2099,Isaiah Reese Steal.,39,46
9:29,2099,Takal Molson made Dunk. Assisted by Isaiah Reese.,41,46
9:08,339,Marty Hill made Jumper. Assisted by Noah Frederking.,41,48
8:45,2099,Takal Molson made Layup.,43,48
8:28,2099,Foul on Malik Johnson.,43,48
8:22,339,Dainius Chatkevicius Turnover.,43,48
8:20,2099,Takal Molson Steal.,43,48
8:16,2099,Isaiah Reese missed Three Point Jumper.,43,48
8:16,339,Dainius Chatkevicius Defensive Rebound.,43,48
7:52,339,Blake Simmons made Layup. Assisted by Dru Smith.,43,50
7:30,2099,Malik Johnson missed Jumper.,43,50
7:30,2099,Malik Johnson Offensive Rebound.,43,50
7:25,2099,Isaiah Reese missed Jumper.,43,50
7:25,2099,Takal Molson Offensive Rebound.,43,50
7:22,2099,Foul on Takal Molson.,43,50
7:22,2099,Takal Molson Turnover.,43,50
7:22,339,Evansville  Timeout,43,50
7:06,339,Dainius Chatkevicius Turnover.,43,50
7:04,2099,Jermaine Crumpton Steal.,43,50
6:49,2099,Jonathan Sanks missed Three Point Jumper.,43,50
6:49,339,Dru Smith Defensive Rebound.,43,50
6:31,339,Noah Frederking missed Three Point Jumper.,43,50
6:31,2099,Takal Molson Defensive Rebound.,43,50
6:17,339,Foul on Duane Gibson.,43,50
6:03,2099,Isaiah Reese missed Three Point Jumper.,43,50
6:03,2099,Jermaine Crumpton Offensive Rebound.,43,50
5:59,339,Foul on Duane Gibson.,43,50
5:58,2099,Takal Molson missed Three Point Jumper.,43,50
5:58,339,Evan Kuhlman Defensive Rebound.,43,50
5:44,339,Blake Simmons made Layup.,43,52
5:29,2099,Isaiah Reese missed Three Point Jumper.,43,52
5:29,339,Dainius Chatkevicius Defensive Rebound.,43,52
5:26,339,Foul on Blake Simmons.,43,52
5:23,2099,Takal Molson made Layup. Assisted by Malik Johnson.,45,52
5:04,339,Evan Kuhlman Turnover.,45,52
5:04,2099,Isaiah Reese Steal.,45,52
5:04,339,Foul on Duane Gibson.,45,52
5:04,2099,Isaiah Reese made Free Throw.,46,52
5:04,2099,Isaiah Reese made Free Throw.,47,52
4:35,339,K.J. Riley Turnover.,47,52
4:11,2099,Isaiah Reese missed Three Point Jumper.,47,52
4:11,339,K.J. Riley Defensive Rebound.,47,52
3:51,339,Dainius Chatkevicius missed Layup.,47,52
3:51,339,Dainius Chatkevicius Offensive Rebound.,47,52
3:51,2099,Foul on Takal Molson.,47,52
3:51,339,Evansville  Timeout,47,52
3:48,339,Dainius Chatkevicius missed Free Throw.,47,52
3:48,339,Evansville Deadball Team Rebound.,47,52
3:48,339,Dainius Chatkevicius made Free Throw.,47,53
3:28,2099,Takal Molson missed Jumper.,47,53
3:28,339,Blake Simmons Block.,47,53
3:25,2099,Jermaine Crumpton Offensive Rebound.,47,53
3:21,2099,Jermaine Crumpton made Layup.,49,53
3:15,2099,Foul on Isaiah Reese.,49,53
3:02,339,Blake Simmons Turnover.,49,53
2:47,2099,Jermaine Crumpton missed Layup.,49,53
2:47,2099,Jermaine Crumpton Offensive Rebound.,49,53
2:47,339,Foul on Dainius Chatkevicius.,49,53
2:47,2099,Jermaine Crumpton missed Free Throw.,49,53
2:47,2099,Canisius Deadball Team Rebound.,49,53
2:47,2099,Jermaine Crumpton made Free Throw.,50,53
2:21,2099,Foul on Jonathan Sanks.,50,53
2:21,339,Dru Smith made Free Throw.,50,54
2:21,339,Dru Smith made Free Throw.,50,55
2:10,2099,Isaiah Reese missed Layup.,50,55
2:10,339,Evan Kuhlman Defensive Rebound.,50,55
2:10,2099,Foul on Jermaine Crumpton.,50,55
2:10,339,Evan Kuhlman made Free Throw.,50,56
2:10,339,Evan Kuhlman made Free Throw.,50,57
2:10,2099,Jermaine Crumpton missed Layup.,50,57
2:10,2099,Spencer Foley Offensive Rebound.,50,57
2:07,2099,Spencer Foley made Two Point Tip Shot.,52,57
2:03,339,Foul on Duane Gibson.,52,57
1:59,2099,Spencer Foley missed Free Throw.,52,57
1:59,339,Dainius Chatkevicius Defensive Rebound.,52,57
1:40,339,Noah Frederking missed Three Point Jumper.,52,57
1:40,2099,Spencer Foley Defensive Rebound.,52,57
1:26,2099,Jermaine Crumpton made Layup.,54,57
1:24,2099,Canisius  Timeout,54,57
1:13,2099,Foul on Isaiah Reese.,54,57
1:13,339,Dru Smith made Free Throw.,54,58
1:13,339,Dru Smith made Free Throw.,54,59
0:57,2099,Jermaine Crumpton made Three Point Jumper. Assisted by Malik Johnson.,57,59
0:57,2099,Canisius  Timeout,57,59
0:45,2099,Foul on Jermaine Crumpton.,57,59
0:45,339,Dainius Chatkevicius missed Free Throw.,57,59
0:45,339,Evansville Deadball Team Rebound.,57,59
0:45,339,Dainius Chatkevicius missed Free Throw.,57,59
0:45,2099,Isaiah Reese Defensive Rebound.,57,59
0:23,2099,Foul on Takal Molson.,57,59
0:23,2099,Takal Molson Turnover.,57,59
0:23,339,K.J. Riley made Free Throw.,57,60
0:23,339,K.J. Riley made Free Throw.,57,61
0:19,339,Foul on John Hall.,57,61
0:19,2099,Malik Johnson made Free Throw.,58,61
0:19,2099,Malik Johnson missed Free Throw.,58,61
0:19,339,John Hall Defensive Rebound.,58,61
0:19,2099,Foul on Jermaine Crumpton.,58,61
0:17,339,John Hall made Free Throw.,58,62
0:17,339,John Hall made Free Throw.,58,63
0:13,2099,Isaiah Reese Turnover.,58,63
0:13,339,John Hall Steal.,58,63
0:07,2099,Foul on Jonathan Sanks.,58,63
0:07,339,Blake Simmons made Free Throw.,58,64
0:07,339,Blake Simmons made Free Throw.,58,65
0:07,2099,Isaiah Reese missed Three Point Jumper.,58,65
0:07,339,Noah Frederking Defensive Rebound.,58,65
0:00,339,End of Game,58,65
