Prairie View A&amp;M,245,Texas A&amp;M,2504
6:18,245,Duane Wilson Turnover.,22,28
6:18,2504,Dennis Jones Steal.,22,28
6:12,2504,Gary Blackston made Dunk.,24,28
5:40,2504,Foul on Jordan Lumpkins.,24,28
5:40,245,Duane Wilson made Free Throw.,24,29
5:40,245,Duane Wilson missed Free Throw.,24,29
5:40,2504,Shay'rone Jett Defensive Rebound.,24,29
5:24,245,Foul on Tyler Davis.,24,29
5:24,2504,Dennis Jones made Free Throw.,25,29
5:24,2504,Dennis Jones missed Free Throw.,25,29
5:24,245,Robert Williams Defensive Rebound.,25,29
5:11,245,DJ Hogg Turnover.,25,29
5:07,245,Foul on DJ Hogg.,25,29
5:07,2504,Dennis Jones missed Free Throw.,25,29
5:07,2504,Prairie View A&M Deadball Team Rebound.,25,29
5:07,2504,Dennis Jones made Free Throw.,26,29
4:53,2504,Foul on Dennis Jones.,26,29
4:45,2504,Foul on Jordan Lumpkins.,26,29
4:45,245,DJ Hogg made Free Throw.,26,30
4:45,245,DJ Hogg made Free Throw.,26,31
4:22,2504,Austin Starr Turnover.,26,31
4:14,2504,Foul on JD Wallace.,26,31
4:14,245,Tyler Davis missed Free Throw.,26,31
4:14,2504,Zachary Hamilton Defensive Rebound.,26,31
4:05,2504,Zachary Hamilton missed Three Point Jumper.,26,31
4:05,245,Robert Williams Defensive Rebound.,26,31
3:58,245,JJ Caldwell Turnover.,26,31
3:53,245,Official TV Timeout,26,31
3:42,2504,Austin Starr missed Three Point Jumper.,26,31
3:42,245,Robert Williams Block.,26,31
3:42,2504,Prairie View A&M Offensive Rebound.,26,31
3:20,2504,Gary Blackston Turnover.,26,31
3:20,245,JJ Caldwell Steal.,26,31
3:09,245,Robert Williams made Jumper. Assisted by Tyler Davis.,26,33
3:01,2504,Jordan Lumpkins missed Jumper.,26,33
3:01,245,Tyler Davis Defensive Rebound.,26,33
2:39,245,Foul on Duane Wilson.,26,33
2:39,245,Duane Wilson Turnover.,26,33
2:21,2504,Zachary Hamilton missed Jumper.,26,33
2:21,245,Robert Williams Defensive Rebound.,26,33
2:13,245,Tonny Trocha-Morelos made Layup. Assisted by JJ Caldwell.,26,35
2:13,2504,Foul on JD Wallace.,26,35
2:13,245,Tonny Trocha-Morelos missed Free Throw.,26,35
2:13,245,Robert Williams Offensive Rebound.,26,35
2:05,2504,Foul on Shay'rone Jett.,26,35
2:05,245,Tonny Trocha-Morelos made Free Throw.,26,36
2:05,245,Tonny Trocha-Morelos made Free Throw.,26,37
1:46,2504,Zachary Hamilton made Jumper.,28,37
1:16,245,Foul on TJ Starks.,28,37
1:16,245,TJ Starks Turnover.,28,37
1:00,245,Foul on Tonny Trocha-Morelos.,28,37
1:00,2504,JD Wallace missed Free Throw.,28,37
1:00,2504,Prairie View A&M Deadball Team Rebound.,28,37
1:00,2504,JD Wallace made Free Throw.,29,37
0:49,245,Jay Jay Chandler missed Three Point Jumper.,29,37
0:49,245,Tonny Trocha-Morelos Offensive Rebound.,29,37
0:33,245,Admon Gilder missed Three Point Jumper.,29,37
0:33,245,Tonny Trocha-Morelos Offensive Rebound.,29,37
0:28,245,Tonny Trocha-Morelos missed Jumper.,29,37
0:28,2504,JD Wallace Defensive Rebound.,29,37
0:14,2504,Prairie View A&M  Timeout,29,37
0:07,2504,Gary Blackston Turnover.,29,37
0:07,245,Tonny Trocha-Morelos Steal.,29,37
0:02,245,Admon Gilder Turnover.,29,37
0:02,2504,Zachary Hamilton missed Jumper.,29,37
0:02,2504,Prairie View A&M Offensive Rebound.,29,37
0:00,245,End of 1st half,29,37
20:00,2504,Jump Ball won by Prairie View A&M,29,37
19:34,2504,Gary Blackston missed Jumper.,29,37
19:34,2504,Iwin Ellis Offensive Rebound.,29,37
19:18,2504,Gary Blackston missed Jumper.,29,37
19:18,2504,Iwin Ellis Offensive Rebound.,29,37
19:01,2504,Zachary Hamilton missed Three Point Jumper.,29,37
19:01,245,DJ Hogg Defensive Rebound.,29,37
18:52,245,DJ Hogg missed Three Point Jumper.,29,37
18:52,2504,Iwin Ellis Defensive Rebound.,29,37
18:35,2504,Zachary Hamilton missed Jumper.,29,37
18:35,245,Tyler Davis Defensive Rebound.,29,37
18:24,245,Duane Wilson missed Jumper.,29,37
18:16,2504,Zachary Hamilton Defensive Rebound.,29,37
18:11,2504,Dennis Jones made Layup.,31,37
17:49,245,Tonny Trocha-Morelos missed Three Point Jumper.,31,37
17:49,2504,Zachary Hamilton Defensive Rebound.,31,37
17:28,2504,Zachary Hamilton made Layup. Assisted by Iwin Ellis.,33,37
17:16,245,DJ Hogg made Layup.,33,39
16:48,2504,Zachary Hamilton made Three Point Jumper. Assisted by Dennis Jones.,36,39
16:34,245,Tyler Davis made Layup. Assisted by Tonny Trocha-Morelos.,36,41
16:06,245,Foul on Tyler Davis.,36,41
16:06,2504,Dennis Jones made Free Throw.,37,41
16:06,2504,Dennis Jones missed Free Throw.,37,41
16:06,245,Tyler Davis Defensive Rebound.,37,41
15:45,245,Admon Gilder made Three Point Jumper. Assisted by Tyler Davis.,37,44
15:25,2504,Gary Blackston made Three Point Jumper. Assisted by Dennis Jones.,40,44
14:56,245,Official TV Timeout,40,44
14:56,2504,Foul on Keion Alexander.,40,44
14:56,245,Official TV Timeout,40,44
14:49,245,Duane Wilson missed Jumper.,40,44
14:49,245,Tonny Trocha-Morelos Offensive Rebound.,40,44
14:39,245,Admon Gilder made Three Point Jumper.,40,47
14:13,2504,Dennis Jones missed Jumper.,40,47
14:13,245,Admon Gilder Defensive Rebound.,40,47
14:09,2504,Foul on Dennis Jones.,40,47
13:58,245,Duane Wilson made Dunk. Assisted by Tonny Trocha-Morelos.,40,49
13:38,2504,Iwin Ellis missed Jumper.,40,49
13:38,245,Tyler Davis Defensive Rebound.,40,49
13:26,245,Tyler Davis missed Jumper.,40,49
13:26,2504,Iwin Ellis Block.,40,49
13:26,245,Admon Gilder Offensive Rebound.,40,49
13:23,2504,Foul on Iwin Ellis.,40,49
13:15,245,Tonny Trocha-Morelos made Layup. Assisted by DJ Hogg.,40,51
12:51,2504,Gary Blackston missed Jumper.,40,51
12:51,245,Tonny Trocha-Morelos Defensive Rebound.,40,51
12:45,2504,Foul on Austin Starr.,40,51
12:45,245,Duane Wilson made Free Throw.,40,52
12:45,245,Duane Wilson missed Free Throw.,40,52
12:45,2504,Gary Blackston Defensive Rebound.,40,52
12:26,2504,Austin Starr Turnover.,40,52
12:21,245,Robert Williams made Dunk. Assisted by DJ Hogg.,40,54
12:05,2504,Zachary Hamilton missed Jumper.,40,54
12:05,245,Robert Williams Defensive Rebound.,40,54
11:58,245,Admon Gilder made Layup. Assisted by Duane Wilson.,40,56
11:53,2504,Prairie View A&M  Timeout,40,56
11:35,2504,Gary Blackston missed Three Point Jumper.,40,56
11:35,245,Robert Williams Defensive Rebound.,40,56
11:08,245,Duane Wilson missed Three Point Jumper.,40,56
11:08,2504,Gary Blackston Defensive Rebound.,40,56
11:06,245,Foul on Tonny Trocha-Morelos.,40,56
11:06,245,Official TV Timeout,40,56
10:58,2504,Zachary Hamilton missed Three Point Jumper.,40,56
10:58,245,Robert Williams Defensive Rebound.,40,56
10:47,2504,Foul on Gary Blackston.,40,56
10:47,245,Admon Gilder made Free Throw.,40,57
10:47,245,Admon Gilder made Free Throw.,40,58
10:30,2504,Gary Blackston missed Jumper.,40,58
10:30,245,Robert Williams Block.,40,58
10:30,245,Robert Williams Defensive Rebound.,40,58
10:06,245,DJ Hogg Turnover.,40,58
9:50,2504,Zachary Hamilton missed Jumper.,40,58
9:50,245,DJ Hogg Defensive Rebound.,40,58
9:45,245,Admon Gilder missed Three Point Jumper.,40,58
9:45,245,Admon Gilder Offensive Rebound.,40,58
9:38,245,Tonny Trocha-Morelos made Layup. Assisted by Admon Gilder.,40,60
9:26,2504,Shay'rone Jett missed Jumper.,40,60
9:26,245,DJ Hogg Defensive Rebound.,40,60
9:03,245,TJ Starks made Layup.,40,62
8:50,245,Foul on DJ Hogg.,40,62
8:38,2504,Austin Starr missed Three Point Jumper.,40,62
8:38,245,DJ Hogg Defensive Rebound.,40,62
8:18,245,Robert Williams Turnover.,40,62
8:18,2504,Austin Starr Steal.,40,62
8:12,2504,Austin Starr missed Three Point Jumper.,40,62
8:12,2504,Zachary Hamilton Offensive Rebound.,40,62
8:05,2504,Zachary Hamilton made Layup.,42,62
7:44,245,DJ Hogg missed Layup.,42,62
7:44,245,Robert Williams Offensive Rebound.,42,62
7:43,245,Robert Williams made Layup.,42,64
7:43,2504,Foul on Austin Starr.,42,64
7:43,245,Official TV Timeout,42,64
7:43,245,Robert Williams missed Free Throw.,42,64
7:43,2504,Dennis Jones Defensive Rebound.,42,64
7:32,2504,Zachary Hamilton missed Three Point Jumper.,42,64
7:32,245,Robert Williams Defensive Rebound.,42,64
7:24,2504,Foul on Juan Hood.,42,64
7:24,245,TJ Starks missed Free Throw.,42,64
7:24,2504,Prairie View A&M Defensive Rebound.,42,64
7:09,245,Foul on Robert Williams.,42,64
7:09,2504,Zachary Hamilton missed Free Throw.,42,64
7:09,2504,Prairie View A&M Deadball Team Rebound.,42,64
7:09,2504,Zachary Hamilton made Free Throw.,43,64
6:51,245,Jay Jay Chandler Turnover.,43,64
6:51,2504,Dennis Jones Steal.,43,64
6:46,2504,Dennis Jones made Layup.,45,64
6:32,2504,Foul on Dennis Jones.,45,64
6:32,245,TJ Starks made Free Throw.,45,65
6:32,245,TJ Starks missed Free Throw.,45,65
6:32,2504,JD Wallace Defensive Rebound.,45,65
6:32,2504,Gary Blackston missed Layup.,45,65
6:32,245,Robert Williams Block.,45,65
6:32,245,Robert Williams Defensive Rebound.,45,65
6:19,245,Robert Williams Turnover.,45,65
6:11,2504,Gary Blackston made Layup.,47,65
6:01,245,Jay Jay Chandler made Jumper.,47,67
5:40,2504,Gary Blackston missed Three Point Jumper.,47,67
5:40,245,Robert Williams Defensive Rebound.,47,67
5:24,2504,Foul on Austin Starr.,47,67
5:24,245,Jay Jay Chandler made Free Throw.,47,68
5:24,245,Jay Jay Chandler made Free Throw.,47,69
5:00,2504,Zachary Hamilton missed Jumper.,47,69
5:00,245,Tonny Trocha-Morelos Defensive Rebound.,47,69
4:38,245,TJ Starks missed Layup.,47,69
4:38,2504,JD Wallace Defensive Rebound.,47,69
4:31,245,Foul on Jay Jay Chandler.,47,69
4:31,2504,Gary Blackston missed Free Throw.,47,69
4:31,2504,Prairie View A&M Deadball Team Rebound.,47,69
4:31,2504,Gary Blackston made Free Throw.,48,69
4:08,245,Tonny Trocha-Morelos missed Layup.,48,69
4:08,2504,JD Wallace Defensive Rebound.,48,69
4:00,245,Official TV Timeout,48,69
3:53,2504,Gary Blackston missed Layup.,48,69
3:53,2504,JD Wallace Offensive Rebound.,48,69
3:46,2504,JD Wallace made Dunk.,50,69
3:46,245,Savion Flagg missed Layup.,50,69
3:46,2504,Zachary Hamilton Block.,50,69
3:46,2504,Zachary Hamilton Defensive Rebound.,50,69
3:20,2504,Zachary Hamilton Turnover.,50,69
3:20,245,Duane Wilson Steal.,50,69
3:15,245,Savion Flagg missed Jumper.,50,69
3:15,2504,Gary Blackston Defensive Rebound.,50,69
3:08,245,Foul on Jay Jay Chandler.,50,69
3:00,245,Foul on Chris Collins.,50,69
3:00,2504,Gary Blackston missed Free Throw.,50,69
3:00,245,Savion Flagg Defensive Rebound.,50,69
2:40,245,Jay Jay Chandler Turnover.,50,69
2:36,245,Foul on Jay Jay Chandler.,50,69
2:36,2504,Gary Blackston made Free Throw.,51,69
2:36,2504,Gary Blackston made Free Throw.,52,69
2:25,245,Jay Jay Chandler missed Three Point Jumper.,52,69
2:25,245,Savion Flagg Offensive Rebound.,52,69
2:17,245,Savion Flagg made Dunk.,52,71
2:04,2504,Gary Blackston missed Jumper.,52,71
2:04,245,Jay Jay Chandler Defensive Rebound.,52,71
1:55,245,Jay Jay Chandler made Layup.,52,73
1:46,2504,Gary Blackston Turnover.,52,73
1:46,2504,Foul on Gary Blackston.,52,73
1:17,245,TJ Starks missed Jumper.,52,73
1:17,2504,JD Wallace Defensive Rebound.,52,73
1:08,2504,Dennis Jones missed Jumper.,52,73
1:08,245,Savion Flagg Defensive Rebound.,52,73
1:03,245,TJ Starks missed Dunk.,52,73
1:03,245,Savion Flagg Offensive Rebound.,52,73
0:54,245,Chris Collins Turnover.,52,73
0:52,2504,Zachary Hamilton missed Three Point Jumper.,52,73
0:52,2504,Zachary Hamilton Offensive Rebound.,52,73
0:46,245,Foul on Isiah Jasey.,52,73
0:46,2504,Zachary Hamilton missed Free Throw.,52,73
0:46,245,Isiah Jasey Defensive Rebound.,52,73
0:35,245,Chris Collins missed Layup.,52,73
0:35,2504,Keion Alexander Defensive Rebound.,52,73
0:33,245,Foul on Mark French.,52,73
0:33,2504,Keion Alexander missed Free Throw.,52,73
0:33,2504,Prairie View A&M Deadball Team Rebound.,52,73
0:33,2504,Keion Alexander made Free Throw.,53,73
0:00,245,End of Game,53,73
