Central State (OH),Error,Eastern Michigan,2199
14:12,-1,Chris Cook made Layup. Assisted by Frank Barber III.,8,15
13:53,2199,James Thompson IV made Layup.,8,17
13:37,-1,Frank Barber III made Jumper.,10,17
13:24,2199,Elijah Minnie made Layup.,10,19
13:07,-1,Chris Cook made Jumper.,12,19
12:51,2199,Tim Bond Turnover.,12,19
12:51,-1,Chris Cook Steal.,12,19
12:47,-1,Sterling Gilmore Turnover.,12,19
12:46,2199,James Thompson IV Steal.,12,19
12:36,2199,Paul Jackson missed Three Point Jumper.,12,19
12:36,-1,Central State Ohio Defensive Rebound.,12,19
12:15,-1,Jeremy Brown missed Layup.,12,19
12:15,-1,Jeremy Brown Offensive Rebound.,12,19
12:11,-1,Jeremy Brown made Layup.,14,19
11:58,2199,Elijah Minnie missed Three Point Jumper.,14,19
11:58,-1,Tom Johnson Defensive Rebound.,14,19
11:49,-1,Tom Johnson Turnover.,14,19
11:49,2199,Official TV Timeout,14,19
11:39,2199,Terry Harris Turnover.,14,19
11:38,-1,Jeremy Brown Steal.,14,19
11:37,2199,Foul on Ty Groce.,14,19
11:37,-1,Jeremy Brown made Free Throw.,15,19
11:37,-1,Jeremy Brown made Free Throw.,16,19
11:33,-1,Foul on Tom Johnson.,16,19
11:19,2199,James Thompson IV Turnover.,16,19
11:02,-1,Davone Daniels missed Three Point Jumper.,16,19
11:02,2199,Terry Harris Defensive Rebound.,16,19
10:52,2199,Paul Jackson made Jumper.,16,21
10:40,-1,Jeremy Brown missed Jumper.,16,21
10:40,2199,Ty Groce Defensive Rebound.,16,21
10:28,2199,James Thompson IV made Layup. Assisted by Paul Jackson.,16,23
10:19,-1,Tom Johnson Turnover.,16,23
10:18,2199,Paul Jackson Steal.,16,23
10:17,2199,Ty Groce Turnover.,16,23
10:16,-1,Davone Daniels Steal.,16,23
10:12,2199,Foul on Ty Groce.,16,23
10:12,-1,Frank Barber III missed Free Throw.,16,23
10:12,-1,Central State Ohio Deadball Team Rebound.,16,23
10:12,-1,Frank Barber III made Free Throw.,17,23
9:43,2199,Elijah Minnie made Jumper.,17,25
9:18,-1,Terence Gholston Turnover.,17,25
8:56,2199,James Thompson IV Turnover.,17,25
8:55,-1,Frank Barber III Steal.,17,25
8:51,-1,Jeremy Brown Turnover.,17,25
8:31,2199,Paul Jackson missed Three Point Jumper.,17,25
8:31,-1,Frank Barber III Defensive Rebound.,17,25
8:15,-1,Frank Barber III Turnover.,17,25
8:14,2199,Paul Jackson Steal.,17,25
8:10,2199,Paul Jackson Turnover.,17,25
8:09,-1,Frank Barber III Steal.,17,25
8:07,-1,Frank Barber III Turnover.,17,25
7:57,-1,Foul on Terence Gholston.,17,25
7:57,2199,Official TV Timeout,17,25
7:57,2199,James Thompson IV made Free Throw.,17,26
7:57,2199,James Thompson IV missed Free Throw.,17,26
7:57,-1,Frank Barber III Defensive Rebound.,17,26
7:37,-1,Terence Gholston Turnover.,17,26
7:36,2199,Tim Bond Steal.,17,26
7:32,2199,Malik Ellison Turnover.,17,26
7:31,-1,Tom Johnson Steal.,17,26
7:27,-1,Jeremy Brown missed Layup.,17,26
7:27,2199,James Thompson IV Block.,17,26
7:25,2199,James Thompson IV Defensive Rebound.,17,26
7:13,2199,Jordan Nobles Turnover.,17,26
6:49,-1,Jeremy Brown made Three Point Jumper.,20,26
6:24,2199,Jordan Nobles missed Three Point Jumper.,20,26
6:24,2199,Terry Harris Offensive Rebound.,20,26
6:23,-1,Foul on Terence Gholston.,20,26
6:14,2199,Tim Bond made Three Point Jumper. Assisted by Elijah Minnie.,20,29
6:03,-1,Jeremy Brown missed Three Point Jumper.,20,29
6:03,2199,Elijah Minnie Defensive Rebound.,20,29
5:56,2199,Tim Bond Turnover.,20,29
5:34,-1,Akil Cornish missed Three Point Jumper.,20,29
5:34,-1,Jeremy Brown Offensive Rebound.,20,29
5:30,-1,Jeremy Brown made Layup.,22,29
5:17,-1,Foul on Tom Johnson.,22,29
5:05,2199,Paul Jackson missed Layup.,22,29
5:05,2199,Elijah Minnie Offensive Rebound.,22,29
5:01,2199,Elijah Minnie missed Layup.,22,29
5:01,-1,Akil Cornish Block.,22,29
5:01,2199,Eastern Michigan Offensive Rebound.,22,29
4:50,2199,James Thompson IV Turnover.,22,29
4:28,-1,Tom Johnson missed Three Point Jumper.,22,29
4:28,2199,James Thompson IV Defensive Rebound.,22,29
4:15,2199,Elijah Minnie missed Layup.,22,29
4:15,-1,Chris Cook Block.,22,29
4:14,2199,James Thompson IV Offensive Rebound.,22,29
4:12,2199,James Thompson IV missed Layup.,22,29
4:12,2199,James Thompson IV Offensive Rebound.,22,29
4:09,2199,James Thompson IV made Layup.,22,31
4:03,-1,Jeremy Brown missed Jumper.,22,31
4:03,2199,Jordan Nobles Defensive Rebound.,22,31
3:53,2199,Paul Jackson made Jumper.,22,33
3:47,2199,Official TV Timeout,22,33
3:29,-1,Frank Barber III missed Jumper.,22,33
3:29,2199,Jordan Nobles Defensive Rebound.,22,33
3:07,2199,Kevin McAdoo made Three Point Jumper. Assisted by James Thompson IV.,22,36
2:46,2199,Foul on Paul Jackson.,22,36
2:36,-1,Martin Oliver made Jumper.,24,36
2:17,2199,Elijah Minnie Turnover.,24,36
2:17,2199,Foul on Elijah Minnie.,24,36
1:55,-1,Martin Oliver missed Dunk.,24,36
1:55,2199,James Thompson IV Defensive Rebound.,24,36
1:47,2199,Paul Jackson missed Jumper.,24,36
1:47,2199,James Thompson IV Offensive Rebound.,24,36
1:45,2199,James Thompson IV made Layup.,24,38
1:36,-1,Frank Barber III Turnover.,24,38
1:35,2199,Kevin McAdoo Steal.,24,38
1:32,2199,Kevin McAdoo made Layup.,24,40
1:25,-1,Frank Barber III made Layup. Assisted by Akil Cornish.,26,40
1:02,2199,Kevin McAdoo made Three Point Jumper.,26,43
0:45,-1,Tom Johnson missed Layup.,26,43
0:45,2199,James Thompson IV Defensive Rebound.,26,43
0:39,2199,Kevin McAdoo missed Three Point Jumper.,26,43
0:39,-1,Sterling Gilmore Defensive Rebound.,26,43
0:32,2199,Foul on James Thompson IV.,26,43
0:32,-1,Sterling Gilmore missed Free Throw.,26,43
0:32,-1,Central State Ohio Deadball Team Rebound.,26,43
0:32,-1,Sterling Gilmore made Free Throw.,27,43
0:18,-1,Foul on Frank Barber III.,27,43
0:18,2199,Elijah Minnie made Free Throw.,27,44
0:18,2199,Elijah Minnie made Free Throw.,27,45
0:18,-1,Central State Ohio  Timeout,27,45
0:01,-1,Martin Oliver missed Jumper.,27,45
0:01,-1,Central State Ohio Deadball Team Rebound.,27,45
0:00,2199,End of 1st half,27,45
19:31,-1,Davone Daniels made Three Point Jumper. Assisted by Chris Scott.,30,45
19:18,2199,Jordan Nobles Turnover.,30,45
19:17,-1,Frank Barber III Steal.,30,45
19:15,-1,Martin Oliver made Three Point Jumper. Assisted by Frank Barber III.,33,45
19:04,-1,Foul on Chris Scott.,33,45
19:04,2199,Elijah Minnie made Free Throw.,33,46
19:04,2199,Elijah Minnie made Free Throw.,33,47
18:50,-1,Frank Barber III Turnover.,33,47
18:45,2199,Jordan Nobles missed Layup.,33,47
18:45,2199,Elijah Minnie Offensive Rebound.,33,47
18:43,2199,Elijah Minnie made Two Point Tip Shot.,33,49
18:32,-1,Chris Scott missed Layup.,33,49
18:32,-1,Davone Daniels Offensive Rebound.,33,49
18:30,-1,Davone Daniels made Layup.,35,49
18:22,-1,Foul on Martin Oliver.,35,49
18:08,2199,Tim Bond missed Three Point Jumper.,35,49
18:08,-1,Davone Daniels Defensive Rebound.,35,49
17:54,-1,Sterling Gilmore missed Jumper.,35,49
17:54,2199,James Thompson IV Defensive Rebound.,35,49
17:40,2199,James Thompson IV made Layup.,35,51
17:19,-1,Chris Scott made Layup.,37,51
17:09,2199,Jordan Nobles made Layup. Assisted by Elijah Minnie.,37,53
16:55,-1,Chris Scott made Layup. Assisted by Martin Oliver.,39,53
16:43,2199,Jordan Nobles Turnover.,39,53
16:42,-1,Sterling Gilmore Steal.,39,53
16:40,-1,Frank Barber III made Layup. Assisted by Sterling Gilmore.,41,53
16:40,2199,Foul on Paul Jackson.,41,53
16:40,-1,Frank Barber III missed Free Throw.,41,53
16:40,2199,James Thompson IV Defensive Rebound.,41,53
16:20,-1,Foul on Frank Barber III.,41,53
16:10,2199,James Thompson IV made Layup. Assisted by Elijah Minnie.,41,55
16:01,-1,Tom Johnson Turnover.,41,55
16:00,2199,Official TV Timeout,41,55
15:44,2199,Terry Harris missed Layup.,41,55
15:44,2199,James Thompson IV Offensive Rebound.,41,55
15:42,2199,James Thompson IV made Dunk.,41,57
15:39,-1,Tom Johnson Turnover.,41,57
15:38,2199,Elijah Minnie Steal.,41,57
15:35,2199,Terry Harris made Layup. Assisted by Paul Jackson.,41,59
15:16,-1,Chris Scott made Layup.,43,59
14:57,2199,James Thompson IV Turnover.,43,59
14:56,-1,Frank Barber III Steal.,43,59
14:51,-1,Frank Barber III missed Layup.,43,59
14:51,-1,Chris Scott Offensive Rebound.,43,59
14:49,-1,Chris Scott made Layup.,45,59
14:49,2199,Foul on Terry Harris.,45,59
14:49,-1,Chris Scott missed Free Throw.,45,59
14:49,2199,James Thompson IV Defensive Rebound.,45,59
14:45,2199,James Thompson IV Turnover.,45,59
14:44,-1,Martin Oliver Steal.,45,59
14:40,-1,Chris Scott missed Layup.,45,59
14:40,2199,James Thompson IV Block.,45,59
14:40,-1,Central State Ohio Offensive Rebound.,45,59
14:24,-1,Tom Johnson missed Jumper.,45,59
14:24,-1,Frank Barber III Offensive Rebound.,45,59
14:21,2199,Foul on Bud Jones.,45,59
14:21,-1,Frank Barber III missed Free Throw.,45,59
14:21,-1,Central State Ohio Deadball Team Rebound.,45,59
14:21,-1,Frank Barber III made Free Throw.,46,59
14:13,2199,Elijah Minnie missed Three Point Jumper.,46,59
14:13,-1,Tom Johnson Defensive Rebound.,46,59
13:59,-1,Tom Johnson made Layup.,48,59
13:59,2199,Foul on Bud Jones.,48,59
13:59,-1,Tom Johnson made Free Throw.,49,59
13:52,-1,Foul on Jeremy Brown.,49,59
13:52,2199,Tim Bond made Free Throw.,49,60
13:52,2199,Tim Bond missed Free Throw.,49,60
13:52,-1,Jeremy Brown Defensive Rebound.,49,60
13:41,-1,Martin Oliver Turnover.,49,60
13:40,2199,James Thompson IV Steal.,49,60
13:26,2199,Official TV Timeout,49,60
13:21,2199,James Thompson IV Turnover.,49,60
13:20,-1,Jeremy Brown Steal.,49,60
13:19,-1,Central State Ohio  Timeout,49,60
13:19,2199,Official TV Timeout,49,60
13:06,-1,Davone Daniels Turnover.,49,60
12:55,2199,Tim Bond Turnover.,49,60
12:54,-1,Jeremy Brown Steal.,49,60
12:49,-1,Jeremy Brown made Layup.,51,60
12:39,2199,Paul Jackson Turnover.,51,60
12:39,-1,Chris Scott Steal.,51,60
12:39,2199,Foul on Ty Groce.,51,60
12:39,2199,Eastern Michigan  Timeout,51,60
12:23,-1,Tom Johnson missed Jumper.,51,60
12:23,2199,Elijah Minnie Defensive Rebound.,51,60
12:10,2199,Ty Groce missed Jumper.,51,60
12:10,2199,Eastern Michigan Offensive Rebound.,51,60
11:49,2199,James Thompson IV made Dunk. Assisted by Paul Jackson.,51,62
11:37,-1,Chris Scott missed Layup.,51,62
11:37,2199,James Thompson IV Defensive Rebound.,51,62
11:18,2199,Paul Jackson missed Jumper.,51,62
11:18,2199,James Thompson IV Offensive Rebound.,51,62
11:14,-1,Foul on Davone Daniels.,51,62
11:14,2199,Official TV Timeout,51,62
11:05,2199,Kevin McAdoo missed Three Point Jumper.,51,62
11:05,-1,Tom Johnson Defensive Rebound.,51,62
10:47,-1,Frank Barber III made Jumper.,53,62
10:25,2199,Paul Jackson missed Jumper.,53,62
10:25,-1,Davone Daniels Defensive Rebound.,53,62
10:14,-1,Jeremy Brown made Layup. Assisted by Frank Barber III.,55,62
9:51,2199,Ty Groce missed Three Point Jumper.,55,62
9:51,-1,Jeremy Brown Defensive Rebound.,55,62
9:24,-1,Chris Scott made Jumper.,57,62
9:16,2199,Kevin McAdoo missed Layup.,57,62
9:16,-1,Sterling Gilmore Defensive Rebound.,57,62
9:07,-1,Tom Johnson missed Layup.,57,62
9:07,2199,Elijah Minnie Block.,57,62
9:06,2199,James Thompson IV Defensive Rebound.,57,62
9:02,-1,Foul on Tom Johnson.,57,62
9:02,2199,Paul Jackson made Free Throw.,57,63
9:02,2199,Paul Jackson made Free Throw.,57,64
8:40,-1,Chris Cook missed Jumper.,57,64
8:40,2199,Tim Bond Defensive Rebound.,57,64
8:38,2199,Tim Bond Turnover.,57,64
8:37,-1,Davone Daniels Steal.,57,64
8:35,-1,Davone Daniels missed Layup.,57,64
8:35,2199,Tim Bond Block.,57,64
8:34,-1,Jeremy Brown Offensive Rebound.,57,64
8:32,-1,Jeremy Brown missed Layup.,57,64
8:32,2199,Tim Bond Block.,57,64
8:30,-1,Jeremy Brown Offensive Rebound.,57,64
8:28,-1,Jeremy Brown made Layup.,59,64
8:17,2199,Elijah Minnie made Dunk. Assisted by Tim Bond.,59,66
7:54,-1,Davone Daniels missed Three Point Jumper.,59,66
7:54,2199,Elijah Minnie Defensive Rebound.,59,66
7:44,2199,Tim Bond made Dunk.,59,68
7:15,-1,Davone Daniels Turnover.,59,68
7:14,2199,Elijah Minnie Steal.,59,68
7:08,2199,Kevin McAdoo Turnover.,59,68
7:08,2199,Official TV Timeout,59,68
6:49,-1,Jeremy Brown made Jumper. Assisted by Frank Barber III.,61,68
6:22,2199,Paul Jackson missed Jumper.,61,68
6:22,-1,Chris Cook Defensive Rebound.,61,68
6:10,-1,Jeremy Brown missed Jumper.,61,68
6:10,-1,Central State Ohio Offensive Rebound.,61,68
5:55,2199,Foul on Tim Bond.,61,68
5:38,-1,Frank Barber III missed Layup.,61,68
5:38,2199,James Thompson IV Defensive Rebound.,61,68
5:28,2199,Paul Jackson Turnover.,61,68
5:27,-1,Joey Williams Steal.,61,68
5:24,-1,Martin Oliver missed Layup.,61,68
5:24,2199,Tim Bond Block.,61,68
5:24,-1,Central State Ohio Offensive Rebound.,61,68
5:17,-1,Sterling Gilmore Turnover.,61,68
4:52,2199,Tim Bond made Layup.,61,70
4:24,-1,Sterling Gilmore Turnover.,61,70
4:22,2199,Tim Bond Steal.,61,70
4:00,-1,Foul on Frank Barber III.,61,70
4:00,2199,Official TV Timeout,61,70
4:00,2199,Elijah Minnie made Free Throw.,61,71
4:00,2199,Elijah Minnie made Free Throw.,61,72
3:34,-1,Sterling Gilmore missed Three Point Jumper.,61,72
3:34,2199,James Thompson IV Defensive Rebound.,61,72
3:22,2199,Paul Jackson made Layup. Assisted by James Thompson IV.,61,74
3:12,-1,Jeremy Brown missed Three Point Jumper.,61,74
3:12,-1,Central State Ohio Offensive Rebound.,61,74
3:05,-1,Martin Oliver Turnover.,61,74
3:04,2199,Tim Bond Steal.,61,74
3:01,2199,Tim Bond made Dunk. Assisted by Paul Jackson.,61,76
2:56,2199,Foul on Jordan Nobles.,61,76
2:56,-1,Jeremy Brown missed Free Throw.,61,76
2:56,-1,Central State Ohio Deadball Team Rebound.,61,76
2:56,-1,Jeremy Brown made Free Throw.,62,76
2:48,2199,Paul Jackson made Layup.,62,78
2:29,-1,Chris Scott missed Layup.,62,78
2:29,2199,Elijah Minnie Block.,62,78
2:28,2199,Jordan Nobles Defensive Rebound.,62,78
2:02,2199,Elijah Minnie missed Jumper.,62,78
2:02,-1,Davone Daniels Defensive Rebound.,62,78
1:49,-1,Jeremy Brown Turnover.,62,78
1:27,-1,Foul on Jeremy Brown.,62,78
1:27,2199,Paul Jackson made Free Throw.,62,79
1:27,2199,Paul Jackson made Free Throw.,62,80
1:15,-1,Martin Oliver made Three Point Jumper. Assisted by Chris Scott.,65,80
0:58,2199,Eastern Michigan  Timeout,65,80
0:41,2199,Kevin McAdoo missed Layup.,65,80
0:41,-1,Bishop James Block.,65,80
0:41,2199,Eastern Michigan Offensive Rebound.,65,80
0:39,2199,Eastern Michigan  Turnover.,65,80
0:22,-1,Bishop James missed Layup.,65,80
0:22,2199,Eastern Michigan Defensive Rebound.,65,80
0:00,2199,End of Game,65,80
