West Virginia,221,Pittsburgh,277
9:44,221,Marcus Carr made Free Throw.,24,15
9:29,277,Daxter Miles Jr. made Jumper.,26,15
9:09,277,Foul on Teddy Allen.,26,15
9:09,221,Marcus Carr made Free Throw.,26,16
9:09,221,Marcus Carr made Free Throw.,26,17
9:02,277,Daxter Miles Jr. missed Three Point Jumper.,26,17
9:02,221,Shamiel Stevenson Defensive Rebound.,26,17
8:57,221,Shamiel Stevenson Turnover.,26,17
8:57,277,Daxter Miles Jr. Steal.,26,17
8:53,277,Chase Harler missed Layup.,26,17
8:53,221,Jonathan Milligan Defensive Rebound.,26,17
8:34,221,Jonathan Milligan missed Three Point Jumper.,26,17
8:34,277,Sagaba Konate Defensive Rebound.,26,17
8:05,277,James Bolden Turnover.,26,17
7:45,221,Jared Wilson-Frame missed Three Point Jumper.,26,17
7:45,221,Ryan Luther Offensive Rebound.,26,17
7:45,277,Foul on Jevon Carter.,26,17
7:40,221,Official TV Timeout,26,17
7:40,221,Ryan Luther missed Free Throw.,26,17
7:40,221,Pittsburgh Deadball Team Rebound.,26,17
7:40,221,Ryan Luther made Free Throw.,26,18
7:30,221,Foul on Peace Ilegomah.,26,18
7:20,277,Jevon Carter made Three Point Jumper.,29,18
6:51,221,Jared Wilson-Frame missed Three Point Jumper.,29,18
6:51,277,West Virginia Defensive Rebound.,29,18
6:36,277,Jevon Carter made Three Point Jumper. Assisted by Maciej Bender.,32,18
6:29,221,Technical Foul on Pittsburgh.,32,18
6:29,277,Jevon Carter missed Free Throw.,32,18
6:29,277,West Virginia Deadball Team Rebound.,32,18
6:29,277,Jevon Carter made Free Throw.,33,18
6:09,221,Marcus Carr Turnover.,33,18
6:09,277,Chase Harler Steal.,33,18
6:04,221,Foul on Khameron Davis.,33,18
6:04,277,Jevon Carter made Free Throw.,34,18
6:04,277,Jevon Carter made Free Throw.,35,18
5:54,221,Marcus Carr Turnover.,35,18
5:54,277,Chase Harler Steal.,35,18
5:47,277,Jevon Carter made Three Point Jumper. Assisted by Chase Harler.,38,18
5:44,221,Pittsburgh  Timeout,38,18
5:32,221,Shamiel Stevenson missed Dunk.,38,18
5:32,221,Pittsburgh Offensive Rebound.,38,18
5:15,221,Marcus Carr missed Three Point Jumper.,38,18
5:15,277,Lamont West Defensive Rebound.,38,18
4:59,277,Daxter Miles Jr. Turnover.,38,18
4:59,221,Marcus Carr Steal.,38,18
4:55,221,Shamiel Stevenson made Dunk. Assisted by Marcus Carr.,38,20
4:46,277,Jevon Carter missed Three Point Jumper.,38,20
4:46,221,Ryan Luther Defensive Rebound.,38,20
4:33,221,Jared Wilson-Frame Turnover.,38,20
4:33,277,Lamont West Steal.,38,20
4:27,277,Jevon Carter missed Layup.,38,20
4:27,221,Jared Wilson-Frame Defensive Rebound.,38,20
4:09,221,Jared Wilson-Frame missed Layup.,38,20
4:09,277,Maciej Bender Defensive Rebound.,38,20
3:58,277,Daxter Miles Jr. missed Three Point Jumper.,38,20
3:58,221,Ryan Luther Defensive Rebound.,38,20
3:34,277,Foul on Chase Harler.,38,20
3:34,221,Official TV Timeout,38,20
3:34,221,Shamiel Stevenson made Free Throw.,38,21
3:34,221,Shamiel Stevenson made Free Throw.,38,22
3:12,277,James Bolden made Jumper.,40,22
2:58,221,Khameron Davis missed Three Point Jumper.,40,22
2:58,277,Sagaba Konate Defensive Rebound.,40,22
2:41,277,Teddy Allen Turnover.,40,22
2:29,221,Parker Stewart made Three Point Jumper. Assisted by Ryan Luther.,40,25
2:05,277,Lamont West missed Jumper.,40,25
2:05,277,Lamont West Offensive Rebound.,40,25
2:00,277,Lamont West missed Layup.,40,25
2:00,221,Ryan Luther Defensive Rebound.,40,25
1:54,277,Foul on Teddy Allen.,40,25
1:54,221,Ryan Luther missed Free Throw.,40,25
1:54,221,Pittsburgh Deadball Team Rebound.,40,25
1:54,221,Ryan Luther made Free Throw.,40,26
1:39,277,James Bolden made Layup.,42,26
1:19,221,Parker Stewart missed Three Point Jumper.,42,26
1:19,221,Shamiel Stevenson Offensive Rebound.,42,26
1:15,221,Shamiel Stevenson Turnover.,42,26
1:15,277,Wesley Harris Steal.,42,26
0:56,277,Jevon Carter made Three Point Jumper.,45,26
0:29,277,Foul on Sagaba Konate.,45,26
0:29,221,Marcus Carr missed Free Throw.,45,26
0:29,221,Pittsburgh Deadball Team Rebound.,45,26
0:29,221,Marcus Carr made Free Throw.,45,27
0:04,277,Jevon Carter missed Jumper.,45,27
0:04,221,Jonathan Milligan Defensive Rebound.,45,27
0:00,221,End of 1st half,45,27
20:00,221,Jump Ball won by Pittsburgh,45,27
19:53,221,Khameron Davis made Three Point Jumper. Assisted by Ryan Luther.,45,30
19:32,277,Daxter Miles Jr. made Layup. Assisted by Jevon Carter.,47,30
19:10,221,Khameron Davis missed Three Point Jumper.,47,30
19:10,277,Lamont West Defensive Rebound.,47,30
18:47,277,Jevon Carter missed Jumper.,47,30
18:47,221,Khameron Davis Defensive Rebound.,47,30
18:25,277,Foul on Sagaba Konate.,47,30
18:25,221,Jared Wilson-Frame made Free Throw.,47,31
18:25,221,Jared Wilson-Frame made Free Throw.,47,32
18:03,277,Foul on Wesley Harris.,47,32
18:03,277,Wesley Harris Turnover.,47,32
17:55,221,Jared Wilson-Frame missed Three Point Jumper.,47,32
17:55,277,Jevon Carter Defensive Rebound.,47,32
17:48,277,Daxter Miles Jr. missed Three Point Jumper.,47,32
17:48,277,Lamont West Offensive Rebound.,47,32
17:48,277,Lamont West missed Layup.,47,32
17:48,277,West Virginia Offensive Rebound.,47,32
17:48,221,Foul on Jared Wilson-Frame.,47,32
17:48,277,Wesley Harris made Jumper. Assisted by Jevon Carter.,49,32
17:24,277,Foul on Wesley Harris.,49,32
17:19,221,Jared Wilson-Frame made Layup.,49,34
17:19,277,Foul on Daxter Miles Jr..,49,34
17:19,221,Jared Wilson-Frame made Free Throw.,49,35
17:05,277,Foul on Daxter Miles Jr..,49,35
17:05,277,Daxter Miles Jr. Turnover.,49,35
16:57,221,Ryan Luther Turnover.,49,35
16:41,221,Foul on Khameron Davis.,49,35
16:30,277,Maciej Bender missed Layup.,49,35
16:30,221,Ryan Luther Defensive Rebound.,49,35
16:19,221,Jared Wilson-Frame made Layup.,49,37
16:06,277,Maciej Bender made Layup. Assisted by Jevon Carter.,51,37
15:42,221,Marcus Carr missed Jumper.,51,37
15:42,277,Jevon Carter Block.,51,37
15:42,221,Marcus Carr Offensive Rebound.,51,37
15:34,221,Ryan Luther made Layup. Assisted by Marcus Carr.,51,39
15:06,277,Jevon Carter missed Layup.,51,39
15:06,221,Ryan Luther Block.,51,39
15:06,277,Lamont West Offensive Rebound.,51,39
15:00,221,Foul on Marcus Carr.,51,39
15:00,221,Official TV Timeout,51,39
14:55,277,James Bolden made Three Point Jumper. Assisted by Jevon Carter.,54,39
14:32,277,Foul on Jevon Carter.,54,39
14:22,221,Jonathan Milligan missed Three Point Jumper.,54,39
14:22,221,Ryan Luther Offensive Rebound.,54,39
14:22,221,Ryan Luther made Two Point Tip Shot.,54,41
13:55,277,Foul on Jevon Carter.,54,41
13:55,277,Jevon Carter Turnover.,54,41
13:29,277,Foul on Maciej Bender.,54,41
13:29,221,Shamiel Stevenson missed Free Throw.,54,41
13:29,221,Pittsburgh Deadball Team Rebound.,54,41
13:29,221,Shamiel Stevenson made Free Throw.,54,42
13:19,277,Daxter Miles Jr. missed Three Point Jumper.,54,42
13:19,221,Jonathan Milligan Defensive Rebound.,54,42
12:59,221,Parker Stewart missed Three Point Jumper.,54,42
12:59,277,Lamont West Defensive Rebound.,54,42
12:28,277,James Bolden missed Three Point Jumper.,54,42
12:28,221,Jared Wilson-Frame Defensive Rebound.,54,42
12:15,221,Parker Stewart missed Three Point Jumper.,54,42
12:15,277,West Virginia Defensive Rebound.,54,42
12:08,221,Foul on Ryan Luther.,54,42
11:57,277,Lamont West missed Three Point Jumper.,54,42
11:57,221,Parker Stewart Defensive Rebound.,54,42
11:20,221,Ryan Luther made Layup. Assisted by Marcus Carr.,54,44
11:20,277,Foul on Daxter Miles Jr..,54,44
11:20,221,Official TV Timeout,54,44
11:20,221,Ryan Luther missed Free Throw.,54,44
11:20,277,Sagaba Konate Defensive Rebound.,54,44
11:08,277,Sagaba Konate made Jumper. Assisted by Lamont West.,56,44
10:41,221,Marcus Carr made Three Point Jumper. Assisted by Shamiel Stevenson.,56,47
10:21,277,Sagaba Konate missed Jumper.,56,47
10:21,221,Pittsburgh Defensive Rebound.,56,47
9:56,221,Shamiel Stevenson made Three Point Jumper. Assisted by Marcus Carr.,56,50
9:41,277,West Virginia  Timeout,56,50
9:32,277,Sagaba Konate Turnover.,56,50
9:32,221,Shamiel Stevenson Steal.,56,50
9:16,221,Shamiel Stevenson made Layup. Assisted by Parker Stewart.,56,52
9:16,277,Foul on James Bolden.,56,52
9:16,221,Shamiel Stevenson made Free Throw.,56,53
9:04,277,Lamont West made Layup. Assisted by Jevon Carter.,58,53
8:42,221,Ryan Luther missed Three Point Jumper.,58,53
8:42,277,Lamont West Defensive Rebound.,58,53
8:18,221,Foul on Jonathan Milligan.,58,53
8:08,277,Lamont West missed Three Point Jumper.,58,53
8:08,277,Wesley Harris Offensive Rebound.,58,53
7:42,277,Daxter Miles Jr. missed Jumper.,58,53
7:42,221,Ryan Luther Defensive Rebound.,58,53
7:17,221,Official TV Timeout,58,53
7:17,221,Marcus Carr Turnover.,58,53
7:04,277,James Bolden made Three Point Jumper. Assisted by Lamont West.,61,53
6:33,221,Shamiel Stevenson missed Layup.,61,53
6:33,221,Ryan Luther Offensive Rebound.,61,53
6:33,221,Ryan Luther made Two Point Tip Shot.,61,55
6:03,277,James Bolden missed Jumper.,61,55
6:03,221,Ryan Luther Defensive Rebound.,61,55
5:42,221,Marcus Carr made Three Point Jumper. Assisted by Khameron Davis.,61,58
5:42,277,Foul on Wesley Harris.,61,58
5:42,221,Marcus Carr made Free Throw.,61,59
5:20,221,Foul on Shamiel Stevenson.,61,59
5:17,277,Jevon Carter missed Three Point Jumper.,61,59
5:17,277,Sagaba Konate Offensive Rebound.,61,59
5:12,277,Sagaba Konate made Jumper.,63,59
5:12,221,Foul on Parker Stewart.,63,59
5:12,277,Sagaba Konate missed Free Throw.,63,59
5:12,221,Khameron Davis Defensive Rebound.,63,59
4:54,221,Jared Wilson-Frame missed Three Point Jumper.,63,59
4:54,277,Jevon Carter Defensive Rebound.,63,59
4:25,277,Jevon Carter made Jumper.,65,59
4:03,221,Khameron Davis missed Three Point Jumper.,65,59
4:03,277,Lamont West Defensive Rebound.,65,59
3:48,277,Jevon Carter missed Jumper.,65,59
3:48,221,Shamiel Stevenson Defensive Rebound.,65,59
3:26,277,Foul on Sagaba Konate.,65,59
3:26,221,Official TV Timeout,65,59
3:26,221,Shamiel Stevenson made Free Throw.,65,60
3:26,221,Shamiel Stevenson missed Free Throw.,65,60
3:26,221,Jared Wilson-Frame Offensive Rebound.,65,60
2:56,221,Khameron Davis Turnover.,65,60
2:56,277,Daxter Miles Jr. Steal.,65,60
2:35,277,Daxter Miles Jr. made Layup.,67,60
2:24,221,Pittsburgh  Timeout,67,60
2:16,221,Jared Wilson-Frame missed Three Point Jumper.,67,60
2:16,221,Ryan Luther Offensive Rebound.,67,60
2:16,221,Ryan Luther missed Two Point Tip Shot.,67,60
2:16,277,Jevon Carter Defensive Rebound.,67,60
1:54,277,West Virginia  Timeout,67,60
1:41,277,Daxter Miles Jr. made Layup.,69,60
1:25,221,Parker Stewart missed Three Point Jumper.,69,60
1:25,277,Lamont West Defensive Rebound.,69,60
0:57,277,Daxter Miles Jr. missed Three Point Jumper.,69,60
0:57,221,Marcus Carr Defensive Rebound.,69,60
0:47,221,Foul on Marcus Carr.,69,60
0:47,221,Marcus Carr Turnover.,69,60
0:31,221,Foul on Shamiel Stevenson.,69,60
0:31,277,Lamont West missed Free Throw.,69,60
0:31,221,Ryan Luther Defensive Rebound.,69,60
0:31,221,Ryan Luther missed Three Point Jumper.,69,60
0:31,277,Chase Harler Defensive Rebound.,69,60
0:00,221,End of Game,69,60
