Central Pennsylvania College,Error,Buffalo,2084
14:55,-1,Foul on Daylin Davis.,2,15
14:36,2084,Montell McRae made Layup.,2,17
14:20,-1,Justin Kellman Turnover.,2,17
14:19,2084,CJ Massinburg Steal.,2,17
14:15,2084,CJ Massinburg made Layup.,2,19
13:50,-1,Justin Kellman Turnover.,2,19
13:50,2084,Brock Bertram Steal.,2,19
13:44,2084,CJ Massinburg missed Three Point Jumper.,2,19
13:44,-1,Justin Kellman Defensive Rebound.,2,19
13:21,-1,Randy Dupont Turnover.,2,19
13:19,2084,Davonta Jordan Steal.,2,19
13:14,-1,Foul on Noah Baylor.,2,19
13:14,2084,Jayvon Graves missed Free Throw.,2,19
13:14,2084,Buffalo Deadball Team Rebound.,2,19
13:14,2084,Jayvon Graves made Free Throw.,2,20
12:57,-1,Randy Dupont made Jumper.,4,20
12:42,2084,James Reese Turnover.,4,20
12:27,-1,Randy Dupont made Three Point Jumper. Assisted by Jarell Edwards.,7,20
12:06,2084,Jayvon Graves made Layup.,7,22
11:57,-1,Joel Zola Turnover.,7,22
11:56,2084,Jeremy Harris Steal.,7,22
11:41,2084,James Reese made Jumper.,7,24
11:18,-1,Randy Dupont missed Three Point Jumper.,7,24
11:18,2084,Nick Perkins Defensive Rebound.,7,24
11:04,2084,Nick Perkins missed Jumper.,7,24
11:04,-1,Noah Baylor Defensive Rebound.,7,24
11:01,2084,Foul on Montell McRae.,7,24
11:01,2084,Official TV Timeout,7,24
10:42,-1,Randy Dupont missed Three Point Jumper.,7,24
10:42,2084,Nick Perkins Defensive Rebound.,7,24
10:28,2084,Nick Perkins missed Layup.,7,24
10:28,-1,Noah Baylor Defensive Rebound.,7,24
10:12,-1,Noah Baylor Turnover.,7,24
10:11,2084,Nick Perkins Steal.,7,24
9:58,2084,Brock Bertram made Jumper. Assisted by James Reese.,7,26
9:44,-1,Jarell Edwards missed Jumper.,7,26
9:44,2084,CJ Massinburg Defensive Rebound.,7,26
9:41,2084,CJ Massinburg Turnover.,7,26
9:40,-1,Randy Dupont Steal.,7,26
9:39,-1,Randy Dupont made Layup. Assisted by Jarell Edwards.,9,26
9:21,2084,Nick Perkins Turnover.,9,26
9:21,-1,Joel Zola Steal.,9,26
9:09,-1,Joel Zola missed Jumper.,9,26
9:09,-1,Bar Segey Offensive Rebound.,9,26
9:00,-1,Bar Segey missed Jumper.,9,26
9:00,2084,CJ Massinburg Defensive Rebound.,9,26
8:50,2084,James Reese made Three Point Jumper. Assisted by Nick Perkins.,9,29
8:27,-1,Randy Dupont Turnover.,9,29
8:25,2084,CJ Massinburg Steal.,9,29
8:13,2084,Jeremy Harris made Dunk. Assisted by Jayvon Graves.,9,31
7:56,2084,Foul on Davonta Jordan.,9,31
7:56,2084,Official TV Timeout,9,31
7:48,-1,Juwan Gooding Turnover.,9,31
7:28,2084,Jeremy Harris missed Three Point Jumper.,9,31
7:28,-1,Juwan Gooding Defensive Rebound.,9,31
7:13,-1,John Blanc made Jumper. Assisted by Bar Segey.,11,31
7:00,2084,Jayvon Graves missed Layup.,11,31
7:00,-1,Justin Kellman Defensive Rebound.,11,31
6:44,-1,Bar Segey missed Layup.,11,31
6:44,2084,Montell McRae Defensive Rebound.,11,31
6:33,2084,Jeremy Harris missed Dunk.,11,31
6:33,-1,Central Pennsylvania Defensive Rebound.,11,31
6:23,-1,Juwan Gooding missed Three Point Jumper.,11,31
6:23,2084,Jayvon Graves Defensive Rebound.,11,31
6:12,2084,Montell McRae made Three Point Jumper. Assisted by Davonta Jordan.,11,34
5:54,-1,Daylin Davis missed Jumper.,11,34
5:54,2084,James Reese Defensive Rebound.,11,34
5:47,2084,Davonta Jordan Turnover.,11,34
5:24,-1,Noah Baylor missed Jumper.,11,34
5:24,-1,Noah Baylor Offensive Rebound.,11,34
5:21,-1,Noah Baylor missed Layup.,11,34
5:21,2084,Jayvon Graves Defensive Rebound.,11,34
4:58,2084,Jayvon Graves missed Three Point Jumper.,11,34
4:58,2084,Nick Perkins Offensive Rebound.,11,34
4:50,2084,Nick Perkins made Layup.,11,36
4:29,-1,Juwan Gooding made Layup.,13,36
4:08,2084,James Reese made Three Point Jumper. Assisted by Nick Perkins.,13,39
3:53,-1,Marcus Posey made Layup. Assisted by Daylin Davis.,15,39
3:53,2084,Buffalo  Timeout,15,39
3:53,2084,Official TV Timeout,15,39
3:45,2084,Nick Perkins missed Three Point Jumper.,15,39
3:45,-1,Joel Zola Defensive Rebound.,15,39
3:30,-1,Randy Dupont made Three Point Jumper. Assisted by Joel Zola.,18,39
3:15,2084,Nick Perkins Turnover.,18,39
2:53,-1,Juwan Gooding missed Jumper.,18,39
2:53,2084,Jeremy Harris Defensive Rebound.,18,39
2:36,2084,James Reese made Three Point Jumper. Assisted by Jeremy Harris.,18,42
2:32,-1,Central Pennsylvania  Timeout,18,42
2:23,-1,Randy Dupont missed Three Point Jumper.,18,42
2:23,-1,Daylin Davis Offensive Rebound.,18,42
2:05,-1,Daylin Davis missed Layup.,18,42
2:05,-1,Kolby Chapman Offensive Rebound.,18,42
1:59,-1,Kolby Chapman Turnover.,18,42
1:40,2084,James Reese made Jumper. Assisted by Montell McRae.,18,44
1:31,-1,Daylin Davis missed Three Point Jumper.,18,44
1:31,2084,CJ Massinburg Defensive Rebound.,18,44
1:24,2084,James Reese missed Three Point Jumper.,18,44
1:24,2084,CJ Massinburg Offensive Rebound.,18,44
1:21,2084,CJ Massinburg made Layup.,18,46
1:09,-1,Noah Baylor Turnover.,18,46
0:59,2084,Montell McRae missed Three Point Jumper.,18,46
0:59,-1,Noah Baylor Defensive Rebound.,18,46
0:56,2084,Foul on James Reese.,18,46
0:42,-1,Kolby Chapman Turnover.,18,46
0:41,2084,James Reese Steal.,18,46
0:38,2084,James Reese missed Three Point Jumper.,18,46
0:38,2084,Montell McRae Offensive Rebound.,18,46
0:32,2084,Montell McRae missed Layup.,18,46
0:32,-1,Noah Baylor Defensive Rebound.,18,46
0:31,2084,Foul on Brock Bertram.,18,46
0:17,-1,Randy Dupont missed Jumper.,18,46
0:17,-1,Noah Baylor Offensive Rebound.,18,46
0:13,-1,Kolby Chapman missed Jumper.,18,46
0:13,-1,Central Pennsylvania Offensive Rebound.,18,46
0:00,2084,End of 1st half,18,46
19:50,-1,Foul on Noah Baylor.,18,46
19:50,2084,Nick Perkins made Free Throw.,18,47
19:50,2084,Nick Perkins missed Free Throw.,18,47
19:50,-1,Joel Zola Defensive Rebound.,18,47
19:22,2084,Foul on Davonta Jordan.,18,47
19:17,-1,Joel Zola missed Three Point Jumper.,18,47
19:17,2084,Jeremy Harris Defensive Rebound.,18,47
18:52,2084,Jeremy Harris made Three Point Jumper. Assisted by Davonta Jordan.,18,50
18:36,-1,Juwan Gooding missed Layup.,18,50
18:36,2084,Jeremy Harris Defensive Rebound.,18,50
18:19,2084,James Reese missed Three Point Jumper.,18,50
18:19,2084,Jeremy Harris Offensive Rebound.,18,50
18:15,2084,Nick Perkins missed Three Point Jumper.,18,50
18:15,2084,Jeremy Harris Offensive Rebound.,18,50
18:10,2084,Davonta Jordan missed Three Point Jumper.,18,50
18:10,2084,James Reese Offensive Rebound.,18,50
18:05,-1,Foul on Noah Baylor.,18,50
18:05,2084,James Reese made Free Throw.,18,51
18:05,2084,James Reese made Free Throw.,18,52
17:45,-1,Randy Dupont missed Three Point Jumper.,18,52
17:45,2084,Jeremy Harris Defensive Rebound.,18,52
17:37,2084,James Reese missed Layup.,18,52
17:37,-1,Noah Baylor Defensive Rebound.,18,52
17:13,-1,Noah Baylor made Layup.,20,52
16:57,2084,CJ Massinburg missed Three Point Jumper.,20,52
16:57,-1,Noah Baylor Defensive Rebound.,20,52
16:41,-1,Juwan Gooding missed Three Point Jumper.,20,52
16:41,-1,Noah Baylor Offensive Rebound.,20,52
16:40,2084,Foul on CJ Massinburg.,20,52
16:25,-1,Joel Zola missed Jumper.,20,52
16:25,-1,Noah Baylor Offensive Rebound.,20,52
16:20,-1,Noah Baylor missed Layup.,20,52
16:20,-1,Noah Baylor Offensive Rebound.,20,52
16:17,-1,Noah Baylor missed Layup.,20,52
16:17,-1,Daylin Davis Offensive Rebound.,20,52
16:14,-1,Daylin Davis made Two Point Tip Shot.,22,52
16:14,-1,Central Pennsylvania  Timeout,22,52
15:53,2084,Montell McRae made Dunk. Assisted by Jayvon Graves.,22,54
15:31,-1,Juwan Gooding made Three Point Jumper. Assisted by Joel Zola.,25,54
15:22,2084,Jeremy Harris Turnover.,25,54
15:22,2084,Official TV Timeout,25,54
14:58,-1,Joel Zola made Layup.,27,54
14:58,2084,Foul on Brock Bertram.,27,54
14:58,-1,Joel Zola missed Free Throw.,27,54
14:58,2084,James Reese Defensive Rebound.,27,54
14:52,2084,Jayvon Graves missed Layup.,27,54
14:52,-1,Central Pennsylvania Defensive Rebound.,27,54
14:42,-1,Randy Dupont Turnover.,27,54
14:39,2084,CJ Massinburg made Three Point Jumper.,27,57
14:23,-1,Daylin Davis Turnover.,27,57
14:23,-1,Central Pennsylvania  Timeout,27,57
14:11,2084,Brock Bertram made Layup. Assisted by James Reese.,27,59
13:54,-1,Justin Kellman made Layup.,29,59
13:47,2084,James Reese missed Three Point Jumper.,29,59
13:47,-1,Daylin Davis Defensive Rebound.,29,59
13:35,-1,Daylin Davis missed Jumper.,29,59
13:35,2084,Jayvon Graves Defensive Rebound.,29,59
13:24,2084,CJ Massinburg missed Layup.,29,59
13:24,-1,Noah Baylor Block.,29,59
13:22,-1,Justin Kellman Defensive Rebound.,29,59
13:01,2084,Foul on Brock Bertram.,29,59
12:54,-1,Randy Dupont made Jumper.,31,59
12:26,2084,Nick Perkins Turnover.,31,59
12:25,-1,Randy Dupont Steal.,31,59
12:22,-1,Randy Dupont made Layup.,33,59
12:22,2084,Foul on Jeremy Harris.,33,59
12:22,-1,Randy Dupont made Free Throw.,34,59
12:14,2084,Jayvon Graves missed Layup.,34,59
12:14,-1,Noah Baylor Block.,34,59
12:11,-1,Justin Kellman Defensive Rebound.,34,59
11:53,-1,Joel Zola Turnover.,34,59
11:52,2084,Jayvon Graves Steal.,34,59
11:49,2084,Montell McRae made Dunk. Assisted by Jayvon Graves.,34,61
11:33,-1,John Blanc made Jumper. Assisted by Justin Kellman.,36,61
11:17,2084,Jeremy Harris missed Three Point Jumper.,36,61
11:17,-1,Joel Zola Defensive Rebound.,36,61
11:06,2084,Foul on Jayvon Graves.,36,61
11:06,2084,Official TV Timeout,36,61
10:51,-1,Randy Dupont missed Jumper.,36,61
10:51,2084,Nick Perkins Defensive Rebound.,36,61
10:41,2084,Jeremy Harris Turnover.,36,61
10:40,-1,Justin Kellman Steal.,36,61
10:40,-1,Justin Kellman Turnover.,36,61
10:36,-1,Foul on Noah Baylor.,36,61
10:22,2084,Nick Perkins Turnover.,36,61
10:14,-1,Joel Zola made Layup. Assisted by Daylin Davis.,38,61
10:02,2084,Davonta Jordan made Layup.,38,63
9:53,-1,Joel Zola Turnover.,38,63
9:53,-1,Foul on Joel Zola.,38,63
9:43,2084,CJ Massinburg missed Three Point Jumper.,38,63
9:43,-1,John Blanc Defensive Rebound.,38,63
9:32,-1,Daylin Davis Turnover.,38,63
9:32,-1,Foul on Daylin Davis.,38,63
9:24,2084,CJ Massinburg made Three Point Jumper. Assisted by Davonta Jordan.,38,66
9:10,-1,Justin Kellman missed Jumper.,38,66
9:10,2084,CJ Massinburg Defensive Rebound.,38,66
9:02,2084,Jayvon Graves made Layup. Assisted by CJ Massinburg.,38,68
9:02,-1,Foul on Juwan Gooding.,38,68
9:02,2084,Jayvon Graves made Free Throw.,38,69
8:43,-1,Daylin Davis missed Jumper.,38,69
8:43,2084,Jeremy Harris Defensive Rebound.,38,69
8:36,2084,Jayvon Graves missed Three Point Jumper.,38,69
8:36,-1,Randy Dupont Defensive Rebound.,38,69
8:33,2084,Foul on Brock Bertram.,38,69
8:33,-1,Randy Dupont made Free Throw.,39,69
8:33,-1,Randy Dupont made Free Throw.,40,69
8:26,2084,Davonta Jordan made Layup.,40,71
8:10,-1,Juwan Gooding missed Jumper.,40,71
8:10,-1,Daylin Davis Offensive Rebound.,40,71
8:07,2084,Foul on Jayvon Graves.,40,71
8:07,-1,Daylin Davis missed Free Throw.,40,71
8:07,2084,Brock Bertram Defensive Rebound.,40,71
7:58,2084,James Reese Turnover.,40,71
7:56,-1,John Blanc Steal.,40,71
7:53,-1,Justin Kellman Turnover.,40,71
7:53,-1,Foul on Justin Kellman.,40,71
7:53,2084,Official TV Timeout,40,71
7:40,2084,Montell McRae made Dunk. Assisted by James Reese.,40,73
7:27,-1,Noah Baylor made Layup.,42,73
7:27,2084,Foul on Montell McRae.,42,73
7:27,-1,Noah Baylor missed Free Throw.,42,73
7:27,2084,Jeremy Harris Defensive Rebound.,42,73
7:16,2084,Jeremy Harris made Three Point Jumper. Assisted by James Reese.,42,76
6:58,-1,Daylin Davis missed Jumper.,42,76
6:58,-1,Central Pennsylvania Offensive Rebound.,42,76
6:51,-1,Daylin Davis missed Three Point Jumper.,42,76
6:51,2084,Jeremy Harris Defensive Rebound.,42,76
6:46,-1,Foul on Daylin Davis.,42,76
6:46,-1,Technical Foul on Daylin Davis.,42,76
6:46,2084,James Reese missed Free Throw.,42,76
6:46,2084,Buffalo Deadball Team Rebound.,42,76
6:46,2084,James Reese made Free Throw.,42,77
6:43,2084,Jayvon Graves Turnover.,42,77
6:42,-1,Joel Zola Steal.,42,77
6:39,-1,Joel Zola Turnover.,42,77
6:39,-1,Foul on Joel Zola.,42,77
6:18,2084,Jeremy Harris missed Jumper.,42,77
6:18,2084,Colby Moultrie Offensive Rebound.,42,77
6:08,2084,Colby Moultrie Turnover.,42,77
6:08,-1,Randy Dupont Steal.,42,77
5:42,2084,Foul on Montell McRae.,42,77
5:42,-1,Juwan Gooding made Free Throw.,43,77
5:42,-1,Juwan Gooding missed Free Throw.,43,77
5:42,2084,James Reese Defensive Rebound.,43,77
5:42,2084,Colby Moultrie made Three Point Jumper. Assisted by Jayvon Graves.,43,80
5:25,2084,Foul on Gabe Agorioge.,43,80
5:25,-1,Joel Zola made Free Throw.,44,80
5:25,-1,Joel Zola made Free Throw.,45,80
5:14,2084,Dominic Johnson Turnover.,45,80
5:04,-1,Joel Zola missed Jumper.,45,80
5:04,2084,Dominic Johnson Defensive Rebound.,45,80
4:55,2084,Colby Moultrie Turnover.,45,80
4:53,-1,Noah Baylor Steal.,45,80
4:36,-1,Joel Zola missed Jumper.,45,80
4:36,2084,James Reese Defensive Rebound.,45,80
4:28,2084,Jayvon Graves made Three Point Jumper. Assisted by James Reese.,45,83
4:12,2084,Foul on Colby Moultrie.,45,83
4:12,-1,Randy Dupont made Free Throw.,46,83
4:12,-1,Randy Dupont made Free Throw.,47,83
3:51,2084,Dominic Johnson made Layup. Assisted by Jayvon Graves.,47,85
3:36,-1,Marcus Posey missed Layup.,47,85
3:36,-1,Central Pennsylvania Offensive Rebound.,47,85
3:33,2084,Official TV Timeout,47,85
3:29,-1,Bar Segey made Three Point Jumper.,50,85
3:08,-1,Foul on Randy Dupont.,50,85
3:08,2084,Jayvon Graves made Free Throw.,50,86
3:08,2084,Jayvon Graves made Free Throw.,50,87
3:01,2084,Foul on Dominic Johnson.,50,87
3:01,-1,Noah Baylor missed Free Throw.,50,87
3:01,-1,Central Pennsylvania Deadball Team Rebound.,50,87
3:01,-1,Noah Baylor missed Free Throw.,50,87
3:01,2084,Jeremy Harris Defensive Rebound.,50,87
2:38,-1,Foul on Noah Baylor.,50,87
2:38,2084,Gabe Agorioge missed Free Throw.,50,87
2:38,2084,Buffalo Deadball Team Rebound.,50,87
2:38,2084,Gabe Agorioge made Free Throw.,50,88
2:24,-1,Marcus Posey Turnover.,50,88
2:17,2084,Dominic Johnson missed Three Point Jumper.,50,88
2:17,-1,Randy Dupont Defensive Rebound.,50,88
1:57,2084,Foul on Gabe Agorioge.,50,88
1:57,-1,Justin Kellman made Free Throw.,51,88
1:57,-1,Justin Kellman made Free Throw.,52,88
1:40,2084,Jayvon Graves missed Layup.,52,88
1:40,-1,Justin Kellman Defensive Rebound.,52,88
1:32,-1,Keion Green Turnover.,52,88
1:30,2084,Jayvon Graves Steal.,52,88
1:26,2084,James Reese missed Layup.,52,88
1:26,-1,Justin Kellman Defensive Rebound.,52,88
1:18,2084,Foul on Colby Moultrie.,52,88
1:18,-1,Randy Dupont missed Free Throw.,52,88
1:18,-1,Central Pennsylvania Deadball Team Rebound.,52,88
1:18,-1,Randy Dupont made Free Throw.,53,88
1:08,-1,John Blanc missed Three Point Jumper.,53,88
1:08,2084,CJ Massinburg Defensive Rebound.,53,88
1:01,2084,Foul on Colby Moultrie.,53,88
1:01,-1,Marcus Posey missed Free Throw.,53,88
1:01,-1,Central Pennsylvania Deadball Team Rebound.,53,88
1:01,-1,Marcus Posey made Free Throw.,54,88
0:42,2084,James Reese Turnover.,54,88
0:41,-1,Marcus Posey Steal.,54,88
0:32,2084,Foul on Dominic Johnson.,54,88
0:32,-1,John Blanc missed Free Throw.,54,88
0:32,-1,Central Pennsylvania Deadball Team Rebound.,54,88
0:32,-1,John Blanc missed Free Throw.,54,88
0:32,2084,Dominic Johnson Defensive Rebound.,54,88
0:23,2084,James Reese missed Three Point Jumper.,54,88
0:23,-1,John Blanc Defensive Rebound.,54,88
0:15,-1,Bar Segey missed Three Point Jumper.,54,88
0:15,2084,Jayvon Graves Defensive Rebound.,54,88
0:00,2084,End of Game,54,88
