Coastal Carolina,2579,South Carolina,324
0:03,2579,Wesley Myers missed Free Throw.,47,46
0:03,2579,South Carolina Deadball Team Rebound.,47,46
0:03,2579,Wesley Myers made Free Throw.,47,47
0:00,2579,End of 1st half,47,47
19:44,2579,Hassani Gravett missed Three Point Jumper.,47,47
19:44,2579,Chris Silva Offensive Rebound.,47,47
19:40,2579,Chris Silva missed Jumper.,47,47
19:40,2579,Maik Kotsar Offensive Rebound.,47,47
19:29,2579,Frank Booker made Layup.,47,49
18:55,324,Coastal Carolina  Turnover.,47,49
18:36,324,Foul on Josh Coleman.,47,49
18:27,2579,Frank Booker Turnover.,47,49
18:26,324,Jaylen Shaw Steal.,47,49
18:12,324,Matt Lindsey missed Three Point Jumper.,47,49
18:12,324,Ajay Sanders Offensive Rebound.,47,49
18:09,324,Ajay Sanders made Layup.,49,49
17:43,2579,Justin Minaya made Jumper.,49,51
17:27,324,Demario Beck made Three Point Jumper.,52,51
17:12,2579,Chris Silva missed Jumper.,52,51
17:12,324,Coastal Carolina Deadball Team Rebound.,52,51
17:11,2579,Foul on Maik Kotsar.,52,51
16:53,324,Ajay Sanders Turnover.,52,51
16:35,2579,Chris Silva made Dunk. Assisted by Hassani Gravett.,52,53
16:35,324,Foul on Demario Beck.,52,53
16:35,2579,Chris Silva made Free Throw.,52,54
16:20,324,Jaylen Shaw missed Jumper.,52,54
16:20,2579,Chris Silva Defensive Rebound.,52,54
16:15,2579,Frank Booker made Layup. Assisted by Hassani Gravett.,52,56
16:15,324,Foul on Amidou Bamba.,52,56
16:15,324,Coastal Carolina  Timeout,52,56
16:15,2579,Frank Booker missed Free Throw.,52,56
16:15,324,Demario Beck Defensive Rebound.,52,56
16:04,324,Jaylen Shaw made Jumper.,54,56
15:34,2579,Frank Booker missed Three Point Jumper.,54,56
15:34,2579,Justin Minaya Offensive Rebound.,54,56
15:30,2579,Justin Minaya Turnover.,54,56
15:30,2579,Official TV Timeout,54,56
15:19,324,Ajay Sanders missed Jumper.,54,56
15:19,324,Demario Beck Offensive Rebound.,54,56
15:04,324,Trevion Brown missed Layup.,54,56
15:04,2579,Felipe Haase Defensive Rebound.,54,56
14:55,324,Foul on Zac Cuthbertson.,54,56
14:55,2579,Chris Silva made Free Throw.,54,57
14:55,2579,Chris Silva missed Free Throw.,54,57
14:55,324,Demario Beck Defensive Rebound.,54,57
14:36,324,Trevion Brown made Layup. Assisted by Demario Beck.,56,57
14:21,2579,Hassani Gravett missed Jumper.,56,57
14:21,324,Trevion Brown Defensive Rebound.,56,57
14:15,2579,Foul on Hassani Gravett.,56,57
14:09,324,Demario Beck made Jumper. Assisted by Jaylen Shaw.,58,57
13:59,2579,Felipe Haase Turnover.,58,57
13:58,324,Demario Beck Steal.,58,57
13:55,324,Zac Cuthbertson made Layup. Assisted by Ajay Sanders.,60,57
13:49,2579,South Carolina  Timeout,60,57
13:25,2579,Maik Kotsar missed Jumper.,60,57
13:25,324,Ajay Sanders Defensive Rebound.,60,57
13:07,324,Demario Beck missed Three Point Jumper.,60,57
13:07,2579,Chris Silva Defensive Rebound.,60,57
12:58,324,Foul on Artur Labinowicz.,60,57
12:58,2579,Wesley Myers made Free Throw.,60,58
12:58,2579,Wesley Myers made Free Throw.,60,59
12:42,324,Jaylen Shaw missed Jumper.,60,59
12:42,324,Jaylen Shaw Offensive Rebound.,60,59
12:36,324,Jaylen Shaw missed Layup.,60,59
12:36,2579,Maik Kotsar Defensive Rebound.,60,59
12:29,2579,Frank Booker made Three Point Jumper. Assisted by Maik Kotsar.,60,62
12:11,324,Matt Lindsey made Three Point Jumper. Assisted by Jaylen Shaw.,63,62
12:02,324,Foul on Artur Labinowicz.,63,62
11:49,2579,Justin Minaya missed Three Point Jumper.,63,62
11:49,324,Jaylen Shaw Defensive Rebound.,63,62
11:39,324,Zac Cuthbertson Turnover.,63,62
11:39,2579,Official TV Timeout,63,62
11:25,2579,Maik Kotsar missed Layup.,63,62
11:25,324,Matt Lindsey Defensive Rebound.,63,62
11:09,324,Jaylen Shaw missed Layup.,63,62
11:09,2579,Chris Silva Block.,63,62
11:07,324,Coastal Carolina Offensive Rebound.,63,62
10:59,324,Artur Labinowicz Turnover.,63,62
10:58,2579,Chris Silva Steal.,63,62
10:46,2579,Felipe Haase Turnover.,63,62
10:26,324,Zac Cuthbertson missed Layup.,63,62
10:26,2579,Maik Kotsar Block.,63,62
10:24,324,Artur Labinowicz Offensive Rebound.,63,62
10:22,324,Artur Labinowicz missed Three Point Jumper.,63,62
10:22,324,Amidou Bamba Offensive Rebound.,63,62
10:18,324,Amidou Bamba made Layup.,65,62
9:56,2579,Kory Holden made Jumper.,65,64
9:33,324,Amidou Bamba missed Jumper.,65,64
9:33,2579,Justin Minaya Defensive Rebound.,65,64
9:21,2579,Kory Holden Turnover.,65,64
9:20,324,Jaylen Shaw Steal.,65,64
9:03,324,Zac Cuthbertson made Jumper.,67,64
8:51,2579,Kory Holden missed Jumper.,67,64
8:51,324,Trevion Brown Defensive Rebound.,67,64
8:45,324,Artur Labinowicz missed Three Point Jumper.,67,64
8:45,2579,Frank Booker Defensive Rebound.,67,64
8:28,2579,Maik Kotsar missed Jumper.,67,64
8:28,324,Artur Labinowicz Defensive Rebound.,67,64
8:05,324,Artur Labinowicz made Jumper. Assisted by Trevion Brown.,69,64
7:47,324,Foul on Trevion Brown.,69,64
7:47,2579,Official TV Timeout,69,64
7:47,2579,Frank Booker made Free Throw.,69,65
7:47,2579,Frank Booker made Free Throw.,69,66
7:23,324,Jaylen Shaw made Jumper.,71,66
7:10,2579,Frank Booker made Three Point Jumper. Assisted by Justin Minaya.,71,69
6:48,324,Ajay Sanders Turnover.,71,69
6:22,324,Foul on Zac Cuthbertson.,71,69
6:22,2579,Chris Silva made Free Throw.,71,70
6:22,2579,Chris Silva missed Free Throw.,71,70
6:22,324,Coastal Carolina Deadball Team Rebound.,71,70
6:20,2579,Foul on Chris Silva.,71,70
5:58,324,Ajay Sanders missed Jumper.,71,70
5:58,324,Demario Beck Offensive Rebound.,71,70
5:56,324,Demario Beck made Layup.,73,70
5:40,324,Foul on Jaylen Shaw.,73,70
5:40,2579,Frank Booker missed Free Throw.,73,70
5:40,324,Zac Cuthbertson Defensive Rebound.,73,70
5:32,324,Jaylen Shaw Turnover.,73,70
5:13,2579,Hassani Gravett missed Three Point Jumper.,73,70
5:13,2579,Hassani Gravett Offensive Rebound.,73,70
5:07,2579,Frank Booker missed Three Point Jumper.,73,70
5:07,324,Coastal Carolina Deadball Team Rebound.,73,70
4:48,324,Ajay Sanders missed Three Point Jumper.,73,70
4:48,2579,Frank Booker Defensive Rebound.,73,70
4:40,2579,Hassani Gravett Turnover.,73,70
4:39,324,Matt Lindsey Steal.,73,70
4:31,2579,Foul on Frank Booker.,73,70
4:18,324,Jaylen Shaw missed Jumper.,73,70
4:18,2579,Chris Silva Defensive Rebound.,73,70
4:01,2579,Maik Kotsar made Layup. Assisted by Chris Silva.,73,72
3:45,324,Coastal Carolina  Timeout,73,72
3:29,324,Artur Labinowicz made Three Point Jumper. Assisted by Ajay Sanders.,76,72
3:09,2579,Hassani Gravett made Jumper.,76,74
2:54,324,Ajay Sanders Turnover.,76,74
2:53,2579,Frank Booker Steal.,76,74
2:50,2579,Justin Minaya missed Layup.,76,74
2:50,324,Zac Cuthbertson Block.,76,74
2:48,2579,Frank Booker Offensive Rebound.,76,74
2:45,2579,Frank Booker missed Three Point Jumper.,76,74
2:45,324,Trevion Brown Defensive Rebound.,76,74
2:37,324,Artur Labinowicz missed Three Point Jumper.,76,74
2:37,2579,Maik Kotsar Defensive Rebound.,76,74
2:14,2579,Maik Kotsar made Layup.,76,76
2:03,324,Coastal Carolina  Timeout,76,76
1:48,324,Zac Cuthbertson missed Layup.,76,76
1:48,2579,Chris Silva Defensive Rebound.,76,76
1:37,2579,Justin Minaya missed Three Point Jumper.,76,76
1:37,324,Jaylen Shaw Defensive Rebound.,76,76
1:10,324,Jaylen Shaw made Jumper.,78,76
0:52,324,Foul on Demario Beck.,78,76
0:52,2579,Hassani Gravett missed Free Throw.,78,76
0:52,2579,South Carolina Deadball Team Rebound.,78,76
0:52,2579,Hassani Gravett made Free Throw.,78,77
0:29,324,Zac Cuthbertson missed Layup.,78,77
0:29,2579,Chris Silva Block.,78,77
0:28,2579,Chris Silva Defensive Rebound.,78,77
0:21,2579,Justin Minaya Turnover.,78,77
0:21,2579,South Carolina  Timeout,78,77
0:16,324,Demario Beck Turnover.,78,77
0:14,2579,South Carolina  Timeout,78,77
0:06,2579,Hassani Gravett made Jumper.,78,79
0:06,324,Foul on Zac Cuthbertson.,78,79
0:06,2579,Hassani Gravett made Free Throw.,78,80
0:01,324,Jaylen Shaw missed Three Point Jumper.,78,80
0:01,324,Demario Beck Offensive Rebound.,78,80
0:00,324,Demario Beck missed Two Point Tip Shot.,78,80
0:00,324,Coastal Carolina Deadball Team Rebound.,78,80
0:00,2579,End of Game,78,80
