Omaha,2181,Drake,2437
12:52,2181,Foul on Casey Schlatter.,15,13
12:52,2437,Matt Pile missed Free Throw.,15,13
12:52,2437,Omaha Deadball Team Rebound.,15,13
12:52,2437,Matt Pile made Free Throw.,16,13
12:37,2181,Graham Woodward missed Layup.,16,13
12:37,2437,Matt Pile Defensive Rebound.,16,13
12:27,2181,Foul on Nick McGlynn.,16,13
12:27,2437,Matt Pile made Free Throw.,17,13
12:27,2437,Matt Pile made Free Throw.,18,13
12:13,2437,Foul on JT Gibson.,18,13
12:01,2181,Jalen Gibbs missed Three Point Jumper.,18,13
12:01,2181,Nick McGlynn Offensive Rebound.,18,13
11:57,2181,Nick McGlynn made Layup.,18,15
11:43,2437,JT Gibson missed Jumper.,18,15
11:43,2181,Jalen Gibbs Defensive Rebound.,18,15
11:35,2181,Jalen Gibbs made Layup.,18,17
11:25,2437,KJ Robinson Turnover.,18,17
11:25,2437,Foul on KJ Robinson.,18,17
11:25,2181,Official TV Timeout,18,17
11:12,2181,Reed Timmer made Three Point Jumper. Assisted by C.J. Rivers.,18,20
10:58,2181,Foul on Graham Woodward.,18,20
10:40,2437,Daniel Norl missed Three Point Jumper.,18,20
10:40,2437,Omaha Offensive Rebound.,18,20
10:30,2437,Zach Jackson missed Three Point Jumper.,18,20
10:30,2181,De'Antae McMurray Defensive Rebound.,18,20
10:11,2437,Foul on  .,18,20
10:07,2181,Reed Timmer missed Jumper.,18,20
10:07,2437,Zach Jackson Defensive Rebound.,18,20
9:45,2437,Zach Jackson missed Layup.,18,20
9:45,2437,Zach Jackson Offensive Rebound.,18,20
9:43,2437,Zach Jackson made Layup.,20,20
9:28,2181,C.J. Rivers missed Layup.,20,20
9:28,2437,Defensive Rebound.,20,20
9:21,2437,Zach Jackson made Jumper.,22,20
9:01,2181,C.J. Rivers made Layup. Assisted by Nick McGlynn.,22,22
8:41,2437,Zach Jackson Turnover.,22,22
8:30,2181,Reed Timmer missed Three Point Jumper.,22,22
8:30,2437,Zach Jackson Defensive Rebound.,22,22
8:09,2181,Foul on De'Antae McMurray.,22,22
8:09,2437,KJ Robinson made Free Throw.,23,22
8:09,2437,KJ Robinson made Free Throw.,24,22
7:53,2181,Ore Arogundade missed Layup.,24,22
7:53,2437,Daniel Norl Block.,24,22
7:52,2181,Drake Offensive Rebound.,24,22
7:52,2181,Official TV Timeout,24,22
7:47,2181,De'Antae McMurray missed Jumper.,24,22
7:47,2181,Ore Arogundade Offensive Rebound.,24,22
7:37,2181,Jalen Gibbs made Three Point Jumper. Assisted by De'Antae McMurray.,24,25
7:08,2437,KJ Robinson missed Three Point Jumper.,24,25
7:08,2437,Zach Jackson Offensive Rebound.,24,25
7:06,2181,Foul on Graham Woodward.,24,25
7:06,2437,Zach Jackson missed Free Throw.,24,25
7:06,2181,De'Antae McMurray Defensive Rebound.,24,25
6:58,2181,Casey Schlatter made Three Point Jumper. Assisted by Jalen Gibbs.,24,28
6:36,2437,Matt Pile made Layup. Assisted by Daniel Norl.,26,28
6:36,2437,Omaha  Timeout,26,28
6:18,2181,Casey Schlatter Turnover.,26,28
5:48,2437,KJ Robinson missed Jumper.,26,28
5:48,2181,Casey Schlatter Defensive Rebound.,26,28
5:40,2181,Jalen Gibbs made Three Point Jumper. Assisted by Ore Arogundade.,26,31
5:12,2437,JT Gibson made Jumper.,28,31
4:52,2181,Ore Arogundade made Layup. Assisted by Jalen Gibbs.,28,33
4:52,2437,Foul on Ayo Akinwole.,28,33
4:52,2181,Ore Arogundade made Free Throw.,28,34
4:25,2437,made Layup. Assisted by Daniel Norl.,30,34
4:05,2181,C.J. Rivers made Three Point Jumper. Assisted by Reed Timmer.,30,37
3:52,2437,KJ Robinson missed Three Point Jumper.,30,37
3:52,2437,Omaha Offensive Rebound.,30,37
3:49,2181,Official TV Timeout,30,37
3:49,2181,Foul on Nick McGlynn.,30,37
3:49,2437,Foul on  .,30,37
3:49,2181,Official TV Timeout,30,37
3:31,2437,Zach Jackson made Layup.,32,37
3:11,2181,Graham Woodward missed Three Point Jumper.,32,37
3:11,2437,Zach Jackson Defensive Rebound.,32,37
2:59,2437,KJ Robinson Turnover.,32,37
2:53,2181,Reed Timmer missed Layup.,32,37
2:53,2437,Matt Pile Defensive Rebound.,32,37
2:46,2437,Zach Jackson missed Layup.,32,37
2:46,2181,Casey Schlatter Defensive Rebound.,32,37
2:37,2181,Reed Timmer missed Layup.,32,37
2:37,2437,Matt Pile Block.,32,37
2:36,2437,Matt Pile Defensive Rebound.,32,37
2:30,2437,Daniel Norl made Three Point Jumper. Assisted by JT Gibson.,35,37
1:48,2181,Reed Timmer made Three Point Jumper. Assisted by De'Antae McMurray.,35,40
1:23,2437,Matt Pile made Layup.,37,40
1:11,2181,Jalen Gibbs Turnover.,37,40
0:46,2437,Ayo Akinwole made Jumper.,39,40
0:20,2181,De'Antae McMurray missed Jumper.,39,40
0:20,2437,Zach Jackson Defensive Rebound.,39,40
0:01,2437,Zach Jackson missed Jumper.,39,40
0:01,2181,Casey Schlatter Block.,39,40
0:00,2181,Drake Deadball Team Rebound.,39,40
0:00,2181,End of 1st half,39,40
19:46,2437,Foul on Daniel Norl.,39,40
19:41,2181,Reed Timmer made Three Point Jumper. Assisted by De'Antae McMurray.,39,43
19:12,2437,Zach Jackson Turnover.,39,43
18:58,2181,Graham Woodward missed Three Point Jumper.,39,43
18:58,2437,JT Gibson Defensive Rebound.,39,43
18:42,2181,Foul on Nick McGlynn.,39,43
18:36,2437,KJ Robinson missed Three Point Jumper.,39,43
18:36,2181,Graham Woodward Defensive Rebound.,39,43
18:28,2181,Reed Timmer missed Three Point Jumper.,39,43
18:28,2181,Reed Timmer Offensive Rebound.,39,43
18:21,2437,Foul on KJ Robinson.,39,43
18:21,2181,Reed Timmer made Free Throw.,39,44
18:21,2181,Reed Timmer made Free Throw.,39,45
18:19,2437,KJ Robinson Turnover.,39,45
18:19,2181,De'Antae McMurray Steal.,39,45
18:17,2437,Foul on KJ Robinson.,39,45
18:17,2181,De'Antae McMurray made Free Throw.,39,46
18:17,2181,De'Antae McMurray made Free Throw.,39,47
18:06,2437,missed Layup.,39,47
18:06,2437,Offensive Rebound.,39,47
18:03,2437,made Two Point Tip Shot.,41,47
17:49,2181,Reed Timmer missed Layup.,41,47
17:49,2181,Casey Schlatter Offensive Rebound.,41,47
17:48,2437,Foul on Zach Jackson.,41,47
17:48,2181,Casey Schlatter missed Free Throw.,41,47
17:48,2181,Drake Deadball Team Rebound.,41,47
17:48,2181,Casey Schlatter missed Free Throw.,41,47
17:48,2437,Zach Jackson Defensive Rebound.,41,47
17:31,2437,missed Jumper.,41,47
17:31,2181,De'Antae McMurray Defensive Rebound.,41,47
17:24,2181,De'Antae McMurray missed Layup.,41,47
17:24,2437,Ayo Akinwole Defensive Rebound.,41,47
17:18,2437,Daniel Norl made Three Point Jumper. Assisted by Ayo Akinwole.,44,47
16:50,2181,De'Antae McMurray missed Three Point Jumper.,44,47
16:50,2181,Drake Offensive Rebound.,44,47
16:30,2181,Noah Thomas missed Layup.,44,47
16:30,2437,Zach Jackson Defensive Rebound.,44,47
16:12,2437,Zach Jackson made Layup.,46,47
16:12,2181,Foul on Casey Schlatter.,46,47
16:12,2437,Zach Jackson made Free Throw.,47,47
15:58,2181,Reed Timmer made Layup.,47,49
15:58,2437,Foul on Matt Pile.,47,49
15:58,2181,Official TV Timeout,47,49
15:58,2181,Reed Timmer made Free Throw.,47,50
15:42,2437,JT Gibson made Layup.,49,50
15:09,2181,Jalen Gibbs missed Three Point Jumper.,49,50
15:09,2437,Ayo Akinwole Defensive Rebound.,49,50
14:47,2437,Matt Pile Turnover.,49,50
14:46,2181,Noah Thomas Steal.,49,50
14:39,2181,Reed Timmer made Three Point Jumper. Assisted by Jalen Gibbs.,49,53
14:22,2437,Ayo Akinwole Turnover.,49,53
14:07,2181,Reed Timmer made Three Point Jumper. Assisted by C.J. Rivers.,49,56
13:49,2437,KJ Robinson Turnover.,49,56
13:47,2181,Jalen Gibbs Steal.,49,56
13:33,2181,Reed Timmer made Three Point Jumper. Assisted by C.J. Rivers.,49,59
13:29,2437,Omaha  Timeout,49,59
13:08,2437,Daniel Norl Turnover.,49,59
13:07,2181,Casey Schlatter Steal.,49,59
13:04,2181,Jalen Gibbs made Layup.,49,61
12:52,2437,KJ Robinson made Jumper.,51,61
12:35,2181,Reed Timmer missed Three Point Jumper.,51,61
12:35,2437,Omaha Defensive Rebound.,51,61
12:18,2437,KJ Robinson missed Jumper.,51,61
12:18,2181,Graham Woodward Defensive Rebound.,51,61
12:10,2181,C.J. Rivers made Three Point Jumper. Assisted by De'Antae McMurray.,51,64
11:54,2437,JT Gibson Turnover.,51,64
11:54,2437,Foul on JT Gibson.,51,64
11:54,2181,Official TV Timeout,51,64
11:46,2181,Jalen Gibbs made Layup.,51,66
11:22,2437,Zach Jackson missed Three Point Jumper.,51,66
11:22,2437,KJ Robinson Offensive Rebound.,51,66
11:18,2437,KJ Robinson missed Three Point Jumper.,51,66
11:16,2181,C.J. Rivers Defensive Rebound.,51,66
10:57,2181,De'Antae McMurray Turnover.,51,66
10:57,2437,JT Gibson Steal.,51,66
10:37,2437,missed Jumper.,51,66
10:37,2181,C.J. Rivers Defensive Rebound.,51,66
10:28,2181,Graham Woodward missed Jumper.,51,66
10:28,2437,Zach Jackson Defensive Rebound.,51,66
10:19,2437,JT Gibson made Three Point Jumper. Assisted by KJ Robinson.,54,66
10:17,2181,Drake  Timeout,54,66
10:00,2181,Casey Schlatter made Layup.,54,68
9:47,2437,Turnover.,54,68
9:46,2181,C.J. Rivers Steal.,54,68
9:28,2181,De'Antae McMurray missed Three Point Jumper.,54,68
9:28,2437,Zach Jackson Defensive Rebound.,54,68
9:21,2437,Ayo Akinwole Turnover.,54,68
9:20,2181,De'Antae McMurray Steal.,54,68
9:16,2181,Graham Woodward missed Three Point Jumper.,54,68
9:16,2181,C.J. Rivers Offensive Rebound.,54,68
9:12,2181,C.J. Rivers missed Layup.,54,68
9:12,2181,Casey Schlatter Offensive Rebound.,54,68
9:09,2181,Casey Schlatter made Layup.,54,70
8:53,2437,Ayo Akinwole missed Three Point Jumper.,54,70
8:53,2437,Offensive Rebound.,54,70
8:48,2437,Turnover.,54,70
8:48,2437,Foul on  .,54,70
8:27,2181,Nick McGlynn missed Jumper.,54,70
8:27,2437,KJ Robinson Defensive Rebound.,54,70
8:18,2181,Foul on Nick McGlynn.,54,70
8:15,2181,Foul on Ore Arogundade.,54,70
8:15,2437,Matt Pile missed Free Throw.,54,70
8:15,2437,Omaha Deadball Team Rebound.,54,70
8:15,2437,Matt Pile missed Free Throw.,54,70
8:15,2181,Noah Thomas Defensive Rebound.,54,70
7:53,2181,Noah Thomas made Three Point Jumper. Assisted by Graham Woodward.,54,73
7:36,2437,JT Gibson Turnover.,54,73
7:35,2181,Ore Arogundade Steal.,54,73
7:27,2181,Graham Woodward made Jumper.,54,75
7:10,2437,Zach Jackson made Layup.,56,75
6:51,2181,Graham Woodward missed Jumper.,56,75
6:51,2437,Matt Pile Defensive Rebound.,56,75
6:40,2437,Daniel Norl missed Jumper.,56,75
6:40,2437,Matt Pile Offensive Rebound.,56,75
6:35,2437,Matt Pile made Two Point Tip Shot.,58,75
6:09,2181,Reed Timmer missed Three Point Jumper.,58,75
6:09,2437,Zach Jackson Defensive Rebound.,58,75
6:01,2181,Foul on Kory Kuenstling.,58,75
6:01,2181,Official TV Timeout,58,75
5:47,2437,Daniel Norl missed Jumper.,58,75
5:47,2181,Kory Kuenstling Defensive Rebound.,58,75
5:45,2437,Foul on Matt Pile.,58,75
5:45,2181,Kory Kuenstling made Free Throw.,58,76
5:45,2181,Kory Kuenstling made Free Throw.,58,77
5:24,2437,KJ Robinson made Three Point Jumper. Assisted by Matt Pile.,61,77
4:53,2181,C.J. Rivers Turnover.,61,77
4:38,2437,KJ Robinson missed Three Point Jumper.,61,77
4:38,2181,C.J. Rivers Defensive Rebound.,61,77
4:22,2181,De'Antae McMurray made Three Point Jumper.,61,80
4:02,2181,Foul on Kory Kuenstling.,61,80
4:02,2437,Zach Jackson made Free Throw.,62,80
4:02,2437,Zach Jackson made Free Throw.,63,80
3:47,2181,De'Antae McMurray made Jumper.,63,82
3:34,2437,KJ Robinson made Jumper.,65,82
3:18,2181,Jalen Gibbs Turnover.,65,82
3:18,2181,Official TV Timeout,65,82
3:12,2437,KJ Robinson Turnover.,65,82
2:42,2437,Foul on KJ Robinson.,65,82
2:42,2181,Reed Timmer made Free Throw.,65,83
2:42,2181,Reed Timmer made Free Throw.,65,84
2:29,2437,Zach Jackson missed Jumper.,65,84
2:29,2181,Noah Thomas Defensive Rebound.,65,84
2:20,2181,Jalen Gibbs made Jumper.,65,86
1:57,2437,Ayo Akinwole made Jumper. Assisted by JT Gibson.,67,86
1:36,2181,Graham Woodward missed Three Point Jumper.,67,86
1:36,2181,Jalen Gibbs Offensive Rebound.,67,86
1:23,2181,Graham Woodward made Three Point Jumper. Assisted by C.J. Rivers.,67,89
1:12,2437,JT Gibson made Three Point Jumper. Assisted by Ayo Akinwole.,70,89
0:59,2181,Noah Thomas made Layup.,70,91
0:58,2181,Drake  Timeout,70,91
0:46,2437,Daniel Meyer made Jumper.,72,91
0:24,2181,Noah Thomas made Layup.,72,93
0:14,2437,Alex Allbery made Layup.,74,93
0:00,2181,End of Game,74,93
