Kent State,2750,Wright State,2309
13:32,2750,Grant Benzinger Defensive Rebound.,11,10
13:15,2750,Loudon Love Turnover.,11,10
12:51,2309,Jaylin Walker missed Three Point Jumper.,11,10
12:51,2750,Everett Winchester Defensive Rebound.,11,10
12:42,2309,Foul on BJ Duling.,11,10
12:42,2750,Everett Winchester made Free Throw.,11,11
12:42,2750,Everett Winchester made Free Throw.,11,12
12:20,2309,Akiean Frederick Turnover.,11,12
12:18,2750,Justin Mitchell Steal.,11,12
12:16,2309,Foul on Jaylin Walker.,11,12
12:07,2309,Foul on Akiean Frederick.,11,12
11:50,2750,Jaylon Hall made Layup.,11,14
11:16,2309,Desmond Ridenour Turnover.,11,14
11:16,2750,Official TV Timeout,11,14
11:04,2750,Parker Ernsthausen Turnover.,11,14
11:02,2309,Akiean Frederick Steal.,11,14
10:56,2309,Kevin Zabo missed Layup.,11,14
10:56,2750,Mark Hughes Block.,11,14
10:53,2750,Justin Mitchell Defensive Rebound.,11,14
10:43,2750,Grant Benzinger missed Three Point Jumper.,11,14
10:43,2750,Justin Mitchell Offensive Rebound.,11,14
10:36,2750,Mark Hughes missed Three Point Jumper.,11,14
10:36,2309,Kent State Defensive Rebound.,11,14
10:16,2309,Jaylin Walker missed Jumper.,11,14
10:16,2750,Parker Ernsthausen Defensive Rebound.,11,14
9:55,2750,Justin Mitchell Turnover.,11,14
9:54,2309,Jaylin Walker Steal.,11,14
9:47,2750,Foul on Parker Ernsthausen.,11,14
9:47,2309,Desmond Ridenour missed Free Throw.,11,14
9:47,2309,Kent State Deadball Team Rebound.,11,14
9:47,2309,Desmond Ridenour missed Free Throw.,11,14
9:47,2750,Wright State Deadball Team Rebound.,11,14
9:47,2309,Foul on Danny Pippen.,11,14
9:24,2750,Mark Hughes made Three Point Jumper. Assisted by Loudon Love.,11,17
9:03,2309,Danny Pippen missed Three Point Jumper.,11,17
9:03,2750,Loudon Love Defensive Rebound.,11,17
8:53,2750,Mark Hughes missed Three Point Jumper.,11,17
8:53,2309,Kevin Zabo Defensive Rebound.,11,17
8:37,2309,Mitch Peterson made Three Point Jumper. Assisted by Kevin Zabo.,14,17
8:19,2750,Grant Benzinger missed Jumper.,14,17
8:19,2309,Desmond Ridenour Defensive Rebound.,14,17
8:16,2750,Foul on Loudon Love.,14,17
7:54,2309,BJ Duling Turnover.,14,17
7:54,2750,Everett Winchester Steal.,14,17
7:50,2750,Official TV Timeout,14,17
7:43,2750,Everett Winchester missed Jumper.,14,17
7:43,2309,Danny Pippen Defensive Rebound.,14,17
7:21,2309,Jalen Avery made Three Point Jumper. Assisted by Mitch Peterson.,17,17
7:00,2750,Parker Ernsthausen made Jumper.,17,19
6:36,2309,BJ Duling missed Layup.,17,19
6:36,2750,Grant Benzinger Defensive Rebound.,17,19
6:26,2750,Everett Winchester made Layup. Assisted by Grant Benzinger.,17,21
6:05,2750,Foul on Grant Benzinger.,17,21
6:00,2309,Jaylin Walker missed Three Point Jumper.,17,21
6:00,2309,Adonis De La Rosa Offensive Rebound.,17,21
5:54,2309,Jaylin Walker Turnover.,17,21
5:44,2750,Parker Ernsthausen made Layup. Assisted by Mark Hughes.,17,23
5:12,2309,Kevin Zabo missed Three Point Jumper.,17,23
5:12,2750,Justin Mitchell Defensive Rebound.,17,23
5:05,2750,Mark Hughes missed Three Point Jumper.,17,23
5:05,2309,Desmond Ridenour Defensive Rebound.,17,23
4:44,2309,Jalen Avery missed Jumper.,17,23
4:44,2750,Grant Benzinger Defensive Rebound.,17,23
4:26,2750,Parker Ernsthausen Turnover.,17,23
4:10,2309,Adonis De La Rosa made Dunk. Assisted by Desmond Ridenour.,19,23
3:54,2309,Foul on Adonis De La Rosa.,19,23
3:54,2750,Official TV Timeout,19,23
3:54,2750,Jaylon Hall made Free Throw.,19,24
3:54,2750,Jaylon Hall made Free Throw.,19,25
3:40,2309,Mitch Peterson Turnover.,19,25
3:39,2750,Parker Ernsthausen Steal.,19,25
3:25,2750,Parker Ernsthausen missed Jumper.,19,25
3:25,2750,Justin Mitchell Offensive Rebound.,19,25
3:24,2750,Justin Mitchell made Layup.,19,27
2:58,2309,Kevin Zabo missed Jumper.,19,27
2:58,2750,Justin Mitchell Defensive Rebound.,19,27
2:48,2750,Jaylon Hall made Jumper.,19,29
2:48,2309,Foul on Desmond Ridenour.,19,29
2:48,2750,Jaylon Hall missed Free Throw.,19,29
2:48,2309,Danny Pippen Defensive Rebound.,19,29
2:24,2309,Jaylin Walker made Three Point Jumper.,22,29
1:54,2750,Grant Benzinger missed Three Point Jumper.,22,29
1:54,2309,Kent State Deadball Team Rebound.,22,29
1:52,2750,Foul on Everett Winchester.,22,29
1:37,2309,Jaylin Walker missed Three Point Jumper.,22,29
1:37,2750,Jaylon Hall Defensive Rebound.,22,29
1:24,2750,Jaylon Hall missed Layup.,22,29
1:24,2309,Kent State Defensive Rebound.,22,29
1:24,2309,Kent State  Timeout,22,29
1:14,2309,Akiean Frederick Turnover.,22,29
1:13,2750,Parker Ernsthausen Steal.,22,29
1:09,2750,Mark Hughes missed Layup.,22,29
1:09,2750,Everett Winchester Offensive Rebound.,22,29
1:07,2750,Everett Winchester missed Dunk.,22,29
1:07,2309,Danny Pippen Defensive Rebound.,22,29
1:00,2309,Foul on Mitch Peterson.,22,29
1:00,2309,Mitch Peterson Turnover.,22,29
0:53,2750,Mark Hughes made Layup. Assisted by Parker Ernsthausen.,22,31
0:34,2309,Jaylin Walker made Jumper.,24,31
0:03,2750,Grant Benzinger missed Three Point Jumper.,24,31
0:03,2750,Justin Mitchell Offensive Rebound.,24,31
0:00,2750,End of 1st half,24,31
19:50,2750,Loudon Love made Dunk. Assisted by Mark Hughes.,24,33
19:35,2309,Danny Pippen missed Jumper.,24,33
19:35,2309,Danny Pippen Offensive Rebound.,24,33
19:16,2309,Jalen Avery missed Three Point Jumper.,24,33
19:16,2309,Adonis De La Rosa Offensive Rebound.,24,33
19:11,2309,Danny Pippen made Dunk. Assisted by Adonis De La Rosa.,26,33
18:49,2750,Justin Mitchell Turnover.,26,33
18:48,2309,Danny Pippen Steal.,26,33
18:37,2750,Foul on Loudon Love.,26,33
18:36,2309,Danny Pippen made Jumper. Assisted by Jalen Avery.,28,33
18:12,2750,Mark Hughes Turnover.,28,33
18:11,2309,Mitch Peterson Steal.,28,33
18:04,2309,Danny Pippen Turnover.,28,33
18:03,2750,Justin Mitchell Steal.,28,33
17:59,2750,Grant Benzinger missed Three Point Jumper.,28,33
17:59,2309,Kent State Deadball Team Rebound.,28,33
17:57,2750,Foul on Everett Winchester.,28,33
17:40,2750,Foul on Parker Ernsthausen.,28,33
17:40,2309,Foul on Adonis De La Rosa.,28,33
17:40,2309,Adonis De La Rosa Turnover.,28,33
17:28,2750,Grant Benzinger missed Three Point Jumper.,28,33
17:28,2309,Kent State Defensive Rebound.,28,33
17:08,2309,Foul on Adonis De La Rosa.,28,33
17:08,2309,Adonis De La Rosa Turnover.,28,33
16:59,2309,Foul on Mitch Peterson.,28,33
16:47,2750,Justin Mitchell made Layup.,28,35
16:21,2309,Jaylin Walker missed Jumper.,28,35
16:21,2750,Justin Mitchell Block.,28,35
16:20,2309,BJ Duling Offensive Rebound.,28,35
16:17,2309,BJ Duling missed Layup.,28,35
16:17,2750,Everett Winchester Defensive Rebound.,28,35
16:09,2750,Grant Benzinger made Three Point Jumper. Assisted by Mark Hughes.,28,38
15:45,2309,Danny Pippen missed Jumper.,28,38
15:45,2750,Justin Mitchell Defensive Rebound.,28,38
15:37,2750,Grant Benzinger made Layup.,28,40
15:34,2309,Kent State  Timeout,28,40
15:15,2309,Jalen Avery made Layup.,30,40
15:15,2750,Foul on Justin Mitchell.,30,40
15:15,2750,Official TV Timeout,30,40
15:15,2309,Jalen Avery made Free Throw.,31,40
14:59,2750,Grant Benzinger missed Jumper.,31,40
14:59,2309,Akiean Frederick Defensive Rebound.,31,40
14:28,2309,Akiean Frederick Turnover.,31,40
14:15,2750,Mark Hughes missed Three Point Jumper.,31,40
14:15,2309,Akiean Frederick Defensive Rebound.,31,40
14:06,2309,Jaylin Walker missed Three Point Jumper.,31,40
14:06,2750,Parker Ernsthausen Defensive Rebound.,31,40
13:53,2750,Justin Mitchell Turnover.,31,40
13:53,2309,Akiean Frederick Steal.,31,40
13:42,2750,Foul on Grant Benzinger.,31,40
13:42,2309,Desmond Ridenour made Free Throw.,32,40
13:42,2309,Desmond Ridenour made Free Throw.,33,40
13:13,2750,Everett Winchester Turnover.,33,40
12:53,2309,Desmond Ridenour missed Three Point Jumper.,33,40
12:53,2750,Everett Winchester Defensive Rebound.,33,40
12:40,2309,Foul on Jaylin Walker.,33,40
12:38,2750,Jaylon Hall missed Jumper.,33,40
12:38,2309,Adonis De La Rosa Defensive Rebound.,33,40
12:21,2309,Jaylin Walker missed Jumper.,33,40
12:21,2750,Grant Benzinger Defensive Rebound.,33,40
12:09,2309,Foul on Adonis De La Rosa.,33,40
12:09,2750,Jaylon Hall made Free Throw.,33,41
12:09,2750,Jaylon Hall missed Free Throw.,33,41
12:09,2309,Danny Pippen Defensive Rebound.,33,41
12:08,2309,Danny Pippen Turnover.,33,41
12:07,2750,Justin Mitchell Turnover.,33,41
12:06,2309,Ryan Bernstein Steal.,33,41
12:04,2309,Ryan Bernstein missed Layup.,33,41
12:04,2309,Danny Pippen Offensive Rebound.,33,41
12:00,2309,Danny Pippen made Layup.,35,41
11:58,2750,Official TV Timeout,35,41
11:49,2750,Everett Winchester made Layup.,35,43
11:49,2309,Foul on Kevin Zabo.,35,43
11:49,2750,Everett Winchester made Free Throw.,35,44
11:26,2309,Danny Pippen missed Jumper.,35,44
11:26,2750,Justin Mitchell Defensive Rebound.,35,44
11:15,2750,Everett Winchester Turnover.,35,44
11:13,2309,Ryan Bernstein Steal.,35,44
11:11,2309,Mitch Peterson missed Three Point Jumper.,35,44
11:11,2750,Justin Mitchell Defensive Rebound.,35,44
10:53,2309,Foul on Danny Pippen.,35,44
10:53,2750,Loudon Love made Free Throw.,35,45
10:53,2750,Loudon Love missed Free Throw.,35,45
10:53,2309,Danny Pippen Defensive Rebound.,35,45
10:38,2309,Jalen Avery missed Jumper.,35,45
10:38,2750,Justin Mitchell Defensive Rebound.,35,45
10:28,2750,Mark Hughes missed Three Point Jumper.,35,45
10:28,2750,Loudon Love Offensive Rebound.,35,45
10:25,2750,Loudon Love missed Layup.,35,45
10:24,2750,Wright State Offensive Rebound.,35,45
10:24,2309,Danny Pippen Block.,35,45
10:10,2750,Loudon Love made Layup.,35,47
10:03,2309,Desmond Ridenour Turnover.,35,47
10:02,2750,Justin Mitchell Steal.,35,47
9:50,2750,Justin Mitchell Turnover.,35,47
9:49,2309,Desmond Ridenour Steal.,35,47
9:45,2309,Jalen Avery missed Layup.,35,47
9:45,2750,Everett Winchester Block.,35,47
9:44,2309,Adonis De La Rosa Offensive Rebound.,35,47
9:41,2309,Adonis De La Rosa Turnover.,35,47
9:40,2750,Jaylon Hall Steal.,35,47
9:35,2750,Jaylon Hall Turnover.,35,47
9:34,2309,Desmond Ridenour Steal.,35,47
9:14,2309,Jalen Avery made Jumper.,37,47
8:48,2750,Loudon Love Turnover.,37,47
8:47,2309,Ryan Bernstein Steal.,37,47
8:43,2750,Foul on Jaylon Hall.,37,47
8:43,2309,Ryan Bernstein missed Free Throw.,37,47
8:43,2309,Kent State Deadball Team Rebound.,37,47
8:43,2309,Ryan Bernstein made Free Throw.,38,47
8:27,2750,Everett Winchester made Layup. Assisted by Justin Mitchell.,38,49
8:27,2309,Foul on Adonis De La Rosa.,38,49
8:27,2750,Everett Winchester made Free Throw.,38,50
8:14,2309,Foul on Kevin Zabo.,38,50
8:14,2309,Kevin Zabo Turnover.,38,50
7:46,2750,Justin Mitchell made Jumper.,38,52
7:12,2309,Jalen Avery missed Jumper.,38,52
7:12,2309,Jalen Avery Offensive Rebound.,38,52
7:01,2309,Desmond Ridenour Turnover.,38,52
7:00,2750,Justin Mitchell Steal.,38,52
6:37,2750,Justin Mitchell missed Three Point Jumper.,38,52
6:37,2309,Akiean Frederick Defensive Rebound.,38,52
6:27,2309,Jaylin Walker made Jumper. Assisted by Jalen Avery.,40,52
6:27,2750,Foul on Grant Benzinger.,40,52
6:27,2750,Official TV Timeout,40,52
6:27,2309,Jaylin Walker missed Free Throw.,40,52
6:27,2750,Justin Mitchell Defensive Rebound.,40,52
6:04,2309,Foul on Akiean Frederick.,40,52
6:04,2750,Parker Ernsthausen made Free Throw.,40,53
6:04,2750,Parker Ernsthausen made Free Throw.,40,54
5:51,2309,Akiean Frederick made Dunk. Assisted by Mitch Peterson.,42,54
5:29,2750,Grant Benzinger missed Three Point Jumper.,42,54
5:29,2309,BJ Duling Defensive Rebound.,42,54
5:14,2309,Jaylin Walker Turnover.,42,54
5:13,2750,Justin Mitchell Steal.,42,54
4:51,2309,Foul on BJ Duling.,42,54
4:51,2750,Jaylon Hall missed Free Throw.,42,54
4:51,2750,Wright State Deadball Team Rebound.,42,54
4:51,2750,Jaylon Hall made Free Throw.,42,55
4:39,2750,Foul on Loudon Love.,42,55
4:39,2750,Technical Foul on Loudon Love.,42,55
4:39,2750,Foul on Loudon Love.,42,55
4:39,2309,Technical Foul on Akiean Frederick.,42,55
4:39,2309,Foul on Akiean Frederick.,42,55
4:39,2309,Akiean Frederick made Free Throw.,43,55
4:39,2309,Akiean Frederick made Free Throw.,44,55
4:17,2750,Mark Hughes missed Three Point Jumper.,44,55
4:17,2309,Mitch Peterson Defensive Rebound.,44,55
4:12,2309,Mitch Peterson Turnover.,44,55
4:11,2750,Mark Hughes Turnover.,44,55
4:10,2309,Jalen Avery Steal.,44,55
4:06,2309,Jalen Avery made Layup.,46,55
4:05,2309,Kent State  Timeout,46,55
3:45,2750,Grant Benzinger missed Jumper.,46,55
3:45,2309,Danny Pippen Defensive Rebound.,46,55
3:31,2309,Jaylin Walker missed Three Point Jumper.,46,55
3:31,2750,Everett Winchester Defensive Rebound.,46,55
3:01,2750,Jaylon Hall made Three Point Jumper. Assisted by Mark Hughes.,46,58
2:49,2309,Foul on Danny Pippen.,46,58
2:49,2309,Danny Pippen Turnover.,46,58
2:36,2750,Mark Hughes missed Three Point Jumper.,46,58
2:36,2309,Akiean Frederick Defensive Rebound.,46,58
2:09,2309,Danny Pippen missed Jumper.,46,58
2:09,2309,Mitch Peterson Offensive Rebound.,46,58
2:05,2309,Mitch Peterson made Two Point Tip Shot.,48,58
1:49,2750,Jaylon Hall missed Three Point Jumper.,48,58
1:49,2309,Kent State Defensive Rebound.,48,58
1:37,2309,Mitch Peterson missed Jumper.,48,58
1:37,2309,Kent State Deadball Team Rebound.,48,58
1:35,2750,Foul on Everett Winchester.,48,58
1:35,2309,Akiean Frederick made Free Throw.,49,58
1:35,2309,Akiean Frederick made Free Throw.,50,58
1:07,2750,Justin Mitchell missed Jumper.,50,58
1:07,2309,Danny Pippen Defensive Rebound.,50,58
1:00,2309,Jaylin Walker missed Three Point Jumper.,50,58
1:00,2750,Wright State Deadball Team Rebound.,50,58
1:00,2309,Foul on Danny Pippen.,50,58
1:00,2750,Justin Mitchell missed Free Throw.,50,58
1:00,2750,Wright State Deadball Team Rebound.,50,58
1:00,2750,Justin Mitchell missed Free Throw.,50,58
1:00,2309,Jaylin Walker Defensive Rebound.,50,58
0:47,2750,Foul on Everett Winchester.,50,58
0:47,2309,Jalen Avery made Free Throw.,51,58
0:47,2309,Jalen Avery made Free Throw.,52,58
0:40,2750,Grant Benzinger Turnover.,52,58
0:39,2309,Ryan Bernstein Steal.,52,58
0:32,2309,Jalen Avery missed Layup.,52,58
0:32,2750,Parker Ernsthausen Block.,52,58
0:31,2750,Parker Ernsthausen Defensive Rebound.,52,58
0:30,2309,Foul on Desmond Ridenour.,52,58
0:30,2750,Parker Ernsthausen made Free Throw.,52,59
0:30,2750,Parker Ernsthausen missed Free Throw.,52,59
0:30,2309,Mitch Peterson Defensive Rebound.,52,59
0:22,2309,Jalen Avery made Layup.,54,59
0:22,2309,Kent State  Timeout,54,59
0:22,2309,Foul on Ryan Bernstein.,54,59
0:22,2750,Grant Benzinger made Free Throw.,54,60
0:22,2750,Grant Benzinger made Free Throw.,54,61
0:17,2309,Foul on Akiean Frederick.,54,61
0:17,2309,Akiean Frederick Turnover.,54,61
0:16,2309,Foul on Jaylin Walker.,54,61
0:16,2750,Parker Ernsthausen made Free Throw.,54,62
0:16,2750,Parker Ernsthausen made Free Throw.,54,63
0:06,2309,Danny Pippen Turnover.,54,63
0:00,2750,End of Game,54,63
