DePaul,82,UIC,305
7:24,82,Foul on Dikembe Dixson.,16,15
7:24,82,Dikembe Dixson Turnover.,16,15
7:03,305,Eli Cain missed Jumper.,16,15
7:03,305,Peter Ryckbosch Offensive Rebound.,16,15
6:59,305,Max Strus Turnover.,16,15
6:57,82,Tai Odiase Steal.,16,15
6:52,305,Foul on Peter Ryckbosch.,16,15
6:48,82,Foul on Godwin Boahen.,16,15
6:48,82,Godwin Boahen Turnover.,16,15
6:31,305,Max Strus missed Three Point Jumper.,16,15
6:31,82,Marcus Ottey Defensive Rebound.,16,15
6:21,82,Dominique Matthews missed Layup.,16,15
6:21,82,Jordan Blount Offensive Rebound.,16,15
6:15,82,Dominique Matthews missed Layup.,16,15
6:14,305,Brandon Cyrus Block.,16,15
6:13,82,Jordan Blount Offensive Rebound.,16,15
6:11,82,Jordan Blount Turnover.,16,15
6:01,305,Max Strus made Jumper. Assisted by Eli Cain.,18,15
5:37,305,Foul on Peter Ryckbosch.,18,15
5:37,82,Tai Odiase missed Free Throw.,18,15
5:37,82,UIC Deadball Team Rebound.,18,15
5:37,82,Tai Odiase made Free Throw.,18,16
5:26,305,Max Strus missed Three Point Jumper.,18,16
5:26,82,Michael Diggins Defensive Rebound.,18,16
5:19,82,Michael Diggins Turnover.,18,16
5:10,305,Eli Cain made Layup.,20,16
5:10,82,Foul on Godwin Boahen.,20,16
5:10,305,Eli Cain made Free Throw.,21,16
4:47,82,Godwin Boahen Turnover.,21,16
4:46,305,Eli Cain Steal.,21,16
4:40,305,Brandon Cyrus missed Three Point Jumper.,21,16
4:40,82,Marcus Ottey Defensive Rebound.,21,16
4:34,82,Foul on Marcus Ottey.,21,16
4:34,82,Marcus Ottey Turnover.,21,16
4:21,305,Tre'Darius McCallum missed Three Point Jumper.,21,16
4:21,82,Dominique Matthews Defensive Rebound.,21,16
4:15,82,Godwin Boahen missed Three Point Jumper.,21,16
4:15,305,Eli Cain Defensive Rebound.,21,16
3:53,305,Eli Cain made Layup.,23,16
3:53,82,UIC  Timeout,23,16
3:32,82,Dominique Matthews made Three Point Jumper. Assisted by Jordan Blount.,23,19
3:10,305,Max Strus made Dunk. Assisted by Eli Cain.,25,19
3:00,82,Jordan Blount missed Three Point Jumper.,25,19
3:00,305,Eli Cain Defensive Rebound.,25,19
2:45,305,Eli Cain missed Jumper.,25,19
2:45,305,DePaul Deadball Team Rebound.,25,19
2:44,82,Foul on Godwin Boahen.,25,19
2:44,305,Joe Hanel missed Free Throw.,25,19
2:44,305,DePaul Deadball Team Rebound.,25,19
2:44,305,Joe Hanel missed Free Throw.,25,19
2:44,82,Marcus Ottey Defensive Rebound.,25,19
2:39,305,Foul on Joe Hanel.,25,19
2:39,82,Tai Odiase made Free Throw.,25,20
2:39,82,Tai Odiase missed Free Throw.,25,20
2:39,305,Joe Hanel Defensive Rebound.,25,20
2:17,305,Brandon Cyrus missed Jumper.,25,20
2:17,82,Tai Odiase Block.,25,20
2:15,82,Dominique Matthews Defensive Rebound.,25,20
2:03,82,Clint Robinson made Layup. Assisted by Dikembe Dixson.,25,22
2:03,305,Foul on Justin Roberts.,25,22
2:03,82,Clint Robinson made Free Throw.,25,23
1:38,305,Max Strus made Jumper. Assisted by Brandon Cyrus.,27,23
1:27,82,Dikembe Dixson missed Jumper.,27,23
1:27,305,Eli Cain Defensive Rebound.,27,23
1:20,305,Tre'Darius McCallum missed Jumper.,27,23
1:20,305,Eli Cain Offensive Rebound.,27,23
1:18,305,Eli Cain missed Layup.,27,23
1:18,82,Jordan Blount Defensive Rebound.,27,23
1:08,82,Dominique Matthews made Three Point Jumper.,27,26
0:47,305,Eli Cain made Jumper.,29,26
0:24,82,Dikembe Dixson missed Layup.,29,26
0:24,305,Brandon Cyrus Block.,29,26
0:24,82,UIC Offensive Rebound.,29,26
0:11,82,UIC  Turnover.,29,26
0:11,305,DePaul  Timeout,29,26
0:01,305,Eli Cain missed Jumper.,29,26
0:01,82,Jacob Wiley Defensive Rebound.,29,26
0:00,82,End of 1st half,29,26
19:52,305,Tre'Darius McCallum made Three Point Jumper. Assisted by Jaylen Butz.,32,26
19:34,305,Foul on Jaylen Butz.,32,26
19:26,82,Dominique Matthews missed Three Point Jumper.,32,26
19:26,82,Tai Odiase Offensive Rebound.,32,26
19:21,82,Tai Odiase missed Jumper.,32,26
19:21,305,Max Strus Defensive Rebound.,32,26
19:09,305,Max Strus missed Three Point Jumper.,32,26
19:09,305,Peter Ryckbosch Offensive Rebound.,32,26
19:05,305,Peter Ryckbosch made Layup.,34,26
18:45,82,Godwin Boahen missed Three Point Jumper.,34,26
18:45,305,Max Strus Defensive Rebound.,34,26
18:21,305,Tre'Darius McCallum missed Jumper.,34,26
18:21,82,Godwin Boahen Defensive Rebound.,34,26
17:51,82,Godwin Boahen made Layup.,34,28
17:34,305,Eli Cain made Layup.,36,28
17:22,82,Godwin Boahen missed Three Point Jumper.,36,28
17:22,305,Tre'Darius McCallum Defensive Rebound.,36,28
17:01,305,Brandon Cyrus Turnover.,36,28
17:01,82,Dikembe Dixson Steal.,36,28
17:01,305,Foul on Eli Cain.,36,28
16:45,82,Jordan Blount missed Layup.,36,28
16:45,305,Peter Ryckbosch Defensive Rebound.,36,28
16:37,82,Foul on Dikembe Dixson.,36,28
16:37,305,Brandon Cyrus made Free Throw.,37,28
16:37,305,Brandon Cyrus made Free Throw.,38,28
16:37,305,Brandon Cyrus missed Free Throw.,38,28
16:37,82,Jordan Blount Defensive Rebound.,38,28
16:16,82,Tai Odiase missed Layup.,38,28
16:16,305,Max Strus Defensive Rebound.,38,28
16:05,305,Max Strus made Three Point Jumper. Assisted by Eli Cain.,41,28
15:52,82,UIC  Timeout,41,28
15:40,305,Foul on Tre'Darius McCallum.,41,28
15:40,82,Official TV Timeout,41,28
15:40,82,Dikembe Dixson made Free Throw.,41,29
15:40,82,Dikembe Dixson missed Free Throw.,41,29
15:40,305,Tre'Darius McCallum Defensive Rebound.,41,29
15:29,305,Brandon Cyrus missed Jumper.,41,29
15:29,82,Tai Odiase Block.,41,29
15:27,82,Jordan Blount Defensive Rebound.,41,29
15:17,82,Dikembe Dixson missed Jumper.,41,29
15:17,82,Tai Odiase Offensive Rebound.,41,29
15:11,82,Tai Odiase made Layup.,41,31
14:56,305,Tre'Darius McCallum made Jumper. Assisted by Max Strus.,43,31
14:40,305,Foul on Tre'Darius McCallum.,43,31
14:40,82,Dikembe Dixson missed Free Throw.,43,31
14:40,82,UIC Deadball Team Rebound.,43,31
14:40,82,Dikembe Dixson made Free Throw.,43,32
14:22,305,Max Strus missed Three Point Jumper.,43,32
14:22,82,Marcus Ottey Defensive Rebound.,43,32
14:19,82,Marcus Ottey Turnover.,43,32
13:57,305,Eli Cain missed Three Point Jumper.,43,32
13:57,82,Dominique Matthews Defensive Rebound.,43,32
13:45,82,Marcus Ottey missed Layup.,43,32
13:45,305,Eli Cain Block.,43,32
13:45,305,Eli Cain Defensive Rebound.,43,32
13:25,305,Tre'Darius McCallum made Jumper. Assisted by Brandon Cyrus.,45,32
13:11,305,Foul on Peter Ryckbosch.,45,32
13:11,82,Clint Robinson made Free Throw.,45,33
13:11,82,Clint Robinson missed Free Throw.,45,33
13:11,305,Peter Ryckbosch Defensive Rebound.,45,33
13:02,305,Brandon Cyrus made Layup. Assisted by Max Strus.,47,33
12:43,305,Foul on Tre'Darius McCallum.,47,33
12:43,82,Dominique Matthews made Free Throw.,47,34
12:43,82,Dominique Matthews made Free Throw.,47,35
12:26,305,Brandon Cyrus missed Three Point Jumper.,47,35
12:26,82,Tai Odiase Block.,47,35
12:12,305,Brandon Cyrus Offensive Rebound.,47,35
12:09,305,Brandon Cyrus missed Jumper.,47,35
12:08,82,Tai Odiase Block.,47,35
12:07,82,Dikembe Dixson Defensive Rebound.,47,35
12:02,305,Tre'Darius McCallum missed Three Point Jumper.,47,35
12:02,305,Eli Cain Offensive Rebound.,47,35
11:59,82,Foul on Clint Robinson.,47,35
11:59,82,Official TV Timeout,47,35
11:48,305,Justin Roberts made Jumper.,49,35
11:30,82,Dominique Matthews missed Three Point Jumper.,49,35
11:30,305,Max Strus Defensive Rebound.,49,35
10:57,305,DePaul  Turnover.,49,35
10:39,305,Foul on Eli Cain.,49,35
10:39,82,Dikembe Dixson made Free Throw.,49,36
10:39,82,Dikembe Dixson made Free Throw.,49,37
10:25,305,Eli Cain Turnover.,49,37
10:24,82,Dominique Matthews Steal.,49,37
10:22,82,Dominique Matthews made Layup.,49,39
9:56,305,Max Strus missed Three Point Jumper.,49,39
9:56,82,Clint Robinson Defensive Rebound.,49,39
9:38,82,Dikembe Dixson missed Three Point Jumper.,49,39
9:38,82,Dikembe Dixson Offensive Rebound.,49,39
9:33,82,Dikembe Dixson made Jumper.,49,41
9:00,305,Eli Cain made Layup.,51,41
8:34,82,Dominique Matthews missed Three Point Jumper.,51,41
8:34,305,Eli Cain Defensive Rebound.,51,41
8:11,305,Jaylen Butz Turnover.,51,41
8:10,82,Clint Robinson Steal.,51,41
8:06,82,Dikembe Dixson missed Layup.,51,41
8:06,82,Dikembe Dixson Offensive Rebound.,51,41
7:57,82,Foul on Dikembe Dixson.,51,41
7:57,82,Dikembe Dixson Turnover.,51,41
7:57,82,Official TV Timeout,51,41
7:35,305,Max Strus made Three Point Jumper. Assisted by Eli Cain.,54,41
7:18,305,Foul on Peter Ryckbosch.,54,41
7:18,82,Clint Robinson made Free Throw.,54,42
7:18,82,Clint Robinson made Free Throw.,54,43
7:04,82,Foul on Jordan Blount.,54,43
7:04,305,Max Strus made Free Throw.,55,43
7:04,305,Max Strus made Free Throw.,56,43
6:49,82,Jordan Blount Turnover.,56,43
6:48,305,Max Strus Steal.,56,43
6:44,82,Foul on Jordan Blount.,56,43
6:44,305,Max Strus made Free Throw.,57,43
6:44,305,Max Strus missed Free Throw.,57,43
6:44,82,Tai Odiase Defensive Rebound.,57,43
6:28,82,Marcus Ottey missed Layup.,57,43
6:28,82,Marcus Ottey Offensive Rebound.,57,43
6:24,82,Dikembe Dixson made Three Point Jumper. Assisted by Marcus Ottey.,57,46
5:58,305,Eli Cain missed Layup.,57,46
5:58,82,Tai Odiase Block.,57,46
5:57,305,Brandon Cyrus Offensive Rebound.,57,46
5:42,305,Max Strus Turnover.,57,46
5:42,82,Michael Diggins Steal.,57,46
5:27,305,Foul on Brandon Cyrus.,57,46
5:27,82,Godwin Boahen made Free Throw.,57,47
5:27,82,Godwin Boahen made Free Throw.,57,48
5:06,305,Eli Cain missed Layup.,57,48
5:06,82,Tai Odiase Block.,57,48
5:05,305,Joe Hanel Offensive Rebound.,57,48
4:56,305,Max Strus missed Three Point Jumper.,57,48
4:56,82,UIC Defensive Rebound.,57,48
4:55,305,Foul on Joe Hanel.,57,48
4:55,82,Tai Odiase made Free Throw.,57,49
4:55,82,Tai Odiase made Free Throw.,57,50
4:33,305,Max Strus Turnover.,57,50
4:32,82,Dikembe Dixson Steal.,57,50
4:28,305,Foul on Brandon Cyrus.,57,50
4:28,82,Tai Odiase missed Free Throw.,57,50
4:28,82,UIC Deadball Team Rebound.,57,50
4:28,82,Tai Odiase made Free Throw.,57,51
4:12,305,Eli Cain missed Layup.,57,51
4:12,82,Tai Odiase Defensive Rebound.,57,51
3:52,82,Tai Odiase missed Jumper.,57,51
3:52,82,UIC Offensive Rebound.,57,51
3:50,82,Official TV Timeout,57,51
3:38,82,Godwin Boahen missed Layup.,57,51
3:38,305,Brandon Cyrus Block.,57,51
3:38,82,UIC Offensive Rebound.,57,51
3:27,82,Tai Odiase missed Jumper.,57,51
3:27,305,Eli Cain Defensive Rebound.,57,51
3:04,305,Max Strus made Three Point Jumper. Assisted by Eli Cain.,60,51
2:57,82,UIC  Timeout,60,51
2:47,82,Dikembe Dixson missed Jumper.,60,51
2:47,305,Max Strus Defensive Rebound.,60,51
2:18,305,Eli Cain missed Jumper.,60,51
2:18,305,Brandon Cyrus Offensive Rebound.,60,51
2:16,82,Foul on Godwin Boahen.,60,51
1:50,305,Peter Ryckbosch made Layup. Assisted by Max Strus.,62,51
1:34,305,Foul on Peter Ryckbosch.,62,51
1:34,82,Marcus Ottey made Free Throw.,62,52
1:34,82,Marcus Ottey made Free Throw.,62,53
1:06,305,Max Strus missed Three Point Jumper.,62,53
1:06,82,Tai Odiase Defensive Rebound.,62,53
0:54,82,Marcus Ottey made Layup. Assisted by Dominique Matthews.,62,55
0:54,82,UIC  Timeout,62,55
0:52,82,Foul on Dominique Matthews.,62,55
0:52,305,Eli Cain made Free Throw.,63,55
0:52,305,Eli Cain missed Free Throw.,63,55
0:52,82,Marcus Ottey Defensive Rebound.,63,55
0:35,82,Dikembe Dixson missed Three Point Jumper.,63,55
0:35,305,Tre'Darius McCallum Defensive Rebound.,63,55
0:30,82,Foul on Dominique Matthews.,63,55
0:30,305,Tre'Darius McCallum made Free Throw.,64,55
0:30,305,Tre'Darius McCallum made Free Throw.,65,55
0:18,82,Dikembe Dixson missed Three Point Jumper.,65,55
0:18,305,Max Strus Defensive Rebound.,65,55
0:00,82,End of Game,65,55
