Youngstown State,2086,Butler,2754
7:59,2754,Foul on Braun Hartfield.,11,24
7:59,2754,Braun Hartfield Turnover.,11,24
7:59,2086,Official TV Timeout,11,24
7:40,2086,Jerald Gillens-Butler missed Three Point Jumper.,11,24
7:40,2086,Nate Fowler Offensive Rebound.,11,24
7:35,2086,Nate Fowler made Layup.,11,26
7:18,2754,Michael Akuchie Turnover.,11,26
7:14,2086,Kamar Baldwin made Layup.,11,28
6:55,2754,Michael Akuchie Turnover.,11,28
6:53,2086,Aaron Thompson Steal.,11,28
6:51,2086,Aaron Thompson missed Layup.,11,28
6:51,2754,Michael Akuchie Block.,11,28
6:51,2086,Butler Offensive Rebound.,11,28
6:50,2754,Youngstown State  Timeout,11,28
6:46,2086,Nate Fowler made Layup.,11,30
6:31,2754,Cameron Morse made Three Point Jumper. Assisted by Jaylen Benton.,14,30
6:22,2086,Nate Fowler missed Layup.,14,30
6:22,2754,Garrett Covington Block.,14,30
6:22,2086,Butler Offensive Rebound.,14,30
6:21,2086,Paul Jorgensen made Three Point Jumper. Assisted by Aaron Thompson.,14,33
6:04,2754,Garrett Covington missed Layup.,14,33
6:04,2086,Joey Brunk Defensive Rebound.,14,33
5:49,2086,Joey Brunk made Layup. Assisted by Aaron Thompson.,14,35
5:38,2754,Cameron Morse missed Three Point Jumper.,14,35
5:38,2086,Joey Brunk Defensive Rebound.,14,35
5:12,2086,Joey Brunk made Layup. Assisted by Paul Jorgensen.,14,37
4:59,2086,Foul on Paul Jorgensen.,14,37
4:52,2754,Braun Hartfield made Three Point Jumper. Assisted by Garrett Covington.,17,37
4:33,2086,Paul Jorgensen missed Jumper.,17,37
4:33,2754,Tyree Robinson Defensive Rebound.,17,37
4:23,2754,Braun Hartfield made Layup.,19,37
4:23,2086,Foul on Henry Baddley.,19,37
4:23,2754,Braun Hartfield missed Free Throw.,19,37
4:23,2086,Joey Brunk Defensive Rebound.,19,37
3:58,2086,Kamar Baldwin missed Three Point Jumper.,19,37
3:58,2086,Christian David Offensive Rebound.,19,37
3:45,2086,Kelan Martin made Three Point Jumper.,19,40
3:30,2754,Braun Hartfield missed Jumper.,19,40
3:30,2754,Youngstown State Offensive Rebound.,19,40
3:28,2086,Official TV Timeout,19,40
3:24,2754,Michael Akuchie missed Three Point Jumper.,19,40
3:24,2086,Kelan Martin Defensive Rebound.,19,40
3:13,2086,Kelan Martin missed Layup.,19,40
3:13,2086,Kelan Martin Offensive Rebound.,19,40
3:11,2754,Foul on Michael Akuchie.,19,40
3:11,2086,Kelan Martin made Free Throw.,19,41
3:11,2086,Kelan Martin made Free Throw.,19,42
2:32,2754,Naz Bohannon missed Three Point Jumper.,19,42
2:32,2754,Garrett Covington Offensive Rebound.,19,42
2:25,2754,Garrett Covington Turnover.,19,42
2:24,2086,Kamar Baldwin Steal.,19,42
2:22,2086,Kelan Martin missed Three Point Jumper.,19,42
2:22,2086,Butler Offensive Rebound.,19,42
1:59,2086,Tyler Wideman made Layup. Assisted by Aaron Thompson.,19,44
1:28,2086,Foul on Tyler Wideman.,19,44
1:28,2754,Jeremiah Ferguson missed Free Throw.,19,44
1:28,2754,Youngstown State Deadball Team Rebound.,19,44
1:28,2754,Jeremiah Ferguson made Free Throw.,20,44
1:03,2086,Nate Fowler made Jumper.,20,46
0:48,2754,Garrett Covington made Three Point Jumper.,23,46
0:40,2086,Aaron Thompson Turnover.,23,46
0:27,2754,Jaylen Benton Turnover.,23,46
0:04,2086,Kelan Martin missed Three Point Jumper.,23,46
0:04,2086,Kamar Baldwin Offensive Rebound.,23,46
0:00,2086,Kamar Baldwin made Jumper.,23,48
0:00,2086,End of 1st half,23,48
19:45,2086,Kamar Baldwin missed Three Point Jumper.,23,48
19:45,2754,Jacob Brown Defensive Rebound.,23,48
19:35,2754,Jacob Brown made Three Point Jumper. Assisted by Cameron Morse.,26,48
19:25,2086,Kamar Baldwin made Layup.,26,50
19:11,2754,Braun Hartfield Turnover.,26,50
19:10,2086,Kelan Martin Steal.,26,50
19:07,2086,Kelan Martin missed Layup.,26,50
19:07,2754,Braun Hartfield Block.,26,50
19:05,2754,Cameron Morse Defensive Rebound.,26,50
19:00,2754,Garrett Covington missed Three Point Jumper.,26,50
19:00,2754,Naz Bohannon Offensive Rebound.,26,50
18:53,2754,Naz Bohannon made Jumper.,28,50
18:32,2754,Foul on Jacob Brown.,28,50
18:26,2086,Nate Fowler made Jumper. Assisted by Kamar Baldwin.,28,52
18:23,2086,Foul on Aaron Thompson.,28,52
18:10,2754,Braun Hartfield Turnover.,28,52
18:09,2086,Aaron Thompson Steal.,28,52
18:07,2086,Paul Jorgensen missed Three Point Jumper.,28,52
18:07,2754,Cameron Morse Defensive Rebound.,28,52
17:55,2754,Cameron Morse made Layup.,30,52
17:44,2754,Foul on Jacob Brown.,30,52
17:44,2086,Kamar Baldwin missed Free Throw.,30,52
17:44,2086,Butler Deadball Team Rebound.,30,52
17:44,2086,Kamar Baldwin made Free Throw.,30,53
17:21,2754,Garrett Covington made Layup.,32,53
17:15,2086,Butler  Timeout,32,53
16:52,2086,Henry Baddley made Layup. Assisted by Kelan Martin.,32,55
16:44,2754,Garrett Covington Turnover.,32,55
16:37,2754,Foul on Braun Hartfield.,32,55
16:37,2086,Henry Baddley made Free Throw.,32,56
16:37,2086,Henry Baddley made Free Throw.,32,57
16:28,2754,Cameron Morse missed Three Point Jumper.,32,57
16:28,2754,Naz Bohannon Offensive Rebound.,32,57
16:23,2086,Foul on Nate Fowler.,32,57
16:23,2754,Garrett Covington missed Free Throw.,32,57
16:23,2754,Youngstown State Deadball Team Rebound.,32,57
16:23,2754,Garrett Covington made Free Throw.,33,57
16:07,2086,Henry Baddley Turnover.,33,57
16:00,2754,Braun Hartfield made Layup.,35,57
15:49,2086,Kamar Baldwin made Layup.,35,59
15:38,2086,Foul on Kamar Baldwin.,35,59
15:38,2086,Official TV Timeout,35,59
15:35,2754,Braun Hartfield Turnover.,35,59
15:33,2086,Kamar Baldwin Steal.,35,59
15:31,2086,Kamar Baldwin made Layup.,35,61
15:31,2754,Foul on Braun Hartfield.,35,61
15:31,2086,Kamar Baldwin made Free Throw.,35,62
15:18,2754,Cameron Morse made Jumper.,37,62
14:48,2086,Kelan Martin made Jumper.,37,64
14:32,2754,Naz Bohannon made Layup.,39,64
14:18,2086,Nate Fowler made Layup. Assisted by Kamar Baldwin.,39,66
14:10,2086,Foul on Kamar Baldwin.,39,66
14:10,2754,Cameron Morse missed Free Throw.,39,66
14:10,2754,Youngstown State Deadball Team Rebound.,39,66
14:10,2754,Cameron Morse made Free Throw.,40,66
14:02,2086,Christian David made Layup. Assisted by Kelan Martin.,40,68
13:48,2754,Naz Bohannon missed Jumper.,40,68
13:48,2754,Garrett Covington Offensive Rebound.,40,68
13:43,2754,Garrett Covington made Layup.,42,68
13:28,2086,Kelan Martin missed Jumper.,42,68
13:28,2754,Garrett Covington Defensive Rebound.,42,68
13:21,2754,Garrett Covington made Layup.,44,68
13:21,2086,Foul on Christian David.,44,68
13:21,2754,Garrett Covington missed Free Throw.,44,68
13:21,2086,Jerald Gillens-Butler Defensive Rebound.,44,68
13:07,2086,Paul Jorgensen made Layup. Assisted by Aaron Thompson.,44,70
12:56,2754,Cameron Morse missed Jumper.,44,70
12:56,2754,Michael Akuchie Offensive Rebound.,44,70
12:39,2086,Foul on Aaron Thompson.,44,70
12:39,2754,Garrett Covington made Free Throw.,45,70
12:39,2754,Garrett Covington made Free Throw.,46,70
12:20,2086,Foul on Christian David.,46,70
12:20,2086,Christian David Turnover.,46,70
12:08,2754,Jacob Brown missed Three Point Jumper.,46,70
12:08,2754,Jeremiah Ferguson Offensive Rebound.,46,70
11:53,2754,Jacob Brown missed Layup.,46,70
11:53,2086,Tyler Wideman Block.,46,70
11:50,2086,Jerald Gillens-Butler Defensive Rebound.,46,70
11:46,2086,Jerald Gillens-Butler missed Layup.,46,70
11:46,2754,Jeremiah Ferguson Block.,46,70
11:43,2754,Garrett Covington Defensive Rebound.,46,70
11:34,2754,Garrett Covington missed Layup.,46,70
11:34,2086,Tyler Wideman Defensive Rebound.,46,70
11:26,2086,Aaron Thompson missed Layup.,46,70
11:26,2086,Jerald Gillens-Butler Offensive Rebound.,46,70
11:20,2086,Christian David made Dunk. Assisted by Jerald Gillens-Butler.,46,72
10:59,2754,Garrett Covington missed Layup.,46,72
10:59,2086,Christian David Defensive Rebound.,46,72
10:52,2086,Tyler Wideman made Layup. Assisted by Aaron Thompson.,46,74
10:34,2754,Jacob Brown missed Three Point Jumper.,46,74
10:34,2086,Henry Baddley Defensive Rebound.,46,74
10:25,2086,Aaron Thompson Turnover.,46,74
10:23,2754,Jacob Brown Steal.,46,74
10:19,2086,Foul on Henry Baddley.,46,74
10:19,2086,Official TV Timeout,46,74
10:19,2754,Jeremiah Ferguson made Free Throw.,47,74
10:19,2754,Jeremiah Ferguson made Free Throw.,48,74
9:48,2086,Kelan Martin missed Jumper.,48,74
9:48,2754,Jacob Brown Defensive Rebound.,48,74
9:18,2754,Jeremiah Ferguson missed Three Point Jumper.,48,74
9:18,2086,Butler Deadball Team Rebound.,48,74
8:54,2086,Kelan Martin made Jumper.,48,76
8:29,2754,Jeremiah Ferguson missed Layup.,48,76
8:29,2086,Joey Brunk Defensive Rebound.,48,76
8:22,2754,Foul on Garrett Covington.,48,76
8:22,2086,Paul Jorgensen made Free Throw.,48,77
8:22,2086,Paul Jorgensen made Free Throw.,48,78
8:07,2754,Michael Akuchie Turnover.,48,78
8:05,2086,Kelan Martin Steal.,48,78
8:00,2086,Kelan Martin Turnover.,48,78
7:58,2754,Jeremiah Ferguson Steal.,48,78
7:56,2754,Cameron Morse made Three Point Jumper. Assisted by Jeremiah Ferguson.,51,78
7:43,2086,Kamar Baldwin missed Three Point Jumper.,51,78
7:43,2086,Kelan Martin Offensive Rebound.,51,78
7:26,2086,Jerald Gillens-Butler Turnover.,51,78
7:26,2754,Michael Akuchie Steal.,51,78
7:26,2086,Official TV Timeout,51,78
7:08,2754,Naz Bohannon missed Layup.,51,78
7:08,2086,Butler Defensive Rebound.,51,78
6:45,2086,Paul Jorgensen made Three Point Jumper. Assisted by Kamar Baldwin.,51,81
6:23,2754,Tyree Robinson made Layup. Assisted by Cameron Morse.,53,81
6:04,2086,Kamar Baldwin made Jumper.,53,83
5:57,2754,Jeremiah Ferguson Turnover.,53,83
5:55,2086,Paul Jorgensen missed Layup.,53,83
5:55,2754,Naz Bohannon Defensive Rebound.,53,83
5:49,2086,Foul on Christian David.,53,83
5:49,2754,Garrett Covington made Free Throw.,54,83
5:49,2754,Garrett Covington made Free Throw.,55,83
5:29,2086,Aaron Thompson made Layup.,55,85
5:18,2754,Garrett Covington Turnover.,55,85
5:17,2086,Christian David Steal.,55,85
5:10,2086,Christian David made Layup.,55,87
4:51,2754,Garrett Covington missed Layup.,55,87
4:51,2086,Joey Brunk Defensive Rebound.,55,87
4:44,2086,Henry Baddley made Layup. Assisted by Paul Jorgensen.,55,89
4:43,2754,Youngstown State  Timeout,55,89
4:26,2086,Foul on Henry Baddley.,55,89
4:26,2754,Cameron Morse made Free Throw.,56,89
4:26,2754,Cameron Morse made Free Throw.,57,89
4:26,2754,Cameron Morse made Free Throw.,58,89
4:13,2086,Aaron Thompson missed Jumper.,58,89
4:13,2754,Naz Bohannon Defensive Rebound.,58,89
3:59,2754,Jacob Brown missed Three Point Jumper.,58,89
3:59,2086,Jerald Gillens-Butler Defensive Rebound.,58,89
3:49,2754,Foul on Naz Bohannon.,58,89
3:49,2086,Official TV Timeout,58,89
3:49,2086,Jerald Gillens-Butler made Free Throw.,58,90
3:49,2086,Jerald Gillens-Butler made Free Throw.,58,91
3:39,2754,Cameron Morse missed Jumper.,58,91
3:39,2086,Butler Deadball Team Rebound.,58,91
3:38,2754,Foul on Naz Bohannon.,58,91
3:38,2086,Jerald Gillens-Butler made Free Throw.,58,92
3:38,2086,Jerald Gillens-Butler made Free Throw.,58,93
3:22,2086,Foul on Jerald Gillens-Butler.,58,93
3:22,2754,Braun Hartfield made Free Throw.,59,93
3:22,2754,Braun Hartfield missed Free Throw.,59,93
3:22,2754,Youngstown State Offensive Rebound.,59,93
3:17,2754,Michael Akuchie Turnover.,59,93
3:17,2086,Aaron Thompson Steal.,59,93
3:17,2754,Foul on Cameron Morse.,59,93
3:17,2086,Aaron Thompson missed Free Throw.,59,93
3:17,2754,Youngstown State Defensive Rebound.,59,93
2:59,2754,Braun Hartfield made Three Point Jumper. Assisted by Michael Akuchie.,62,93
2:39,2086,Joey Brunk Turnover.,62,93
2:27,2754,Ryan Strollo Turnover.,62,93
2:21,2086,Christian David made Layup. Assisted by Jerald Gillens-Butler.,62,95
2:13,2754,Ryan Strollo missed Three Point Jumper.,62,95
2:13,2086,Christian David Defensive Rebound.,62,95
2:04,2086,Campbell Donovan missed Three Point Jumper.,62,95
2:04,2086,Joey Brunk Offensive Rebound.,62,95
1:58,2086,Joey Brunk Turnover.,62,95
1:54,2754,Braun Hartfield missed Three Point Jumper.,62,95
1:54,2754,Naz Bohannon Offensive Rebound.,62,95
1:50,2754,Cameron Morse missed Three Point Jumper.,62,95
1:50,2086,Joey Brunk Defensive Rebound.,62,95
1:22,2086,Jerald Gillens-Butler missed Three Point Jumper.,62,95
1:22,2754,Youngstown State Defensive Rebound.,62,95
1:02,2754,Michael Akuchie made Three Point Jumper. Assisted by Cameron Morse.,65,95
0:38,2086,Christian David Turnover.,65,95
0:29,2754,Braun Hartfield made Jumper. Assisted by Cameron Morse.,67,95
0:00,2086,End of Game,67,95
