Binghamton,2352,Loyola (MD),2066
4:24,2066,Thomas Bruce made Dunk. Assisted by Timmy Rose.,28,17
3:59,2352,Chuck Champion missed Layup.,28,17
3:59,2066,Thomas Bruce Defensive Rebound.,28,17
3:46,2066,J.C. Show made Three Point Jumper. Assisted by Everson Davis.,31,17
3:27,2352,Cam Gregory missed Jumper.,31,17
3:27,2066,Caleb Stewart Defensive Rebound.,31,17
3:16,2352,Foul on Isaiah Hart.,31,17
3:16,2352,Official TV Timeout,31,17
3:16,2066,Thomas Bruce missed Free Throw.,31,17
3:16,2352,Cam Gregory Defensive Rebound.,31,17
2:50,2352,Cam Gregory made Layup. Assisted by River Reed.,31,19
2:18,2066,Willie Rodriguez missed Layup.,31,19
2:18,2352,River Reed Block.,31,19
2:17,2066,Binghamton Offensive Rebound.,31,19
2:16,2066,Binghamton  Turnover.,31,19
1:55,2352,Chuck Champion missed Jumper.,31,19
1:55,2066,Thomas Bruce Defensive Rebound.,31,19
1:34,2066,J.C. Show made Layup. Assisted by Thomas Bruce.,33,19
1:14,2066,Foul on Thomas Bruce.,33,19
1:14,2352,River Reed made Free Throw.,33,20
1:14,2352,River Reed made Free Throw.,33,21
0:58,2066,J.C. Show missed Jumper.,33,21
0:58,2352,Andre Walker Defensive Rebound.,33,21
0:47,2352,Andre Walker missed Layup.,33,21
0:47,2066,Tyler Stewart Block.,33,21
0:46,2352,Cam Gregory Offensive Rebound.,33,21
0:33,2352,River Reed missed Three Point Jumper.,33,21
0:33,2066,Binghamton Deadball Team Rebound.,33,21
0:32,2066,Binghamton  Timeout,33,21
0:04,2066,J.C. Show made Layup.,35,21
0:04,2352,Foul on Andre Walker.,35,21
0:04,2066,J.C. Show made Free Throw.,36,21
0:02,2066,Foul on Everson Davis.,36,21
0:00,2352,End of 1st half,36,21
19:37,2352,River Reed missed Layup.,36,21
19:37,2066,Thomas Bruce Block.,36,21
19:36,2066,Binghamton Defensive Rebound.,36,21
19:17,2066,Willie Rodriguez made Layup.,38,21
18:54,2352,Andre Walker made Three Point Jumper. Assisted by River Reed.,38,24
18:34,2066,Timmy Rose made Layup.,40,24
18:14,2352,Isaiah Hart made Jumper.,40,26
18:11,2066,Binghamton  Timeout,40,26
18:05,2066,Thomas Bruce Turnover.,40,26
17:58,2066,Foul on Everson Davis.,40,26
17:43,2352,Isaiah Hart missed Three Point Jumper.,40,26
17:43,2066,Everson Davis Defensive Rebound.,40,26
17:12,2066,Willie Rodriguez missed Layup.,40,26
17:12,2066,Willie Rodriguez Offensive Rebound.,40,26
17:10,2066,Willie Rodriguez made Layup.,42,26
16:50,2352,Chuck Champion made Jumper. Assisted by Andre Walker.,42,28
16:38,2352,Foul on River Reed.,42,28
16:31,2066,Timmy Rose Turnover.,42,28
16:30,2352,Isaiah Hart Steal.,42,28
16:28,2352,Isaiah Hart made Layup.,42,30
16:28,2066,Foul on Everson Davis.,42,30
16:28,2352,Isaiah Hart made Free Throw.,42,31
16:04,2066,J.C. Show Turnover.,42,31
16:03,2352,Andre Walker Steal.,42,31
16:00,2066,Foul on Timmy Rose.,42,31
16:00,2352,Official TV Timeout,42,31
16:00,2352,Andre Walker made Free Throw.,42,32
16:00,2352,Andre Walker made Free Throw.,42,33
15:38,2066,Thomas Bruce missed Layup.,42,33
15:38,2352,KaVaughn Scott Defensive Rebound.,42,33
15:25,2352,Isaiah Hart made Jumper.,42,35
15:12,2352,Foul on KaVaughn Scott.,42,35
15:01,2066,Thomas Bruce missed Layup.,42,35
15:01,2352,KaVaughn Scott Defensive Rebound.,42,35
14:50,2352,Chuck Champion missed Layup.,42,35
14:49,2066,Thomas Bruce Block.,42,35
14:48,2066,J.C. Show Defensive Rebound.,42,35
14:32,2066,Willie Rodriguez made Three Point Jumper.,45,35
14:12,2352,Chuck Champion missed Jumper.,45,35
14:12,2352,Cam Gregory Offensive Rebound.,45,35
14:06,2352,Andre Walker missed Three Point Jumper.,45,35
14:06,2066,Everson Davis Defensive Rebound.,45,35
13:54,2066,Everson Davis Turnover.,45,35
13:53,2352,Andre Walker Steal.,45,35
13:52,2352,Isaiah Hart Turnover.,45,35
13:51,2066,Timmy Rose Steal.,45,35
13:36,2066,Everson Davis made Three Point Jumper. Assisted by Timmy Rose.,48,35
13:01,2066,Foul on Willie Rodriguez.,48,35
12:58,2352,Cam Gregory made Layup. Assisted by Isaiah Hart.,48,37
12:49,2066,J.C. Show made Layup.,50,37
12:37,2352,Chuck Champion made Layup.,50,39
12:04,2066,J.C. Show missed Layup.,50,39
12:04,2352,Isaiah Hart Defensive Rebound.,50,39
11:59,2352,Chuck Champion made Layup. Assisted by Isaiah Hart.,50,41
11:42,2066,Fard Muhammad made Three Point Jumper.,53,41
11:27,2352,KaVaughn Scott Turnover.,53,41
11:25,2352,Official TV Timeout,53,41
11:16,2066,Willie Rodriguez made Layup.,55,41
11:02,2352,Isaiah Hart made Jumper.,55,43
10:45,2066,Fard Muhammad missed Three Point Jumper.,55,43
10:45,2352,KaVaughn Scott Defensive Rebound.,55,43
10:37,2352,Andre Walker missed Layup.,55,43
10:37,2066,Tyler Stewart Defensive Rebound.,55,43
10:35,2352,Foul on Chuck Champion.,55,43
10:19,2066,Willie Rodriguez made Three Point Jumper. Assisted by Timmy Rose.,58,43
10:00,2352,Isaiah Hart missed Three Point Jumper.,58,43
10:00,2066,Timmy Rose Defensive Rebound.,58,43
9:50,2066,Fard Muhammad made Jumper.,60,43
9:41,2352,Loyola (MD)  Timeout,60,43
9:34,2066,Foul on Bobby Ahearn.,60,43
9:34,2352,Cam Gregory made Free Throw.,60,44
9:34,2352,Cam Gregory missed Free Throw.,60,44
9:34,2066,Bobby Ahearn Defensive Rebound.,60,44
9:21,2066,Willie Rodriguez missed Three Point Jumper.,60,44
9:21,2352,Andre Walker Defensive Rebound.,60,44
9:14,2352,Andre Walker missed Layup.,60,44
9:14,2066,Fard Muhammad Defensive Rebound.,60,44
8:58,2066,Bobby Ahearn missed Jumper.,60,44
8:58,2066,Binghamton Deadball Team Rebound.,60,44
8:55,2352,Foul on River Reed.,60,44
8:40,2066,Tyler Stewart Turnover.,60,44
8:39,2352,Luke Johnson Steal.,60,44
8:37,2352,Isaiah Hart made Layup. Assisted by Luke Johnson.,60,46
8:11,2066,Timmy Rose Turnover.,60,46
8:10,2352,Chuck Champion Steal.,60,46
8:07,2352,Chuck Champion missed Layup.,60,46
8:07,2066,Bobby Ahearn Defensive Rebound.,60,46
8:05,2352,Foul on Chuck Champion.,60,46
7:56,2352,Foul on River Reed.,60,46
7:56,2352,Official TV Timeout,60,46
7:56,2066,Willie Rodriguez missed Free Throw.,60,46
7:56,2066,Binghamton Deadball Team Rebound.,60,46
7:56,2066,Willie Rodriguez made Free Throw.,61,46
7:45,2352,Cam Gregory missed Layup.,61,46
7:45,2066,Willie Rodriguez Block.,61,46
7:44,2066,Thomas Bruce Defensive Rebound.,61,46
7:17,2066,Willie Rodriguez made Layup. Assisted by Timmy Rose.,63,46
7:06,2352,Isaiah Hart missed Jumper.,63,46
7:06,2066,Thomas Bruce Defensive Rebound.,63,46
6:47,2066,Willie Rodriguez made Layup. Assisted by Thomas Bruce.,65,46
6:38,2352,Andre Walker missed Three Point Jumper.,65,46
6:38,2066,Willie Rodriguez Defensive Rebound.,65,46
6:07,2352,Foul on Brent Holcombe.,65,46
6:07,2066,Thomas Bruce missed Free Throw.,65,46
6:07,2066,Binghamton Deadball Team Rebound.,65,46
6:07,2066,Thomas Bruce made Free Throw.,66,46
5:51,2352,Chuck Champion made Layup.,66,48
5:49,2352,Loyola (MD)  Timeout,66,48
5:37,2066,Timmy Rose Turnover.,66,48
5:36,2352,Andre Walker Steal.,66,48
5:33,2352,Andre Walker missed Layup.,66,48
5:33,2352,Andre Walker Offensive Rebound.,66,48
5:20,2352,Andre Walker Turnover.,66,48
5:19,2066,Tyler Stewart Steal.,66,48
5:00,2352,Foul on Ian Langendoerfer.,66,48
5:00,2066,Willie Rodriguez made Free Throw.,67,48
5:00,2066,Willie Rodriguez missed Free Throw.,67,48
5:00,2066,Willie Rodriguez Offensive Rebound.,67,48
4:42,2066,Willie Rodriguez Turnover.,67,48
4:35,2352,Isaiah Hart missed Jumper.,67,48
4:35,2352,Loyola (MD) Offensive Rebound.,67,48
4:05,2352,Chuck Champion missed Jumper.,67,48
4:05,2352,Loyola (MD) Offensive Rebound.,67,48
4:04,2352,River Reed made Layup. Assisted by Matt Staubi.,67,50
4:03,2066,Foul on Thomas Bruce.,67,50
4:03,2352,River Reed missed Free Throw.,67,50
4:03,2066,Binghamton Defensive Rebound.,67,50
3:47,2066,Willie Rodriguez missed Jumper.,67,50
3:47,2352,KaVaughn Scott Block.,67,50
3:46,2352,Matt Staubi Defensive Rebound.,67,50
3:40,2352,Chuck Champion made Jumper.,67,52
3:07,2066,Timmy Rose missed Three Point Jumper.,67,52
3:07,2066,Thomas Bruce Offensive Rebound.,67,52
3:04,2352,Foul on KaVaughn Scott.,67,52
3:04,2352,Official TV Timeout,67,52
3:04,2066,Thomas Bruce made Free Throw.,68,52
3:04,2066,Thomas Bruce missed Free Throw.,68,52
3:04,2352,Cam Gregory Defensive Rebound.,68,52
2:42,2352,Cam Gregory made Layup. Assisted by Matt Staubi.,68,54
2:35,2352,Foul on Matt Staubi.,68,54
2:35,2066,Timmy Rose missed Free Throw.,68,54
2:35,2066,Binghamton Deadball Team Rebound.,68,54
2:35,2066,Timmy Rose made Free Throw.,69,54
2:20,2352,Chuck Champion made Three Point Jumper. Assisted by Matt Staubi.,69,57
1:54,2066,Binghamton  Timeout,69,57
1:48,2066,Timmy Rose made Layup.,71,57
1:27,2352,Chuck Champion missed Three Point Jumper.,71,57
1:27,2066,Timmy Rose Defensive Rebound.,71,57
1:22,2352,Foul on Cam Gregory.,71,57
1:22,2066,Timmy Rose made Free Throw.,72,57
1:22,2066,Timmy Rose made Free Throw.,73,57
1:10,2352,Matt Staubi made Three Point Jumper. Assisted by Chuck Champion.,73,60
0:57,2352,Foul on Matt Staubi.,73,60
0:57,2066,Everson Davis made Free Throw.,74,60
0:57,2066,Everson Davis missed Free Throw.,74,60
0:57,2352,Cam Gregory Defensive Rebound.,74,60
0:45,2352,Luke Johnson made Jumper.,74,62
0:43,2352,Foul on Matt Staubi.,74,62
0:43,2066,Everson Davis made Free Throw.,75,62
0:43,2066,Everson Davis made Free Throw.,76,62
0:34,2066,Foul on J.C. Show.,76,62
0:34,2352,Chuck Champion missed Free Throw.,76,62
0:34,2066,Thomas Bruce Defensive Rebound.,76,62
0:21,2352,Foul on Cam Gregory.,76,62
0:21,2066,Everson Davis missed Free Throw.,76,62
0:21,2066,Binghamton Deadball Team Rebound.,76,62
0:21,2066,Everson Davis made Free Throw.,77,62
0:10,2352,KaVaughn Scott made Jumper. Assisted by Matt Staubi.,77,64
0:00,2352,End of Game,77,64
