Montana,2247,Georgia State,149
5:45,2247,D'Marcus Simonds Block.,21,24
5:44,149,Ahmaad Rorie Offensive Rebound.,21,24
5:42,149,Ahmaad Rorie made Jumper.,23,24
5:24,2247,Malik Benlevi made Three Point Jumper. Assisted by D'Marcus Simonds.,23,27
5:07,149,Ahmaad Rorie Turnover.,23,27
5:06,2247,D'Marcus Simonds Steal.,23,27
5:04,149,Foul on Bobby Moorehead.,23,27
5:04,2247,Isaiah Williams made Free Throw.,23,28
5:04,2247,Isaiah Williams made Free Throw.,23,29
4:57,149,Ahmaad Rorie missed Three Point Jumper.,23,29
4:57,2247,D'Marcus Simonds Defensive Rebound.,23,29
4:49,149,Foul on Michael Oguine.,23,29
4:49,2247,D'Marcus Simonds made Free Throw.,23,30
4:49,2247,D'Marcus Simonds made Free Throw.,23,31
4:34,149,Timmy Falls Turnover.,23,31
4:23,2247,D'Marcus Simonds made Layup.,23,33
4:07,149,Timmy Falls missed Three Point Jumper.,23,33
4:07,2247,D'Marcus Simonds Block.,23,33
4:04,2247,Jordan Tyson Defensive Rebound.,23,33
3:50,2247,Jeff Thomas Turnover.,23,33
3:50,149,Bobby Moorehead Steal.,23,33
3:30,149,Fabijan Krslovic made Dunk. Assisted by Ahmaad Rorie.,25,33
3:30,2247,Foul on Jeff Thomas.,25,33
3:30,2247,Official TV Timeout,25,33
3:30,149,Fabijan Krslovic made Free Throw.,26,33
3:09,2247,Jeff Thomas made Jumper.,26,35
2:53,149,Fabijan Krslovic missed Jumper.,26,35
2:53,2247,Malik Benlevi Block.,26,35
2:52,2247,Devin Mitchell Defensive Rebound.,26,35
2:34,2247,Isaiah Williams made Jumper. Assisted by D'Marcus Simonds.,26,37
2:23,149,Michael Oguine missed Layup.,26,37
2:23,2247,Jeff Thomas Defensive Rebound.,26,37
2:10,2247,D'Marcus Simonds made Jumper. Assisted by Jeff Thomas.,26,39
1:49,149,Timmy Falls Turnover.,26,39
1:49,2247,D'Marcus Simonds Steal.,26,39
1:25,2247,D'Marcus Simonds missed Jumper.,26,39
1:25,149,Jamar Akoh Defensive Rebound.,26,39
1:14,149,Bobby Moorehead missed Three Point Jumper.,26,39
1:14,2247,D'Marcus Simonds Defensive Rebound.,26,39
1:06,2247,D'Marcus Simonds missed Jumper.,26,39
1:06,2247,Jeff Thomas Offensive Rebound.,26,39
1:03,2247,Jeff Thomas missed Two Point Tip Shot.,26,39
1:03,2247,D'Marcus Simonds Offensive Rebound.,26,39
1:00,2247,D'Marcus Simonds made Layup.,26,41
0:58,149,Montana  Timeout,26,41
0:36,149,Sayeed Pridgett Turnover.,26,41
0:36,2247,Devin Mitchell Steal.,26,41
0:35,149,Foul on Sayeed Pridgett.,26,41
0:35,2247,Jeff Thomas made Free Throw.,26,42
0:35,2247,Jeff Thomas made Free Throw.,26,43
0:18,149,Ahmaad Rorie missed Three Point Jumper.,26,43
0:18,2247,Malik Benlevi Defensive Rebound.,26,43
0:12,2247,Georgia State  Timeout,26,43
0:04,2247,Devin Mitchell missed Three Point Jumper.,26,43
0:04,149,Bobby Moorehead Defensive Rebound.,26,43
0:00,2247,End of 1st half,26,43
19:33,2247,Devin Mitchell missed Three Point Jumper.,26,43
19:33,149,Jamar Akoh Defensive Rebound.,26,43
19:22,149,Michael Oguine Turnover.,26,43
19:22,2247,Jordan Session Steal.,26,43
18:58,2247,Jeff Thomas missed Jumper.,26,43
18:58,149,Jamar Akoh Defensive Rebound.,26,43
18:52,2247,Foul on Devin Mitchell.,26,43
18:52,149,Ahmaad Rorie missed Free Throw.,26,43
18:52,149,Montana Deadball Team Rebound.,26,43
18:52,149,Ahmaad Rorie made Free Throw.,27,43
18:42,2247,Jeff Thomas missed Three Point Jumper.,27,43
18:42,149,Michael Oguine Block.,27,43
18:39,149,Fabijan Krslovic Defensive Rebound.,27,43
18:32,149,Michael Oguine made Three Point Jumper. Assisted by Jamar Akoh.,30,43
18:22,2247,D'Marcus Simonds Turnover.,30,43
18:21,149,Michael Oguine Steal.,30,43
18:13,149,Michael Oguine missed Three Point Jumper.,30,43
18:13,149,Michael Oguine Offensive Rebound.,30,43
18:08,149,Jamar Akoh made Layup. Assisted by Michael Oguine.,32,43
18:02,2247,Georgia State  Timeout,32,43
17:43,2247,D'Marcus Simonds missed Jumper.,32,43
17:43,149,Bobby Moorehead Block.,32,43
17:43,149,Bobby Moorehead Defensive Rebound.,32,43
17:26,149,Fabijan Krslovic Turnover.,32,43
17:09,2247,Isaiah Williams made Three Point Jumper. Assisted by Malik Benlevi.,32,46
17:00,149,Jamar Akoh made Layup. Assisted by Ahmaad Rorie.,34,46
16:32,2247,Jordan Session missed Jumper.,34,46
16:32,149,Fabijan Krslovic Defensive Rebound.,34,46
16:14,149,Michael Oguine missed Three Point Jumper.,34,46
16:14,149,Ahmaad Rorie Offensive Rebound.,34,46
16:06,149,Michael Oguine missed Layup.,34,46
16:06,2247,D'Marcus Simonds Defensive Rebound.,34,46
15:48,2247,Isaiah Williams Turnover.,34,46
15:48,149,Michael Oguine Steal.,34,46
15:47,2247,Foul on Isaiah Williams.,34,46
15:47,2247,Official TV Timeout,34,46
15:27,149,Bobby Moorehead missed Three Point Jumper.,34,46
15:27,149,Jamar Akoh Offensive Rebound.,34,46
15:24,2247,Foul on Malik Benlevi.,34,46
15:24,149,Jamar Akoh made Free Throw.,35,46
15:24,149,Jamar Akoh made Free Throw.,36,46
15:02,2247,Malik Benlevi missed Three Point Jumper.,36,46
15:02,149,Sayeed Pridgett Defensive Rebound.,36,46
14:51,149,Ahmaad Rorie missed Three Point Jumper.,36,46
14:51,2247,Kane Williams Defensive Rebound.,36,46
14:26,2247,Kane Williams missed Layup.,36,46
14:26,149,Bobby Moorehead Block.,36,46
14:26,2247,Georgia State Offensive Rebound.,36,46
14:19,2247,D'Marcus Simonds missed Three Point Jumper.,36,46
14:19,149,Sayeed Pridgett Defensive Rebound.,36,46
14:13,149,Sayeed Pridgett missed Layup.,36,46
14:13,149,Michael Oguine Offensive Rebound.,36,46
14:09,149,Michael Oguine made Two Point Tip Shot.,38,46
13:53,2247,Kane Williams missed Jumper.,38,46
13:53,149,Michael Oguine Defensive Rebound.,38,46
13:48,149,Michael Oguine missed Layup.,38,46
13:48,2247,Isaiah Williams Defensive Rebound.,38,46
13:40,149,Foul on Fabijan Krslovic.,38,46
13:40,2247,Malik Benlevi made Free Throw.,38,47
13:40,2247,Malik Benlevi made Free Throw.,38,48
13:25,149,Michael Oguine missed Three Point Jumper.,38,48
13:25,149,Karl Nicholas Offensive Rebound.,38,48
13:21,149,Karl Nicholas made Two Point Tip Shot.,40,48
13:11,2247,D'Marcus Simonds missed Layup.,40,48
13:11,149,Sayeed Pridgett Defensive Rebound.,40,48
13:02,149,Ahmaad Rorie made Jumper.,42,48
12:54,149,Foul on Michael Oguine.,42,48
12:34,2247,Malik Benlevi made Three Point Jumper.,42,51
12:14,149,Ahmaad Rorie missed Layup.,42,51
12:14,2247,Jordan Tyson Defensive Rebound.,42,51
11:59,2247,Jordan Tyson made Layup. Assisted by D'Marcus Simonds.,42,53
11:58,149,Foul on Sayeed Pridgett.,42,53
11:58,2247,Official TV Timeout,42,53
11:58,2247,Jordan Tyson missed Free Throw.,42,53
11:58,149,Bobby Moorehead Defensive Rebound.,42,53
11:43,149,Jamar Akoh missed Layup.,42,53
11:43,2247,Jordan Tyson Block.,42,53
11:41,2247,Jeff Thomas Defensive Rebound.,42,53
11:37,149,Foul on Michael Oguine.,42,53
11:17,2247,Jeff Thomas missed Three Point Jumper.,42,53
11:17,149,Bobby Moorehead Defensive Rebound.,42,53
11:03,149,Karl Nicholas missed Jumper.,42,53
11:03,149,Karl Nicholas Offensive Rebound.,42,53
11:01,149,Karl Nicholas missed Two Point Tip Shot.,42,53
11:01,149,Ahmaad Rorie Offensive Rebound.,42,53
10:56,149,Fabijan Krslovic missed Layup.,42,53
10:56,2247,D'Marcus Simonds Defensive Rebound.,42,53
10:39,2247,D'Marcus Simonds missed Three Point Jumper.,42,53
10:39,149,Karl Nicholas Defensive Rebound.,42,53
10:29,149,Ahmaad Rorie missed Three Point Jumper.,42,53
10:29,149,Fabijan Krslovic Offensive Rebound.,42,53
10:22,2247,Foul on Jordan Tyson.,42,53
10:22,149,Ahmaad Rorie made Free Throw.,43,53
10:22,149,Ahmaad Rorie made Free Throw.,44,53
9:54,2247,Malik Benlevi missed Three Point Jumper.,44,53
9:54,149,Karl Nicholas Defensive Rebound.,44,53
9:43,149,Ahmaad Rorie made Jumper.,46,53
9:23,2247,Jeff Thomas made Jumper.,46,55
8:59,149,Karl Nicholas Turnover.,46,55
8:53,149,Foul on Bobby Moorehead.,46,55
8:46,2247,Jordan Tyson missed Jumper.,46,55
8:46,2247,Jeff Thomas Offensive Rebound.,46,55
8:43,2247,Jeff Thomas made Two Point Tip Shot.,46,57
8:30,149,Jamar Akoh made Layup. Assisted by Fabijan Krslovic.,48,57
8:10,2247,Jordan Tyson missed Jumper.,48,57
8:10,149,Jamar Akoh Defensive Rebound.,48,57
8:02,149,Fabijan Krslovic missed Layup.,48,57
8:02,2247,Jeff Thomas Defensive Rebound.,48,57
7:43,149,Foul on Fabijan Krslovic.,48,57
7:43,2247,Official TV Timeout,48,57
7:43,2247,Jeff Thomas made Free Throw.,48,58
7:43,2247,Jeff Thomas missed Free Throw.,48,58
7:43,2247,Georgia State Deadball Team Rebound.,48,58
7:43,2247,Jeff Thomas made Free Throw.,48,59
7:25,149,Bobby Moorehead missed Three Point Jumper.,48,59
7:25,2247,Jordan Session Defensive Rebound.,48,59
7:22,149,Foul on Karl Nicholas.,48,59
7:22,2247,Jordan Session made Free Throw.,48,60
7:22,2247,Jordan Session made Free Throw.,48,61
7:06,149,Ahmaad Rorie made Three Point Jumper.,51,61
6:49,2247,Malik Benlevi missed Three Point Jumper.,51,61
6:49,149,Ahmaad Rorie Defensive Rebound.,51,61
6:26,149,Bobby Moorehead made Three Point Jumper. Assisted by Ahmaad Rorie.,54,61
6:15,2247,Georgia State  Timeout,54,61
5:55,2247,D'Marcus Simonds missed Layup.,54,61
5:55,149,Bobby Moorehead Defensive Rebound.,54,61
5:41,149,Bobby Moorehead made Three Point Jumper. Assisted by Michael Oguine.,57,61
5:14,149,Foul on Jamar Akoh.,57,61
5:14,2247,Isaiah Williams made Free Throw.,57,62
5:14,2247,Isaiah Williams missed Free Throw.,57,62
5:14,149,Ahmaad Rorie Defensive Rebound.,57,62
5:10,149,Foul on Ahmaad Rorie.,57,62
5:10,149,Ahmaad Rorie Turnover.,57,62
5:07,2247,Jeff Thomas Turnover.,57,62
5:06,149,Michael Oguine Steal.,57,62
5:03,149,Michael Oguine missed Layup.,57,62
5:03,2247,Jeff Thomas Block.,57,62
5:00,2247,Jordan Session Defensive Rebound.,57,62
4:36,2247,Jordan Session made Layup. Assisted by Jeff Thomas.,57,64
4:23,149,Sayeed Pridgett missed Layup.,57,64
4:23,149,Jamar Akoh Offensive Rebound.,57,64
4:20,2247,Foul on Jordan Session.,57,64
4:20,149,Jamar Akoh made Free Throw.,58,64
4:20,149,Jamar Akoh missed Free Throw.,58,64
4:20,2247,Malik Benlevi Defensive Rebound.,58,64
3:52,2247,Malik Benlevi missed Three Point Jumper.,58,64
3:52,149,Ahmaad Rorie Defensive Rebound.,58,64
3:46,2247,Foul on Devin Mitchell.,58,64
3:46,2247,Official TV Timeout,58,64
3:46,149,Ahmaad Rorie made Free Throw.,59,64
3:46,149,Ahmaad Rorie made Free Throw.,60,64
3:18,2247,Isaiah Williams Turnover.,60,64
3:17,149,Sayeed Pridgett Steal.,60,64
3:14,149,Sayeed Pridgett made Layup.,62,64
2:49,2247,Isaiah Williams made Jumper.,62,66
2:30,149,Sayeed Pridgett made Layup. Assisted by Jamar Akoh.,64,66
2:08,2247,Isaiah Williams made Layup.,64,68
1:49,2247,Foul on D'Marcus Simonds.,64,68
1:49,149,Michael Oguine made Free Throw.,65,68
1:49,149,Michael Oguine made Free Throw.,66,68
1:25,2247,Isaiah Williams missed Three Point Jumper.,66,68
1:25,149,Ahmaad Rorie Defensive Rebound.,66,68
1:12,149,Sayeed Pridgett missed Jumper.,66,68
1:12,149,Jamar Akoh Offensive Rebound.,66,68
1:10,149,Jamar Akoh made Two Point Tip Shot.,68,68
0:45,2247,D'Marcus Simonds Turnover.,68,68
0:44,149,Ahmaad Rorie Steal.,68,68
0:41,149,Ahmaad Rorie missed Layup.,68,68
0:41,2247,Malik Benlevi Block.,68,68
0:39,149,Montana Offensive Rebound.,68,68
0:39,149,Montana  Timeout,68,68
0:15,149,Bobby Moorehead missed Three Point Jumper.,68,68
0:15,2247,Devin Mitchell Defensive Rebound.,68,68
0:12,149,Foul on Jamar Akoh.,68,68
0:12,2247,Devin Mitchell made Free Throw.,68,69
0:12,2247,Devin Mitchell made Free Throw.,68,70
0:05,149,Ahmaad Rorie Turnover.,68,70
0:04,2247,Jordan Session Steal.,68,70
0:03,149,Foul on Ahmaad Rorie.,68,70
0:03,2247,Malik Benlevi missed Free Throw.,68,70
0:03,2247,Georgia State Deadball Team Rebound.,68,70
0:03,2247,Malik Benlevi made Free Throw.,68,71
0:03,149,Montana  Timeout,68,71
0:00,149,Ahmaad Rorie missed Three Point Jumper.,68,71
0:00,149,Montana Deadball Team Rebound.,68,71
0:00,2247,End of Game,68,71
