Bowling Green,295,Old Dominion,189
12:48,295,Trey Porter made Free Throw.,27,54
12:48,295,Trey Porter made Free Throw.,27,55
12:37,189,Justin Turner missed Three Point Jumper.,27,55
12:37,295,Randy Haynes Defensive Rebound.,27,55
12:20,189,Foul on Daeqwon Plowden.,27,55
12:00,295,Keith Pinckney missed Jumper.,27,55
12:00,295,Aaron Carver Offensive Rebound.,27,55
11:57,295,Aaron Carver missed Layup.,27,55
11:57,189,Demajeo Wiggins Defensive Rebound.,27,55
11:52,189,Nelly Cummings made Layup.,29,55
11:52,295,Foul on Keith Pinckney.,29,55
11:52,295,Official TV Timeout,29,55
11:52,189,Nelly Cummings missed Free Throw.,29,55
11:52,295,Aaron Carver Defensive Rebound.,29,55
11:44,295,Aaron Carver Turnover.,29,55
11:31,189,Nelly Cummings missed Jumper.,29,55
11:31,189,Demajeo Wiggins Offensive Rebound.,29,55
11:27,189,Demajeo Wiggins made Layup.,31,55
11:14,189,Foul on Antwon Lillard.,31,55
10:54,295,B.J. Stith missed Jumper.,31,55
10:54,189,Daeqwon Plowden Defensive Rebound.,31,55
10:46,189,Foul on Demajeo Wiggins.,31,55
10:46,189,Demajeo Wiggins Turnover.,31,55
10:32,295,B.J. Stith made Three Point Jumper. Assisted by Brandan Stith.,31,58
10:19,189,Matt Fox missed Three Point Jumper.,31,58
10:19,295,Randy Haynes Defensive Rebound.,31,58
10:08,295,Randy Haynes missed Three Point Jumper.,31,58
10:08,295,Brandan Stith Offensive Rebound.,31,58
10:00,295,B.J. Stith made Layup.,31,60
9:40,189,Antwon Lillard missed Layup.,31,60
9:40,295,Trey Porter Block.,31,60
9:40,189,Bowling Green Offensive Rebound.,31,60
9:32,189,Justin Turner made Layup.,33,60
9:04,295,Ahmad Caver made Three Point Jumper.,33,63
8:54,189,Justin Turner made Layup.,35,63
8:54,295,Foul on Trey Porter.,35,63
8:54,189,Justin Turner missed Free Throw.,35,63
8:54,295,Brandan Stith Defensive Rebound.,35,63
8:38,295,Brandan Stith made Layup. Assisted by Ahmad Caver.,35,65
8:15,189,Matt Fox missed Three Point Jumper.,35,65
8:15,295,Brandan Stith Defensive Rebound.,35,65
8:05,295,Ahmad Caver missed Three Point Jumper.,35,65
8:05,189,Nelly Cummings Defensive Rebound.,35,65
7:58,189,Antwon Lillard made Three Point Jumper. Assisted by Matt Fox.,38,65
7:27,295,Ahmad Caver made Layup.,38,67
7:04,189,Justin Turner Turnover.,38,67
7:04,295,Official TV Timeout,38,67
6:55,189,Foul on Joniya Gadson.,38,67
6:55,295,Aaron Carver missed Free Throw.,38,67
6:55,295,Old Dominion Deadball Team Rebound.,38,67
6:55,295,Aaron Carver made Free Throw.,38,68
6:42,189,Justin Turner missed Three Point Jumper.,38,68
6:42,295,Brandan Stith Defensive Rebound.,38,68
6:41,189,Foul on Joniya Gadson.,38,68
6:41,295,Brandan Stith made Free Throw.,38,69
6:41,295,Brandan Stith made Free Throw.,38,70
6:25,189,Dylan Frye missed Layup.,38,70
6:25,295,Trey Porter Defensive Rebound.,38,70
6:18,295,B.J. Stith missed Layup.,38,70
6:18,189,Jeffrey Uju Defensive Rebound.,38,70
6:07,189,Dylan Frye Turnover.,38,70
5:45,295,Xavier Green made Jumper. Assisted by Michael Hueitt Jr.,38,72
5:22,189,Antwon Lillard made Three Point Jumper. Assisted by Justin Turner.,41,72
5:06,295,Michael Hueitt Jr missed Three Point Jumper.,41,72
5:06,295,Aaron Carver Offensive Rebound.,41,72
4:55,189,Foul on Matt Fox.,41,72
4:55,295,Keith Pinckney made Free Throw.,41,73
4:55,295,Keith Pinckney missed Free Throw.,41,73
4:55,189,Antwon Lillard Defensive Rebound.,41,73
4:45,189,Matt Fox missed Three Point Jumper.,41,73
4:45,295,Trey Porter Defensive Rebound.,41,73
4:31,295,Keith Pinckney Turnover.,41,73
4:29,189,Matt Fox Steal.,41,73
4:27,295,Foul on Xavier Green.,41,73
4:27,189,Antwon Lillard made Free Throw.,42,73
4:27,189,Antwon Lillard made Free Throw.,43,73
4:16,295,Trey Porter missed Jumper.,43,73
4:16,295,Trey Porter Offensive Rebound.,43,73
4:15,295,Trey Porter missed Layup.,43,73
4:15,295,Trey Porter Offensive Rebound.,43,73
4:15,189,Foul on Antwon Lillard.,43,73
4:15,295,Trey Porter missed Free Throw.,43,73
4:15,295,Old Dominion Deadball Team Rebound.,43,73
4:15,295,Trey Porter made Free Throw.,43,74
4:09,295,Foul on Keith Pinckney.,43,74
4:09,189,Rodrick Caldwell made Free Throw.,44,74
4:09,189,Rodrick Caldwell missed Free Throw.,44,74
4:09,295,Michael Hueitt Jr Defensive Rebound.,44,74
3:51,295,Xavier Green made Three Point Jumper. Assisted by Keith Pinckney.,44,77
3:43,189,Antwon Lillard missed Three Point Jumper.,44,77
3:43,295,Keith Pinckney Defensive Rebound.,44,77
3:31,295,Xavier Green made Layup.,44,79
3:12,189,Rodrick Caldwell Turnover.,44,79
3:12,295,Official TV Timeout,44,79
3:07,295,Michael Hueitt Jr made Three Point Jumper. Assisted by Alfis Pilavios.,44,82
2:50,189,Rodrick Caldwell missed Three Point Jumper.,44,82
2:50,295,Alfis Pilavios Defensive Rebound.,44,82
2:45,189,Foul on Matt Fox.,44,82
2:35,295,Alfis Pilavios made Free Throw.,44,83
2:35,295,Alfis Pilavios missed Free Throw.,44,83
2:35,189,Matt Fox Defensive Rebound.,44,83
2:17,189,Matt Fox missed Three Point Jumper.,44,83
2:17,295,Michael Hueitt Jr Defensive Rebound.,44,83
2:08,295,Marquis Godwin made Three Point Jumper. Assisted by Michael Hueitt Jr.,44,86
1:53,189,Nelly Cummings made Layup. Assisted by Matt Fox.,46,86
1:39,295,Keith Pinckney missed Three Point Jumper.,46,86
1:39,189,Daeqwon Plowden Defensive Rebound.,46,86
1:14,189,Nelly Cummings Turnover.,46,86
1:12,295,Keith Pinckney Steal.,46,86
1:10,295,Keith Pinckney missed Layup.,46,86
1:10,295,Michael Hueitt Jr Offensive Rebound.,46,86
1:06,295,Michael Hueitt Jr missed Layup.,46,86
1:06,189,De Andre' Austin Defensive Rebound.,46,86
1:00,189,De Andre' Austin missed Layup.,46,86
1:00,189,Nelly Cummings Offensive Rebound.,46,86
0:57,189,Nelly Cummings missed Layup.,46,86
0:57,295,Stephen Vassor Defensive Rebound.,46,86
0:47,189,Foul on Matt Fox.,46,86
0:47,295,Marquis Godwin made Free Throw.,46,87
0:47,295,Marquis Godwin made Free Throw.,46,88
0:29,189,Matt Fox missed Jumper.,46,88
0:29,295,Stephen Vassor Block.,46,88
0:27,295,Michael Hueitt Jr Defensive Rebound.,46,88
0:00,295,End of Game,46,88
