Fairleigh Dickinson,164,Rutgers,161
0:02,161,Foul on Malik Miller.,22,48
0:02,164,Candido Sa made Free Throw.,22,49
0:02,164,Candido Sa made Free Throw.,22,50
0:00,164,End of 1st half,22,50
19:32,161,Mike Holloway Jr. missed Three Point Jumper.,22,50
19:32,161,Kaleb Bishop Offensive Rebound.,22,50
19:31,164,Foul on Mamadou Doucoure.,22,50
19:31,161,Kaleb Bishop made Free Throw.,23,50
19:31,161,Kaleb Bishop missed Free Throw.,23,50
19:31,164,Deshawn Freeman Defensive Rebound.,23,50
19:14,164,Deshawn Freeman Turnover.,23,50
19:13,161,Noah Morgan Steal.,23,50
19:07,161,Darian Anderson made Layup.,25,50
18:52,164,Corey Sanders made Jumper.,25,52
18:29,161,Darian Anderson missed Jumper.,25,52
18:29,164,Deshawn Freeman Defensive Rebound.,25,52
18:10,164,Mamadou Doucoure made Layup.,25,54
17:57,164,Foul on Issa Thiam.,25,54
17:44,161,Noah Morgan made Jumper.,27,54
17:30,161,Foul on Kaleb Bishop.,27,54
17:22,164,Geo Baker made Jumper.,27,56
17:09,164,Foul on Shaquille Doorson.,27,56
16:53,161,Kaleb Bishop made Layup. Assisted by Mike Holloway Jr..,29,56
16:32,164,Shaquille Doorson missed Layup.,29,56
16:32,161,Kaleb Bishop Block.,29,56
16:32,161,Noah Morgan Defensive Rebound.,29,56
16:26,161,Darian Anderson made Layup. Assisted by Noah Morgan.,31,56
16:25,164,Rutgers  Timeout,31,56
16:25,164,Official TV Timeout,31,56
16:04,164,Eugene Omoruyi made Layup.,31,58
16:04,161,Foul on Kaleb Bishop.,31,58
16:04,164,Eugene Omoruyi missed Free Throw.,31,58
16:04,161,Darian Anderson Defensive Rebound.,31,58
15:58,161,Darnell Edge made Dunk. Assisted by Darian Anderson.,33,58
15:28,161,Foul on Mike Holloway Jr..,33,58
15:28,164,Official TV Timeout,33,58
15:28,164,Souf Mensah missed Free Throw.,33,58
15:28,164,Rutgers Deadball Team Rebound.,33,58
15:28,164,Souf Mensah missed Free Throw.,33,58
15:28,161,Elyjah Williams Defensive Rebound.,33,58
15:08,161,Noah Morgan made Three Point Jumper. Assisted by Darian Anderson.,36,58
14:43,161,Foul on Noah Morgan.,36,58
14:36,164,Geo Baker made Jumper.,36,60
14:18,161,Elyjah Williams Turnover.,36,60
14:18,164,Issa Thiam Steal.,36,60
14:11,164,Mike Williams made Layup. Assisted by Geo Baker.,36,62
13:59,161,Darian Anderson missed Layup.,36,62
13:59,161,Mike Holloway Jr. Offensive Rebound.,36,62
13:57,161,Mike Holloway Jr. made Layup.,38,62
13:28,164,Issa Thiam made Three Point Jumper. Assisted by Geo Baker.,38,65
13:06,161,Darian Anderson missed Jumper.,38,65
13:06,161,Elyjah Williams Offensive Rebound.,38,65
12:58,161,Darian Anderson missed Three Point Jumper.,38,65
12:58,161,Noah Morgan Offensive Rebound.,38,65
12:55,161,Noah Morgan made Jumper.,40,65
12:34,161,Foul on Elyjah Williams.,40,65
12:34,164,Mike Williams made Free Throw.,40,66
12:34,164,Mike Williams made Free Throw.,40,67
12:19,161,Jahlil Jenkins missed Layup.,40,67
12:19,164,Eugene Omoruyi Block.,40,67
12:17,164,Corey Sanders Defensive Rebound.,40,67
11:55,164,Corey Sanders missed Three Point Jumper.,40,67
11:55,164,Candido Sa Offensive Rebound.,40,67
11:42,164,Mike Williams made Layup. Assisted by Geo Baker.,40,69
11:42,161,Foul on Kaleb Bishop.,40,69
11:42,164,Official TV Timeout,40,69
11:42,164,Mike Williams made Free Throw.,40,70
11:25,161,Darian Anderson Turnover.,40,70
11:22,164,Geo Baker Steal.,40,70
11:21,164,Geo Baker made Dunk.,40,72
11:21,161,Technical Foul on Nadi Beciri.,40,72
11:21,161,Foul on Nadi Beciri.,40,72
11:21,164,Corey Sanders missed Free Throw.,40,72
11:21,164,Rutgers Deadball Team Rebound.,40,72
11:21,164,Corey Sanders made Free Throw.,40,73
11:15,164,Geo Baker missed Three Point Jumper.,40,73
11:15,164,Corey Sanders Offensive Rebound.,40,73
11:15,164,Corey Sanders missed Layup.,40,73
11:15,161,Jahlil Jenkins Defensive Rebound.,40,73
11:07,164,Foul on Deshawn Freeman.,40,73
11:07,161,Jahlil Jenkins made Free Throw.,41,73
11:07,161,Jahlil Jenkins made Free Throw.,42,73
11:07,161,Foul on Tyler Jones.,42,73
11:07,164,Deshawn Freeman missed Free Throw.,42,73
11:07,161,Malik Miller Defensive Rebound.,42,73
10:53,161,Tyler Jones missed Three Point Jumper.,42,73
10:53,164,Deshawn Freeman Defensive Rebound.,42,73
10:35,164,Corey Sanders made Layup. Assisted by Geo Baker.,42,75
10:09,161,Jahlil Jenkins Turnover.,42,75
10:07,164,Corey Sanders Steal.,42,75
10:00,164,Corey Sanders Turnover.,42,75
9:59,161,Malik Miller Steal.,42,75
9:41,161,Jahlil Jenkins missed Jumper.,42,75
9:41,164,Candido Sa Block.,42,75
9:40,161,Jahlil Jenkins Offensive Rebound.,42,75
9:31,164,Foul on Geo Baker.,42,75
9:31,161,Mike Holloway Jr. missed Free Throw.,42,75
9:31,161,Fairleigh Dickinson Deadball Team Rebound.,42,75
9:31,161,Mike Holloway Jr. missed Free Throw.,42,75
9:31,164,Deshawn Freeman Defensive Rebound.,42,75
9:10,164,Deshawn Freeman Turnover.,42,75
9:09,161,Malik Miller Steal.,42,75
9:04,161,Jahlil Jenkins missed Layup.,42,75
9:04,164,Issa Thiam Defensive Rebound.,42,75
9:00,164,Deshawn Freeman made Dunk. Assisted by Issa Thiam.,42,77
8:37,161,Malik Miller missed Three Point Jumper.,42,77
8:37,164,Issa Thiam Defensive Rebound.,42,77
8:18,164,Deshawn Freeman missed Jumper.,42,77
8:18,164,Mike Williams Offensive Rebound.,42,77
8:16,164,Mike Williams made Layup.,42,79
7:55,161,Malik Miller made Jumper.,44,79
7:34,164,Official TV Timeout,44,79
7:28,161,Foul on Malik Miller.,44,79
7:28,164,Mike Williams made Free Throw.,44,80
7:28,164,Mike Williams made Free Throw.,44,81
7:05,161,Darian Anderson Turnover.,44,81
7:05,164,Mamadou Doucoure Steal.,44,81
7:05,164,Mamadou Doucoure Turnover.,44,81
6:44,161,Malik Miller missed Three Point Jumper.,44,81
6:44,164,Mamadou Doucoure Defensive Rebound.,44,81
6:25,164,Mamadou Doucoure made Layup. Assisted by Deshawn Freeman.,44,83
6:06,164,Foul on Mamadou Doucoure.,44,83
6:06,161,Dondre Rhoden made Free Throw.,45,83
6:06,161,Dondre Rhoden made Free Throw.,46,83
5:46,164,Mike Williams made Layup.,46,85
5:28,164,Foul on Mike Williams.,46,85
5:28,161,Darian Anderson missed Free Throw.,46,85
5:28,161,Fairleigh Dickinson Deadball Team Rebound.,46,85
5:28,161,Darian Anderson made Free Throw.,47,85
5:10,161,Foul on Mike Holloway Jr..,47,85
5:10,164,Mamadou Doucoure missed Free Throw.,47,85
5:10,164,Rutgers Deadball Team Rebound.,47,85
5:10,164,Mamadou Doucoure made Free Throw.,47,86
5:10,161,Mike Holloway Jr. missed Layup.,47,86
5:10,161,Mike Holloway Jr. Offensive Rebound.,47,86
4:55,161,Pat McNamara missed Three Point Jumper.,47,86
4:55,164,Issa Thiam Defensive Rebound.,47,86
4:26,164,Eugene Omoruyi Turnover.,47,86
4:14,161,Mike Holloway Jr. missed Layup.,47,86
4:14,164,Eugene Omoruyi Defensive Rebound.,47,86
4:10,164,Official TV Timeout,50,86
4:06,164,Eugene Omoruyi missed Jumper.,47,86
4:06,161,Noah Morgan Defensive Rebound.,47,86
3:43,161,Noah Morgan Turnover.,47,86
3:43,164,Official TV Timeout,47,86
3:23,164,Eugene Omoruyi Turnover.,47,86
3:22,161,Mike Schroback Steal.,47,86
3:16,161,Mike Schroback missed Three Point Jumper.,47,86
3:16,164,Mike Williams Defensive Rebound.,47,86
2:59,164,Issa Thiam made Three Point Jumper.,47,89
2:42,161,Noah Morgan made Three Point Jumper. Assisted by Pat McNamara.,50,89
2:23,164,Eugene Omoruyi missed Layup.,50,89
2:23,164,Shaquille Doorson Offensive Rebound.,50,89
2:23,161,Foul on Mike Holloway Jr..,50,89
2:23,164,Shaquille Doorson missed Free Throw.,50,89
2:23,164,Rutgers Deadball Team Rebound.,50,89
2:23,164,Shaquille Doorson made Free Throw.,50,90
2:05,161,Pat McNamara missed Three Point Jumper.,50,90
2:05,164,Aaren Smith Defensive Rebound.,50,90
1:56,164,Souf Mensah missed Layup.,50,90
1:56,164,Luke Nathan Offensive Rebound.,50,90
1:55,164,Luke Nathan missed Two Point Tip Shot.,50,90
1:55,161,Malik Miller Defensive Rebound.,50,90
1:49,161,Malik Miller missed Three Point Jumper.,50,90
1:49,164,Luke Nathan Defensive Rebound.,50,90
1:38,164,Jake Dadika missed Three Point Jumper.,50,90
1:38,161,Pat McNamara Defensive Rebound.,50,90
1:33,164,Foul on Souf Mensah.,50,90
1:33,161,Elyjah Williams made Free Throw.,51,90
1:33,161,Elyjah Williams made Free Throw.,52,90
1:18,164,Foul on Aaren Smith.,52,90
1:18,164,Aaren Smith Turnover.,52,90
1:07,164,Foul on Luke Nathan.,52,90
1:07,161,Dondre Rhoden missed Free Throw.,52,90
1:07,161,Fairleigh Dickinson Deadball Team Rebound.,52,90
1:07,161,Dondre Rhoden missed Free Throw.,52,90
1:07,164,Luke Nathan Defensive Rebound.,52,90
1:03,161,Foul on Dondre Rhoden.,52,90
1:03,164,Souf Mensah made Free Throw.,52,91
1:03,164,Souf Mensah missed Free Throw.,52,91
1:03,164,Luke Nathan Offensive Rebound.,52,91
0:58,161,Foul on Dondre Rhoden.,52,91
0:58,164,Luke Nathan made Free Throw.,52,92
0:58,164,Luke Nathan missed Free Throw.,52,92
0:58,161,Malik Miller Defensive Rebound.,52,92
0:45,161,Dondre Rhoden made Layup.,54,92
0:45,164,Foul on Aaren Smith.,54,92
0:45,161,Dondre Rhoden missed Free Throw.,54,92
0:45,164,Joey Downes Defensive Rebound.,54,92
0:15,164,Rutgers  Turnover.,54,92
0:08,161,Mike Schroback missed Layup.,54,92
0:08,164,Luke Nathan Defensive Rebound.,54,92
0:00,164,End of Game,54,92
