Princeton,2405,Monmouth,163
14:35,2405,Josh James made Jumper.,16,7
14:18,163,Steven Cook made Layup.,18,7
14:11,2405,Micah Seaborn Turnover.,18,7
14:09,163,Steven Cook Steal.,18,7
13:59,163,Devin Cannady missed Jumper.,18,7
13:59,2405,Je'lon Hornbeak Defensive Rebound.,18,7
13:52,2405,Micah Seaborn made Three Point Jumper. Assisted by Je'lon Hornbeak.,18,10
13:32,163,Devin Cannady missed Three Point Jumper.,18,10
13:32,2405,Je'lon Hornbeak Defensive Rebound.,18,10
13:29,163,Foul on Spencer Weisz.,18,10
13:09,2405,Chris Brady Turnover.,18,10
13:08,163,Amir Bell Steal.,18,10
13:02,163,Devin Cannady made Layup.,20,10
12:45,163,Foul on Will Gladson.,20,10
12:19,2405,Collin Stewart made Three Point Jumper. Assisted by Justin Robinson.,20,13
12:00,163,Devin Cannady made Three Point Jumper. Assisted by Amir Bell.,23,13
11:47,2405,Justin Robinson missed Three Point Jumper.,23,13
11:47,2405,Collin Stewart Offensive Rebound.,23,13
11:31,163,Foul on Pete Miller.,23,13
11:31,2405,Official TV Timeout,23,13
11:29,2405,Collin Stewart missed Three Point Jumper.,23,13
11:29,163,Alec Brennan Defensive Rebound.,23,13
11:02,163,Amir Bell made Layup.,25,13
10:38,163,Foul on Alec Brennan.,25,13
10:38,2405,Austin Tilghman missed Free Throw.,25,13
10:38,2405,Monmouth Deadball Team Rebound.,25,13
10:38,2405,Austin Tilghman made Free Throw.,25,14
10:26,163,Alec Brennan made Jumper.,27,14
10:07,2405,Je'lon Hornbeak made Layup.,27,16
10:07,163,Foul on Myles Stephens.,27,16
10:07,2405,Je'lon Hornbeak made Free Throw.,27,17
9:54,163,Myles Stephens Turnover.,27,17
9:39,2405,Collin Stewart made Three Point Jumper. Assisted by Austin Tilghman.,27,20
9:24,163,Alec Brennan made Three Point Jumper. Assisted by Amir Bell.,30,20
9:02,2405,Austin Tilghman made Three Point Jumper. Assisted by Je'lon Hornbeak.,30,23
8:48,163,Amir Bell missed Jumper.,30,23
8:48,2405,Chris Brady Defensive Rebound.,30,23
8:28,2405,Chris Brady missed Jumper.,30,23
8:28,163,Amir Bell Block.,30,23
8:25,163,Steven Cook Defensive Rebound.,30,23
8:18,163,Devin Cannady made Three Point Jumper. Assisted by Amir Bell.,33,23
8:09,2405,Je'lon Hornbeak missed Three Point Jumper.,33,23
8:09,163,Alec Brennan Defensive Rebound.,33,23
7:38,163,Devin Cannady missed Three Point Jumper.,33,23
7:38,2405,Mustapha Traore Defensive Rebound.,33,23
7:30,2405,Je'lon Hornbeak missed Three Point Jumper.,33,23
7:26,163,Princeton Defensive Rebound.,33,23
7:26,2405,Official TV Timeout,33,23
7:15,163,Spencer Weisz Turnover.,33,23
7:15,163,Foul on Spencer Weisz.,33,23
6:46,2405,Justin Robinson made Jumper.,33,25
6:31,163,Amir Bell missed Jumper.,33,25
6:31,2405,Je'lon Hornbeak Defensive Rebound.,33,25
6:23,2405,Je'lon Hornbeak Turnover.,33,25
6:09,163,Myles Stephens missed Jumper.,33,25
6:09,2405,Micah Seaborn Defensive Rebound.,33,25
5:56,2405,Sam Ibiezugbe missed Jumper.,33,25
5:56,163,Amir Bell Defensive Rebound.,33,25
5:36,163,Myles Stephens missed Three Point Jumper.,33,25
5:36,2405,Sam Ibiezugbe Defensive Rebound.,33,25
5:21,2405,Sam Ibiezugbe missed Dunk.,33,25
5:21,163,Myles Stephens Block.,33,25
5:18,2405,Sam Ibiezugbe Offensive Rebound.,33,25
5:13,2405,Justin Robinson missed Jumper.,33,25
5:13,163,Pete Miller Defensive Rebound.,33,25
5:05,163,Pete Miller made Dunk. Assisted by Devin Cannady.,35,25
4:42,2405,Je'lon Hornbeak made Three Point Jumper. Assisted by Justin Robinson.,35,28
4:41,163,Foul on Steven Cook.,35,28
4:41,2405,Josh James missed Free Throw.,35,28
4:41,163,Pete Miller Defensive Rebound.,35,28
4:41,2405,Foul on Sam Ibiezugbe.,35,28
4:22,163,Myles Stephens missed Jumper.,35,28
4:22,2405,Sam Ibiezugbe Defensive Rebound.,35,28
4:12,2405,Micah Seaborn missed Layup.,35,28
4:12,163,Steven Cook Defensive Rebound.,35,28
4:05,163,Amir Bell missed Three Point Jumper.,35,28
4:05,163,Myles Stephens Offensive Rebound.,35,28
4:01,2405,Foul on Je'lon Hornbeak.,35,28
3:57,163,Will Gladson missed Three Point Jumper.,35,28
3:57,2405,Josh James Defensive Rebound.,35,28
3:49,2405,Micah Seaborn missed Three Point Jumper.,35,28
3:49,2405,Collin Stewart Offensive Rebound.,35,28
3:42,2405,Justin Robinson made Jumper.,35,30
3:21,163,Steven Cook missed Jumper.,35,30
3:21,2405,Micah Seaborn Defensive Rebound.,35,30
3:13,2405,Micah Seaborn made Three Point Jumper. Assisted by Justin Robinson.,35,33
3:09,163,Princeton  Timeout,35,33
3:09,2405,Official TV Timeout,35,33
2:39,163,Myles Stephens Turnover.,35,33
2:38,2405,Josh James Steal.,35,33
2:25,2405,Diago Quinn missed Layup.,35,33
2:25,2405,Monmouth Offensive Rebound.,35,33
2:19,2405,Collin Stewart missed Three Point Jumper.,35,33
2:19,2405,Austin Tilghman Offensive Rebound.,35,33
2:05,2405,Diago Quinn Turnover.,35,33
2:05,2405,Foul on Diago Quinn.,35,33
1:57,2405,Micah Seaborn made Free Throw.,35,34
1:57,2405,Micah Seaborn made Free Throw.,35,35
1:57,2405,Micah Seaborn Steal.,35,35
1:57,163,Foul on Myles Stephens.,35,35
1:56,163,Devin Cannady Turnover.,35,35
1:43,163,Steven Cook made Three Point Jumper. Assisted by Amir Bell.,38,35
1:32,2405,Micah Seaborn Turnover.,38,35
1:32,2405,Foul on Micah Seaborn.,38,35
1:23,163,Amir Bell Turnover.,38,35
1:22,2405,Josh James Steal.,38,35
1:18,2405,Austin Tilghman made Layup. Assisted by Josh James.,38,37
0:55,163,Pete Miller Turnover.,38,37
0:52,2405,Micah Seaborn missed Three Point Jumper.,38,37
0:52,163,Devin Cannady Defensive Rebound.,38,37
0:39,163,Steven Cook missed Three Point Jumper.,38,37
0:39,2405,Monmouth Defensive Rebound.,38,37
0:07,2405,Josh James made Jumper. Assisted by Justin Robinson.,38,39
0:03,163,Amir Bell missed Three Point Jumper.,38,39
0:03,2405,Josh James Defensive Rebound.,38,39
0:01,2405,Josh James missed Three Point Jumper.,38,39
0:00,2405,Monmouth Deadball Team Rebound.,38,39
0:00,2405,End of 1st half,38,39
19:48,2405,Je'lon Hornbeak Turnover.,38,39
19:47,163,Devin Cannady Steal.,38,39
19:43,163,Devin Cannady made Layup.,40,39
19:26,2405,Chris Brady Turnover.,40,39
19:25,163,Spencer Weisz Steal.,40,39
19:19,163,Devin Cannady missed Three Point Jumper.,40,39
19:19,2405,Je'lon Hornbeak Defensive Rebound.,40,39
19:00,2405,Micah Seaborn missed Layup.,40,39
19:00,163,Steven Cook Defensive Rebound.,40,39
18:44,163,Pete Miller Turnover.,40,39
18:39,2405,Justin Robinson Steal.,40,39
18:37,2405,Je'lon Hornbeak missed Three Point Jumper.,40,39
18:37,2405,Josh James Offensive Rebound.,40,39
18:33,2405,Je'lon Hornbeak made Three Point Jumper. Assisted by Josh James.,40,42
18:21,163,Myles Stephens missed Three Point Jumper.,40,42
18:21,163,Princeton Offensive Rebound.,40,42
18:19,2405,Foul on Chris Brady.,40,42
18:11,163,Spencer Weisz made Three Point Jumper. Assisted by Steven Cook.,43,42
18:01,2405,Je'lon Hornbeak made Three Point Jumper.,43,45
17:39,163,Steven Cook missed Layup.,43,45
17:39,2405,Je'lon Hornbeak Defensive Rebound.,43,45
17:33,2405,Justin Robinson missed Three Point Jumper.,43,45
17:33,163,Myles Stephens Defensive Rebound.,43,45
17:22,163,Steven Cook missed Three Point Jumper.,43,45
17:22,2405,Josh James Defensive Rebound.,43,45
17:12,2405,Josh James missed Jumper.,43,45
17:12,163,Devin Cannady Defensive Rebound.,43,45
17:04,163,Steven Cook made Three Point Jumper. Assisted by Devin Cannady.,46,45
16:43,2405,Micah Seaborn missed Jumper.,46,45
16:43,163,Devin Cannady Defensive Rebound.,46,45
16:34,163,Spencer Weisz made Layup.,48,45
16:14,2405,Justin Robinson made Layup.,48,47
15:44,2405,Foul on Josh James.,48,47
15:44,2405,Official TV Timeout,48,47
15:24,163,Myles Stephens missed Jumper.,48,47
15:24,2405,Micah Seaborn Defensive Rebound.,48,47
15:13,2405,Justin Robinson missed Layup.,48,47
15:13,163,Myles Stephens Block.,48,47
15:10,163,Devin Cannady Defensive Rebound.,48,47
15:09,163,Steven Cook made Layup. Assisted by Devin Cannady.,50,47
15:09,2405,Foul on Austin Tilghman.,50,47
15:09,163,Steven Cook made Free Throw.,51,47
14:40,2405,Micah Seaborn missed Jumper.,51,47
14:40,163,Steven Cook Block.,51,47
14:38,2405,Justin Robinson Offensive Rebound.,51,47
14:33,2405,Justin Robinson Turnover.,51,47
14:32,163,Spencer Weisz Steal.,51,47
14:30,163,Steven Cook missed Three Point Jumper.,51,47
14:30,2405,Austin Tilghman Defensive Rebound.,51,47
14:25,2405,Micah Seaborn missed Layup.,51,47
14:25,163,Alec Brennan Defensive Rebound.,51,47
14:15,163,Devin Cannady missed Three Point Jumper.,51,47
14:15,2405,Austin Tilghman Defensive Rebound.,51,47
13:51,163,Foul on Devin Cannady.,51,47
13:32,2405,Justin Robinson made Three Point Jumper. Assisted by Collin Stewart.,51,50
13:12,163,Devin Cannady made Jumper.,53,50
13:00,2405,Justin Robinson missed Three Point Jumper.,53,50
13:00,163,Devin Cannady Defensive Rebound.,53,50
12:47,2405,Foul on Diago Quinn.,53,50
12:47,163,Spencer Weisz made Free Throw.,54,50
12:47,163,Spencer Weisz made Free Throw.,55,50
12:28,2405,Austin Tilghman made Jumper.,55,52
12:14,163,Spencer Weisz made Three Point Jumper. Assisted by Steven Cook.,58,52
11:56,2405,Austin Tilghman made Layup.,58,54
11:56,163,Foul on Devin Cannady.,58,54
11:56,2405,Official TV Timeout,58,54
11:56,2405,Austin Tilghman missed Free Throw.,58,54
11:56,163,Pete Miller Defensive Rebound.,58,54
11:42,163,Devin Cannady made Three Point Jumper. Assisted by Pete Miller.,61,54
11:14,2405,Sam Ibiezugbe made Jumper. Assisted by Austin Tilghman.,61,56
10:46,163,Pete Miller missed Layup.,61,56
10:46,2405,Josh James Defensive Rebound.,61,56
10:38,163,Foul on Pete Miller.,61,56
10:38,2405,Austin Tilghman made Free Throw.,61,57
10:38,2405,Austin Tilghman made Free Throw.,61,58
10:12,163,Amir Bell missed Three Point Jumper.,61,58
10:12,2405,Pierre Sarr Defensive Rebound.,61,58
9:50,2405,Micah Seaborn missed Three Point Jumper.,61,58
9:50,163,Devin Cannady Defensive Rebound.,61,58
9:43,163,Steven Cook made Dunk. Assisted by Devin Cannady.,63,58
9:25,2405,Austin Tilghman missed Layup.,63,58
9:25,163,Spencer Weisz Defensive Rebound.,63,58
9:16,163,Myles Stephens made Three Point Jumper. Assisted by Amir Bell.,66,58
8:53,2405,Je'lon Hornbeak missed Jumper.,66,58
8:53,163,Myles Stephens Defensive Rebound.,66,58
8:43,163,Devin Cannady missed Three Point Jumper.,66,58
8:43,2405,Pierre Sarr Defensive Rebound.,66,58
8:35,2405,Je'lon Hornbeak made Three Point Jumper. Assisted by Justin Robinson.,66,61
8:32,2405,Monmouth  Timeout,66,61
8:32,2405,Official TV Timeout,66,61
8:02,163,Amir Bell missed Jumper.,66,61
8:02,2405,Micah Seaborn Defensive Rebound.,66,61
7:54,2405,Justin Robinson made Three Point Jumper. Assisted by Austin Tilghman.,66,64
7:30,163,Spencer Weisz missed Three Point Jumper.,66,64
7:30,2405,Je'lon Hornbeak Defensive Rebound.,66,64
7:23,2405,Je'lon Hornbeak made Three Point Jumper. Assisted by Justin Robinson.,66,67
7:13,163,Princeton  Timeout,66,67
7:13,2405,Official TV Timeout,66,67
7:01,2405,Foul on Pierre Sarr.,66,67
6:47,163,Myles Stephens missed Layup.,66,67
6:47,2405,Monmouth Defensive Rebound.,66,67
6:32,163,Foul on Alec Brennan.,66,67
6:25,2405,Micah Seaborn missed Jumper.,66,67
6:25,163,Steven Cook Defensive Rebound.,66,67
6:17,163,Devin Cannady missed Three Point Jumper.,66,67
6:17,2405,Pierre Sarr Defensive Rebound.,66,67
6:10,2405,Justin Robinson made Three Point Jumper.,66,70
5:55,163,Myles Stephens missed Three Point Jumper.,66,70
5:55,2405,Justin Robinson Defensive Rebound.,66,70
5:46,2405,Justin Robinson made Layup.,66,72
5:24,2405,Foul on Justin Robinson.,66,72
5:14,163,Steven Cook missed Layup.,66,72
5:14,2405,Pierre Sarr Defensive Rebound.,66,72
5:09,2405,Pierre Sarr Turnover.,66,72
5:09,163,Steven Cook Steal.,66,72
5:09,163,Princeton  Timeout,66,72
5:07,163,Devin Cannady missed Jumper.,66,72
5:07,2405,Je'lon Hornbeak Defensive Rebound.,66,72
4:57,2405,Justin Robinson made Layup.,66,74
4:45,2405,Foul on Pierre Sarr.,66,74
4:45,163,Amir Bell made Free Throw.,67,74
4:45,163,Amir Bell made Free Throw.,68,74
4:38,2405,Micah Seaborn made Layup.,68,76
4:19,163,Steven Cook made Layup.,70,76
4:19,2405,Foul on Austin Tilghman.,70,76
4:19,163,Steven Cook made Free Throw.,71,76
3:52,2405,Justin Robinson made Jumper.,71,78
3:41,163,Devin Cannady made Jumper.,73,78
3:41,2405,Foul on Je'lon Hornbeak.,73,78
3:41,2405,Official TV Timeout,73,78
3:41,163,Devin Cannady made Free Throw.,74,78
3:24,2405,Justin Robinson Turnover.,74,78
3:04,163,Amir Bell made Layup.,76,78
2:49,2405,Austin Tilghman made Layup.,76,80
2:35,163,Steven Cook made Jumper.,78,80
2:06,2405,Justin Robinson missed Jumper.,78,80
2:06,163,Devin Cannady Defensive Rebound.,78,80
1:59,163,Devin Cannady missed Jumper.,78,80
1:59,2405,Je'lon Hornbeak Defensive Rebound.,78,80
1:56,163,Foul on Amir Bell.,78,80
1:48,2405,Je'lon Hornbeak made Jumper.,78,82
1:37,163,Amir Bell Turnover.,78,82
1:09,2405,Justin Robinson made Jumper.,78,84
0:58,163,Spencer Weisz missed Three Point Jumper.,78,84
0:58,163,Steven Cook Offensive Rebound.,78,84
0:54,163,Steven Cook made Layup.,80,84
0:54,2405,Foul on Pierre Sarr.,80,84
0:54,163,Steven Cook missed Free Throw.,80,84
0:54,2405,Je'lon Hornbeak Defensive Rebound.,80,84
0:53,163,Foul on Devin Cannady.,80,84
0:50,163,Foul on Myles Stephens.,80,84
0:50,2405,Justin Robinson made Free Throw.,80,85
0:50,2405,Justin Robinson made Free Throw.,80,86
0:44,163,Steven Cook made Layup.,82,86
0:43,163,Foul on Jose Morales.,82,86
0:43,2405,Justin Robinson made Free Throw.,82,87
0:43,2405,Justin Robinson made Free Throw.,82,88
0:39,2405,Foul on Pierre Sarr.,82,88
0:39,163,Devin Cannady made Free Throw.,83,88
0:39,163,Devin Cannady made Free Throw.,84,88
0:38,163,Foul on Myles Stephens.,84,88
0:38,2405,Austin Tilghman made Free Throw.,84,89
0:38,2405,Austin Tilghman made Free Throw.,84,90
0:32,163,Amir Bell made Layup.,86,90
0:32,163,Princeton  Timeout,86,90
0:26,2405,Austin Tilghman made Layup. Assisted by Micah Seaborn.,86,92
0:24,163,Khyan Rayner Turnover.,86,92
0:23,2405,Justin Robinson Steal.,86,92
0:22,163,Foul on Amir Bell.,86,92
0:22,2405,Je'lon Hornbeak missed Free Throw.,86,92
0:22,2405,Monmouth Deadball Team Rebound.,86,92
0:22,2405,Je'lon Hornbeak missed Free Throw.,86,92
0:22,163,Spencer Weisz Defensive Rebound.,86,92
0:17,2405,Foul on Micah Seaborn.,86,92
0:17,163,Amir Bell made Free Throw.,87,92
0:17,163,Amir Bell missed Free Throw.,87,92
0:17,2405,Pierre Sarr Defensive Rebound.,87,92
0:14,163,Foul on Steven Cook.,87,92
0:14,2405,Pierre Sarr made Free Throw.,87,93
0:14,2405,Pierre Sarr made Free Throw.,87,94
0:08,163,Myles Stephens made Three Point Jumper. Assisted by Amir Bell.,90,94
0:03,163,Foul on Amir Bell.,90,94
0:03,2405,Je'lon Hornbeak made Free Throw.,90,95
0:03,2405,Je'lon Hornbeak made Free Throw.,90,96
0:01,163,Devin Cannady missed Three Point Jumper.,90,96
0:00,163,Princeton Deadball Team Rebound.,90,96
0:00,2405,End of Game,90,96
