Alcorn State,2253,Grand Canyon,2016
4:35,2016,Denzel Dulin Defensive Rebound.,23,25
4:08,2253,Foul on Gerard Martin.,23,25
4:08,2016,Marquis Vance made Free Throw.,24,25
4:08,2016,Marquis Vance missed Free Throw.,24,25
4:08,2253,Kerwin Smith Defensive Rebound.,24,25
3:52,2253,Fiifi Aidoo missed Jumper.,24,25
3:52,2016,Reginal Johnson Defensive Rebound.,24,25
3:31,2016,Avery Patterson missed Three Point Jumper.,24,25
3:31,2253,Gerard Martin Defensive Rebound.,24,25
3:23,2253,Official TV Timeout,24,25
3:21,2253,DeWayne Russell missed Jumper.,24,25
3:21,2016,Avery Patterson Defensive Rebound.,24,25
3:12,2016,Reginal Johnson made Layup. Assisted by Avery Patterson.,26,25
2:53,2253,DeWayne Russell missed Jumper.,26,25
2:53,2253,Shaq Carr Offensive Rebound.,26,25
2:47,2253,Kerwin Smith made Layup. Assisted by Shaq Carr.,26,27
2:47,2016,Foul on Devon Brewer.,26,27
2:47,2253,Kerwin Smith missed Free Throw.,26,27
2:47,2016,Denzel Dulin Defensive Rebound.,26,27
2:20,2016,Juwan Henderson missed Layup.,26,27
2:20,2253,Kerwin Smith Defensive Rebound.,26,27
2:00,2253,DeWayne Russell missed Layup.,26,27
2:00,2016,Devon Brewer Block.,26,27
1:58,2253,Gerard Martin Offensive Rebound.,26,27
1:54,2253,Keonta Vernon made Jumper. Assisted by Shaq Carr.,26,29
1:27,2016,Reginal Johnson made Jumper.,28,29
1:12,2253,Kerwin Smith made Dunk. Assisted by DeWayne Russell.,28,31
0:49,2253,Foul on Keonta Vernon.,28,31
0:49,2016,Denzel Dulin made Free Throw.,29,31
0:49,2016,Denzel Dulin missed Free Throw.,29,31
0:49,2253,Gerard Martin Defensive Rebound.,29,31
0:47,2016,Foul on Reginal Johnson.,29,31
0:40,2253,Kerwin Smith made Free Throw.,29,32
0:40,2253,Kerwin Smith missed Free Throw.,29,32
0:40,2016,Marquis Vance Defensive Rebound.,29,32
0:23,2016,Marquis Vance missed Three Point Jumper.,29,32
0:23,2253,Kerwin Smith Defensive Rebound.,29,32
0:18,2253,Grand Canyon  Timeout,29,32
0:00,2253,Keonta Vernon missed Layup.,29,32
0:00,2016,Marquis Vance Defensive Rebound.,29,32
0:00,2253,End of 1st half,29,32
19:46,2016,Marquis Vance Turnover.,29,32
19:45,2253,DeWayne Russell Steal.,29,32
19:41,2253,Fiifi Aidoo made Layup.,29,34
19:19,2016,A.J. Mosby missed Jumper.,29,34
19:19,2253,Oscar Frayer Defensive Rebound.,29,34
18:59,2253,Fiifi Aidoo made Three Point Jumper. Assisted by DeWayne Russell.,29,37
18:44,2016,Yalen Reed made Three Point Jumper. Assisted by Tyler Carter.,32,37
18:26,2253,Oscar Frayer missed Three Point Jumper.,32,37
18:26,2016,Marquis Vance Defensive Rebound.,32,37
18:19,2016,Tyler Carter missed Layup.,32,37
18:19,2253,DeWayne Russell Defensive Rebound.,32,37
18:11,2253,DeWayne Russell missed Three Point Jumper.,32,37
18:11,2253,Grand Canyon Offensive Rebound.,32,37
17:51,2253,DeWayne Russell missed Layup.,32,37
17:51,2016,Denzel Dulin Defensive Rebound.,32,37
17:27,2253,Foul on Oscar Frayer.,32,37
17:19,2016,Denzel Dulin made Jumper.,34,37
16:56,2253,DeWayne Russell missed Layup.,34,37
16:56,2253,Keonta Vernon Offensive Rebound.,34,37
16:53,2253,Keonta Vernon made Dunk.,34,39
16:41,2253,Foul on Oscar Frayer.,34,39
16:36,2016,Marquis Vance missed Layup.,34,39
16:36,2253,Keonta Vernon Defensive Rebound.,34,39
16:30,2253,Foul on DeWayne Russell.,34,39
16:30,2253,DeWayne Russell Turnover.,34,39
16:14,2016,Denzel Dulin missed Jumper.,34,39
16:14,2253,Keonta Vernon Defensive Rebound.,34,39
16:04,2253,DeWayne Russell made Layup.,34,41
15:51,2016,Marquis Vance Turnover.,34,41
15:50,2253,Keonta Vernon Steal.,34,41
15:49,2016,Foul on Denzel Dulin.,34,41
15:49,2253,Official TV Timeout,34,41
15:32,2253,Fiifi Aidoo Turnover.,34,41
15:30,2016,Maurice Howard Steal.,34,41
15:28,2016,Maurice Howard missed Layup.,34,41
15:28,2253,Gerard Martin Defensive Rebound.,34,41
15:19,2253,DeWayne Russell made Three Point Jumper. Assisted by Gerard Martin.,34,44
15:16,2016,Foul on Maurice Howard.,34,44
15:00,2253,Keonta Vernon missed Layup.,34,44
15:00,2016,Reginal Johnson Defensive Rebound.,34,44
14:54,2253,Foul on Keonta Vernon.,34,44
14:54,2016,Marquis Vance missed Free Throw.,34,44
14:54,2016,Alcorn St Deadball Team Rebound.,34,44
14:54,2016,Marquis Vance missed Free Throw.,34,44
14:54,2253,Keonta Vernon Defensive Rebound.,34,44
14:35,2253,Fiifi Aidoo Turnover.,34,44
14:29,2016,Avery Patterson made Three Point Jumper.,37,44
14:16,2253,Gerard Martin missed Three Point Jumper.,37,44
14:16,2016,Reginal Johnson Defensive Rebound.,37,44
14:07,2016,Marquis Vance missed Three Point Jumper.,37,44
14:07,2253,Keonta Vernon Defensive Rebound.,37,44
13:54,2016,Foul on Marquis Vance.,37,44
13:41,2253,DeWayne Russell missed Layup.,37,44
13:41,2016,Denzel Dulin Defensive Rebound.,37,44
13:16,2016,A.J. Mosby missed Jumper.,37,44
13:16,2016,A.J. Mosby Offensive Rebound.,37,44
13:06,2016,A.J. Mosby missed Layup.,37,44
13:06,2253,Grand Canyon Defensive Rebound.,37,44
12:45,2016,Foul on Rahamanh Katumbusi.,37,44
12:43,2253,DeWayne Russell missed Jumper.,37,44
12:43,2016,Yalen Reed Defensive Rebound.,37,44
12:33,2016,Avery Patterson missed Jumper.,37,44
12:33,2016,Reginal Johnson Offensive Rebound.,37,44
12:30,2253,Foul on Keonta Vernon.,37,44
12:30,2016,Reginal Johnson made Free Throw.,38,44
12:30,2016,Reginal Johnson made Free Throw.,39,44
12:17,2253,DeWayne Russell missed Layup.,39,44
12:17,2016,Rahamanh Katumbusi Block.,39,44
12:15,2016,Rahamanh Katumbusi Defensive Rebound.,39,44
12:11,2016,A.J. Mosby Turnover.,39,44
12:02,2016,Foul on A.J. Mosby.,39,44
11:48,2016,Foul on Reginal Johnson.,39,44
11:48,2253,Official TV Timeout,39,44
11:48,2253,Kerwin Smith missed Free Throw.,39,44
11:48,2253,Grand Canyon Deadball Team Rebound.,39,44
11:48,2253,Kerwin Smith missed Free Throw.,39,44
11:48,2016,Marquis Vance Defensive Rebound.,39,44
11:20,2016,Yalen Reed missed Three Point Jumper.,39,44
11:20,2016,Marquis Vance Offensive Rebound.,39,44
11:15,2016,Marquis Vance missed Layup.,39,44
11:15,2253,Kerwin Smith Defensive Rebound.,39,44
10:57,2253,Gerard Martin missed Three Point Jumper.,39,44
10:57,2253,Kerwin Smith Offensive Rebound.,39,44
10:54,2016,Foul on Avery Patterson.,39,44
10:54,2253,Kerwin Smith missed Free Throw.,39,44
10:54,2253,Grand Canyon Deadball Team Rebound.,39,44
10:54,2253,Kerwin Smith missed Free Throw.,39,44
10:54,2016,Marquis Vance Defensive Rebound.,39,44
10:26,2016,Maurice Howard Turnover.,39,44
10:24,2253,Fiifi Aidoo Steal.,39,44
10:20,2253,DeWayne Russell made Three Point Jumper. Assisted by Gerard Martin.,39,47
9:53,2016,Rahamanh Katumbusi made Three Point Jumper.,42,47
9:29,2016,Foul on Maurice Howard.,42,47
9:29,2253,DeWayne Russell made Free Throw.,42,48
9:29,2253,DeWayne Russell made Free Throw.,42,49
9:23,2016,Rahamanh Katumbusi Turnover.,42,49
9:22,2253,Gerard Martin Steal.,42,49
9:15,2253,Fiifi Aidoo missed Three Point Jumper.,42,49
9:15,2016,Marquis Vance Defensive Rebound.,42,49
9:03,2016,Reginal Johnson missed Layup.,42,49
9:03,2253,Fiifi Aidoo Defensive Rebound.,42,49
8:44,2253,Gerard Martin missed Three Point Jumper.,42,49
8:44,2016,Reginal Johnson Defensive Rebound.,42,49
8:19,2016,A.J. Mosby Turnover.,42,49
8:11,2253,Kerwin Smith Turnover.,42,49
8:10,2016,Marquis Vance Steal.,42,49
8:04,2016,Maurice Howard Turnover.,42,49
8:03,2253,Kerwin Smith Steal.,42,49
7:58,2253,DeWayne Russell missed Jumper.,42,49
7:58,2253,Kerwin Smith Offensive Rebound.,42,49
7:52,2253,Kerwin Smith made Layup.,42,51
7:36,2253,Foul on Keonta Vernon.,42,51
7:36,2253,Official TV Timeout,42,51
7:36,2016,Marquis Vance made Free Throw.,43,51
7:36,2016,Marquis Vance missed Free Throw.,43,51
7:36,2253,Keonta Vernon Defensive Rebound.,43,51
7:12,2253,Oscar Frayer missed Jumper.,43,51
7:12,2016,Alcorn St Defensive Rebound.,43,51
6:54,2016,Denzel Dulin missed Jumper.,43,51
6:54,2253,DeWayne Russell Defensive Rebound.,43,51
6:35,2253,DeWayne Russell missed Jumper.,43,51
6:35,2016,Reginal Johnson Defensive Rebound.,43,51
6:27,2016,Juwan Henderson missed Jumper.,43,51
6:27,2016,Marquis Vance Offensive Rebound.,43,51
6:22,2016,Foul on Denzel Dulin.,43,51
6:22,2016,Denzel Dulin Turnover.,43,51
6:09,2016,Foul on Juwan Henderson.,43,51
6:09,2253,DeWayne Russell made Free Throw.,43,52
6:09,2253,DeWayne Russell made Free Throw.,43,53
5:55,2016,Reginal Johnson missed Three Point Jumper.,43,53
5:55,2253,Oscar Frayer Defensive Rebound.,43,53
5:30,2253,Foul on Kerwin Smith.,43,53
5:30,2253,Kerwin Smith Turnover.,43,53
5:17,2016,A.J. Mosby missed Jumper.,43,53
5:17,2253,Fiifi Aidoo Defensive Rebound.,43,53
5:13,2253,DeWayne Russell Turnover.,43,53
5:11,2016,Avery Patterson Steal.,43,53
5:08,2016,A.J. Mosby missed Jumper.,43,53
5:08,2253,Keonta Vernon Defensive Rebound.,43,53
4:34,2253,Keonta Vernon made Jumper. Assisted by DeWayne Russell.,43,55
4:16,2016,Denzel Dulin Turnover.,43,55
4:15,2253,Keonta Vernon Steal.,43,55
4:13,2253,Keonta Vernon made Dunk.,43,57
4:11,2016,Alcorn St  Timeout,43,57
4:11,2253,Official TV Timeout,43,57
3:54,2016,Reginal Johnson missed Three Point Jumper.,43,57
3:54,2253,Fiifi Aidoo Defensive Rebound.,43,57
3:51,2016,Foul on Marquis Vance.,43,57
3:51,2253,Official TV Timeout,43,57
3:51,2253,Fiifi Aidoo missed Free Throw.,43,57
3:51,2253,Grand Canyon Deadball Team Rebound.,43,57
3:51,2253,Fiifi Aidoo missed Free Throw.,43,57
3:51,2016,Reginal Johnson Defensive Rebound.,43,57
3:24,2016,Maurice Howard missed Three Point Jumper.,43,57
3:24,2016,Denzel Dulin Offensive Rebound.,43,57
3:08,2016,Reginal Johnson missed Three Point Jumper.,43,57
3:08,2253,Oscar Frayer Defensive Rebound.,43,57
2:42,2253,Oscar Frayer missed Three Point Jumper.,43,57
2:42,2016,Denzel Dulin Defensive Rebound.,43,57
2:31,2016,Denzel Dulin missed Layup.,43,57
2:31,2253,Fiifi Aidoo Defensive Rebound.,43,57
2:07,2253,Fiifi Aidoo Turnover.,43,57
2:06,2016,Marquis Vance Steal.,43,57
2:03,2016,Marquis Vance made Dunk. Assisted by Maurice Howard.,45,57
2:02,2016,Alcorn St  Timeout,45,57
1:55,2016,Foul on Avery Patterson.,45,57
1:55,2253,DeWayne Russell made Free Throw.,45,58
1:55,2253,DeWayne Russell made Free Throw.,45,59
1:49,2016,A.J. Mosby made Three Point Jumper. Assisted by Maurice Howard.,48,59
1:22,2253,DeWayne Russell missed Layup.,48,59
1:22,2016,A.J. Mosby Defensive Rebound.,48,59
1:11,2016,Maurice Howard made Three Point Jumper. Assisted by Rahamanh Katumbusi.,51,59
0:47,2016,Foul on Rahamanh Katumbusi.,51,59
0:47,2253,DeWayne Russell made Free Throw.,51,60
0:47,2253,DeWayne Russell made Free Throw.,51,61
0:39,2016,Rahamanh Katumbusi missed Layup.,51,61
0:39,2253,Oscar Frayer Block.,51,61
0:38,2253,Keonta Vernon Defensive Rebound.,51,61
0:34,2253,Keonta Vernon made Dunk.,51,63
0:27,2016,Maurice Howard made Layup.,53,63
0:00,2253,End of Game,53,63
