Howard Payne,Error,Texas State,326
6:08,326,Maljhum McCrea Turnover.,18,30
6:07,-1,De'Marcus Hurd Steal.,18,30
5:47,-1,Cody Hastings missed Three Point Jumper.,18,30
5:47,326,Nijal Pearson Defensive Rebound.,18,30
5:40,326,Kavin Gilder-Tilbury missed Three Point Jumper.,18,30
5:40,326,Ojai Black Offensive Rebound.,18,30
5:36,326,Maljhum McCrea made Layup. Assisted by Ojai Black.,18,32
5:36,-1,Foul on Cole Bene'.,18,32
5:36,326,Maljhum McCrea made Free Throw.,18,33
5:18,-1,De'Marcus Hurd missed Layup.,18,33
5:18,326,Nedeljko Prijovic Defensive Rebound.,18,33
5:05,326,Ojai Black missed Layup.,18,33
5:05,326,Nijal Pearson Offensive Rebound.,18,33
4:44,326,Immanuel King missed Layup.,18,33
4:44,-1,Donovan Jenkins Block.,18,33
4:43,-1,Talen Davis-Rentfro Defensive Rebound.,18,33
4:41,-1,De'Marcus Hurd Turnover.,18,33
4:30,326,Nedeljko Prijovic missed Three Point Jumper.,18,33
4:30,326,Immanuel King Offensive Rebound.,18,33
4:27,326,Immanuel King made Layup.,18,35
4:27,-1,Foul on Jeremy Ayers.,18,35
4:27,326,Immanuel King made Free Throw.,18,36
4:09,-1,Elijah Pruitt missed Layup.,18,36
4:09,326,Nijal Pearson Defensive Rebound.,18,36
3:47,326,Bobby Conley missed Three Point Jumper.,18,36
3:47,-1,Thomas Bingham Defensive Rebound.,18,36
3:27,-1,Talen Davis-Rentfro made Layup.,20,36
3:03,326,Bobby Conley made Three Point Jumper. Assisted by Ojai Black.,20,39
2:43,-1,Thomas Bingham missed Jumper.,20,39
2:43,326,Nedeljko Prijovic Defensive Rebound.,20,39
2:35,326,Immanuel King made Layup. Assisted by Nijal Pearson.,20,41
2:14,326,Foul on Ojai Black.,20,41
2:14,326,Official TV Timeout,20,41
2:10,-1,Elijah Pruitt Turnover.,20,41
2:10,326,Kavin Gilder-Tilbury Steal.,20,41
1:53,326,Tyler Blount missed Three Point Jumper.,20,41
1:53,-1,Talen Davis-Rentfro Defensive Rebound.,20,41
1:35,-1,Donovan Jenkins made Layup. Assisted by Talen Davis-Rentfro.,22,41
1:14,326,Nathan Josephs missed Three Point Jumper.,22,41
1:14,326,Maxwell Starwood Offensive Rebound.,22,41
1:11,326,Maxwell Starwood made Layup.,22,43
0:47,-1,Elijah Pruitt missed Layup.,22,43
0:47,326,Nathan Josephs Block.,22,43
0:47,-1,Howard Payne Offensive Rebound.,22,43
0:47,326,Texas State  Timeout,22,43
0:47,-1,Howard Payne  Turnover.,22,43
0:29,326,Nedeljko Prijovic missed Three Point Jumper.,22,43
0:29,-1,Javaris Jones Defensive Rebound.,22,43
0:16,-1,Jaze Ramdolph Turnover.,22,43
0:01,326,Kavin Gilder-Tilbury missed Three Point Jumper.,22,43
0:01,-1,Javaris Jones Defensive Rebound.,22,43
0:00,326,End of 1st half,22,43
19:45,-1,Rickey Guillory missed Layup.,22,43
19:45,-1,Rickey Guillory Offensive Rebound.,22,43
19:41,-1,Rickey Guillory missed Layup.,22,43
19:41,326,Bobby Conley Defensive Rebound.,22,43
19:16,326,Maljhum McCrea made Layup. Assisted by Kavin Gilder-Tilbury.,22,45
19:03,326,Foul on Maljhum McCrea.,22,45
18:47,-1,Donovan Jenkins made Jumper.,24,45
18:39,326,Ojai Black Turnover.,24,45
18:18,-1,Rickey Guillory made Three Point Jumper. Assisted by J Bailey.,27,45
17:57,326,Ojai Black missed Layup.,27,45
17:57,-1,Khyce Randall Defensive Rebound.,27,45
17:50,-1,Khyce Randall missed Three Point Jumper.,27,45
17:50,326,Bobby Conley Defensive Rebound.,27,45
17:41,326,Nijal Pearson missed Jumper.,27,45
17:41,326,Maljhum McCrea Offensive Rebound.,27,45
17:33,326,Bobby Conley missed Jumper.,27,45
17:33,-1,Rickey Guillory Defensive Rebound.,27,45
17:26,-1,Rickey Guillory made Three Point Jumper.,30,45
17:04,-1,Foul on J Bailey.,30,45
17:04,326,Nijal Pearson made Free Throw.,30,46
17:04,326,Nijal Pearson made Free Throw.,30,47
16:52,-1,Rickey Guillory missed Jumper.,30,47
16:52,326,Nijal Pearson Defensive Rebound.,30,47
16:45,326,Kavin Gilder-Tilbury missed Jumper.,30,47
16:45,-1,Donovan Jenkins Defensive Rebound.,30,47
16:27,-1,Rickey Guillory missed Jumper.,30,47
16:27,326,Nijal Pearson Defensive Rebound.,30,47
16:22,326,Nijal Pearson Turnover.,30,47
16:21,-1,Rickey Guillory Steal.,30,47
16:20,-1,Rickey Guillory missed Three Point Jumper.,30,47
16:20,-1,Donovan Jenkins Offensive Rebound.,30,47
16:16,-1,Donovan Jenkins Turnover.,30,47
16:15,326,Bobby Conley Steal.,30,47
16:15,-1,Foul on Khyce Randall.,30,47
15:56,326,Immanuel King missed Layup.,30,47
15:56,-1,J Bailey Block.,30,47
15:53,-1,Donovan Jenkins Defensive Rebound.,30,47
15:48,326,Official TV Timeout,30,47
15:46,-1,Cody Hastings missed Jumper.,30,47
15:46,326,Nijal Pearson Defensive Rebound.,30,47
15:27,-1,Foul on Thomas Bingham.,30,47
15:26,326,Bobby Conley missed Jumper.,30,47
15:26,-1,Thomas Bingham Defensive Rebound.,30,47
15:04,-1,Foul on Shadd Cole.,30,47
15:04,-1,Shadd Cole Turnover.,30,47
14:42,326,Tyler Blount missed Three Point Jumper.,30,47
14:42,-1,Thomas Bingham Defensive Rebound.,30,47
14:28,-1,De'Marcus Hurd Turnover.,30,47
14:11,-1,Foul on Cody Hastings.,30,47
14:11,326,Nijal Pearson made Free Throw.,30,48
14:11,326,Nijal Pearson made Free Throw.,30,49
14:05,326,Foul on Ojai Black.,30,49
14:05,-1,Shadd Cole missed Jumper.,30,49
14:05,326,Immanuel King Defensive Rebound.,30,49
14:04,326,Foul on Immanuel King.,30,49
14:03,326,Immanuel King Turnover.,30,49
13:33,-1,Talen Davis-Rentfro missed Layup.,30,49
13:33,326,Immanuel King Defensive Rebound.,30,49
13:19,326,Nijal Pearson made Layup. Assisted by Immanuel King.,30,51
13:08,-1,Rickey Guillory missed Jumper.,30,51
13:08,326,Nedeljko Prijovic Defensive Rebound.,30,51
12:52,326,Immanuel King made Layup. Assisted by Nedeljko Prijovic.,30,53
12:52,-1,Foul on Talen Davis-Rentfro.,30,53
12:52,326,Immanuel King missed Free Throw.,30,53
12:52,-1,Kenneth Okwunwanne Defensive Rebound.,30,53
12:34,326,Foul on Nedeljko Prijovic.,30,53
12:27,-1,Khyce Randall missed Jumper.,30,53
12:27,326,Immanuel King Defensive Rebound.,30,53
12:10,326,Marlin Davis Turnover.,30,53
11:47,326,Foul on Nijal Pearson.,30,53
11:47,326,Official TV Timeout,30,53
11:42,-1,Shadd Cole missed Layup.,30,53
11:42,326,Nedeljko Prijovic Block.,30,53
11:41,326,Nedeljko Prijovic Defensive Rebound.,30,53
11:26,326,Immanuel King Turnover.,30,53
11:25,-1,Jeremy Ayers Steal.,30,53
11:06,-1,Rickey Guillory Turnover.,30,53
10:47,326,Marlin Davis missed Three Point Jumper.,30,53
10:47,-1,Rickey Guillory Defensive Rebound.,30,53
10:44,-1,Rickey Guillory missed Three Point Jumper.,30,53
10:44,326,Marlin Davis Defensive Rebound.,30,53
10:38,326,Kavin Gilder-Tilbury Turnover.,30,53
10:37,-1,Rickey Guillory Steal.,30,53
10:31,326,Foul on Immanuel King.,30,53
10:30,-1,Rickey Guillory missed Free Throw.,30,53
10:29,-1,Howard Payne Deadball Team Rebound.,30,53
10:28,-1,Rickey Guillory missed Free Throw.,30,53
10:27,326,Kavin Gilder-Tilbury Defensive Rebound.,30,53
10:09,326,Marlin Davis missed Layup.,30,53
10:09,326,Marlin Davis Offensive Rebound.,30,53
10:06,326,Marlin Davis made Layup.,30,55
9:53,326,Foul on Maxwell Starwood.,30,55
9:53,-1,J Bailey missed Free Throw.,30,55
9:53,326,Maxwell Starwood Defensive Rebound.,30,55
9:25,326,Kavin Gilder-Tilbury missed Three Point Jumper.,30,55
9:25,326,Nedeljko Prijovic Offensive Rebound.,30,55
9:21,-1,Foul on Donovan Jenkins.,30,55
9:21,326,Nedeljko Prijovic made Free Throw.,30,56
9:21,326,Nedeljko Prijovic made Free Throw.,30,57
8:53,-1,Rickey Guillory missed Three Point Jumper.,30,57
8:53,-1,J Bailey Offensive Rebound.,30,57
8:46,-1,Khyce Randall missed Three Point Jumper.,30,57
8:46,-1,Howard Payne Offensive Rebound.,30,57
8:26,-1,Talen Davis-Rentfro Turnover.,30,57
8:24,326,Kavin Gilder-Tilbury Steal.,30,57
8:22,326,Marlin Davis Turnover.,30,57
8:07,-1,Talen Davis-Rentfro Turnover.,30,57
7:51,326,Nedeljko Prijovic Turnover.,30,57
7:51,326,Official TV Timeout,30,57
7:40,-1,Elijah Pruitt Turnover.,30,57
7:39,326,Nathan Josephs Steal.,30,57
7:36,326,Maxwell Starwood made Layup. Assisted by Nathan Josephs.,30,59
7:22,-1,Elijah Pruitt missed Three Point Jumper.,30,59
7:22,-1,Talen Davis-Rentfro Offensive Rebound.,30,59
7:19,-1,Talen Davis-Rentfro made Layup.,32,59
7:01,326,Nathan Josephs made Three Point Jumper. Assisted by Nedeljko Prijovic.,32,62
6:40,-1,Elijah Pruitt Turnover.,32,62
6:39,326,Nijal Pearson Steal.,32,62
6:33,-1,Foul on J Bailey.,32,62
6:33,326,Nedeljko Prijovic made Free Throw.,32,63
6:33,326,Nedeljko Prijovic missed Free Throw.,32,63
6:33,-1,J Bailey Defensive Rebound.,32,63
6:17,-1,J Bailey missed Layup.,32,63
6:17,326,Maxwell Starwood Block.,32,63
6:15,326,Courtney Julien Defensive Rebound.,32,63
6:11,326,Nijal Pearson made Jumper.,32,65
6:11,-1,Foul on Talen Davis-Rentfro.,32,65
6:08,326,Nijal Pearson made Free Throw.,32,66
6:00,-1,De'Marcus Hurd made Jumper.,34,66
5:43,326,Nathan Josephs made Three Point Jumper. Assisted by Courtney Julien.,34,69
5:32,-1,De'Marcus Hurd missed Three Point Jumper.,34,69
5:32,326,Texas State Defensive Rebound.,34,69
5:20,326,Maxwell Starwood Turnover.,34,69
5:11,-1,Howard Payne  Timeout,34,69
5:02,-1,Talen Davis-Rentfro Turnover.,34,69
5:00,326,Nijal Pearson Steal.,34,69
4:58,326,Courtney Julien made Layup. Assisted by Nijal Pearson.,34,71
4:45,-1,Talen Davis-Rentfro Turnover.,34,71
4:44,326,Maxwell Starwood Steal.,34,71
4:41,326,Maxwell Starwood made Dunk.,34,73
4:22,326,Foul on Nijal Pearson.,34,73
4:22,-1,Cole Bene' missed Free Throw.,34,73
4:22,-1,Howard Payne Deadball Team Rebound.,34,73
4:22,-1,Cole Bene' made Free Throw.,35,73
4:09,326,Tyler Blount missed Three Point Jumper.,35,73
4:09,326,Nedeljko Prijovic Offensive Rebound.,35,73
4:05,326,Nedeljko Prijovic made Layup.,35,75
3:48,-1,Cole Bene' missed Jumper.,35,75
3:48,326,Tyler Blount Defensive Rebound.,35,75
3:34,326,Tyler Blount missed Three Point Jumper.,35,75
3:34,-1,Thomas Bingham Defensive Rebound.,35,75
3:22,-1,Jeremy Ayers Turnover.,35,75
3:22,326,Maxwell Starwood Steal.,35,75
3:12,326,Maxwell Starwood made Layup. Assisted by Courtney Julien.,35,77
2:57,-1,De'Marcus Hurd Turnover.,35,77
2:56,326,Nedeljko Prijovic Steal.,35,77
2:47,326,Official TV Timeout,35,77
2:35,326,Nathan Josephs missed Three Point Jumper.,35,77
2:35,-1,Cole Bene' Defensive Rebound.,35,77
2:04,-1,Kenneth Okwunwanne missed Layup.,35,77
2:04,326,Maxwell Starwood Block.,35,77
2:02,326,Courtney Julien Defensive Rebound.,35,77
1:58,-1,Foul on Jeremy Ayers.,35,77
1:58,326,Tyler Blount made Free Throw.,35,78
1:58,326,Tyler Blount made Free Throw.,35,79
1:43,-1,Elijah Pruitt Turnover.,35,79
1:42,326,Nathan Josephs Steal.,35,79
1:39,326,Maxwell Starwood made Dunk. Assisted by Nathan Josephs.,35,81
1:24,-1,Cody Hastings missed Three Point Jumper.,35,81
1:24,326,Nedeljko Prijovic Defensive Rebound.,35,81
1:15,326,Tyler Blount made Layup. Assisted by Nathan Josephs.,35,83
1:05,326,Foul on Nathan Josephs.,35,83
1:05,-1,Elijah Pruitt made Free Throw.,36,83
1:05,-1,Elijah Pruitt made Free Throw.,37,83
0:57,326,Maxwell Starwood made Jumper. Assisted by Courtney Julien.,37,85
0:42,-1,Kenneth Okwunwanne missed Layup.,37,85
0:42,326,Maxwell Starwood Block.,37,85
0:41,326,Tyler Blount Defensive Rebound.,37,85
0:37,326,Tyler Blount made Layup.,37,87
0:22,326,Foul on Tyler Blount.,37,87
0:22,-1,Cody Hastings missed Free Throw.,37,87
0:22,-1,Howard Payne Deadball Team Rebound.,37,87
0:22,-1,Cody Hastings missed Free Throw.,37,87
0:22,326,Maxwell Starwood Defensive Rebound.,37,87
0:00,326,End of Game,37,87
