Idaho State,252,BYU,304
6:15,304,Robert Jones III Defensive Rebound.,10,24
6:03,304,Brandon Boyd made Three Point Jumper. Assisted by Robert Jones III.,13,24
5:45,252,L.J. Rose made Three Point Jumper. Assisted by Nick Emery.,13,27
5:26,304,Geno Luzcando made Three Point Jumper. Assisted by Brandon Boyd.,16,27
5:07,304,Foul on Robert Jones III.,16,27
5:07,252,Yoeli Childs made Free Throw.,16,28
5:07,252,Yoeli Childs made Free Throw.,16,29
4:43,304,Ethan Telfair missed Jumper.,16,29
4:43,252,L.J. Rose Defensive Rebound.,16,29
4:32,252,L.J. Rose made Three Point Jumper. Assisted by Yoeli Childs.,16,32
4:21,304,Ethan Telfair made Three Point Jumper. Assisted by Geno Luzcando.,19,32
4:08,252,L.J. Rose made Three Point Jumper. Assisted by Payton Dastrup.,19,35
3:47,304,Ethan Telfair made Three Point Jumper. Assisted by Brandon Boyd.,22,35
3:35,252,TJ Haws missed Three Point Jumper.,22,35
3:35,304,Ethan Telfair Defensive Rebound.,22,35
3:19,304,Brandon Boyd missed Three Point Jumper.,22,35
3:19,304,Novak Topalovic Offensive Rebound.,22,35
3:07,252,Foul on Payton Dastrup.,22,35
3:07,252,Official TV Timeout,22,35
3:07,304,Novak Topalovic missed Free Throw.,22,35
3:07,304,Idaho State Deadball Team Rebound.,22,35
3:07,304,Novak Topalovic made Free Throw.,23,35
2:37,304,Foul on Robert Jones III.,23,35
2:37,252,Jamal Aytes made Free Throw.,23,36
2:37,252,Jamal Aytes made Free Throw.,23,37
2:25,252,Foul on Jamal Aytes.,23,37
2:25,304,Ethan Telfair made Free Throw.,24,37
2:25,304,Ethan Telfair made Free Throw.,25,37
2:18,252,L.J. Rose Turnover.,25,37
2:17,304,Robert Jones III Steal.,25,37
2:13,304,Brandon Boyd missed Jumper.,25,37
2:13,252,Yoeli Childs Defensive Rebound.,25,37
2:09,252,Yoeli Childs Turnover.,25,37
2:02,304,Brandon Boyd Steal.,25,37
2:01,304,Brandon Boyd made Jumper.,27,37
1:54,252,L.J. Rose missed Three Point Jumper.,27,37
1:54,304,Novak Topalovic Defensive Rebound.,27,37
1:44,304,Ethan Telfair missed Three Point Jumper.,27,37
1:44,252,L.J. Rose Defensive Rebound.,27,37
1:36,252,Jamal Aytes made Jumper. Assisted by L.J. Rose.,27,39
1:21,304,Ethan Telfair Turnover.,27,39
1:20,252,Nick Emery Steal.,27,39
1:16,252,Nick Emery Turnover.,27,39
1:16,304,Ethan Telfair Steal.,27,39
1:08,304,Ethan Telfair Turnover.,27,39
1:07,252,Nick Emery Steal.,27,39
0:48,252,Jamal Aytes missed Jumper.,27,39
0:48,304,Idaho State Defensive Rebound.,27,39
0:47,304,Idaho State  Timeout,27,39
0:41,252,Foul on Nick Emery.,27,39
0:41,304,Ethan Telfair made Free Throw.,28,39
0:41,304,Ethan Telfair made Free Throw.,29,39
0:24,252,Jamal Aytes missed Jumper.,29,39
0:24,304,Geno Luzcando Defensive Rebound.,29,39
0:01,304,Novak Topalovic made Dunk. Assisted by Ethan Telfair.,31,39
0:00,252,End of 1st half,31,39
19:47,252,Eric Mika made Jumper. Assisted by TJ Haws.,31,41
19:31,252,Foul on Yoeli Childs.,31,41
19:28,304,Novak Topalovic made Jumper. Assisted by Ethan Telfair.,33,41
19:10,252,Eric Mika Turnover.,33,41
19:08,304,Robert Jones III Steal.,33,41
18:58,304,Robert Jones III made Three Point Jumper. Assisted by Ethan Telfair.,36,41
18:31,252,Nick Emery made Three Point Jumper. Assisted by L.J. Rose.,36,44
18:05,304,Robert Jones III missed Three Point Jumper.,36,44
18:05,252,Yoeli Childs Defensive Rebound.,36,44
17:57,252,Eric Mika made Layup. Assisted by TJ Haws.,36,46
17:39,304,Ethan Telfair missed Three Point Jumper.,36,46
17:39,252,Nick Emery Block.,36,46
17:37,252,Eric Mika Defensive Rebound.,36,46
17:36,304,Foul on Novak Topalovic.,36,46
17:36,252,Eric Mika missed Free Throw.,36,46
17:36,252,BYU Deadball Team Rebound.,36,46
17:36,252,Eric Mika made Free Throw.,36,47
17:30,252,Foul on Yoeli Childs.,36,47
17:30,304,Geno Luzcando made Free Throw.,37,47
17:30,304,Geno Luzcando missed Free Throw.,37,47
17:30,252,Eric Mika Defensive Rebound.,37,47
17:21,304,Foul on Novak Topalovic.,37,47
17:05,252,Nick Emery Turnover.,37,47
17:04,304,Erik Nakken Steal.,37,47
16:43,304,Erik Nakken missed Three Point Jumper.,37,47
16:43,252,Eric Mika Defensive Rebound.,37,47
16:34,252,Braiden Shaw made Jumper. Assisted by L.J. Rose.,37,49
16:21,304,Novak Topalovic made Jumper.,39,49
16:05,252,Nick Emery made Jumper. Assisted by TJ Haws.,39,51
15:49,252,Official TV Timeout,39,51
15:32,304,Geno Luzcando made Jumper.,41,51
15:15,252,Nick Emery missed Jumper.,41,51
15:15,304,Geno Luzcando Defensive Rebound.,41,51
14:56,252,Foul on Davin Guinn.,41,51
14:42,304,Ethan Telfair missed Three Point Jumper.,41,51
14:42,252,Eric Mika Defensive Rebound.,41,51
14:36,304,Foul on Novak Topalovic.,41,51
14:36,252,TJ Haws made Free Throw.,41,52
14:36,252,TJ Haws made Free Throw.,41,53
14:12,304,Erik Nakken missed Three Point Jumper.,41,53
14:12,252,BYU Defensive Rebound.,41,53
13:53,252,Eric Mika missed Jumper.,41,53
13:53,252,Eric Mika Offensive Rebound.,41,53
13:53,304,Foul on Geno Luzcando.,41,53
13:53,252,Eric Mika made Free Throw.,41,54
13:53,252,Eric Mika made Free Throw.,41,55
13:42,304,Ethan Telfair missed Jumper.,41,55
13:42,304,Geno Luzcando Offensive Rebound.,41,55
13:42,252,Foul on Davin Guinn.,41,55
13:32,304,Hayes Garrity Turnover.,41,55
13:31,252,TJ Haws Steal.,41,55
13:29,252,TJ Haws made Layup.,41,57
13:29,252,TJ Haws missed Free Throw.,41,57
13:29,304,Geno Luzcando Defensive Rebound.,41,57
13:29,304,Foul on Erik Nakken.,41,57
12:56,304,Ethan Telfair made Three Point Jumper. Assisted by Hayes Garrity.,44,57
12:37,252,Davin Guinn missed Three Point Jumper.,44,57
12:37,304,Ethan Telfair Defensive Rebound.,44,57
12:26,304,Hayes Garrity made Three Point Jumper. Assisted by Ethan Telfair.,47,57
12:11,252,Nick Emery made Layup.,47,59
11:44,304,Erik Nakken missed Three Point Jumper.,47,59
11:44,252,L.J. Rose Defensive Rebound.,47,59
11:38,252,L.J. Rose Turnover.,47,59
11:38,304,Geno Luzcando Steal.,47,59
11:35,304,Geno Luzcando made Layup.,49,59
11:14,252,TJ Haws made Three Point Jumper. Assisted by Nick Emery.,49,62
10:59,304,Stephen Lennox Turnover.,49,62
10:58,252,L.J. Rose Steal.,49,62
10:51,252,Nick Emery missed Three Point Jumper.,49,62
10:51,304,Ethan Telfair Defensive Rebound.,49,62
10:42,304,Erik Nakken missed Three Point Jumper.,49,62
10:42,252,Nick Emery Defensive Rebound.,49,62
10:16,304,Foul on Stephen Lennox.,49,62
10:16,252,Official TV Timeout,49,62
10:12,252,Braiden Shaw missed Jumper.,49,62
10:12,304,Hayes Garrity Defensive Rebound.,49,62
9:51,304,Novak Topalovic missed Jumper.,49,62
9:51,252,Yoeli Childs Defensive Rebound.,49,62
9:40,252,Braiden Shaw made Jumper. Assisted by TJ Haws.,49,64
9:31,304,Ethan Telfair missed Jumper.,49,64
9:31,252,Braiden Shaw Defensive Rebound.,49,64
9:24,304,Foul on Ethan Telfair.,49,64
9:24,252,TJ Haws made Free Throw.,49,65
9:24,252,TJ Haws made Free Throw.,49,66
9:06,304,Robert Jones III missed Three Point Jumper.,49,66
9:06,252,Yoeli Childs Block.,49,66
9:03,252,Eric Mika Defensive Rebound.,49,66
9:01,252,TJ Haws Turnover.,49,66
8:43,304,Ethan Telfair missed Jumper.,49,66
8:43,252,Eric Mika Block.,49,66
8:41,252,Eric Mika Defensive Rebound.,49,66
8:36,304,Foul on Geno Luzcando.,49,66
8:36,252,Steven Beo missed Free Throw.,49,66
8:36,304,Geno Luzcando Defensive Rebound.,49,66
8:24,304,Hayes Garrity Turnover.,49,66
8:23,252,TJ Haws Steal.,49,66
8:19,252,Steven Beo missed Jumper.,49,66
8:19,252,BYU Offensive Rebound.,49,66
8:18,304,Foul on Geno Luzcando.,49,66
8:18,252,Eric Mika missed Free Throw.,49,66
8:18,304,Novak Topalovic Defensive Rebound.,49,66
8:04,304,Robert Jones III missed Jumper.,49,66
8:04,252,Eric Mika Block.,49,66
8:02,252,Yoeli Childs Defensive Rebound.,49,66
7:46,252,Nick Emery made Jumper.,49,68
7:13,304,Balint Mocsan Turnover.,49,68
7:13,252,Yoeli Childs Steal.,49,68
7:07,252,Official TV Timeout,49,68
7:03,252,Yoeli Childs made Dunk.,49,70
6:40,304,Stephen Lennox made Jumper. Assisted by Brandon Boyd.,51,70
6:31,252,Eric Mika made Jumper. Assisted by TJ Haws.,51,72
6:06,304,Robert Jones III missed Jumper.,51,72
6:06,252,TJ Haws Defensive Rebound.,51,72
5:56,252,TJ Haws made Three Point Jumper. Assisted by Eric Mika.,51,75
5:32,304,Brandon Boyd made Three Point Jumper. Assisted by Robert Jones III.,54,75
5:15,252,Yoeli Childs made Dunk. Assisted by Nick Emery.,54,77
5:02,304,Hayes Garrity missed Three Point Jumper.,54,77
5:02,252,Yoeli Childs Defensive Rebound.,54,77
4:49,252,TJ Haws missed Three Point Jumper.,54,77
4:49,252,Eric Mika Offensive Rebound.,54,77
4:46,252,Eric Mika missed Jumper.,54,77
4:46,304,Brandon Boyd Defensive Rebound.,54,77
4:39,304,Brandon Boyd Turnover.,54,77
4:39,252,TJ Haws Steal.,54,77
4:34,252,Yoeli Childs made Dunk. Assisted by TJ Haws.,54,79
4:24,304,Idaho State  Timeout,54,79
4:04,304,Ethan Telfair missed Three Point Jumper.,54,79
4:04,304,Idaho State Offensive Rebound.,54,79
3:58,304,Keshawn Liggins made Jumper. Assisted by Ethan Telfair.,56,79
3:34,252,L.J. Rose Turnover.,56,79
3:34,252,Official TV Timeout,56,79
3:06,304,Ethan Telfair Turnover.,56,79
3:05,252,Colby Leifson Steal.,56,79
2:52,252,Yoeli Childs Turnover.,56,79
2:50,304,Ethan Telfair Steal.,56,79
2:46,304,Brandon Boyd missed Three Point Jumper.,56,79
2:46,252,Yoeli Childs Defensive Rebound.,56,79
2:38,252,Colby Leifson made Three Point Jumper. Assisted by Steven Beo.,56,82
2:21,304,Balint Mocsan missed Three Point Jumper.,56,82
2:21,252,L.J. Rose Defensive Rebound.,56,82
2:15,252,L.J. Rose Steal.,56,82
2:01,304,Balint Mocsan missed Three Point Jumper.,56,82
2:01,252,L.J. Rose Defensive Rebound.,56,82
2:00,252,Braiden Shaw missed Jumper.,56,82
2:00,252,Yoeli Childs Offensive Rebound.,56,82
2:00,252,Yoeli Childs made Jumper.,56,84
1:48,252,Foul on Steven Beo.,56,84
1:39,304,Ethan Telfair missed Three Point Jumper.,56,84
1:39,304,Brandon Boyd Offensive Rebound.,56,84
1:33,304,Brandon Boyd missed Jumper.,56,84
1:33,252,Davin Guinn Defensive Rebound.,56,84
1:26,252,Davin Guinn Turnover.,56,84
1:25,304,Brandon Boyd Steal.,56,84
1:20,304,Balint Mocsan missed Three Point Jumper.,56,84
1:20,304,Keshawn Liggins Offensive Rebound.,56,84
1:06,304,Clark Wilkinson made Jumper. Assisted by Ethan Telfair.,58,84
0:48,252,Braiden Shaw Turnover.,58,84
0:33,304,Ethan Telfair missed Jumper.,58,84
0:33,252,Payton Dastrup Defensive Rebound.,58,84
0:00,252,End of Game,58,84
