Baton Rouge,158,Nebraska,2582
12:42,2582,Chris Thomas Defensive Rebound.,51,51
12:31,2582,Patrick Smith Turnover.,51,51
12:30,158,Anton Gill Steal.,51,51
12:28,2582,Foul on Tre'lun Banks.,51,51
12:28,158,Tai Webster missed Free Throw.,51,51
12:28,2582,Patrick Smith Defensive Rebound.,51,51
12:05,2582,Chris Thomas Turnover.,51,51
11:50,158,Tai Webster missed Three Point Jumper.,51,51
11:50,158,Jeriah Horne Offensive Rebound.,51,51
11:46,158,Tai Webster made Layup. Assisted by Jeriah Horne.,51,53
11:27,158,Foul on Michael Jacobson.,51,53
11:27,158,Official TV Timeout,51,53
11:25,158,Foul on Jeriah Horne.,51,53
11:16,2582,JaMarcus Weatherspoon made Jumper.,53,53
11:01,158,Jeriah Horne made Three Point Jumper. Assisted by Tai Webster.,53,56
10:40,2582,Patrick Smith missed Jumper.,53,56
10:40,158,Jeriah Horne Block.,53,56
10:39,158,Anton Gill Defensive Rebound.,53,56
10:22,158,Tai Webster missed Three Point Jumper.,53,56
10:22,158,Anton Gill Offensive Rebound.,53,56
10:18,2582,Foul on Chris Thomas.,53,56
10:18,158,Anton Gill missed Free Throw.,53,56
10:18,158,Nebraska Deadball Team Rebound.,53,56
10:15,158,Anton Gill missed Free Throw.,53,56
10:15,158,Nebraska Offensive Rebound.,53,56
10:09,2582,Foul on Brendon Ganaway.,53,56
10:09,158,Glynn Watson Jr. missed Free Throw.,53,56
10:09,158,Nebraska Deadball Team Rebound.,53,56
10:09,158,Glynn Watson Jr. made Free Throw.,53,57
9:57,158,Foul on Anton Gill.,53,57
9:48,2582,JaMarcus Weatherspoon missed Layup.,53,57
9:48,2582,Chris Thomas Offensive Rebound.,53,57
9:46,2582,Chris Thomas missed Jumper.,53,57
9:46,158,Jeriah Horne Defensive Rebound.,53,57
9:30,158,Glynn Watson Jr. made Jumper.,53,59
9:18,2582,JaMarcus Weatherspoon Turnover.,53,59
9:17,158,Glynn Watson Jr. Steal.,53,59
9:14,2582,Foul on Chris Thomas.,53,59
9:14,158,Anton Gill made Free Throw.,53,60
9:14,158,Anton Gill made Free Throw.,53,61
9:02,158,Foul on Michael Jacobson.,53,61
9:00,2582,Shawn Prudhomme missed Jumper.,53,61
9:00,158,Jeriah Horne Defensive Rebound.,53,61
8:51,158,Glynn Watson Jr. missed Jumper.,53,61
8:51,2582,Southern Defensive Rebound.,53,61
8:49,158,Foul on Michael Jacobson.,53,61
8:29,2582,Emanual Shepherd made Layup. Assisted by Jared Sam.,55,61
8:17,158,Anton Gill missed Three Point Jumper.,55,61
8:17,2582,Jared Sam Defensive Rebound.,55,61
8:03,158,Foul on Jeriah Horne.,55,61
8:03,2582,Emanual Shepherd made Free Throw.,56,61
8:03,2582,Emanual Shepherd made Free Throw.,57,61
7:48,158,Tai Webster made Jumper.,57,63
7:27,2582,Emanual Shepherd missed Layup.,57,63
7:27,2582,Jared Sam Offensive Rebound.,57,63
7:27,158,Official TV Timeout,57,63
7:10,2582,Tre'lun Banks missed Jumper.,57,63
7:10,2582,Shawn Prudhomme Offensive Rebound.,57,63
7:03,2582,Shawn Prudhomme made Jumper.,59,63
6:50,158,Jeriah Horne made Three Point Jumper. Assisted by Tai Webster.,59,66
6:29,158,Foul on Anton Gill.,59,66
6:29,2582,Rashad Andrews made Free Throw.,60,66
6:29,2582,Rashad Andrews made Free Throw.,61,66
6:21,158,Jeriah Horne missed Three Point Jumper.,61,66
6:21,2582,Emanual Shepherd Defensive Rebound.,61,66
5:54,2582,Emanual Shepherd made Layup.,63,66
5:33,158,Jeriah Horne made Jumper. Assisted by Tai Webster.,63,68
5:03,2582,Shawn Prudhomme missed Three Point Jumper.,63,68
5:03,2582,Jared Sam Offensive Rebound.,63,68
4:45,2582,Tre'lun Banks made Jumper.,65,68
4:31,2582,Foul on Rashad Andrews.,65,68
4:31,158,Tai Webster made Free Throw.,65,69
4:31,158,Tai Webster made Free Throw.,65,70
3:59,2582,Southern  Turnover.,65,70
3:49,158,Jeriah Horne made Three Point Jumper. Assisted by Evan Taylor.,65,73
3:15,2582,Tre'lun Banks made Jumper.,67,73
2:59,158,Tai Webster made Layup. Assisted by Jeriah Horne.,67,75
2:43,2582,Foul on Emanual Shepherd.,67,75
2:43,2582,Emanual Shepherd Turnover.,67,75
2:43,158,Official TV Timeout,67,75
2:29,158,Tai Webster made Jumper.,67,77
2:13,2582,Shawn Prudhomme missed Three Point Jumper.,67,77
2:13,2582,Emanual Shepherd Offensive Rebound.,67,77
1:55,2582,Jared Sam missed Layup.,67,77
1:55,2582,Emanual Shepherd Offensive Rebound.,67,77
1:53,2582,Emanual Shepherd made Jumper.,69,77
1:27,158,Glynn Watson Jr. missed Jumper.,69,77
1:27,2582,Southern Defensive Rebound.,69,77
1:09,2582,Emanual Shepherd made Layup. Assisted by Jared Sam.,71,77
1:09,2582,Southern  Timeout,71,77
0:47,158,Tai Webster Turnover.,71,77
0:45,2582,Jared Sam Steal.,71,77
0:41,2582,Shawn Prudhomme made Layup.,73,77
0:41,2582,Southern  Timeout,73,77
0:14,158,Jeriah Horne made Jumper. Assisted by Evan Taylor.,73,79
0:02,2582,Emanual Shepherd made Three Point Jumper. Assisted by Shawn Prudhomme.,76,79
0:02,2582,Southern  Timeout,76,79
0:01,2582,Foul on Tre'lun Banks.,76,79
0:01,158,Glynn Watson Jr. made Free Throw.,76,80
0:01,158,Glynn Watson Jr. made Free Throw.,76,81
0:00,2582,Shawn Prudhomme missed Three Point Jumper.,76,81
0:00,158,Nebraska Defensive Rebound.,76,81
0:00,158,End of Game,76,81
