Albany,2567,SMU,399
5:41,399,Marqueese Grayson missed Three Point Jumper.,18,22
5:41,2567,Shake Milton Defensive Rebound.,18,22
5:29,2567,Shake Milton made Three Point Jumper. Assisted by Tom Wilson.,18,25
5:24,399,Albany  Timeout,18,25
5:09,399,Dallas Ennema made Three Point Jumper. Assisted by David Nichols.,21,25
4:45,399,Foul on Dallas Ennema.,21,25
4:45,2567,Semi Ojeleye missed Free Throw.,21,25
4:45,2567,SMU Deadball Team Rebound.,21,25
4:45,2567,Semi Ojeleye made Free Throw.,21,26
4:29,399,Dallas Ennema made Three Point Jumper. Assisted by Joe Cremo.,24,26
4:13,2567,Semi Ojeleye made Jumper.,24,28
3:47,399,Marqueese Grayson missed Jumper.,24,28
3:47,2567,Jarrey Foster Defensive Rebound.,24,28
3:35,2567,Jarrey Foster missed Three Point Jumper.,24,28
3:35,2567,Dashawn McDowell Offensive Rebound.,24,28
3:30,2567,Dashawn McDowell missed Layup.,24,28
3:30,399,Mike Rowley Block.,24,28
3:28,399,Dallas Ennema Defensive Rebound.,24,28
3:24,399,David Nichols Turnover.,24,28
3:24,2567,Official TV Timeout,24,28
3:14,2567,Dashawn McDowell Turnover.,24,28
2:45,399,Joe Cremo missed Three Point Jumper.,24,28
2:45,2567,Ben Moore Defensive Rebound.,24,28
2:25,2567,Semi Ojeleye made Three Point Jumper. Assisted by Jarrey Foster.,24,31
2:04,399,Dallas Ennema made Three Point Jumper. Assisted by David Nichols.,27,31
1:42,2567,Shake Milton missed Layup.,27,31
1:42,2567,Ben Moore Offensive Rebound.,27,31
1:38,399,Foul on Dallas Ennema.,27,31
1:38,2567,Ben Moore missed Free Throw.,27,31
1:38,2567,Semi Ojeleye Offensive Rebound.,27,31
1:37,399,Foul on Joe Cremo.,27,31
1:37,2567,Semi Ojeleye missed Free Throw.,27,31
1:37,399,Joe Cremo Defensive Rebound.,27,31
1:18,399,Joe Cremo made Three Point Jumper. Assisted by David Nichols.,30,31
0:47,2567,Semi Ojeleye missed Jumper.,30,31
0:47,399,Joe Cremo Defensive Rebound.,30,31
0:22,399,David Nichols made Jumper.,32,31
0:04,2567,Semi Ojeleye made Three Point Jumper. Assisted by Jarrey Foster.,32,34
0:00,2567,End of 1st half,32,34
19:52,399,Foul on Marqueese Grayson.,32,34
19:35,2567,Jarrey Foster Turnover.,32,34
19:33,399,David Nichols Steal.,32,34
19:30,399,Mike Rowley made Layup. Assisted by Joe Cremo.,34,34
19:12,2567,Sterling Brown made Three Point Jumper. Assisted by Ben Moore.,34,37
18:47,399,Marqueese Grayson missed Three Point Jumper.,34,37
18:47,2567,Jarrey Foster Defensive Rebound.,34,37
18:33,2567,Semi Ojeleye missed Three Point Jumper.,34,37
18:33,399,David Nichols Defensive Rebound.,34,37
18:15,399,Mike Rowley missed Layup.,34,37
18:15,2567,Sterling Brown Defensive Rebound.,34,37
18:03,399,Foul on Mike Rowley.,34,37
17:52,2567,Semi Ojeleye made Layup.,34,39
17:33,2567,Foul on Jarrey Foster.,34,39
17:26,399,Dallas Ennema missed Three Point Jumper.,34,39
17:26,399,Albany Offensive Rebound.,34,39
17:20,399,Joe Cremo missed Jumper.,34,39
17:20,2567,Sterling Brown Defensive Rebound.,34,39
17:03,2567,Sterling Brown missed Three Point Jumper.,34,39
17:03,399,Greig Stire Defensive Rebound.,34,39
16:42,399,Joe Cremo made Three Point Jumper. Assisted by David Nichols.,37,39
16:27,2567,Semi Ojeleye missed Three Point Jumper.,37,39
16:27,399,Greig Stire Defensive Rebound.,37,39
16:24,2567,Foul on Ben Moore.,37,39
16:10,399,Mike Rowley Turnover.,37,39
16:07,2567,Sterling Brown Steal.,37,39
16:05,2567,Shake Milton missed Three Point Jumper.,37,39
16:05,2567,Ben Moore Offensive Rebound.,37,39
16:00,2567,Semi Ojeleye made Layup. Assisted by Ben Moore.,37,41
15:38,399,David Nichols made Jumper.,39,41
15:18,2567,Sterling Brown missed Jumper.,39,41
15:18,2567,Sterling Brown Offensive Rebound.,39,41
15:05,2567,Jarrey Foster made Jumper.,39,43
14:41,399,Joe Cremo Turnover.,39,43
14:40,2567,Ben Moore Steal.,39,43
14:39,399,Foul on David Nichols.,39,43
14:39,2567,Official TV Timeout,39,43
14:39,2567,Ben Emelogu II missed Free Throw.,39,43
14:39,2567,SMU Deadball Team Rebound.,39,43
14:39,2567,Ben Emelogu II made Free Throw.,39,44
14:36,2567,Ben Emelogu II Turnover.,39,44
14:35,399,Greig Stire Steal.,39,44
14:10,399,Dallas Ennema missed Three Point Jumper.,39,44
14:10,2567,Ben Moore Defensive Rebound.,39,44
14:08,2567,Ben Moore Turnover.,39,44
14:08,2567,Foul on Ben Moore.,39,44
14:03,399,Greig Stire Turnover.,39,44
14:03,399,Foul on Greig Stire.,39,44
13:50,2567,Ben Emelogu II Turnover.,39,44
13:50,2567,Foul on Ben Emelogu II.,39,44
13:35,2567,Foul on Sterling Brown.,39,44
13:35,399,Joe Cremo made Free Throw.,40,44
13:35,399,Joe Cremo made Free Throw.,41,44
13:16,2567,Ben Emelogu II missed Jumper.,41,44
13:16,2567,Semi Ojeleye Offensive Rebound.,41,44
13:13,2567,Semi Ojeleye made Layup.,41,46
13:13,399,Foul on Mike Rowley.,41,46
13:13,2567,Semi Ojeleye made Free Throw.,41,47
12:43,399,Mike Rowley Turnover.,41,47
12:41,2567,Ben Emelogu II Steal.,41,47
12:36,2567,Semi Ojeleye missed Layup.,41,47
12:36,399,Dallas Ennema Block.,41,47
12:35,2567,Jarrey Foster Offensive Rebound.,41,47
12:11,2567,Ben Emelogu II missed Layup.,41,47
12:11,399,Dallas Ennema Block.,41,47
12:09,2567,Dashawn McDowell Offensive Rebound.,41,47
12:08,399,Foul on Travis Charles.,41,47
12:08,2567,Dashawn McDowell missed Free Throw.,41,47
12:08,2567,SMU Deadball Team Rebound.,41,47
12:08,2567,Dashawn McDowell missed Free Throw.,41,47
12:07,399,Joe Cremo Defensive Rebound.,41,47
11:52,399,Joe Cremo made Three Point Jumper. Assisted by Travis Charles.,44,47
11:21,2567,Ben Emelogu II made Layup. Assisted by Dashawn McDowell.,44,49
11:07,399,Joe Cremo made Layup.,46,49
10:50,2567,Jarrey Foster Turnover.,46,49
10:50,2567,Foul on Jarrey Foster.,46,49
10:50,2567,Official TV Timeout,46,49
10:30,399,Travis Charles missed Jumper.,46,49
10:30,2567,Ben Moore Defensive Rebound.,46,49
10:29,399,Foul on Travis Charles.,46,49
10:29,2567,Ben Moore made Free Throw.,46,50
10:29,2567,Ben Moore missed Free Throw.,46,50
10:29,2567,Semi Ojeleye Offensive Rebound.,46,50
10:16,2567,Shake Milton made Jumper.,46,52
9:50,399,Marqueese Grayson missed Three Point Jumper.,46,52
9:50,2567,Semi Ojeleye Defensive Rebound.,46,52
9:30,399,Foul on Marqueese Grayson.,46,52
9:30,2567,Sterling Brown made Free Throw.,46,53
9:30,2567,Sterling Brown made Free Throw.,46,54
9:06,399,Marqueese Grayson missed Layup.,46,54
9:06,2567,Jarrey Foster Block.,46,54
9:05,399,Joe Cremo Offensive Rebound.,46,54
9:03,399,Dallas Ennema missed Three Point Jumper.,46,54
9:03,2567,Shake Milton Defensive Rebound.,46,54
8:46,2567,Sterling Brown missed Jumper.,46,54
8:46,399,David Nichols Defensive Rebound.,46,54
8:22,399,Joe Cremo made Jumper.,48,54
8:05,399,Foul on David Nichols.,48,54
8:05,2567,Semi Ojeleye missed Free Throw.,48,54
8:05,2567,SMU Deadball Team Rebound.,48,54
8:05,2567,Semi Ojeleye made Free Throw.,48,55
7:53,399,Joe Cremo Turnover.,48,55
7:52,2567,Ben Emelogu II Steal.,48,55
7:39,2567,Sterling Brown made Jumper.,48,57
7:29,399,Albany  Timeout,48,57
7:29,2567,Official TV Timeout,48,57
7:15,399,David Nichols missed Jumper.,48,57
7:15,2567,Sterling Brown Defensive Rebound.,48,57
6:58,399,Foul on Marqueese Grayson.,48,57
6:58,2567,Official TV Timeout,48,57
6:58,2567,Sterling Brown missed Free Throw.,48,57
6:58,2567,SMU Deadball Team Rebound.,48,57
6:58,2567,Sterling Brown made Free Throw.,48,58
6:44,399,David Nichols missed Three Point Jumper.,48,58
6:44,399,Mike Rowley Offensive Rebound.,48,58
6:27,399,David Nichols Turnover.,48,58
6:27,399,Foul on David Nichols.,48,58
6:10,2567,Ben Moore made Dunk. Assisted by Semi Ojeleye.,48,60
5:52,399,David Nichols missed Jumper.,48,60
5:52,2567,Ben Moore Defensive Rebound.,48,60
5:34,2567,Shake Milton made Three Point Jumper. Assisted by Ben Emelogu II.,48,63
5:22,399,Albany  Timeout,48,63
5:13,399,David Nichols Turnover.,48,63
5:12,2567,Sterling Brown Steal.,48,63
4:47,2567,Semi Ojeleye missed Layup.,48,63
4:47,399,Albany Defensive Rebound.,48,63
4:22,399,Travis Charles made Jumper. Assisted by Dallas Ennema.,50,63
3:53,2567,Ben Emelogu II Turnover.,50,63
3:53,2567,Foul on Ben Emelogu II.,50,63
3:53,2567,Official TV Timeout,50,63
3:28,399,Dallas Ennema missed Jumper.,50,63
3:28,399,Albany Offensive Rebound.,50,63
3:08,2567,Foul on Semi Ojeleye.,50,63
3:08,399,Marqueese Grayson made Free Throw.,51,63
3:08,399,Marqueese Grayson missed Free Throw.,51,63
3:08,2567,Jarrey Foster Defensive Rebound.,51,63
2:52,2567,Sterling Brown made Jumper. Assisted by Semi Ojeleye.,51,65
2:27,399,Mike Rowley made Layup. Assisted by Marqueese Grayson.,53,65
1:59,2567,Ben Moore made Layup. Assisted by Sterling Brown.,53,67
1:45,399,Marqueese Grayson missed Three Point Jumper.,53,67
1:45,2567,Semi Ojeleye Defensive Rebound.,53,67
1:12,399,Foul on Mike Rowley.,53,67
1:12,2567,Semi Ojeleye made Free Throw.,53,68
1:12,2567,Semi Ojeleye made Free Throw.,53,69
1:12,2567,Semi Ojeleye made Free Throw.,53,70
1:00,399,Travis Charles missed Jumper.,53,70
1:00,2567,Jarrey Foster Defensive Rebound.,53,70
0:50,2567,SMU  Timeout,53,70
0:36,399,Foul on Travis Charles.,53,70
0:36,2567,Leo Kontopoulos missed Free Throw.,53,70
0:36,2567,SMU Deadball Team Rebound.,53,70
0:36,2567,Leo Kontopoulos made Free Throw.,53,71
0:31,399,Joe Cremo missed Three Point Jumper.,53,71
0:31,399,Travis Charles Offensive Rebound.,53,71
0:21,399,Joe Cremo missed Three Point Jumper.,53,71
0:21,2567,Jonathan Wilfong Defensive Rebound.,53,71
0:00,2567,End of Game,53,71
