Maine,2507,Providence,311
18:09,2507,Rodney Bullock Turnover.,29,43
18:07,311,Danny Evans Steal.,29,43
18:04,311,Danny Evans Turnover.,29,43
18:03,2507,Kyron Cartwright Steal.,29,43
17:40,2507,Kyron Cartwright missed Three Point Jumper.,29,43
17:40,2507,Kyron Cartwright Offensive Rebound.,29,43
17:37,2507,Kyron Cartwright made Layup.,29,45
17:25,311,Austin Howard missed Three Point Jumper.,29,45
17:25,2507,Kyron Cartwright Defensive Rebound.,29,45
17:16,311,Foul on Andrew Fleming.,29,45
17:16,2507,Isaiah Jackson made Free Throw.,29,46
17:16,2507,Isaiah Jackson made Free Throw.,29,47
17:05,2507,Foul on Rodney Bullock.,29,47
16:57,311,Andrew Fleming missed Layup.,29,47
16:57,2507,Jalen Lindsey Defensive Rebound.,29,47
16:32,2507,Isaiah Jackson Turnover.,29,47
16:31,311,Marko Pirovic Steal.,29,47
16:29,311,Wesley Myers made Layup. Assisted by Marko Pirovic.,31,47
16:11,2507,Isaiah Jackson missed Three Point Jumper.,31,47
16:11,311,Andrew Fleming Defensive Rebound.,31,47
15:57,311,Austin Howard missed Layup.,31,47
15:57,2507,Rodney Bullock Defensive Rebound.,31,47
15:48,2507,Rodney Bullock missed Three Point Jumper.,31,47
15:48,2507,Emmitt Holt Offensive Rebound.,31,47
15:44,2507,Emmitt Holt made Layup.,31,49
15:44,311,Foul on Andrew Fleming.,31,49
15:44,2507,Official TV Timeout,31,49
15:44,2507,Emmitt Holt made Free Throw.,31,50
15:21,2507,Foul on Jalen Lindsey.,31,50
15:21,311,Vincent Eze missed Free Throw.,31,50
15:21,311,Maine Deadball Team Rebound.,31,50
15:21,311,Vincent Eze missed Free Throw.,31,50
15:21,2507,Emmitt Holt Defensive Rebound.,31,50
15:09,2507,Emmitt Holt made Layup.,31,52
14:48,311,Dennis Ashley missed Three Point Jumper.,31,52
14:48,2507,Jalen Lindsey Defensive Rebound.,31,52
14:39,2507,Kyron Cartwright missed Layup.,31,52
14:39,2507,Emmitt Holt Offensive Rebound.,31,52
14:37,311,Foul on Dennis Ashley.,31,52
14:24,311,Foul on Dennis Ashley.,31,52
14:24,2507,Jalen Lindsey made Free Throw.,31,53
14:24,2507,Jalen Lindsey made Free Throw.,31,54
13:57,311,Dennis Ashley made Layup.,33,54
13:41,2507,Emmitt Holt missed Jumper.,33,54
13:41,2507,Jalen Lindsey Offensive Rebound.,33,54
13:39,311,Foul on Vincent Eze.,33,54
13:39,2507,Jalen Lindsey made Free Throw.,33,55
13:39,2507,Jalen Lindsey missed Free Throw.,33,55
13:39,311,Jaquan McKennon Defensive Rebound.,33,55
13:32,311,Jaquan McKennon made Layup.,35,55
13:32,2507,Foul on Kyron Cartwright.,35,55
13:32,311,Jaquan McKennon made Free Throw.,36,55
13:13,2507,Rodney Bullock missed Three Point Jumper.,36,55
13:13,2507,Jalen Lindsey Offensive Rebound.,36,55
13:09,311,Foul on Wesley Myers.,36,55
13:09,2507,Jalen Lindsey made Free Throw.,36,56
13:09,2507,Jalen Lindsey made Free Throw.,36,57
12:49,311,Jaquan McKennon made Jumper.,38,57
12:27,2507,Rodney Bullock made Layup.,38,59
12:08,311,Dennis Ashley missed Three Point Jumper.,38,59
12:08,311,Marko Pirovic Offensive Rebound.,38,59
12:02,311,Marko Pirovic missed Jumper.,38,59
12:02,2507,Ryan Fazekas Defensive Rebound.,38,59
11:52,2507,Ryan Fazekas made Three Point Jumper. Assisted by Emmitt Holt.,38,62
11:33,2507,Foul on Emmitt Holt.,38,62
11:33,2507,Official TV Timeout,38,62
11:28,311,Marko Pirovic missed Layup.,38,62
11:28,311,Marko Pirovic Offensive Rebound.,38,62
11:25,311,Marko Pirovic missed Two Point Tip Shot.,38,62
11:25,2507,Alpha Diallo Defensive Rebound.,38,62
11:17,2507,Maliek White made Three Point Jumper. Assisted by Kalif Young.,38,65
10:49,311,Wesley Myers missed Three Point Jumper.,38,65
10:49,311,Marko Pirovic Offensive Rebound.,38,65
10:46,2507,Foul on Ryan Fazekas.,38,65
10:45,311,Austin Howard made Layup. Assisted by Jaquan McKennon.,40,65
10:20,2507,Jalen Lindsey missed Three Point Jumper.,40,65
10:20,311,Maine Defensive Rebound.,40,65
10:05,311,Wesley Myers Turnover.,40,65
9:47,2507,Alpha Diallo Turnover.,40,65
9:46,311,Austin Howard Steal.,40,65
9:37,311,Jaquan McKennon Turnover.,40,65
9:36,2507,Alpha Diallo Steal.,40,65
9:32,2507,Maliek White missed Three Point Jumper.,40,65
9:32,311,Vincent Eze Defensive Rebound.,40,65
9:14,311,Danny Evans missed Three Point Jumper.,40,65
9:14,311,Jaquan McKennon Offensive Rebound.,40,65
9:08,311,Jaquan McKennon made Jumper.,42,65
8:58,2507,Alpha Diallo missed Three Point Jumper.,42,65
8:58,2507,Kalif Young Offensive Rebound.,42,65
8:54,2507,Kalif Young made Two Point Tip Shot.,42,67
8:45,311,Austin Howard made Three Point Jumper. Assisted by Danny Evans.,45,67
8:37,2507,Kalif Young made Layup. Assisted by Maliek White.,45,69
8:20,311,Ryan Bernstein missed Jumper.,45,69
8:20,2507,Drew Edwards Defensive Rebound.,45,69
8:10,2507,Maliek White Turnover.,45,69
7:54,2507,Foul on Kalif Young.,45,69
7:54,2507,Official TV Timeout,45,69
7:54,311,Andrew Fleming made Free Throw.,46,69
7:54,311,Andrew Fleming missed Free Throw.,46,69
7:54,2507,Rodney Bullock Defensive Rebound.,46,69
7:42,2507,Rodney Bullock missed Jumper.,46,69
7:42,311,Ilija Stojiljkovic Defensive Rebound.,46,69
7:35,311,Ilija Stojiljkovic Turnover.,46,69
7:22,2507,Rodney Bullock missed Three Point Jumper.,46,69
7:22,311,Andrew Fleming Defensive Rebound.,46,69
7:12,311,Austin Howard made Layup.,48,69
6:51,2507,Rodney Bullock missed Three Point Jumper.,48,69
6:51,311,Andrew Fleming Defensive Rebound.,48,69
6:28,2507,Foul on Emmitt Holt.,48,69
6:28,311,Vincent Eze made Free Throw.,49,69
6:28,311,Vincent Eze missed Free Throw.,49,69
6:28,2507,Jalen Lindsey Defensive Rebound.,49,69
6:15,311,Foul on Vincent Eze.,49,69
6:15,2507,Drew Edwards made Free Throw.,49,70
6:15,2507,Drew Edwards made Free Throw.,49,71
5:52,311,Wesley Myers missed Jumper.,49,71
5:52,311,Wesley Myers Offensive Rebound.,49,71
5:47,311,Vincent Eze made Jumper.,51,71
5:25,2507,Emmitt Holt made Layup. Assisted by Maliek White.,51,73
5:14,311,Wesley Myers missed Three Point Jumper.,51,73
5:14,2507,Kyron Cartwright Defensive Rebound.,51,73
5:08,2507,Kyron Cartwright missed Jumper.,51,73
5:08,311,Andrew Fleming Defensive Rebound.,51,73
4:46,311,Andrew Fleming made Three Point Jumper. Assisted by Dennis Ashley.,54,73
4:29,311,Foul on Vincent Eze.,54,73
4:29,2507,Emmitt Holt made Free Throw.,54,74
4:29,2507,Emmitt Holt missed Free Throw.,54,74
4:29,311,Andrew Fleming Defensive Rebound.,54,74
4:20,311,Jaquan McKennon missed Layup.,54,74
4:20,2507,Emmitt Holt Defensive Rebound.,54,74
4:06,2507,Alpha Diallo missed Jumper.,54,74
4:06,311,Vincent Eze Defensive Rebound.,54,74
3:58,311,Jaquan McKennon Turnover.,54,74
3:57,2507,Maliek White Steal.,54,74
3:55,311,Foul on Jaquan McKennon.,54,74
3:55,2507,Official TV Timeout,54,74
3:55,2507,Maliek White missed Free Throw.,54,74
3:55,2507,Providence Deadball Team Rebound.,54,74
3:55,2507,Maliek White missed Free Throw.,54,74
3:55,311,Danny Evans Defensive Rebound.,54,74
3:38,311,Jaquan McKennon Turnover.,54,74
3:17,2507,Jalen Lindsey missed Three Point Jumper.,54,74
3:17,311,Vincent Eze Defensive Rebound.,54,74
3:02,311,Dennis Ashley missed Three Point Jumper.,54,74
3:02,2507,Maliek White Defensive Rebound.,54,74
2:40,2507,Kyron Cartwright missed Jumper.,54,74
2:40,311,Vincent Eze Defensive Rebound.,54,74
2:29,311,Maine  Timeout,54,74
2:28,311,Andrew Fleming Turnover.,54,74
2:26,2507,Maliek White Steal.,54,74
1:58,2507,Kalif Young made Layup. Assisted by Maliek White.,54,76
1:51,311,Danny Evans Turnover.,54,76
1:37,2507,Ryan Fazekas missed Three Point Jumper.,54,76
1:37,311,Danny Evans Defensive Rebound.,54,76
1:24,311,Dennis Ashley made Three Point Jumper. Assisted by Andrew Fleming.,57,76
0:52,2507,Ryan Fazekas made Three Point Jumper.,57,79
0:35,311,Andrew Fleming made Dunk.,59,79
0:18,2507,Jalen Lindsey missed Three Point Jumper.,59,79
0:18,311,Andrew Fleming Defensive Rebound.,59,79
0:06,311,Dennis Ashley missed Three Point Jumper.,59,79
0:06,2507,Maliek White Defensive Rebound.,59,79
0:00,2507,End of Game,59,79
