Centenary,Error,UL Monroe,2433
6:14,2433,Brandon Newman Defensive Rebound.,22,30
5:58,2113,Foul on Kaharri Carter.,22,30
5:58,2433,Travis Munnings missed Free Throw.,22,30
5:58,2433,Sam McDaniel Offensive Rebound.,22,30
5:56,2433,Sam McDaniel made Layup.,22,32
5:43,2113,Treylan Matthews missed Jumper.,22,32
5:43,2433,Travis Munnings Defensive Rebound.,22,32
5:25,2433,Marvin Jean-Pierre made Layup.,22,34
5:23,2113,Centenary  Timeout,22,34
4:59,2113,Regis Johnson missed Layup.,22,34
4:59,2433,Travis Munnings Defensive Rebound.,22,34
4:46,2433,Brandon Newman made Three Point Jumper. Assisted by Jordon Harris.,22,37
4:30,2113,Kaharri Carter missed Three Point Jumper.,22,37
4:30,2433,Sam McDaniel Defensive Rebound.,22,37
4:19,2433,Travis Munnings missed Three Point Jumper.,22,37
4:19,2113,Treylan Matthews Defensive Rebound.,22,37
3:52,2113,Treylan Matthews Turnover.,22,37
3:52,2433,Jordon Harris Steal.,22,37
3:49,2433,Jordon Harris made Layup. Assisted by Brandon Newman.,22,39
3:49,2433,UL Monroe  Timeout,22,39
3:49,2433,Official TV Timeout,22,39
3:34,2113,Dyllon Weaver missed Three Point Jumper.,22,39
3:34,2113,Centenary Offensive Rebound.,22,39
3:09,2113,Treylan Matthews Turnover.,22,39
3:07,2433,Travis Munnings Steal.,22,39
3:06,2433,Travis Munnings made Dunk.,22,41
2:41,2113,Cedric Harris missed Layup.,22,41
2:41,2113,Cedric Harris Offensive Rebound.,22,41
2:39,2113,Cedric Harris made Two Point Tip Shot.,24,41
2:27,2433,Brandon Newman made Three Point Jumper. Assisted by Sam McDaniel.,24,44
2:05,2433,Foul on Jordon Harris.,24,44
2:00,2433,Foul on Sam Alabakis.,24,44
2:00,2113,KJ Bilbo made Free Throw.,25,44
2:00,2113,KJ Bilbo missed Free Throw.,25,44
2:00,2433,Travis Munnings Defensive Rebound.,25,44
1:45,2433,Sam Alabakis missed Layup.,25,44
1:45,2113,Dyllon Weaver Defensive Rebound.,25,44
1:21,2433,Foul on Jordon Harris.,25,44
1:14,2433,Foul on Travis Munnings.,25,44
1:14,2113,Cedric Harris missed Free Throw.,25,44
1:14,2433,Travis Munnings Defensive Rebound.,25,44
0:59,2433,Travis Munnings Turnover.,25,44
0:57,2113,Treylan Matthews Steal.,25,44
0:55,2113,Dyllon Weaver missed Layup.,25,44
0:55,2433,Michael Ertel Defensive Rebound.,25,44
0:47,2433,Sam McDaniel made Three Point Jumper.,25,47
0:16,2113,Treylan Matthews made Layup.,27,47
0:03,2433,Sam McDaniel missed Three Point Jumper.,27,47
0:03,2113,Jericho Gray Defensive Rebound.,27,47
0:00,2433,End of 1st half,27,47
19:41,2113,Travion Kirkendoll missed Jumper.,27,47
19:41,2113,Travion Kirkendoll Offensive Rebound.,27,47
19:39,2113,Travion Kirkendoll made Jumper.,29,47
19:29,2433,Marvin Jean-Pierre missed Jumper.,29,47
19:29,2433,Marvin Jean-Pierre Offensive Rebound.,29,47
19:26,2433,Marvin Jean-Pierre missed Layup.,29,47
19:26,2113,Mitchell Tarantolo Block.,29,47
19:25,2113,Mitchell Tarantolo Defensive Rebound.,29,47
19:12,2113,Jericho Gray missed Three Point Jumper.,29,47
19:12,2433,Travis Munnings Defensive Rebound.,29,47
19:00,2113,Foul on Cedric Harris.,29,47
19:00,2433,Sam McDaniel made Free Throw.,29,48
19:00,2433,Sam McDaniel made Free Throw.,29,49
18:48,2113,Jericho Gray Turnover.,29,49
18:20,2433,Jordon Harris made Layup. Assisted by Travis Munnings.,29,51
18:01,2113,Mitchell Tarantolo Turnover.,29,51
17:36,2433,Michael Ertel made Jumper.,29,53
17:20,2113,Travion Kirkendoll missed Three Point Jumper.,29,53
17:20,2433,Travis Munnings Defensive Rebound.,29,53
17:13,2113,Foul on Travion Kirkendoll.,29,53
17:13,2433,Sam McDaniel made Free Throw.,29,54
17:13,2433,Sam McDaniel made Free Throw.,29,55
16:57,2113,Kaharri Carter missed Layup.,29,55
16:57,2433,Sam McDaniel Block.,29,55
16:56,2113,Centenary Offensive Rebound.,29,55
16:43,2113,Treylan Matthews missed Layup.,29,55
16:43,2433,Travis Munnings Defensive Rebound.,29,55
16:31,2433,Travis Munnings made Layup. Assisted by Marvin Jean-Pierre.,29,57
16:28,2113,Centenary  Timeout,29,57
16:28,2433,Official TV Timeout,29,57
16:10,2113,Cedric Harris missed Jumper.,29,57
16:10,2433,Brandon Newman Defensive Rebound.,29,57
15:51,2433,Official TV Timeout,29,57
15:45,2433,Lance Richard missed Three Point Jumper.,29,57
15:45,2113,Centenary Defensive Rebound.,29,57
15:32,2113,Cedric Harris missed Jumper.,29,57
15:32,2433,Calvin Anderson Defensive Rebound.,29,57
15:13,2433,Brandon Newman made Layup. Assisted by Roderick Taylor.,29,59
14:54,2113,Cedric Harris missed Three Point Jumper.,29,59
14:54,2113,Kaharri Carter Offensive Rebound.,29,59
14:44,2113,Travion Kirkendoll made Layup.,31,59
14:20,2433,Foul on Calvin Anderson.,31,59
14:20,2433,Calvin Anderson Turnover.,31,59
14:02,2113,Cedric Harris made Jumper.,33,59
13:48,2433,Donovan Walker Turnover.,33,59
13:48,2113,Raylon Hardy Steal.,33,59
13:43,2113,Travion Kirkendoll made Layup.,35,59
13:14,2433,Brandon Newman missed Layup.,35,59
13:14,2433,Brandon Newman Offensive Rebound.,35,59
13:12,2433,Brandon Newman missed Layup.,35,59
13:12,2113,Cedric Harris Defensive Rebound.,35,59
13:04,2113,Cedric Harris missed Three Point Jumper.,35,59
13:04,2433,Donovan Walker Defensive Rebound.,35,59
12:49,2433,Calvin Anderson missed Three Point Jumper.,35,59
12:49,2113,Dyllon Weaver Defensive Rebound.,35,59
12:29,2113,Travion Kirkendoll missed Three Point Jumper.,35,59
12:29,2113,Travion Kirkendoll Offensive Rebound.,35,59
12:26,2113,Travion Kirkendoll missed Layup.,35,59
12:26,2433,Calvin Anderson Defensive Rebound.,35,59
12:06,2433,Calvin Anderson Turnover.,35,59
12:04,2113,Dyllon Weaver Steal.,35,59
11:58,2113,Jericho Gray missed Three Point Jumper.,35,59
11:58,2433,Brandon Newman Defensive Rebound.,35,59
11:39,2433,Roderick Taylor missed Layup.,35,59
11:39,2113,Dyllon Weaver Defensive Rebound.,35,59
11:23,2113,Cedric Harris made Jumper.,37,59
11:06,2433,Roderick Taylor Turnover.,37,59
11:06,2433,Official TV Timeout,37,59
10:44,2433,Foul on Calvin Anderson.,37,59
10:44,2113,Treylan Matthews made Free Throw.,38,59
10:44,2113,Treylan Matthews missed Free Throw.,38,59
10:44,2113,Centenary Deadball Team Rebound.,38,59
10:44,2113,Treylan Matthews made Free Throw.,39,59
10:15,2433,Donovan Walker Turnover.,39,59
9:53,2113,Dyllon Weaver missed Jumper.,39,59
9:53,2433,Brandon Newman Defensive Rebound.,39,59
9:37,2433,Sam McDaniel missed Three Point Jumper.,39,59
9:37,2113,Jericho Gray Defensive Rebound.,39,59
9:16,2113,James Helzer missed Jumper.,39,59
9:16,2433,Brandon Newman Defensive Rebound.,39,59
8:48,2433,Donovan Walker missed Jumper.,39,59
8:48,2113,Jericho Gray Defensive Rebound.,39,59
8:36,2113,Dyllon Weaver Turnover.,39,59
8:35,2433,Travis Munnings Steal.,39,59
8:31,2433,Marvin Jean-Pierre missed Layup.,39,59
8:31,2433,Travis Munnings Offensive Rebound.,39,59
8:29,2433,Travis Munnings missed Layup.,39,59
8:29,2433,Travis Munnings Offensive Rebound.,39,59
8:10,2113,Foul on James Helzer.,39,59
8:10,2433,Travis Munnings missed Free Throw.,39,59
8:10,2433,UL Monroe Deadball Team Rebound.,39,59
8:10,2433,Travis Munnings made Free Throw.,39,60
7:55,2433,Foul on Marvin Jean-Pierre.,39,60
7:55,2433,Official TV Timeout,39,60
7:55,2113,Travion Kirkendoll made Free Throw.,40,60
7:55,2113,Travion Kirkendoll made Free Throw.,41,60
7:43,2433,Travis Munnings made Layup. Assisted by Marvin Jean-Pierre.,41,62
7:22,2113,James Helzer made Jumper. Assisted by Raylon Hardy.,43,62
7:04,2433,Michael Ertel made Layup. Assisted by Jordon Harris.,43,64
6:34,2113,Travion Kirkendoll made Three Point Jumper.,46,64
6:09,2113,Foul on James Helzer.,46,64
6:09,2433,Marvin Jean-Pierre made Free Throw.,46,65
6:09,2433,Marvin Jean-Pierre made Free Throw.,46,66
5:53,2113,Cedric Harris missed Jumper.,46,66
5:53,2433,Travis Munnings Defensive Rebound.,46,66
5:47,2433,Sam McDaniel missed Jumper.,46,66
5:47,2113,Cedric Harris Defensive Rebound.,46,66
5:35,2113,Raylon Hardy made Layup.,48,66
5:11,2433,Jordon Harris missed Three Point Jumper.,48,66
5:11,2113,James Helzer Defensive Rebound.,48,66
4:42,2113,Travion Kirkendoll missed Three Point Jumper.,48,66
4:42,2113,Travion Kirkendoll Offensive Rebound.,48,66
4:40,2113,Travion Kirkendoll missed Jumper.,48,66
4:40,2433,Michael Ertel Defensive Rebound.,48,66
4:19,2433,Michael Ertel made Layup.,48,68
3:59,2113,James Helzer Turnover.,48,68
3:58,2433,Michael Ertel Steal.,48,68
3:55,2433,Marvin Jean-Pierre made Dunk. Assisted by Michael Ertel.,48,70
3:48,2113,Centenary  Timeout,48,70
3:48,2433,Official TV Timeout,48,70
3:27,2113,Dyllon Weaver missed Three Point Jumper.,48,70
3:27,2433,Travis Munnings Defensive Rebound.,48,70
2:56,2433,Marvin Jean-Pierre missed Three Point Jumper.,48,70
2:56,2113,Treylan Matthews Defensive Rebound.,48,70
2:46,2433,Foul on Brandon Newman.,48,70
2:46,2113,Travion Kirkendoll missed Free Throw.,48,70
2:46,2113,Centenary Deadball Team Rebound.,48,70
2:46,2113,Travion Kirkendoll missed Free Throw.,48,70
2:46,2113,Foul on KJ Bilbo.,48,70
2:46,2433,UL Monroe Deadball Team Rebound.,48,70
2:34,2433,Michael Ertel made Jumper.,48,72
2:15,2113,KJ Bilbo made Three Point Jumper. Assisted by Travion Kirkendoll.,51,72
1:42,2433,Lance Richard missed Three Point Jumper.,51,72
1:42,2113,Cedric Harris Defensive Rebound.,51,72
1:17,2113,Treylan Matthews missed Three Point Jumper.,51,72
1:17,2433,Michael Ertel Defensive Rebound.,51,72
0:58,2433,Travis Munnings missed Jumper.,51,72
0:58,2113,Cedric Harris Block.,51,72
0:56,2113,Travion Kirkendoll Defensive Rebound.,51,72
0:50,2113,Travion Kirkendoll missed Layup.,51,72
0:50,2433,Travis Munnings Defensive Rebound.,51,72
0:44,2433,Travis Munnings made Dunk.,51,74
0:24,2113,Cedric Harris missed Three Point Jumper.,51,74
0:24,2433,Michael Ertel Defensive Rebound.,51,74
0:00,2433,End of Game,51,74
