Evansville,150,Duke,339
12:17,339,Noah Frederking Defensive Rebound.,27,80
12:08,339,Marty Hill Turnover.,27,80
12:08,150,Jordan Goldwire Steal.,27,80
12:05,150,Jordan Goldwire made Layup.,27,82
11:47,339,Marty Hill missed Jumper.,27,82
11:47,150,Wendell Carter Jr Defensive Rebound.,27,82
11:42,150,Official TV Timeout,27,82
11:25,150,Wendell Carter Jr missed Jumper.,27,82
11:25,339,K.J. Riley Defensive Rebound.,27,82
11:14,150,Foul on Jordan Goldwire.,27,82
11:14,339,K.J. Riley made Free Throw.,28,82
11:14,339,K.J. Riley made Free Throw.,29,82
10:58,150,Grayson Allen missed Three Point Jumper.,29,82
10:58,339,Evansville Defensive Rebound.,29,82
10:43,339,Dainius Chatkevicius made Layup. Assisted by K.J. Riley.,31,82
10:29,150,Grayson Allen made Three Point Jumper. Assisted by Justin Robinson.,31,85
10:13,339,K.J. Riley Turnover.,31,85
10:13,150,Jack White Steal.,31,85
10:09,150,Jack White made Dunk.,31,87
9:45,150,Foul on Jordan Goldwire.,31,87
9:43,150,Foul on Antonio Vrankovic.,31,87
9:39,339,John Hall made Layup.,33,87
9:27,150,Trevon Duval missed Layup.,33,87
9:27,339,Noah Frederking Defensive Rebound.,33,87
9:15,339,John Hall missed Jumper.,33,87
9:15,339,Evansville Offensive Rebound.,33,87
9:02,339,Marty Hill missed Jumper.,33,87
9:02,339,Marty Hill Offensive Rebound.,33,87
8:46,339,Blake Simmons missed Three Point Jumper.,33,87
8:46,150,Jack White Defensive Rebound.,33,87
8:33,150,Marvin Bagley III made Jumper.,33,89
7:59,339,Dainius Chatkevicius missed Layup.,33,89
7:59,150,Antonio Vrankovic Block.,33,89
7:59,150,Jack White Defensive Rebound.,33,89
7:37,150,Marvin Bagley III missed Three Point Jumper.,33,89
7:37,150,Jack White Offensive Rebound.,33,89
7:29,150,Marvin Bagley III made Layup. Assisted by Antonio Vrankovic.,33,91
6:57,339,Dainius Chatkevicius made Layup. Assisted by John Hall.,35,91
6:41,150,Trevon Duval missed Dunk.,35,91
6:41,150,Duke Offensive Rebound.,35,91
6:38,150,Official TV Timeout,35,91
6:36,150,Alex O'Connell missed Layup.,35,91
6:36,339,Marty Hill Defensive Rebound.,35,91
6:08,339,Marty Hill missed Jumper.,35,91
6:08,339,Dalen Traore Offensive Rebound.,35,91
6:03,339,Dalen Traore missed Layup.,35,91
6:03,150,Marques Bolden Block.,35,91
6:03,150,Marques Bolden Defensive Rebound.,35,91
5:44,150,Alex O'Connell made Three Point Jumper. Assisted by Antonio Vrankovic.,35,94
5:24,339,Evan Kuhlman missed Three Point Jumper.,35,94
5:24,150,Jack White Defensive Rebound.,35,94
5:12,150,Antonio Vrankovic made Jumper. Assisted by Jordan Goldwire.,35,96
4:44,339,K.J. Riley Turnover.,35,96
4:44,150,Jordan Goldwire Steal.,35,96
4:38,150,Alex O'Connell made Jumper.,35,98
4:26,339,Evansville  Timeout,35,98
4:07,339,Blake Simmons missed Jumper.,35,98
4:07,150,Justin Robinson Defensive Rebound.,35,98
3:48,150,Justin Robinson made Three Point Jumper. Assisted by Jack White.,35,101
3:20,339,Marty Hill missed Jumper.,35,101
3:20,150,Justin Robinson Defensive Rebound.,35,101
3:11,150,Justin Robinson made Three Point Jumper. Assisted by Jordan Goldwire.,35,104
2:36,339,K.J. Riley missed Jumper.,35,104
2:36,150,Marques Bolden Defensive Rebound.,35,104
2:06,150,Foul on Alex O'Connell.,35,104
2:06,150,Alex O'Connell Turnover.,35,104
1:45,339,Blake Simmons missed Jumper.,35,104
1:45,150,Mike Buckmire Defensive Rebound.,35,104
1:26,150,Justin Robinson missed Three Point Jumper.,35,104
1:26,339,Dainius Chatkevicius Defensive Rebound.,35,104
1:02,339,Noah Frederking made Three Point Jumper. Assisted by Blake Simmons.,38,104
0:30,150,Mike Buckmire missed Jumper.,38,104
0:30,339,Noah Frederking Defensive Rebound.,38,104
0:09,339,John Hall missed Jumper.,38,104
0:09,150,Justin Robinson Block.,38,104
0:09,339,Evansville Offensive Rebound.,38,104
0:08,150,Foul on Alex O'Connell.,38,104
0:08,339,Noah Frederking made Free Throw.,39,104
0:08,339,Noah Frederking made Free Throw.,40,104
0:00,150,End of Game,40,104
