Montana Tech,Error,Utah Valley,3084
3:30,-1,Foul on Trent Molesworth.,22,36
3:24,3084,Official TV Timeout,22,36
3:24,3084,Akolda Manyang made Free Throw.,22,37
3:24,3084,Akolda Manyang missed Free Throw.,22,37
3:24,-1,Carson Dummer Defensive Rebound.,22,37
3:08,-1,Dylan Pannabecker missed Layup.,22,37
3:01,-1,Montana Tech Offensive Rebound.,22,37
3:00,-1,Dylan Pannabecker Turnover.,22,37
2:39,3084,Akolda Manyang missed Jumper.,22,37
2:39,3084,Utah Valley Offensive Rebound.,22,37
2:37,-1,Foul on Dylan Pannabecker.,22,37
2:37,3084,Conner Toolson made Free Throw.,22,38
2:37,3084,Conner Toolson made Free Throw.,22,39
2:16,-1,Chris O'Neill Turnover.,22,39
2:10,3084,Akolda Manyang Steal.,22,39
2:06,-1,Foul on Dylan Pannabecker.,22,39
2:06,-1,Montana Tech  Timeout,22,39
2:06,3084,Conner Toolson made Free Throw.,22,40
2:06,3084,Conner Toolson made Free Throw.,22,41
2:06,3084,Conner Toolson made Free Throw.,22,42
1:45,-1,Chris O'Neill Turnover.,22,42
1:44,3084,Conner Toolson Steal.,22,42
1:42,3084,Brandon Randolph made Layup. Assisted by Kenneth Ogbe.,22,44
1:08,-1,Carson Dummer missed Jumper.,22,44
1:08,3084,Jake Toolson Defensive Rebound.,22,44
0:47,3084,Akolda Manyang Turnover.,22,44
0:43,-1,John Chapman Steal.,22,44
0:40,-1,Jake Miles made Three Point Jumper. Assisted by John Chapman.,25,44
0:14,3084,Kenneth Ogbe made Three Point Jumper. Assisted by Jake Toolson.,25,47
0:03,-1,Jake Miles missed Three Point Jumper.,25,47
0:00,3084,Utah Valley Deadball Team Rebound.,25,47
0:00,3084,End of 1st half,25,47
19:50,-1,John Chapman missed Three Point Jumper.,25,47
19:50,-1,Derrius Colins Offensive Rebound.,25,47
19:45,-1,Derrius Colins made Layup.,27,47
19:20,-1,Foul on Taylor England.,27,47
19:18,-1,Foul on Taylor England.,27,47
19:13,3084,Conner Toolson made Layup. Assisted by Jake Toolson.,27,49
18:51,3084,Foul on Brandon Randolph.,27,49
18:34,-1,Chris O'Neill missed Three Point Jumper.,27,49
18:06,3084,Conner Toolson Defensive Rebound.,27,49
17:57,-1,Foul on Chris O'Neill.,27,49
17:57,3084,Jake Toolson made Free Throw.,27,50
17:57,3084,Jake Toolson made Free Throw.,27,51
17:45,-1,Taylor England Turnover.,27,51
17:44,3084,Jake Toolson Steal.,27,51
17:43,3084,Jake Toolson missed Layup.,27,51
17:43,-1,Taylor England Block.,27,51
17:40,-1,Jake Miles Defensive Rebound.,27,51
17:36,-1,Derrius Colins missed Layup.,27,51
17:36,3084,Jake Toolson Defensive Rebound.,27,51
17:27,3084,Kenneth Ogbe missed Layup.,27,51
17:27,3084,Brandon Randolph Offensive Rebound.,27,51
17:22,3084,Kenneth Ogbe made Layup. Assisted by Brandon Randolph.,27,53
16:56,-1,Dylan Pannabecker made Layup.,29,53
16:47,3084,Akolda Manyang missed Layup.,29,53
16:47,-1,Jake Miles Defensive Rebound.,29,53
16:31,-1,Derrius Colins Turnover.,29,53
16:15,3084,Akolda Manyang missed Jumper.,29,53
16:15,-1,John Chapman Defensive Rebound.,29,53
16:03,-1,Dylan Pannabecker Turnover.,29,53
16:02,3084,Brandon Randolph Steal.,29,53
16:00,3084,Official TV Timeout,29,53
16:00,3084,Brandon Randolph made Free Throw.,29,54
16:00,3084,Brandon Randolph made Free Throw.,29,55
15:58,-1,Foul on Chris O'Neill.,29,55
15:46,-1,Derrius Colins missed Three Point Jumper.,29,55
15:46,3084,Conner Toolson Defensive Rebound.,29,55
15:27,3084,Kenneth Ogbe made Layup.,29,57
14:56,-1,Chris O'Neill missed Jumper.,29,57
14:56,3084,Brandon Randolph Defensive Rebound.,29,57
14:49,3084,Brandon Randolph missed Layup.,29,57
14:49,3084,Akolda Manyang Offensive Rebound.,29,57
14:46,3084,Akolda Manyang missed Two Point Tip Shot.,29,57
14:46,3084,Brandon Randolph Offensive Rebound.,29,57
14:44,3084,Brandon Randolph made Layup.,29,59
14:32,-1,Carson Dummer Turnover.,29,59
14:31,3084,Jake Toolson Steal.,29,59
14:28,3084,Jake Toolson made Dunk.,29,61
14:17,-1,Montana Tech  Timeout,29,61
14:05,-1,John Chapman missed Three Point Jumper.,29,61
14:05,3084,Zach Nelson Defensive Rebound.,29,61
13:47,3084,Ben Nakwaasah Turnover.,29,61
13:46,-1,Chris O'Neill Steal.,29,61
13:39,-1,Chris O'Neill made Layup.,31,61
13:39,3084,Foul on Ben Nakwaasah.,31,61
13:39,-1,Chris O'Neill missed Free Throw.,31,61
13:39,3084,Isaac Neilson Defensive Rebound.,31,61
13:22,3084,Foul on Zach Nelson.,31,61
13:22,3084,Zach Nelson Turnover.,31,61
13:04,-1,Nick Fitts missed Three Point Jumper.,31,61
13:04,3084,Ben Nakwaasah Defensive Rebound.,31,61
12:58,-1,Foul on Trent Molesworth.,31,61
12:42,3084,Isaac Neilson made Layup. Assisted by Zach Nelson.,31,63
12:21,-1,Jake Miles missed Three Point Jumper.,31,63
12:21,3084,Cory Calvert Defensive Rebound.,31,63
12:14,3084,Ben Nakwaasah missed Layup.,31,63
12:14,-1,Nick Fitts Defensive Rebound.,31,63
12:05,-1,John Chapman missed Three Point Jumper.,31,63
12:05,3084,Cory Calvert Defensive Rebound.,31,63
11:59,3084,Brandon Randolph made Layup. Assisted by Zach Nelson.,31,65
11:38,-1,Dylan Pannabecker made Layup.,33,65
11:03,3084,Brandon Randolph made Jumper.,33,67
10:54,3084,Official TV Timeout,33,67
10:49,-1,Nick Fitts Turnover.,33,67
10:49,-1,Foul on Nick Fitts.,33,67
10:42,3084,Zach Nelson Turnover.,33,67
10:35,-1,Taylor England missed Jumper.,33,67
10:35,3084,Isaac Neilson Block.,33,67
10:32,3084,Isaac Neilson Defensive Rebound.,33,67
10:21,3084,Ben Nakwaasah made Three Point Jumper. Assisted by Zach Nelson.,33,70
9:54,-1,John Chapman made Jumper. Assisted by Taylor England.,35,70
9:44,3084,Isaac Neilson missed Layup.,35,70
9:44,3084,Isaac Neilson Offensive Rebound.,35,70
9:42,3084,Isaac Neilson made Layup.,35,72
9:13,-1,John Chapman made Three Point Jumper.,38,72
8:52,3084,Isaac Neilson made Layup. Assisted by Ben Nakwaasah.,38,74
8:33,3084,Foul on Ben Nakwaasah.,38,74
8:08,-1,Kale Guldseth missed Three Point Jumper.,38,74
8:08,3084,Joonas Tahvanainen Defensive Rebound.,38,74
7:52,3084,Ben Nakwaasah missed Three Point Jumper.,38,74
7:52,-1,Chris O'Neill Defensive Rebound.,38,74
7:47,-1,Chris O'Neill missed Layup.,38,74
7:47,3084,Joonas Tahvanainen Defensive Rebound.,38,74
7:38,3084,Joonas Tahvanainen missed Layup.,38,74
7:38,-1,Taylor England Block.,38,74
7:35,3084,Joonas Tahvanainen Offensive Rebound.,38,74
7:35,-1,Foul on Kale Guldseth.,38,74
7:32,3084,Official TV Timeout,38,74
7:32,3084,Joonas Tahvanainen missed Free Throw.,38,74
7:32,3084,Isaac Neilson Offensive Rebound.,38,74
7:30,-1,Foul on Taylor England.,38,74
7:30,3084,Isaac Neilson made Free Throw.,38,75
7:30,3084,Isaac Neilson missed Free Throw.,38,75
7:30,-1,Carson Dummer Defensive Rebound.,38,75
7:05,-1,Carson Dummer missed Jumper.,38,75
7:05,3084,Mckay Johnson Defensive Rebound.,38,75
6:40,3084,Cory Calvert Turnover.,38,75
6:30,-1,Jake Miles made Three Point Jumper. Assisted by Chris O'Neill.,41,75
6:17,-1,Foul on Dylan Pannabecker.,41,75
6:17,3084,Daniel Nyman made Free Throw.,41,76
6:17,3084,Daniel Nyman made Free Throw.,41,77
5:50,3084,Foul on Joonas Tahvanainen.,41,77
5:48,3084,Foul on Isaac Neilson.,41,77
5:48,-1,Carson Dummer made Free Throw.,42,77
5:48,-1,Carson Dummer made Free Throw.,43,77
5:18,3084,Cory Calvert made Layup.,43,79
4:55,-1,Jake Miles made Three Point Jumper. Assisted by Kale Guldseth.,46,79
4:40,3084,Cory Calvert missed Jumper.,46,79
4:40,3084,Joonas Tahvanainen Offensive Rebound.,46,79
4:36,3084,Joonas Tahvanainen made Two Point Tip Shot.,46,81
4:14,3084,Foul on Richard Harward.,46,81
4:14,-1,Carson Dummer made Free Throw.,47,81
4:14,-1,Carson Dummer missed Free Throw.,47,81
4:14,3084,Joonas Tahvanainen Defensive Rebound.,47,81
3:53,3084,Mckay Johnson Turnover.,47,81
3:52,3084,Official TV Timeout,47,81
3:31,-1,Derrius Colins missed Jumper.,47,81
3:31,3084,Daniel Nyman Defensive Rebound.,47,81
3:18,3084,Richard Harward missed Layup.,47,81
3:18,-1,Carson Dummer Defensive Rebound.,47,81
3:03,-1,Jake Miles made Three Point Jumper. Assisted by Carson Dummer.,50,81
2:34,3084,Daniel Nyman missed Three Point Jumper.,50,81
2:34,-1,Kale Guldseth Defensive Rebound.,50,81
2:11,-1,Nick Fitts missed Three Point Jumper.,50,81
2:11,-1,Montana Tech Offensive Rebound.,50,81
1:59,3084,Foul on Mckay Johnson.,50,81
1:59,-1,Jake Miles made Free Throw.,51,81
1:59,-1,Jake Miles made Free Throw.,52,81
1:47,3084,Foul on Daniel Nyman.,52,81
1:47,3084,Daniel Nyman Turnover.,52,81
1:46,-1,Jake Miles missed Three Point Jumper.,52,81
1:46,3084,Cory Calvert Defensive Rebound.,52,81
1:07,3084,Mckay Johnson Turnover.,52,81
1:06,-1,Kale Guldseth Steal.,52,81
1:05,-1,Kale Guldseth made Layup.,54,81
0:44,3084,Cory Calvert missed Three Point Jumper.,54,81
0:44,3084,Joonas Tahvanainen Offensive Rebound.,54,81
0:39,-1,Foul on Nick Fitts.,54,81
0:39,3084,Joonas Tahvanainen made Free Throw.,54,82
0:39,3084,Joonas Tahvanainen missed Free Throw.,54,82
0:39,3084,Mckay Johnson Offensive Rebound.,54,82
0:21,3084,Richard Harward missed Layup.,54,82
0:21,3084,Richard Harward Offensive Rebound.,54,82
0:18,3084,Richard Harward made Layup.,54,84
0:00,-1,Kale Guldseth made Jumper. Assisted by Nick Fitts.,56,84
0:00,3084,End of Game,56,84
