Coppin State,277,West Virginia,2154
4:42,277,Chase Harler missed Layup.,17,24
4:42,277,West Virginia Offensive Rebound.,17,24
4:40,277,Maciej Bender missed Layup.,17,24
4:40,2154,Jordan Hardwick Block.,17,24
4:40,2154,Jordan Hardwick Defensive Rebound.,17,24
4:37,2154,Keandre Fair Turnover.,17,24
4:36,277,Teddy Allen Steal.,17,24
4:33,277,Teddy Allen made Three Point Jumper.,17,27
4:22,277,Foul on Jevon Carter.,17,27
4:22,2154,Karonn Davis missed Free Throw.,17,27
4:22,2154,Coppin State Deadball Team Rebound.,17,27
4:22,2154,Karonn Davis made Free Throw.,18,27
4:09,277,Logan Routt missed Layup.,18,27
4:09,2154,Jordan Hardwick Block.,18,27
4:08,277,Teddy Allen Offensive Rebound.,18,27
4:06,277,Teddy Allen made Layup.,18,29
3:47,2154,Lamar Morgan missed Three Point Jumper.,18,29
3:47,277,Chase Harler Defensive Rebound.,18,29
3:22,277,Teddy Allen missed Jumper.,18,29
3:22,277,Logan Routt Offensive Rebound.,18,29
3:19,277,Logan Routt missed Layup.,18,29
3:19,277,Logan Routt Offensive Rebound.,18,29
3:18,2154,Foul on Lamar Morgan.,18,29
3:18,277,Official TV Timeout,18,29
3:18,277,Logan Routt missed Free Throw.,18,29
3:18,277,West Virginia Deadball Team Rebound.,18,29
3:18,277,Logan Routt made Free Throw.,18,30
2:56,2154,Keandre Fair missed Three Point Jumper.,18,30
2:56,277,James Bolden Defensive Rebound.,18,30
2:49,277,Daxter Miles Jr. missed Three Point Jumper.,18,30
2:49,277,Teddy Allen Offensive Rebound.,18,30
2:44,277,Teddy Allen missed Layup.,18,30
2:44,277,Teddy Allen Offensive Rebound.,18,30
2:42,277,Teddy Allen made Layup.,18,32
2:24,2154,Tre' Thomas missed Layup.,18,32
2:24,277,James Bolden Defensive Rebound.,18,32
2:05,277,Daxter Miles Jr. missed Jumper.,18,32
2:05,277,Logan Routt Offensive Rebound.,18,32
2:00,277,James Bolden missed Three Point Jumper.,18,32
2:00,277,Teddy Allen Offensive Rebound.,18,32
1:58,2154,Foul on Karonn Davis.,18,32
1:58,277,Teddy Allen made Free Throw.,18,33
1:58,277,Teddy Allen missed Free Throw.,18,33
1:58,2154,Chad Andrews-Fulton Defensive Rebound.,18,33
1:48,2154,Karonn Davis missed Three Point Jumper.,18,33
1:48,277,Jevon Carter Defensive Rebound.,18,33
1:40,277,Teddy Allen Turnover.,18,33
1:21,2154,Karonn Davis missed Jumper.,18,33
1:21,277,Jevon Carter Defensive Rebound.,18,33
1:14,277,James Bolden missed Three Point Jumper.,18,33
1:14,277,Teddy Allen Offensive Rebound.,18,33
1:13,2154,Foul on Cedric Council Jr..,18,33
1:13,277,Teddy Allen made Free Throw.,18,34
1:13,277,Teddy Allen made Free Throw.,18,35
1:13,2154,Karonn Davis Turnover.,18,35
1:13,2154,Foul on Karonn Davis.,18,35
1:13,2154,Foul on Chad Andrews-Fulton.,18,35
1:13,2154,Technical Foul on Coppin State.,18,35
1:13,277,James Bolden made Free Throw.,18,36
1:13,277,James Bolden made Free Throw.,18,37
1:13,277,Logan Routt made Free Throw.,18,38
1:13,277,Logan Routt missed Free Throw.,18,38
1:13,2154,Jordan Hardwick Defensive Rebound.,18,38
0:58,2154,Lucian Brownlee Turnover.,18,38
0:47,277,Teddy Allen missed Jumper.,18,38
0:47,277,Logan Routt Offensive Rebound.,18,38
0:45,277,Logan Routt made Layup.,18,40
0:30,2154,Keandre Fair missed Layup.,18,40
0:30,277,Daxter Miles Jr. Defensive Rebound.,18,40
0:16,277,West Virginia  Timeout,18,40
0:02,277,Daxter Miles Jr. missed Jumper.,18,40
0:02,277,Teddy Allen Offensive Rebound.,18,40
0:00,277,Teddy Allen made Layup.,18,42
0:00,277,End of 1st half,18,40
19:48,2154,Coppin State  Timeout,18,42
19:48,2154,Lamar Morgan Turnover.,18,42
19:39,277,D'Angelo Hunter missed Three Point Jumper.,18,42
19:39,2154,Adam Traore Defensive Rebound.,18,42
19:21,2154,Adam Traore missed Layup.,18,42
19:21,2154,Coppin State Offensive Rebound.,18,42
19:09,2154,Cedric Council Jr. missed Layup.,18,42
19:09,277,Jevon Carter Defensive Rebound.,18,42
18:54,277,Teddy Allen missed Three Point Jumper.,18,42
18:54,2154,Adam Traore Defensive Rebound.,18,42
18:47,2154,Tre' Thomas made Three Point Jumper. Assisted by Adam Traore.,21,42
18:16,277,Teddy Allen made Layup.,21,44
17:56,277,Foul on Teddy Allen.,21,44
17:54,2154,Tre' Thomas missed Three Point Jumper.,21,44
17:54,277,Jevon Carter Defensive Rebound.,21,44
17:45,277,Daxter Miles Jr. made Three Point Jumper. Assisted by Jevon Carter.,21,47
17:18,2154,Tre' Thomas missed Three Point Jumper.,21,47
17:18,277,D'Angelo Hunter Defensive Rebound.,21,47
16:45,277,Teddy Allen missed Three Point Jumper.,21,47
16:45,2154,Lamar Morgan Defensive Rebound.,21,47
16:34,2154,Karonn Davis Turnover.,21,47
16:33,277,Daxter Miles Jr. Steal.,21,47
16:27,277,Daxter Miles Jr. missed Three Point Jumper.,21,47
16:27,277,Logan Routt Offensive Rebound.,21,47
16:23,2154,Foul on Karonn Davis.,21,47
16:23,2154,Technical Foul on Karonn Davis.,21,47
16:23,277,Daxter Miles Jr. missed Free Throw.,21,47
16:23,277,West Virginia Deadball Team Rebound.,21,47
16:23,277,Daxter Miles Jr. missed Free Throw.,21,47
16:23,277,West Virginia Deadball Team Rebound.,21,47
16:20,277,Daxter Miles Jr. missed Jumper.,21,47
16:20,2154,Keandre Fair Defensive Rebound.,21,47
16:02,277,Foul on Logan Routt.,21,47
16:02,2154,Tre' Thomas made Free Throw.,22,47
16:02,2154,Tre' Thomas made Free Throw.,23,47
15:45,277,D'Angelo Hunter missed Three Point Jumper.,23,47
15:45,277,Logan Routt Offensive Rebound.,23,47
15:30,277,Wesley Harris missed Jumper.,23,47
15:30,277,Jevon Carter Offensive Rebound.,23,47
15:26,2154,Foul on Chad Andrews-Fulton.,23,47
15:26,277,Official TV Timeout,23,47
15:26,277,Daxter Miles Jr. Turnover.,23,47
15:26,277,Foul on Daxter Miles Jr..,23,47
15:26,277,Foul on Jevon Carter.,23,47
15:19,2154,Tre' Thomas missed Layup.,23,47
15:19,277,Daxter Miles Jr. Defensive Rebound.,23,47
14:58,2154,Foul on Adam Traore.,23,47
14:58,277,Wesley Harris missed Free Throw.,23,47
14:58,277,West Virginia Deadball Team Rebound.,23,47
14:58,277,Wesley Harris made Free Throw.,23,48
14:35,2154,Lamar Morgan made Layup. Assisted by Keandre Fair.,25,48
14:21,2154,Foul on Jordan Hardwick.,25,48
14:06,277,Chase Harler made Jumper.,25,50
13:50,2154,Tre' Thomas Turnover.,25,50
13:22,277,Chase Harler missed Three Point Jumper.,25,50
13:22,2154,Lamar Morgan Defensive Rebound.,25,50
13:09,2154,Coppin State  Turnover.,25,50
12:43,2154,Foul on Lamar Morgan.,25,50
12:36,277,Daxter Miles Jr. made Three Point Jumper. Assisted by Jevon Carter.,25,53
12:23,2154,Karonn Davis Turnover.,25,53
12:08,277,Wesley Harris missed Three Point Jumper.,25,53
12:08,2154,Adam Traore Defensive Rebound.,25,53
12:01,2154,Karonn Davis Turnover.,25,53
11:43,277,Maciej Bender made Layup.,25,55
11:15,2154,Karonn Davis missed Jumper.,25,55
11:15,277,Wesley Harris Defensive Rebound.,25,55
10:57,277,Daxter Miles Jr. missed Three Point Jumper.,25,55
10:57,2154,Karonn Davis Defensive Rebound.,25,55
10:49,277,Official TV Timeout,25,55
10:49,2154,Adam Traore Turnover.,25,55
10:32,277,James Bolden missed Layup.,25,55
10:32,277,Maciej Bender Offensive Rebound.,25,55
10:28,277,Maciej Bender made Dunk.,25,57
10:24,2154,Karonn Davis Turnover.,25,57
10:23,277,Daxter Miles Jr. Steal.,25,57
10:07,2154,Foul on Adam Traore.,25,57
10:07,277,Maciej Bender missed Free Throw.,25,57
10:07,277,West Virginia Deadball Team Rebound.,25,57
10:07,277,Maciej Bender missed Free Throw.,25,57
10:07,2154,Jordan Hardwick Defensive Rebound.,25,57
10:07,277,Foul on Maciej Bender.,25,57
10:03,2154,Jordan Hardwick missed Dunk.,25,57
10:03,277,Maciej Bender Block.,25,57
10:02,277,James Bolden Defensive Rebound.,25,57
9:57,277,Chase Harler missed Three Point Jumper.,25,57
9:57,277,James Bolden Offensive Rebound.,25,57
9:50,2154,Foul on Adam Traore.,25,57
9:50,277,James Bolden made Free Throw.,25,58
9:50,277,James Bolden made Free Throw.,25,59
9:37,2154,Jordan Hardwick made Jumper. Assisted by Karonn Davis.,27,59
9:23,2154,Foul on Tre' Thomas.,27,59
9:23,277,Jevon Carter made Free Throw.,27,60
9:23,277,Jevon Carter made Free Throw.,27,61
9:16,2154,Tre' Thomas made Jumper.,29,61
9:04,2154,Foul on Tre' Thomas.,29,61
9:04,277,Jevon Carter made Free Throw.,29,62
9:04,277,Jevon Carter made Free Throw.,29,63
9:01,2154,Lamar Morgan Turnover.,29,63
9:00,277,James Bolden Steal.,29,63
8:59,277,James Bolden missed Jumper.,29,63
8:59,277,Jevon Carter Offensive Rebound.,29,63
8:56,277,Jevon Carter made Layup.,29,65
8:26,2154,Tre' Thomas missed Three Point Jumper.,29,65
8:26,277,Wesley Harris Defensive Rebound.,29,65
8:01,277,Teddy Allen Turnover.,29,65
8:01,277,Foul on Teddy Allen.,29,65
7:59,277,Official TV Timeout,29,65
7:58,2154,Karonn Davis Turnover.,29,65
7:58,277,Teddy Allen Steal.,29,65
7:54,277,Teddy Allen missed Three Point Jumper.,29,65
7:54,2154,Coppin State Defensive Rebound.,29,65
7:41,2154,Keandre Fair missed Layup.,29,65
7:41,277,Jevon Carter Block.,29,65
7:41,2154,Coppin State Offensive Rebound.,29,65
7:36,2154,Jordan Hardwick missed Three Point Jumper.,29,65
7:36,277,Jevon Carter Defensive Rebound.,29,65
7:10,277,Jevon Carter missed Jumper.,29,65
7:10,2154,Cedric Council Jr. Defensive Rebound.,29,65
7:01,2154,Jordan Hardwick missed Layup.,29,65
7:01,277,Wesley Harris Block.,29,65
7:01,2154,Coppin State Offensive Rebound.,29,65
6:59,2154,Karonn Davis missed Layup.,29,65
6:59,277,James Bolden Block.,29,65
6:59,2154,Coppin State Offensive Rebound.,29,65
6:46,2154,Jordan Hardwick made Dunk. Assisted by Tre' Thomas.,31,65
6:21,277,Daxter Miles Jr. missed Three Point Jumper.,31,65
6:21,277,James Bolden Offensive Rebound.,31,65
6:18,277,James Bolden made Layup.,31,67
6:01,2154,Jordan Hardwick missed Jumper.,31,67
6:01,277,Sagaba Konate Defensive Rebound.,31,67
5:48,277,Jevon Carter missed Jumper.,31,67
5:48,2154,Cedric Council Jr. Block.,31,67
5:46,2154,Cedric Council Jr. Defensive Rebound.,31,67
5:40,2154,Coppin State  Timeout,31,67
5:34,2154,Tre' Thomas missed Jumper.,31,67
5:34,277,James Bolden Defensive Rebound.,31,67
5:10,277,Teddy Allen missed Jumper.,31,67
5:10,2154,Tre' Thomas Defensive Rebound.,31,67
4:53,2154,Tre' Thomas made Layup.,33,67
4:38,277,Sagaba Konate missed Jumper.,33,67
4:38,277,Teddy Allen Offensive Rebound.,33,67
4:36,277,Teddy Allen missed Layup.,33,67
4:36,277,James Bolden Offensive Rebound.,33,67
4:22,2154,Foul on Tre' Thomas.,33,67
4:22,277,James Bolden made Free Throw.,33,68
4:22,277,Daxter Miles Jr. missed Free Throw.,33,68
4:22,2154,Cedric Council Jr. Defensive Rebound.,33,68
4:14,2154,Lucian Brownlee missed Three Point Jumper.,33,68
4:14,277,D'Angelo Hunter Defensive Rebound.,33,68
3:48,277,D'Angelo Hunter missed Layup.,33,68
3:48,2154,Blake Simpson Block.,33,68
3:47,2154,Blake Simpson Defensive Rebound.,33,68
3:44,277,Foul on D'Angelo Hunter.,33,68
3:44,277,Official TV Timeout,33,68
3:44,2154,Blake Simpson made Free Throw.,34,68
3:44,2154,Blake Simpson made Free Throw.,35,68
3:19,277,Teddy Allen made Layup. Assisted by James Bolden.,35,70
2:52,2154,Lucian Brownlee missed Three Point Jumper.,35,70
2:52,277,Sagaba Konate Defensive Rebound.,35,70
2:29,2154,Foul on Blake Simpson.,35,70
2:29,277,Teddy Allen made Free Throw.,35,71
2:29,277,Teddy Allen made Free Throw.,35,72
2:16,2154,Keandre Fair made Three Point Jumper. Assisted by Lucian Brownlee.,38,72
1:54,277,Sagaba Konate made Jumper. Assisted by D'Angelo Hunter.,38,74
1:27,2154,Lucian Brownlee Turnover.,38,74
1:26,277,Chase Harler Steal.,38,74
1:04,277,James Bolden made Three Point Jumper. Assisted by Chase Harler.,38,77
0:40,2154,Keandre Fair missed Jumper.,38,77
0:40,277,D'Angelo Hunter Defensive Rebound.,38,77
0:17,277,James Bolden missed Three Point Jumper.,38,77
0:17,277,Sagaba Konate Offensive Rebound.,38,77
0:00,277,End of Game,38,77
