Albany,97,Louisville,399
10:23,97,Ryan McMahon Turnover.,45,54
10:23,399,Technical Foul on Ahmad Clark.,45,54
10:23,399,Foul on Ahmad Clark.,45,54
10:23,97,Technical Foul on Dwayne Sutton.,45,54
10:23,97,Foul on Dwayne Sutton.,45,54
10:18,399,Ahmad Clark missed Layup.,45,54
10:18,97,Anas Mahmoud Block.,45,54
10:16,399,Alex Foster Offensive Rebound.,45,54
10:14,399,Alex Foster missed Two Point Tip Shot.,45,54
10:14,399,Alex Foster Offensive Rebound.,45,54
10:12,399,Alex Foster missed Jumper.,45,54
10:12,97,Anas Mahmoud Block.,45,54
10:12,399,Alex Foster Offensive Rebound.,45,54
10:12,97,Foul on Anas Mahmoud.,45,54
10:12,399,Alex Foster made Free Throw.,46,54
10:12,399,Alex Foster made Free Throw.,47,54
10:00,97,Ryan McMahon made Three Point Jumper. Assisted by V.J. King.,47,57
9:52,399,Ahmad Clark missed Layup.,47,57
9:52,399,Greig Stire Offensive Rebound.,47,57
9:44,399,David Nichols missed Three Point Jumper.,47,57
9:44,97,Ray Spalding Defensive Rebound.,47,57
9:36,97,Dwayne Sutton missed Three Point Jumper.,47,57
9:36,399,Joe Cremo Defensive Rebound.,47,57
9:28,399,David Nichols missed Jumper.,47,57
9:28,399,Devonte Campbell Offensive Rebound.,47,57
9:25,97,Foul on Ray Spalding.,47,57
9:25,399,Devonte Campbell made Free Throw.,48,57
9:25,399,Devonte Campbell missed Free Throw.,48,57
9:25,97,V.J. King Defensive Rebound.,48,57
9:16,399,Foul on David Nichols.,48,57
9:16,97,Quentin Snider made Free Throw.,48,58
9:16,97,Quentin Snider made Free Throw.,48,59
8:41,399,Greig Stire made Layup. Assisted by David Nichols.,50,59
8:12,97,Deng Adel missed Layup.,50,59
8:12,399,Greig Stire Defensive Rebound.,50,59
7:49,97,Foul on Ryan McMahon.,50,59
7:49,97,Official TV Timeout,50,59
7:49,399,Joe Cremo made Free Throw.,51,59
7:49,399,Joe Cremo made Free Throw.,52,59
7:34,97,Deng Adel Turnover.,52,59
7:22,399,Travis Charles made Jumper.,54,59
7:09,97,V.J. King missed Jumper.,54,59
7:09,97,Anas Mahmoud Offensive Rebound.,54,59
7:01,97,Deng Adel missed Jumper.,54,59
7:01,97,Anas Mahmoud Offensive Rebound.,54,59
6:55,97,Quentin Snider missed Layup.,54,59
6:55,399,Devonte Campbell Block.,54,59
6:53,399,Joe Cremo Defensive Rebound.,54,59
6:30,399,Joe Cremo made Three Point Jumper.,57,59
6:27,97,Louisville  Timeout,57,59
6:18,399,Foul on Greig Stire.,57,59
6:18,97,Anas Mahmoud made Free Throw.,57,60
6:18,97,Anas Mahmoud missed Free Throw.,57,60
6:18,399,Alex Foster Defensive Rebound.,57,60
6:00,399,David Nichols missed Three Point Jumper.,57,60
6:00,399,Alex Foster Offensive Rebound.,57,60
5:50,399,David Nichols made Jumper.,59,60
5:26,97,Deng Adel missed Three Point Jumper.,59,60
5:26,399,Travis Charles Defensive Rebound.,59,60
5:24,97,Foul on V.J. King.,59,60
5:24,399,Travis Charles made Free Throw.,60,60
5:24,399,Travis Charles made Free Throw.,61,60
5:07,97,Anas Mahmoud missed Jumper.,61,60
5:07,399,David Nichols Defensive Rebound.,61,60
4:44,399,Joe Cremo made Jumper.,63,60
4:22,399,Foul on David Nichols.,63,60
4:22,97,Quentin Snider made Free Throw.,63,61
4:22,97,Quentin Snider made Free Throw.,63,62
3:55,399,Joe Cremo made Jumper.,65,62
3:30,97,Ray Spalding missed Jumper.,65,62
3:30,97,Anas Mahmoud Offensive Rebound.,65,62
3:27,399,Foul on Joe Cremo.,65,62
3:27,97,Official TV Timeout,65,62
3:27,97,Anas Mahmoud missed Free Throw.,65,62
3:27,97,Louisville Deadball Team Rebound.,65,62
3:27,97,Anas Mahmoud missed Free Throw.,65,62
3:27,399,Travis Charles Defensive Rebound.,65,62
2:56,399,Albany  Turnover.,65,62
2:43,97,Ryan McMahon missed Three Point Jumper.,65,62
2:43,399,Joe Cremo Block.,65,62
2:41,399,David Nichols Defensive Rebound.,65,62
2:25,399,Joe Cremo missed Jumper.,65,62
2:25,97,Dwayne Sutton Defensive Rebound.,65,62
2:17,97,Ray Spalding made Layup. Assisted by Quentin Snider.,65,64
1:58,399,David Nichols Turnover.,65,64
1:58,97,Ray Spalding Steal.,65,64
1:40,97,Ray Spalding made Jumper.,65,66
1:19,399,David Nichols missed Three Point Jumper.,65,66
1:19,97,Quentin Snider Defensive Rebound.,65,66
1:02,97,Ryan McMahon made Three Point Jumper. Assisted by Quentin Snider.,65,69
0:53,399,Albany  Timeout,65,69
0:36,399,David Nichols missed Three Point Jumper.,65,69
0:36,399,David Nichols Offensive Rebound.,65,69
0:29,399,David Nichols Turnover.,65,69
0:27,97,V.J. King Steal.,65,69
0:27,399,Foul on Travis Charles.,65,69
0:27,97,V.J. King missed Free Throw.,65,69
0:27,97,Louisville Deadball Team Rebound.,65,69
0:27,97,V.J. King missed Free Throw.,65,69
0:27,399,Travis Charles Defensive Rebound.,65,69
0:17,399,Devonte Campbell made Three Point Jumper. Assisted by Joe Cremo.,68,69
0:16,399,Albany  Timeout,68,69
0:16,97,Louisville  Timeout,68,69
0:10,399,Foul on Costa Anderson.,68,69
0:10,97,Darius Perry made Free Throw.,68,70
0:10,97,Darius Perry missed Free Throw.,68,70
0:10,399,Greig Stire Defensive Rebound.,68,70
0:00,399,Devonte Campbell missed Three Point Jumper.,68,70
0:00,97,V.J. King Defensive Rebound.,68,70
0:00,97,End of Game,68,70
