Houston Baptist,238,Vanderbilt,2277
9:13,238,Joe Toye Defensive Rebound.,10,14
9:06,238,Joe Toye missed Layup.,10,14
9:06,2277,Tim Myles Block.,10,14
9:06,238,Vanderbilt Offensive Rebound.,10,14
8:59,2277,Foul on Tim Myles.,10,14
8:59,238,Vanderbilt Deadball Team Rebound.,10,14
8:59,238,Larry Austin Jr. made Free Throw.,10,15
8:59,238,Larry Austin Jr. missed Free Throw.,10,14
8:45,2277,Jalon Gates missed Three Point Jumper.,10,15
8:45,238,Clevon Brown Defensive Rebound.,10,15
8:30,238,Joe Toye missed Three Point Jumper.,10,15
8:30,238,Clevon Brown Offensive Rebound.,10,15
8:25,238,Saben Lee missed Layup.,10,15
8:25,2277,Chukuka Emili Block.,10,15
8:23,2277,Chukuka Emili Defensive Rebound.,10,15
8:22,238,Foul on Jeff Roberson.,10,15
8:08,2277,Jalon Gates Turnover.,10,15
7:48,238,Larry Austin Jr. missed Three Point Jumper.,10,15
7:48,238,Jeff Roberson Offensive Rebound.,10,15
7:38,238,Clevon Brown missed Jumper.,10,15
7:38,2277,Chukuka Emili Defensive Rebound.,10,15
7:22,2277,Jalon Gates missed Layup.,10,15
7:22,238,Saben Lee Block.,10,15
7:22,2277,Houston Baptist Offensive Rebound.,10,15
7:20,238,Official TV Timeout,10,15
7:06,2277,Oliver Lynch-Daniels missed Three Point Jumper.,10,15
7:06,2277,Houston Baptist Deadball Team Rebound.,10,15
7:04,2277,Houston Baptist  Turnover.,10,15
6:47,2277,Foul on Chukuka Emili.,10,15
6:47,238,Jeff Roberson made Free Throw.,10,16
6:47,238,Jeff Roberson made Free Throw.,10,17
6:22,2277,Braxton Bonds made Layup.,12,17
5:59,238,Riley LaChance made Jumper.,12,19
5:45,2277,Jalon Gates missed Three Point Jumper.,12,19
5:45,238,Jeff Roberson Defensive Rebound.,12,19
5:36,238,Jeff Roberson missed Three Point Jumper.,12,19
5:36,238,Vanderbilt Offensive Rebound.,12,19
5:12,238,Saben Lee missed Layup.,12,19
5:12,2277,Braxton Bonds Defensive Rebound.,12,19
5:07,2277,William Gates Jr. missed Layup.,12,19
5:07,2277,William Gates Jr. Offensive Rebound.,12,19
4:53,2277,William Gates Jr. missed Jumper.,12,19
4:53,238,Vanderbilt Defensive Rebound.,12,19
4:35,238,Matthew Fisher-Davis made Three Point Jumper. Assisted by Saben Lee.,12,22
4:21,2277,Jalon Gates missed Three Point Jumper.,12,22
4:21,2277,Braxton Bonds Offensive Rebound.,12,22
4:07,2277,David Caraher missed Jumper.,12,22
4:07,238,Jeff Roberson Defensive Rebound.,12,22
4:00,238,Saben Lee made Layup. Assisted by Riley LaChance.,12,24
4:00,2277,Foul on Braxton Bonds.,12,24
4:00,238,Official TV Timeout,12,24
4:00,238,Saben Lee made Free Throw.,12,25
3:40,238,Foul on Jeff Roberson.,12,25
3:40,2277,Ian DuBose missed Free Throw.,12,25
3:40,2277,Houston Baptist Deadball Team Rebound.,12,25
3:40,2277,Ian DuBose missed Free Throw.,12,25
3:40,238,Matthew Fisher-Davis Defensive Rebound.,12,25
3:15,238,Clevon Brown missed Layup.,12,25
3:15,2277,David Caraher Defensive Rebound.,12,25
2:57,2277,David Caraher missed Jumper.,12,25
2:57,2277,Ian DuBose Offensive Rebound.,12,25
2:51,2277,Ian DuBose made Layup.,14,25
2:51,238,Foul on Clevon Brown.,14,25
2:51,2277,Ian DuBose missed Free Throw.,14,25
2:51,238,Djery Baptiste Defensive Rebound.,14,25
2:36,238,Riley LaChance made Three Point Jumper. Assisted by Matthew Fisher-Davis.,14,28
2:15,2277,Chukuka Emili missed Layup.,14,28
2:15,238,Djery Baptiste Block.,14,28
2:15,2277,Houston Baptist Offensive Rebound.,14,28
2:05,2277,David Caraher missed Jumper.,14,28
2:05,238,Jeff Roberson Defensive Rebound.,14,28
2:03,2277,Foul on Chukuka Emili.,14,28
1:48,238,Matthew Fisher-Davis made Three Point Jumper. Assisted by Riley LaChance.,14,31
1:28,2277,William Gates Jr. missed Three Point Jumper.,14,31
1:28,238,Riley LaChance Defensive Rebound.,14,31
1:11,238,Matthew Fisher-Davis Turnover.,14,31
1:08,238,Foul on Larry Austin Jr..,14,31
1:08,2277,David Caraher made Free Throw.,15,31
1:08,2277,David Caraher missed Free Throw.,15,31
1:08,238,Djery Baptiste Defensive Rebound.,15,31
0:44,238,Riley LaChance made Three Point Jumper. Assisted by Matthew Fisher-Davis.,15,34
0:21,238,Foul on Djery Baptiste.,15,34
0:21,2277,Edward Hardt made Free Throw.,16,34
0:21,2277,Edward Hardt made Free Throw.,17,34
0:03,238,Jeff Roberson missed Layup.,17,34
0:03,2277,William Gates Jr. Defensive Rebound.,17,34
0:00,238,End of 1st half,17,34
19:40,238,Jeff Roberson Turnover.,17,34
19:21,2277,Edward Hardt missed Layup.,17,34
19:21,238,Jeff Roberson Defensive Rebound.,17,34
19:11,238,Matthew Fisher-Davis made Three Point Jumper. Assisted by Saben Lee.,17,37
18:48,2277,David Caraher missed Jumper.,17,37
18:48,238,Matthew Fisher-Davis Block.,17,37
18:48,2277,David Caraher Offensive Rebound.,17,37
18:46,2277,Foul on David Caraher.,17,37
18:46,2277,David Caraher Turnover.,17,37
18:28,238,Joe Toye missed Dunk.,17,37
18:28,238,Saben Lee Offensive Rebound.,17,37
18:21,238,Matthew Fisher-Davis missed Three Point Jumper.,17,37
18:21,238,Jeff Roberson Offensive Rebound.,17,37
18:16,238,Matthew Fisher-Davis made Three Point Jumper. Assisted by Riley LaChance.,17,40
17:43,2277,Braxton Bonds missed Three Point Jumper.,17,40
17:43,238,Riley LaChance Defensive Rebound.,17,40
17:31,238,Saben Lee missed Three Point Jumper.,17,40
17:31,2277,Braxton Bonds Defensive Rebound.,17,40
17:23,2277,Braxton Bonds made Layup.,19,40
17:23,238,Foul on Matthew Fisher-Davis.,19,40
17:23,2277,Braxton Bonds missed Free Throw.,19,40
17:23,238,Jeff Roberson Defensive Rebound.,19,40
17:02,238,Matthew Fisher-Davis missed Three Point Jumper.,19,40
17:02,238,Vanderbilt Offensive Rebound.,19,40
16:42,238,Jeff Roberson made Layup.,19,42
16:28,2277,David Caraher missed Three Point Jumper.,19,42
16:28,238,Saben Lee Defensive Rebound.,19,42
16:21,238,Joe Toye made Layup. Assisted by Saben Lee.,19,44
16:14,2277,Braxton Bonds Turnover.,19,44
16:12,238,Riley LaChance Steal.,19,44
16:09,238,Joe Toye missed Layup.,19,44
16:09,2277,Oliver Lynch-Daniels Defensive Rebound.,19,44
15:52,2277,Ian DuBose missed Jumper.,19,44
15:52,2277,Ian DuBose Offensive Rebound.,19,44
15:50,2277,Ian DuBose made Two Point Tip Shot.,21,44
15:50,2277,Houston Baptist  Timeout,21,44
15:31,2277,Foul on Ian DuBose.,21,44
15:31,238,Official TV Timeout,21,44
15:28,238,Matthew Fisher-Davis missed Three Point Jumper.,21,44
15:28,238,Jeff Roberson Offensive Rebound.,21,44
15:25,2277,Foul on Ian DuBose.,21,44
15:25,238,Jeff Roberson made Free Throw.,21,45
15:25,238,Jeff Roberson made Free Throw.,21,46
15:11,238,Foul on Larry Austin Jr..,21,46
15:07,2277,Oliver Lynch-Daniels missed Jumper.,21,46
15:07,238,Jeff Roberson Defensive Rebound.,21,46
14:54,238,Matthew Fisher-Davis made Three Point Jumper. Assisted by Joe Toye.,21,49
14:20,2277,Tim Myles missed Layup.,21,49
14:20,238,Joe Toye Block.,21,49
14:18,238,Riley LaChance Defensive Rebound.,21,49
14:14,238,Joe Toye made Layup.,21,51
13:50,2277,Ian DuBose missed Layup.,21,51
13:49,2277,Tim Myles Offensive Rebound.,21,51
13:48,2277,Tim Myles missed Two Point Tip Shot.,21,51
13:47,238,Larry Austin Jr. Defensive Rebound.,21,51
13:43,238,Riley LaChance missed Three Point Jumper.,21,51
13:43,2277,Houston Baptist Defensive Rebound.,21,51
13:28,2277,Ian DuBose made Layup.,23,51
13:24,238,Vanderbilt  Timeout,23,51
13:20,2277,Foul on Braxton Bonds.,23,51
13:20,238,Jeff Roberson made Free Throw.,23,52
13:20,238,Jeff Roberson made Free Throw.,23,53
13:03,2277,Oliver Lynch-Daniels missed Three Point Jumper.,23,53
13:03,2277,Ian DuBose Offensive Rebound.,23,53
12:55,2277,Braxton Bonds missed Three Point Jumper.,23,53
12:55,2277,Philip McKenzie Offensive Rebound.,23,53
12:36,238,Foul on Joe Toye.,23,53
12:19,2277,Oliver Lynch-Daniels missed Jumper.,23,53
12:19,238,Vanderbilt Defensive Rebound.,23,53
12:04,238,Jeff Roberson missed Three Point Jumper.,23,53
12:04,2277,Ian DuBose Defensive Rebound.,23,53
11:57,2277,Foul on Oliver Lynch-Daniels.,23,53
11:57,2277,Oliver Lynch-Daniels Turnover.,23,53
11:57,238,Official TV Timeout,23,53
11:43,2277,Foul on Jalon Gates.,23,53
11:43,238,Jeff Roberson made Free Throw.,23,54
11:43,238,Jeff Roberson made Free Throw.,23,55
11:33,2277,Jalon Gates made Jumper. Assisted by David Caraher.,25,55
11:10,238,Payton Willis missed Three Point Jumper.,25,55
11:10,238,Djery Baptiste Offensive Rebound.,25,55
11:02,238,Maxwell Evans missed Three Point Jumper.,25,55
11:02,238,Larry Austin Jr. Offensive Rebound.,25,55
10:57,238,Jeff Roberson Turnover.,25,55
10:55,2277,Oliver Lynch-Daniels Steal.,25,55
10:52,238,Foul on Jeff Roberson.,25,55
10:52,2277,Philip McKenzie missed Free Throw.,25,55
10:52,2277,Houston Baptist Deadball Team Rebound.,25,55
10:52,2277,Philip McKenzie missed Free Throw.,25,55
10:52,2277,Houston Baptist Deadball Team Rebound.,25,55
10:52,238,Foul on Djery Baptiste.,25,55
10:49,2277,David Caraher made Layup.,27,55
10:21,238,Payton Willis made Three Point Jumper. Assisted by Maxwell Evans.,27,58
10:04,2277,Jalon Gates missed Three Point Jumper.,27,58
10:04,238,Ejike Obinna Defensive Rebound.,27,58
9:57,2277,Foul on Jalon Gates.,27,58
9:57,238,Joe Toye made Free Throw.,27,59
9:57,238,Joe Toye missed Free Throw.,27,59
9:57,2277,Philip McKenzie Defensive Rebound.,27,59
9:50,2277,Ian DuBose made Layup.,29,59
9:19,238,Maxwell Evans made Layup.,29,61
9:13,238,Foul on Payton Willis.,29,61
9:13,2277,Ian DuBose missed Free Throw.,29,61
9:13,2277,Houston Baptist Deadball Team Rebound.,29,61
9:13,2277,Ian DuBose missed Free Throw.,29,61
9:13,238,Matthew Fisher-Davis Defensive Rebound.,29,61
9:10,2277,Foul on Ian DuBose.,29,61
9:10,238,Matthew Fisher-Davis made Free Throw.,29,62
9:10,238,Matthew Fisher-Davis made Free Throw.,29,63
8:59,2277,Jalon Gates missed Three Point Jumper.,29,63
8:59,238,Saben Lee Defensive Rebound.,29,63
8:51,238,Joe Toye missed Three Point Jumper.,29,63
8:51,2277,Chukuka Emili Defensive Rebound.,29,63
8:39,238,Foul on Saben Lee.,29,63
8:39,2277,Jalon Gates made Free Throw.,30,63
8:39,2277,Jalon Gates made Free Throw.,31,63
8:24,238,Maxwell Evans made Layup. Assisted by Payton Willis.,31,65
8:06,2277,Oliver Lynch-Daniels missed Three Point Jumper.,31,65
8:06,238,Joe Toye Defensive Rebound.,31,65
8:00,2277,Foul on Braxton Bonds.,31,65
8:00,238,Joe Toye made Free Throw.,31,66
8:00,238,Joe Toye made Free Throw.,31,67
7:52,2277,Jalon Gates missed Jumper.,31,67
7:52,238,Ejike Obinna Defensive Rebound.,31,67
7:21,238,Saben Lee missed Jumper.,31,67
7:21,2277,Philip McKenzie Defensive Rebound.,31,67
7:04,2277,Jalon Gates made Jumper.,33,67
6:48,238,Foul on Clevon Brown.,33,67
6:48,238,Clevon Brown Turnover.,33,67
6:20,2277,Philip McKenzie missed Jumper.,33,67
6:20,238,Ejike Obinna Defensive Rebound.,33,67
6:01,2277,Foul on Chukuka Emili.,33,67
6:01,238,Ejike Obinna missed Free Throw.,33,67
6:01,238,Vanderbilt Deadball Team Rebound.,33,67
6:01,238,Ejike Obinna missed Free Throw.,33,67
6:01,2277,Jalon Gates Defensive Rebound.,33,67
5:57,238,Foul on Maxwell Evans.,33,67
5:57,2277,Jalon Gates made Free Throw.,34,67
5:57,2277,Jalon Gates made Free Throw.,35,67
5:43,238,Saben Lee Turnover.,35,67
5:42,2277,Chukuka Emili Steal.,35,67
5:39,2277,Jalon Gates missed Three Point Jumper.,35,67
5:39,238,Saben Lee Defensive Rebound.,35,67
5:32,238,Maxwell Evans missed Layup.,35,67
5:32,238,Vanderbilt Deadball Team Rebound.,35,67
5:18,238,Maxwell Evans made Three Point Jumper. Assisted by Saben Lee.,35,70
4:59,2277,Jalon Gates missed Three Point Jumper.,35,70
4:59,2277,Philip McKenzie Offensive Rebound.,35,70
4:42,2277,Philip McKenzie missed Layup.,35,70
4:42,238,Clevon Brown Block.,35,70
4:41,2277,Philip McKenzie Offensive Rebound.,35,70
4:41,2277,Philip McKenzie Turnover.,35,70
4:28,2277,Foul on Ian DuBose.,35,70
4:28,238,Payton Willis made Free Throw.,35,71
4:28,238,Payton Willis made Free Throw.,35,72
4:18,2277,Chukuka Emili made Jumper.,37,72
4:04,238,Maxwell Evans made Layup.,37,74
3:48,238,Foul on Larry Austin Jr..,37,74
3:48,238,Official TV Timeout,37,74
3:48,2277,Ian DuBose missed Free Throw.,37,74
3:48,2277,Houston Baptist Deadball Team Rebound.,37,74
3:48,2277,Ian DuBose made Free Throw.,38,74
3:25,238,Larry Austin Jr. Turnover.,38,74
3:18,2277,Chukuka Emili Turnover.,38,74
3:05,238,Maxwell Evans missed Three Point Jumper.,38,74
3:05,2277,Philip McKenzie Defensive Rebound.,38,74
2:50,2277,Braxton Bonds missed Dunk.,38,74
2:50,238,Clevon Brown Block.,38,74
2:47,2277,Philip McKenzie Offensive Rebound.,38,74
2:38,2277,Philip McKenzie made Two Point Tip Shot.,40,74
2:32,2277,Foul on Chukuka Emili.,40,74
2:32,238,Ejike Obinna missed Free Throw.,40,74
2:32,238,Vanderbilt Deadball Team Rebound.,40,74
2:32,238,Ejike Obinna missed Free Throw.,40,74
2:32,2277,Philip McKenzie Defensive Rebound.,40,74
2:31,238,Foul on Clevon Brown.,40,74
2:31,2277,Philip McKenzie missed Free Throw.,40,74
2:31,2277,Houston Baptist Deadball Team Rebound.,40,74
2:31,2277,Philip McKenzie made Free Throw.,41,74
2:12,238,Maxwell Evans made Three Point Jumper. Assisted by Payton Willis.,41,77
2:02,2277,Ian DuBose made Three Point Jumper. Assisted by Oliver Lynch-Daniels.,44,77
1:42,238,Ejike Obinna made Layup.,44,79
1:32,2277,Ian DuBose missed Three Point Jumper.,44,79
1:32,238,Payton Willis Defensive Rebound.,44,79
1:13,238,Maxwell Evans missed Three Point Jumper.,44,79
1:13,2277,Stephen O'Suji Defensive Rebound.,44,79
1:05,2277,Stephen O'Suji missed Layup.,44,79
1:05,238,Clevon Brown Block.,44,79
1:02,238,Larry Austin Jr. Defensive Rebound.,44,79
1:00,238,Maxwell Evans made Dunk. Assisted by Larry Austin Jr..,44,81
0:41,238,Foul on Clevon Brown.,44,81
0:41,2277,Ian DuBose made Free Throw.,45,81
0:41,2277,Ian DuBose made Free Throw.,46,81
0:15,238,Isaiah Rice Turnover.,46,81
0:07,238,Foul on Clevon Brown.,46,81
0:07,2277,Ian DuBose made Free Throw.,47,81
0:07,2277,Ian DuBose made Free Throw.,48,81
0:00,238,End of Game,48,81
