New Hampshire,45,George Washington,160
19:04,160,Iba Camara missed Jumper.,33,29
19:04,45,Arnaldo Toro Block.,33,29
19:03,160,Iba Camara Offensive Rebound.,33,29
19:02,160,Iba Camara missed Layup.,33,29
19:02,45,Arnaldo Toro Defensive Rebound.,33,29
18:50,45,Jair Bolden missed Jumper.,33,29
18:50,160,Elijah Jordan Defensive Rebound.,33,29
18:41,160,Elijah Jordan missed Layup.,33,29
18:41,160,Jacoby Armstrong Offensive Rebound.,33,29
18:37,160,Tanner Leissner made Jumper.,35,29
18:25,45,Yuta Watanabe missed Jumper.,35,29
18:25,45,Yuta Watanabe Offensive Rebound.,35,29
18:12,45,Arnaldo Toro made Layup. Assisted by Patrick Steeves.,35,31
17:51,160,Iba Camara missed Jumper.,35,31
17:51,160,Iba Camara Offensive Rebound.,35,31
17:48,160,Iba Camara made Layup.,37,31
17:33,45,Patrick Steeves made Jumper. Assisted by Terry Nolan Jr..,37,33
17:13,45,Foul on Terry Nolan Jr..,37,33
17:13,160,Josh Hopkins made Free Throw.,38,33
17:13,160,Josh Hopkins made Free Throw.,39,33
16:59,45,Jair Bolden missed Jumper.,39,33
16:59,45,Yuta Watanabe Offensive Rebound.,39,33
16:55,45,Yuta Watanabe missed Layup.,39,33
16:55,160,Iba Camara Defensive Rebound.,39,33
16:42,160,Tanner Leissner missed Jumper.,39,33
16:42,45,Yuta Watanabe Defensive Rebound.,39,33
16:34,45,Yuta Watanabe made Three Point Jumper. Assisted by Jair Bolden.,39,36
16:01,160,Iba Camara Turnover.,39,36
16:00,45,Arnaldo Toro Steal.,39,36
15:55,45,Jair Bolden missed Layup.,39,36
15:55,160,Jacoby Armstrong Defensive Rebound.,39,36
15:32,160,Darryl Stewart missed Jumper.,39,36
15:32,160,Iba Camara Offensive Rebound.,39,36
15:27,45,Foul on Arnaldo Toro.,39,36
15:27,45,Official TV Timeout,39,36
15:22,45,Foul on Adam Mitola.,39,36
15:16,45,Foul on Justin Mazzulla.,39,36
15:00,45,Foul on Adam Mitola.,39,36
14:44,160,Tanner Leissner missed Jumper.,39,36
14:44,45,Yuta Watanabe Defensive Rebound.,39,36
14:28,45,Justin Mazzulla Turnover.,39,36
14:12,160,Iba Camara Turnover.,39,36
13:55,45,Terry Nolan Jr. missed Three Point Jumper.,39,36
13:55,45,Patrick Steeves Offensive Rebound.,39,36
13:51,45,Bo Zeigler made Layup. Assisted by Patrick Steeves.,39,38
13:25,160,Elijah Jordan Turnover.,39,38
13:24,45,Bo Zeigler Steal.,39,38
13:11,45,Yuta Watanabe made Three Point Jumper. Assisted by Bo Zeigler.,39,41
13:03,160,New Hampshire  Timeout,39,41
13:03,45,Official TV Timeout,39,41
12:42,160,Darryl Stewart missed Layup.,39,41
12:41,45,Justin Mazzulla Defensive Rebound.,39,41
12:28,45,Patrick Steeves Turnover.,39,41
12:27,160,Keon Burns Steal.,39,41
12:16,160,Iba Camara missed Jumper.,39,41
12:16,45,Terry Nolan Jr. Defensive Rebound.,39,41
11:58,45,Patrick Steeves made Jumper.,39,43
11:35,160,Darryl Stewart made Three Point Jumper. Assisted by Tanner Leissner.,42,43
11:23,45,Patrick Steeves Turnover.,42,43
11:23,45,Official TV Timeout,42,43
11:06,160,Jacoby Armstrong missed Jumper.,42,43
11:06,45,Yuta Watanabe Defensive Rebound.,42,43
10:42,45,Yuta Watanabe made Three Point Jumper. Assisted by Terry Nolan Jr..,42,46
10:22,160,Darryl Stewart Turnover.,42,46
10:21,45,Terry Nolan Jr. Steal.,42,46
10:18,160,Foul on Jacoby Armstrong.,42,46
10:18,45,Patrick Steeves missed Free Throw.,42,46
10:18,45,George Washington Deadball Team Rebound.,42,46
10:18,45,Patrick Steeves made Free Throw.,42,47
9:59,160,Tanner Leissner missed Jumper.,42,47
9:57,160,Iba Camara Offensive Rebound.,42,47
9:56,45,Foul on Bo Zeigler.,42,47
9:56,160,Iba Camara missed Free Throw.,42,47
9:56,160,New Hampshire Deadball Team Rebound.,42,47
9:56,160,Iba Camara missed Free Throw.,42,47
9:56,45,Yuta Watanabe Defensive Rebound.,42,47
9:29,45,Yuta Watanabe missed Three Point Jumper.,42,47
9:29,160,Iba Camara Defensive Rebound.,42,47
9:18,160,Darryl Stewart made Jumper.,44,47
8:57,45,Jair Bolden missed Three Point Jumper.,44,47
8:57,45,Patrick Steeves Offensive Rebound.,44,47
8:51,45,Patrick Steeves made Dunk.,44,49
8:27,160,Jacoby Armstrong made Three Point Jumper. Assisted by Darryl Stewart.,47,49
8:00,45,Jair Bolden missed Three Point Jumper.,47,49
8:00,45,Yuta Watanabe Offensive Rebound.,47,49
7:40,45,Yuta Watanabe missed Three Point Jumper.,47,49
7:40,45,Bo Zeigler Offensive Rebound.,47,49
7:35,45,Bo Zeigler made Two Point Tip Shot.,47,51
7:13,160,Tanner Leissner made Jumper.,49,51
7:03,160,Foul on Iba Camara.,49,51
7:03,45,Official TV Timeout,49,51
7:03,45,Bo Zeigler made Free Throw.,49,52
7:03,45,Bo Zeigler made Free Throw.,49,53
6:53,45,Foul on Arnaldo Toro.,49,53
6:53,160,Tanner Leissner made Free Throw.,50,53
6:53,160,Tanner Leissner made Free Throw.,51,53
6:34,45,Terry Nolan Jr. Turnover.,51,53
6:33,160,Josh Hopkins Steal.,51,53
6:31,160,Foul on Josh Hopkins.,51,53
6:31,160,Josh Hopkins Turnover.,51,53
6:03,45,Jair Bolden missed Jumper.,51,53
6:03,45,Jair Bolden Offensive Rebound.,51,53
5:59,160,Foul on Josh Hopkins.,51,53
5:50,45,Patrick Steeves made Jumper.,51,55
5:28,160,Foul on Tanner Leissner.,51,55
5:28,160,Tanner Leissner Turnover.,51,55
5:09,45,Arnaldo Toro made Jumper. Assisted by Yuta Watanabe.,51,57
4:45,160,Iba Camara made Layup.,53,57
4:44,160,New Hampshire  Timeout,53,57
4:25,45,Yuta Watanabe missed Jumper.,53,57
4:25,160,Iba Camara Defensive Rebound.,53,57
4:15,160,Josh Hopkins made Three Point Jumper. Assisted by Darryl Stewart.,56,57
3:50,45,Terry Nolan Jr. made Jumper. Assisted by Patrick Steeves.,56,59
3:29,160,Darryl Stewart made Jumper.,58,59
3:01,45,Terry Nolan Jr. missed Three Point Jumper.,58,59
3:01,160,Jacoby Armstrong Defensive Rebound.,58,59
2:48,160,Foul on Darryl Stewart.,58,59
2:48,45,Official TV Timeout,58,59
2:48,160,Darryl Stewart Turnover.,58,59
2:48,45,Official TV Timeout,58,59
2:21,45,Yuta Watanabe made Three Point Jumper. Assisted by Patrick Steeves.,58,62
2:01,45,Foul on Patrick Steeves.,58,62
2:01,160,Tanner Leissner missed Free Throw.,58,62
2:01,45,Terry Nolan Jr. Defensive Rebound.,58,62
1:39,45,Yuta Watanabe missed Three Point Jumper.,58,62
1:39,160,Iba Camara Defensive Rebound.,58,62
1:23,160,Josh Hopkins missed Three Point Jumper.,58,62
1:21,45,Patrick Steeves Defensive Rebound.,58,62
1:20,160,Foul on Jacoby Armstrong.,58,62
1:20,45,Patrick Steeves made Free Throw.,58,63
1:20,45,Patrick Steeves made Free Throw.,58,64
1:09,160,Foul on Tanner Leissner.,58,64
1:09,160,Tanner Leissner Turnover.,58,64
0:44,45,Patrick Steeves missed Jumper.,58,64
0:44,160,Iba Camara Defensive Rebound.,58,64
0:34,160,Darryl Stewart Turnover.,58,64
0:34,45,Terry Nolan Jr. Steal.,58,64
0:25,160,Foul on Jacoby Armstrong.,58,64
0:25,45,Terry Nolan Jr. made Free Throw.,58,65
0:25,45,Terry Nolan Jr. made Free Throw.,58,66
0:17,160,Keon Burns made Three Point Jumper. Assisted by Darryl Stewart.,61,66
0:17,160,New Hampshire  Timeout,61,66
0:13,160,Foul on Keon Burns.,61,66
0:13,45,Patrick Steeves made Free Throw.,61,67
0:13,45,Patrick Steeves missed Free Throw.,61,67
0:13,160,Tanner Leissner Defensive Rebound.,61,67
0:07,160,Darryl Stewart Turnover.,61,67
0:06,45,Terry Nolan Jr. Steal.,61,67
0:05,160,Foul on Darryl Stewart.,61,67
0:05,45,Jair Bolden made Free Throw.,61,68
0:05,45,Jair Bolden missed Free Throw.,61,68
0:05,160,Iba Camara Defensive Rebound.,61,68
0:00,160,Keon Burns made Three Point Jumper. Assisted by Darryl Stewart.,64,68
0:00,45,End of Game,64,68
