Wofford,153,North Carolina,2747
12:43,153,Sterling Manley made Free Throw.,57,46
12:43,153,Sterling Manley missed Free Throw.,57,46
12:43,2747,Fletcher Magee Defensive Rebound.,57,46
12:29,2747,Nathan Hoover made Jumper.,59,46
12:14,153,Sterling Manley missed Jumper.,59,46
12:14,153,Jalek Felton Offensive Rebound.,59,46
12:08,2747,Foul on Matthew Pegram.,59,46
12:08,153,Garrison Brooks missed Free Throw.,59,46
12:08,153,North Carolina Deadball Team Rebound.,59,46
12:08,153,Garrison Brooks made Free Throw.,59,47
11:43,2747,Cameron Jackson missed Jumper.,59,47
11:43,153,Theo Pinson Defensive Rebound.,59,47
11:28,2747,Foul on Cameron Jackson.,59,47
11:28,153,Official TV Timeout,59,47
11:28,153,Luke Maye made Free Throw.,59,48
11:28,153,Luke Maye made Free Throw.,59,49
11:09,2747,Cameron Jackson made Layup. Assisted by Fletcher Magee.,61,49
10:54,153,Luke Maye made Three Point Jumper. Assisted by Joel Berry II.,61,52
10:31,2747,Cameron Jackson made Layup. Assisted by Donovan Theme-Love.,63,52
10:24,153,Cameron Johnson missed Three Point Jumper.,63,52
10:24,2747,Derrick Brooks Defensive Rebound.,63,52
10:11,2747,Derrick Brooks missed Jumper.,63,52
10:11,153,Luke Maye Defensive Rebound.,63,52
9:58,153,Joel Berry II made Jumper.,63,54
9:37,2747,Fletcher Magee missed Three Point Jumper.,63,54
9:37,153,Cameron Johnson Defensive Rebound.,63,54
9:24,2747,Foul on Fletcher Magee.,63,54
9:24,153,Luke Maye missed Free Throw.,63,54
9:24,153,North Carolina Deadball Team Rebound.,63,54
9:24,153,Luke Maye made Free Throw.,63,55
9:10,2747,Nathan Hoover missed Three Point Jumper.,63,55
9:10,153,Luke Maye Defensive Rebound.,63,55
8:58,2747,Foul on Storm Murphy.,63,55
8:58,153,Joel Berry II made Free Throw.,63,56
8:58,153,Joel Berry II made Free Throw.,63,57
8:41,2747,Nathan Hoover missed Layup.,63,57
8:41,153,Theo Pinson Block.,63,57
8:41,2747,Wofford Offensive Rebound.,63,57
8:41,2747,Wofford  Turnover.,63,57
8:27,153,Theo Pinson Turnover.,63,57
8:14,2747,Fletcher Magee missed Jumper.,63,57
8:14,153,Luke Maye Defensive Rebound.,63,57
8:08,153,Luke Maye missed Three Point Jumper.,63,57
8:08,2747,Wofford Defensive Rebound.,63,57
7:47,2747,Cameron Jackson Turnover.,63,57
7:47,153,Official TV Timeout,63,57
7:33,153,Luke Maye made Jumper. Assisted by Kenny Williams.,63,59
7:15,2747,Storm Murphy made Layup.,65,59
6:50,153,Luke Maye made Three Point Jumper. Assisted by Theo Pinson.,65,62
6:29,2747,Fletcher Magee made Three Point Jumper. Assisted by Trevor Stumpe.,68,62
6:15,153,Joel Berry II made Three Point Jumper. Assisted by Luke Maye.,68,65
5:51,153,Foul on Kenny Williams.,68,65
5:48,2747,Trevor Stumpe Turnover.,68,65
5:48,153,Kenny Williams Steal.,68,65
5:40,153,Cameron Johnson missed Three Point Jumper.,68,65
5:40,2747,Derrick Brooks Defensive Rebound.,68,65
5:22,2747,Fletcher Magee missed Three Point Jumper.,68,65
5:22,2747,Storm Murphy Offensive Rebound.,68,65
5:11,153,Jump Ball won by North Carolina,68,65
5:11,2747,Storm Murphy Turnover.,68,65
5:11,153,Theo Pinson Steal.,68,65
4:57,153,Kenny Williams missed Three Point Jumper.,68,65
4:57,2747,Derrick Brooks Defensive Rebound.,68,65
4:38,2747,Derrick Brooks made Layup.,70,65
4:32,153,Joel Berry II made Layup.,70,67
4:06,2747,Cameron Jackson missed Layup.,70,67
4:06,153,Theo Pinson Defensive Rebound.,70,67
3:58,2747,Foul on Derrick Brooks.,70,67
3:58,153,Official TV Timeout,70,67
3:58,153,Cameron Johnson made Free Throw.,70,68
3:58,153,Cameron Johnson made Free Throw.,70,69
3:48,2747,Nathan Hoover made Three Point Jumper.,73,69
3:28,153,Joel Berry II missed Layup.,73,69
3:28,2747,Cameron Jackson Block.,73,69
3:28,2747,Cameron Jackson Defensive Rebound.,73,69
3:15,2747,Fletcher Magee missed Three Point Jumper.,73,69
3:15,153,Luke Maye Defensive Rebound.,73,69
2:53,2747,Foul on Nathan Hoover.,73,69
2:53,153,Cameron Johnson missed Free Throw.,73,69
2:53,153,North Carolina Deadball Team Rebound.,73,69
2:53,153,Cameron Johnson made Free Throw.,73,70
2:32,2747,Nathan Hoover missed Layup.,73,70
2:32,153,Garrison Brooks Block.,73,70
2:32,153,Luke Maye Defensive Rebound.,73,70
2:19,153,Joel Berry II missed Three Point Jumper.,73,70
2:19,2747,Cameron Jackson Defensive Rebound.,73,70
2:02,2747,Trevor Stumpe missed Three Point Jumper.,73,70
2:02,153,Garrison Brooks Defensive Rebound.,73,70
1:47,153,Garrison Brooks missed Layup.,73,70
1:47,2747,Cameron Jackson Block.,73,70
1:47,2747,Cameron Jackson Defensive Rebound.,73,70
1:28,2747,Fletcher Magee missed Three Point Jumper.,73,70
1:28,153,Luke Maye Defensive Rebound.,73,70
1:22,2747,Foul on Cameron Jackson.,73,70
1:22,2747,Wofford  Timeout,73,70
1:22,153,Luke Maye made Free Throw.,73,71
1:22,153,Luke Maye made Free Throw.,73,72
1:22,2747,Wofford  Timeout,73,72
1:18,2747,Fletcher Magee made Layup. Assisted by Cameron Jackson.,75,72
1:03,153,Foul on Joel Berry II.,75,72
1:03,153,Joel Berry II Turnover.,75,72
0:32,2747,Wofford  Turnover.,75,72
0:32,153,North Carolina  Timeout,75,72
0:28,153,Luke Maye missed Three Point Jumper.,75,72
0:28,2747,Derrick Brooks Defensive Rebound.,75,72
0:20,153,Foul on Luke Maye.,75,72
0:19,153,Foul on Joel Berry II.,75,72
0:17,153,Foul on Theo Pinson.,75,72
0:17,153,North Carolina  Timeout,75,72
0:15,153,Foul on Garrison Brooks.,75,72
0:15,2747,Trevor Stumpe made Free Throw.,76,72
0:15,2747,Trevor Stumpe made Free Throw.,77,72
0:11,153,Joel Berry II missed Three Point Jumper.,77,72
0:11,2747,Derrick Brooks Defensive Rebound.,77,72
0:06,153,Foul on Theo Pinson.,77,72
0:06,2747,Derrick Brooks made Free Throw.,78,72
0:06,2747,Derrick Brooks made Free Throw.,79,72
0:04,153,Joel Berry II made Three Point Jumper.,79,75
0:01,153,North Carolina  Timeout,79,75
0:00,153,End of Game,79,75
