Central Arkansas,2483,Oregon,2110
12:37,2110,Central Arkansas  Timeout,14,22
12:22,2110,Hayden Koval missed Three Point Jumper.,14,22
12:22,2483,Mikyle McIntosh Defensive Rebound.,14,22
12:12,2110,Foul on Darraja Parnell.,14,22
11:55,2483,M.J. Cage missed Layup.,14,22
11:55,2110,Hayden Koval Defensive Rebound.,14,22
11:47,2110,Mathieu Kamba missed Jumper.,14,22
11:47,2110,Hayden Koval Offensive Rebound.,14,22
11:44,2110,Hayden Koval missed Two Point Tip Shot.,14,22
11:44,2483,Mikyle McIntosh Defensive Rebound.,14,22
11:39,2483,Payton Pritchard Turnover.,14,22
11:38,2110,Mathieu Kamba Steal.,14,22
11:08,2110,Darraja Parnell Turnover.,14,22
11:08,2110,Foul on Darraja Parnell.,14,22
11:08,2483,Official TV Timeout,14,22
10:57,2483,Victor Bailey Jr. made Layup. Assisted by Mikyle McIntosh.,14,24
10:34,2110,Darraja Parnell missed Jumper.,14,24
10:34,2483,Victor Bailey Jr. Defensive Rebound.,14,24
10:20,2483,Keith Smith made Jumper.,14,26
10:10,2110,Hayden Koval Turnover.,14,26
10:10,2110,Foul on Hayden Koval.,14,26
9:58,2483,Payton Pritchard missed Three Point Jumper.,14,26
9:58,2110,Central Arkansas Defensive Rebound.,14,26
9:32,2110,Matthew Mondesir missed Layup.,14,26
9:32,2483,Mikyle McIntosh Defensive Rebound.,14,26
9:20,2483,Victor Bailey Jr. made Layup.,14,28
9:02,2110,Thatch Unruh missed Three Point Jumper.,14,28
9:02,2483,Payton Pritchard Defensive Rebound.,14,28
8:53,2483,Mikyle McIntosh made Layup. Assisted by Payton Pritchard.,14,30
8:50,2110,Central Arkansas  Timeout,14,30
8:34,2110,Jordan Howard made Three Point Jumper.,17,30
8:20,2110,Foul on Tanner Schmit.,17,30
8:20,2483,Payton Pritchard made Free Throw.,17,31
8:20,2483,Payton Pritchard made Free Throw.,17,32
8:02,2110,Ethan Lee missed Layup.,17,32
8:02,2483,Kenny Wooten Block.,17,32
8:00,2110,Ethan Lee Offensive Rebound.,17,32
8:00,2110,Ethan Lee made Two Point Tip Shot.,19,32
8:00,2483,Official TV Timeout,19,32
7:38,2483,Abu Kigab made Layup.,19,34
7:22,2483,Foul on Kenny Wooten.,19,34
7:22,2110,Mathieu Kamba missed Free Throw.,19,34
7:22,2110,Central Arkansas Deadball Team Rebound.,19,34
7:22,2110,Mathieu Kamba made Free Throw.,20,34
7:02,2110,Foul on Tanner Schmit.,20,34
6:45,2483,Troy Brown missed Jumper.,20,34
6:45,2110,Thatch Unruh Defensive Rebound.,20,34
6:23,2110,Mathieu Kamba missed Jumper.,20,34
6:23,2483,Abu Kigab Block.,20,34
6:22,2483,Troy Brown Defensive Rebound.,20,34
6:09,2110,Foul on Thatch Unruh.,20,34
6:09,2483,Abu Kigab missed Free Throw.,20,34
6:09,2110,Mathieu Kamba Defensive Rebound.,20,34
6:08,2483,Foul on Kenny Wooten.,20,34
5:46,2110,Jordan Howard made Three Point Jumper.,23,34
5:35,2483,Troy Brown made Layup.,23,36
5:23,2110,Jordan Howard made Three Point Jumper.,26,36
4:59,2483,Elijah Brown missed Three Point Jumper.,26,36
4:59,2483,M.J. Cage Offensive Rebound.,26,36
4:56,2110,Foul on Hayden Koval.,26,36
4:56,2483,M.J. Cage missed Free Throw.,26,36
4:56,2483,Mikyle McIntosh Offensive Rebound.,26,36
4:53,2483,Troy Brown made Three Point Jumper. Assisted by Elijah Brown.,26,39
4:31,2110,Hayden Koval made Three Point Jumper. Assisted by Jordan Howard.,29,39
4:17,2483,M.J. Cage made Layup. Assisted by Mikyle McIntosh.,29,41
4:17,2110,Foul on Hayden Koval.,29,41
4:17,2483,M.J. Cage made Free Throw.,29,42
3:58,2110,Jordan Howard made Three Point Jumper.,32,42
3:32,2110,Foul on Jordan Howard.,32,42
3:32,2483,Official TV Timeout,32,42
3:32,2483,Payton Pritchard made Free Throw.,32,43
3:32,2483,Payton Pritchard made Free Throw.,32,44
3:22,2110,Jordan Howard made Three Point Jumper.,35,44
3:05,2483,Troy Brown made Three Point Jumper.,35,47
2:32,2110,Deandre Jones Turnover.,35,47
2:18,2483,Mikyle McIntosh made Dunk. Assisted by Payton Pritchard.,35,49
2:10,2110,Jordan Howard Turnover.,35,49
2:09,2483,Troy Brown Steal.,35,49
2:06,2483,Payton Pritchard missed Layup.,35,49
2:06,2110,Otas Iyekekpolor Defensive Rebound.,35,49
1:53,2110,Matthew Mondesir missed Three Point Jumper.,35,49
1:53,2110,Mathieu Kamba Offensive Rebound.,35,49
1:52,2483,Foul on Payton Pritchard.,35,49
1:52,2110,Mathieu Kamba made Free Throw.,36,49
1:52,2110,Mathieu Kamba missed Free Throw.,36,49
1:52,2483,Troy Brown Defensive Rebound.,36,49
1:30,2483,M.J. Cage made Layup. Assisted by Victor Bailey Jr..,36,51
1:13,2110,Ethan Lee missed Jumper.,36,51
1:13,2483,Oregon Defensive Rebound.,36,51
0:56,2483,Mikyle McIntosh made Layup. Assisted by Troy Brown.,36,53
0:42,2110,Matthew Mondesir made Layup. Assisted by Thatch Unruh.,38,53
0:15,2483,Mikyle McIntosh missed Layup.,38,53
0:15,2483,M.J. Cage Offensive Rebound.,38,53
0:13,2483,M.J. Cage made Two Point Tip Shot.,38,55
0:03,2483,Foul on Victor Bailey Jr..,38,55
0:02,2483,Foul on Victor Bailey Jr..,38,55
0:02,2110,Jordan Howard made Free Throw.,39,55
0:02,2110,Jordan Howard made Free Throw.,40,55
0:00,2483,End of 1st half,40,55
19:47,2110,Mathieu Kamba Turnover.,40,55
19:46,2483,Kenny Wooten Steal.,40,55
19:36,2483,Troy Brown missed Jumper.,40,55
19:36,2110,Jordan Howard Defensive Rebound.,40,55
19:22,2483,Foul on Elijah Brown.,40,55
19:20,2110,Tanner Schmit missed Jumper.,40,55
19:20,2483,Mikyle McIntosh Defensive Rebound.,40,55
19:13,2483,Troy Brown Turnover.,40,55
18:44,2110,Ethan Lee Turnover.,40,55
18:44,2483,Mikyle McIntosh Steal.,40,55
18:26,2483,Troy Brown missed Jumper.,40,55
18:26,2110,Thatch Unruh Defensive Rebound.,40,55
18:19,2483,Foul on Mikyle McIntosh.,40,55
18:19,2110,Ethan Lee missed Free Throw.,40,55
18:19,2110,Central Arkansas Deadball Team Rebound.,40,55
18:19,2110,Ethan Lee made Free Throw.,41,55
17:51,2483,Payton Pritchard made Three Point Jumper. Assisted by Troy Brown.,41,58
17:24,2110,Thatch Unruh missed Three Point Jumper.,41,58
17:24,2483,Payton Pritchard Defensive Rebound.,41,58
17:18,2110,Foul on Darraja Parnell.,41,58
17:17,2483,Troy Brown made Layup. Assisted by Payton Pritchard.,41,60
17:05,2483,Foul on Elijah Brown.,41,60
16:54,2110,Mathieu Kamba made Three Point Jumper. Assisted by Thatch Unruh.,44,60
16:37,2483,Elijah Brown made Three Point Jumper. Assisted by Payton Pritchard.,44,63
16:22,2110,Hayden Koval made Jumper. Assisted by Mathieu Kamba.,46,63
16:14,2483,Troy Brown missed Three Point Jumper.,46,63
16:14,2110,Jordan Howard Defensive Rebound.,46,63
16:07,2110,Jordan Howard missed Layup.,46,63
16:07,2110,Central Arkansas Offensive Rebound.,46,63
16:00,2110,Mathieu Kamba made Three Point Jumper. Assisted by Thatch Unruh.,49,63
15:44,2483,Kenny Wooten missed Layup.,49,63
15:44,2110,Mathieu Kamba Defensive Rebound.,49,63
15:35,2110,Mathieu Kamba made Jumper.,51,63
15:18,2483,Payton Pritchard Turnover.,51,63
15:17,2110,Darraja Parnell Steal.,51,63
15:14,2110,Thatch Unruh Turnover.,51,63
15:14,2110,Foul on Thatch Unruh.,51,63
15:14,2483,Official TV Timeout,51,63
15:04,2483,Payton Pritchard Turnover.,51,63
15:02,2110,Darraja Parnell Steal.,51,63
15:01,2110,Darraja Parnell made Layup.,53,63
14:34,2483,Payton Pritchard missed Three Point Jumper.,53,63
14:34,2483,Kenny Wooten Offensive Rebound.,53,63
14:25,2483,Kenny Wooten missed Layup.,53,63
14:25,2110,Hayden Koval Defensive Rebound.,53,63
14:18,2110,Mathieu Kamba missed Layup.,53,63
14:18,2483,Kenny Wooten Block.,53,63
14:17,2483,Victor Bailey Jr. Defensive Rebound.,53,63
14:13,2483,Payton Pritchard made Three Point Jumper. Assisted by Victor Bailey Jr..,53,66
13:53,2110,Thatch Unruh missed Three Point Jumper.,53,66
13:53,2483,Kenny Wooten Defensive Rebound.,53,66
13:37,2483,Mikyle McIntosh missed Layup.,53,66
13:37,2110,Hayden Koval Defensive Rebound.,53,66
13:26,2110,Jordan Howard missed Three Point Jumper.,53,66
13:26,2483,Kenny Wooten Defensive Rebound.,53,66
13:12,2483,Victor Bailey Jr. Turnover.,53,66
12:53,2110,Deandre Jones made Three Point Jumper. Assisted by Hayden Koval.,56,66
12:29,2110,Foul on Mathieu Kamba.,56,66
12:25,2483,Mikyle McIntosh made Three Point Jumper. Assisted by Payton Pritchard.,56,69
12:01,2110,Jordan Howard made Layup.,58,69
12:01,2483,Foul on Mikyle McIntosh.,58,69
12:01,2110,Jordan Howard made Free Throw.,59,69
11:53,2483,Mikyle McIntosh Turnover.,59,69
11:53,2483,Foul on Mikyle McIntosh.,59,69
11:53,2483,Official TV Timeout,59,69
11:33,2110,Jared Chatham Turnover.,59,69
11:19,2483,Keith Smith missed Jumper.,59,69
11:19,2110,Matthew Mondesir Defensive Rebound.,59,69
11:01,2110,Matthew Mondesir missed Three Point Jumper.,59,69
11:01,2483,Payton Pritchard Defensive Rebound.,59,69
10:31,2483,Keith Smith made Layup.,59,71
10:18,2110,Jordan Howard missed Jumper.,59,71
10:18,2483,Payton Pritchard Defensive Rebound.,59,71
10:08,2483,M.J. Cage made Layup. Assisted by Victor Bailey Jr..,59,73
10:00,2110,Central Arkansas  Timeout,59,73
10:00,2483,Official TV Timeout,59,73
9:33,2110,Mathieu Kamba missed Jumper.,59,73
9:33,2483,Payton Pritchard Defensive Rebound.,59,73
9:26,2483,Abu Kigab Turnover.,59,73
9:26,2483,Foul on Abu Kigab.,59,73
9:07,2110,Thatch Unruh Turnover.,59,73
9:02,2483,Troy Brown Turnover.,59,73
9:01,2110,Thatch Unruh Steal.,59,73
8:58,2110,Thatch Unruh made Layup. Assisted by Deandre Jones.,61,73
8:36,2483,Victor Bailey Jr. missed Layup.,61,73
8:36,2110,Hayden Koval Defensive Rebound.,61,73
8:16,2110,Hayden Koval made Three Point Jumper. Assisted by Thatch Unruh.,64,73
7:57,2483,Victor Bailey Jr. missed Layup.,64,73
7:57,2483,M.J. Cage Offensive Rebound.,64,73
7:55,2483,M.J. Cage made Two Point Tip Shot.,64,75
7:44,2483,Official TV Timeout,64,75
7:35,2110,Jordan Howard made Layup.,66,75
7:12,2483,Mikyle McIntosh made Three Point Jumper. Assisted by Victor Bailey Jr..,66,78
6:42,2110,Jordan Howard made Three Point Jumper.,69,78
6:17,2483,Kenny Wooten made Layup. Assisted by Victor Bailey Jr..,69,80
6:08,2110,Jordan Howard missed Layup.,69,80
6:08,2110,Mathieu Kamba Offensive Rebound.,69,80
5:54,2110,Thatch Unruh missed Three Point Jumper.,69,80
5:54,2483,Victor Bailey Jr. Defensive Rebound.,69,80
5:42,2110,Foul on Mathieu Kamba.,69,80
5:42,2483,Payton Pritchard missed Free Throw.,69,80
5:42,2483,Oregon Deadball Team Rebound.,69,80
5:42,2483,Payton Pritchard missed Free Throw.,69,80
5:42,2110,Mathieu Kamba Defensive Rebound.,69,80
5:30,2110,Jordan Howard Turnover.,69,80
5:17,2483,Elijah Brown missed Three Point Jumper.,69,80
5:17,2483,Kenny Wooten Offensive Rebound.,69,80
5:12,2483,Kenny Wooten made Dunk.,69,82
5:03,2110,Mathieu Kamba missed Three Point Jumper.,69,82
5:03,2483,Victor Bailey Jr. Defensive Rebound.,69,82
4:51,2483,Elijah Brown missed Three Point Jumper.,69,82
4:51,2483,Troy Brown Offensive Rebound.,69,82
4:39,2110,Foul on Tanner Schmit.,69,82
4:36,2110,Foul on Mathieu Kamba.,69,82
4:36,2483,Mikyle McIntosh made Free Throw.,69,83
4:36,2483,Mikyle McIntosh missed Free Throw.,69,83
4:36,2110,Tanner Schmit Defensive Rebound.,69,83
4:23,2110,Tanner Schmit made Jumper. Assisted by Darraja Parnell.,71,83
4:04,2110,Foul on Tanner Schmit.,71,83
4:04,2483,Victor Bailey Jr. made Free Throw.,71,84
4:04,2483,Victor Bailey Jr. made Free Throw.,71,85
3:56,2110,Deandre Jones missed Three Point Jumper.,71,85
3:56,2483,Elijah Brown Defensive Rebound.,71,85
3:51,2483,Elijah Brown Turnover.,71,85
3:50,2110,Darraja Parnell Steal.,71,85
3:47,2110,Mathieu Kamba made Dunk. Assisted by Darraja Parnell.,73,85
3:27,2110,Foul on Tanner Schmit.,73,85
3:27,2483,Official TV Timeout,73,85
3:27,2483,Troy Brown missed Free Throw.,73,85
3:27,2483,Oregon Deadball Team Rebound.,73,85
3:27,2483,Troy Brown made Free Throw.,73,86
3:09,2110,Hayden Koval missed Three Point Jumper.,73,86
3:09,2483,Mikyle McIntosh Defensive Rebound.,73,86
2:46,2483,Mikyle McIntosh made Three Point Jumper. Assisted by Payton Pritchard.,73,89
2:28,2110,Jordan Howard made Layup.,75,89
2:20,2110,Foul on Mathieu Kamba.,75,89
2:20,2483,Payton Pritchard made Free Throw.,75,90
2:20,2483,Payton Pritchard made Free Throw.,75,91
2:10,2110,Jordan Howard made Three Point Jumper. Assisted by Deandre Jones.,78,91
1:59,2483,Kenny Wooten made Dunk. Assisted by Elijah Brown.,78,93
1:38,2110,Mathieu Kamba missed Jumper.,78,93
1:38,2483,Kenny Wooten Block.,78,93
1:38,2110,Central Arkansas Offensive Rebound.,78,93
1:32,2110,Deandre Jones Turnover.,78,93
1:30,2483,Mikyle McIntosh Steal.,78,93
1:09,2483,Elijah Brown missed Three Point Jumper.,78,93
1:09,2483,Payton Pritchard Offensive Rebound.,78,93
0:39,2483,Payton Pritchard missed Layup.,78,93
0:39,2110,Central Arkansas Deadball Team Rebound.,78,93
0:38,2483,Foul on Kenny Wooten.,78,93
0:38,2110,Thatch Unruh made Free Throw.,79,93
0:38,2110,Thatch Unruh made Free Throw.,80,93
0:09,2483,Elijah Brown made Three Point Jumper. Assisted by Payton Pritchard.,80,96
0:01,2110,Deandre Jones made Layup.,82,96
0:00,2483,End of Game,82,96
