Towson,2473,Oakland,119
13:43,119,Foul on Eddie Keith II.,48,68
13:27,119,Foul on Justin Gorham.,48,68
13:27,2473,Jalen Hayes made Free Throw.,48,69
13:27,2473,Jalen Hayes made Free Throw.,48,70
13:18,119,Jordan McNeil made Three Point Jumper. Assisted by Mike Morsell.,51,70
12:53,2473,Martez Walker missed Three Point Jumper.,51,70
12:53,119,Alex Thomas Defensive Rebound.,51,70
12:38,119,Deshaun Morman missed Three Point Jumper.,51,70
12:38,2473,Jalen Hayes Defensive Rebound.,51,70
12:20,2473,Kendrick Nunn made Layup. Assisted by Martez Walker.,51,72
12:18,2473,Oakland  Timeout,51,72
12:06,119,Mike Morsell missed Three Point Jumper.,51,72
12:06,119,Alex Thomas Offensive Rebound.,51,72
12:04,2473,Foul on Martez Walker.,51,72
12:02,119,Mike Morsell Turnover.,51,72
12:01,2473,Kendrick Nunn Steal.,51,72
11:58,2473,Kendrick Nunn made Dunk.,51,74
11:43,119,Mike Morsell made Jumper. Assisted by Deshaun Morman.,53,74
11:20,2473,Jalen Hayes made Jumper. Assisted by Brailen Neely.,53,76
11:00,119,Deshaun Morman Turnover.,53,76
10:59,2473,Brailen Neely Steal.,53,76
10:57,119,Foul on Mike Morsell.,53,76
10:57,2473,Martez Walker made Free Throw.,53,77
10:57,2473,Martez Walker made Free Throw.,53,78
10:54,2473,Jalen Hayes made Layup. Assisted by Nick Daniels.,53,80
10:30,119,Zane Martin made Three Point Jumper. Assisted by Brian Starr.,56,80
10:07,119,Foul on Alex Thomas.,56,80
10:07,2473,Jalen Hayes made Free Throw.,56,81
10:07,2473,Jalen Hayes made Free Throw.,56,82
9:58,119,Brian Starr missed Jumper.,56,82
9:58,2473,Jalen Hayes Defensive Rebound.,56,82
9:50,2473,Martez Walker missed Three Point Jumper.,56,82
9:50,119,Eddie Keith II Defensive Rebound.,56,82
9:43,119,Zane Martin made Layup.,58,82
9:43,2473,Foul on Nick Daniels.,58,82
9:43,119,Zane Martin missed Free Throw.,58,82
9:43,2473,Jalen Hayes Defensive Rebound.,58,82
9:42,119,Foul on Alex Thomas.,58,82
9:42,2473,Martez Walker missed Free Throw.,58,82
9:42,119,Eddie Keith II Defensive Rebound.,58,82
9:33,119,Deshaun Morman made Jumper.,60,82
9:06,2473,Nick Daniels Turnover.,60,82
8:52,2473,Foul on Nick Daniels.,60,82
8:50,119,Dennis Tunstall missed Jumper.,60,82
8:50,2473,Stan Scott Defensive Rebound.,60,82
8:43,2473,Kendrick Nunn missed Three Point Jumper.,60,82
8:43,2473,Jalen Hayes Offensive Rebound.,60,82
8:37,2473,Martez Walker made Three Point Jumper. Assisted by Jalen Hayes.,60,85
8:16,119,Brian Starr made Three Point Jumper. Assisted by Zane Martin.,63,85
7:57,2473,Official TV Timeout,63,85
7:45,2473,Stan Scott Turnover.,63,85
7:43,119,Dennis Tunstall Steal.,63,85
7:36,119,Deshaun Morman missed Jumper.,63,85
7:36,2473,Kendrick Nunn Defensive Rebound.,63,85
7:28,119,Foul on Eddie Keith II.,63,85
7:28,2473,Martez Walker made Free Throw.,63,86
7:28,2473,Martez Walker made Free Throw.,63,87
7:09,2473,Foul on Jalen Hayes.,63,87
7:09,119,Mike Morsell missed Free Throw.,63,87
7:09,119,Towson Deadball Team Rebound.,63,87
7:09,119,Mike Morsell made Free Throw.,64,87
6:44,2473,Kendrick Nunn missed Jumper.,64,87
6:44,2473,Stan Scott Offensive Rebound.,64,87
6:38,2473,Stan Scott made Two Point Tip Shot.,64,89
6:25,119,Mike Morsell missed Jumper.,64,89
6:25,2473,Jalen Hayes Defensive Rebound.,64,89
6:00,2473,Kendrick Nunn missed Three Point Jumper.,64,89
6:00,119,Alex Thomas Defensive Rebound.,64,89
5:53,2473,Foul on Julius Palmer.,64,89
5:53,119,Jordan McNeil missed Free Throw.,64,89
5:53,119,Towson Deadball Team Rebound.,64,89
5:53,119,Jordan McNeil missed Free Throw.,64,89
5:53,2473,Jalen Hayes Defensive Rebound.,64,89
5:27,2473,Foul on Jalen Hayes.,64,89
5:27,2473,Jalen Hayes Turnover.,64,89
5:06,119,Travis Ingram made Jumper.,66,89
4:46,2473,Kendrick Nunn missed Three Point Jumper.,66,89
4:46,119,Jeffrey Prophete Defensive Rebound.,66,89
4:33,119,Jordan McNeil made Layup.,68,89
4:12,119,Foul on Mike Morsell.,68,89
4:12,2473,Jalen Hayes made Free Throw.,68,90
4:12,2473,Jalen Hayes made Free Throw.,68,91
4:03,119,Jeffrey Prophete missed Jumper.,68,91
4:03,119,Alex Thomas Offensive Rebound.,68,91
3:58,119,Alex Thomas missed Jumper.,68,91
3:58,2473,Julius Palmer Block.,68,91
3:55,2473,Nick Daniels Defensive Rebound.,68,91
3:52,2473,Brailen Neely Turnover.,68,91
3:51,119,Jordan McNeil Steal.,68,91
3:48,119,Jordan McNeil made Layup. Assisted by Jeffrey Prophete.,70,91
3:48,2473,Foul on Nick Daniels.,70,91
3:48,2473,Official TV Timeout,70,91
3:48,119,Jordan McNeil made Free Throw.,71,91
3:32,2473,Jalen Hayes Turnover.,71,91
3:24,119,Jeffrey Prophete Turnover.,71,91
2:57,2473,Stan Scott made Jumper. Assisted by Julius Palmer.,71,93
2:41,119,Mike Morsell made Jumper.,73,93
2:24,2473,Nick Daniels missed Jumper.,73,93
2:24,119,Travis Ingram Defensive Rebound.,73,93
2:16,119,Travis Ingram made Jumper.,75,93
1:55,2473,Foul on Julius Palmer.,75,93
1:55,2473,Julius Palmer Turnover.,75,93
1:47,119,Mike Morsell made Three Point Jumper. Assisted by Jeffrey Prophete.,78,93
1:25,2473,Julius Palmer made Jumper. Assisted by Chris Palombizio.,78,95
1:25,119,Foul on Alex Thomas.,78,95
1:25,2473,Julius Palmer missed Free Throw.,78,95
1:25,119,Dennis Tunstall Defensive Rebound.,78,95
1:16,119,Mike Morsell made Three Point Jumper. Assisted by Jordan McNeil.,81,95
0:42,2473,Tom Cotter missed Jumper.,81,95
0:42,119,Dennis Tunstall Defensive Rebound.,81,95
0:32,119,Mike Morsell made Three Point Jumper. Assisted by Travis Ingram.,84,95
0:15,2473,Stan Scott Turnover.,84,95
0:13,119,Travis Ingram Steal.,84,95
0:10,119,Jordan McNeil made Jumper.,86,95
0:05,119,Foul on Travis Ingram.,86,95
0:05,2473,Stan Scott made Free Throw.,86,96
0:05,2473,Stan Scott made Free Throw.,86,97
0:01,119,Mike Morsell missed Three Point Jumper.,86,97
0:01,119,Towson Deadball Team Rebound.,86,97
0:00,2473,End of Game,86,97
