Lafayette,172,Cornell,322
18:52,322,Paulius Zalys Defensive Rebound.,40,45
18:37,322,Eric Stafford missed Three Point Jumper.,40,45
18:37,172,Stone Gettings Defensive Rebound.,40,45
18:23,172,Stone Gettings made Three Point Jumper. Assisted by Jack Gordon.,40,48
18:05,322,Justin Jaworski made Layup.,42,48
17:46,172,Jack Gordon made Three Point Jumper. Assisted by Matt Morgan.,42,51
17:36,322,Kyle Stout missed Three Point Jumper.,42,51
17:36,172,Terrance McBride Defensive Rebound.,42,51
17:26,322,Foul on Matt Klinewski.,42,51
17:26,172,Matt Morgan made Free Throw.,42,52
17:26,172,Matt Morgan missed Free Throw.,42,52
17:26,322,Kyle Stout Defensive Rebound.,42,52
17:00,322,Justin Jaworski missed Layup.,42,52
17:00,322,Justin Jaworski Offensive Rebound.,42,52
16:58,322,Justin Jaworski made Layup.,44,52
16:58,172,Foul on Jack Gordon.,44,52
16:58,322,Justin Jaworski made Free Throw.,45,52
16:34,322,Foul on Kyle Stout.,45,52
16:34,172,Stone Gettings made Free Throw.,45,53
16:34,172,Stone Gettings made Free Throw.,45,54
16:10,172,Foul on Jack Gordon.,45,54
15:56,322,Matt Klinewski missed Three Point Jumper.,45,54
15:56,172,Steven Julian Defensive Rebound.,45,54
15:46,172,Stone Gettings missed Three Point Jumper.,45,54
15:46,322,Kyle Stout Defensive Rebound.,45,54
15:25,322,Alex Petrie made Three Point Jumper.,48,54
15:04,172,Stone Gettings made Jumper. Assisted by Joel Davis.,48,56
14:41,322,Justin Jaworski missed Jumper.,48,56
14:41,172,Steven Julian Block.,48,56
14:41,172,Cornell Defensive Rebound.,48,56
14:41,172,Official TV Timeout,48,56
14:40,172,Official TV Timeout,48,56
14:25,322,Foul on Kyle Stout.,48,56
14:23,172,Matt Morgan missed Layup.,48,56
14:23,322,Dylan Hastings Block.,48,56
14:19,322,Justin Jaworski Defensive Rebound.,48,56
13:56,322,Kyle Stout missed Three Point Jumper.,48,56
13:56,172,Steven Julian Defensive Rebound.,48,56
13:40,172,Josh Warren made Jumper. Assisted by Steven Julian.,48,58
13:26,172,Foul on Josh Warren.,48,58
13:26,322,Kyle Stout made Free Throw.,49,58
13:26,322,Kyle Stout missed Free Throw.,49,58
13:26,172,Josh Warren Defensive Rebound.,49,58
13:10,172,Matt Morgan missed Three Point Jumper.,49,58
13:10,322,Paulius Zalys Defensive Rebound.,49,58
12:47,322,Justin Jaworski missed Jumper.,49,58
12:47,172,Josh Warren Defensive Rebound.,49,58
12:40,172,Matt Morgan made Layup.,49,60
12:25,322,E.J. Stephens made Dunk.,51,60
12:10,172,Joel Davis missed Jumper.,51,60
12:10,172,Josh Warren Offensive Rebound.,51,60
12:09,322,Foul on Matt Klinewski.,51,60
12:09,172,Matt Morgan made Layup. Assisted by Jack Gordon.,51,62
11:53,322,Alex Petrie missed Jumper.,51,62
11:53,172,Steven Julian Block.,51,62
11:52,172,Steven Julian Defensive Rebound.,51,62
11:27,172,Matt Morgan made Jumper.,51,64
11:16,172,Foul on Josh Warren.,51,64
11:16,172,Official TV Timeout,51,64
11:13,322,Alex Petrie missed Three Point Jumper.,51,64
11:13,172,Jack Gordon Defensive Rebound.,51,64
10:38,172,Joel Davis made Layup. Assisted by Steven Julian.,51,66
10:16,322,Alex Petrie missed Three Point Jumper.,51,66
10:16,322,E.J. Stephens Offensive Rebound.,51,66
10:10,322,E.J. Stephens missed Jumper.,51,66
10:10,322,Myles Cherry Offensive Rebound.,51,66
9:59,322,Eric Stafford Turnover.,51,66
9:55,172,Steven Julian Steal.,51,66
9:55,322,Foul on Paulius Zalys.,51,66
9:43,172,Joel Davis Turnover.,51,66
9:43,172,Foul on Joel Davis.,51,66
9:33,322,Paulius Zalys made Layup.,53,66
9:14,172,Joel Davis made Three Point Jumper. Assisted by Jack Gordon.,53,69
8:55,322,Eric Stafford Turnover.,53,69
8:53,172,Steven Julian Steal.,53,69
8:46,172,Steven Julian missed Jumper.,53,69
8:46,322,Alex Petrie Defensive Rebound.,53,69
8:34,322,Paulius Zalys made Jumper.,55,69
8:09,172,Stone Gettings missed Jumper.,55,69
8:09,172,Cornell Offensive Rebound.,55,69
7:53,172,Joel Davis made Dunk.,55,71
7:43,322,Kyle Stout made Three Point Jumper. Assisted by Lukas Jarrett.,58,71
7:34,172,Jack Gordon Turnover.,58,71
7:34,172,Official TV Timeout,58,71
7:08,322,Paulius Zalys missed Jumper.,58,71
7:08,172,Stone Gettings Defensive Rebound.,58,71
6:44,322,Foul on Lukas Jarrett.,58,71
6:44,172,Joel Davis made Free Throw.,58,72
6:44,172,Joel Davis missed Free Throw.,58,72
6:44,322,Paulius Zalys Defensive Rebound.,58,72
6:19,322,Matt Klinewski made Layup. Assisted by Paulius Zalys.,60,72
5:53,172,Bryan Knapp missed Jumper.,60,72
5:53,322,Kyle Stout Block.,60,72
5:50,322,Paulius Zalys Defensive Rebound.,60,72
5:49,322,Paulius Zalys Turnover.,60,72
5:34,172,Joel Davis made Jumper. Assisted by Stone Gettings.,60,74
5:21,172,Foul on Stone Gettings.,60,74
5:21,322,Matt Klinewski missed Free Throw.,60,74
5:21,172,Josh Warren Defensive Rebound.,60,74
5:12,172,Matt Morgan missed Three Point Jumper.,60,74
5:12,322,Kyle Stout Defensive Rebound.,60,74
5:01,172,Foul on Josh Warren.,60,74
5:01,322,Alex Petrie made Free Throw.,61,74
5:01,322,Alex Petrie made Free Throw.,62,74
4:44,172,Matt Morgan made Jumper.,62,76
4:44,322,Foul on Myles Cherry.,62,76
4:44,172,Matt Morgan missed Free Throw.,62,76
4:44,322,Lukas Jarrett Defensive Rebound.,62,76
4:35,322,Matt Klinewski Turnover.,62,76
4:07,172,Joel Davis missed Three Point Jumper.,62,76
4:07,172,Steven Julian Offensive Rebound.,62,76
3:35,172,Matt Morgan missed Three Point Jumper.,62,76
3:35,322,Kyle Stout Defensive Rebound.,62,76
3:32,322,Justin Jaworski missed Three Point Jumper.,62,76
3:32,322,Dylan Hastings Offensive Rebound.,62,76
3:23,322,Dylan Hastings Turnover.,62,76
3:23,172,Matt Morgan Steal.,62,76
3:23,172,Official TV Timeout,62,76
3:02,172,Stone Gettings missed Jumper.,62,76
3:02,172,Stone Gettings Offensive Rebound.,62,76
2:42,172,Matt Morgan made Layup. Assisted by Joel Davis.,62,78
2:31,322,Kyle Stout missed Three Point Jumper.,62,78
2:31,172,Steven Julian Defensive Rebound.,62,78
2:24,172,Joel Davis Turnover.,62,78
2:16,322,Justin Jaworski missed Layup.,62,78
2:16,172,Steven Julian Block.,62,78
2:14,172,Joel Davis Defensive Rebound.,62,78
1:50,172,Stone Gettings Turnover.,62,78
1:50,172,Foul on Stone Gettings.,62,78
1:40,322,Alex Petrie missed Three Point Jumper.,62,78
1:40,322,Kyle Stout Offensive Rebound.,62,78
1:29,322,Alex Petrie made Three Point Jumper. Assisted by Kyle Stout.,65,78
1:14,172,Matt Morgan missed Three Point Jumper.,65,78
1:14,322,Dylan Hastings Defensive Rebound.,65,78
1:13,172,Foul on Steven Julian.,65,78
1:13,322,Dylan Hastings made Free Throw.,66,78
1:13,322,Dylan Hastings made Free Throw.,67,78
0:42,172,Joel Davis missed Jumper.,67,78
0:42,322,Myles Cherry Block.,67,78
0:42,172,Cornell Offensive Rebound.,67,78
0:42,172,Cornell  Turnover.,67,78
0:27,322,Alex Petrie made Jumper.,69,78
0:27,322,Lafayette  Timeout,69,78
0:24,322,Foul on Kyle Stout.,69,78
0:24,172,Jack Gordon missed Free Throw.,69,78
0:24,322,Myles Cherry Defensive Rebound.,69,78
0:15,322,Alex Petrie made Jumper.,71,78
0:14,322,Lafayette  Timeout,71,78
0:10,322,Foul on Myles Cherry.,71,78
0:10,172,Stone Gettings made Free Throw.,71,79
0:10,172,Stone Gettings made Free Throw.,71,80
0:06,172,Riley Voss missed Three Point Jumper.,71,80
