Prairie View A&amp;M,195,Ohio,2504
12:44,2504,JD Wallace Defensive Rebound.,12,13
12:22,2504,Troy Thompson missed Three Point Jumper.,12,13
12:22,195,Teyvion Kirk Defensive Rebound.,12,13
12:07,2504,Foul on JD Wallace.,12,13
12:07,195,Teyvion Kirk made Free Throw.,12,14
12:07,195,Teyvion Kirk made Free Throw.,12,15
11:52,2504,Shaquille Preston missed Layup.,12,15
11:52,195,Doug Taylor Block.,12,15
11:51,2504,Troy Thompson Defensive Rebound.,12,15
11:36,2504,Prairie View A&M  Turnover.,12,15
11:36,195,Official TV Timeout,12,15
11:23,195,Gavin Block missed Jumper.,12,15
11:23,2504,Gary Blackston Defensive Rebound.,12,15
11:10,2504,Zachary Hamilton missed Jumper.,12,15
11:10,195,Zach Butler Defensive Rebound.,12,15
10:47,195,Doug Taylor Turnover.,12,15
10:16,2504,Prairie View A&M  Turnover.,12,15
10:03,195,Kevin Mickle Turnover.,12,15
9:41,2504,Troy Thompson missed Three Point Jumper.,12,15
9:41,195,Kevin Mickle Defensive Rebound.,12,15
9:28,195,Kevin Mickle made Layup. Assisted by Teyvion Kirk.,12,17
9:02,2504,Dennis Jones Turnover.,12,17
9:00,195,James Gollon Steal.,12,17
8:59,2504,Foul on Gary Blackston.,12,17
8:59,195,Kevin Mickle missed Free Throw.,12,17
8:59,195,Ohio Deadball Team Rebound.,12,17
8:59,195,Kevin Mickle missed Free Throw.,12,17
8:59,2504,JD Wallace Defensive Rebound.,12,17
8:50,2504,Dennis Jones made Layup.,14,17
8:39,195,James Gollon missed Three Point Jumper.,14,17
8:39,2504,JD Wallace Defensive Rebound.,14,17
8:32,2504,Zachary Hamilton made Three Point Jumper. Assisted by Dennis Jones.,17,17
8:15,195,James Gollon missed Layup.,17,17
8:15,2504,Gary Blackston Defensive Rebound.,17,17
7:53,2504,Gary Blackston made Jumper.,19,17
7:34,195,James Gollon Turnover.,19,17
7:33,2504,JD Wallace Steal.,19,17
7:27,2504,Shay'rone Jett made Layup. Assisted by Dennis Jones.,21,17
7:14,195,Jordan Dartis made Layup.,21,19
7:03,2504,Dennis Jones Turnover.,21,19
6:49,195,Zach Butler missed Three Point Jumper.,21,19
6:49,2504,Iwin Ellis Defensive Rebound.,21,19
6:39,2504,Dennis Jones Turnover.,21,19
6:22,195,Doug Taylor made Layup. Assisted by Teyvion Kirk.,21,21
6:06,2504,Iwin Ellis Turnover.,21,21
6:05,195,Zach Butler Steal.,21,21
5:51,195,Gavin Block made Three Point Jumper. Assisted by James Gollon.,21,24
5:14,2504,Dennis Jones missed Three Point Jumper.,21,24
5:14,195,Doug Taylor Defensive Rebound.,21,24
4:56,2504,Foul on Iwin Ellis.,21,24
4:56,195,Jordan Dartis made Free Throw.,21,25
4:56,195,Jordan Dartis made Free Throw.,21,26
4:41,195,Foul on Teyvion Kirk.,21,26
4:38,2504,Shay'rone Jett made Jumper.,23,26
4:20,195,Zach Butler missed Three Point Jumper.,23,26
4:20,2504,Troy Thompson Defensive Rebound.,23,26
4:17,195,Foul on James Gollon.,23,26
4:02,2504,Dennis Jones missed Layup.,23,26
4:02,195,Kevin Mickle Defensive Rebound.,23,26
3:52,195,Jordan Dartis Turnover.,23,26
3:52,195,Official TV Timeout,23,26
3:38,2504,Zachary Hamilton missed Three Point Jumper.,23,26
3:38,2504,Shay'rone Jett Offensive Rebound.,23,26
3:25,2504,Juan Hood Turnover.,23,26
3:10,195,Gavin Block missed Jumper.,23,26
3:10,195,Kevin Mickle Offensive Rebound.,23,26
3:09,2504,Foul on Zachary Hamilton.,23,26
3:09,195,Kevin Mickle made Free Throw.,23,27
3:09,195,Kevin Mickle missed Free Throw.,23,27
3:09,2504,JD Wallace Defensive Rebound.,23,27
2:51,2504,Dennis Jones made Jumper.,25,27
2:34,195,Kevin Mickle missed Jumper.,25,27
2:34,195,James Gollon Defensive Rebound.,25,27
2:19,195,Jordan Dartis missed Jumper.,25,27
2:19,2504,Gary Blackston Defensive Rebound.,25,27
2:01,2504,Dennis Jones missed Layup.,25,27
2:01,195,Jordan Dartis Defensive Rebound.,25,27
1:50,2504,Foul on Gary Blackston.,25,27
1:50,195,Gavin Block made Free Throw.,25,28
1:50,195,Gavin Block made Free Throw.,25,29
1:29,2504,Shaquille Preston missed Layup.,25,29
1:29,2504,Shaquille Preston Offensive Rebound.,25,29
1:28,2504,Shaquille Preston made Layup.,27,29
1:22,195,Jordan Dartis Turnover.,27,29
1:21,2504,Gary Blackston Steal.,27,29
1:19,195,Foul on Gavin Block.,27,29
1:19,2504,Gary Blackston made Free Throw.,28,29
1:19,2504,Gary Blackston made Free Throw.,29,29
1:02,195,Zach Butler Turnover.,29,29
1:02,195,Foul on Zach Butler.,29,29
0:41,2504,Gary Blackston made Jumper.,31,29
0:22,195,Ohio  Timeout,31,29
0:06,195,Jordan Dartis missed Jumper.,31,29
0:06,2504,Zachary Hamilton Block.,31,29
0:06,195,Ohio Offensive Rebound.,31,29
0:06,195,Ohio  Turnover.,31,29
0:02,2504,Gary Blackston missed Three Point Jumper.,31,29
0:02,195,Ohio Defensive Rebound.,31,29
0:00,195,End of 1st half,31,29
19:43,195,Jordan Dartis missed Three Point Jumper.,31,29
19:43,2504,Dennis Jones Defensive Rebound.,31,29
19:23,2504,Zachary Hamilton missed Jumper.,31,29
19:23,195,Doug Taylor Defensive Rebound.,31,29
19:05,195,Kevin Mickle made Jumper. Assisted by Gavin Block.,31,31
18:39,2504,Iwin Ellis made Layup. Assisted by Dennis Jones.,33,31
18:04,195,Gavin Block missed Jumper.,33,31
18:04,2504,Zachary Hamilton Defensive Rebound.,33,31
17:48,2504,Zachary Hamilton made Three Point Jumper. Assisted by Dennis Jones.,36,31
17:33,2504,Foul on Dennis Jones.,36,31
17:30,2504,Foul on Iwin Ellis.,36,31
17:28,2504,Foul on Gary Blackston.,36,31
17:28,195,Jordan Dartis made Free Throw.,36,32
17:28,195,Jordan Dartis made Free Throw.,36,33
17:13,2504,Gary Blackston missed Three Point Jumper.,36,33
17:13,2504,Iwin Ellis Offensive Rebound.,36,33
17:03,2504,Zachary Hamilton missed Three Point Jumper.,36,33
17:03,195,Doug Taylor Defensive Rebound.,36,33
16:54,195,Teyvion Kirk Turnover.,36,33
16:39,2504,Dennis Jones missed Layup.,36,33
16:39,195,Doug Taylor Defensive Rebound.,36,33
16:33,195,Gavin Block made Three Point Jumper. Assisted by Jordan Dartis.,36,36
16:12,2504,Austin Starr made Three Point Jumper. Assisted by Zachary Hamilton.,39,36
15:59,195,Kevin Mickle missed Jumper.,39,36
15:59,195,Ohio Offensive Rebound.,39,36
15:59,195,Official TV Timeout,39,36
15:57,2504,Foul on Austin Starr.,39,36
15:44,195,Jordan Dartis made Three Point Jumper. Assisted by Gavin Block.,39,39
15:10,2504,Dennis Jones missed Three Point Jumper.,39,39
15:10,2504,JD Wallace Offensive Rebound.,39,39
15:08,2504,Prairie View A&M  Turnover.,39,39
14:55,2504,Foul on Shaquille Preston.,39,39
14:55,195,Jordan Dartis made Free Throw.,39,40
14:55,195,Jordan Dartis made Free Throw.,39,41
14:55,195,Jordan Dartis made Free Throw.,39,42
14:32,2504,Dennis Jones Turnover.,39,42
14:31,195,James Gollon Steal.,39,42
14:27,195,Teyvion Kirk made Layup. Assisted by Jordan Dartis.,39,44
14:18,2504,Gary Blackston made Layup.,41,44
14:03,2504,Foul on Austin Starr.,41,44
14:03,195,Teyvion Kirk made Free Throw.,41,45
14:03,195,Teyvion Kirk made Free Throw.,41,46
13:50,2504,Austin Starr missed Jumper.,41,46
13:50,2504,JD Wallace Offensive Rebound.,41,46
13:45,2504,JD Wallace made Layup.,43,46
13:32,195,James Gollon made Three Point Jumper. Assisted by Jordan Dartis.,43,49
13:20,2504,Gary Blackston missed Layup.,43,49
13:20,195,Gavin Block Defensive Rebound.,43,49
13:01,195,Teyvion Kirk missed Layup.,43,49
13:01,2504,Gary Blackston Defensive Rebound.,43,49
12:55,2504,Gary Blackston made Layup.,45,49
12:47,195,James Gollon made Three Point Jumper. Assisted by Teyvion Kirk.,45,52
12:24,2504,Iwin Ellis Turnover.,45,52
12:22,195,James Gollon Steal.,45,52
12:16,195,Teyvion Kirk Turnover.,45,52
12:16,195,Foul on Teyvion Kirk.,45,52
11:58,195,Foul on Gavin Block.,45,52
11:58,2504,Zachary Hamilton made Free Throw.,46,52
11:58,2504,Zachary Hamilton made Free Throw.,47,52
11:40,195,Jordan Dartis made Jumper.,47,54
11:17,2504,Zachary Hamilton missed Three Point Jumper.,47,54
11:17,195,Zach Butler Defensive Rebound.,47,54
11:11,195,Jordan Dartis missed Three Point Jumper.,47,54
11:11,2504,Zachary Hamilton Defensive Rebound.,47,54
11:00,2504,Shay'rone Jett missed Jumper.,47,54
11:00,195,James Gollon Defensive Rebound.,47,54
10:44,195,Jordan Dartis missed Layup.,47,54
10:44,2504,Zachary Hamilton Defensive Rebound.,47,54
10:36,2504,Zachary Hamilton made Jumper.,49,54
10:25,195,Zach Butler Turnover.,49,54
10:25,195,Foul on Zach Butler.,49,54
10:04,2504,Dennis Jones missed Three Point Jumper.,49,54
10:04,195,Ohio Defensive Rebound.,49,54
9:48,2504,Foul on Dennis Jones.,49,54
9:48,195,Kevin Mickle missed Free Throw.,49,54
9:48,195,Ohio Deadball Team Rebound.,49,54
9:48,195,Kevin Mickle made Free Throw.,49,55
9:34,2504,Zachary Hamilton Turnover.,49,55
9:34,2504,Foul on Zachary Hamilton.,49,55
9:28,195,Jordan Dartis missed Three Point Jumper.,49,55
9:28,2504,Shay'rone Jett Defensive Rebound.,49,55
9:15,2504,Gary Blackston missed Layup.,49,55
9:15,195,Doug Taylor Defensive Rebound.,49,55
9:07,195,Jordan Dartis Turnover.,49,55
9:05,2504,Austin Starr Steal.,49,55
9:01,2504,Austin Starr made Three Point Jumper. Assisted by Shay'rone Jett.,52,55
8:45,195,Gavin Block missed Three Point Jumper.,52,55
8:45,2504,Shay'rone Jett Defensive Rebound.,52,55
8:35,2504,Austin Starr Turnover.,52,55
8:34,195,Kevin Mickle Steal.,52,55
8:33,2504,Foul on Dennis Jones.,52,55
8:33,195,Kevin Mickle made Free Throw.,52,56
8:33,195,Kevin Mickle made Free Throw.,52,57
8:19,2504,Zachary Hamilton missed Three Point Jumper.,52,57
8:19,195,Teyvion Kirk Defensive Rebound.,52,57
8:09,2504,Foul on JD Wallace.,52,57
8:09,195,Teyvion Kirk made Free Throw.,52,58
8:09,195,Teyvion Kirk made Free Throw.,52,59
8:00,2504,JD Wallace Turnover.,52,59
8:00,195,Official TV Timeout,52,59
7:48,2504,Foul on Austin Starr.,52,59
7:48,195,James Gollon made Free Throw.,52,60
7:48,195,James Gollon made Free Throw.,52,61
7:48,195,James Gollon made Free Throw.,52,62
7:41,2504,Austin Starr missed Three Point Jumper.,52,62
7:41,195,James Gollon Defensive Rebound.,52,62
7:26,195,Gavin Block Turnover.,52,62
7:25,2504,Iwin Ellis Steal.,52,62
7:14,2504,Austin Starr missed Three Point Jumper.,52,62
7:14,195,Teyvion Kirk Defensive Rebound.,52,62
6:41,195,Kevin Mickle missed Jumper.,52,62
6:41,2504,JD Wallace Block.,52,62
6:41,195,Ohio Offensive Rebound.,52,62
6:41,195,Ohio  Turnover.,52,62
6:33,2504,Gary Blackston missed Jumper.,52,62
6:33,195,Jordan Dartis Block.,52,62
6:31,2504,Gary Blackston Offensive Rebound.,52,62
6:22,2504,Zachary Hamilton made Three Point Jumper. Assisted by Gary Blackston.,55,62
5:54,2504,Foul on Zachary Hamilton.,55,62
5:54,2504,Technical Foul on Prairie View A&M.,55,62
5:54,195,Jordan Dartis made Free Throw.,55,63
5:54,195,Jordan Dartis missed Free Throw.,55,63
5:54,195,Ohio Deadball Team Rebound.,55,63
5:54,195,Gavin Block missed Free Throw.,55,63
5:54,195,Ohio Deadball Team Rebound.,55,63
5:54,195,Gavin Block made Free Throw.,55,64
5:40,2504,Troy Thompson missed Three Point Jumper.,55,64
5:40,195,Teyvion Kirk Defensive Rebound.,55,64
5:20,195,Teyvion Kirk made Layup. Assisted by James Gollon.,55,66
5:07,2504,Zachary Hamilton missed Three Point Jumper.,55,66
5:07,195,Doug Taylor Defensive Rebound.,55,66
4:49,195,James Gollon missed Three Point Jumper.,55,66
4:49,2504,Gary Blackston Defensive Rebound.,55,66
4:39,2504,Troy Thompson missed Three Point Jumper.,55,66
4:39,195,Doug Taylor Defensive Rebound.,55,66
4:29,195,Teyvion Kirk Turnover.,55,66
4:27,2504,Troy Thompson Steal.,55,66
4:22,195,Foul on Jordan Dartis.,55,66
4:13,2504,Gary Blackston made Jumper.,57,66
3:57,195,Jordan Dartis made Layup.,57,68
3:48,2504,Zachary Hamilton missed Layup.,57,68
3:48,195,Doug Taylor Defensive Rebound.,57,68
3:42,195,James Gollon made Three Point Jumper. Assisted by Teyvion Kirk.,57,71
3:14,2504,Zachary Hamilton made Jumper.,59,71
2:57,195,James Gollon made Three Point Jumper. Assisted by Jordan Dartis.,59,74
2:39,195,Foul on James Gollon.,59,74
2:35,2504,Gary Blackston made Jumper.,61,74
2:35,195,Foul on Jordan Dartis.,61,74
2:35,2504,Gary Blackston made Free Throw.,62,74
2:27,195,Jordan Dartis made Three Point Jumper. Assisted by Kevin Mickle.,62,77
2:13,2504,Gary Blackston missed Jumper.,62,77
2:13,195,Teyvion Kirk Defensive Rebound.,62,77
1:58,195,Gavin Block Turnover.,62,77
1:51,2504,Dennis Jones Turnover.,62,77
1:30,195,Gavin Block made Three Point Jumper. Assisted by Teyvion Kirk.,62,80
1:20,2504,Gary Blackston made Three Point Jumper.,65,80
1:06,195,Kevin Mickle made Dunk. Assisted by Gavin Block.,65,82
0:57,2504,Austin Starr missed Three Point Jumper.,65,82
0:57,195,Doug Taylor Defensive Rebound.,65,82
0:33,195,Teyvion Kirk made Layup.,65,84
0:26,2504,Gary Blackston missed Three Point Jumper.,65,84
0:26,195,Teyvion Kirk Defensive Rebound.,65,84
0:23,195,Teyvion Kirk Turnover.,65,84
0:21,2504,Gary Blackston Steal.,65,84
0:17,2504,Zachary Hamilton missed Three Point Jumper.,65,84
0:17,195,James Gollon Defensive Rebound.,65,84
0:00,195,End of Game,65,84
