Providence (MT),Error,Eastern Washington,331
15:22,-1,Great Falls  Timeout,3,12
15:22,331,Official TV Timeout,3,12
15:06,-1,Sergio Berkley missed Jumper.,3,12
15:06,331,Jack Perry Defensive Rebound.,3,12
14:58,331,Jesse Hunt missed Jumper.,3,12
14:58,-1,Steven Daho-Clark Defensive Rebound.,3,12
14:26,-1,Treyvon Bashir made Layup.,5,12
14:02,331,Jack Perry missed Three Point Jumper.,5,12
14:02,331,Jesse Hunt Offensive Rebound.,5,12
13:58,331,Ty Gibson missed Three Point Jumper.,5,12
13:58,331,Jesse Hunt Offensive Rebound.,5,12
13:52,331,Bogdan Bliznyuk made Layup.,5,14
13:52,-1,Foul on Jared Schultz.,5,14
13:52,331,Bogdan Bliznyuk made Free Throw.,5,15
13:44,-1,Jared Schultz made Layup.,7,15
13:44,331,Foul on Sir Washington.,7,15
13:44,-1,Jared Schultz made Free Throw.,8,15
13:18,331,Bogdan Bliznyuk missed Jumper.,8,15
13:18,-1,Sergio Berkley Defensive Rebound.,8,15
13:04,-1,Deontae Woodbridge missed Jumper.,8,15
13:04,331,Sir Washington Defensive Rebound.,8,15
12:53,-1,Foul on Deontae Woodbridge.,8,15
12:53,331,Jesse Hunt made Free Throw.,8,16
12:53,331,Jesse Hunt made Free Throw.,8,17
12:48,-1,Jared Schultz missed Three Point Jumper.,8,17
12:48,-1,Sergio Berkley Offensive Rebound.,8,17
12:30,-1,Sergio Berkley missed Layup.,8,17
12:29,-1,Deontae Woodbridge Offensive Rebound.,8,17
12:26,-1,Deontae Woodbridge made Two Point Tip Shot.,10,17
12:00,331,Sir Washington missed Three Point Jumper.,10,17
12:00,331,Benas Griciunas Offensive Rebound.,10,17
11:57,331,Benas Griciunas made Two Point Tip Shot.,10,19
11:57,-1,Foul on Jared Schultz.,10,19
11:57,331,Official TV Timeout,10,19
11:57,331,Benas Griciunas missed Free Throw.,10,19
11:57,-1,D'shea Williams Defensive Rebound.,10,19
11:56,331,Foul on Sir Washington.,10,19
11:33,-1,Sergio Berkley Turnover.,10,19
11:32,331,Bogdan Bliznyuk Steal.,10,19
11:19,-1,Foul on Deontae Woodbridge.,10,19
11:01,331,Bogdan Bliznyuk made Layup.,10,21
10:30,-1,DuShaun Rice missed Jumper.,10,21
10:30,331,Cody Benzel Block.,10,21
10:27,331,Cody Benzel Defensive Rebound.,10,21
10:19,331,Jack Perry made Jumper. Assisted by Bogdan Bliznyuk.,10,23
9:59,-1,Matthew Brooks-McGregor made Three Point Jumper. Assisted by Sergio Berkley.,13,23
9:37,331,Benas Griciunas missed Layup.,13,23
9:37,-1,Steven Daho-Clark Defensive Rebound.,13,23
9:06,-1,DuShaun Rice missed Three Point Jumper.,13,23
9:06,331,Eastern Washington Deadball Team Rebound.,13,23
8:40,331,Richard Polanco Turnover.,13,23
8:18,-1,Steven Daho-Clark made Layup.,15,23
8:18,331,Foul on Benas Griciunas.,15,23
8:18,-1,Steven Daho-Clark made Free Throw.,16,23
8:04,331,Sir Washington made Layup.,16,25
7:39,-1,Sergio Berkley missed Three Point Jumper.,16,25
7:39,-1,Steven Daho-Clark Offensive Rebound.,16,25
7:37,331,Foul on Benas Griciunas.,16,25
7:37,331,Official TV Timeout,16,25
7:31,-1,Treyvon Bashir missed Three Point Jumper.,16,25
7:31,331,Jacob Davison Defensive Rebound.,16,25
7:23,331,Cody Benzel missed Three Point Jumper.,16,25
7:23,-1,Treyvon Bashir Defensive Rebound.,16,25
7:11,-1,Matthew Brooks-McGregor made Three Point Jumper. Assisted by Sergio Berkley.,19,25
6:54,331,Jacob Davison missed Three Point Jumper.,19,25
6:54,-1,Jacob Wetzel Defensive Rebound.,19,25
6:38,-1,Steven Daho-Clark missed Jumper.,19,25
6:38,331,Sir Washington Defensive Rebound.,19,25
6:28,331,Richard Polanco missed Three Point Jumper.,19,25
6:28,-1,Steven Daho-Clark Defensive Rebound.,19,25
6:06,-1,Sergio Berkley missed Jumper.,19,25
6:06,331,Benas Griciunas Defensive Rebound.,19,25
5:49,331,Jacob Davison made Jumper.,19,27
5:49,-1,Foul on Steven Daho-Clark.,19,27
5:49,331,Jacob Davison made Free Throw.,19,28
5:28,-1,Deontae Woodbridge missed Jumper.,19,28
5:28,331,Jesse Hunt Defensive Rebound.,19,28
5:15,331,Cody Benzel made Three Point Jumper. Assisted by Ty Gibson.,19,31
4:47,-1,DuShaun Rice missed Jumper.,19,31
4:47,331,Ty Gibson Defensive Rebound.,19,31
4:32,331,Ty Gibson made Three Point Jumper. Assisted by Cody Benzel.,19,34
3:59,-1,Treyvon Bashir made Jumper.,21,34
3:41,331,Jesse Hunt missed Jumper.,21,34
3:41,331,Eastern Washington Offensive Rebound.,21,34
3:37,331,Official TV Timeout,21,34
3:33,331,Official TV Timeout,21,34
3:33,331,Jesse Hunt made Jumper. Assisted by Jack Perry.,21,36
2:58,-1,D'shea Williams made Layup.,23,36
2:36,331,Bogdan Bliznyuk missed Layup.,23,36
2:36,-1,Matthew Brooks-McGregor Defensive Rebound.,23,36
2:24,-1,D'shea Williams made Three Point Jumper. Assisted by Matthew Brooks-McGregor.,26,36
1:59,331,Richard Polanco made Layup. Assisted by Jesse Hunt.,26,38
1:43,-1,Matthew Brooks-McGregor Turnover.,26,38
1:42,331,Jesse Hunt Steal.,26,38
1:38,331,Bogdan Bliznyuk made Dunk. Assisted by Jack Perry.,26,40
1:19,-1,Deontae Woodbridge made Layup.,28,40
1:19,331,Foul on Richard Polanco.,28,40
1:19,-1,Deontae Woodbridge made Free Throw.,29,40
0:56,331,Jesse Hunt missed Jumper.,29,40
0:56,331,Bogdan Bliznyuk Offensive Rebound.,29,40
0:51,-1,Foul on Treyvon Bashir.,29,40
0:51,331,Richard Polanco made Free Throw.,29,41
0:51,331,Richard Polanco made Free Throw.,29,42
0:41,-1,Steven Daho-Clark made Layup. Assisted by Treyvon Bashir.,31,42
0:41,331,Foul on Bogdan Bliznyuk.,31,42
0:41,-1,Steven Daho-Clark made Free Throw.,32,42
0:29,331,Jesse Hunt made Layup. Assisted by Bogdan Bliznyuk.,32,44
0:00,-1,Steven Daho-Clark made Layup.,34,44
0:00,331,End of 1st half,34,44
19:48,331,Jesse Hunt made Layup.,34,46
19:18,331,Foul on Jesse Hunt.,34,46
19:18,-1,Steven Daho-Clark made Free Throw.,35,46
19:18,-1,Steven Daho-Clark made Free Throw.,36,46
19:06,331,Ty Gibson missed Three Point Jumper.,36,46
19:06,331,Jesse Hunt Offensive Rebound.,36,46
19:01,331,Jacob Davison made Layup. Assisted by Jesse Hunt.,36,48
18:40,-1,Matthew Brooks-McGregor missed Three Point Jumper.,36,48
18:40,331,Ty Gibson Defensive Rebound.,36,48
18:30,331,Bogdan Bliznyuk made Layup. Assisted by Jack Perry.,36,50
18:11,-1,Steven Daho-Clark made Jumper.,38,50
17:53,331,Jack Perry missed Three Point Jumper.,38,50
17:53,331,Jesse Hunt Offensive Rebound.,38,50
17:43,331,Jesse Hunt made Layup. Assisted by Bogdan Bliznyuk.,38,52
17:19,-1,Steven Daho-Clark made Jumper.,40,52
17:17,-1,Great Falls  Timeout,40,52
17:17,331,Official TV Timeout,40,52
16:54,331,Jack Perry made Three Point Jumper. Assisted by Sir Washington.,40,55
16:42,-1,Foul on Steven Daho-Clark.,40,55
16:42,331,Foul on Jesse Hunt.,40,55
16:39,-1,Jared Schultz missed Layup.,40,55
16:39,331,Bogdan Bliznyuk Defensive Rebound.,40,55
16:33,331,Ty Gibson made Three Point Jumper. Assisted by Bogdan Bliznyuk.,40,58
16:12,-1,Matthew Brooks-McGregor missed Jumper.,40,58
16:12,331,Jesse Hunt Defensive Rebound.,40,58
15:53,331,Jack Perry missed Three Point Jumper.,40,58
15:53,-1,Jared Schultz Defensive Rebound.,40,58
15:39,-1,DuShaun Rice made Layup.,42,58
15:39,331,Foul on Jesse Hunt.,42,58
15:39,331,Official TV Timeout,42,58
15:39,-1,DuShaun Rice made Free Throw.,43,58
15:21,331,Bogdan Bliznyuk made Layup.,43,60
14:57,331,Foul on Sir Washington.,43,60
14:45,-1,Deontae Woodbridge missed Jumper.,43,60
14:45,331,Jesse Hunt Defensive Rebound.,43,60
14:34,331,Sir Washington missed Layup.,43,60
14:34,-1,Deontae Woodbridge Defensive Rebound.,43,60
14:19,-1,D'shea Williams made Three Point Jumper. Assisted by Sergio Berkley.,46,60
14:01,-1,Foul on D'shea Williams.,46,60
13:58,-1,Foul on D'shea Williams.,46,60
13:49,331,Bogdan Bliznyuk missed Jumper.,46,60
13:49,-1,Sergio Berkley Defensive Rebound.,46,60
13:40,-1,Sergio Berkley missed Layup.,46,60
13:40,331,Jesse Hunt Defensive Rebound.,46,60
13:31,331,Sir Washington missed Jumper.,46,60
13:31,-1,D'shea Williams Defensive Rebound.,46,60
13:07,-1,Sergio Berkley Turnover.,46,60
13:06,331,Jesse Hunt Steal.,46,60
12:51,331,Bogdan Bliznyuk made Layup.,46,62
12:51,-1,Foul on D'shea Williams.,46,62
12:51,331,Bogdan Bliznyuk made Free Throw.,46,63
12:39,-1,Deontae Woodbridge Turnover.,46,63
12:31,331,Jack Perry made Jumper.,46,65
12:10,-1,Deontae Woodbridge made Jumper.,48,65
11:53,331,Bogdan Bliznyuk made Jumper.,48,67
11:37,-1,Deontae Woodbridge made Jumper.,50,67
11:22,-1,Foul on Jack Taylor.,50,67
11:22,331,Official TV Timeout,50,67
11:22,331,Benas Griciunas missed Free Throw.,50,67
11:22,331,Eastern Washington Deadball Team Rebound.,50,67
11:22,331,Benas Griciunas missed Free Throw.,50,67
11:22,-1,Jared Schultz Defensive Rebound.,50,67
11:11,-1,DuShaun Rice Turnover.,50,67
11:10,331,Ty Gibson Steal.,50,67
11:00,331,Benas Griciunas made Jumper.,50,69
10:32,-1,Matthew Brooks-McGregor missed Jumper.,50,69
10:32,331,Cody Benzel Block.,50,69
10:31,331,Bogdan Bliznyuk Defensive Rebound.,50,69
10:29,-1,Foul on Matthew Brooks-McGregor.,50,69
10:13,-1,Foul on Treyvon Bashir.,50,69
10:13,331,Bogdan Bliznyuk made Free Throw.,50,70
10:13,331,Bogdan Bliznyuk missed Free Throw.,50,70
10:13,-1,Deontae Woodbridge Defensive Rebound.,50,70
9:56,-1,DuShaun Rice made Three Point Jumper. Assisted by Treyvon Bashir.,53,70
9:32,331,Bogdan Bliznyuk made Layup.,53,72
9:32,-1,Foul on Jared Schultz.,53,72
9:32,331,Bogdan Bliznyuk made Free Throw.,53,73
9:14,331,Foul on Bogdan Bliznyuk.,53,73
9:14,-1,Treyvon Bashir made Free Throw.,54,73
9:14,-1,Treyvon Bashir missed Free Throw.,54,73
9:14,331,Jacob Davison Defensive Rebound.,54,73
8:55,331,Bogdan Bliznyuk made Jumper.,54,75
8:34,-1,Treyvon Bashir missed Jumper.,54,75
8:34,331,Richard Polanco Defensive Rebound.,54,75
8:25,331,Richard Polanco Turnover.,54,75
8:08,331,Foul on Richard Polanco.,54,75
8:08,-1,Deontae Woodbridge missed Free Throw.,54,75
8:08,-1,Great Falls Deadball Team Rebound.,54,75
8:08,-1,Deontae Woodbridge made Free Throw.,55,75
8:04,331,Richard Polanco Turnover.,55,75
8:03,-1,Deontae Woodbridge Steal.,55,75
7:54,331,Foul on Sir Washington.,55,75
7:54,331,Official TV Timeout,55,75
7:54,-1,Sergio Berkley made Free Throw.,56,75
7:54,-1,Sergio Berkley made Free Throw.,57,75
7:50,331,Cody Benzel made Three Point Jumper. Assisted by Jacob Davison.,57,78
7:37,-1,Sergio Berkley Turnover.,57,78
7:35,331,Jacob Davison Steal.,57,78
7:32,-1,Foul on Jacob Wetzel.,57,78
7:32,331,Jesse Hunt missed Free Throw.,57,78
7:32,331,Sir Washington Offensive Rebound.,57,78
7:20,-1,Foul on D'shea Williams.,57,78
7:20,331,Benas Griciunas made Free Throw.,57,79
7:20,331,Benas Griciunas missed Free Throw.,57,79
7:20,-1,Treyvon Bashir Defensive Rebound.,57,79
7:05,-1,Jacob Wetzel missed Free Throw.,57,79
7:05,331,Sir Washington Defensive Rebound.,57,79
7:02,331,Jacob Davison missed Layup.,57,79
7:02,-1,Jacob Wetzel Defensive Rebound.,57,79
6:46,331,Foul on Benas Griciunas.,57,79
6:46,-1,Sergio Berkley made Free Throw.,58,79
6:46,-1,Sergio Berkley missed Free Throw.,58,79
6:46,331,Benas Griciunas Defensive Rebound.,58,79
6:33,-1,Foul on Treyvon Bashir.,58,79
6:33,331,Benas Griciunas missed Free Throw.,58,79
6:33,331,Eastern Washington Deadball Team Rebound.,58,79
6:33,331,Benas Griciunas made Free Throw.,58,80
6:11,-1,Jared Schultz missed Jumper.,58,80
6:11,331,Benas Griciunas Defensive Rebound.,58,80
6:04,-1,Foul on Sergio Berkley.,58,80
6:04,331,Sir Washington made Free Throw.,58,81
6:04,331,Sir Washington made Free Throw.,58,82
5:53,-1,Jared Schultz Turnover.,58,82
5:51,331,Jacob Davison Steal.,58,82
5:49,-1,Foul on Matthew Brooks-McGregor.,58,82
5:49,331,Jacob Davison made Free Throw.,58,83
5:49,331,Jacob Davison missed Free Throw.,58,83
5:49,331,Jesse Hunt Offensive Rebound.,58,83
5:33,331,Bogdan Bliznyuk missed Layup.,58,83
5:33,-1,Treyvon Bashir Defensive Rebound.,58,83
5:07,-1,Matthew Brooks-McGregor Turnover.,58,83
5:06,331,Bogdan Bliznyuk Steal.,58,83
4:54,331,Jesse Hunt missed Three Point Jumper.,58,83
4:54,-1,Treyvon Bashir Defensive Rebound.,58,83
4:48,331,Foul on Bogdan Bliznyuk.,58,83
4:48,-1,D'shea Williams missed Free Throw.,58,83
4:48,331,Jesse Hunt Defensive Rebound.,58,83
4:36,-1,Foul on Treyvon Bashir.,58,83
4:36,331,Bogdan Bliznyuk made Free Throw.,58,84
4:36,331,Bogdan Bliznyuk made Free Throw.,58,85
4:16,-1,D'shea Williams missed Three Point Jumper.,58,85
4:16,-1,Treyvon Bashir Offensive Rebound.,58,85
4:11,-1,Jared Schultz made Three Point Jumper. Assisted by DuShaun Rice.,61,85
3:49,331,Jesse Hunt Turnover.,61,85
3:49,331,Official TV Timeout,61,85
3:35,-1,D'shea Williams Turnover.,61,85
3:09,331,Benas Griciunas made Layup.,61,87
2:39,-1,D'shea Williams missed Layup.,61,87
2:39,331,Benas Griciunas Block.,61,87
2:38,331,Benas Griciunas Defensive Rebound.,61,87
2:32,331,Eastern Washington  Timeout,61,87
2:23,331,Joshua Thomas made Jumper.,61,89
2:04,-1,Jacob Wetzel made Three Point Jumper. Assisted by Jack Taylor.,64,89
1:49,331,Richard Polanco made Layup.,64,91
1:49,-1,Foul on Matthew Brooks-McGregor.,64,91
1:49,331,Richard Polanco missed Free Throw.,64,91
1:49,-1,Matthew Brooks-McGregor Defensive Rebound.,64,91
1:42,-1,Jacob Wetzel missed Three Point Jumper.,64,91
1:42,-1,Deontae Woodbridge Offensive Rebound.,64,91
1:39,331,Foul on Richard Polanco.,64,91
1:39,-1,Deontae Woodbridge missed Free Throw.,64,91
1:39,-1,Great Falls Deadball Team Rebound.,64,91
1:39,-1,Deontae Woodbridge missed Free Throw.,64,91
1:39,331,Richard Polanco Defensive Rebound.,64,91
1:14,331,Joshua Thomas missed Three Point Jumper.,64,91
1:14,331,Grant Gibb Offensive Rebound.,64,91
1:11,-1,Foul on Matthew Brooks-McGregor.,64,91
1:11,331,Grant Gibb made Free Throw.,64,92
1:11,331,Grant Gibb missed Free Throw.,64,92
1:11,331,Joshua Thomas Offensive Rebound.,64,92
1:00,331,Grant Gibb missed Three Point Jumper.,64,92
1:00,-1,Jack Taylor Defensive Rebound.,64,92
0:48,-1,Jack Taylor missed Layup.,64,92
0:48,331,Richard Polanco Defensive Rebound.,64,92
0:41,331,Richard Polanco made Layup.,64,94
0:26,-1,Jack Taylor missed Three Point Jumper.,64,94
0:26,-1,D'shea Williams Offensive Rebound.,64,94
0:25,331,Foul on Cody Benzel.,64,94
0:25,-1,D'shea Williams made Free Throw.,65,94
0:25,-1,D'shea Williams made Free Throw.,66,94
0:00,331,End of Game,66,94
