North Texas,46,Georgetown,249
12:41,249,A.J. Lawson Turnover.,16,12
12:32,46,Kaleb Johnson made Jumper.,16,14
12:15,249,Shane Temara missed Jumper.,16,14
12:15,46,Jessie Govan Defensive Rebound.,16,14
12:08,46,Jessie Govan missed Jumper.,16,14
12:08,46,Jahvon Blair Offensive Rebound.,16,14
12:03,46,Jahvon Blair missed Layup.,16,14
12:03,249,Ryan Woolridge Defensive Rebound.,16,14
11:40,46,Official TV Timeout,16,14
11:40,249,Roosevelt Smart missed Layup.,16,14
11:40,46,Kaleb Johnson Block.,16,14
11:40,249,North Texas Offensive Rebound.,16,14
11:40,46,Official TV Timeout,16,14
11:30,249,Jorden Duffy made Three Point Jumper. Assisted by Ryan Woolridge.,19,14
11:19,46,Jahvon Blair Turnover.,19,14
11:17,249,Ryan Woolridge Steal.,19,14
11:12,249,A.J. Lawson made Jumper. Assisted by Ryan Woolridge.,21,14
10:57,46,Trey Dickerson made Jumper. Assisted by Jahvon Blair.,21,16
10:24,249,Jorden Duffy made Jumper.,23,16
10:07,46,Trey Dickerson missed Three Point Jumper.,23,16
10:07,249,Shane Temara Defensive Rebound.,23,16
9:39,249,Ryan Woolridge Turnover.,23,16
9:39,46,Jessie Govan Steal.,23,16
9:24,46,Jamorko Pickett missed Jumper.,23,16
9:24,46,Kaleb Johnson Offensive Rebound.,23,16
9:22,46,Kaleb Johnson made Layup.,23,18
9:22,249,Foul on Zachary Simmons.,23,18
9:22,46,Kaleb Johnson made Free Throw.,23,19
9:06,249,Foul on Zachary Simmons.,23,19
9:06,249,Zachary Simmons Turnover.,23,19
8:54,249,Foul on Tope Arikawe.,23,19
8:54,46,Jamorko Pickett missed Free Throw.,23,19
8:54,46,Georgetown Deadball Team Rebound.,23,19
8:54,46,Jamorko Pickett missed Free Throw.,23,19
8:54,249,Shane Temara Defensive Rebound.,23,19
8:34,249,A.J. Lawson missed Three Point Jumper.,23,19
8:34,46,Kaleb Johnson Defensive Rebound.,23,19
8:21,46,Trey Dickerson missed Jumper.,23,19
8:21,249,Ryan Woolridge Defensive Rebound.,23,19
8:16,46,Foul on Jagan Mosely.,23,19
8:16,249,Ryan Woolridge made Free Throw.,24,19
8:16,249,Ryan Woolridge made Free Throw.,25,19
8:09,46,Jessie Govan missed Jumper.,25,19
8:09,249,Roosevelt Smart Defensive Rebound.,25,19
7:59,249,Jorden Duffy missed Three Point Jumper.,25,19
7:59,46,Jessie Govan Defensive Rebound.,25,19
7:48,46,Jamorko Pickett made Three Point Jumper. Assisted by Jessie Govan.,25,22
7:24,249,Ryan Woolridge Turnover.,25,22
7:23,46,Jagan Mosely Steal.,25,22
7:20,46,Jamorko Pickett missed Layup.,25,22
7:20,249,Shane Temara Defensive Rebound.,25,22
7:16,46,Official TV Timeout,25,22
7:16,46,Foul on Jamorko Pickett.,25,22
7:16,46,Official TV Timeout,25,22
7:00,249,Allante Holston made Three Point Jumper. Assisted by Ryan Woolridge.,28,22
6:42,46,Jahvon Blair made Three Point Jumper. Assisted by Jonathan Mulmore.,28,25
6:16,249,Jorden Duffy missed Three Point Jumper.,28,25
6:16,46,Jonathan Mulmore Defensive Rebound.,28,25
6:02,46,Marcus Derrickson missed Three Point Jumper.,28,25
6:02,249,A.J. Lawson Defensive Rebound.,28,25
5:32,249,Roosevelt Smart missed Three Point Jumper.,28,25
5:32,46,Marcus Derrickson Defensive Rebound.,28,25
5:04,46,Jahvon Blair missed Three Point Jumper.,28,25
5:04,249,Roosevelt Smart Defensive Rebound.,28,25
4:48,249,Allante Holston Turnover.,28,25
4:36,46,Jessie Govan missed Jumper.,28,25
4:36,46,Jagan Mosely Offensive Rebound.,28,25
4:32,46,Jagan Mosely missed Jumper.,28,25
4:32,249,A.J. Lawson Block.,28,25
4:31,46,Jagan Mosely Offensive Rebound.,28,25
4:31,249,Foul on A.J. Lawson.,28,25
4:30,249,Foul on Khalil Fuller.,28,25
4:30,46,Jessie Govan made Free Throw.,28,26
4:30,46,Jessie Govan made Free Throw.,28,27
4:06,249,Roosevelt Smart missed Three Point Jumper.,28,27
4:06,249,North Texas Offensive Rebound.,28,27
3:44,249,A.J. Lawson Turnover.,28,27
3:44,46,Official TV Timeout,28,27
3:30,46,Jonathan Mulmore made Layup. Assisted by Marcus Derrickson.,28,29
3:01,249,A.J. Lawson missed Jumper.,28,29
3:01,46,Jessie Govan Block.,28,29
2:59,46,Kaleb Johnson Defensive Rebound.,28,29
2:50,249,Foul on Roosevelt Smart.,28,29
2:50,46,Jahvon Blair missed Free Throw.,28,29
2:50,249,Shane Temara Defensive Rebound.,28,29
2:37,249,Shane Temara missed Three Point Jumper.,28,29
2:37,46,Jessie Govan Block.,28,29
2:35,46,Jonathan Mulmore Defensive Rebound.,28,29
2:35,249,Foul on Shane Temara.,28,29
2:35,46,Jonathan Mulmore missed Free Throw.,28,29
2:35,46,Jonathan Mulmore Offensive Rebound.,28,29
2:19,46,Jonathan Mulmore missed Layup.,28,29
2:19,249,Allante Holston Defensive Rebound.,28,29
2:08,249,Ryan Woolridge missed Layup.,28,29
2:08,249,Shane Temara Offensive Rebound.,28,29
2:04,249,Shane Temara made Two Point Tip Shot.,30,29
1:49,46,Jahvon Blair missed Layup.,30,29
1:49,46,Jessie Govan Offensive Rebound.,30,29
1:46,46,Jessie Govan missed Layup.,30,29
1:46,249,Shane Temara Defensive Rebound.,30,29
1:29,249,Allante Holston made Three Point Jumper. Assisted by Ryan Woolridge.,33,29
0:58,46,Jahvon Blair missed Jumper.,33,29
0:58,46,Jahvon Blair Offensive Rebound.,33,29
0:54,46,Jahvon Blair missed Layup.,33,29
0:54,46,Jahvon Blair Offensive Rebound.,33,29
0:52,249,North Texas  Timeout,33,29
0:51,46,Jahvon Blair made Layup.,33,31
0:37,46,Foul on Kaleb Johnson.,33,31
0:31,249,Shane Temara Turnover.,33,31
0:30,46,Jessie Govan Steal.,33,31
0:12,249,Foul on Jorden Duffy.,33,31
0:12,46,Jahvon Blair made Free Throw.,33,32
0:12,46,Jahvon Blair made Free Throw.,33,33
0:11,249,Allante Holston Turnover.,33,33
0:09,46,Kaleb Johnson Steal.,33,33
0:08,249,Foul on Allante Holston.,33,33
0:08,46,Kaleb Johnson made Free Throw.,33,34
0:08,46,Kaleb Johnson missed Free Throw.,33,34
0:08,249,Shane Temara Defensive Rebound.,33,34
0:01,249,Ryan Woolridge missed Jumper.,33,34
0:01,249,Shane Temara Offensive Rebound.,33,34
0:00,46,End of 1st half,33,34
19:43,249,Ryan Woolridge made Layup. Assisted by A.J. Lawson.,35,34
19:24,46,Jamorko Pickett missed Jumper.,35,34
19:24,249,Ryan Woolridge Defensive Rebound.,35,34
19:02,249,A.J. Lawson missed Jumper.,35,34
19:02,46,Jamorko Pickett Block.,35,34
18:59,46,Kaleb Johnson Defensive Rebound.,35,34
18:56,46,Kaleb Johnson missed Layup.,35,34
18:56,249,A.J. Lawson Block.,35,34
18:53,46,Jonathan Mulmore Offensive Rebound.,35,34
18:51,46,Jonathan Mulmore missed Layup.,35,34
18:51,249,Shane Temara Defensive Rebound.,35,34
18:30,249,Ryan Woolridge made Layup.,37,34
18:14,46,Jessie Govan made Jumper. Assisted by Jamorko Pickett.,37,36
17:50,249,Shane Temara made Three Point Jumper. Assisted by Ryan Woolridge.,40,36
17:30,46,Jonathan Mulmore missed Three Point Jumper.,40,36
17:30,249,A.J. Lawson Defensive Rebound.,40,36
17:22,46,Foul on Jonathan Mulmore.,40,36
17:20,249,Foul on Zachary Simmons.,40,36
17:20,249,Zachary Simmons Turnover.,40,36
17:03,46,Trey Dickerson made Layup.,40,38
16:43,249,Roosevelt Smart missed Jumper.,40,38
16:43,46,Kaleb Johnson Block.,40,38
16:40,46,Jessie Govan Defensive Rebound.,40,38
16:36,46,Jessie Govan missed Three Point Jumper.,40,38
16:36,46,Marcus Derrickson Offensive Rebound.,40,38
16:34,249,Foul on Roosevelt Smart.,40,38
16:34,46,Jamorko Pickett missed Jumper.,40,38
16:34,249,Shane Temara Defensive Rebound.,40,38
16:34,249,Jorden Duffy missed Three Point Jumper.,40,38
16:34,46,Jessie Govan Defensive Rebound.,40,38
15:58,46,Marcus Derrickson made Three Point Jumper. Assisted by Trey Dickerson.,40,41
15:34,46,Foul on Kaleb Johnson.,40,41
15:34,46,Official TV Timeout,40,41
15:23,249,Allante Holston made Layup. Assisted by Ryan Woolridge.,42,41
15:02,46,Trey Dickerson made Three Point Jumper. Assisted by Jamorko Pickett.,42,44
14:27,249,Roosevelt Smart missed Three Point Jumper.,42,44
14:27,46,Jessie Govan Block.,42,44
14:25,249,North Texas Deadball Team Rebound.,42,44
14:24,249,North Texas  Turnover.,42,44
14:23,46,Marcus Derrickson made Layup. Assisted by Jessie Govan.,42,46
14:01,249,Ryan Woolridge missed Layup.,42,46
14:01,46,Jessie Govan Block.,42,46
13:59,46,Jessie Govan Defensive Rebound.,42,46
13:55,46,Trey Dickerson Turnover.,42,46
13:54,249,Ryan Woolridge Steal.,42,46
13:43,46,Foul on Trey Dickerson.,42,46
13:34,249,Tope Arikawe missed Jumper.,42,46
13:34,46,Jessie Govan Defensive Rebound.,42,46
13:28,46,Kaleb Johnson missed Layup.,42,46
13:28,249,Ryan Woolridge Defensive Rebound.,42,46
13:22,46,Foul on Jamorko Pickett.,42,46
13:22,249,A.J. Lawson missed Free Throw.,42,46
13:22,249,North Texas Deadball Team Rebound.,42,46
13:22,249,A.J. Lawson made Free Throw.,43,46
13:07,46,Jagan Mosely missed Jumper.,43,46
13:07,249,Ryan Woolridge Defensive Rebound.,43,46
13:01,46,Foul on Trey Dickerson.,43,46
13:01,249,Ryan Woolridge made Free Throw.,44,46
13:01,249,Ryan Woolridge missed Free Throw.,44,46
13:01,46,Jessie Govan Defensive Rebound.,44,46
12:41,46,Jagan Mosely made Layup. Assisted by Jessie Govan.,44,48
12:19,46,Foul on Jessie Govan.,44,48
12:17,249,Jorden Duffy missed Jumper.,44,48
12:17,46,Jessie Govan Defensive Rebound.,44,48
12:04,46,Jagan Mosely missed Three Point Jumper.,44,48
12:04,249,Zachary Simmons Defensive Rebound.,44,48
11:50,249,Jorden Duffy missed Layup.,44,48
11:50,46,Jessie Govan Block.,44,48
11:48,46,Kaleb Johnson Defensive Rebound.,44,48
11:46,46,Jonathan Mulmore made Layup. Assisted by Kaleb Johnson.,44,50
11:45,249,North Texas  Timeout,44,50
11:45,46,Official TV Timeout,44,50
11:32,249,Shane Temara made Three Point Jumper. Assisted by A.J. Lawson.,47,50
11:10,46,Kaleb Johnson made Three Point Jumper. Assisted by Jonathan Mulmore.,47,53
10:37,249,A.J. Lawson Turnover.,47,53
10:36,46,Jonathan Mulmore Steal.,47,53
10:34,46,Jonathan Mulmore made Layup.,47,55
10:12,249,Ryan Woolridge missed Layup.,47,55
10:12,46,Jessie Govan Defensive Rebound.,47,55
10:07,46,Jagan Mosely Turnover.,47,55
10:06,249,A.J. Lawson Steal.,47,55
9:47,249,Roosevelt Smart missed Three Point Jumper.,47,55
9:47,46,Jessie Govan Defensive Rebound.,47,55
9:44,46,Official TV Timeout,47,55
9:44,249,Foul on Zachary Simmons.,47,55
9:44,46,Official TV Timeout,47,55
9:28,46,Jonathan Mulmore missed Layup.,47,55
9:28,249,Allante Holston Defensive Rebound.,47,55
9:27,46,Foul on Marcus Derrickson.,47,55
9:27,249,Allante Holston missed Free Throw.,47,55
9:27,46,Marcus Derrickson Defensive Rebound.,47,55
9:20,46,Jahvon Blair Turnover.,47,55
9:19,249,Roosevelt Smart Steal.,47,55
9:16,249,Roosevelt Smart made Layup.,49,55
8:55,249,Foul on Shane Temara.,49,55
8:55,46,Marcus Derrickson made Free Throw.,49,56
8:55,46,Marcus Derrickson made Free Throw.,49,57
8:49,249,Roosevelt Smart missed Three Point Jumper.,49,57
8:49,46,Marcus Derrickson Defensive Rebound.,49,57
8:30,46,Foul on Jahvon Blair.,49,57
8:30,46,Jahvon Blair Turnover.,49,57
8:19,249,Ryan Woolridge made Layup. Assisted by Shane Temara.,51,57
8:02,46,Marcus Derrickson made Layup. Assisted by Jagan Mosely.,51,59
7:43,249,Shane Temara made Three Point Jumper. Assisted by Ryan Woolridge.,54,59
7:41,249,North Texas  Timeout,54,59
7:41,46,Official TV Timeout,54,59
7:19,46,Jessie Govan made Jumper. Assisted by Jonathan Mulmore.,54,61
7:10,249,A.J. Lawson missed Layup.,54,61
7:10,46,Jonathan Mulmore Block.,54,61
7:07,46,Jamorko Pickett Defensive Rebound.,54,61
6:50,249,Foul on A.J. Lawson.,54,61
6:50,46,Marcus Derrickson made Free Throw.,54,62
6:50,46,Marcus Derrickson made Free Throw.,54,63
6:44,249,Foul on Ryan Woolridge.,54,63
6:44,249,Ryan Woolridge Turnover.,54,63
6:38,46,Foul on Jessie Govan.,54,63
6:38,46,Jessie Govan Turnover.,54,63
6:24,249,Foul on Shane Temara.,54,63
6:24,249,Shane Temara Turnover.,54,63
6:17,46,Jagan Mosely missed Jumper.,54,63
6:17,249,Ryan Woolridge Defensive Rebound.,54,63
6:07,249,Shane Temara missed Layup.,54,63
6:07,46,Jamorko Pickett Block.,54,63
6:04,249,Shane Temara Offensive Rebound.,54,63
6:02,249,Shane Temara missed Layup.,54,63
6:02,46,Marcus Derrickson Block.,54,63
6:00,46,Jessie Govan Defensive Rebound.,54,63
5:57,46,Jagan Mosely made Jumper.,54,65
5:57,249,Foul on Jorden Duffy.,54,65
5:57,46,Jagan Mosely made Free Throw.,54,66
5:39,249,A.J. Lawson made Jumper. Assisted by Allante Holston.,56,66
5:19,46,Jonathan Mulmore missed Three Point Jumper.,56,66
5:19,249,Allante Holston Defensive Rebound.,56,66
5:10,249,A.J. Lawson Turnover.,56,66
4:57,46,Foul on Jessie Govan.,56,66
4:57,46,Jessie Govan Turnover.,56,66
4:43,249,A.J. Lawson missed Three Point Jumper.,56,66
4:43,46,Marcus Derrickson Defensive Rebound.,56,66
4:28,46,Marcus Derrickson made Layup. Assisted by Jonathan Mulmore.,56,68
4:21,249,Zachary Simmons Turnover.,56,68
4:07,46,Jamorko Pickett missed Layup.,56,68
4:07,249,A.J. Lawson Block.,56,68
4:05,249,Roosevelt Smart Defensive Rebound.,56,68
3:55,249,Roosevelt Smart missed Three Point Jumper.,56,68
3:55,249,North Texas Offensive Rebound.,56,68
3:53,46,Official TV Timeout,56,68
3:44,249,Ryan Woolridge made Jumper.,58,68
3:23,46,Foul on Jessie Govan.,58,68
3:23,46,Jessie Govan Turnover.,58,68
3:15,249,Roosevelt Smart missed Three Point Jumper.,58,68
3:15,249,Zachary Simmons Offensive Rebound.,58,68
2:58,249,Roosevelt Smart missed Three Point Jumper.,58,68
2:58,46,Jamorko Pickett Defensive Rebound.,58,68
2:51,249,Foul on Roosevelt Smart.,58,68
2:51,46,Jonathan Mulmore made Free Throw.,58,69
2:51,46,Jonathan Mulmore missed Free Throw.,58,69
2:51,249,Shane Temara Defensive Rebound.,58,69
2:37,249,Ryan Woolridge missed Layup.,58,69
2:37,249,Ryan Woolridge Offensive Rebound.,58,69
2:33,249,Jorden Duffy missed Three Point Jumper.,58,69
2:33,46,Marcus Derrickson Defensive Rebound.,58,69
2:26,249,Foul on Ryan Woolridge.,58,69
2:26,46,Jagan Mosely made Free Throw.,58,70
2:26,46,Jagan Mosely missed Free Throw.,58,70
2:26,249,Allante Holston Defensive Rebound.,58,70
2:17,46,Foul on Kaleb Johnson.,58,70
2:17,249,A.J. Lawson missed Free Throw.,58,70
2:17,249,North Texas Deadball Team Rebound.,58,70
2:17,249,A.J. Lawson missed Free Throw.,58,70
2:17,46,Jagan Mosely Defensive Rebound.,58,70
2:03,46,Jagan Mosely Turnover.,58,70
2:01,249,Allante Holston Steal.,58,70
2:01,249,Shane Temara missed Three Point Jumper.,58,70
2:01,46,Jamorko Pickett Defensive Rebound.,58,70
1:49,46,Kaleb Johnson missed Layup.,58,70
1:49,249,Shane Temara Block.,58,70
1:47,249,Allante Holston Defensive Rebound.,58,70
1:43,249,Ryan Woolridge made Three Point Jumper. Assisted by Shane Temara.,61,70
1:14,249,Foul on A.J. Lawson.,61,70
1:14,46,Jonathan Mulmore missed Free Throw.,61,70
1:14,46,Georgetown Deadball Team Rebound.,61,70
1:14,46,Jonathan Mulmore made Free Throw.,61,71
1:07,249,A.J. Lawson made Jumper.,63,71
1:05,249,North Texas  Timeout,63,71
1:05,249,Foul on Roosevelt Smart.,63,71
1:05,46,Jonathan Mulmore made Free Throw.,63,72
1:05,46,Jonathan Mulmore made Free Throw.,63,73
0:57,249,Roosevelt Smart missed Three Point Jumper.,63,73
0:57,46,Kaleb Johnson Defensive Rebound.,63,73
0:46,46,Jonathan Mulmore Turnover.,63,73
0:41,249,Shane Temara missed Three Point Jumper.,63,73
0:41,249,DJ Draper Offensive Rebound.,63,73
0:34,249,Ryan Woolridge missed Three Point Jumper.,63,73
0:34,46,Georgetown Defensive Rebound.,63,73
0:26,249,Foul on A.J. Lawson.,63,73
0:26,46,Jamorko Pickett made Free Throw.,63,74
0:26,46,Jamorko Pickett made Free Throw.,63,75
0:21,249,Ryan Woolridge missed Layup.,63,75
0:21,46,Marcus Derrickson Block.,63,75
0:19,46,Jagan Mosely Defensive Rebound.,63,75
0:00,46,End of Game,63,75
