CSU Bakersfield,48,Delaware,2934
7:41,48,Official TV Timeout,40,61
7:40,2934,Foul on Shon Briggs.,40,61
7:39,48,Official TV Timeout,40,61
7:38,48,Eric Carter made Free Throw.,40,62
7:00,2934,Rickey Holden missed Three Point Jumper.,40,62
6:58,48,Delaware Defensive Rebound.,40,62
6:43,48,Kevin Anderson made Jumper.,40,64
6:28,48,Foul on Ryan Allen.,40,64
6:28,2934,Jarkel Joiner made Free Throw.,41,64
6:28,2934,Jarkel Joiner made Free Throw.,42,64
6:11,48,Ryan Allen missed Three Point Jumper.,42,64
6:11,2934,Justin Mccall Defensive Rebound.,42,64
5:53,2934,Fallou Ndoye made Layup.,44,64
5:35,48,Darian Bryant missed Three Point Jumper.,44,64
5:35,2934,Shon Briggs Defensive Rebound.,44,64
5:16,48,Foul on Skye Johnson.,44,64
5:16,2934,Fallou Ndoye made Free Throw.,45,64
5:16,2934,Fallou Ndoye made Free Throw.,46,64
4:56,2934,Foul on Fallou Ndoye.,46,64
4:56,48,Ryan Daly made Free Throw.,46,65
4:56,48,Ryan Daly made Free Throw.,46,66
4:43,2934,Jarkel Joiner made Three Point Jumper. Assisted by Brent Wrapp.,49,66
4:19,48,Eric Carter made Dunk. Assisted by Darian Bryant.,49,68
4:15,48,Delaware  Timeout,49,68
4:03,2934,Shon Briggs missed Layup.,49,68
4:00,2934,Brent Wrapp Offensive Rebound.,49,68
3:58,48,Foul on Ryan Allen.,49,68
3:58,2934,Brent Wrapp made Free Throw.,50,68
3:58,2934,Brent Wrapp made Free Throw.,51,68
3:25,48,Eric Carter missed Jumper.,51,68
3:25,2934,CSU Bakersfield Defensive Rebound.,51,68
3:16,2934,Jarkel Joiner missed Jumper.,51,68
3:16,48,Ryan Allen Defensive Rebound.,51,68
3:06,2934,Foul on Jarkel Joiner.,51,68
3:06,48,Kevin Anderson made Free Throw.,51,69
3:06,48,Kevin Anderson missed Free Throw.,51,69
3:06,2934,Brent Wrapp Defensive Rebound.,51,69
2:58,2934,Shon Briggs made Layup. Assisted by Brent Wrapp.,53,69
2:50,48,Ryan Allen Turnover.,53,69
2:38,2934,Foul on Moataz Aly.,53,69
2:38,2934,Moataz Aly Turnover.,53,69
2:16,48,Ryan Allen made Three Point Jumper. Assisted by Ryan Daly.,53,72
2:06,48,Foul on Eric Carter.,53,72
2:06,2934,Rickey Holden made Free Throw.,54,72
2:06,2934,Rickey Holden made Free Throw.,55,72
1:48,48,Ryan Daly Turnover.,55,72
1:47,2934,Brent Wrapp Steal.,55,72
1:40,2934,Rickey Holden missed Three Point Jumper.,55,72
1:40,48,Ryan Allen Defensive Rebound.,55,72
1:22,48,Ryan Daly made Layup.,55,74
1:22,48,Delaware  Timeout,55,74
1:21,2934,Jarkel Joiner made Three Point Jumper. Assisted by Brent Wrapp.,58,74
1:06,48,Curtis Lochner Turnover.,58,74
1:06,2934,Rickey Holden Steal.,58,74
1:02,2934,Rickey Holden made Layup.,60,74
0:45,2934,Foul on Rickey Holden.,60,74
0:45,48,Connor Rufo made Free Throw.,60,75
0:45,48,Connor Rufo made Free Throw.,60,76
0:37,2934,Jarkel Joiner missed Layup.,60,76
0:37,48,Connor Rufo Defensive Rebound.,60,76
0:14,48,Connor Rufo missed Layup.,60,76
0:14,48,Eric Carter Offensive Rebound.,60,76
0:06,48,Ryan Allen missed Three Point Jumper.,60,76
0:06,2934,Rickey Holden Defensive Rebound.,60,76
0:02,2934,Jarkel Joiner made Layup.,62,76
0:00,48,End of Game,62,76
