Northeastern,179,St. Bonaventure,111
13:39,111,Anthony Green made Layup. Assisted by Vasa Pusica.,10,12
13:39,179,Foul on LaDarien Griffin.,10,12
13:39,111,Anthony Green made Free Throw.,11,12
13:22,179,Amadi Ikpeze missed Layup.,11,12
13:22,111,Tomas Murphy Block.,11,12
13:19,179,Amadi Ikpeze Offensive Rebound.,11,12
13:16,179,Amadi Ikpeze made Layup.,11,14
13:10,111,Vasa Pusica Turnover.,11,14
12:53,179,Matt Mobley made Three Point Jumper.,11,17
12:29,179,Foul on Nelson Kaputo.,11,17
12:25,111,Vasa Pusica made Layup. Assisted by Tomas Murphy.,13,17
12:16,179,Nelson Kaputo missed Three Point Jumper.,13,17
12:16,111,Tomas Murphy Defensive Rebound.,13,17
12:13,179,Foul on Amadi Ikpeze.,13,17
11:55,111,Devon Begley made Three Point Jumper.,16,17
11:33,179,Courtney Stockard Turnover.,16,17
11:33,179,Official TV Timeout,16,17
11:09,111,Tomas Murphy Turnover.,16,17
11:00,111,Foul on Devon Begley.,16,17
10:51,179,Matt Mobley missed Three Point Jumper.,16,17
10:51,111,Bolden Brace Defensive Rebound.,16,17
10:31,111,Tomas Murphy made Layup. Assisted by Vasa Pusica.,18,17
10:31,179,Foul on Courtney Stockard.,18,17
10:31,111,Tomas Murphy missed Free Throw.,18,17
10:31,179,Matt Mobley Defensive Rebound.,18,17
10:24,179,Josh Ayeni made Layup. Assisted by Matt Mobley.,18,19
10:08,111,Vasa Pusica missed Three Point Jumper.,18,19
10:08,111,Bolden Brace Offensive Rebound.,18,19
9:59,111,Bolden Brace made Three Point Jumper. Assisted by Vasa Pusica.,21,19
9:49,179,Izaiah Brockington made Jumper.,21,21
9:28,111,Devon Begley missed Three Point Jumper.,21,21
9:28,179,Courtney Stockard Defensive Rebound.,21,21
9:11,179,Matt Mobley missed Three Point Jumper.,21,21
9:11,179,Josh Ayeni Offensive Rebound.,21,21
9:02,179,Matt Mobley missed Jumper.,21,21
9:02,179,Josh Ayeni Offensive Rebound.,21,21
9:01,111,Foul on Tomas Murphy.,21,21
8:55,179,Josh Ayeni missed Jumper.,21,21
8:55,111,Donnell Gresham Jr. Defensive Rebound.,21,21
8:33,111,Devon Begley missed Three Point Jumper.,21,21
8:33,179,Courtney Stockard Defensive Rebound.,21,21
8:23,179,Nelson Kaputo missed Layup.,21,21
8:23,111,Northeastern Defensive Rebound.,21,21
8:23,179,Foul on Josh Ayeni.,21,21
8:23,111,Devon Begley missed Free Throw.,21,21
8:23,179,LaDarien Griffin Defensive Rebound.,21,21
8:11,179,Izaiah Brockington missed Jumper.,21,21
8:11,111,Donnell Gresham Jr. Defensive Rebound.,21,21
8:00,179,Foul on Matt Mobley.,21,21
8:00,179,Official TV Timeout,21,21
8:00,111,Devon Begley made Free Throw.,22,21
8:00,111,Devon Begley made Free Throw.,23,21
7:44,179,LaDarien Griffin missed Jumper.,23,21
7:44,111,Donnell Gresham Jr. Defensive Rebound.,23,21
7:28,111,Maxime Boursiquot Turnover.,23,21
7:10,179,Matt Mobley made Layup.,23,23
7:10,111,Foul on Jeremy Miller.,23,23
7:10,179,Matt Mobley made Free Throw.,23,24
6:55,111,Vasa Pusica Turnover.,23,24
6:54,179,Izaiah Brockington Steal.,23,24
6:42,179,Courtney Stockard made Layup.,23,26
6:20,179,Foul on Courtney Stockard.,23,26
6:20,111,Vasa Pusica made Free Throw.,24,26
6:20,111,Vasa Pusica made Free Throw.,25,26
6:20,111,Vasa Pusica made Free Throw.,26,26
6:11,179,Matt Mobley made Three Point Jumper. Assisted by LaDarien Griffin.,26,29
5:53,111,Shawn Occeus missed Three Point Jumper.,26,29
5:53,179,LaDarien Griffin Defensive Rebound.,26,29
5:49,111,Foul on Shawn Occeus.,26,29
5:39,179,Matt Mobley Turnover.,26,29
5:38,111,Shawn Occeus Steal.,26,29
5:31,111,Donnell Gresham Jr. missed Layup.,26,29
5:31,111,Anthony Green Offensive Rebound.,26,29
5:26,111,Anthony Green missed Two Point Tip Shot.,26,29
5:26,111,Anthony Green Offensive Rebound.,26,29
5:23,111,Anthony Green made Two Point Tip Shot.,28,29
5:22,111,Foul on Anthony Green.,28,29
5:22,179,Izaiah Brockington made Free Throw.,28,30
5:22,179,Izaiah Brockington made Free Throw.,28,31
5:04,111,Vasa Pusica missed Three Point Jumper.,28,31
5:04,179,Matt Mobley Defensive Rebound.,28,31
4:57,111,Foul on Donnell Gresham Jr..,28,31
4:57,179,Matt Mobley made Free Throw.,28,32
4:57,179,Matt Mobley made Free Throw.,28,33
4:37,111,Bolden Brace missed Three Point Jumper.,28,33
4:37,111,Shawn Occeus Offensive Rebound.,28,33
4:30,179,Foul on Amadi Ikpeze.,28,33
4:30,111,Anthony Green missed Free Throw.,28,33
4:30,111,Northeastern Deadball Team Rebound.,28,33
4:30,111,Anthony Green missed Free Throw.,28,33
4:30,179,LaDarien Griffin Defensive Rebound.,28,33
4:20,179,Matt Mobley missed Jumper.,28,33
4:20,179,Idris Taqqee Offensive Rebound.,28,33
4:12,179,Idris Taqqee made Layup.,28,35
3:57,111,Donnell Gresham Jr. missed Three Point Jumper.,28,35
3:57,179,LaDarien Griffin Defensive Rebound.,28,35
3:53,111,Foul on Shawn Occeus.,28,35
3:53,179,Official TV Timeout,28,35
3:53,179,LaDarien Griffin made Free Throw.,28,36
3:53,179,LaDarien Griffin made Free Throw.,28,37
3:26,111,Devon Begley made Three Point Jumper. Assisted by Donnell Gresham Jr..,31,37
3:08,179,Izaiah Brockington missed Layup.,31,37
3:08,111,Vasa Pusica Defensive Rebound.,31,37
2:55,111,Devon Begley missed Layup.,31,37
2:55,179,Josh Ayeni Defensive Rebound.,31,37
2:47,179,Matt Mobley made Three Point Jumper.,31,40
2:32,111,Bolden Brace missed Three Point Jumper.,31,40
2:32,179,Josh Ayeni Defensive Rebound.,31,40
2:23,179,Matt Mobley missed Three Point Jumper.,31,40
2:23,111,Bolden Brace Defensive Rebound.,31,40
2:02,111,Vasa Pusica missed Three Point Jumper.,31,40
2:02,179,Josh Ayeni Defensive Rebound.,31,40
1:45,179,Josh Ayeni made Jumper. Assisted by Izaiah Brockington.,31,42
1:42,111,Northeastern  Timeout,31,42
1:28,179,Foul on Josh Ayeni.,31,42
1:28,111,Tomas Murphy made Free Throw.,32,42
1:28,111,Tomas Murphy made Free Throw.,33,42
1:11,179,Izaiah Brockington Turnover.,33,42
1:09,111,Bolden Brace Steal.,33,42
1:06,111,Bolden Brace Turnover.,33,42
1:04,179,Idris Taqqee Steal.,33,42
1:00,111,Foul on Donnell Gresham Jr..,33,42
1:00,179,LaDarien Griffin made Free Throw.,33,43
1:00,179,LaDarien Griffin made Free Throw.,33,44
0:43,111,Vasa Pusica Turnover.,33,44
0:42,179,Idris Taqqee Steal.,33,44
0:38,179,Matt Mobley missed Layup.,33,44
0:38,111,Tomas Murphy Defensive Rebound.,33,44
0:32,111,Vasa Pusica made Layup. Assisted by Donnell Gresham Jr..,35,44
0:31,179,St. Bonaventure  Timeout,35,44
0:03,179,Ndene Gueye missed Layup.,35,44
0:03,111,Vasa Pusica Defensive Rebound.,35,44
0:00,111,Vasa Pusica missed Three Point Jumper.,35,44
0:00,111,Northeastern Deadball Team Rebound.,35,44
0:00,179,End of 1st half,35,44
19:39,179,LaDarien Griffin Turnover.,35,44
19:30,111,Vasa Pusica Turnover.,35,44
19:13,111,Foul on Shawn Occeus.,35,44
19:02,179,Jaylen Adams Turnover.,35,44
18:45,111,Donnell Gresham Jr. missed Jumper.,35,44
18:45,179,Matt Mobley Defensive Rebound.,35,44
18:35,111,Foul on Maxime Boursiquot.,35,44
18:35,179,Matt Mobley made Free Throw.,35,45
18:35,179,Matt Mobley made Free Throw.,35,46
18:28,179,Foul on Idris Taqqee.,35,46
18:23,111,Donnell Gresham Jr. missed Three Point Jumper.,35,46
18:23,179,Idris Taqqee Defensive Rebound.,35,46
18:00,179,Idris Taqqee made Layup.,35,48
17:38,111,Vasa Pusica Turnover.,35,48
17:26,179,Jaylen Adams Turnover.,35,48
17:12,111,Tomas Murphy missed Jumper.,35,48
17:12,179,Jaylen Adams Defensive Rebound.,35,48
17:01,179,Josh Ayeni made Jumper. Assisted by Jaylen Adams.,35,50
16:42,111,Vasa Pusica missed Layup.,35,50
16:42,179,Josh Ayeni Defensive Rebound.,35,50
16:30,179,Matt Mobley missed Three Point Jumper.,35,50
16:30,111,Shawn Occeus Defensive Rebound.,35,50
16:19,179,Foul on Josh Ayeni.,35,50
16:19,111,Shawn Occeus missed Free Throw.,35,50
16:19,111,Northeastern Deadball Team Rebound.,35,50
16:19,111,Shawn Occeus made Free Throw.,36,50
16:09,179,Jaylen Adams made Layup.,36,52
15:54,111,Tomas Murphy Turnover.,36,52
15:52,179,Jaylen Adams Steal.,36,52
15:42,111,Foul on Vasa Pusica.,36,52
15:42,179,Official TV Timeout,36,52
15:33,111,Foul on Bolden Brace.,36,52
15:33,179,Amadi Ikpeze made Free Throw.,36,53
15:33,179,Amadi Ikpeze made Free Throw.,36,54
15:04,111,Devon Begley made Jumper.,38,54
14:44,179,Foul on Matt Mobley.,38,54
14:44,179,Matt Mobley Turnover.,38,54
14:30,111,Jeremy Miller missed Three Point Jumper.,38,54
14:30,179,Idris Taqqee Defensive Rebound.,38,54
14:19,179,Jaylen Adams made Layup.,38,56
14:19,111,Foul on Vasa Pusica.,38,56
14:19,179,Jaylen Adams made Free Throw.,38,57
14:08,111,Shawn Occeus missed Three Point Jumper.,38,57
14:08,179,Matt Mobley Defensive Rebound.,38,57
14:01,179,Matt Mobley Turnover.,38,57
13:59,111,Devon Begley Steal.,38,57
13:56,111,Devon Begley Turnover.,38,57
13:54,179,LaDarien Griffin Steal.,38,57
13:49,179,Jaylen Adams made Layup.,38,59
13:39,111,Shawn Occeus missed Layup.,38,59
13:39,179,Matt Mobley Defensive Rebound.,38,59
13:33,179,Jaylen Adams made Three Point Jumper. Assisted by Matt Mobley.,38,62
13:28,111,Northeastern  Timeout,38,62
13:28,179,Official TV Timeout,38,62
13:07,111,Tomas Murphy missed Layup.,38,62
13:07,111,Tomas Murphy Offensive Rebound.,38,62
13:03,111,Tomas Murphy missed Two Point Tip Shot.,38,62
13:03,179,Matt Mobley Defensive Rebound.,38,62
12:37,179,Jaylen Adams missed Layup.,38,62
12:37,111,Northeastern Defensive Rebound.,38,62
12:17,179,Foul on LaDarien Griffin.,38,62
12:17,111,Myles Franklin missed Free Throw.,38,62
12:17,111,Northeastern Deadball Team Rebound.,38,62
12:17,111,Myles Franklin made Free Throw.,39,62
12:07,111,Foul on Jeremy Miller.,39,62
12:07,179,LaDarien Griffin made Free Throw.,39,63
12:07,179,LaDarien Griffin made Free Throw.,39,64
11:55,179,Foul on Courtney Stockard.,39,64
11:55,179,Official TV Timeout,39,64
11:52,111,Donnell Gresham Jr. made Three Point Jumper. Assisted by Myles Franklin.,42,64
11:40,179,Josh Ayeni made Layup. Assisted by Courtney Stockard.,42,66
11:26,111,Anthony Green missed Layup.,42,66
11:26,111,Anthony Green Offensive Rebound.,42,66
11:22,111,Anthony Green made Two Point Tip Shot.,44,66
11:16,179,Jaylen Adams missed Jumper.,44,66
11:16,111,Myles Franklin Defensive Rebound.,44,66
10:51,111,Devon Begley missed Jumper.,44,66
10:51,111,Tomas Murphy Offensive Rebound.,44,66
10:48,111,Tomas Murphy made Jumper.,46,66
10:24,111,Foul on Devon Begley.,46,66
10:24,179,Matt Mobley made Free Throw.,46,67
10:24,179,Matt Mobley made Free Throw.,46,68
10:11,111,Myles Franklin Turnover.,46,68
10:09,179,Courtney Stockard Steal.,46,68
10:06,179,Jaylen Adams Turnover.,46,68
9:49,111,Donnell Gresham Jr. missed Three Point Jumper.,46,68
9:49,179,Courtney Stockard Defensive Rebound.,46,68
9:22,179,Matt Mobley missed Three Point Jumper.,46,68
9:22,111,Donnell Gresham Jr. Defensive Rebound.,46,68
9:14,111,Devon Begley made Layup.,48,68
8:51,111,Foul on Tomas Murphy.,48,68
8:51,179,Courtney Stockard made Free Throw.,48,69
8:51,179,Courtney Stockard missed Free Throw.,48,69
8:51,111,Anthony Green Defensive Rebound.,48,69
8:32,111,Tomas Murphy missed Jumper.,48,69
8:32,111,Tomas Murphy Offensive Rebound.,48,69
8:19,111,Donnell Gresham Jr. missed Jumper.,48,69
8:19,111,Anthony Green Offensive Rebound.,48,69
8:15,179,Foul on Josh Ayeni.,48,69
8:03,111,Devon Begley missed Jumper.,48,69
8:03,179,Jaylen Adams Defensive Rebound.,48,69
7:52,111,Foul on Tomas Murphy.,48,69
7:52,179,Official TV Timeout,48,69
7:52,179,Jaylen Adams made Free Throw.,48,70
7:52,179,Jaylen Adams made Free Throw.,48,71
7:30,111,Shawn Occeus Turnover.,48,71
7:28,179,Courtney Stockard Steal.,48,71
7:25,179,LaDarien Griffin made Dunk. Assisted by Courtney Stockard.,48,73
7:09,179,Foul on LaDarien Griffin.,48,73
7:09,111,Vasa Pusica made Free Throw.,49,73
7:09,111,Vasa Pusica made Free Throw.,50,73
6:57,111,Foul on Vasa Pusica.,50,73
6:57,179,Courtney Stockard missed Free Throw.,50,73
6:57,179,St. Bonaventure Deadball Team Rebound.,50,73
6:57,179,Courtney Stockard made Free Throw.,50,74
6:42,111,Shawn Occeus missed Three Point Jumper.,50,74
6:42,179,Izaiah Brockington Defensive Rebound.,50,74
6:30,179,LaDarien Griffin made Layup. Assisted by Izaiah Brockington.,50,76
6:11,179,Foul on Courtney Stockard.,50,76
6:11,111,Vasa Pusica made Free Throw.,51,76
6:11,111,Vasa Pusica made Free Throw.,52,76
6:07,179,Izaiah Brockington missed Jumper.,52,76
6:07,111,Donnell Gresham Jr. Defensive Rebound.,52,76
5:58,111,Shawn Occeus made Three Point Jumper. Assisted by Maxime Boursiquot.,55,76
5:29,179,Foul on Amadi Ikpeze.,55,76
5:18,111,Donnell Gresham Jr. Turnover.,55,76
4:54,179,LaDarien Griffin missed Layup.,55,76
4:54,179,LaDarien Griffin Offensive Rebound.,55,76
4:41,179,LaDarien Griffin made Layup.,55,78
4:34,111,Myles Franklin missed Jumper.,55,78
4:34,179,Jaylen Adams Defensive Rebound.,55,78
4:22,179,Foul on Amadi Ikpeze.,55,78
4:22,179,Amadi Ikpeze Turnover.,55,78
4:07,111,Derrick Cook missed Layup.,55,78
4:07,179,LaDarien Griffin Defensive Rebound.,55,78
3:49,179,Matt Mobley missed Layup.,55,78
3:49,111,Maxime Boursiquot Defensive Rebound.,55,78
3:31,111,Derrick Cook made Layup.,57,78
3:31,179,Foul on Matt Mobley.,57,78
3:31,179,Official TV Timeout,57,78
3:31,111,Derrick Cook made Free Throw.,58,78
3:19,179,Idris Taqqee missed Layup.,58,78
3:19,111,Anthony Green Block.,58,78
3:17,111,Anthony Green Defensive Rebound.,58,78
3:06,111,Derrick Cook Turnover.,58,78
3:05,179,Idris Taqqee Steal.,58,78
3:00,179,Idris Taqqee missed Layup.,58,78
3:00,111,Northeastern Defensive Rebound.,58,78
2:48,111,Derrick Cook made Layup.,60,78
2:18,179,LaDarien Griffin missed Jumper.,60,78
2:18,111,Bolden Brace Block.,60,78
2:17,111,Derrick Cook Defensive Rebound.,60,78
2:14,111,Bolden Brace missed Three Point Jumper.,60,78
2:14,179,LaDarien Griffin Defensive Rebound.,60,78
1:45,179,Foul on Amadi Ikpeze.,60,78
1:45,179,Amadi Ikpeze Turnover.,60,78
1:26,111,Anthony Green made Layup. Assisted by Jason Strong.,62,78
1:16,111,Foul on Myles Franklin.,62,78
1:16,179,Jaylen Adams made Free Throw.,62,79
1:16,179,Jaylen Adams made Free Throw.,62,80
0:58,111,Derrick Cook missed Layup.,62,80
0:58,179,LaDarien Griffin Block.,62,80
0:55,179,Idris Taqqee Defensive Rebound.,62,80
0:51,179,Jaylen Adams missed Layup.,62,80
0:51,179,Courtney Stockard Offensive Rebound.,62,80
0:48,179,Courtney Stockard made Two Point Tip Shot.,62,82
0:48,179,St. Bonaventure  Timeout,62,82
0:35,111,Myles Franklin made Three Point Jumper. Assisted by Derrick Cook.,65,82
0:21,179,Idris Taqqee made Dunk. Assisted by Tshiefu Ngalakulondi.,65,84
0:11,111,Jason Strong missed Three Point Jumper.,65,84
0:11,179,Idris Taqqee Defensive Rebound.,65,84
0:00,179,End of Game,65,84
