Lipscomb,2635,Tennessee Tech,288
3:42,2635,Aleksa Jugovic missed Three Point Jumper.,31,35
3:42,288,Kenny Cooper Defensive Rebound.,31,35
3:19,288,Cam Miller missed Three Point Jumper.,31,35
3:19,2635,Savonte Frazier Defensive Rebound.,31,35
2:56,288,Foul on Aaron Korn.,31,35
2:56,2635,Official TV Timeout,31,35
2:56,2635,Kajon Mack made Free Throw.,31,36
2:56,2635,Kajon Mack missed Free Throw.,31,36
2:56,288,Cam Miller Defensive Rebound.,31,36
2:42,2635,Foul on Colton Blevins.,31,36
2:42,288,Aaron Korn missed Free Throw.,31,36
2:42,288,Lipscomb Deadball Team Rebound.,31,36
2:42,288,Aaron Korn made Free Throw.,32,36
2:34,2635,Courtney Alexander II Turnover.,32,36
2:33,288,Cam Miller Steal.,32,36
2:29,288,Garrison Mathews made Three Point Jumper. Assisted by Kenny Cooper.,35,36
2:08,2635,Colton Blevins missed Layup.,35,36
2:08,288,Lipscomb Defensive Rebound.,35,36
2:06,2635,Foul on Colton Blevins.,35,36
2:06,288,Cam Miller made Free Throw.,36,36
2:06,288,Cam Miller made Free Throw.,37,36
1:56,2635,Hakeem Rogers missed Three Point Jumper.,37,36
1:56,288,Cam Miller Defensive Rebound.,37,36
1:49,288,Garrison Mathews Turnover.,37,36
1:37,2635,Aleksa Jugovic missed Jumper.,37,36
1:37,288,Kenny Cooper Defensive Rebound.,37,36
1:25,288,Garrison Mathews missed Three Point Jumper.,37,36
1:25,2635,Hakeem Rogers Defensive Rebound.,37,36
0:56,2635,Aleksa Jugovic missed Three Point Jumper.,37,36
0:51,2635,Kajon Mack Offensive Rebound.,37,36
0:51,288,Foul on George Brammeier.,37,36
0:51,2635,Kajon Mack missed Free Throw.,37,36
0:51,2635,Tennessee Tech Deadball Team Rebound.,37,36
0:51,2635,Kajon Mack made Free Throw.,37,37
0:38,288,Kenny Cooper Turnover.,37,37
0:20,2635,Hakeem Rogers made Three Point Jumper. Assisted by Micaiah Henry.,37,40
0:08,288,Kenny Cooper Turnover.,37,40
0:04,2635,Kajon Mack made Layup.,37,42
0:00,2635,End of 1st half,37,42
19:44,2635,Mason Ramsey missed Jumper.,37,42
19:44,2635,Courtney Alexander II Offensive Rebound.,37,42
19:42,288,Foul on Garrison Mathews.,37,42
19:42,2635,Courtney Alexander II missed Free Throw.,37,42
19:42,2635,Tennessee Tech Deadball Team Rebound.,37,42
19:42,2635,Courtney Alexander II missed Free Throw.,37,42
19:42,288,Lipscomb Defensive Rebound.,37,42
19:15,288,Josh Williams Turnover.,37,42
19:14,2635,Kajon Mack Steal.,37,42
19:11,2635,Hakeem Rogers made Layup. Assisted by Kajon Mack.,37,44
19:01,288,Nathan Moran Turnover.,37,44
18:42,2635,Hakeem Rogers Turnover.,37,44
18:41,288,Nathan Moran Steal.,37,44
18:39,288,Nathan Moran made Layup.,39,44
18:22,2635,Mason Ramsey missed Jumper.,39,44
18:22,288,Garrison Mathews Defensive Rebound.,39,44
18:14,288,Rob Marberry made Layup. Assisted by Nathan Moran.,41,44
17:53,288,Foul on Rob Marberry.,41,44
17:53,2635,Kajon Mack missed Free Throw.,41,44
17:53,2635,Tennessee Tech Deadball Team Rebound.,41,44
17:53,2635,Kajon Mack made Free Throw.,41,45
17:53,2635,Foul on Courtney Alexander II.,41,45
17:41,288,Foul on Garrison Mathews.,41,45
17:41,288,Garrison Mathews Turnover.,41,45
17:32,288,Foul on Nathan Moran.,41,45
17:22,288,Foul on Kenny Cooper.,41,45
17:22,2635,Kajon Mack made Free Throw.,41,46
17:22,2635,Kajon Mack missed Free Throw.,41,46
17:22,2635,Tennessee Tech Deadball Team Rebound.,41,46
17:22,2635,Kajon Mack missed Free Throw.,41,46
17:22,288,Josh Williams Defensive Rebound.,41,46
17:10,288,Aaron Korn Turnover.,41,46
17:08,2635,Mason Ramsey Steal.,41,46
17:07,2635,Kajon Mack Turnover.,41,46
17:06,288,Kenny Cooper Steal.,41,46
17:04,288,Kenny Cooper made Layup.,43,46
16:52,2635,Hakeem Rogers missed Three Point Jumper.,43,46
16:52,288,Cam Miller Defensive Rebound.,43,46
16:46,288,Aaron Korn made Three Point Jumper. Assisted by Cam Miller.,46,46
16:15,2635,Aleksa Jugovic made Three Point Jumper. Assisted by Courtney Alexander II.,46,49
16:02,2635,Foul on Mason Ramsey.,46,49
15:47,288,Josh Williams missed Jumper.,46,49
15:47,2635,Courtney Alexander II Defensive Rebound.,46,49
15:34,288,Foul on Eli Pepper.,46,49
15:34,2635,Official TV Timeout,46,49
15:34,2635,Mason Ramsey made Free Throw.,46,50
15:34,2635,Mason Ramsey missed Free Throw.,46,50
15:34,288,Cam Miller Defensive Rebound.,46,50
15:20,288,Garrison Mathews made Layup. Assisted by Kenny Cooper.,48,50
15:20,2635,Foul on Mason Ramsey.,48,50
15:20,288,Garrison Mathews made Free Throw.,49,50
14:53,2635,Hakeem Rogers missed Three Point Jumper.,49,50
14:53,288,Lipscomb Defensive Rebound.,49,50
14:38,288,Rob Marberry made Layup. Assisted by Garrison Mathews.,51,50
14:07,2635,Kajon Mack missed Jumper.,51,50
14:07,288,Rob Marberry Defensive Rebound.,51,50
14:00,288,Garrison Mathews made Layup. Assisted by Kenny Cooper.,53,50
13:45,2635,Aleksa Jugovic made Jumper.,53,52
13:43,2635,Tennessee Tech  Timeout,53,52
13:43,2635,Official TV Timeout,53,52
13:31,288,Kenny Cooper Turnover.,53,52
13:08,2635,Curtis Phillips made Three Point Jumper. Assisted by Kajon Mack.,53,55
12:53,2635,Foul on Curtis Phillips.,53,55
12:43,2635,Foul on Aleksa Jugovic.,53,55
12:43,288,Garrison Mathews made Free Throw.,54,55
12:43,288,Garrison Mathews missed Free Throw.,54,55
12:43,2635,Curtis Phillips Defensive Rebound.,54,55
12:14,2635,Kajon Mack Turnover.,54,55
12:14,288,Josh Williams Steal.,54,55
12:00,288,Rob Marberry missed Layup.,54,55
12:00,2635,Savonte Frazier Defensive Rebound.,54,55
11:48,2635,Savonte Frazier missed Layup.,54,55
11:48,288,Rob Marberry Block.,54,55
11:48,2635,Tennessee Tech Offensive Rebound.,54,55
11:48,2635,Official TV Timeout,54,55
11:44,2635,Aleksa Jugovic missed Three Point Jumper.,54,55
11:44,288,Michael Buckland Defensive Rebound.,54,55
11:25,2635,Foul on Micaiah Henry.,54,55
11:17,2635,Foul on Colton Blevins.,54,55
11:17,288,Eli Pepper made Free Throw.,55,55
11:17,288,Eli Pepper missed Free Throw.,55,55
11:17,2635,Savonte Frazier Defensive Rebound.,55,55
11:03,2635,Foul on Savonte Frazier.,55,55
11:03,2635,Savonte Frazier Turnover.,55,55
10:41,288,Cam Miller made Layup.,57,55
10:22,2635,Foul on Savonte Frazier.,57,55
10:22,2635,Savonte Frazier Turnover.,57,55
10:06,288,Foul on Michael Buckland.,57,55
10:06,288,Michael Buckland Turnover.,57,55
9:51,2635,Courtney Alexander II Turnover.,57,55
9:49,288,Nathan Moran Turnover.,57,55
9:49,2635,Curtis Phillips Turnover.,57,55
9:27,288,Josh Williams Turnover.,57,55
9:26,2635,Curtis Phillips Steal.,57,55
9:17,2635,Kajon Mack missed Layup.,57,55
9:17,2635,Courtney Alexander II Offensive Rebound.,57,55
9:16,288,Foul on Garrison Mathews.,57,55
9:16,2635,Courtney Alexander II missed Free Throw.,57,55
9:16,2635,Kajon Mack Offensive Rebound.,57,55
9:14,2635,Kajon Mack made Layup.,57,57
9:14,288,Foul on Rob Marberry.,57,57
9:14,2635,Kajon Mack made Free Throw.,57,58
8:57,288,Garrison Mathews missed Three Point Jumper.,57,58
8:57,288,Lipscomb Offensive Rebound.,57,58
8:55,2635,Foul on Courtney Alexander II.,57,58
8:55,288,Eli Pepper missed Free Throw.,57,58
8:55,288,Lipscomb Deadball Team Rebound.,57,58
8:55,288,Eli Pepper missed Free Throw.,57,58
8:55,288,Lipscomb Offensive Rebound.,57,58
8:54,2635,Foul on Curtis Phillips.,57,58
8:54,288,Josh Williams made Free Throw.,58,58
8:54,288,Josh Williams made Free Throw.,59,58
8:40,2635,Curtis Phillips made Jumper.,59,60
8:26,288,Eli Pepper missed Layup.,59,60
8:26,2635,Courtney Alexander II Block.,59,60
8:25,288,Lipscomb Offensive Rebound.,59,60
8:18,288,Kenny Cooper made Three Point Jumper. Assisted by Eli Pepper.,62,60
7:51,2635,Kajon Mack missed Three Point Jumper.,62,60
7:51,2635,Curtis Phillips Offensive Rebound.,62,60
7:49,2635,Aleksa Jugovic made Three Point Jumper. Assisted by Curtis Phillips.,62,63
7:33,288,Cam Miller Turnover.,62,63
7:32,2635,Courtney Alexander II Steal.,62,63
7:29,2635,Courtney Alexander II made Dunk.,62,65
7:26,2635,Official TV Timeout,62,65
7:19,288,Cam Miller missed Three Point Jumper.,62,65
7:19,2635,Tennessee Tech Defensive Rebound.,62,65
7:01,2635,Curtis Phillips made Layup.,62,67
6:52,2635,Foul on Courtney Alexander II.,62,67
6:52,288,Garrison Mathews missed Free Throw.,62,67
6:52,288,Lipscomb Deadball Team Rebound.,62,67
6:52,288,Garrison Mathews made Free Throw.,63,67
6:38,2635,Aleksa Jugovic made Three Point Jumper. Assisted by Curtis Phillips.,63,70
6:27,288,Nathan Moran Turnover.,63,70
6:25,2635,Curtis Phillips Steal.,63,70
5:57,2635,Curtis Phillips missed Layup.,63,70
5:57,2635,Kajon Mack Offensive Rebound.,63,70
5:55,2635,Kajon Mack made Two Point Tip Shot.,63,72
5:49,288,Michael Buckland made Layup. Assisted by Nathan Moran.,65,72
5:48,288,Lipscomb  Timeout,65,72
5:35,2635,Hakeem Rogers Turnover.,65,72
5:34,288,Aaron Korn Steal.,65,72
5:16,2635,Foul on Curtis Phillips.,65,72
5:16,288,Kenny Cooper missed Free Throw.,65,72
5:16,288,Lipscomb Deadball Team Rebound.,65,72
5:16,288,Kenny Cooper made Free Throw.,66,72
4:56,2635,Hakeem Rogers made Layup.,66,74
4:30,288,Eli Pepper missed Jumper.,66,74
4:30,2635,Aleksa Jugovic Defensive Rebound.,66,74
4:11,2635,Aleksa Jugovic missed Three Point Jumper.,66,74
4:11,288,Kenny Cooper Block.,66,74
4:09,288,Eli Pepper Defensive Rebound.,66,74
4:04,288,Kenny Cooper missed Layup.,66,74
4:04,2635,Kajon Mack Defensive Rebound.,66,74
4:02,2635,Kajon Mack Turnover.,66,74
4:00,288,Josh Williams made Layup. Assisted by Cam Miller.,68,74
3:27,2635,Hakeem Rogers made Jumper.,68,76
3:19,288,Michael Buckland missed Three Point Jumper.,68,76
3:19,288,Josh Williams Offensive Rebound.,68,76
3:16,288,Josh Williams made Layup.,70,76
3:03,2635,Savonte Frazier Turnover.,70,76
3:03,288,Michael Buckland Steal.,70,76
2:59,288,Michael Buckland missed Layup.,70,76
2:59,288,Michael Buckland Offensive Rebound.,70,76
2:57,288,Michael Buckland made Two Point Tip Shot.,72,76
2:47,2635,Tennessee Tech  Timeout,72,76
2:47,2635,Official TV Timeout,72,76
2:35,2635,Hakeem Rogers missed Three Point Jumper.,72,76
2:35,288,Nathan Moran Defensive Rebound.,72,76
2:19,288,Garrison Mathews made Three Point Jumper. Assisted by Josh Williams.,75,76
2:00,2635,Aleksa Jugovic missed Layup.,75,76
2:00,288,Michael Buckland Defensive Rebound.,75,76
1:49,288,Nathan Moran Turnover.,75,76
1:24,2635,Savonte Frazier missed Layup.,75,76
1:24,288,Eli Pepper Defensive Rebound.,75,76
1:15,288,Garrison Mathews missed Three Point Jumper.,75,76
1:15,2635,Kajon Mack Block.,75,76
1:14,2635,Savonte Frazier Defensive Rebound.,75,76
0:47,2635,Aleksa Jugovic made Three Point Jumper. Assisted by Hakeem Rogers.,75,79
0:46,2635,Tennessee Tech  Timeout,75,79
0:38,288,Josh Williams made Three Point Jumper. Assisted by Nathan Moran.,78,79
0:36,288,Lipscomb  Timeout,78,79
0:07,2635,Hakeem Rogers missed Jumper.,78,79
0:07,2635,Savonte Frazier Offensive Rebound.,78,79
0:05,2635,Savonte Frazier Turnover.,78,79
0:04,288,Lipscomb  Timeout,78,79
0:01,288,Josh Williams made Three Point Jumper. Assisted by Garrison Mathews.,81,79
0:01,2635,Savonte Frazier Turnover.,81,79
0:00,2635,End of Game,81,79
