Georgetown,183,Syracuse,46
3:12,46,Bradley Hayes Defensive Rebound.,27,27
2:50,46,Rodney Pryor made Jumper.,29,27
2:30,46,Foul on Bradley Hayes.,29,27
2:30,183,Taurean Thompson made Free Throw.,29,28
2:30,183,Taurean Thompson missed Free Throw.,29,28
2:30,46,Trey Mourning Defensive Rebound.,29,28
2:24,46,Georgetown  Timeout,29,28
2:10,46,Rodney Pryor Turnover.,29,28
2:10,183,Taurean Thompson Steal.,29,28
2:04,183,Taurean Thompson Turnover.,29,28
2:04,46,Jonathan Mulmore Steal.,29,28
1:58,46,Foul on Marcus Derrickson.,29,28
1:58,46,Marcus Derrickson Turnover.,29,28
1:41,183,Taurean Thompson made Layup.,29,30
1:41,46,Foul on Trey Mourning.,29,30
1:41,183,Taurean Thompson made Free Throw.,29,31
1:27,46,Marcus Derrickson missed Jumper.,29,31
1:27,46,L.J. Peak Offensive Rebound.,29,31
1:27,46,L.J. Peak made Two Point Tip Shot.,31,31
1:11,183,Frank Howard Turnover.,31,31
0:49,46,Trey Mourning missed Layup.,31,31
0:49,183,Taurean Thompson Block.,31,31
0:49,46,Marcus Derrickson Offensive Rebound.,31,31
0:41,46,Marcus Derrickson missed Layup.,31,31
0:40,183,Andrew White III Defensive Rebound.,31,31
0:32,183,John Gillon missed Layup.,31,31
0:32,46,Marcus Derrickson Block.,31,31
0:32,183,Syracuse Offensive Rebound.,31,31
0:24,183,Taurean Thompson missed Layup.,31,31
0:24,183,Taurean Thompson Offensive Rebound.,31,31
0:21,46,Foul on Marcus Derrickson.,31,31
0:21,183,Taurean Thompson made Free Throw.,31,32
0:21,183,Taurean Thompson made Free Throw.,31,33
0:05,46,L.J. Peak made Jumper.,33,33
0:00,183,End of 1st half,33,33
20:00,46,Jump Ball won by Georgetown,33,33
19:45,183,Foul on Andrew White III.,33,33
19:45,46,Akoy Agau made Free Throw.,34,33
19:45,46,Akoy Agau made Free Throw.,35,33
19:26,183,John Gillon missed Jumper.,35,33
19:26,183,Tyler Lydon Offensive Rebound.,35,33
19:26,183,Tyler Lydon made Two Point Tip Shot.,35,35
19:08,46,Jessie Govan missed Jumper.,35,35
19:08,183,Tyler Lydon Defensive Rebound.,35,35
18:58,183,DaJuan Coleman made Jumper.,35,37
18:34,46,Rodney Pryor made Three Point Jumper. Assisted by Jonathan Mulmore.,38,37
18:18,46,Foul on Jonathan Mulmore.,38,37
18:12,183,Tyler Lydon made Three Point Jumper. Assisted by Frank Howard.,38,40
17:44,46,L.J. Peak Turnover.,38,40
17:44,183,John Gillon Steal.,38,40
17:34,183,DaJuan Coleman Turnover.,38,40
17:19,46,L.J. Peak made Jumper.,40,40
17:10,183,John Gillon missed Layup.,40,40
17:10,46,Rodney Pryor Block.,40,40
17:10,46,Jessie Govan Defensive Rebound.,40,40
17:02,46,Georgetown  Timeout,40,40
16:49,46,Jessie Govan missed Jumper.,40,40
16:49,183,Tyler Lydon Defensive Rebound.,40,40
16:41,183,Foul on Frank Howard.,40,40
16:41,183,Frank Howard Turnover.,40,40
16:22,46,Rodney Pryor missed Three Point Jumper.,40,40
16:22,46,Rodney Pryor Offensive Rebound.,40,40
16:16,46,Jessie Govan made Layup. Assisted by Rodney Pryor.,42,40
15:59,183,Official TV Timeout,42,40
15:50,183,Frank Howard missed Three Point Jumper.,42,40
15:50,183,John Gillon Offensive Rebound.,42,40
15:42,46,Foul on L.J. Peak.,42,40
15:42,183,Andrew White III made Free Throw.,42,41
15:42,183,Andrew White III made Free Throw.,42,42
15:18,46,L.J. Peak missed Jumper.,42,42
15:18,183,DaJuan Coleman Defensive Rebound.,42,42
14:51,183,John Gillon missed Jumper.,42,42
14:51,46,Jessie Govan Defensive Rebound.,42,42
14:43,46,L.J. Peak Turnover.,42,42
14:31,183,John Gillon missed Layup.,42,42
14:31,46,Rodney Pryor Defensive Rebound.,42,42
14:20,46,Rodney Pryor missed Jumper.,42,42
14:20,183,John Gillon Defensive Rebound.,42,42
14:07,183,Frank Howard Turnover.,42,42
14:07,46,Rodney Pryor Steal.,42,42
14:01,183,Foul on John Gillon.,42,42
13:54,46,Bradley Hayes made Jumper. Assisted by L.J. Peak.,44,42
13:29,183,Tyler Lydon missed Jumper.,44,42
13:29,46,Georgetown Defensive Rebound.,44,42
13:27,183,Syracuse  Timeout,44,42
13:15,46,Bradley Hayes made Layup. Assisted by Rodney Pryor.,46,42
13:00,183,Tyus Battle made Layup.,46,44
12:40,46,Tre Campbell missed Three Point Jumper.,46,44
12:40,46,Marcus Derrickson Offensive Rebound.,46,44
12:29,46,Rodney Pryor made Jumper. Assisted by Marcus Derrickson.,48,44
12:10,183,Tyler Lydon made Jumper.,48,46
11:45,46,Rodney Pryor missed Jumper.,48,46
11:36,46,Bradley Hayes Offensive Rebound.,48,46
11:32,46,Rodney Pryor missed Three Point Jumper.,48,46
11:32,183,John Gillon Defensive Rebound.,48,46
11:24,183,Andrew White III missed Three Point Jumper.,48,46
11:24,46,Bradley Hayes Defensive Rebound.,48,46
11:21,46,Rodney Pryor made Layup. Assisted by Tre Campbell.,50,46
11:21,183,Foul on Tyus Battle.,50,46
11:21,183,Official TV Timeout,50,46
11:21,46,Rodney Pryor made Free Throw.,51,46
11:00,183,Tyus Battle Turnover.,51,46
11:00,46,Tre Campbell Steal.,51,46
10:56,46,Tre Campbell Turnover.,51,46
10:56,183,John Gillon Steal.,51,46
10:45,183,Andrew White III made Layup.,51,48
10:19,46,L.J. Peak missed Jumper.,51,48
10:19,46,L.J. Peak Offensive Rebound.,51,48
10:19,46,L.J. Peak missed Two Point Tip Shot.,51,48
10:19,183,Syracuse Defensive Rebound.,51,48
10:01,46,Foul on L.J. Peak.,51,48
9:52,183,Andrew White III missed Three Point Jumper.,51,48
9:52,46,Bradley Hayes Defensive Rebound.,51,48
9:35,46,Marcus Derrickson missed Jumper.,51,48
9:35,183,Tyler Lydon Defensive Rebound.,51,48
9:10,46,Foul on Bradley Hayes.,51,48
9:10,183,John Gillon missed Free Throw.,51,48
9:10,183,Syracuse Deadball Team Rebound.,51,48
9:10,183,John Gillon made Free Throw.,51,49
8:59,46,L.J. Peak made Layup.,53,49
8:38,46,Foul on L.J. Peak.,53,49
8:38,183,Andrew White III made Free Throw.,53,50
8:38,183,Andrew White III missed Free Throw.,53,50
8:38,46,Jessie Govan Defensive Rebound.,53,50
8:37,183,Foul on Taurean Thompson.,53,50
8:35,46,Rodney Pryor Turnover.,53,50
8:35,183,Frank Howard Steal.,53,50
8:29,183,John Gillon made Layup. Assisted by Frank Howard.,53,52
8:15,46,Jessie Govan made Layup. Assisted by Reggie Cameron II.,55,52
7:58,183,Tyler Lydon made Jumper.,55,54
7:46,183,Foul on Taurean Thompson.,55,54
7:46,183,Official TV Timeout,55,54
7:38,46,Reggie Cameron II Turnover.,55,54
7:38,183,Andrew White III Steal.,55,54
7:31,183,John Gillon missed Layup.,55,54
7:31,46,Jessie Govan Defensive Rebound.,55,54
7:09,46,Rodney Pryor made Three Point Jumper. Assisted by Jonathan Mulmore.,58,54
6:42,183,Tyler Lydon made Dunk. Assisted by Taurean Thompson.,58,56
6:42,46,Foul on Rodney Pryor.,58,56
6:42,183,Tyler Lydon missed Free Throw.,58,56
6:42,46,L.J. Peak Defensive Rebound.,58,56
6:30,46,Jessie Govan made Jumper. Assisted by L.J. Peak.,60,56
6:07,183,Frank Howard Turnover.,60,56
5:46,46,Jessie Govan missed Jumper.,60,56
5:46,183,Syracuse Defensive Rebound.,60,56
5:15,183,Tyler Lydon made Three Point Jumper. Assisted by John Gillon.,60,59
4:40,46,Jonathan Mulmore missed Jumper.,60,59
4:40,46,Jessie Govan Offensive Rebound.,60,59
4:40,46,Jessie Govan made Two Point Tip Shot.,62,59
4:28,183,Andrew White III missed Layup.,62,59
4:28,46,L.J. Peak Defensive Rebound.,62,59
4:11,46,Reggie Cameron II made Jumper. Assisted by L.J. Peak.,64,59
4:05,183,Syracuse  Timeout,64,59
3:46,183,Taurean Thompson missed Jumper.,64,59
3:46,46,Jessie Govan Defensive Rebound.,64,59
3:25,46,Jessie Govan missed Layup.,64,59
3:25,183,Tyler Lydon Block.,64,59
3:25,46,Rodney Pryor Offensive Rebound.,64,59
3:23,46,Rodney Pryor Turnover.,64,59
3:00,46,Foul on Jessie Govan.,64,59
3:00,183,Tyler Lydon made Free Throw.,64,60
3:00,183,Tyler Lydon missed Free Throw.,64,60
3:00,46,Jessie Govan Defensive Rebound.,64,60
2:41,46,Jonathan Mulmore made Three Point Jumper. Assisted by Jessie Govan.,67,60
2:20,183,Taurean Thompson made Layup. Assisted by John Gillon.,67,62
2:05,46,Reggie Cameron II Turnover.,67,62
1:52,183,Taurean Thompson missed Three Point Jumper.,67,62
1:52,46,L.J. Peak Defensive Rebound.,67,62
1:43,183,Foul on Tyus Battle.,67,62
1:43,46,L.J. Peak made Free Throw.,68,62
1:43,46,L.J. Peak made Free Throw.,69,62
1:30,183,John Gillon missed Layup.,69,62
1:30,183,Tyler Lydon Offensive Rebound.,69,62
1:30,183,Tyler Lydon made Two Point Tip Shot.,69,64
1:21,46,Reggie Cameron II Turnover.,69,64
1:21,183,Andrew White III Steal.,69,64
1:19,46,Foul on L.J. Peak.,69,64
1:19,183,Andrew White III missed Free Throw.,69,64
1:19,46,Jessie Govan Defensive Rebound.,69,64
1:17,183,Foul on Andrew White III.,69,64
1:17,46,Jessie Govan missed Free Throw.,69,64
1:17,183,Tyler Lydon Defensive Rebound.,69,64
1:07,183,Tyler Lydon made Jumper. Assisted by Andrew White III.,69,66
1:03,183,Syracuse  Timeout,69,66
0:58,46,L.J. Peak Turnover.,69,66
0:58,183,John Gillon Steal.,69,66
0:47,183,Foul on John Gillon.,69,66
0:47,183,John Gillon Turnover.,69,66
0:37,183,Foul on Andrew White III.,69,66
0:37,46,Rodney Pryor made Free Throw.,70,66
0:37,46,Rodney Pryor made Free Throw.,71,66
0:28,46,Foul on Jagan Mosely.,71,66
0:28,183,Tyler Lydon made Free Throw.,71,67
0:28,183,Tyler Lydon missed Free Throw.,71,67
0:28,46,L.J. Peak Defensive Rebound.,71,67
0:26,183,Foul on Taurean Thompson.,71,67
0:26,46,L.J. Peak missed Free Throw.,71,67
0:26,46,Georgetown Deadball Team Rebound.,71,67
0:26,46,L.J. Peak made Free Throw.,72,67
0:20,183,Taurean Thompson missed Jumper.,72,67
0:20,46,L.J. Peak Defensive Rebound.,72,67
0:16,183,Foul on Tyler Lydon.,72,67
0:16,46,L.J. Peak made Free Throw.,73,67
0:16,46,L.J. Peak made Free Throw.,74,67
0:10,183,Frank Howard made Dunk.,74,69
0:10,183,Foul on Frank Howard.,74,69
0:10,46,Jessie Govan made Free Throw.,75,69
0:10,46,Jessie Govan made Free Throw.,76,69
0:04,183,John Gillon made Layup.,76,71
0:03,183,Foul on John Gillon.,76,71
0:03,46,L.J. Peak made Free Throw.,77,71
0:03,46,L.J. Peak made Free Throw.,78,71
0:00,183,End of Game,78,71
