Delaware,2550,Seton Hall,48
12:52,48,Cazmon Hayes made Free Throw.,39,51
12:38,2550,Myles Powell missed Three Point Jumper.,39,51
12:38,2550,Desi Rodriguez Offensive Rebound.,39,51
12:32,2550,Khadeen Carrington Turnover.,39,51
12:31,48,Anthony Mosley Steal.,39,51
12:28,2550,Foul on Myles Powell.,39,51
12:28,48,Anthony Mosley missed Free Throw.,39,51
12:28,48,Delaware Deadball Team Rebound.,39,51
12:28,48,Anthony Mosley made Free Throw.,40,51
12:12,2550,Khadeen Carrington missed Three Point Jumper.,40,51
12:12,2550,Angel Delgado Offensive Rebound.,40,51
12:09,2550,Angel Delgado made Two Point Tip Shot.,40,53
11:55,48,Ryan Daly missed Jumper.,40,53
11:55,2550,Myles Powell Defensive Rebound.,40,53
11:43,2550,Khadeen Carrington Turnover.,40,53
11:42,48,Ryan Daly Steal.,40,53
11:40,48,Ryan Daly made Layup.,42,53
11:18,2550,Khadeen Carrington missed Jumper.,42,53
11:18,48,Skye Johnson Defensive Rebound.,42,53
10:50,48,Anthony Mosley made Jumper.,44,53
10:27,2550,Khadeen Carrington missed Three Point Jumper.,44,53
10:27,48,Anthony Mosley Defensive Rebound.,44,53
10:03,48,Anthony Mosley Turnover.,44,53
10:02,2550,Myles Powell Steal.,44,53
9:57,48,Foul on Chivarsky Corbett.,44,53
9:57,2550,Official TV Timeout,44,53
9:57,2550,Desi Rodriguez missed Free Throw.,44,53
9:57,2550,Seton Hall Deadball Team Rebound.,44,53
9:57,2550,Desi Rodriguez missed Free Throw.,44,53
9:57,48,Cazmon Hayes Defensive Rebound.,44,53
9:55,2550,Foul on Myles Powell.,44,53
9:30,2550,Foul on Madison Jones.,44,53
9:30,48,Anthony Mosley made Free Throw.,45,53
9:30,48,Anthony Mosley made Free Throw.,46,53
9:02,2550,Madison Jones missed Layup.,46,53
9:02,2550,Michael Nzei Offensive Rebound.,46,53
9:00,2550,Michael Nzei missed Two Point Tip Shot.,46,53
9:00,2550,Madison Jones Offensive Rebound.,46,53
8:57,2550,Madison Jones made Jumper.,46,55
8:36,48,Eric Carter made Layup. Assisted by Cazmon Hayes.,48,55
8:22,2550,Desi Rodriguez made Three Point Jumper. Assisted by Khadeen Carrington.,48,58
8:19,2550,Seton Hall  Timeout,48,58
8:19,2550,Official TV Timeout,48,58
7:49,48,Anthony Mosley missed Three Point Jumper.,48,58
7:49,2550,Ismael Sanogo Block.,48,58
7:48,2550,Ismael Sanogo Defensive Rebound.,48,58
7:44,48,Foul on Cazmon Hayes.,48,58
7:44,2550,Desi Rodriguez made Free Throw.,48,59
7:44,2550,Desi Rodriguez made Free Throw.,48,60
7:32,48,Delaware  Timeout,48,60
7:30,48,Chivarsky Corbett made Three Point Jumper. Assisted by Anthony Mosley.,51,60
7:06,2550,Madison Jones missed Three Point Jumper.,51,60
7:06,48,Ryan Daly Defensive Rebound.,51,60
6:45,48,Ryan Daly made Layup. Assisted by Chivarsky Corbett.,53,60
6:29,48,Foul on Anthony Mosley.,53,60
6:29,2550,Madison Jones made Free Throw.,53,61
6:29,2550,Madison Jones made Free Throw.,53,62
6:00,48,Eric Carter missed Jumper.,53,62
6:00,2550,Angel Delgado Defensive Rebound.,53,62
5:54,2550,Desi Rodriguez made Dunk.,53,64
5:42,48,Anthony Mosley made Layup.,55,64
5:28,2550,Angel Delgado made Layup.,55,66
5:06,2550,Foul on Angel Delgado.,55,66
5:06,48,Anthony Mosley made Free Throw.,56,66
5:06,48,Anthony Mosley made Free Throw.,57,66
4:48,2550,Angel Delgado missed Layup.,57,66
4:48,2550,Angel Delgado Offensive Rebound.,57,66
4:46,2550,Angel Delgado made Two Point Tip Shot.,57,68
4:31,2550,Foul on Ismael Sanogo.,57,68
4:31,48,Skye Johnson made Free Throw.,58,68
4:31,48,Skye Johnson made Free Throw.,59,68
4:18,48,Foul on Skye Johnson.,59,68
4:17,2550,Desi Rodriguez missed Dunk.,59,68
4:17,48,Cazmon Hayes Defensive Rebound.,59,68
4:09,48,Cazmon Hayes missed Layup.,59,68
4:08,48,Skye Johnson Offensive Rebound.,59,68
4:07,48,Skye Johnson missed Two Point Tip Shot.,59,68
4:06,48,Ryan Daly Offensive Rebound.,59,68
4:05,48,Anthony Mosley missed Layup.,59,68
4:03,2550,Angel Delgado Defensive Rebound.,59,68
3:57,2550,Khadeen Carrington made Three Point Jumper.,59,71
3:43,48,Anthony Mosley Turnover.,59,71
3:43,2550,Official TV Timeout,59,71
3:26,48,Foul on Ryan Daly.,59,71
3:26,2550,Angel Delgado made Free Throw.,59,72
