UMKC,277,West Virginia,140
8:09,277,Tarik Phillip made Three Point Jumper. Assisted by Daxter Miles Jr..,10,38
7:48,140,Darnell Tillman made Layup. Assisted by Xavier Bishop.,12,38
7:15,277,Daxter Miles Jr. missed Layup.,12,38
7:15,140,LaVell Boyd Defensive Rebound.,12,38
6:59,140,LaVell Boyd missed Layup.,12,38
6:59,140,Darnell Tillman Offensive Rebound.,12,38
6:54,140,Broderick Robinson missed Three Point Jumper.,12,38
6:54,277,Tarik Phillip Defensive Rebound.,12,38
6:47,277,Nathan Adrian missed Three Point Jumper.,12,38
6:47,140,Xavier Bishop Defensive Rebound.,12,38
6:37,140,Xavier Bishop Turnover.,12,38
6:37,277,Tarik Phillip Steal.,12,38
6:31,277,Esa Ahmad made Layup. Assisted by Tarik Phillip.,12,40
6:18,140,LaVell Boyd Turnover.,12,40
6:18,277,Daxter Miles Jr. Steal.,12,40
6:16,140,Foul on LaVell Boyd.,12,40
6:16,277,Official TV Timeout,12,40
6:16,277,Daxter Miles Jr. missed Free Throw.,12,40
6:16,277,Brandon Watkins Offensive Rebound.,12,40
6:12,277,Brandon Watkins made Jumper.,12,42
5:59,140,Dashawn King Turnover.,12,42
5:59,277,Lamont West Steal.,12,42
5:58,140,Foul on Dashawn King.,12,42
5:58,277,Lamont West missed Free Throw.,12,42
5:58,140,Dashawn King Defensive Rebound.,12,42
5:45,277,Foul on James Bolden.,12,42
5:45,140,Duane Clark missed Free Throw.,12,42
5:45,140,UMKC Deadball Team Rebound.,12,42
5:45,140,Duane Clark missed Free Throw.,12,42
5:45,277,Teyvon Myers Defensive Rebound.,12,42
5:30,277,Lamont West Turnover.,12,42
5:15,140,Broderick Robinson missed Layup.,12,42
5:15,277,Lamont West Block.,12,42
5:15,277,Lamont West Defensive Rebound.,12,42
4:58,277,Tarik Phillip missed Three Point Jumper.,12,42
4:58,140,UMKC Defensive Rebound.,12,42
4:51,140,LaVell Boyd Turnover.,12,42
4:43,277,Teyvon Myers made Three Point Jumper. Assisted by Jevon Carter.,12,45
4:08,277,Foul on Teyvon Myers.,12,45
4:07,140,LaVell Boyd made Three Point Jumper. Assisted by Broderick Robinson.,15,45
3:36,277,Teyvon Myers made Jumper.,15,47
3:19,140,Duane Clark Turnover.,15,47
3:19,277,Official TV Timeout,15,47
3:19,140,Foul on Duane Clark.,15,47
3:19,277,Brandon Watkins missed Free Throw.,15,47
3:19,140,Kyle Steward Defensive Rebound.,15,47
3:03,140,Jump Ball won by UMKC,15,47
3:02,140,Isaiah Ross Turnover.,15,47
3:02,277,Jevon Carter Steal.,15,47
2:42,277,Brandon Watkins Turnover.,15,47
2:42,140,Isaiah Ross Steal.,15,47
2:29,140,Kyle Steward made Three Point Jumper. Assisted by Duane Clark.,18,47
2:09,140,Foul on Duane Clark.,18,47
2:09,277,Brandon Watkins made Free Throw.,18,48
2:09,277,Brandon Watkins made Free Throw.,18,49
2:09,277,Foul on Daxter Miles Jr..,18,49
2:09,140,Broderick Robinson missed Free Throw.,18,49
2:09,277,Sagaba Konate Defensive Rebound.,18,49
1:55,277,James Bolden missed Three Point Jumper.,18,49
1:55,277,Daxter Miles Jr. Offensive Rebound.,18,49
1:51,277,Daxter Miles Jr. missed Layup.,18,49
1:51,140,UMKC Defensive Rebound.,18,49
1:44,140,Jordan Giles Turnover.,18,49
1:44,277,Daxter Miles Jr. Steal.,18,49
1:34,277,Daxter Miles Jr. missed Three Point Jumper.,18,49
1:34,140,Kyle Steward Defensive Rebound.,18,49
1:27,140,Xavier Bishop Turnover.,18,49
1:27,277,Daxter Miles Jr. Steal.,18,49
1:22,277,Daxter Miles Jr. made Layup.,18,51
1:12,140,Grant Leach missed Three Point Jumper.,18,51
1:12,140,Jordan Giles Offensive Rebound.,18,51
1:06,140,Xavier Bishop made Layup.,20,51
0:51,277,Esa Ahmad made Layup. Assisted by Sagaba Konate.,20,53
0:28,140,Grant Leach made Jumper.,22,53
0:13,277,Nathan Adrian made Layup. Assisted by Daxter Miles Jr..,22,55
0:13,140,Foul on Jordan Giles.,22,55
0:13,277,Nathan Adrian made Free Throw.,22,56
0:01,140,Broderick Newbill made Layup.,24,56
0:00,277,End of 1st half,22,56
20:00,277,Jump Ball won by West Virginia,24,56
19:46,277,Daxter Miles Jr. missed Three Point Jumper.,24,56
19:46,140,Darnell Tillman Defensive Rebound.,24,56
19:36,140,LaVell Boyd Turnover.,24,56
19:36,277,Jevon Carter Steal.,24,56
19:30,277,Daxter Miles Jr. made Three Point Jumper. Assisted by Jevon Carter.,24,59
19:19,140,Isaiah Ross made Three Point Jumper. Assisted by Broderick Robinson.,27,59
19:04,277,Daxter Miles Jr. made Layup.,27,61
18:45,140,LaVell Boyd missed Three Point Jumper.,27,61
18:45,277,Elijah Macon Defensive Rebound.,27,61
18:33,277,Elijah Macon missed Jumper.,27,61
18:33,277,Nathan Adrian Offensive Rebound.,27,61
18:28,140,Foul on LaVell Boyd.,27,61
18:28,277,Nathan Adrian made Free Throw.,27,62
18:28,277,Nathan Adrian missed Free Throw.,27,62
18:28,140,Darnell Tillman Defensive Rebound.,27,62
18:17,140,Isaiah Ross missed Three Point Jumper.,27,62
18:17,277,Elijah Macon Defensive Rebound.,27,62
18:03,277,Esa Ahmad made Jumper. Assisted by Jevon Carter.,27,64
17:46,277,Foul on Jevon Carter.,27,64
17:46,140,Broderick Robinson missed Free Throw.,27,64
17:46,140,UMKC Deadball Team Rebound.,27,64
17:46,140,Broderick Robinson made Free Throw.,28,64
17:26,277,Jevon Carter missed Jumper.,28,64
17:26,140,Broderick Robinson Defensive Rebound.,28,64
17:13,140,Isaiah Ross missed Jumper.,28,64
17:13,277,Jevon Carter Defensive Rebound.,28,64
16:58,277,Daxter Miles Jr. missed Three Point Jumper.,28,64
16:58,140,UMKC Defensive Rebound.,28,64
16:37,140,Broderick Newbill made Layup.,30,64
16:20,140,Foul on Dashawn King.,30,64
16:20,277,Jevon Carter made Free Throw.,30,65
16:20,277,Jevon Carter made Free Throw.,30,66
16:04,140,Dashawn King Turnover.,30,66
16:04,277,Esa Ahmad Steal.,30,66
16:04,140,Foul on Dashawn King.,30,66
16:00,277,Nathan Adrian missed Three Point Jumper.,30,66
16:00,140,LaVell Boyd Defensive Rebound.,30,66
15:43,140,Xavier Bishop missed Layup.,30,66
15:43,140,Duane Clark Offensive Rebound.,30,66
15:43,140,Duane Clark missed Two Point Tip Shot.,30,66
15:43,277,Esa Ahmad Defensive Rebound.,30,66
15:33,277,Esa Ahmad Turnover.,30,66
15:33,140,Xavier Bishop Steal.,30,66
15:30,140,Xavier Bishop made Layup.,32,66
15:08,277,Esa Ahmad missed Jumper.,32,66
15:08,277,West Virginia Offensive Rebound.,32,66
15:05,277,Official TV Timeout,32,66
15:05,140,Foul on Broderick Newbill.,32,66
15:03,140,Foul on Broderick Newbill.,32,66
15:03,277,Sagaba Konate made Free Throw.,32,67
15:03,277,Sagaba Konate made Free Throw.,32,68
14:53,277,Foul on Teyvon Myers.,32,68
14:51,277,Foul on Sagaba Konate.,32,68
14:51,277,Foul on Nathan Adrian.,32,68
14:41,140,Broderick Newbill missed Layup.,32,68
14:41,140,Broderick Newbill Offensive Rebound.,32,68
14:35,140,Broderick Newbill made Layup.,34,68
14:23,140,Foul on Xavier Bishop.,34,68
14:21,277,Nathan Adrian made Layup. Assisted by Tarik Phillip.,34,70
14:03,140,Aleer Leek made Layup. Assisted by Xavier Bishop.,36,70
13:48,140,Foul on Grant Leach.,36,70
13:48,277,Lamont West made Free Throw.,36,71
13:48,277,Lamont West made Free Throw.,36,72
13:48,277,Lamont West missed Free Throw.,36,72
13:48,140,LaVell Boyd Defensive Rebound.,36,72
13:33,140,Isaiah Ross missed Three Point Jumper.,36,72
13:33,277,Lamont West Defensive Rebound.,36,72
13:19,277,Lamont West missed Three Point Jumper.,36,72
13:19,277,Elijah Macon Offensive Rebound.,36,72
13:18,277,Elijah Macon made Layup.,36,74
13:18,140,Foul on Broderick Newbill.,36,74
13:18,277,Elijah Macon made Free Throw.,36,75
13:10,140,Darnell Tillman made Layup. Assisted by Xavier Bishop.,38,75
12:49,140,Foul on Darnell Tillman.,38,75
12:49,277,Elijah Macon made Free Throw.,38,76
12:49,277,Elijah Macon missed Free Throw.,38,76
12:49,277,Elijah Macon Offensive Rebound.,38,76
12:47,277,Tarik Phillip missed Three Point Jumper.,38,76
12:47,277,Lamont West Offensive Rebound.,38,76
12:40,277,Lamont West made Layup.,38,78
12:32,140,LaVell Boyd missed Three Point Jumper.,38,78
12:32,277,Lamont West Defensive Rebound.,38,78
12:02,277,Lamont West missed Three Point Jumper.,38,78
12:02,277,Elijah Macon Offensive Rebound.,38,78
11:57,277,Official TV Timeout,38,78
11:57,140,Foul on Darnell Tillman.,38,78
11:57,277,Elijah Macon missed Free Throw.,38,78
11:57,140,UMKC Deadball Team Rebound.,38,78
11:57,277,Elijah Macon missed Free Throw.,38,78
11:57,140,Darnell Tillman Defensive Rebound.,38,78
11:54,140,Isaiah Ross missed Three Point Jumper.,38,78
11:54,140,Darnell Tillman Offensive Rebound.,38,78
11:50,140,Kyle Steward made Jumper.,40,78
11:27,140,Foul on Isaiah Ross.,40,78
11:27,277,Esa Ahmad made Free Throw.,40,79
11:27,277,Esa Ahmad made Free Throw.,40,80
11:14,140,Xavier Bishop made Jumper. Assisted by Duane Clark.,42,80
10:44,277,Jevon Carter missed Three Point Jumper.,42,80
10:44,277,Esa Ahmad Offensive Rebound.,42,80
10:39,277,Esa Ahmad made Layup.,42,82
10:29,140,UMKC  Timeout,42,82
10:18,140,Isaiah Ross made Three Point Jumper. Assisted by LaVell Boyd.,45,82
9:54,277,Esa Ahmad missed Jumper.,45,82
9:54,140,Dashawn King Defensive Rebound.,45,82
9:47,140,Duane Clark missed Dunk.,45,82
9:47,277,Esa Ahmad Block.,45,82
9:47,277,Jevon Carter Defensive Rebound.,45,82
9:37,277,Daxter Miles Jr. made Three Point Jumper. Assisted by Jevon Carter.,45,85
9:23,140,LaVell Boyd missed Three Point Jumper.,45,85
9:23,140,LaVell Boyd Offensive Rebound.,45,85
9:19,140,LaVell Boyd made Jumper.,47,85
9:15,277,Jevon Carter Turnover.,47,85
9:15,140,Isaiah Ross Steal.,47,85
9:08,140,LaVell Boyd made Three Point Jumper. Assisted by Isaiah Ross.,50,85
8:43,277,Brandon Watkins made Layup.,50,87
8:35,140,Darnell Tillman made Dunk. Assisted by LaVell Boyd.,52,87
8:14,277,Brandon Watkins made Jumper.,52,89
7:57,140,LaVell Boyd made Jumper.,54,89
7:51,277,West Virginia  Timeout,54,89
7:51,277,Official TV Timeout,54,89
7:41,277,Teyvon Myers made Layup. Assisted by Nathan Adrian.,54,91
7:23,140,LaVell Boyd Turnover.,54,91
6:59,277,Nathan Adrian Turnover.,54,91
6:59,140,LaVell Boyd Steal.,54,91
6:54,277,Foul on Lamont West.,54,91
6:54,140,LaVell Boyd missed Free Throw.,54,91
6:54,140,UMKC Deadball Team Rebound.,54,91
6:54,140,LaVell Boyd made Free Throw.,55,91
6:53,277,Lamont West missed Three Point Jumper.,55,91
6:53,140,Aleer Leek Defensive Rebound.,55,91
6:39,140,Broderick Robinson made Three Point Jumper. Assisted by LaVell Boyd.,58,91
6:19,277,Teyvon Myers missed Jumper.,58,91
6:19,140,Darnell Tillman Defensive Rebound.,58,91
6:08,140,LaVell Boyd missed Three Point Jumper.,58,91
6:08,277,West Virginia Defensive Rebound.,58,91
5:45,277,Nathan Adrian made Layup.,58,93
5:32,140,Isaiah Ross missed Three Point Jumper.,58,93
5:32,140,Aleer Leek Offensive Rebound.,58,93
5:27,140,Aleer Leek Turnover.,58,93
5:06,277,Lamont West Turnover.,58,93
5:06,140,Broderick Newbill Steal.,58,93
4:58,140,Isaiah Ross made Three Point Jumper. Assisted by Xavier Bishop.,61,93
4:46,277,James Long made Three Point Jumper. Assisted by Teyvon Myers.,61,96
4:31,277,Foul on Lamont West.,61,96
4:24,277,Foul on Teyvon Myers.,61,96
4:24,140,Xavier Bishop made Free Throw.,62,96
4:24,140,Xavier Bishop made Free Throw.,63,96
4:18,277,Teyvon Myers made Layup.,63,98
4:18,140,Foul on Broderick Newbill.,63,98
4:18,277,Teyvon Myers made Free Throw.,63,99
4:03,140,Broderick Newbill Turnover.,63,99
3:46,277,Maciej Bender missed Three Point Jumper.,63,99
3:46,140,Broderick Newbill Defensive Rebound.,63,99
3:38,140,Isaiah Ross missed Three Point Jumper.,63,99
3:38,277,Maciej Bender Defensive Rebound.,63,99
3:29,277,James Long made Three Point Jumper. Assisted by Chase Harler.,63,102
3:09,277,Foul on James Bolden.,63,102
3:09,277,Official TV Timeout,63,102
3:09,140,Xavier Bishop made Free Throw.,64,102
3:09,140,Xavier Bishop made Free Throw.,65,102
2:57,277,Chase Harler missed Three Point Jumper.,65,102
2:57,277,Logan Routt Offensive Rebound.,65,102
2:49,277,Chase Harler made Layup.,65,104
2:34,140,Broderick Newbill missed Three Point Jumper.,65,104
2:34,277,Maciej Bender Defensive Rebound.,65,104
2:11,277,James Long missed Jumper.,65,104
2:11,140,UMKC Defensive Rebound.,65,104
2:02,140,Xavier Bishop Turnover.,65,104
2:02,277,James Bolden Steal.,65,104
1:55,277,Chase Harler missed Layup.,65,104
1:55,140,Broderick Newbill Block.,65,104
1:55,277,Logan Routt Offensive Rebound.,65,104
1:54,140,Foul on Grant Leach.,65,104
1:54,277,Logan Routt made Free Throw.,65,105
1:54,277,Logan Routt made Free Throw.,65,106
1:37,140,Xavier Bishop Turnover.,65,106
1:37,277,Chase Harler Steal.,65,106
1:31,277,Chase Harler made Dunk.,65,108
1:28,277,Foul on James Bolden.,65,108
1:28,140,Xavier Bishop missed Free Throw.,65,108
1:28,277,Maciej Bender Defensive Rebound.,65,108
1:25,277,James Bolden made Layup. Assisted by Chase Harler.,65,110
1:07,140,Broderick Ross missed Three Point Jumper.,65,110
1:07,277,Logan Routt Block.,65,110
1:07,140,UMKC Offensive Rebound.,65,110
0:49,277,Foul on James Bolden.,65,110
0:49,140,Xavier Bishop made Free Throw.,66,110
0:49,140,Xavier Bishop made Free Throw.,67,110
0:49,277,Maciej Bender missed Layup.,67,110
0:49,277,Logan Routt Offensive Rebound.,67,110
0:49,277,Logan Routt made Two Point Tip Shot.,67,112
0:40,140,Broderick Ross missed Layup.,67,112
0:40,277,Logan Routt Block.,67,112
0:40,140,UMKC Offensive Rebound.,67,112
0:24,140,Broderick Ross missed Three Point Jumper.,67,112
0:24,277,Maciej Bender Defensive Rebound.,67,112
0:00,277,End of Game,67,112
