NJIT,218,Temple,2885
17:04,218,Foul on Obi Enechionyia.,33,33
16:59,2885,Anthony Tarke missed Layup.,33,33
16:59,218,Obi Enechionyia Block.,33,33
16:58,218,Ernest Aflakpui Defensive Rebound.,33,33
16:45,218,Ernest Aflakpui made Layup.,33,35
16:25,2885,Damon Lynn missed Jumper.,33,35
16:25,218,Ernest Aflakpui Defensive Rebound.,33,35
16:18,218,Daniel Dingle missed Layup.,33,35
16:18,2885,Tim Coleman Defensive Rebound.,33,35
16:11,2885,Tim Coleman missed Layup.,33,35
16:11,218,Temple Defensive Rebound.,33,35
16:10,2885,Foul on Abdul Lewis.,33,35
15:55,218,Shizz Alston Jr. missed Jumper.,33,35
15:55,2885,Anthony Tarke Defensive Rebound.,33,35
15:37,2885,Rob Ukawuba missed Three Point Jumper.,33,35
15:37,2885,Anthony Tarke Offensive Rebound.,33,35
15:32,2885,Anthony Tarke missed Three Point Jumper.,33,35
15:32,2885,NJIT Offensive Rebound.,33,35
15:28,218,Official TV Timeout,33,35
15:11,2885,Damon Lynn made Three Point Jumper.,36,35
14:50,218,Ernest Aflakpui missed Layup.,36,35
14:50,2885,Abdul Lewis Defensive Rebound.,36,35
14:26,2885,Damon Lynn missed Layup.,36,35
14:26,218,Ernest Aflakpui Defensive Rebound.,36,35
14:16,218,Foul on Daniel Dingle.,36,35
14:16,218,Daniel Dingle Turnover.,36,35
13:53,2885,Damon Lynn made Layup. Assisted by Abdul Lewis.,38,35
13:24,218,Ernest Aflakpui made Dunk. Assisted by Alani Moore II.,38,37
12:51,2885,Damon Lynn missed Three Point Jumper.,38,37
12:51,218,Obi Enechionyia Defensive Rebound.,38,37
12:43,2885,Foul on Anthony Tarke.,38,37
12:39,218,Daniel Dingle Turnover.,38,37
12:38,2885,Tim Coleman Steal.,38,37
12:33,2885,Damon Lynn made Three Point Jumper. Assisted by Chris Jenkins.,41,37
12:16,218,Alani Moore II missed Three Point Jumper.,41,37
12:16,2885,Tim Coleman Defensive Rebound.,41,37
11:51,2885,Damon Lynn missed Three Point Jumper.,41,37
11:51,218,Obi Enechionyia Defensive Rebound.,41,37
11:36,2885,Foul on Tim Coleman.,41,37
11:36,218,Official TV Timeout,41,37
11:25,2885,Foul on Abdul Lewis.,41,37
11:25,218,Mark Williams made Free Throw.,41,38
11:25,218,Mark Williams made Free Throw.,41,39
11:01,2885,Tim Coleman missed Layup.,41,39
11:01,218,Obi Enechionyia Defensive Rebound.,41,39
10:54,218,Quinton Rose made Jumper.,41,41
10:28,2885,Damon Lynn Turnover.,41,41
10:26,218,Alani Moore II Steal.,41,41
10:23,218,Alani Moore II missed Layup.,41,41
10:23,2885,Damon Lynn Block.,41,41
10:23,218,Temple Offensive Rebound.,41,41
10:11,218,Quinton Rose made Free Throw.,41,42
10:11,2885,Foul on Rob Ukawuba.,41,42
10:11,218,Quinton Rose missed Free Throw.,41,42
10:11,218,Obi Enechionyia Offensive Rebound.,41,42
10:03,218,Alani Moore II made Three Point Jumper. Assisted by Obi Enechionyia.,41,45
9:38,2885,Tim Coleman made Layup. Assisted by Damon Lynn.,43,45
9:38,218,Foul on Quinton Rose.,43,45
9:38,2885,Tim Coleman missed Free Throw.,43,45
9:38,218,Obi Enechionyia Defensive Rebound.,43,45
9:24,218,Quinton Rose Turnover.,43,45
9:23,2885,Rob Ukawuba Steal.,43,45
8:56,2885,Tim Coleman made Layup. Assisted by Rob Ukawuba.,45,45
8:36,218,Shizz Alston Jr. missed Layup.,45,45
8:36,2885,Tim Coleman Defensive Rebound.,45,45
8:14,2885,Damon Lynn missed Three Point Jumper.,45,45
8:14,218,Quinton Rose Defensive Rebound.,45,45
7:58,218,Obi Enechionyia made Three Point Jumper. Assisted by Quinton Rose.,45,48
7:42,2885,Chris Jenkins missed Three Point Jumper.,45,48
7:42,2885,Abdul Lewis Offensive Rebound.,45,48
7:36,2885,Chris Jenkins Turnover.,45,48
7:34,218,Quinton Rose Steal.,45,48
7:32,218,Alani Moore II made Three Point Jumper. Assisted by Shizz Alston Jr..,45,51
7:29,2885,NJIT  Timeout,45,51
7:11,2885,Anthony Tarke missed Three Point Jumper.,45,51
7:11,218,Alani Moore II Defensive Rebound.,45,51
7:00,2885,Foul on Chris Jenkins.,45,51
7:00,218,Official TV Timeout,45,51
7:00,218,Daniel Dingle made Free Throw.,45,52
7:00,218,Daniel Dingle made Free Throw.,45,53
6:36,2885,Tim Coleman made Layup.,47,53
6:10,218,Mark Williams missed Layup.,47,53
6:10,2885,Tim Coleman Defensive Rebound.,47,53
5:58,2885,Abdul Lewis missed Layup.,47,53
5:58,218,Obi Enechionyia Defensive Rebound.,47,53
5:47,218,Daniel Dingle made Three Point Jumper. Assisted by Mark Williams.,47,56
5:11,2885,Damon Lynn made Three Point Jumper. Assisted by Rob Ukawuba.,50,56
5:01,218,Daniel Dingle missed Three Point Jumper.,50,56
5:01,2885,Abdul Lewis Defensive Rebound.,50,56
4:47,2885,Chris Jenkins made Three Point Jumper. Assisted by Damon Lynn.,53,56
4:20,218,Obi Enechionyia made Jumper. Assisted by Mark Williams.,53,58
3:55,2885,Damon Lynn missed Three Point Jumper.,53,58
3:55,2885,Damon Lynn Offensive Rebound.,53,58
3:41,2885,Damon Lynn made Three Point Jumper. Assisted by Abdul Lewis.,56,58
3:30,218,Temple  Timeout,56,58
3:20,218,Obi Enechionyia missed Jumper.,56,58
3:20,2885,Abdul Lewis Defensive Rebound.,56,58
3:09,2885,Abdul Lewis made Layup. Assisted by Chris Jenkins.,58,58
2:38,218,Obi Enechionyia made Three Point Jumper. Assisted by Alani Moore II.,58,61
2:16,2885,Chris Jenkins Turnover.,58,61
2:15,218,Quinton Rose Steal.,58,61
1:58,2885,Foul on Rob Ukawuba.,58,61
1:58,218,Shizz Alston Jr. made Free Throw.,58,62
1:58,218,Shizz Alston Jr. made Free Throw.,58,63
1:48,218,Foul on Obi Enechionyia.,58,63
1:35,2885,Damon Lynn made Three Point Jumper. Assisted by Abdul Lewis.,61,63
1:33,2885,NJIT  Timeout,61,63
1:20,218,Shizz Alston Jr. missed Layup.,61,63
1:20,2885,Chris Jenkins Block.,61,63
1:19,2885,Chris Jenkins Defensive Rebound.,61,63
1:19,218,Foul on Shizz Alston Jr..,61,63
1:01,2885,Damon Lynn missed Layup.,61,63
1:01,2885,Rob Ukawuba Offensive Rebound.,61,63
0:56,2885,Rob Ukawuba made Two Point Tip Shot.,63,63
0:44,218,Shizz Alston Jr. made Layup.,63,65
0:30,2885,Damon Lynn missed Three Point Jumper.,63,65
0:30,218,Quinton Rose Defensive Rebound.,63,65
0:22,2885,Foul on Chris Jenkins.,63,65
0:22,218,Shizz Alston Jr. made Free Throw.,63,66
0:22,218,Shizz Alston Jr. made Free Throw.,63,67
0:22,218,Temple  Timeout,63,67
0:11,2885,Damon Lynn missed Three Point Jumper.,63,67
0:11,218,Alani Moore II Defensive Rebound.,63,67
0:08,2885,Foul on Tim Coleman.,63,67
0:08,218,Alani Moore II missed Free Throw.,63,67
0:08,218,Temple Deadball Team Rebound.,63,67
0:08,218,Alani Moore II made Free Throw.,63,68
0:08,218,Temple  Timeout,63,68
0:08,2885,Tim Coleman Turnover.,63,68
0:00,218,End of Game,63,68
